SN	Distance_X_LOGO_MainBoard_LD1	Distance_X_LOGO_MainBoard_LD2	Distance_X_LOGO_MainBoard_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LD1	Distance_Y_LOGO_MainBoard_LD2	Distance_Y_LOGO_MainBoard_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LD1	Angle_MainBoard_LD2	Angle_MainBoard_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-53.664	-53.629	-53.630	-53.699	-53.663	-53.698	-53.663	-53.697	-53.662	-53.699	-53.626	-53.662	-53.593	-53.527	-53.557	-53.626	-53.626	-53.593	-53.594	-53.591	-53.558	-53.591	-53.590	-53.593	-53.627	-53.591	-53.560	-53.596	-53.590	-53.626	-53.594	-53.630	-93.657	-93.693	-93.726	-93.832	-93.765	-93.728	-93.764	-93.802	-93.867	-93.763	-93.900	-93.902	-93.835	-93.901	-93.971	-93.900	-93.900	-93.934	-93.868	-93.900	-93.900	-93.900	-93.871	-93.899	-93.901	-93.900	-93.868	-93.867	-93.871	-93.900	-93.864	-93.869	240.035	240.061	240.069	240.065	240.064	240.038	240.064	240.058	240.092	240.047	240.117	240.101	240.115	240.163	240.167	240.117	240.117	240.141	240.123	240.133	240.148	240.133	240.125	240.132	240.116	240.133	240.139	240.122	240.125	240.117	240.122	240.106	2016_7_19_17_00_56
FLQS30KBGRWV____	-53.347	-53.313	-53.310	-53.381	-53.345	-53.385	-53.308	-53.339	-53.345	-53.380	-53.271	-53.344	-53.274	-53.202	-53.200	-53.271	-53.271	-53.237	-53.236	-53.276	-53.202	-53.276	-53.276	-53.274	-53.272	-53.276	-53.240	-53.234	-53.276	-53.271	-53.272	-53.312	-93.716	-93.754	-93.789	-93.858	-93.824	-93.787	-93.825	-93.853	-93.893	-93.825	-93.925	-93.928	-93.891	-93.958	-93.993	-93.925	-93.925	-93.955	-93.890	-93.925	-93.956	-93.925	-93.891	-93.916	-93.925	-93.925	-93.895	-93.892	-93.891	-93.925	-93.891	-93.893	240.289	240.315	240.325	240.310	240.318	240.290	240.335	240.329	240.336	240.302	240.379	240.345	240.369	240.419	240.429	240.379	240.379	240.402	240.385	240.376	240.419	240.376	240.367	240.375	240.378	240.376	240.385	240.387	240.367	240.379	240.369	240.351	2016_7_19_17_00_56
FLQS30CWGRWV____	-53.509	-53.430	-53.432	-53.502	-53.465	-53.504	-53.506	-53.497	-53.503	-53.502	-53.430	-53.465	-53.437	-53.368	-53.360	-53.430	-53.430	-53.395	-53.395	-53.434	-53.363	-53.434	-53.395	-53.395	-53.431	-53.434	-53.401	-53.396	-53.395	-53.430	-53.395	-53.431	-93.773	-93.811	-93.848	-93.922	-93.919	-93.850	-93.925	-93.918	-93.958	-93.884	-94.025	-94.028	-93.956	-94.023	-94.057	-94.025	-94.025	-94.019	-93.953	-93.988	-94.021	-93.988	-93.956	-93.984	-93.988	-93.988	-93.957	-93.990	-93.956	-94.025	-93.988	-93.954	240.595	240.641	240.650	240.637	240.653	240.617	240.636	240.638	240.646	240.627	240.697	240.682	240.676	240.725	240.738	240.697	240.697	240.712	240.695	240.686	240.727	240.686	240.695	240.703	240.687	240.686	240.693	240.704	240.695	240.697	240.704	240.678	2016_7_19_17_00_56
FLQS30C7GRWV____	-53.134	-53.137	-53.136	-53.168	-53.170	-53.167	-53.173	-53.164	-53.173	-53.166	-53.136	-53.172	-53.100	-53.027	-53.065	-53.136	-53.136	-53.060	-53.099	-53.098	-53.065	-53.098	-53.096	-53.098	-53.095	-53.098	-53.064	-53.059	-53.096	-53.136	-53.057	-53.134	-93.779	-93.862	-93.894	-93.924	-93.889	-93.852	-93.890	-93.925	-93.959	-93.888	-94.029	-93.995	-93.955	-94.021	-94.059	-94.029	-94.029	-94.062	-93.959	-94.028	-94.021	-94.028	-93.997	-93.989	-94.027	-94.028	-93.961	-93.959	-93.997	-94.029	-93.955	-93.996	240.165	240.185	240.193	240.186	240.177	240.168	240.175	240.189	240.193	240.178	240.229	240.203	240.226	240.277	240.270	240.229	240.229	240.272	240.228	240.246	240.260	240.246	240.239	240.236	240.247	240.246	240.244	240.246	240.239	240.229	240.246	240.221	2016_7_19_17_00_56
FLQS29JFGRX5____	-53.507	-53.428	-53.427	-53.540	-53.504	-53.539	-53.506	-53.495	-53.505	-53.498	-53.470	-53.506	-53.477	-53.323	-53.359	-53.470	-53.470	-53.434	-53.437	-53.434	-53.400	-53.434	-53.434	-53.434	-53.470	-53.434	-53.443	-53.431	-53.434	-53.470	-53.432	-53.472	-93.716	-93.752	-93.787	-93.899	-93.824	-93.793	-93.825	-93.858	-93.895	-93.824	-93.929	-93.930	-93.893	-93.963	-93.999	-93.929	-93.929	-93.962	-93.894	-93.927	-93.963	-93.927	-93.896	-93.927	-93.929	-93.927	-93.892	-93.897	-93.896	-93.929	-93.893	-93.894	240.093	240.139	240.148	240.126	240.123	240.098	240.122	240.136	240.141	240.125	240.166	240.150	240.153	240.242	240.236	240.166	240.166	240.191	240.172	240.182	240.207	240.182	240.174	240.182	240.166	240.182	240.169	240.176	240.174	240.166	240.174	240.156	2016_7_19_17_00_56
FLQS22XEGRX2____	-53.376	-53.339	-53.339	-53.409	-53.370	-53.409	-53.373	-53.404	-53.375	-53.408	-53.338	-53.373	-53.303	-53.234	-53.267	-53.338	-53.338	-53.304	-53.303	-53.303	-53.270	-53.303	-53.302	-53.302	-53.337	-53.303	-53.268	-53.346	-53.302	-53.338	-53.300	-53.385	-93.758	-93.794	-93.831	-93.907	-93.871	-93.837	-93.872	-93.904	-93.943	-93.869	-93.975	-93.976	-93.941	-94.009	-94.047	-93.975	-93.975	-94.006	-93.940	-93.971	-94.006	-93.971	-93.942	-93.970	-93.975	-93.971	-93.942	-93.942	-93.942	-93.975	-93.938	-93.941	240.042	240.068	240.078	240.065	240.074	240.047	240.073	240.067	240.091	240.056	240.116	240.100	240.123	240.173	240.168	240.116	240.116	240.140	240.123	240.131	240.156	240.131	240.124	240.132	240.117	240.131	240.140	240.104	240.124	240.116	240.124	240.086	2016_7_19_17_00_56
FLQS22TQGRX2____	-53.306	-53.270	-53.269	-53.345	-53.303	-53.343	-53.308	-53.339	-53.307	-53.343	-53.271	-53.307	-53.233	-53.168	-53.204	-53.271	-53.271	-53.239	-53.237	-53.237	-53.203	-53.237	-53.236	-53.234	-53.271	-53.237	-53.202	-53.235	-53.236	-53.271	-53.234	-53.272	-93.776	-93.811	-93.846	-93.922	-93.885	-93.851	-93.887	-93.920	-93.958	-93.886	-93.990	-93.992	-93.916	-94.024	-94.059	-93.990	-93.990	-94.023	-93.957	-93.989	-94.022	-93.989	-93.958	-93.987	-93.990	-93.989	-93.960	-93.958	-93.958	-93.990	-93.954	-93.956	240.164	240.190	240.199	240.184	240.194	240.166	240.192	240.187	240.211	240.176	240.236	240.220	240.235	240.293	240.285	240.236	240.236	240.260	240.243	240.252	240.276	240.252	240.244	240.252	240.236	240.252	240.260	240.244	240.244	240.236	240.244	240.227	2016_7_19_17_00_56
FLQS21YXGRX2____	-53.262	-53.224	-53.222	-53.335	-53.295	-53.294	-53.259	-53.290	-53.261	-53.295	-53.264	-53.299	-53.226	-53.117	-53.154	-53.264	-53.264	-53.189	-53.189	-53.228	-53.154	-53.228	-53.229	-53.186	-53.223	-53.228	-53.155	-53.187	-53.229	-53.264	-53.320	-53.224	-93.655	-93.691	-93.724	-93.845	-93.769	-93.728	-93.805	-93.796	-93.875	-93.804	-93.911	-93.913	-93.835	-93.942	-93.937	-93.911	-93.911	-93.941	-93.874	-93.908	-93.939	-93.908	-93.881	-93.864	-93.868	-93.908	-93.876	-93.876	-93.881	-93.911	-93.880	-93.872	240.163	240.190	240.199	240.179	240.177	240.167	240.203	240.186	240.221	240.186	240.229	240.213	240.227	240.305	240.286	240.229	240.229	240.271	240.254	240.244	240.287	240.244	240.237	240.252	240.236	240.244	240.270	240.255	240.237	240.229	240.195	240.237	2016_7_19_17_00_56
FLQS2AVTGRX5____	-53.531	-53.452	-53.449	-53.567	-53.528	-53.565	-53.531	-53.520	-53.530	-53.523	-53.492	-53.489	-53.496	-53.389	-53.385	-53.492	-53.492	-53.459	-53.462	-53.461	-53.423	-53.461	-53.459	-53.460	-53.494	-53.461	-53.384	-53.457	-53.459	-53.492	-53.457	-53.497	-93.787	-93.824	-93.858	-93.935	-93.899	-93.864	-93.899	-93.930	-93.968	-93.895	-94.037	-94.000	-93.963	-94.036	-94.068	-94.037	-94.037	-94.033	-94.008	-94.001	-94.030	-94.001	-93.972	-93.998	-94.003	-94.001	-93.967	-93.971	-93.972	-94.037	-93.965	-94.001	240.062	240.108	240.118	240.084	240.092	240.066	240.091	240.104	240.110	240.094	240.145	240.137	240.124	240.192	240.203	240.145	240.145	240.159	240.151	240.150	240.175	240.150	240.143	240.150	240.135	240.150	240.177	240.144	240.143	240.145	240.143	240.133	2016_7_19_17_00_57
FLQS3087GRWV____	-53.540	-53.504	-53.542	-53.571	-53.538	-53.575	-53.536	-53.571	-53.537	-53.572	-53.503	-53.537	-53.469	-53.400	-53.429	-53.503	-53.503	-53.466	-53.466	-53.466	-53.435	-53.466	-53.466	-53.464	-53.501	-53.466	-53.431	-53.469	-53.466	-53.503	-53.470	-53.503	-93.762	-93.800	-93.837	-93.909	-93.873	-93.836	-93.871	-93.907	-93.942	-93.873	-93.977	-93.981	-93.944	-94.010	-94.047	-93.977	-93.977	-94.009	-93.944	-93.976	-94.008	-93.976	-93.944	-93.973	-93.976	-93.976	-93.945	-93.943	-93.944	-93.977	-93.940	-93.943	240.535	240.561	240.553	240.559	240.565	240.538	240.565	240.559	240.583	240.549	240.608	240.593	240.615	240.664	240.660	240.608	240.608	240.633	240.616	240.625	240.648	240.625	240.617	240.625	240.609	240.625	240.633	240.615	240.617	240.608	240.614	240.599	2016_7_19_17_00_57
