SN	Distance_X_LOGO_MainBoard_Sim1	Distance_X_LOGO_MainBoard_Sim2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Sim1	Distance_Y_LOGO_MainBoard_Sim2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Sim1	Angle_MainBoard_Sim2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS3126GRWV____	0.047	0.052	0.047	0.051	0.020	0.052	0.052	0.022	0.020	0.048	0.020	0.051	0.049	0.047	0.047	0.047	0.053	0.050	0.052	0.048	0.052	0.048	0.047	0.052	0.021	0.048	0.020	0.051	0.047	0.049	0.054	0.047	0.004	0.006	0.038	0.040	0.006	0.040	0.005	0.040	0.004	0.039	0.006	0.004	0.038	0.038	0.005	0.006	0.006	0.040	0.007	0.006	0.003	0.038	0.005	0.040	0.005	0.004	0.006	0.004	0.038	0.038	0.006	0.004	0.021	0.022	0.005	0.006	0.007	0.006	0.023	-0.009	0.009	0.004	0.007	0.023	0.005	0.004	0.021	0.020	0.023	0.004	0.022	0.021	0.024	0.005	0.021	0.006	0.008	0.021	0.008	0.023	0.005	0.005	0.024	0.021	0.044	0.018	0.013	2016_7_19_16_59_29
FLQS3115GRWV____	-0.062	-0.063	-0.030	-0.031	-0.064	-0.032	-0.062	-0.032	-0.063	-0.031	-0.064	-0.031	-0.031	-0.062	-0.030	-0.031	-0.061	-0.063	-0.031	-0.032	-0.032	-0.030	-0.031	-0.032	-0.063	-0.030	-0.031	-0.031	-0.031	-0.060	-0.032	-0.062	0.007	0.006	0.037	0.007	0.038	0.006	0.007	0.008	0.006	-0.024	0.038	0.006	0.004	0.037	0.037	0.005	-0.027	0.005	0.008	0.005	0.006	0.006	0.007	0.006	0.004	0.007	0.005	0.035	0.005	0.036	0.006	0.007	-0.034	-0.034	-0.033	-0.018	-0.050	-0.019	-0.034	-0.020	-0.034	-0.003	-0.050	-0.019	-0.018	-0.048	-0.033	-0.018	-0.017	-0.034	-0.019	-0.018	-0.019	-0.017	-0.018	-0.019	-0.034	-0.018	-0.018	-0.033	-0.018	-0.048	-0.019	-0.034	-0.043	0.011	-0.027	2016_7_19_16_59_30
FLQS310RGRWV____	-0.067	-0.068	-0.066	-0.068	-0.099	-0.067	-0.067	-0.068	-0.068	-0.067	-0.099	-0.036	-0.066	-0.067	-0.068	-0.068	-0.100	-0.069	-0.100	-0.068	-0.101	-0.067	-0.067	-0.066	-0.067	-0.068	-0.068	-0.068	-0.066	-0.069	-0.066	-0.067	0.061	0.027	0.028	0.029	0.027	0.028	0.028	0.028	0.028	0.062	0.027	0.061	0.026	0.027	0.028	0.026	0.025	0.060	0.029	0.027	0.026	0.028	0.061	0.028	0.028	0.061	0.026	0.029	0.027	0.027	0.029	0.061	-0.147	-0.131	-0.130	-0.131	-0.147	-0.131	-0.130	-0.131	-0.131	-0.147	-0.147	-0.132	-0.129	-0.130	-0.131	-0.130	-0.146	-0.148	-0.147	-0.131	-0.147	-0.131	-0.148	-0.130	-0.130	-0.147	-0.129	-0.130	-0.129	-0.130	-0.130	-0.147	-0.071	0.035	-0.136	2016_7_19_16_59_30
FLQS3106GRWV____	0.055	0.025	0.057	0.024	0.025	0.057	0.058	0.023	0.021	0.056	0.025	0.023	0.056	0.055	0.057	0.056	0.023	0.021	0.023	0.058	0.022	0.055	0.055	0.023	0.058	0.056	0.058	0.058	0.055	0.056	0.057	0.055	-0.008	-0.008	-0.009	-0.008	-0.009	-0.008	-0.006	-0.039	-0.011	-0.009	-0.009	-0.011	-0.007	-0.008	-0.036	-0.008	-0.009	-0.012	-0.008	-0.008	-0.012	-0.008	-0.007	-0.010	-0.006	-0.009	-0.008	-0.009	-0.010	-0.039	-0.009	-0.008	0.706	0.691	0.706	0.690	0.691	0.706	0.705	0.705	0.690	0.706	0.691	0.690	0.706	0.706	0.720	0.706	0.690	0.690	0.690	0.706	0.691	0.706	0.705	0.690	0.706	0.706	0.706	0.707	0.706	0.721	0.707	0.706	0.044	-0.011	0.701	2016_7_19_16_59_30
FLQS30ZQGRWV____	0.089	0.028	0.090	0.028	0.061	0.057	0.029	0.029	0.029	0.061	0.061	0.061	0.058	0.061	0.058	0.060	0.028	0.061	0.059	0.061	0.060	0.088	0.061	0.029	0.060	0.024	0.060	0.060	0.061	0.061	0.056	0.089	0.032	-0.005	-0.003	-0.041	-0.003	-0.042	0.034	-0.042	-0.002	0.034	-0.003	-0.003	-0.042	0.035	-0.003	0.034	0.037	0.035	0.033	0.032	0.031	-0.007	0.033	0.036	-0.006	-0.004	-0.005	0.035	0.036	-0.005	-0.041	0.032	-0.646	-0.658	-0.628	-0.640	-0.642	-0.625	-0.677	-0.639	-0.658	-0.660	-0.642	-0.642	-0.625	-0.661	-0.644	-0.660	-0.678	-0.660	-0.662	-0.660	-0.660	-0.627	-0.660	-0.677	-0.641	-0.660	-0.642	-0.662	-0.662	-0.642	-0.625	-0.646	0.056	0.008	-0.650	2016_7_19_16_59_30
FLQS30YUGRWV____	0.068	0.070	0.102	0.034	0.068	0.068	0.069	0.035	0.069	0.101	0.068	0.068	0.067	0.101	0.103	0.068	0.067	0.068	0.035	0.068	0.067	0.068	0.103	0.069	0.148	0.102	0.069	0.070	0.069	0.067	0.069	0.068	-0.041	0.037	-0.002	-0.037	-0.039	-0.002	-0.001	-0.001	-0.004	-0.002	-0.039	-0.042	-0.001	0.033	-0.004	-0.002	-0.003	-0.042	-0.003	-0.003	-0.002	-0.001	-0.002	-0.040	0.049	-0.003	-0.001	-0.000	-0.039	-0.040	-0.001	-0.041	-0.621	-0.658	-0.622	-0.639	-0.621	-0.639	-0.639	-0.656	-0.638	-0.623	-0.621	-0.619	-0.640	-0.640	-0.622	-0.639	-0.640	-0.619	-0.655	-0.639	-0.639	-0.640	-0.622	-0.619	-0.626	-0.622	-0.640	-0.640	-0.620	-0.620	-0.639	-0.621	0.074	-0.010	-0.632	2016_7_19_16_59_30
FLQS30X6GRWY____	0.032	-0.004	-0.007	-0.006	-0.005	-0.005	-0.004	-0.005	-0.007	-0.006	-0.005	-0.006	-0.006	-0.039	-0.007	0.034	-0.006	-0.006	-0.006	-0.038	-0.041	0.034	-0.039	-0.006	-0.005	-0.006	-0.006	-0.006	-0.007	0.025	-0.006	0.032	0.070	0.067	0.067	0.067	0.067	0.066	0.068	0.066	0.102	0.066	0.067	0.071	0.066	0.066	0.068	0.068	0.068	0.070	0.070	0.068	0.068	0.103	0.068	0.068	0.068	0.067	0.066	0.099	0.065	0.065	0.032	0.070	0.655	0.638	0.638	0.638	0.638	0.638	0.638	0.638	0.620	0.638	0.638	0.636	0.638	0.622	0.638	0.657	0.638	0.636	0.637	0.622	0.620	0.640	0.621	0.638	0.638	0.638	0.638	0.622	0.638	0.655	0.655	0.655	-0.004	0.070	0.638	2016_7_19_16_59_30
FLQS30X6GRWV____	-0.092	-0.164	-0.086	-0.091	-0.090	-0.091	-0.126	-0.091	-0.127	-0.128	-0.090	-0.129	-0.129	-0.161	-0.129	-0.162	-0.126	-0.127	-0.090	-0.129	-0.128	-0.086	-0.092	-0.125	-0.090	-0.093	-0.129	-0.090	-0.160	-0.092	-0.126	-0.092	0.118	0.119	0.122	0.119	0.119	0.119	0.121	0.118	0.084	0.121	0.119	0.120	0.122	0.083	0.122	0.120	0.119	0.120	0.118	0.119	0.119	0.080	0.159	0.120	0.120	0.118	0.122	0.083	0.080	0.116	0.119	0.118	-0.720	-0.756	-0.718	-0.720	-0.720	-0.719	-0.738	-0.719	-0.720	-0.739	-0.720	-0.739	-0.740	-0.736	-0.739	-0.756	-0.738	-0.739	-0.719	-0.739	-0.738	-0.698	-0.740	-0.738	-0.720	-0.720	-0.740	-0.701	-0.735	-0.719	-0.737	-0.720	-0.114	0.115	-0.729	2016_7_19_16_59_31
FLQS30WFGRWV____	-0.040	-0.039	-0.041	-0.004	-0.004	-0.006	-0.005	-0.005	-0.007	-0.039	-0.004	-0.004	-0.004	-0.039	-0.004	-0.007	-0.007	-0.004	-0.003	-0.007	-0.005	-0.007	-0.039	-0.043	0.030	-0.007	0.029	-0.005	-0.038	-0.007	-0.006	-0.040	0.008	0.009	0.009	0.007	0.005	0.006	0.006	0.006	0.005	0.007	0.005	0.006	0.006	0.009	0.006	0.007	0.042	0.039	0.040	0.007	0.004	0.007	0.040	0.004	0.042	0.006	0.041	0.007	0.009	0.006	0.007	0.008	-0.024	-0.023	-0.024	-0.005	-0.004	-0.006	-0.006	-0.005	-0.005	-0.023	-0.004	-0.005	-0.005	-0.024	-0.005	-0.006	-0.024	-0.022	-0.022	-0.007	-0.004	-0.007	-0.039	-0.023	-0.006	-0.006	-0.005	-0.006	-0.023	-0.007	-0.007	-0.024	-0.013	0.013	-0.013	2016_7_19_16_59_31
FLQS30VBGRWV____	0.056	0.058	0.025	0.055	0.024	0.054	0.091	0.025	0.057	0.024	0.024	0.057	0.056	0.057	0.055	0.057	0.058	0.058	0.056	0.058	0.020	0.056	0.024	0.092	0.057	0.056	0.057	0.057	0.057	0.057	0.056	0.056	-0.022	-0.059	-0.058	-0.100	-0.058	-0.102	-0.022	-0.024	-0.024	-0.058	-0.058	-0.059	-0.102	-0.062	-0.059	-0.061	-0.060	-0.059	-0.060	-0.061	-0.059	-0.062	-0.059	-0.022	-0.023	-0.021	-0.059	-0.061	-0.022	-0.023	-0.099	-0.022	0.038	0.058	0.042	0.077	0.041	0.077	0.056	0.024	0.041	0.041	0.041	0.058	0.078	0.060	0.056	0.059	0.058	0.058	0.057	0.059	0.040	0.058	0.041	0.057	0.039	0.038	0.057	0.058	0.039	0.039	0.076	0.038	0.052	-0.053	0.052	2016_7_19_16_59_31
