,Distance_X_LOGO_Motor1,Distance_X_LOGO_motor2,Distance_X_LOGO_3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Motor1,Distance_Y_LOGO_motor2,Distance_Y_LOGO_3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Motor1,Angle_motor2,Angle_3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-13.8737529785,-13.8507434372,-13.808726014,-13.7727110798,-13.8067251843,-13.8077255992,-13.7727110798,-13.8067251843,-13.7016816263,-13.7436990495,-13.7436990495,-13.8077255992,-13.8067251843,-13.771710665,-13.709684945,-13.7366961457,-13.6676675218,-13.8067251843,-13.7727110798,-13.8067251843,-13.7016816263,-13.7356957308,-13.7356957308,-13.771710665,-13.7787135689,-13.7366961457,-13.7727110798,-13.7016816263,-13.7727110798,-13.5966380683,-13.709684945,-13.7727110798,-140.78959862,-140.793599262,-140.821603757,-140.782597496,-140.79059878,-140.793599262,-140.782597496,-140.755593161,-140.786598138,-140.686582084,-140.686582084,-140.792599101,-140.79059878,-140.755593161,-140.722587864,-140.75359284,-140.722587864,-140.755593161,-140.756593322,-140.720587543,-140.756593322,-140.691582887,-140.691582887,-140.755593161,-140.783597657,-140.75359284,-140.722587864,-140.756593322,-140.758593643,-140.754593001,-140.725588345,-140.722587864,264.036,264.046,264.064,264.077,264.064,264.063,264.077,264.062,264.106,264.085,264.085,264.063,264.064,264.076,264.1,264.09,264.117,264.062,264.076,264.061,264.105,264.088,264.088,264.076,264.075,264.09,264.075,264.105,264.076,264.147,264.1,264.075
FLQS30KBGRWV,-13.6640636625,-13.7001086755,-13.6290198999,-13.5939761373,-13.6290198999,-13.6300211503,-13.5939761373,-13.6270173992,-13.5248898625,-13.5939761373,-13.5939761373,-13.6290198999,-13.6290198999,-13.6230123977,-13.5589323747,-13.5579311244,-13.5198836107,-13.6270173992,-13.5939761373,-13.6290198999,-13.5529248726,-13.5579311244,-13.5579311244,-13.6230123977,-13.6290198999,-13.5579311244,-13.5929748869,-13.5529248726,-13.5949773877,-13.4187573243,-13.5589323747,-13.5929748869,-140.757373438,-140.762372776,-140.75637357,-140.688382567,-140.759373173,-140.762372776,-140.688382567,-140.750374364,-140.78237013,-140.649387728,-140.649387728,-140.757373438,-140.759373173,-140.724377804,-140.694381773,-140.723377936,-140.690382303,-140.750374364,-140.725377672,-140.689382435,-140.723377936,-140.660386272,-140.660386272,-140.724377804,-140.723377936,-140.723377936,-140.753373967,-140.723377936,-140.724377804,-140.723377936,-140.698381244,-140.753373967,264.8,264.786,264.814,264.826,264.814,264.814,264.826,264.815,264.857,264.824,264.824,264.814,264.814,264.815,264.84,264.841,264.856,264.815,264.827,264.812,264.843,264.839,264.839,264.815,264.813,264.841,264.828,264.843,264.827,264.898,264.84,264.828
FLQS30CWGRWV,-13.7712518082,-13.7792536977,-13.7362435417,-13.7012352752,-13.7362435417,-13.7092371647,-13.7012352752,-13.7362435417,-13.6332192145,-13.7012352752,-13.7012352752,-13.7372437779,-13.7362435417,-13.673228662,-13.6382203955,-13.6662270087,-13.598210948,-13.7362435417,-13.7022355114,-13.7082369285,-13.6312187422,-13.6652267725,-13.6652267725,-13.673228662,-13.7362435417,-13.6662270087,-13.7012352752,-13.6312187422,-13.7032357475,-13.5271941788,-13.6372201593,-13.7012352752,-140.78312539,-140.78612567,-140.812128094,-140.775124644,-140.785125576,-140.788125856,-140.775124644,-140.751122406,-140.784125483,-140.71511905,-140.71511905,-140.785125576,-140.785125576,-140.750122313,-140.718119329,-140.775124644,-140.68111588,-140.751122406,-140.751122406,-140.714118956,-140.74912222,-140.687116439,-140.687116439,-140.750122313,-140.775124644,-140.775124644,-140.716119143,-140.74912222,-140.719119423,-140.74912222,-140.691116812,-140.716119143,264.077,264.074,264.092,264.105,264.091,264.102,264.105,264.09,264.133,264.103,264.103,264.091,264.091,264.115,264.128,264.119,264.143,264.09,264.104,264.1,264.132,264.116,264.116,264.115,264.091,264.119,264.102,264.132,264.102,264.174,264.127,264.102
FLQS30C7GRWV,-13.6409414394,-13.6479450033,-13.6069241291,-13.5709058005,-13.60592362,-13.5779093644,-13.5709058005,-13.6049231108,-13.5018706707,-13.5709058005,-13.5709058005,-13.60592362,-13.60592362,-13.5689047822,-13.5058727072,-13.5358879811,-13.4678533604,-13.6049231108,-13.5709058005,-13.6069241291,-13.5008701616,-13.5348874719,-13.5348874719,-13.5689047822,-13.60592362,-13.5358879811,-13.5709058005,-13.5008701616,-13.5719063096,-13.3958167033,-13.5348874719,-13.5709058005,-140.679844608,-140.718847892,-140.778852944,-140.648841998,-140.716847724,-140.718847892,-140.648841998,-140.706846882,-140.714847555,-140.610838798,-140.610838798,-140.715847639,-140.716847724,-140.707846966,-140.647841914,-140.646841829,-140.611838882,-140.706846882,-140.70884705,-140.714847555,-140.681844776,-140.619839556,-140.619839556,-140.707846966,-140.680844692,-140.646841829,-140.647841914,-140.681844776,-140.679844608,-140.681844776,-140.65184225,-140.647841914,264.127,264.126,264.145,264.154,264.142,264.154,264.154,264.143,264.184,264.153,264.153,264.143,264.142,264.157,264.18,264.168,264.194,264.143,264.156,264.142,264.184,264.168,264.168,264.157,264.141,264.168,264.154,264.184,264.155,264.226,264.168,264.154
FLQS29JFGRX5,-13.7610467404,-13.7690479305,-13.6980373688,-13.6620320136,-13.726041534,-13.6990375175,-13.6620320136,-13.6980373688,-13.6210259145,-13.6620320136,-13.6620320136,-13.7250413852,-13.726041534,-13.68903603,-13.6270268071,-13.6550309723,-13.5580165429,-13.6980373688,-13.6630321623,-13.69703722,-13.6200257658,-13.6270268071,-13.6270268071,-13.68903603,-13.726041534,-13.6550309723,-13.6620320136,-13.6200257658,-13.6910363275,-13.5150101464,-13.6270268071,-13.6620320136,-140.793687391,-140.768685316,-140.740682991,-140.706680169,-140.797687723,-140.767685233,-140.706680169,-140.731682244,-140.793687391,-140.669677097,-140.669677097,-140.770685482,-140.797687723,-140.762684818,-140.697679421,-140.732682327,-140.672677346,-140.731682244,-140.732682327,-140.674677512,-140.73368241,-140.668677014,-140.668677014,-140.762684818,-140.732682327,-140.732682327,-140.698679504,-140.73368241,-140.730682161,-140.73368241,-140.699679587,-140.698679504,264.755,264.751,264.779,264.792,264.769,264.779,264.792,264.778,264.811,264.79,264.79,264.769,264.769,264.783,264.805,264.795,264.832,264.778,264.792,264.776,264.81,264.804,264.804,264.783,264.767,264.795,264.791,264.81,264.781,264.852,264.805,264.791
FLQS22XEGRX2,-13.5954534912,-13.6314626382,-13.5604445983,-13.5254357054,-13.5604445983,-13.5614448524,-13.5254357054,-13.5604445983,-13.4854255421,-13.5254357054,-13.5254357054,-13.5884517126,-13.5604445983,-13.5254357054,-13.4904268125,-13.4904268125,-13.4514169033,-13.5604445983,-13.5264359595,-13.5604445983,-13.4834250339,-13.4904268125,-13.4904268125,-13.5254357054,-13.5894519667,-13.4904268125,-13.5254357054,-13.4834250339,-13.5554433279,-13.3793986093,-13.5194341809,-13.5254357054,-140.703746792,-140.707746301,-140.707746301,-140.63175562,-140.707746301,-140.708746179,-140.63175562,-140.695747773,-140.727743849,-140.633755374,-140.633755374,-140.736742746,-140.707746301,-140.670750838,-140.636755006,-140.670750838,-140.636755006,-140.695747773,-140.69674765,-140.637754884,-140.697747528,-140.633755374,-140.633755374,-140.670750838,-140.670750838,-140.670750838,-140.638754761,-140.697747528,-140.670750838,-140.669750961,-140.641754393,-140.638754761,264.146,264.131,264.16,264.171,264.16,264.16,264.171,264.16,264.191,264.171,264.171,264.15,264.16,264.173,264.186,264.187,264.201,264.16,264.174,264.157,264.191,264.186,264.186,264.173,264.147,264.187,264.172,264.191,264.161,264.232,264.174,264.172
FLQS22TQGRX2,-13.4991211425,-13.5351268002,-13.4641156421,-13.4291101416,-13.4641156421,-13.4651157992,-13.4291101416,-13.4631154849,-13.3600992978,-13.4291101416,-13.4291101416,-13.4651157992,-13.4641156421,-13.4291101416,-13.3640999264,-13.3941046411,-13.3250937973,-13.4631154849,-13.4291101416,-13.4641156421,-13.3590991406,-13.3931044839,-13.3931044839,-13.4291101416,-13.4641156421,-13.3941046411,-13.4291101416,-13.3590991406,-13.4301102987,-13.2540826392,-13.3941046411,-13.4291101416,-140.843216848,-140.846216406,-140.87221257,-140.810221717,-140.847216258,-140.847216258,-140.810221717,-140.809221865,-140.841217143,-140.773227176,-140.773227176,-140.874212274,-140.847216258,-140.809221865,-140.775226881,-140.808222012,-140.774227029,-140.809221865,-140.808222012,-140.802222897,-140.81122157,-140.769227766,-140.769227766,-140.809221865,-140.81122157,-140.808222012,-140.801223045,-140.81122157,-140.838217586,-140.80722216,-140.779226291,-140.801223045,264.864,264.85,264.879,264.891,264.878,264.878,264.891,264.877,264.92,264.889,264.889,264.879,264.878,264.891,264.916,264.905,264.932,264.877,264.891,264.876,264.919,264.904,264.904,264.891,264.877,264.905,264.891,264.919,264.892,264.961,264.904,264.891
FLQS21YXGRX2,-13.8637217994,-13.899721077,-13.8297224816,-13.8217226422,-13.8577219198,-13.8287225017,-13.8217226422,-13.8587218997,-13.7237246087,-13.8217226422,-13.8217226422,-13.8607218596,-13.8577219198,-13.8217226422,-13.7587239063,-13.7577239264,-13.688725311,-13.8587218997,-13.823722602,-13.8287225017,-13.7517240468,-13.7577239264,-13.7577239264,-13.8217226422,-13.8577219198,-13.7577239264,-13.7947231839,-13.7517240468,-13.793723204,-13.6187267156,-13.7577239264,-13.7947231839,-140.665844349,-140.668843877,-140.636848916,-140.631849704,-140.666844192,-140.667844034,-140.631849704,-140.630849861,-140.662844822,-140.595855373,-140.595855373,-140.668843877,-140.666844192,-140.598854901,-140.597855058,-140.628850176,-140.565860097,-140.630849861,-140.630849861,-140.595855373,-140.632849546,-140.56286057,-140.56286057,-140.598854901,-140.631849704,-140.628850176,-140.56685994,-140.632849546,-140.634849231,-140.630849861,-140.599854743,-140.56685994,264.035,264.021,264.048,264.051,264.038,264.049,264.051,264.036,264.091,264.049,264.049,264.036,264.038,264.049,264.075,264.076,264.102,264.036,264.05,264.046,264.079,264.074,264.074,264.049,264.036,264.076,264.059,264.079,264.062,264.132,264.075,264.059
FLQS2AVTGRX5,-13.5701336313,-13.6061286807,-13.5351384444,-13.4991433949,-13.5351384444,-13.5361383069,-13.4991433949,-13.5351384444,-13.4291530211,-13.5001432574,-13.5001432574,-13.5351384444,-13.5351384444,-13.5001432574,-13.464148208,-13.464148208,-13.3951576966,-13.5351384444,-13.5001432574,-13.5361383069,-13.4301528836,-13.4651480705,-13.4651480705,-13.5001432574,-13.5341385819,-13.464148208,-13.5011431199,-13.4301528836,-13.5001432574,-13.3251673228,-13.4651480705,-13.5011431199,-140.764628068,-140.762627917,-140.737626029,-140.72862535,-140.764628068,-140.765628144,-140.72862535,-140.700623236,-140.764628068,-140.695622858,-140.695622858,-140.737626029,-140.764628068,-140.729625425,-140.697623009,-140.727625274,-140.696622934,-140.700623236,-140.730625501,-140.694622783,-140.729625425,-140.660620215,-140.660620215,-140.729625425,-140.72862535,-140.727625274,-140.694622783,-140.729625425,-140.72862535,-140.729625425,-140.695622858,-140.694622783,264.83,264.815,264.843,264.856,264.844,264.843,264.856,264.841,264.886,264.855,264.855,264.843,264.844,264.856,264.869,264.871,264.897,264.841,264.856,264.84,264.885,264.868,264.868,264.856,264.842,264.871,264.855,264.885,264.856,264.927,264.869,264.855
FLQS3087GRWV,-13.7411222811,-13.7773572944,-13.7058937959,-13.6696587825,-13.7058937959,-13.7079068522,-13.6696587825,-13.734076584,-13.6012148684,-13.7008611551,-13.7008611551,-13.7048872677,-13.7058937959,-13.6988480988,-13.6354368255,-13.6344302973,-13.598195284,-13.734076584,-13.6706653107,-13.7058937959,-13.6293976566,-13.6344302973,-13.6344302973,-13.6988480988,-13.7058937959,-13.6344302973,-13.6696587825,-13.6293976566,-13.6716718388,-13.4945228847,-13.6354368255,-13.6696587825,-140.797187245,-140.823188757,-140.804187652,-140.786186605,-140.803187594,-140.826188931,-140.786186605,-140.793187012,-140.798187303,-140.758184977,-140.758184977,-140.829189106,-140.803187594,-140.823188757,-140.754184744,-140.787186663,-140.735183639,-140.793187012,-140.770185675,-140.737183756,-140.793187012,-140.730183349,-140.730183349,-140.823188757,-140.787186663,-140.787186663,-140.759185035,-140.793187012,-140.787186663,-140.763185268,-140.74018393,-140.759185035,264.125,264.111,264.139,264.153,264.139,264.139,264.153,264.127,264.18,264.139,264.139,264.14,264.139,264.142,264.165,264.167,264.179,264.127,264.152,264.136,264.169,264.165,264.165,264.142,264.138,264.167,264.151,264.169,264.152,264.222,264.165,264.151
