,Distance_X_LOGO_Battery_Left1,Distance_X_LOGO_Battery_Left2,Distance_X_LOGO_Battery_Left3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Battery_Left1,Distance_Y_LOGO_Battery_Left2,Distance_Y_LOGO_Battery_Left3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Battery_Left1,Angle_Battery_Left2,Angle_Battery_Left3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-9.31246336665,-9.13243507689,-9.03441967468,-9.27245708004,-9.20344623563,-9.31746415248,-9.05942360382,-9.07842658996,-8.96340851594,-9.14443696287,-9.07942674713,-8.96340851594,-9.18344309232,-9.21844859311,-8.8463901276,-8.96540883027,-8.98441181642,-9.34246808161,-9.36747201075,-9.0194173172,-9.19544497831,-9.26445582272,-8.8723942139,-8.63335665138,-8.88039547122,-9.18544340665,-9.2274500076,-9.23245079343,-9.3314663528,-9.34046776728,-8.9704096161,-9.18544340665,117.47498878,117.299966448,117.945048755,117.679014812,117.627008176,117.360974232,117.836034846,117.865038547,117.539997074,117.455986355,117.610006007,117.865038547,117.560999754,117.704018002,117.723020426,117.855037271,117.998055518,117.082938758,117.476989035,117.418981634,117.440984441,117.448985462,117.664012898,117.513993756,117.765025786,117.690016215,117.498991842,117.376976274,117.645010473,117.756024637,117.64201009,117.447985334,94.637,94.557,94.485,94.61,94.579,94.644,94.501,94.509,94.466,94.557,94.519,94.454,94.571,94.583,94.402,94.455,94.459,94.667,94.664,94.497,94.582,94.615,94.417,94.307,94.417,94.568,94.595,94.602,94.64,94.64,94.465,94.577
FLQS30KBGRWV,-9.21769591505,-9.12959368409,-9.04950074684,-9.23771914937,-9.21269010648,-9.27476213284,-9.26374935397,-9.15562388869,-9.16062969727,-9.16463434413,-9.15662505041,-9.27976794142,-9.20267848932,-9.29678769058,-8.85427421231,-9.10656696463,-8.90433229809,-9.46998866737,-9.33583299749,-8.97241129475,-9.27175864769,-9.34684577636,-8.94237644328,-8.88731254892,-9.0274751891,-9.15562388869,-9.00544963136,-9.07753327488,-9.30880163117,-9.42293406674,-9.16763782928,-9.20468081275,117.596154203,118.063087314,117.746132718,117.738133864,118.347046636,117.601153486,117.891111949,117.986098343,117.784127275,117.750132145,117.858116676,118.042090322,117.737134007,117.955102783,117.844118681,117.971100491,117.612151911,117.769129424,117.659145179,117.677142601,117.563158929,117.690140739,118.044090035,117.627149762,117.818122405,117.820122119,118.177070985,117.70213902,117.841119111,117.997096767,117.888112379,117.621150622,94.492,94.432,94.405,94.496,94.462,94.52,94.504,94.448,94.458,94.461,94.453,94.505,94.48,94.517,94.307,94.424,94.34,94.608,94.547,94.371,94.52,94.551,94.343,94.331,94.392,94.454,94.368,94.421,94.527,94.576,94.457,94.485
FLQS30CWGRWV,-9.21180896326,-9.13678608648,-9.28883245008,-9.1417876116,-9.28883245008,-9.3908635625,-9.11277876591,-8.87870739037,-9.01474887359,-9.15479157691,-8.97473667264,-9.28483122999,-9.17579798241,-9.23681658885,-8.90671593103,-8.84669762961,-9.12878364629,-9.29983580534,-9.44287942373,-9.09577358051,-9.30983885558,-9.25882329937,-9.12678303624,-8.76467261766,-8.94372721691,-9.00874704345,-9.30683794051,-9.20280621805,-9.29483428023,-9.42687454335,-9.26982665463,-9.1797992025,117.684150051,117.562141602,117.441133221,118.515207605,117.392129828,117.503137515,118.340195485,118.03617443,118.311193476,117.916166119,117.637146796,117.620145618,118.44020241,117.734153514,118.237188351,118.09017817,117.68515012,117.693150674,117.611144995,117.566141879,118.191185165,118.192185234,117.288122625,117.356127334,118.478205042,118.340195485,117.464134814,117.661148458,117.940167781,117.649147627,118.256189667,118.118180109,94.333,94.301,94.379,94.268,94.381,94.426,94.26,94.159,94.214,94.296,94.22,94.371,94.287,94.343,94.165,94.141,94.293,94.375,94.447,94.281,94.361,94.336,94.307,94.128,94.174,94.21,94.387,94.329,94.363,94.438,94.339,94.301
FLQS30C7GRWV,-9.34365675572,-9.26353106803,-9.29257662981,-9.23749021953,-9.40875887696,-9.27955620556,-9.29057348762,-9.17338966938,-9.16437552951,-9.02916343153,-9.16337395841,-9.04318542688,-9.14434410759,-9.23348393514,-9.17439124047,-8.78377851298,-8.59147686253,-9.29858605639,-9.28155934776,-9.0381775714,-9.33063633147,-9.27655149228,-8.96205816809,-8.78578165518,-8.85889634519,-9.10528283484,-9.04819328236,-9.26152792583,-9.24650435939,-9.42177930121,-9.24049493282,-9.20443837336,117.976629864,118.239653563,118.064637794,118.375665818,118.003632297,118.12164293,117.705605444,117.979630134,117.980630224,118.343662934,118.243653923,118.179648156,118.378666088,118.471674468,118.153645813,118.517678613,118.03663527,118.239653563,117.925625268,118.179648156,118.12664338,118.333662033,117.840617609,117.774611662,118.21165104,118.206650589,118.151645633,118.071638424,118.227652481,118.448672396,118.090640136,118.132643921,94.441,94.392,94.413,94.375,94.471,94.405,94.426,94.359,94.354,94.276,94.344,94.289,94.33,94.369,94.353,94.152,94.076,94.409,94.413,94.286,94.429,94.395,94.262,94.18,94.199,94.317,94.292,94.398,94.385,94.46,94.387,94.368
FLQS29JFGRX5,-9.20955517084,-9.18755623341,-9.40154589753,-9.22155459126,-8.96656690737,-9.14955806875,-9.252553094,-9.09256082176,-8.96656690737,-9.02656400946,-9.10456024218,-9.23555391508,-8.72657849901,-9.34254874714,-9.05456265711,-8.78757555281,-9.01256468564,-9.39754609072,-9.32354966481,-9.04156328499,-9.18855618511,-9.26955227293,-8.88057106105,-8.77257627728,-8.89357043316,-9.21555488105,-9.48554184045,-9.07056188433,-9.47154251663,-9.53153961872,-9.28955130696,-9.2475533355,118.103913748,118.373936414,118.303930538,118.374936498,118.406939184,117.86889402,118.270927768,118.033907872,118.105913916,118.077911566,118.052909467,117.780886633,118.389937757,118.391937925,117.841891754,118.242925417,118.172919541,118.293929698,118.223923822,117.795887892,118.325932385,118.199921807,118.095913077,117.712880925,118.461943802,117.877894776,117.681878322,118.090912657,117.891895951,118.127915763,117.952901072,118.251926173,94.333,94.312,94.418,94.329,94.205,94.313,94.348,94.279,94.216,94.246,94.284,94.358,94.09,94.386,94.268,94.125,94.235,94.416,94.383,94.264,94.315,94.358,94.175,94.136,94.168,94.345,94.482,94.267,94.468,94.487,94.377,94.346
FLQS22XEGRX2,-9.0597815078,-9.12078003671,-8.97078365413,-9.14477945793,-9.14777938558,-9.14177953028,-9.11078027788,-8.99878297888,-9.00678278595,-9.15377924088,-8.93878442585,-9.01378261714,-9.11078027788,-9.40977306715,-8.96578377472,-9.0347821107,-8.99578305123,-9.27577629871,-9.06078148368,-8.68879045489,-9.24677699808,-9.25977668457,-9.11978006083,-8.81578739214,-9.00578281007,-9.02578232775,-9.22777745629,-8.9107851011,-9.28777600932,-9.33477487586,-9.21277781803,-8.97678350944,117.646730532,117.588738059,117.401762326,118.000684592,117.540744288,116.878830198,117.967688874,117.927694065,117.929693806,117.218786075,118.137666813,117.86170263,118.074674989,117.034809953,117.852703798,117.369766479,117.923694584,117.995685241,117.648730272,117.543743899,117.673727028,117.546743509,116.725850054,117.087803075,117.541744158,117.215786464,117.557742082,118.03568005,117.759715867,117.936692897,117.608735463,117.68372573,94.253,94.284,94.219,94.281,94.299,94.322,94.265,94.213,94.216,94.314,94.176,94.222,94.261,94.446,94.2,94.251,94.212,94.344,94.253,94.077,94.342,94.354,94.317,94.155,94.23,94.252,94.337,94.166,94.359,94.375,94.328,94.211
FLQS22TQGRX2,-9.34009875562,-9.33509709622,-9.05900549758,-9.42012530595,-9.29908514858,-9.35810472945,-9.27107585596,-9.31108913112,-9.23106258079,-9.23506390831,-9.24806822274,-9.29908514858,-9.39911833649,-9.43412995226,-9.13803171603,-8.93596467644,-9.15703802174,-9.43613061602,-9.33909842374,-9.23806490395,-9.34910174253,-9.47714422306,-9.15203636234,-8.90395405631,-8.98698160228,-9.22506058952,-9.44713426669,-9.32309311367,-9.48814787373,-9.49815119253,-9.42412663347,-9.33709775998,117.911376226,117.789395493,118.011360434,118.054353644,117.805392966,117.256479665,117.958368804,117.241482034,117.926373858,117.740403231,117.25847935,117.912376068,117.448449344,117.54743371,117.304472085,117.44145045,117.195489299,117.315470348,117.920374805,117.25847935,117.469446028,117.808392492,117.052511882,117.226484403,117.753401178,118.020359013,117.474445238,117.880381122,118.020359013,117.660415865,117.281475717,117.468446186,94.388,94.39,94.248,94.421,94.372,94.422,94.353,94.399,94.335,94.343,94.368,94.368,94.434,94.447,94.313,94.21,94.326,94.457,94.387,94.363,94.409,94.458,94.329,94.203,94.223,94.328,94.457,94.381,94.455,94.474,94.453,94.404
FLQS21YXGRX2,-9.17312699214,-8.90718129406,-8.87218843905,-9.11513883241,-9.22911556016,-9.17212719629,-9.10414107798,-8.86419007219,-8.93717516978,-9.05615087682,-8.98716496266,-9.24111311045,-9.02015822595,-9.01116006324,-8.76221089473,-8.89318415206,-8.71722008114,-9.13313515784,-9.17512658386,-8.80220272903,-8.96516945379,-9.23911351873,-8.85519190947,-8.61124172025,-8.85619170533,-8.93517557807,-9.12413699513,-8.83619578818,-9.19512250101,-9.17612637971,-9.12813617856,-9.01915843009,117.439829026,117.46082542,117.984735436,118.114713111,117.649792964,117.389837613,117.502818208,117.445827996,117.390837441,117.601801207,117.7677727,117.316850149,118.04572496,117.618798287,117.44382834,117.366841562,118.049724273,117.704783519,117.445827996,117.519815288,117.659791247,117.600801378,117.302852553,117.425831431,117.476822673,117.353843795,118.012730627,117.748775963,117.745776478,118.12671105,117.550809965,117.930744709,94.601,94.471,94.435,94.547,94.62,94.602,94.565,94.451,94.488,94.538,94.499,94.638,94.504,94.516,94.401,94.468,94.358,94.571,94.601,94.418,94.492,94.626,94.452,94.328,94.446,94.489,94.555,94.426,94.6,94.576,94.575,94.508
FLQS2AVTGRX5,-9.40252222508,-9.33152583266,-9.46251917643,-9.36052435914,-9.03554087268,-9.21253187915,-9.26152938942,-9.22553121861,-9.20053248888,-9.22753111699,-9.09953762078,-9.10253746835,-9.19653269213,-9.29752756023,-9.06853919592,-9.11353690943,-8.93754585215,-9.47751841426,-9.33152583266,-9.02954117755,-9.32852598509,-9.63251053857,-9.02554138079,-8.88654844351,-9.14053553754,-9.21653167591,-9.43452059913,-9.25652964347,-9.41352166616,-9.41352166616,-9.40552207265,-9.32852598509,117.650554016,117.784564898,117.919575862,117.926576431,118.006582928,117.788565223,117.95057838,117.701558158,118.497622804,117.814567335,118.039585608,118.035585283,118.105590968,117.944577893,117.642553366,117.946578055,118.715640508,117.584548656,117.955578786,117.970580004,117.979580735,117.740561325,117.640553204,117.804566523,117.750562137,117.928576593,117.731560594,118.051586582,118.193598115,118.378613139,117.748561975,117.74456165,94.484,94.444,94.502,94.453,94.293,94.386,94.404,94.396,94.354,94.393,94.322,94.324,94.367,94.422,94.322,94.333,94.22,94.523,94.437,94.291,94.435,94.591,94.301,94.228,94.353,94.383,94.496,94.397,94.468,94.461,94.481,94.444
FLQS3087GRWV,-8.97458923542,-9.09524246287,-8.94342048499,-9.18975415771,-8.94040415431,-9.23298823088,-8.95448036418,-8.92331161375,-9.04597572833,-8.99771443735,-8.85091967728,-8.93939871074,-9.16160173797,-8.79763116849,-8.82980536247,-8.74936987751,-8.91828439594,-9.1264112133,-9.16562351222,-8.91828439594,-9.21589569033,-9.29834206242,-8.97257834829,-8.72322834489,-8.80165294274,-9.05904649464,-9.32247270791,-9.03592129271,-9.13948197961,-9.43508238687,-9.05301383326,-8.95045858993,117.686616379,117.813624598,117.580609518,117.947633271,117.656614437,117.495604017,118.126644856,117.810624404,117.946633206,117.587609971,118.153646604,117.691616702,117.753620715,117.855627317,117.422599292,117.874628546,117.683616185,118.02363819,117.869628223,118.022638125,117.89662997,117.579609454,117.283590296,117.59361036,117.848626864,117.582609648,117.450601105,117.59161023,117.794623369,117.767621621,118.11464408,117.977635213,94.22,94.274,94.209,94.314,94.205,94.352,94.194,94.191,94.245,94.235,94.144,94.203,94.308,94.129,94.16,94.105,94.193,94.281,94.305,94.181,94.328,94.38,94.234,94.102,94.131,94.265,94.397,94.253,94.296,94.439,94.242,94.198
