,Distance_X_LOGO_Battery_Left1,Distance_X_LOGO_Battery_Left2,Distance_X_LOGO_Battery_Left3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Battery_Left1,Distance_Y_LOGO_Battery_Left2,Distance_Y_LOGO_Battery_Left3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Battery_Left1,Angle_Battery_Left2,Angle_Battery_Left3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS2044GRWY,-9.45172913035,-9.25579693473,-9.3987474652,-9.27678966997,-9.33676891353,-9.33177064323,-9.23280489137,-9.22580731295,-9.20681388583,-9.22780662107,-9.01188134427,-9.20381492365,-9.24580039414,-9.28278759433,-9.17182599375,-8.91591455458,-9.07585920406,-9.46372497906,-9.44972982223,-9.09685193931,-9.32477306482,-9.33976787571,-9.01887892268,-8.88292597062,-9.02987511734,-9.13783775574,-9.41874054639,-9.05086785258,-9.46472463312,-9.41174296797,-9.28578655651,-9.25879589691,117.448394425,117.598419199,118.014487905,118.07949864,117.819455699,117.548410941,118.246526222,117.206354457,117.810454213,117.373382038,118.220521928,118.20551945,118.016488235,118.115504586,117.452395086,117.591418043,117.467397563,117.398386167,117.514405326,117.028325058,117.351378405,117.370381543,117.140343556,117.302370312,117.375382369,117.905469903,117.630424484,118.053494346,117.970480638,117.683433237,117.495402188,117.3543789,94.738,94.638,94.691,94.63,94.669,94.676,94.602,94.638,94.606,94.633,94.497,94.59,94.617,94.631,94.603,94.473,94.556,94.746,94.735,94.582,94.681,94.687,94.54,94.468,94.537,94.569,94.715,94.521,94.725,94.71,94.656,94.649
FLQS312SGRWV,-8.70695715056,-8.65093812477,-9.05007368349,-9.0610774207,-9.00305771542,-9.10509236953,-8.77798127253,-8.78098229177,-8.85200641375,-8.73496666345,-8.54190109244,-8.7339663237,-8.95804242684,-9.00205737567,-8.6169265734,-8.50688920133,-8.32082600854,-8.94103665116,-8.85600777273,-8.79698772771,-9.03006688857,-9.10909372851,-8.78798467,-8.42386100239,-8.63793370807,-8.7229625865,-9.14310527988,-8.88301694588,-9.00805941415,-9.1891209082,-8.68595001589,-8.89101966385,118.618338605,117.97229319,118.217310414,118.220310625,117.592266475,117.77527934,118.00729565,118.970363352,118.487329395,118.120303594,118.165306758,118.623338957,118.623338957,118.309316882,118.544333403,117.894287706,118.367320959,118.157306196,118.027297056,118.279314773,118.228311187,118.17130718,117.616268162,118.064299657,117.612267881,118.593336848,117.722275614,118.576335652,118.195308867,118.168306969,118.129304227,118.441326162,94.305,94.301,94.485,94.49,94.485,94.528,94.361,94.329,94.379,94.337,94.241,94.318,94.426,94.458,94.264,94.234,94.128,94.435,94.398,94.361,94.475,94.515,94.38,94.188,94.307,94.314,94.548,94.391,94.465,94.554,94.312,94.4
FLQS31J6GRWY,-9.20335889913,-9.27043439639,-9.3685448252,-9.24540622577,-9.30547383525,-9.2914580597,-9.449636098,-9.23939946482,-9.22738594293,-9.41659891279,-9.30046820113,-9.30647496207,-9.40358426407,-9.43862370293,-9.17332509439,-9.26042312814,-9.13928678235,-9.48968117099,-9.41659891279,-9.33350538634,-9.40959102501,-9.65486709706,-9.15130030425,-8.84795887638,-9.04217748036,-9.10925297762,-9.50269581971,-9.33550763999,-9.2424028453,-9.66387723848,-9.29746482065,-9.26642988909,118.341110688,118.067117377,117.75612497,118.005118891,117.891121674,117.813123578,117.774124531,117.666127167,118.061117524,117.825123285,117.677126899,117.92612082,117.626128144,117.7221258,118.329110981,117.469131977,118.194114276,117.674126972,117.79012414,118.196114228,117.690126581,117.69712641,117.40513354,117.401133637,117.779124408,117.962119941,117.634127949,117.703126264,118.240113153,117.89212165,118.162115058,118.018118573,94.525,94.568,94.627,94.558,94.592,94.587,94.665,94.568,94.547,94.647,94.597,94.59,94.649,94.662,94.511,94.586,94.5,94.689,94.649,94.593,94.649,94.767,94.535,94.388,94.468,94.494,94.697,94.613,94.548,94.764,94.577,94.568
FLQS31FWGRWY,-9.20507388271,-8.79207056782,-9.02107240586,-9.15507348139,-9.2730744285,-9.00807230152,-9.19007376232,-8.9430717798,-8.87707125006,-9.21407395495,-8.95007183599,-9.21007392284,-9.17707365797,-9.15407347337,-8.85707108953,-8.98307210086,-8.87207120993,-9.0910729677,-9.0680727831,-8.75807029492,-9.19507380245,-9.33107489403,-9.11507316034,-8.76307033506,-8.76507035111,-8.92807165941,-9.23207409942,-9.09607300784,-9.15507348139,-9.40607549601,-9.02807246204,-9.1250732406,117.841070954,117.922082002,118.652181572,118.22812374,117.617040401,117.858073273,117.888077365,118.309134788,118.446153474,117.811066862,118.307134515,118.07810328,118.573170797,118.197119512,117.837070409,117.758059633,118.376143927,118.23912524,117.963087595,118.050099461,117.865074228,117.867074501,117.62304122,117.443016668,118.472157021,119.015231084,117.864074091,118.662182936,118.398146927,118.108107372,118.064101371,117.861073682,94.447,94.244,94.328,94.408,94.488,94.351,94.437,94.302,94.266,94.452,94.306,94.44,94.405,94.409,94.278,94.342,94.266,94.377,94.376,94.223,94.441,94.506,94.411,94.247,94.211,94.27,94.459,94.363,94.401,94.533,94.352,94.407
FLQS31CRGRWY,-9.61191896664,-9.32980394285,-9.31079619302,-9.57890550641,-9.68194751865,-9.35381373211,-9.65193528207,-9.50187409921,-9.44885248126,-9.43784799452,-9.50087369132,-9.80699850437,-9.48486716515,-9.58190673007,-9.39483045543,-9.31979986399,-9.0867048266,-9.58590836161,-9.61592059819,-9.43984881029,-9.71696179465,-9.49086961246,-9.35581454788,-9.23076356216,-9.18274398364,-9.47486308629,-9.70395649214,-9.47486308629,-9.64493242687,-9.82100421477,-9.50987736229,-9.06069422157,118.055926358,118.59912387,118.542103137,118.135955457,118.07793436,117.958891075,118.280007836,117.924878708,117.80783615,118.039920538,118.128952911,117.79183033,118.015911808,118.042921629,118.047923448,118.319022022,118.67115006,117.748814689,118.00290708,117.80783615,118.263001653,118.033918356,117.920877253,117.784827784,118.486082767,118.837210441,118.011910353,118.09394018,118.108945636,118.209982374,118.164966006,117.96289253,94.663,94.506,94.499,94.644,94.696,94.542,94.673,94.615,94.594,94.58,94.606,94.767,94.603,94.649,94.558,94.512,94.387,94.662,94.667,94.589,94.705,94.605,94.545,94.489,94.44,94.567,94.709,94.595,94.676,94.757,94.609,94.4
FLQS319LGRWY,-9.35934580443,-9.28528767894,-9.42439686059,-9.38536622689,-9.3653505173,-9.5414887617,-9.21823505181,-9.23925154688,-9.4143890058,-9.29329396278,-9.34533480771,-9.18020520359,-9.4143890058,-9.4974542006,-9.19421620031,-9.2532625436,-9.160189494,-9.49345105868,-9.47043299265,-9.18120598907,-9.41038586388,-9.48444398937,-9.09914157975,-8.90999312412,-9.10514629263,-9.35534266251,-9.32331752716,-9.34233245127,-9.43940864279,-9.67059008855,-9.42439686059,-9.40638272196,117.660782292,117.60977545,117.753794768,117.624777463,117.752794634,117.187718838,117.786799195,117.805801744,117.482758413,118.106842124,117.942820123,117.941819989,117.371743522,117.59277317,117.868810196,117.521763645,117.499760694,117.542766462,117.787799329,117.745793695,117.764796244,117.825804427,117.3447399,117.452754389,117.581771694,117.514762706,117.579771426,117.454754657,118.051834746,117.752794634,117.761795842,117.504761365,94.615,94.582,94.643,94.63,94.615,94.722,94.543,94.552,94.649,94.567,94.598,94.518,94.653,94.685,94.528,94.57,94.526,94.685,94.664,94.526,94.636,94.67,94.501,94.406,94.496,94.619,94.601,94.615,94.639,94.762,94.643,94.644
FLQS319HGRWY,-9.20611497279,-9.0410770577,-8.97606212145,-9.21911796004,-9.15410302379,-9.14910187485,-9.20911566216,-9.02007223214,-9.02207269172,-9.14410072591,-9.08908808755,-9.09608969606,-9.06408234283,-9.09909038543,-8.79201984038,-8.91904902351,-8.54596331242,-9.39815909217,-9.26112761116,-8.75701179778,-9.25012508348,-9.32814300698,-8.95205660653,-8.69599778069,-8.84703247874,-9.02507338109,-9.22111841962,-9.06808326199,-9.22912025793,-9.45917310927,-9.22011818983,-9.12709681951,117.758644096,118.702617195,117.968638112,118.083634834,117.850641474,117.585649026,117.540650309,117.815642472,118.011636886,118.099634379,117.953638539,117.820642329,118.154632811,118.051635746,117.818642386,117.738644666,118.094634521,117.487651819,117.760644039,118.104634236,117.965638197,118.039636088,117.352655666,117.866641018,117.668646661,117.793643099,117.979637798,117.738644666,118.0006372,118.030636345,117.796643013,117.846641588,94.378,94.263,94.259,94.372,94.35,94.357,94.388,94.286,94.28,94.335,94.314,94.323,94.295,94.315,94.175,94.24,94.047,94.482,94.405,94.148,94.392,94.426,94.27,94.127,94.207,94.289,94.377,94.312,94.38,94.49,94.384,94.336
FLQS317CGRWY,-9.05291961451,-8.98294342491,-9.18187573534,-9.14788730039,-8.94295703085,-9.0489209751,-9.0509202948,-8.74302506056,-8.8719811814,-9.07291281153,-8.95195396951,-8.9439566907,-8.96394988773,-8.88897539887,-8.78501077432,-8.77501417581,-8.61406893973,-9.01493254015,-9.12189614425,-8.99393968327,-8.83099512749,-9.11389886544,-8.86598322229,-8.74102574086,-8.57008390627,-8.8739805011,-9.13789070188,-8.9769454658,-9.14788730039,-9.06791451228,-9.07791111079,-8.69304206799,117.763620171,117.718628721,117.783616371,117.790615041,118.01257286,117.800613141,117.753622071,117.707630811,117.98757761,117.742624161,117.661639551,117.97757951,118.593462467,117.759620931,117.392690662,117.568657222,117.664638981,117.98857742,117.589653232,118.241529349,118.00257476,118.00257476,117.508668622,117.372694463,118.09355747,118.02257096,118.151546449,117.88159775,117.87959813,118.00757381,117.93558749,118.006574,94.395,94.363,94.457,94.44,94.333,94.392,94.395,94.247,94.3,94.406,94.35,94.334,94.322,94.316,94.279,94.268,94.186,94.368,94.435,94.349,94.279,94.416,94.314,94.258,94.15,94.299,94.422,94.354,94.437,94.393,94.401,94.213
FLQS3160GRWY,-9.46885889856,-9.31871842977,-9.35275026936,-9.36976618916,-9.34874652353,-9.22062665682,-9.26366692454,-9.28969127247,-9.0955095995,-9.15256297764,-9.35475214228,-9.34974745999,-9.39679147354,-9.50489261107,-9.264667861,-8.99241314426,-8.89932605361,-9.44483642355,-9.53191789545,-9.08850304429,-9.40579990167,-9.59898063818,-9.26566879746,-8.90833448173,-9.10952270992,-9.30170250997,-9.3107109381,-9.27868097142,-9.36776431624,-9.55193662463,-9.43182424959,-9.2696725433,117.449155251,118.139091546,118.201085821,117.599141402,118.018102717,117.223176117,117.700132077,117.655136232,117.734128938,117.898113796,117.591142141,117.988105487,117.60014131,117.253173347,117.125185165,117.590142233,117.414158483,117.149182949,117.202178056,118.074097547,117.35516393,117.548146111,117.376161991,117.508149804,117.631138448,117.230175471,117.431156913,117.245174086,117.973106872,117.805122383,117.237174825,117.422157744,94.462,94.363,94.377,94.408,94.382,94.35,94.353,94.367,94.27,94.292,94.401,94.383,94.421,94.487,94.375,94.226,94.187,94.462,94.502,94.254,94.435,94.521,94.366,94.188,94.281,94.389,94.386,94.377,94.392,94.488,94.452,94.366
FLQS3126GRWV,-9.30569508989,-9.09701587597,-8.8793504758,-9.14494220261,-9.00016475754,-9.19286852925,-9.09002662,-9.06606345668,-8.94225377951,-9.06905885209,-8.92827526758,-9.06706192181,-9.1758946219,-9.20085625036,-8.96621694284,-8.95323689604,-8.67166972701,-9.15492685399,-9.36160913764,-8.81145484638,-9.09302201541,-8.91629368592,-8.99716936213,-8.63073265633,-8.77451163626,-8.59578637649,-9.34663216057,-9.09202355027,-9.20784550633,-9.39156309179,-9.19586392467,-9.09801434111,117.592375297,118.201361704,118.417356883,117.80237061,118.290359718,117.359380498,118.423356749,117.779371123,117.729372239,117.758371592,118.264360298,118.258360432,117.74637186,118.159362642,117.712372619,117.977366704,117.80237061,117.549376257,117.645374114,117.745371882,118.215361392,117.894368557,117.327381212,117.635374337,117.701372864,118.027365588,117.490377574,118.287359785,118.029365543,117.937367597,117.95336724,117.879368891,94.727,94.603,94.49,94.641,94.553,94.681,94.591,94.603,94.545,94.606,94.519,94.586,94.658,94.655,94.558,94.541,94.412,94.655,94.752,94.481,94.6,94.527,94.587,94.398,94.465,94.367,94.75,94.597,94.663,94.755,94.66,94.615
