,Distance_X_LOGO_MainBoard_Sim1,Distance_X_LOGO_MainBoard_Sim2,Distance_X_LOGO_3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_MainBoard_Sim1,Distance_Y_LOGO_MainBoard_Sim2,Distance_Y_LOGO_3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_MainBoard_Sim1,Angle_MainBoard_Sim2,Angle_3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS309NGRWM,-58.011253809,-57.9402657354,-57.9412655674,-57.9382660713,-57.9062714466,-57.9732601921,-57.9052716146,-57.9062714466,-57.9772595202,-57.9772595202,-57.9062714466,-58.011253809,-57.8762764859,-57.9422653994,-57.9772595202,-57.8772763179,-57.8672779977,-57.9762596882,-57.9392659033,-57.9092709426,-57.9782593522,-58.011253809,-57.9782593522,-57.9042717825,-57.8702774938,-58.010253977,-57.8772763179,-57.9742600241,-57.9412655674,-58.011253809,-58.010253977,-58.011253809,-57.7271197328,-57.6601532354,-57.7621022314,-57.7661002313,-57.6941362341,-57.7641012314,-57.7631017314,-57.7281192328,-57.8300682288,-57.7291187327,-57.6941362341,-57.7281192328,-57.7631017314,-57.6931367341,-57.8310677287,-57.6921372342,-57.7611027315,-57.6931367341,-57.79808423,-57.6561552356,-57.7960852301,-57.6931367341,-57.79808423,-57.6921372342,-57.6521572358,-57.6911377342,-57.7281192328,-57.7251207329,-57.7291187327,-57.621172737,-57.7641012314,-57.7271197328,225.206,225.208,225.258,225.262,225.241,225.243,225.276,225.258,225.274,225.224,225.241,225.206,225.291,225.223,225.275,225.255,225.294,225.206,225.277,225.221,225.256,225.189,225.258,225.242,225.238,225.188,225.273,225.223,225.242,225.153,225.225,225.206
FLQS308YGRWQ,-57.8449447844,-57.8029491805,-57.7729523206,-57.7699526346,-57.8019492852,-57.8389454124,-57.8029491805,-57.8029491805,-57.8399453078,-57.8079486572,-57.8019492852,-57.8719419584,-57.737955984,-57.8059488665,-57.8089485525,-57.74095567,-57.7339564027,-57.8379455171,-57.8019492852,-57.7389558794,-57.8749416443,-57.8429449938,-57.8099484478,-57.8019492852,-57.734956298,-57.8439448891,-57.7399557747,-57.8039490759,-57.7729523206,-57.873941749,-57.8749416443,-57.8449447844,-57.9526572526,-57.8516404191,-57.9866629193,-57.987663086,-57.9186515859,-57.987663086,-57.9866629193,-57.9526572526,-58.0576747528,-57.9506569193,-57.9186515859,-57.9536574193,-57.9536574193,-57.8826455859,-58.0216687527,-57.9166512526,-57.9866629193,-57.9176514192,-57.9886632527,-57.8826455859,-58.0226689194,-57.8846459192,-58.0226689194,-57.9186515859,-57.8426389191,-57.9176514192,-57.9526572526,-57.8846459192,-57.9526572526,-57.8456394191,-57.987663086,-57.9526572526,224.709,224.679,224.761,224.763,224.713,224.729,224.746,224.729,224.763,224.726,224.713,224.696,224.762,224.693,224.76,224.743,224.78,224.695,224.748,224.726,224.728,224.676,224.76,224.713,224.708,224.692,224.761,224.695,224.744,224.641,224.711,224.709
FLQS3084GRWM,-57.8452285481,-57.77221185,-57.7732120788,-57.7702113925,-57.7712116213,-57.807219856,-57.7712116213,-57.7712116213,-57.8052193985,-57.8082200847,-57.7712116213,-57.8382269469,-57.7372038441,-57.7732120788,-57.8092203134,-57.7402045303,-57.7021958382,-57.8042191697,-57.7712116213,-57.7392043016,-57.8402274044,-57.8442283194,-57.8092203134,-57.7702113925,-57.7021958382,-57.8442283194,-57.7392043016,-57.8082200847,-57.7732120788,-57.8432280906,-57.8422278619,-57.8452285481,-58.0846263631,-58.0156279948,-58.1216254881,-58.1226254644,-58.0506271671,-58.1216254881,-58.1216254881,-58.0876262921,-58.1916238327,-58.0836263867,-58.0506271671,-58.0846263631,-58.1236254408,-58.0506271671,-58.18962388,-58.0506271671,-58.1216254881,-58.0496271908,-58.1566246604,-58.0146280185,-58.1546247077,-58.0496271908,-58.155624684,-58.0166279712,-58.0116280894,-58.0486272144,-58.0866263158,-58.0496271908,-58.0876262921,-57.9796288461,-58.1216254881,-58.0846263631,225.463,225.465,225.516,225.518,225.482,225.5,225.517,225.501,225.535,225.48,225.482,225.466,225.535,225.482,225.532,225.498,225.552,225.466,225.535,225.481,225.5,225.446,225.516,225.466,225.497,225.445,225.516,225.464,225.5,225.412,225.482,225.463
FLQS307KGRWV,-57.7282312145,-57.6902257955,-57.6562209469,-57.6872253677,-57.6882255103,-57.7242306441,-57.6892256529,-57.6862252251,-57.7282312145,-57.7262309293,-57.6882255103,-57.7582354927,-57.6222160983,-57.6942263659,-57.6922260807,-57.6242163835,-57.6202158131,-57.7242306441,-57.6522203765,-57.6232162409,-57.7612359205,-57.7272310719,-57.7282312145,-57.6882255103,-57.6212159557,-57.7262309293,-57.6242163835,-57.7242306441,-57.6922260807,-57.7612359205,-57.7242306441,-57.7282312145,-57.9289776002,-57.825975862,-57.9649782078,-57.9299776171,-57.8589764189,-57.930977634,-57.9289776002,-57.8949770265,-58.0349793891,-57.9249775327,-57.8589764189,-57.9279775834,-57.9319776509,-57.8619764695,-57.9989787816,-57.8599764358,-57.9299776171,-57.857976402,-57.9649782078,-57.8239758283,-57.962978174,-57.8609764527,-57.9969787478,-57.8949770265,-57.8199757607,-57.8939770096,-57.8569763852,-57.8599764358,-57.930977634,-57.7889752376,-57.9319776509,-57.9289776002,224.766,224.734,224.82,224.787,224.751,224.769,224.785,224.77,224.819,224.765,224.751,224.751,224.82,224.75,224.819,224.784,224.82,224.733,224.821,224.766,224.767,224.733,224.8,224.769,224.765,224.75,224.782,224.734,224.785,224.68,224.769,224.766
FLQS3072GRWV,-57.6880572402,-57.6120795545,-57.6160783801,-57.6120795545,-57.6120795545,-57.6480689846,-57.6130792609,-57.6110798481,-57.649068691,-57.6520678101,-57.6120795545,-57.6830587082,-57.5820883628,-57.6170780865,-57.6520678101,-57.5830880692,-57.5450992264,-57.6480689846,-57.6140789673,-57.5830880692,-57.6840584146,-57.6870575338,-57.6530675165,-57.6120795545,-57.5740907117,-57.6870575338,-57.5830880692,-57.649068691,-57.6160783801,-57.6860578274,-57.6830587082,-57.6880572402,-57.9379822952,-57.8349663243,-57.9739878772,-57.9389824502,-57.8689715963,-57.9379822952,-57.9739878772,-57.9029768682,-58.0429985762,-57.9369821401,-57.8689715963,-57.9369821401,-57.9399826053,-57.8689715963,-58.0089933042,-57.8679714412,-57.9739878772,-57.9029768682,-58.0069929941,-57.8319658592,-58.0059928391,-57.8699717513,-58.0089933042,-57.9039770233,-57.8309657041,-57.9019767131,-57.9389824502,-57.9019767131,-57.9409827604,-57.8319658592,-57.9389824502,-57.9379822952,225.423,225.41,225.477,225.461,225.427,225.443,225.478,225.444,225.494,225.441,225.427,225.425,225.476,225.424,225.476,225.441,225.512,225.426,225.494,225.423,225.458,225.39,225.476,225.444,225.427,225.405,225.476,225.425,225.46,225.371,225.426,225.423
FLQS305NGRWM,-58.0395677727,-57.964550236,-57.9685511713,-57.964550236,-57.964550236,-57.9995584198,-57.9655504699,-57.964550236,-57.9995584198,-58.0025591213,-57.964550236,-58.032566136,-57.9015355052,-57.9685511713,-58.0025591213,-57.9355434552,-57.8955341023,-57.998558186,-57.964550236,-57.9345432214,-58.0355668374,-58.0385675389,-58.0025591213,-57.9635500022,-57.8965343361,-58.0385675389,-57.9345432214,-57.9995584198,-57.9675509375,-58.0365670713,-58.0355668374,-58.0395677727,-57.9662139586,-57.897202989,-58.0012195229,-58.0022196819,-57.9322085533,-58.0022196819,-58.0032198408,-57.9662139586,-58.0732309694,-57.9652137996,-57.9322085533,-57.9652137996,-58.0012195229,-57.9332087123,-58.0702304924,-57.9322085533,-58.0012195229,-57.9302082353,-58.0372252461,-57.8952026711,-58.0342247692,-57.9322085533,-58.0362250871,-57.9322085533,-57.8922021941,-57.9312083943,-57.9672141176,-57.9302082353,-57.9682142766,-57.8601971068,-58.0022196819,-57.9662139586,224.629,224.631,224.681,224.684,224.649,224.666,224.684,224.666,224.701,224.647,224.649,224.632,224.714,224.647,224.699,224.664,224.718,224.631,224.701,224.646,224.665,224.612,224.682,224.65,224.663,224.612,224.681,224.631,224.665,224.578,224.649,224.629
FLQS305DGRWM,-57.9193959612,-57.8454031204,-57.8813996375,-57.8434033139,-57.8434033139,-57.9113967351,-57.8434033139,-57.8444032172,-57.9123966384,-57.9153963482,-57.8434033139,-57.9443935425,-57.812406313,-57.8823995408,-57.9163962514,-57.8484028302,-57.8094066033,-57.9123966384,-57.8424034107,-57.8484028302,-57.946393349,-57.9513928653,-57.9163962514,-57.8783999278,-57.7774096992,-57.9183960579,-57.8474029269,-57.879399831,-57.8474029269,-57.9493930588,-57.9153963482,-57.9193959612,-57.8803296709,-57.8123292836,-57.9143298646,-57.9143298646,-57.8103292722,-57.9143298646,-57.9133298589,-57.8803296709,-57.9833302576,-57.8783296595,-57.8103292722,-57.8783296595,-57.9153298702,-57.8443294658,-57.9843302633,-57.8443294658,-57.9143298646,-57.8083292608,-57.9493300639,-57.8073292551,-57.9463300468,-57.8453294715,-57.9513300753,-57.8103292722,-57.768329033,-57.8453294715,-57.8803296709,-57.8453294715,-57.8803296709,-57.7753290728,-57.9133298589,-57.8803296709,224.641,224.643,224.676,224.695,224.643,224.661,224.695,224.678,224.695,224.642,224.643,224.627,224.711,224.641,224.694,224.658,224.712,224.609,224.713,224.64,224.66,224.608,224.677,224.626,224.655,224.624,224.676,224.643,224.676,224.574,224.659,224.641
FLQS3057GRWM,-57.8442480181,-57.7702361852,-57.772236505,-57.7682358654,-57.7682358654,-57.8042416219,-57.7692360253,-57.7682358654,-57.8042416219,-57.8062419417,-57.7682358654,-57.8312459393,-57.7012251519,-57.7732366649,-57.8072421016,-57.7012251519,-57.700224992,-57.8012411422,-57.7692360253,-57.7392312282,-57.8722524954,-57.8422476983,-57.8072421016,-57.7692360253,-57.700224992,-57.8432478582,-57.7392312282,-57.8042416219,-57.772236505,-57.8422476983,-57.8402473785,-57.8442480181,-57.9022377855,-57.8341893216,-57.9382634429,-57.9042392109,-57.8331886089,-57.9022377855,-57.9032384982,-57.8682135536,-58.0053111941,-57.9012370728,-57.8331886089,-57.9052399236,-57.9032384982,-57.8692142663,-57.9732883875,-57.8321878962,-57.9032384982,-57.8311871835,-57.9382634429,-57.8321878962,-57.9352613048,-57.8682135536,-57.9402648683,-57.870214979,-57.7941608134,-57.8672128409,-57.8692142663,-57.8662121282,-57.9052399236,-57.7971629516,-57.9022377855,-57.9022377855,225.35,225.353,225.403,225.388,225.353,225.37,225.388,225.371,225.421,225.368,225.353,225.358,225.422,225.369,225.403,225.386,225.422,225.336,225.405,225.367,225.352,225.334,225.387,225.371,225.368,225.333,225.386,225.352,225.387,225.299,225.352,225.35
FLQS3052GRWY,-57.8290641028,-57.7890799612,-57.7590918549,-57.7540938372,-57.7530942337,-57.7900795647,-57.7550934407,-57.7530942337,-57.8230664816,-57.7940779789,-57.7530942337,-57.857053002,-57.7231061274,-57.7590918549,-57.7940779789,-57.7251053345,-57.7191077132,-57.8210672745,-57.7880803576,-57.7241057309,-57.8590522091,-57.8280644993,-57.7940779789,-57.7870807541,-57.6851211928,-57.8280644993,-57.7251053345,-57.7910791682,-57.7580922514,-57.8590522091,-57.8250656887,-57.8290641028,-57.9621952215,-57.8942043766,-57.9951907785,-57.9971905093,-57.925200203,-57.9961906439,-57.9951907785,-57.9611953561,-58.062181758,-57.9611953561,-57.925200203,-57.9591956254,-57.9951907785,-57.9271999337,-58.0631816234,-57.925200203,-57.9951907785,-57.925200203,-58.0311859317,-57.8882051844,-58.0261866048,-57.9262000683,-58.0301860663,-57.9281997991,-57.884205723,-57.9262000683,-57.9621952215,-57.9271999337,-57.9621952215,-57.854209762,-57.9971905093,-57.9621952215,225.396,225.382,225.446,225.45,225.415,225.432,225.449,225.433,225.448,225.412,225.415,225.38,225.464,225.413,225.462,225.429,225.467,225.381,225.45,225.41,225.412,225.378,225.446,225.399,225.428,225.378,225.447,225.397,225.431,225.327,225.414,225.396
FLQS304WGRWM,-59.2186398008,-59.1443033716,-59.1483766006,-59.1443033716,-59.1432850643,-59.1799441253,-59.1412484498,-59.1432850643,-59.1860539688,-59.1850356616,-59.1432850643,-59.2227130298,-59.1147724614,-59.1483766006,-59.1860539688,-59.1147724614,-59.0720035569,-59.1860539688,-59.1453216788,-59.1137541541,-59.2227130298,-59.2196581081,-59.1860539688,-59.1402301426,-59.0709852496,-59.2186398008,-59.1137541541,-59.1453216788,-59.1483766006,-59.2176214936,-59.2135482646,-59.2186398008,-58.1095098048,-58.0384920719,-58.1455187962,-58.1445185464,-58.0384920719,-58.1445185464,-58.1435182967,-58.1105100546,-58.2125355301,-58.1085095551,-58.0384920719,-58.1085095551,-58.1475192957,-58.0735008135,-58.2135357799,-58.071500314,-58.1455187962,-58.075501313,-58.1445185464,-58.0354913226,-58.1775267885,-58.0745010632,-58.1805275378,-58.075501313,-57.9994823312,-58.0735008135,-58.1105100546,-58.0725005637,-58.1125105541,-58.0034833303,-58.1445185464,-58.1095098048,225.308,225.309,225.359,225.361,225.31,225.344,225.362,225.345,225.374,225.324,225.31,225.305,225.377,225.324,225.375,225.34,225.397,225.307,225.361,225.322,225.34,225.29,225.358,225.329,225.325,225.29,225.359,225.325,225.344,225.256,225.327,225.308
FLQS3047GRWM,-57.7922864709,-57.7522654976,-57.6822287943,-57.7162466216,-57.7512649733,-57.7532660219,-57.717247146,-57.717247146,-57.7542665462,-57.7542665462,-57.7512649733,-57.7862833249,-57.6502120157,-57.6852303673,-57.7182476703,-57.6532135887,-57.6492114914,-57.7532660219,-57.7152460973,-57.6892324647,-57.7902854222,-57.7912859465,-57.7562675949,-57.717247146,-57.6502120157,-57.7912859465,-57.6522130644,-57.7542665462,-57.6832293187,-57.7902854222,-57.7892848979,-57.7922864709,-57.7425796214,-57.7115830679,-57.7755759525,-57.7315808443,-57.705583735,-57.8185711719,-57.7755759525,-57.7795755078,-57.8455681701,-57.7405798437,-57.705583735,-57.7385800661,-57.7315808443,-57.7065836238,-57.8475679478,-57.7075835126,-57.7305809555,-57.7025840685,-57.8115719502,-57.7145827344,-57.8075723949,-57.7485789543,-57.8135717278,-57.7075835126,-57.6665880709,-57.7075835126,-57.7425796214,-57.7475790655,-57.7415797326,-57.6775868479,-57.8205709496,-57.7425796214,225.33,225.335,225.402,225.363,225.333,225.387,225.384,225.386,225.4,225.349,225.333,225.332,225.396,225.366,225.419,225.382,225.396,225.33,225.403,225.368,225.364,225.334,225.384,225.35,225.363,225.314,225.4,225.352,225.384,225.3,225.371,225.33
FLQS303BGRWM,-57.9113405626,-57.8403254297,-57.8413256429,-57.8403254297,-57.8393252166,-57.8753328896,-57.8403254297,-57.8393252166,-57.8773333159,-57.8763331028,-57.8393252166,-57.9113405626,-57.8073183961,-57.8743326765,-57.878333529,-57.8093188224,-57.7693102968,-57.8773333159,-57.8403254297,-57.8403254297,-57.9123407758,-57.9113405626,-57.878333529,-57.8373247903,-57.7733111494,-57.9113405626,-57.8093188224,-57.8753328896,-57.842325856,-57.9113405626,-57.9103403495,-57.9113405626,-57.9958572752,-57.9288828459,-57.9978565119,-58.0338427724,-57.9288828459,-58.032843154,-58.0308439173,-57.9988561302,-58.1008172016,-57.963869488,-57.9288828459,-57.9968568935,-58.0318435357,-57.960870633,-58.1008172016,-57.9598710147,-57.9958572752,-57.9288828459,-58.0678297962,-57.9238847542,-58.0658305595,-57.9618702514,-58.0678297962,-57.9278832275,-57.8878984936,-57.9268836092,-57.9958572752,-57.960870633,-57.9648691064,-57.8559107065,-58.0338427724,-57.9958572752,224.722,224.723,224.758,224.776,224.725,224.758,224.774,224.759,224.79,224.723,224.725,224.722,224.791,224.723,224.79,224.755,224.792,224.706,224.793,224.721,224.756,224.705,224.774,224.725,224.737,224.688,224.772,224.722,224.741,224.653,224.741,224.722
FLQS3024GRWM,-57.9158716397,-57.8728709925,-57.8748710226,-57.8408705109,-57.8708709624,-57.9078715193,-57.8418705259,-57.8408705109,-57.9108715644,-57.9108715644,-57.8708709624,-57.9128715945,-57.8108700594,-57.8758710376,-57.9128715945,-57.8408705109,-57.8048699691,-57.8788710828,-57.8728709925,-57.8418705259,-57.9458720912,-57.9448720761,-57.9118715795,-57.8408705109,-57.8048699691,-57.9448720761,-57.8118700744,-57.9078715193,-57.8748710226,-57.9448720761,-57.942872046,-57.9158716397,-57.9743465335,-57.9063414349,-58.0123493827,-58.0113493077,-57.9393439092,-58.0113493077,-58.0113493077,-58.0093491577,-58.0783543313,-57.9743465335,-57.9393439092,-57.9723463835,-58.0113493077,-57.9403439842,-58.0803544812,-57.9383438342,-58.0093491577,-57.9393439092,-58.045351857,-57.902341135,-58.0413515571,-57.9393439092,-58.044351782,-57.9413440592,-57.89934091,-57.9393439092,-57.9763466834,-57.9403439842,-57.9783468334,-57.8673385107,-58.045351857,-57.9743465335,224.69,224.678,224.729,224.746,224.695,224.712,224.745,224.745,224.744,224.693,224.695,224.691,224.761,224.693,224.744,224.71,224.762,224.692,224.747,224.691,224.708,224.659,224.727,224.711,224.708,224.658,224.743,224.677,224.712,224.623,224.712,224.69
FLQS301GGRWM,-57.8604332035,-57.8184619048,-57.7894817224,-57.8184619048,-57.8174625882,-57.8224591713,-57.7864837725,-57.7864837725,-57.8254571212,-57.8264564379,-57.8174625882,-57.8584345702,-57.7545056401,-57.8224591713,-57.8274557545,-57.7555049567,-57.7485097403,-57.823458488,-57.8584345702,-57.7545056401,-57.8604332035,-57.8584345702,-57.8594338869,-57.7864837725,-57.7485097403,-57.8924113358,-57.7555049567,-57.8224591713,-57.7884824057,-57.8584345702,-57.8564359369,-57.8604332035,-58.1052576964,-58.0682588059,-58.141256617,-58.142256587,-58.0712587159,-58.141256617,-58.139256677,-58.1072576365,-58.209254578,-58.1062576664,-58.0712587159,-58.1062576664,-58.142256587,-58.0702587459,-58.1742556275,-58.0692587759,-58.139256677,-58.0712587159,-58.1762555675,-58.0332598553,-58.1752555975,-58.0702587459,-58.1762555675,-58.0712587159,-58.0292599752,-58.0702587459,-58.1052576964,-58.0692587759,-58.1082576065,-58.0002608448,-58.141256617,-58.1052576964,224.765,224.768,224.818,224.805,224.77,224.802,224.818,224.803,224.834,224.782,224.77,224.766,224.836,224.767,224.815,224.8,224.837,224.767,224.801,224.782,224.799,224.749,224.801,224.785,224.783,224.732,224.817,224.767,224.802,224.714,224.785,224.765
FLQS301EGRWQ,-57.9346438735,-57.8986391231,-57.8626343726,-57.8976389911,-57.8966388592,-57.9336437416,-57.8966388592,-57.8976389911,-57.9276429498,-57.9326436096,-57.8966388592,-57.9596471725,-57.8276297541,-57.8986391231,-57.9336437416,-57.8296300181,-57.8286298861,-57.9276429498,-57.8976389911,-57.8286298861,-57.9616474364,-57.9676482281,-57.9336437416,-57.8956387272,-57.7936252676,-57.9326436096,-57.8296300181,-57.8966388592,-57.8616342407,-57.9666480962,-57.9336437416,-57.9346438735,-57.9427477941,-57.8417377741,-57.9447479925,-57.9477482901,-57.8777413456,-57.9467481909,-57.9467481909,-57.9117447186,-58.0127547386,-57.9107446194,-57.8777413456,-57.9417476949,-57.9457480917,-57.8767412464,-58.0167551354,-57.874741048,-57.9777512663,-57.874741048,-57.9817516632,-57.8387374765,-58.009754441,-57.908744421,-57.9827517624,-57.8767412464,-57.8347370796,-57.9077443218,-57.9447479925,-57.8767412464,-57.9107446194,-57.8057342026,-57.9787513655,-57.9427477941,224.668,224.636,224.704,224.689,224.654,224.67,224.689,224.671,224.706,224.653,224.654,224.655,224.722,224.653,224.705,224.686,224.738,224.638,224.706,224.669,224.688,224.635,224.688,224.655,224.684,224.652,224.721,224.654,224.688,224.584,224.686,224.668
FLQS300VGRWQ,-57.9414335479,-57.9024157475,-57.8704011421,-57.8684002292,-57.8684002292,-57.9034162039,-57.8684002292,-57.8684002292,-57.9014152911,-57.9064175732,-57.8684002292,-57.9344303529,-57.8363856238,-57.8704011421,-57.9064175732,-57.8353851674,-57.7993687363,-57.9014152911,-57.8684002292,-57.8673997728,-57.9374317222,-57.9404330915,-57.9064175732,-57.9004148347,-57.8003691927,-57.9404330915,-57.8363856238,-57.9034162039,-57.8704011421,-57.939432635,-57.9404330915,-57.9414335479,-57.7629798961,-57.6929811323,-57.7959793133,-57.797979278,-57.7269805318,-57.797979278,-57.7969792956,-57.7629798961,-57.8639781124,-57.7629798961,-57.7269805318,-57.7609799314,-57.7969792956,-57.7269805318,-57.8649780948,-57.7249805672,-57.7939793486,-57.7259805495,-57.8319786775,-57.6869812382,-57.8299787129,-57.7599799491,-57.8339786422,-57.7269805318,-57.6849812735,-57.7269805318,-57.7619799137,-57.7269805318,-57.7639798784,-57.6559817857,-57.7989792603,-57.7629798961,225.262,225.247,225.314,225.316,225.281,225.298,225.315,225.298,225.332,225.28,225.281,225.265,225.331,225.28,225.33,225.296,225.348,225.264,225.333,225.261,225.297,225.261,225.315,225.265,225.294,225.245,225.313,225.263,225.298,225.21,225.281,225.262
FLQS300RGRWY,-57.9996538777,-57.9286065282,-57.9286065282,-57.9286065282,-57.9276058613,-57.9636298695,-57.9276058613,-57.9286065282,-57.9986532108,-57.9626292026,-57.9276058613,-57.9996538777,-57.8945838538,-57.9296071951,-57.9646305364,-57.8965851876,-57.8595605125,-57.9646305364,-57.9596272019,-57.8965851876,-58.0016552115,-58.0016552115,-57.9646305364,-57.9276058613,-57.8585598456,-57.9996538777,-57.8945838538,-57.9626292026,-57.9276058613,-57.9996538777,-57.9996538777,-57.9996538777,-57.9521672037,-57.8851635418,-57.9891692259,-57.9911693352,-57.9201654547,-57.9881691712,-57.9901692806,-57.9561674223,-58.0591730518,-57.9531672583,-57.9201654547,-57.9501670944,-57.9531672583,-57.9191654001,-58.0591730518,-57.9191654001,-57.9911693352,-57.9161652361,-58.0261712481,-57.8811633232,-58.0191708656,-57.9571674769,-58.0241711388,-57.9211655094,-57.8791632139,-57.9181653454,-57.9551673676,-57.9181653454,-57.9561674223,-57.8841634871,-57.9891692259,-57.9521672037,224.657,224.659,224.71,224.711,224.677,224.693,224.711,224.694,224.71,224.676,224.677,224.656,224.709,224.675,224.727,224.692,224.745,224.656,224.713,224.673,224.689,224.658,224.71,224.677,224.691,224.64,224.71,224.658,224.695,224.623,224.675,224.657
FLQS300LGRWQ,-57.8368801384,-57.7968421472,-57.7638108045,-57.7628098548,-57.7968421472,-57.797843097,-57.7948402477,-57.7958411975,-57.8328763393,-57.8328763393,-57.7968421472,-57.8649067322,-57.7628098548,-57.7998449966,-57.8008459464,-57.7307794618,-57.7267756627,-57.8308744397,-57.761808905,-57.7307794618,-57.8669086318,-57.8348782389,-57.8338772891,-57.7948402477,-57.7287775623,-57.8348782389,-57.7317804116,-57.8308744397,-57.797843097,-57.8669086318,-57.8338772891,-57.8368801384,-57.8743066885,-57.806302803,-57.9103087455,-57.9113088026,-57.8413048029,-57.9103087455,-57.9083086312,-57.8753067456,-57.9813128023,-57.8723065742,-57.8413048029,-57.8743066885,-57.8773068599,-57.84230486,-57.9813128023,-57.8033026316,-57.9113088026,-57.8403047457,-57.9453107453,-57.7663005174,-57.9423105739,-57.8383046315,-57.9453107453,-57.8403047457,-57.7603001746,-57.8383046315,-57.8753067456,-57.8393046886,-57.8773068599,-57.7683006317,-57.9113088026,-57.8743066885,225.382,225.367,225.435,225.436,225.384,225.418,225.419,225.402,225.436,225.382,225.384,225.367,225.419,225.384,225.452,225.399,225.454,225.367,225.453,225.38,225.4,225.364,225.418,225.385,225.379,225.364,225.433,225.366,225.402,225.314,225.401,225.382
FLQS300LGRWM,-57.8345786698,-57.7605497688,-57.7315384428,-57.7275368806,-57.7595493783,-57.7965638288,-57.7605497688,-57.7605497688,-57.7985646099,-57.7975642193,-57.7595493783,-57.8305771076,-57.6965247734,-57.7655517216,-57.7995650004,-57.697525164,-57.6925232112,-57.7605497688,-57.7605497688,-57.7305380522,-57.8325778887,-57.8345786698,-57.7985646099,-57.7605497688,-57.6915228207,-57.8335782792,-57.6985255545,-57.7955634382,-57.7325388333,-57.8335782792,-57.7985646099,-57.8345786698,-57.944657853,-57.8456516031,-57.9806601257,-57.9816601889,-57.8806538127,-57.9486581055,-57.982660252,-57.9476580424,-58.0526646711,-57.944657853,-57.8806538127,-57.9456579162,-57.9476580424,-57.8786536864,-58.0166623984,-57.8776536233,-57.982660252,-57.8766535601,-58.0176624616,-57.8406512874,-57.9816601889,-57.8786536864,-58.0166623984,-57.913655896,-57.8396512243,-57.9096556434,-57.9476580424,-57.8796537495,-57.9486581055,-57.8396512243,-57.982660252,-57.944657853,224.813,224.8,224.881,224.884,224.818,224.834,224.868,224.851,224.884,224.831,224.818,224.815,224.883,224.814,224.866,224.847,224.902,224.816,224.885,224.813,224.832,224.78,224.866,224.834,224.832,224.796,224.882,224.8,224.865,224.762,224.849,224.813
