,Distance_X_LOGO_Battery_Down1,Distance_X_LOGO_Battery_Down2,Distance_X_LOGO_Battery_Down3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Battery_Down1,Distance_Y_LOGO_Battery_Down2,Distance_Y_LOGO_Battery_Down3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Battery_Down1,Angle_Battery_Down2,Angle_Battery_Down3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS2044GRWY,-12.1077173666,-12.037730561,-11.9647443209,-11.6648008684,-11.5678191521,-11.5318259378,-11.6877965331,-11.9947386662,-11.9807413051,-11.9927390432,-12.0797226444,-11.8757610967,-12.0127352733,-11.6418052037,-12.0047367813,-11.915753557,-11.8497659975,-12.1367119004,-12.0457290531,-11.4318447869,-11.8867590233,-12.0067364043,-11.7747801343,-11.8377682594,-11.681797664,-11.860763924,-11.9437482792,-11.5688189636,-11.6807978525,-11.8407676939,-11.6338067116,-11.7817788149,-117.589511202,-117.689526946,-117.435486955,-117.834549776,-117.725532614,-117.769539542,-117.892558908,-117.062428227,-117.589511202,-117.242456567,-117.328470108,-118.278619683,-117.594511989,-117.586510729,-117.618515768,-117.542503802,-117.692527419,-117.579509627,-117.474493095,-117.968570874,-117.651520963,-117.622516397,-118.110593231,-117.785542061,-118.072587248,-117.311467431,-117.649520648,-118.093590555,-117.556506006,-118.118594491,-117.482494355,-117.09643358,264.456,264.495,264.517,264.681,264.723,264.743,264.673,264.485,264.518,264.495,264.457,264.602,264.502,264.681,264.508,264.547,264.586,264.442,264.48,264.8,264.566,264.506,264.642,264.596,264.685,264.562,264.538,264.74,264.661,264.61,264.68,264.59
FLQS312SGRWV,-11.7858004411,-11.5697491048,-11.5817519568,-11.4087108403,-11.6417662169,-11.8098061451,-11.4907303291,-11.6487678806,-11.5857529075,-11.5817519568,-11.6787750106,-11.6787750106,-11.6787750106,-11.4437191587,-11.6717733469,-11.5817519568,-11.5877533828,-11.740789746,-11.7767983021,-11.4437191587,-11.6667721586,-11.67477406,-11.7037809523,-11.5107350824,-11.6787750106,-11.7777985397,-11.6147597999,-11.5587464905,-11.6767745353,-11.5147360331,-11.5627474411,-11.7627949747,-116.714226247,-117.218257453,-116.950240859,-116.152191449,-117.165254172,-117.14325281,-117.616282097,-117.221257639,-117.294262159,-117.5242764,-117.424270208,-117.334264636,-117.101250209,-117.485273985,-117.867297638,-117.381267546,-117.129251943,-117.486274047,-117.368266741,-117.28426154,-117.832295471,-117.805293799,-117.829295285,-117.77429188,-117.45627219,-117.530276772,-117.496274667,-117.737289589,-117.519276091,-117.370266865,-117.640283583,-117.186255472,263.898,264.027,264.008,264.054,263.989,263.907,264.084,263.989,264.023,264.036,263.984,263.98,263.969,264.101,264.009,264.029,264.014,263.957,263.934,264.091,264.009,264.004,263.991,264.082,263.986,263.941,264.018,264.057,263.99,264.061,264.05,263.932
FLQS31J6GRWY,-12.1194651009,-11.9143048741,-11.5910524194,-11.8172290595,-11.6490977518,-11.9553369195,-11.7601845087,-12.0734291476,-11.8542579785,-12.0784330555,-12.1394807328,-12.099449469,-12.1554932383,-11.5880500746,-11.9643439538,-11.7411696584,-11.8592618865,-11.7621860719,-11.720153245,-11.7832024854,-12.094445561,-11.9543361379,-11.651099315,-11.7221548081,-12.0183861599,-11.8622642313,-11.8252353123,-11.6350868095,-11.9553369195,-11.8582611049,-11.4479406514,-11.8472525074,-117.349005304,-117.200007837,-117.077009928,-117.457003468,-117.483003026,-117.328005661,-117.795997706,-116.749015503,-117.6140008,-116.400021435,-117.456003485,-117.056010284,-117.155008602,-117.154008619,-117.060010216,-116.297023186,-117.647000239,-117.408004301,-118.366988,-117.338005491,-117.020010896,-117.64400029,-117.48100306,-117.486002975,-117.503002686,-117.578001412,-117.477003128,-117.924995513,-117.561001701,-117.552001854,-117.302006103,-117.426003995,264.445,264.537,264.688,264.596,264.679,264.523,264.64,264.438,264.586,264.418,264.441,264.44,264.418,264.692,264.506,264.577,264.585,264.621,264.687,264.607,264.441,264.539,264.678,264.644,264.502,264.581,264.593,264.707,264.535,264.581,264.767,264.581
FLQS31FWGRWY,-11.7614584795,-11.7774563827,-11.5064918968,-11.6024793162,-11.689467915,-11.7384614936,-11.6194770884,-12.1074131368,-11.5774825924,-11.50349229,-11.7454605763,-11.7974537618,-11.7444607073,-11.440500546,-11.7404612315,-11.7764565138,-11.8304494372,-11.8014532376,-11.5794823303,-11.5674839029,-11.7364617557,-11.6644711912,-11.8264499614,-11.4385008081,-11.8744436711,-11.8954409191,-11.7984536307,-11.565484165,-11.9884287316,-11.7704573001,-11.5604848202,-11.6184772194,-117.792476478,-116.765341525,-117.489436662,-116.892358213,-118.172526411,-116.830350066,-117.485436136,-116.902359527,-117.568447043,-117.928494349,-117.493437187,-118.00750473,-117.112387122,-116.906360053,-117.007373325,-117.458432588,-117.866486201,-117.955497897,-117.572447568,-117.483435873,-117.237403548,-118.275539946,-117.831481602,-117.840482785,-117.205399343,-117.804478054,-117.829481339,-117.478435216,-117.780474901,-117.571447437,-117.192397635,-117.91549264,264.634,264.576,264.742,264.667,264.686,264.598,264.687,264.422,264.712,264.764,264.627,264.627,264.609,264.747,264.605,264.61,264.604,264.622,264.711,264.712,264.619,264.703,264.604,264.791,264.55,264.57,264.618,264.713,264.523,264.618,264.702,264.708
FLQS31CRGRWY,-11.6432620483,-11.6312617782,-11.5012588523,-11.593260923,-11.4222570743,-11.6712626785,-11.2752537658,-11.4772583122,-11.3632557464,-11.6412620033,-11.8542667973,-11.6692626335,-11.6672625885,-11.159251155,-11.6692626335,-11.7712649292,-11.5102590549,-11.4722581996,-11.6342618458,-11.5642602703,-11.4692581321,-11.5312595275,-11.5642602703,-11.4932586723,-11.3982565341,-11.8252661446,-11.5372596626,-11.2892540809,-11.6082612606,-11.4282572093,-11.4912586273,-11.4772583122,-116.491167041,-116.717239171,-116.986325024,-116.456155871,-117.800584817,-116.717239171,-117.586516518,-116.849281299,-117.801585136,-117.42946641,-117.646535667,-117.096360131,-117.130370982,-116.998328854,-117.236404813,-116.345120445,-117.105363004,-116.916302683,-117.266414388,-117.063349599,-116.595200234,-117.704554178,-117.000329492,-117.079354705,-117.829594073,-117.224400983,-117.137373217,-117.778577796,-117.162381195,-117.542502475,-116.293103848,-117.374448857,264.115,264.132,264.208,264.138,264.285,264.112,264.345,264.213,264.313,264.161,264.069,264.131,264.134,264.374,264.138,264.045,264.209,264.219,264.156,264.181,264.204,264.227,264.178,264.216,264.297,264.062,264.197,264.347,264.164,264.27,264.179,264.238
FLQS319LGRWY,-11.9240632966,-11.6949660154,-11.3758305013,-11.5409005948,-11.6329396772,-11.6019265081,-11.7059706882,-11.7209770604,-11.7930076466,-11.523893373,-11.7499893798,-11.7539910791,-11.7419859814,-11.4348555651,-11.6169328803,-11.5168903994,-11.6489464741,-11.7629949024,-11.7149745115,-11.5008836024,-11.6199341547,-11.7409855566,-11.701968989,-11.3758305013,-11.6719562447,-11.6629524215,-11.6909643161,-11.3718288021,-11.612931181,-11.6349405268,-11.5719137639,-11.5128887001,-116.80832838,-117.440411327,-117.633436657,-117.624435475,-117.90947288,-118.031488892,-116.646307119,-117.368401877,-116.853334286,-117.288391377,-117.439411195,-117.546425238,-118.051491517,-117.963479967,-117.542424713,-117.473415658,-117.86946763,-117.439411195,-117.585430357,-118.097497554,-117.118369066,-117.680442825,-117.971481017,-117.920474324,-118.069493879,-117.146372741,-116.986351742,-118.090496635,-117.865467105,-118.254518159,-117.070362766,-117.082364341,264.51,264.652,264.815,264.735,264.704,264.725,264.608,264.636,264.576,264.727,264.625,264.629,264.658,264.802,264.694,264.74,264.694,264.619,264.649,264.776,264.672,264.641,264.674,264.828,264.693,264.653,264.632,264.838,264.711,264.719,264.694,264.723
FLQS319HGRWY,-11.9286041349,-11.6571352299,-11.7933705475,-11.4938531948,-11.4497770626,-11.5619708536,-11.4527822535,-11.8033878503,-11.7903653567,-11.7342684612,-12.0768602158,-11.6982061713,-11.6330937033,-11.4577909048,-11.7613151787,-11.6571352299,-11.80238612,-11.7743376723,-11.5990348739,-11.5900193014,-11.8184138045,-11.6350971638,-11.9816958396,-11.5930244922,-11.7823515145,-11.7903653567,-11.6340954335,-11.3906749763,-11.6992079015,-11.791367087,-11.3816594038,-11.7192425071,-117.496479665,-117.077492218,-117.269486466,-117.212488174,-117.888467921,-117.336484459,-117.011494196,-116.87549827,-117.749472085,-117.643475261,-117.589476879,-117.723472864,-117.62347586,-117.541478317,-117.648475111,-117.776471276,-117.386482961,-116.879498151,-117.757471845,-117.669474482,-118.013464176,-117.527478736,-117.347484129,-117.759471785,-116.315515048,-117.777471246,-117.287485927,-117.334484519,-117.245487185,-117.62147592,-117.245487185,-117.570477448,263.876,263.987,263.93,264.072,264.125,264.045,264.083,263.906,263.955,263.977,263.809,263.998,264.025,264.105,263.964,264.02,263.932,263.921,264.048,264.048,263.954,264.019,263.843,264.05,263.889,263.956,264.008,264.128,263.975,263.948,264.128,263.981
FLQS317CGRWY,-12.1254065296,-11.653924116,-11.7290009335,-11.9342109012,-11.657928213,-11.8200941387,-11.5087756023,-11.7990726298,-11.8040777509,-11.6629333341,-12.028307179,-11.8971730046,-11.830104381,-11.6639343584,-11.6218913406,-11.800073654,-11.9342109012,-11.7680408786,-11.8671422776,-11.6589292372,-11.6809517703,-11.6288985102,-11.6459159222,-11.7880613632,-11.7049763519,-11.9332098769,-11.899175053,-11.5838524198,-11.6939650853,-11.5948636863,-11.6499200191,-11.653924116,-117.214666913,-117.193670913,-117.248660436,-117.443623289,-117.403630909,-117.32064672,-117.457620622,-117.262657769,-117.008706155,-117.17867377,-117.134682152,-117.243661388,-117.345641958,-116.184863123,-117.375636243,-117.363638529,-117.437624432,-117.392633004,-117.277654911,-117.391633195,-117.808553758,-117.317647292,-118.004516421,-117.867542519,-117.437624432,-117.434625004,-117.464619289,-117.451621765,-117.627588238,-117.48161605,-117.294651673,-117.228664246,264.438,264.665,264.631,264.542,264.673,264.591,264.748,264.598,264.583,264.66,264.481,264.55,264.587,264.611,264.689,264.603,264.541,264.619,264.566,264.672,264.681,264.683,264.707,264.633,264.652,264.542,264.56,264.711,264.666,264.707,264.672,264.667
FLQS3160GRWY,-11.6403845217,-11.4343777166,-11.5733823084,-11.3223740167,-11.2313710106,-11.2663721668,-11.2853727944,-11.5683821432,-11.5253807227,-11.3793758997,-11.6803858431,-11.4853794013,-11.7303874948,-11.4803792362,-11.5393811852,-11.271372332,-11.4993798638,-11.4803792362,-11.4113769568,-11.4273774853,-11.4033766925,-11.5353810531,-11.3673755033,-11.3073735212,-11.4273774853,-11.3793758997,-11.4693788728,-11.2963731578,-11.3763758006,-11.3653754372,-11.4863794344,-11.4813792692,-117.463048975,-117.436051262,-117.164074303,-117.693029491,-117.710028051,-117.43005177,-117.697029153,-117.688029915,-116.925094548,-117.407053718,-117.051083875,-116.891097428,-117.776022461,-118.445965706,-117.48304728,-117.542042282,-118.348973922,-117.503045586,-116.947092684,-117.82701814,-117.838017209,-117.877013905,-117.641033896,-117.658032456,-116.887097767,-117.476047873,-117.902011787,-117.882013481,-118.311977057,-117.720027204,-117.465048805,-116.912095649,264.216,264.313,264.234,264.38,264.424,264.395,264.398,264.261,264.245,264.339,264.176,264.263,264.187,264.339,264.265,264.397,264.325,264.295,264.302,264.336,264.348,264.286,264.355,264.385,264.291,264.342,264.319,264.401,264.382,264.36,264.29,264.266
FLQS3126GRWV,-11.9491785542,-11.7602389786,-11.6942600792,-11.3793607866,-11.7432444136,-11.2573997908,-11.285390839,-11.7662370604,-11.4463393663,-11.6382779828,-11.659271269,-11.6552725478,-11.734247291,-11.3633659019,-11.3973550319,-11.5722990834,-11.5023214628,-11.8502102051,-11.5023214628,-11.7582396181,-11.4653332919,-11.4033531137,-11.7462434545,-11.5053205037,-11.3343751734,-11.7562402575,-11.7982268298,-11.557303879,-11.7872303466,-11.7572399378,-11.5383099534,-11.4953237007,-117.560516217,-117.221520496,-117.405518174,-117.945511358,-117.944511371,-117.473517315,-117.408518136,-117.21252061,-117.164521215,-117.262519979,-117.808513087,-117.782513415,-117.302519474,-117.158521291,-117.267519915,-117.245520193,-117.657514993,-117.942511396,-117.762513668,-117.290519625,-117.361518729,-117.469517366,-118.015510475,-117.313519335,-117.852512532,-118.053509995,-117.169521152,-117.665514892,-117.838512709,-117.429517871,-117.629515347,-117.194520837,264.531,264.606,264.647,264.824,264.649,264.861,264.845,264.603,264.756,264.667,264.683,264.684,264.623,264.795,264.784,264.699,264.752,264.598,264.757,264.611,264.755,264.791,264.651,264.734,264.842,264.648,264.585,264.726,264.623,264.618,264.733,264.733
FLQS3115GRWV,-11.8479998328,-11.7759876778,-11.7769878466,-11.735980925,-11.6399647184,-11.8099934176,-11.6389645495,-11.7889898724,-11.6489662377,-11.7879897036,-12.0080268438,-11.6809716399,-11.6879728217,-11.7109767045,-11.8099934176,-11.8459994951,-11.9750212728,-11.9440160394,-11.8419988198,-11.774987509,-11.8059927423,-12.0020258309,-11.7759876778,-11.7119768733,-11.9980251556,-11.8449993263,-11.8099934176,-11.5709530698,-11.6799714711,-11.6449655624,-11.5719532386,-11.8269962876,-117.087893905,-116.792939516,-117.123888339,-116.91991988,-117.398845821,-117.055898853,-116.660959925,-116.930918179,-117.467835152,-117.235871023,-117.520826958,-117.643807941,-116.471989147,-117.144885092,-117.635809177,-117.159882773,-117.56382031,-117.520826958,-117.60281428,-117.191877826,-117.528825721,-117.567819691,-117.133886793,-117.012905501,-117.685801447,-117.564820155,-117.524826339,-117.438839636,-117.429841028,-117.541823711,-117.35785216,-117.684801601,263.887,263.907,263.923,263.933,264.003,263.904,263.967,263.908,264.001,263.923,263.831,263.995,263.934,263.956,263.932,263.891,263.849,263.862,263.915,263.927,263.928,263.836,263.924,263.949,263.844,263.911,263.927,264.038,263.985,264.007,264.033,263.926
FLQS310RGRWV,-11.8492984587,-11.9133487207,-11.5150361542,-11.5310487197,-11.4419788242,-11.5440589292,-11.5000243741,-11.8513000294,-11.777241914,-11.7171947935,-11.7482191391,-11.7452167831,-11.7432152124,-11.3739254209,-11.6751618091,-11.6541453169,-11.8372890346,-11.7502207098,-11.4509858923,-11.4459819656,-11.7402128564,-11.6151146885,-11.5790864162,-11.6441374634,-11.48801495,-11.7111900814,-11.7442159977,-11.5700793481,-11.6851696625,-11.7131916521,-11.5010251594,-11.5030267301,-117.142312318,-116.845225298,-117.172321108,-117.367378242,-117.518422485,-117.305360076,-117.109302649,-117.181323745,-117.512420727,-117.216333999,-117.501417504,-117.691473173,-117.386383809,-117.257346012,-117.356375019,-116.945254597,-117.609449147,-117.179323159,-117.459405198,-117.246342789,-117.118305286,-117.421394064,-117.318363885,-117.464406663,-117.414392013,-117.345371796,-117.189326089,-117.687472001,-117.279352458,-117.456404319,-117.276351579,-117.275351286,263.973,263.927,264.137,264.138,264.188,264.129,264.141,263.974,264.026,264.04,264.039,264.05,264.036,264.209,264.068,264.058,264.001,264.023,264.181,264.173,264.024,264.1,264.112,264.088,264.161,264.05,264.026,264.134,264.059,264.054,264.148,264.147
FLQS3106GRWV,-11.7548750162,-11.6575614653,-11.7468491563,-11.7618976436,-11.67561965,-11.6385000481,-11.5331606372,-11.6896649048,-11.6194386309,-11.6886616723,-11.7147457169,-11.7117360194,-11.7157489493,-11.5983707487,-11.6495356054,-11.8772693793,-11.7408297614,-11.8010237105,-11.7418329939,-11.5421897296,-11.6505388379,-11.644519443,-11.6806358124,-11.6776261149,-11.5893416563,-11.8110560353,-11.7789525958,-11.4729666882,-11.7097295544,-11.5171089175,-11.5321574048,-11.6013804462,-116.555422519,-117.039565502,-117.112587067,-117.371663581,-117.252628426,-117.636741867,-117.113587363,-116.714469491,-117.315647037,-116.697464468,-117.571722665,-117.362660922,-117.33265206,-117.444685146,-116.699465059,-117.409674807,-117.684756047,-116.379370525,-117.98984615,-117.437683079,-116.72547274,-117.757777613,-117.32164881,-117.33265206,-117.423678943,-117.349657082,-117.518707007,-117.492699327,-117.741772886,-117.319648219,-117.013557821,-117.208615428,263.921,263.991,263.952,263.957,263.993,264.029,264.055,263.96,264.023,263.96,263.989,263.981,263.977,264.04,263.979,263.903,263.982,263.89,263.996,264.066,263.98,264.032,263.994,263.996,264.043,263.932,263.956,264.102,264.0,264.073,264.051,264.027
FLQS30ZQGRWV,-11.7885908822,-11.847603852,-11.4555176798,-11.6085513133,-11.6315563694,-11.610551753,-11.5425368047,-11.7825895633,-11.9796328692,-11.5215321884,-11.68556824,-11.6875686797,-11.6865684599,-11.3584963566,-11.4755220763,-11.7155748348,-11.7805891236,-11.7635853865,-11.7195757141,-11.4125082272,-11.7425807702,-11.4795229556,-11.6375576883,-11.5135304298,-11.477522516,-11.7735875848,-11.6905693392,-11.240470417,-11.4825236151,-11.5795449384,-11.3654978954,-11.7745878046,-117.181651445,-116.755674523,-116.942664393,-117.204650199,-117.809617424,-117.141653612,-117.998607185,-117.604628529,-117.021660113,-116.857668997,-117.283645919,-117.334643156,-117.303644836,-117.943610164,-117.456636547,-117.377640827,-117.779619049,-116.61268227,-117.432637847,-117.768619645,-117.420638497,-117.533632376,-117.740621162,-117.767619699,-118.040604909,-117.706623004,-117.355642019,-117.40563931,-117.450636872,-117.69062387,-117.317644077,-117.244648032,264.594,264.545,264.744,264.682,264.7,264.678,264.752,264.617,264.494,264.708,264.649,264.65,264.649,264.837,264.758,264.639,264.627,264.578,264.64,264.803,264.628,264.76,264.694,264.755,264.785,264.627,264.65,264.869,264.755,264.719,264.805,264.603
FLQS30YUGRWV,-11.7765524729,-11.7745523791,-11.5835434183,-11.6045444035,-11.7035490481,-11.8765571644,-11.4305362402,-11.786552942,-11.9035584311,-11.7855528951,-11.8125541618,-11.680547969,-11.8195544902,-11.7135495172,-11.6735476406,-11.7095493296,-11.775552426,-11.8775572113,-11.7775525198,-11.7105493765,-11.7375506432,-11.9355599324,-11.7065491888,-11.7695521445,-11.9365599793,-11.9025583842,-11.8715569298,-11.5705428084,-11.8795573052,-11.6415461393,-11.5655425738,-11.7715522383,-117.087810123,-116.664850545,-116.860831815,-117.054813277,-117.331786807,-117.054813277,-117.124806588,-116.660850927,-117.128806205,-116.836834109,-117.119807065,-117.302789578,-116.477868414,-116.265888673,-117.70175145,-117.290790725,-117.633757948,-117.121806874,-117.400780213,-116.924825699,-117.864735874,-117.626758617,-117.328787094,-117.727748965,-117.621759095,-117.035815092,-117.071811652,-117.371782984,-117.219797509,-117.533767504,-117.087810123,-116.895828471,264.594,264.575,264.677,264.676,264.641,264.544,264.764,264.568,264.535,264.578,264.579,264.651,264.543,264.585,264.674,264.637,264.621,264.547,264.609,264.618,264.651,264.544,264.64,264.629,264.543,264.531,264.548,264.708,264.551,264.681,264.697,264.588
FLQS30X6GRWY,-11.9188891358,-11.8478659609,-11.7908473557,-11.3977190779,-11.508755309,-11.7358294033,-11.7678398484,-11.7908473557,-11.6568036172,-11.9749074145,-11.9969145955,-11.8828773851,-11.7628382163,-11.7248258129,-11.8198568215,-11.8428643289,-11.7908473557,-11.5517693445,-11.5797784839,-11.8438646553,-11.739830709,-11.8238581271,-11.6447997003,-11.3767122233,-11.8238581271,-11.8558685722,-11.6277941514,-11.5617726086,-11.8818770587,-11.5167579203,-11.5807788103,-11.7838450709,-117.529950919,-117.244909809,-116.978871439,-117.835995059,-117.583958709,-117.688973855,-116.850852975,-117.371928128,-117.582958564,-117.610962603,-117.885002127,-117.682972989,-116.514804508,-116.158753156,-117.676972124,-117.473942841,-117.61496318,-117.633965921,-118.18704569,-117.572957122,-118.035023764,-117.620964046,-117.709976884,-117.660969816,-117.615963324,-117.546953371,-117.38893058,-118.295061268,-117.613963036,-117.655969094,-116.816848071,-116.955868121,263.873,263.894,263.908,264.139,264.074,263.969,263.913,263.927,264.002,263.85,263.853,263.898,263.899,263.9,263.928,263.907,263.939,264.056,264.068,263.912,263.984,263.924,264.014,264.141,263.923,263.905,264.007,264.082,263.895,264.073,264.002,263.911
FLQS30X6GRWV,-11.6556829018,-11.9218583526,-11.5195931976,-11.418526579,-11.6346690504,-11.6766967531,-11.3754982166,-11.725729073,-11.396512068,-11.7817660101,-11.9398702253,-11.8117857978,-11.7487442436,-11.3835034933,-11.6786980723,-11.7857686484,-11.8448075642,-11.8187904149,-11.7147218176,-11.3084540241,-11.6827007107,-11.4875720907,-11.7037145621,-11.2864395131,-11.4175259194,-11.713721158,-11.5546162832,-11.24541247,-11.6847020299,-11.3764988762,-11.4385397708,-11.7757620525,-117.129599528,-116.297417648,-117.026577011,-116.837535695,-117.69472304,-117.484677132,-117.028577449,-116.962563021,-117.047581602,-117.397658114,-117.488678007,-117.341645872,-117.372652649,-117.105594281,-117.729730691,-116.799527388,-117.210617235,-117.169608272,-117.691722384,-117.818750147,-117.2356227,-117.476675384,-117.763738123,-117.234622481,-118.125817258,-117.598702053,-117.438667077,-117.614705551,-117.719728505,-118.112814416,-117.45767123,-117.069586411,264.598,264.428,264.659,264.699,264.635,264.605,264.729,264.556,264.72,264.55,264.478,264.533,264.565,264.729,264.616,264.519,264.51,264.521,264.596,264.799,264.59,264.696,264.605,264.782,264.76,264.593,264.662,264.819,264.612,264.779,264.719,264.537
FLQS30WFGRWV,-12.045495718,-12.1104768136,-11.7865710445,-11.7435835504,-11.7015957655,-11.7375852954,-11.698596638,-12.1034788495,-11.9295294549,-11.7825722078,-11.8765448692,-11.8755451601,-11.8105640644,-11.7235893671,-11.8085646461,-11.8405553393,-11.9145338175,-11.8965390525,-11.8455538852,-11.777573662,-11.8135631919,-11.7425838413,-11.5676347375,-11.7705756979,-11.8075649369,-11.9285297458,-11.8905407975,-11.6905989647,-11.8055655186,-11.777573662,-11.698596638,-12.0135050247,-117.792311339,-117.645308454,-117.588307336,-117.579307159,-118.512325467,-117.899313438,-117.702309573,-117.76231075,-117.469305001,-118.261320542,-118.161318579,-118.143318226,-118.178318913,-117.261300919,-117.631308179,-117.996315342,-118.025315911,-117.588307336,-118.179318933,-117.454304706,-117.520306001,-118.152318403,-118.509325408,-118.182318991,-118.463324505,-117.374303136,-117.727310063,-118.485324937,-118.534325899,-118.05431648,-117.673309004,-118.45132427,264.497,264.458,264.611,264.632,264.696,264.65,264.659,264.467,264.536,264.645,264.596,264.595,264.628,264.626,264.603,264.605,264.571,264.558,264.612,264.609,264.595,264.659,264.76,264.648,264.643,264.532,264.568,264.7,264.647,264.638,264.658,264.544
FLQS30VBGRWV,-11.3367728464,-11.4967273134,-11.4967273134,-11.0998402922,-11.3537680085,-11.3227768306,-11.3517685777,-11.5637082464,-11.4417429654,-11.4857304438,-11.3017828068,-11.4577384121,-11.3297748385,-11.3447705698,-11.3957560561,-11.4937281671,-11.4187495108,-11.3717628861,-11.3627654473,-11.0058670429,-11.3017828068,-11.397755487,-11.2667927671,-11.1268326085,-11.3017828068,-11.4347449574,-11.4697349971,-11.2018112649,-11.397755487,-11.4127512182,-11.2218055733,-11.3367728464,-117.037908602,-116.69891466,-116.888911265,-118.217887517,-117.484900615,-117.405902027,-116.96190996,-117.539899632,-117.037908602,-118.108889465,-117.352902974,-117.863893843,-117.631897988,-118.01289118,-117.40290208,-117.638897863,-118.463883121,-117.422901723,-117.894893289,-118.084889893,-117.422901723,-117.469900883,-117.352902974,-117.772895469,-117.037908602,-117.584898828,-117.09790753,-118.271886552,-117.709896594,-118.230887285,-116.988909478,-117.387902348,264.803,264.709,264.718,264.972,264.816,264.827,264.792,264.717,264.752,264.781,264.835,264.783,264.834,264.845,264.791,264.755,264.83,264.804,264.83,265.011,264.838,264.794,264.852,264.938,264.82,264.781,264.741,264.925,264.805,264.822,264.856,264.819
FLQS30UFGRWV,-11.6975192174,-11.6805286307,-11.4306670616,-11.3826936404,-11.4206725989,-11.5146205489,-11.2127877734,-11.5595956313,-11.5016277473,-11.5595956313,-11.5995734823,-11.4606504499,-11.6555424738,-11.5426050446,-11.594576251,-11.4346648468,-11.5625939701,-11.5915779121,-11.4916332845,-11.4956310696,-11.5865806807,-11.5336100281,-11.5595956313,-11.4226714914,-11.4626493425,-11.4956310696,-11.5905784659,-11.2637595335,-11.330722434,-11.5615945238,-11.2807501202,-11.5555978462,-116.61586713,-116.771933867,-117.051053224,-116.988026273,-117.730343701,-117.856397604,-117.125084881,-117.118081887,-116.917996326,-117.417209799,-116.645879964,-117.506247874,-117.061057502,-117.666316322,-116.890984776,-117.022040818,-117.161100282,-117.590283809,-117.536260708,-116.57484959,-117.601288515,-117.031044668,-116.585854296,-117.539261991,-117.498244451,-117.092070764,-117.53526028,-117.160099854,-117.155097715,-117.065059213,-117.55827012,-116.814952263,264.603,264.619,264.754,264.774,264.791,264.751,264.863,264.695,264.713,264.709,264.652,264.761,264.645,264.729,264.667,264.751,264.695,264.702,264.747,264.7,264.704,264.703,264.669,264.781,264.76,264.724,264.7,264.84,264.808,264.691,264.85,264.682
