SN	Distance_X_LOGO_Button_LD1	Distance_X_LOGO_Button_LD2	Distance_X_LOGO_Button_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_LD1	Distance_Y_LOGO_Button_LD2	Distance_Y_LOGO_Button_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_LD1	Angle_Button_LD2	Angle_Button_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS30RRGRWV____	-0.081	-0.081	-0.082	-0.081	-0.081	-0.079	-0.082	-0.081	-0.082	-0.081	-0.081	-0.081	-0.082	-0.079	-0.079	-0.123	-0.080	-0.079	-0.081	-0.124	-0.082	-0.080	-0.079	-0.080	-0.080	-0.080	-0.082	-0.080	-0.081	-0.081	-0.081	-0.081	-0.001	-0.001	0.000	0.000	-0.000	-0.000	-0.002	-0.000	-0.002	-0.001	-0.001	0.000	-0.001	-0.000	-0.000	0.003	0.000	-0.001	-0.001	-0.036	0.001	0.000	-0.040	0.000	-0.041	-0.041	-0.001	-0.041	-0.002	-0.040	-0.040	0.001	-0.136	-0.136	-0.137	-0.137	-0.137	-0.136	-0.136	-0.137	-0.136	-0.137	-0.137	-0.137	-0.137	-0.136	-0.136	-0.153	-0.136	-0.136	-0.137	-0.150	-0.137	-0.136	-0.132	-0.136	-0.133	-0.133	-0.137	-0.133	-0.136	-0.134	-0.133	-0.136	-0.083	-0.009	-0.137	2016_7_19_17_01_39
FLQS30R2GRWV____	0.116	0.116	0.080	0.081	0.081	0.082	0.082	0.081	0.082	0.080	0.080	0.081	0.082	0.082	0.082	0.083	0.114	0.081	0.081	0.082	0.079	0.081	0.080	0.081	0.080	0.080	0.079	0.080	0.078	0.079	0.082	0.113	-0.052	-0.052	-0.055	-0.054	-0.056	-0.054	-0.058	-0.056	-0.058	-0.056	-0.056	-0.054	-0.058	-0.054	-0.054	-0.057	-0.056	-0.055	-0.055	-0.057	-0.053	-0.052	-0.057	-0.052	-0.054	-0.054	-0.056	-0.054	-0.055	-0.057	-0.055	-0.053	-0.149	-0.149	-0.163	-0.162	-0.163	-0.162	-0.162	-0.163	-0.162	-0.163	-0.163	-0.162	-0.162	-0.162	-0.162	-0.162	-0.149	-0.163	-0.162	-0.162	-0.163	-0.163	-0.163	-0.163	-0.163	-0.163	-0.163	-0.163	-0.164	-0.163	-0.162	-0.150	0.085	-0.055	-0.161	2016_7_19_17_01_39
FLQS30QXGRWV____	-0.053	-0.053	-0.014	-0.016	-0.016	-0.016	-0.014	-0.016	-0.014	-0.012	-0.016	-0.016	-0.053	-0.016	-0.016	-0.016	-0.054	-0.015	-0.015	-0.015	-0.014	-0.018	-0.015	-0.018	-0.015	-0.015	-0.017	-0.015	-0.016	-0.014	-0.016	-0.020	0.004	0.004	0.004	0.003	0.003	0.003	0.000	0.003	0.000	0.002	0.003	0.003	-0.002	0.003	0.003	0.003	0.005	0.002	-0.000	0.002	-0.001	0.002	0.002	0.002	0.003	0.003	0.002	0.003	0.003	0.003	0.005	0.003	-0.049	-0.049	-0.034	-0.035	-0.034	-0.035	-0.034	-0.034	-0.034	-0.033	-0.034	-0.035	-0.049	-0.035	-0.035	-0.035	-0.049	-0.035	-0.034	-0.034	-0.034	-0.036	-0.034	-0.036	-0.035	-0.035	-0.035	-0.035	-0.035	-0.035	-0.034	-0.037	-0.020	0.003	-0.036	2016_7_19_17_01_39
FLQS30QPGRWV____	-0.088	-0.088	-0.090	-0.091	-0.090	-0.088	-0.089	-0.090	-0.089	-0.088	-0.090	-0.091	-0.089	-0.088	-0.088	-0.090	-0.088	-0.087	-0.089	-0.088	-0.089	-0.090	-0.090	-0.090	-0.088	-0.088	-0.090	-0.088	-0.089	-0.089	-0.091	-0.088	0.001	0.001	0.003	-0.035	0.005	0.043	0.047	0.005	0.047	0.044	0.002	-0.035	0.007	0.043	0.043	0.003	0.003	0.004	0.006	0.004	0.042	0.005	0.002	0.005	0.003	0.003	0.004	0.003	0.006	0.003	0.004	0.005	0.010	0.010	0.010	0.013	0.010	0.007	0.006	0.010	0.006	0.006	0.010	0.013	0.010	0.007	0.007	0.010	0.010	0.010	0.009	0.010	0.007	0.010	0.010	0.010	0.011	0.011	0.009	0.011	0.010	0.010	0.009	0.010	-0.089	0.010	0.009	2016_7_19_17_01_39
FLQS30QMGRWV____	0.070	0.070	0.069	0.107	0.069	0.068	0.070	0.069	0.070	0.068	0.069	0.107	0.067	0.068	0.068	0.069	0.072	0.069	0.070	0.067	0.070	0.065	0.069	0.065	0.068	0.068	0.108	0.068	0.106	0.068	0.070	0.071	0.033	0.033	0.033	-0.007	0.031	0.032	0.031	0.031	0.031	0.032	-0.006	-0.007	-0.000	0.032	0.032	-0.003	0.031	0.031	-0.005	0.032	0.033	0.036	-0.008	0.036	0.033	0.033	0.031	0.033	0.031	0.031	-0.007	0.033	0.226	0.226	0.226	0.244	0.227	0.226	0.227	0.227	0.227	0.226	0.230	0.244	0.228	0.226	0.226	0.229	0.227	0.226	0.229	0.226	0.226	0.224	0.230	0.224	0.226	0.226	0.241	0.226	0.241	0.226	0.230	0.227	0.074	0.023	0.229	2016_7_19_17_01_39
FLQS30Q9GRWY____	-0.002	-0.002	-0.001	-0.003	-0.000	-0.001	-0.039	-0.000	-0.039	-0.002	-0.003	-0.003	-0.001	-0.001	-0.001	-0.037	-0.003	-0.003	-0.039	0.001	-0.039	-0.004	0.041	-0.004	-0.002	-0.002	-0.005	-0.002	-0.039	-0.004	0.040	-0.000	-0.042	-0.042	-0.043	-0.004	-0.045	-0.045	-0.006	-0.045	-0.006	-0.003	-0.044	-0.004	-0.009	-0.045	-0.045	-0.006	-0.006	-0.004	-0.005	-0.045	-0.043	-0.001	-0.004	-0.001	-0.045	-0.045	-0.005	-0.045	0.039	0.000	-0.004	-0.044	-0.034	-0.034	-0.034	-0.038	-0.033	-0.034	-0.052	-0.033	-0.052	-0.038	-0.034	-0.038	-0.036	-0.034	-0.034	-0.051	-0.038	-0.038	-0.051	-0.033	-0.048	-0.039	-0.021	-0.039	-0.034	-0.034	-0.038	-0.034	-0.055	-0.039	-0.022	-0.033	-0.006	-0.022	-0.038	2016_7_19_17_01_39
FLQS30Q9GRWV____	-0.122	-0.122	-0.122	-0.120	-0.123	-0.121	-0.123	-0.123	-0.123	-0.035	-0.170	-0.120	-0.118	-0.121	-0.121	-0.122	-0.123	-0.172	-0.122	-0.170	-0.121	-0.121	-0.121	-0.121	-0.172	-0.172	-0.122	-0.172	-0.119	-0.122	-0.121	-0.124	-0.044	-0.044	-0.041	-0.044	-0.008	-0.042	-0.043	-0.008	-0.043	0.028	-0.039	-0.044	-0.044	-0.042	-0.042	-0.005	-0.041	-0.007	-0.040	-0.006	-0.042	-0.008	-0.007	-0.008	-0.041	-0.041	-0.007	-0.041	-0.008	-0.007	-0.008	-0.045	-0.074	-0.074	-0.073	-0.073	-0.076	-0.073	-0.073	-0.076	-0.073	-0.045	-0.092	-0.073	-0.072	-0.073	-0.073	-0.076	-0.074	-0.096	-0.074	-0.095	-0.073	-0.076	-0.076	-0.076	-0.093	-0.093	-0.077	-0.093	-0.075	-0.077	-0.075	-0.073	-0.128	-0.027	-0.077	2016_7_19_17_01_40
FLQS30Q3GRWV____	-0.058	-0.058	-0.093	-0.054	-0.055	-0.055	-0.054	-0.055	-0.054	-0.096	-0.096	-0.054	-0.058	-0.055	-0.055	-0.058	-0.058	-0.096	-0.057	-0.055	-0.056	-0.059	-0.055	-0.059	-0.056	-0.056	-0.055	-0.056	-0.024	-0.057	-0.056	-0.056	-0.003	-0.003	0.035	0.072	0.033	-0.001	0.030	0.033	0.030	-0.001	-0.003	0.072	-0.002	-0.001	-0.001	0.032	0.067	-0.006	0.030	0.032	-0.004	0.032	0.031	0.032	0.037	0.037	0.030	0.037	0.032	0.032	0.031	-0.007	0.194	0.194	0.178	0.189	0.192	0.195	0.192	0.192	0.192	0.179	0.179	0.189	0.193	0.195	0.195	0.190	0.188	0.180	0.191	0.192	0.195	0.191	0.193	0.191	0.192	0.192	0.193	0.192	0.204	0.192	0.192	0.195	-0.060	0.024	0.191	2016_7_19_17_01_40
FLQS30Q2GRWV____	-0.131	-0.131	-0.130	-0.097	-0.130	-0.131	-0.164	-0.130	-0.164	-0.128	-0.128	-0.097	-0.130	-0.131	-0.131	-0.129	-0.130	-0.130	-0.130	-0.130	-0.131	-0.130	-0.163	-0.130	-0.093	-0.093	-0.131	-0.093	-0.129	-0.129	-0.129	-0.130	-0.040	-0.040	-0.002	-0.006	-0.003	-0.009	-0.005	-0.003	-0.005	-0.004	-0.004	-0.006	-0.005	-0.009	-0.009	-0.006	-0.006	-0.006	-0.008	-0.004	-0.007	-0.003	-0.039	-0.003	-0.007	-0.007	-0.040	-0.007	-0.005	-0.004	-0.003	-0.040	-0.081	-0.081	-0.084	-0.071	-0.083	-0.084	-0.096	-0.083	-0.096	-0.083	-0.083	-0.071	-0.084	-0.084	-0.084	-0.083	-0.083	-0.083	-0.084	-0.083	-0.084	-0.084	-0.093	-0.084	-0.069	-0.069	-0.081	-0.069	-0.084	-0.084	-0.083	-0.081	-0.128	-0.011	-0.082	2016_7_19_17_01_40
FLQS30PHGRWY____	-0.007	-0.007	-0.007	-0.006	-0.008	-0.008	-0.007	-0.008	-0.007	-0.008	-0.007	-0.006	-0.005	-0.008	-0.008	-0.044	-0.009	-0.006	-0.006	-0.006	-0.006	-0.009	-0.008	-0.009	-0.007	-0.007	-0.041	-0.007	-0.037	-0.009	-0.006	-0.008	0.000	0.000	-0.001	-0.003	-0.001	-0.004	-0.004	-0.001	-0.004	-0.005	-0.002	-0.003	-0.006	-0.004	-0.004	-0.047	0.040	-0.004	-0.004	-0.003	-0.003	-0.001	-0.003	-0.001	-0.002	-0.002	-0.003	-0.002	-0.002	-0.001	-0.043	-0.002	-0.016	-0.016	-0.016	-0.015	-0.016	-0.016	-0.016	-0.016	-0.016	-0.015	-0.016	-0.015	-0.015	-0.016	-0.016	-0.027	-0.020	-0.015	-0.016	-0.015	-0.015	-0.016	-0.016	-0.016	-0.016	-0.016	-0.029	-0.016	-0.028	-0.016	-0.012	-0.016	-0.010	-0.004	-0.017	2016_7_19_17_01_40
