SN	Distance_X_LOGO_Front_Camera_LD1	Distance_X_LOGO_Front_Camera_LD2	Distance_X_LOGO_Front_Camera_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_LD1	Distance_Y_LOGO_Front_Camera_LD2	Distance_Y_LOGO_Front_Camera_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_LD1	Angle_Front_Camera_LD2	Angle_Front_Camera_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30KVGRWV____	-23.193	-23.121	-23.225	-23.054	-23.054	-22.983	-22.978	-22.980	-22.980	-22.980	-22.980	-22.980	-23.019	-22.982	-22.980	-22.982	-22.980	-22.979	-23.017	-22.945	-22.980	-22.946	-23.015	-23.011	-22.979	-22.980	-22.907	-23.055	-22.942	-23.018	-23.050	-23.019	138.913	138.981	138.945	138.950	138.950	139.040	139.057	138.910	138.945	139.050	139.050	139.050	138.952	139.037	138.952	139.037	138.945	138.983	138.990	139.050	139.050	138.952	138.875	138.960	138.857	139.050	138.952	138.951	138.920	138.894	138.875	138.952	99.546	99.513	99.557	99.488	99.488	99.453	99.450	99.461	99.458	99.451	99.451	99.451	99.473	99.453	99.458	99.453	99.458	99.455	99.470	99.437	99.451	99.444	99.477	99.470	99.464	99.451	99.428	99.488	99.445	99.477	99.491	99.473	2016_7_19_17_06_23
FLQS30KBGRWV____	-23.134	-23.144	-23.102	-22.997	-22.997	-22.926	-22.962	-22.935	-22.933	-22.932	-22.934	-22.934	-22.961	-22.970	-22.970	-22.970	-22.933	-22.969	-23.034	-22.898	-22.932	-22.926	-22.969	-22.968	-22.968	-22.934	-22.892	-23.037	-22.926	-22.997	-23.004	-22.961	138.881	138.884	138.916	138.918	138.918	138.962	138.950	138.819	138.984	138.961	138.908	138.908	138.915	138.959	138.912	138.959	138.984	138.873	138.942	138.911	138.961	138.914	138.816	138.889	138.815	138.908	138.844	138.911	138.810	138.851	138.817	138.915	99.428	99.432	99.413	99.371	99.371	99.339	99.355	99.352	99.341	99.342	99.346	99.346	99.356	99.357	99.360	99.357	99.341	99.363	99.384	99.332	99.342	99.342	99.366	99.361	99.366	99.346	99.334	99.387	99.350	99.375	99.380	99.356	2016_7_19_17_06_23
FLQS30CWGRWV____	-23.024	-22.955	-22.954	-22.887	-22.887	-22.821	-22.852	-22.781	-22.781	-22.782	-22.779	-22.779	-22.851	-22.818	-22.814	-22.818	-22.781	-22.814	-22.850	-22.744	-22.782	-22.816	-22.816	-22.848	-22.819	-22.779	-22.781	-22.888	-22.816	-22.886	-22.850	-22.851	138.904	138.862	138.862	138.895	138.895	138.877	138.929	138.833	138.872	138.904	138.941	138.941	138.893	138.874	138.938	138.874	138.872	138.903	138.931	138.943	138.904	138.893	138.840	138.871	138.802	138.941	138.827	138.894	138.794	138.835	138.837	138.893	99.417	99.392	99.391	99.362	99.362	99.337	99.346	99.324	99.321	99.319	99.316	99.316	99.348	99.336	99.330	99.336	99.321	99.332	99.345	99.302	99.319	99.334	99.337	99.348	99.341	99.316	99.324	99.362	99.340	99.366	99.351	99.348	2016_7_19_17_06_23
FLQS30C7GRWV____	-23.282	-23.214	-23.210	-23.184	-23.184	-23.077	-23.110	-23.044	-23.043	-23.044	-23.044	-23.044	-23.109	-23.080	-23.078	-23.080	-23.043	-23.079	-23.148	-23.008	-23.044	-23.073	-23.079	-23.114	-23.081	-23.044	-23.041	-23.144	-23.076	-23.146	-23.113	-23.109	138.802	138.851	138.851	138.838	138.838	138.899	138.918	138.823	138.865	138.898	138.888	138.888	138.883	138.897	138.883	138.897	138.865	138.845	138.869	138.888	138.898	138.882	138.786	138.816	138.747	138.888	138.816	138.885	138.780	138.822	138.783	138.883	99.449	99.419	99.417	99.407	99.407	99.360	99.372	99.352	99.349	99.347	99.348	99.348	99.374	99.362	99.362	99.362	99.349	99.365	99.391	99.333	99.347	99.360	99.369	99.381	99.372	99.348	99.351	99.388	99.368	99.393	99.383	99.374	2016_7_19_17_06_23
FLQS29JFGRX5____	-23.042	-23.012	-22.930	-22.863	-22.863	-22.793	-22.911	-22.803	-22.798	-22.800	-22.799	-22.799	-22.910	-22.836	-22.835	-22.836	-22.798	-22.835	-22.830	-22.764	-22.800	-22.792	-22.839	-22.833	-22.833	-22.799	-22.757	-22.907	-22.797	-22.866	-22.834	-22.910	138.970	138.916	138.983	139.015	139.015	139.027	138.960	138.894	139.051	139.088	139.005	139.005	138.913	139.081	139.004	139.081	139.051	138.967	139.000	139.006	139.088	139.012	138.860	138.945	138.908	139.005	138.944	139.004	138.822	138.905	138.912	138.913	99.541	99.533	99.495	99.466	99.466	99.437	99.489	99.450	99.438	99.436	99.441	99.441	99.492	99.451	99.456	99.451	99.438	99.458	99.454	99.427	99.436	99.438	99.467	99.459	99.461	99.441	99.428	99.485	99.452	99.475	99.461	99.492	2016_7_19_17_06_24
FLQS22XEGRX2____	-22.954	-22.880	-22.883	-22.813	-22.813	-22.742	-22.778	-22.702	-22.702	-22.703	-22.703	-22.703	-22.777	-22.739	-22.738	-22.739	-22.702	-22.737	-22.779	-22.668	-22.703	-22.743	-22.737	-22.772	-22.736	-22.703	-22.707	-22.816	-22.743	-22.812	-22.770	-22.777	138.946	138.948	138.944	138.983	138.983	139.054	139.021	138.922	139.016	139.050	138.985	138.985	138.981	138.996	138.982	138.996	139.016	138.945	138.977	138.986	139.050	139.030	138.885	138.913	138.889	138.985	138.966	138.975	138.931	138.972	138.932	138.981	99.227	99.197	99.199	99.168	99.168	99.135	99.151	99.127	99.121	99.119	99.124	99.124	99.154	99.137	99.138	99.137	99.121	99.140	99.155	99.109	99.119	99.136	99.144	99.156	99.143	99.124	99.126	99.169	99.143	99.168	99.154	99.154	2016_7_19_17_06_24
FLQS22TQGRX2____	-23.194	-23.126	-23.125	-23.055	-23.055	-22.985	-23.021	-22.958	-22.956	-22.957	-22.957	-22.957	-23.020	-23.023	-22.991	-23.023	-22.956	-22.992	-23.019	-22.923	-22.957	-22.985	-22.992	-23.027	-23.022	-22.957	-22.950	-23.058	-22.984	-23.055	-23.027	-23.020	138.930	138.933	138.931	138.969	138.969	139.014	139.002	138.904	138.987	139.019	138.970	138.970	138.966	138.968	138.969	138.968	138.987	138.932	139.002	138.938	139.019	138.966	138.869	138.867	138.863	138.970	138.895	138.964	138.861	138.903	138.868	138.966	99.598	99.571	99.570	99.540	99.540	99.509	99.524	99.505	99.499	99.497	99.500	99.500	99.526	99.527	99.514	99.527	99.499	99.517	99.523	99.489	99.497	99.512	99.521	99.536	99.534	99.500	99.503	99.541	99.519	99.544	99.535	99.526	2016_7_19_17_06_24
FLQS21YXGRX2____	-22.154	-22.802	-22.751	-22.736	-22.736	-22.607	-22.702	-22.629	-22.628	-22.638	-22.631	-22.631	-22.698	-22.668	-22.666	-22.668	-22.628	-22.668	-22.701	-22.596	-22.638	-22.616	-22.661	-22.655	-22.711	-22.631	-22.632	-22.687	-22.614	-22.680	-22.696	-22.698	138.953	138.995	139.006	138.964	138.964	139.114	139.002	138.975	139.088	138.979	139.062	139.062	139.028	139.048	139.062	139.048	139.088	138.988	138.999	139.027	138.979	139.031	139.007	138.967	138.760	139.062	138.957	139.034	138.931	138.968	139.002	139.028	98.973	99.231	99.209	99.206	99.206	99.145	99.190	99.162	99.155	99.166	99.158	99.158	99.187	99.174	99.172	99.174	99.155	99.178	99.190	99.146	99.166	99.154	99.173	99.174	99.210	99.158	99.165	99.182	99.160	99.183	99.188	99.187	2016_7_19_17_06_24
FLQS2AVTGRX5____	4.341	-23.030	-22.981	-22.963	-22.963	-22.844	-22.930	-22.859	-22.857	-22.854	-22.861	-22.861	-22.928	-22.899	-22.898	-22.899	-22.857	-22.897	-22.927	-22.827	-22.854	-22.849	-22.897	-22.929	-22.894	-22.861	-22.855	-22.923	-22.845	-22.915	-22.930	-22.928	149.322	139.000	139.013	138.975	138.975	139.055	139.010	138.975	139.093	139.067	139.034	139.034	138.973	139.050	138.971	139.050	139.093	138.935	139.011	138.976	139.067	138.978	138.932	138.968	138.944	139.034	138.967	138.980	138.939	138.974	138.931	138.973	88.178	99.251	99.230	99.225	99.225	99.172	99.210	99.184	99.175	99.175	99.181	99.181	99.211	99.195	99.199	99.195	99.175	99.202	99.209	99.171	99.175	99.179	99.202	99.212	99.200	99.181	99.182	99.209	99.180	99.206	99.215	99.211	2016_7_19_17_06_25
FLQS3087GRWV____	-23.063	-22.993	-23.027	-22.925	-22.925	-22.855	-22.889	-22.817	-22.818	-22.819	-22.817	-22.817	-22.890	-22.853	-22.852	-22.853	-22.818	-22.850	-22.888	-22.782	-22.819	-22.855	-22.854	-22.885	-22.854	-22.817	-22.819	-22.923	-22.855	-22.924	-22.886	-22.890	138.842	138.842	138.800	138.835	138.835	138.886	138.872	138.813	138.810	138.843	138.837	138.837	138.829	138.840	138.832	138.840	138.810	138.838	138.868	138.836	138.843	138.832	138.701	138.808	138.740	138.837	138.766	138.836	138.733	138.777	138.775	138.829	99.430	99.402	99.418	99.375	99.375	99.343	99.358	99.333	99.333	99.332	99.331	99.331	99.361	99.345	99.345	99.345	99.333	99.344	99.358	99.317	99.332	99.347	99.355	99.361	99.352	99.331	99.337	99.374	99.353	99.378	99.363	99.361	2016_7_19_17_06_25
