SN	Distance_X_LOGO_Battery_Up1	Distance_X_LOGO_Battery_Up2	Distance_X_LOGO_Battery_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Up1	Distance_Y_LOGO_Battery_Up2	Distance_Y_LOGO_Battery_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Up1	Angle_Battery_Up2	Angle_Battery_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30G5GRWY____	-25.628	-25.617	-25.603	-25.276	-25.754	-25.700	-25.563	-25.357	-25.647	-25.213	-25.715	-25.411	-25.645	-25.592	-25.540	-25.244	-25.479	-25.565	-25.700	-25.302	-25.876	-25.520	-25.224	-25.358	-25.529	-25.380	-25.530	-25.380	-25.284	-25.713	-25.637	-25.474	125.691	125.609	125.548	125.478	125.605	125.398	125.465	125.410	125.265	125.335	125.617	125.526	125.533	125.342	125.331	125.454	125.527	125.396	125.543	125.532	125.533	125.464	125.545	125.414	125.308	125.463	125.335	125.463	125.411	125.674	125.269	125.343	101.470	101.472	101.471	101.335	101.532	101.527	101.461	101.376	101.516	101.319	101.514	101.389	101.491	101.485	101.464	101.322	101.419	101.469	101.514	101.341	101.592	101.443	101.306	101.376	101.461	101.381	101.458	101.381	101.344	101.509	101.512	101.433	2016_7_19_17_08_46
FLQS30E9GRWY____	-26.240	-27.108	-25.928	-25.215	-25.729	-25.781	-25.694	-25.709	-25.907	-25.200	-26.275	-25.720	-26.018	-25.744	-25.765	-25.372	-25.787	-25.394	-25.717	-25.473	-25.091	-25.649	-25.211	-25.273	-25.534	-25.689	-25.851	-25.689	-25.726	-25.878	-25.730	-25.384	126.455	126.487	126.402	126.397	126.344	126.197	126.323	126.326	126.242	126.195	126.296	126.283	126.204	126.260	126.191	126.312	126.273	126.316	126.205	126.328	126.441	126.183	126.351	126.325	125.920	126.329	126.174	126.329	126.124	126.401	126.039	126.175	101.739	102.112	101.608	101.298	101.526	101.562	101.513	101.519	101.613	101.309	101.768	101.528	101.664	101.540	101.555	101.374	101.558	101.383	101.533	101.416	101.240	101.506	101.300	101.329	101.479	101.510	101.594	101.510	101.545	101.586	101.554	101.391	2016_7_19_17_08_46
FLQS30DZGRWV	-25.386	-25.672	-25.592	-25.325	-25.413	-25.400	-25.369	-25.284	-25.286	-25.324	-25.482	-25.460	-25.747	-25.413	-25.381	-25.133	-25.413	-25.319	-25.700	-25.335	-25.697	-25.462	-24.942	-25.129	-25.396	-25.308	-25.627	-25.308	-25.645	-25.447	-25.404	-25.411	125.663	125.658	125.465	125.459	125.588	125.378	125.447	125.386	125.239	125.312	125.656	125.520	125.519	125.369	125.241	125.375	125.512	125.378	125.648	125.524	125.517	125.450	125.521	125.327	125.168	125.447	125.255	125.447	125.242	125.658	125.185	125.381	101.611	101.737	101.719	101.602	101.629	101.642	101.623	101.591	101.605	101.615	101.653	101.656	101.782	101.649	101.646	101.525	101.636	101.607	101.750	101.601	101.760	101.663	101.429	101.528	101.659	101.596	101.753	101.596	101.762	101.638	101.661	101.647	2016_7_19_17_08_46
FLQS30D5GRWQ____	-25.747	-25.969	-25.897	-25.873	-26.355	-25.860	-25.978	-25.475	-26.107	-25.613	-26.464	-26.423	-26.205	-26.066	-26.342	-25.918	-25.772	-25.986	-26.384	-25.729	-26.379	-26.171	-25.902	-25.603	-25.810	-25.972	-25.996	-25.972	-26.073	-26.446	-25.994	-25.713	125.960	125.992	125.760	125.759	125.730	125.650	125.645	125.618	125.474	125.610	125.866	125.794	125.720	125.599	125.604	125.576	125.715	125.579	125.790	125.669	125.662	125.591	125.720	125.688	125.403	125.581	125.548	125.581	125.607	125.864	125.540	125.510	101.597	101.691	101.680	101.670	101.884	101.674	101.726	101.509	101.799	101.570	101.918	101.907	101.819	101.769	101.889	101.706	101.630	101.736	101.890	101.616	101.900	101.816	101.686	101.558	101.675	101.729	101.743	101.729	101.771	101.911	101.743	101.622	2016_7_19_17_08_47
FLQS30CMGRWQ____	-25.812	-26.457	-26.140	-25.750	-26.510	-25.889	-25.854	-25.663	-25.836	-25.796	-26.801	-26.099	-26.586	-25.927	-25.780	-25.661	-25.640	-25.625	-26.525	-25.577	-26.911	-26.312	-25.842	-25.719	-25.987	-25.673	-25.873	-25.673	-25.897	-26.027	-25.815	-25.632	125.751	125.715	125.676	125.607	125.720	125.528	125.596	125.532	125.387	125.521	125.793	125.637	125.647	125.520	125.451	125.524	125.532	125.526	125.774	125.597	125.716	125.575	125.637	125.539	125.313	125.594	125.458	125.594	125.449	125.775	125.390	125.451	101.782	102.067	101.932	101.767	102.089	101.835	101.814	101.736	101.825	101.795	102.209	101.917	102.129	101.853	101.794	101.736	101.726	101.720	102.091	101.692	102.264	102.016	101.805	101.760	101.898	101.735	101.835	101.735	101.846	101.873	101.815	101.730	2016_7_19_17_08_47
FLQS30BWGRWY____	-25.464	-25.701	-25.503	-25.462	-25.769	-25.601	-25.567	-25.784	-25.604	-25.461	-25.978	-25.543	-25.877	-25.532	-25.424	-25.333	-25.554	-25.569	-25.821	-25.244	-25.992	-25.589	-25.240	-25.097	-25.238	-25.620	-25.479	-25.620	-25.610	-25.738	-25.311	-25.421	125.610	125.595	125.523	125.458	125.588	125.379	125.445	125.450	125.242	125.316	125.659	125.514	125.516	125.379	125.245	125.318	125.512	125.379	125.534	125.508	125.518	125.392	125.585	125.383	125.164	125.453	125.259	125.453	125.243	125.658	125.187	125.380	101.646	101.751	101.671	101.659	101.782	101.727	101.706	101.801	101.740	101.671	101.867	101.689	101.836	101.696	101.661	101.614	101.694	101.713	101.809	101.559	101.885	101.720	101.550	101.505	101.587	101.729	101.684	101.729	101.743	101.762	101.617	101.648	2016_7_19_17_08_47
FLQS30BJGRWV____	-25.470	-25.563	-25.611	-25.514	-25.634	-25.664	-25.466	-25.607	-25.660	-25.568	-25.657	-25.697	-25.991	-25.607	-25.596	-25.435	-25.662	-25.455	-25.696	-25.638	-26.159	-25.822	-25.181	-25.381	-25.597	-25.403	-25.592	-25.403	-25.667	-25.738	-25.644	-25.649	125.342	125.300	125.199	125.134	125.266	125.118	125.187	125.064	124.975	124.992	125.338	125.201	125.200	125.015	124.936	125.003	125.197	125.058	125.167	125.274	125.268	125.260	125.267	125.068	124.849	125.189	124.989	125.189	124.917	125.281	124.922	125.075	101.371	101.416	101.446	101.409	101.450	101.477	101.383	101.456	101.488	101.446	101.454	101.483	101.612	101.461	101.463	101.386	101.469	101.390	101.486	101.451	101.680	101.533	101.251	101.356	101.471	101.355	101.457	101.355	101.496	101.494	101.486	101.474	2016_7_19_17_08_47
FLQS30AEGRWV____	-25.778	-26.179	-25.973	-25.774	-25.614	-25.782	-25.709	-25.195	-25.910	-25.707	-25.927	-25.671	-26.128	-25.943	-25.752	-25.568	-25.543	-25.884	-26.175	-25.650	-26.290	-25.731	-25.133	-25.858	-25.840	-25.763	-25.551	-25.763	-25.746	-25.928	-25.601	-25.739	125.674	125.669	125.537	125.472	125.593	125.329	125.455	125.445	125.252	125.325	125.662	125.521	125.526	125.389	125.304	125.449	125.519	125.427	125.595	125.525	125.469	125.454	125.534	125.351	125.127	125.461	125.269	125.461	125.254	125.667	125.307	125.431	101.708	101.884	101.806	101.725	101.644	101.741	101.698	101.473	101.804	101.708	101.775	101.675	101.875	101.806	101.730	101.636	101.619	101.777	101.889	101.665	101.951	101.708	101.438	101.772	101.785	101.721	101.645	101.721	101.732	101.775	101.663	101.713	2016_7_19_17_08_47
FLQS309TGRWY____	-25.650	-25.997	-25.923	-25.607	-25.848	-25.727	-26.067	-25.139	-26.135	-25.470	-26.170	-25.778	-26.053	-25.676	-25.620	-25.698	-25.798	-25.713	-26.354	-25.460	-26.233	-25.793	-25.148	-25.564	-25.843	-25.515	-25.900	-25.515	-26.035	-25.974	-25.838	-25.735	125.693	125.618	125.619	125.614	125.609	125.340	125.453	125.472	125.277	125.405	125.687	125.545	125.420	125.337	125.340	125.342	125.536	125.341	125.554	125.419	125.659	125.645	125.542	125.423	125.319	125.407	125.285	125.407	125.337	125.563	125.337	125.406	101.534	101.693	101.660	101.522	101.628	101.600	101.738	101.330	101.784	101.481	101.762	101.604	101.735	101.577	101.553	101.587	101.613	101.593	101.855	101.475	101.792	101.601	101.328	101.521	101.652	101.501	101.680	101.501	101.735	101.687	101.648	101.597	2016_7_19_17_08_47
FLQS309QGRWV____	-25.659	-26.446	-26.294	-25.461	-25.555	-25.970	-25.893	-25.502	-25.969	-25.635	-26.117	-25.911	-26.201	-25.962	-26.137	-25.816	-25.913	-25.839	-26.748	-26.193	-25.973	-25.668	-25.426	-25.624	-25.536	-25.434	-25.721	-25.434	-25.731	-26.117	-25.723	-25.832	126.126	126.241	125.990	126.038	126.097	125.897	125.963	125.964	125.765	125.900	126.166	126.034	126.033	125.895	125.829	125.892	126.025	125.896	125.819	125.886	126.021	125.796	126.100	125.968	125.692	126.016	125.895	126.016	125.884	126.173	125.767	125.882	101.495	101.827	101.783	101.416	101.452	101.651	101.611	101.440	101.662	101.504	101.690	101.613	101.739	101.647	101.730	101.584	101.614	101.593	101.997	101.749	101.641	101.528	101.395	101.493	101.479	101.406	101.542	101.406	101.547	101.690	101.555	101.592	2016_7_19_17_08_47
