,Distance_X_LOGO_Front_Camera_RU1,Distance_X_LOGO_Front_Camera_RU2,Distance_X_LOGO_Front_Camera_RU3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Front_Camera_RU1,Distance_Y_LOGO_Front_Camera_RU2,Distance_Y_LOGO_Front_Camera_RU3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Front_Camera_RU1,Angle_Front_Camera_RU2,Angle_Front_Camera_RU3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS2044GRWY,-26.0320752792,-25.996088999,-25.9970886179,-25.9281149141,-26.0660623217,-25.8571419725,-25.9930901423,-25.9940897612,-25.8961271094,-25.9980882368,-25.9950893801,-25.8891297771,-25.9641011943,-25.9950893801,-25.967100051,-25.9601027187,-26.1410337388,-26.0310756603,-25.9311137708,-25.9591030998,-25.996088999,-25.9950893801,-26.0650627028,-25.9700989077,-26.0290764225,-26.0660623217,-26.1410337388,-25.9980882368,-25.9591030998,-25.8961271094,-26.1360356444,-26.0330748981,139.130533048,139.128532796,139.102529519,139.036521201,139.133533426,139.037521327,139.06952536,139.039521579,139.102529519,139.202542122,139.143534686,139.094528511,139.057523847,139.143534686,139.168537837,139.101529393,139.168537837,139.097528889,138.924507085,139.032520696,139.032520696,139.06952536,139.062524477,139.057523847,139.094528511,139.106530023,139.236546408,139.131533174,139.06952536,139.170538089,138.923506959,139.163537207,100.738,100.724,100.726,100.704,100.752,100.675,100.727,100.73,100.686,100.719,100.722,100.684,100.717,100.722,100.71,100.712,100.779,100.74,100.713,100.717,100.731,100.728,100.756,100.719,100.74,100.753,100.774,100.725,100.714,100.681,100.795,100.736
FLQS312SGRWV,-25.7533325997,-25.6863083111,-25.7173195491,-25.647294173,-25.7873449252,-25.579269522,-25.7143184616,-25.7153188241,-25.581270247,-25.6873086737,-25.6833072236,-25.6132818475,-25.6863083111,-25.6833072236,-25.6522959856,-25.7193202741,-25.8643728389,-25.7183199116,-25.6883090362,-25.680306136,-25.6853079486,-25.6863083111,-25.872375739,-25.6582981607,-25.7533325997,-25.7873449252,-25.8293601509,-25.7243220867,-25.6823068611,-25.5852716971,-25.8613717514,-25.7573340497,139.040859754,139.07386067,139.04285981,139.011858949,139.04285981,139.00685881,138.997858561,139.010858922,139.040859754,139.141862558,139.084860976,139.003858727,139.001858672,139.084860976,139.10986167,139.005858783,139.041859782,139.07386067,138.930856701,138.943857062,139.043859838,139.013859005,138.979858061,138.998858588,139.04285981,139.045859893,139.178863585,139.108861642,138.969857783,139.144862641,138.947857173,139.14986278,100.598,100.569,100.584,100.558,100.612,100.531,100.586,100.585,100.53,100.565,100.567,100.545,100.575,100.567,100.553,100.587,100.642,100.582,100.581,100.576,100.571,100.574,100.65,100.564,100.598,100.611,100.618,100.582,100.575,100.524,100.648,100.592
FLQS31J6GRWY,-25.9912520231,-25.924171365,-25.958212296,-25.8550882991,-26.0292977695,-25.8180437566,-25.9552086844,-25.9221689573,-25.8210473681,-25.9612159075,-25.9231701611,-25.8520846876,-25.9281761804,-25.9231701611,-25.9271749765,-25.924171365,-26.0993820392,-25.9932544308,-25.8570907068,-25.8871268224,-25.924171365,-25.9612159075,-26.0272953618,-25.9301785881,-25.9932544308,-26.0302989734,-26.1023856508,-25.9642195191,-25.8871268224,-25.8210473681,-26.0983808354,-25.9952568385,139.045837564,139.008837075,139.041837511,138.94183619,139.011837115,138.914835833,139.011837115,138.919835899,138.974836626,139.078838,139.010837102,139.003837009,138.944836229,139.010837102,139.044837551,138.973836613,139.041837511,139.007837062,138.865835185,138.90783574,138.970836573,138.940836177,138.972836599,138.937836137,139.007837062,138.976836652,139.111838436,139.040837498,138.93883615,139.080838027,138.834834776,139.042837525,100.659,100.635,100.646,100.612,100.677,100.6,100.647,100.641,100.596,100.645,100.634,100.606,100.641,100.634,100.633,100.638,100.702,100.663,100.619,100.628,100.638,100.655,100.679,100.642,100.662,100.68,100.698,100.649,100.625,100.588,100.717,100.661
FLQS31FWGRWY,-25.9840154362,-25.9520141856,-25.9520141856,-25.8800113718,-26.0210168822,-25.808008558,-25.9490140684,-25.9460139512,-25.8420098868,-25.9500141075,-25.9500141075,-25.8410098477,-25.9200129351,-25.9500141075,-25.919012896,-25.9130126615,-26.092019657,-25.981015319,-25.8860116063,-25.9450139121,-25.9490140684,-25.9520141856,-26.0200168431,-25.9210129741,-25.9840154362,-26.0200168431,-26.0940197351,-25.9530142247,-25.9140127006,-25.8440099649,-26.092019657,-25.9860155144,139.128451248,139.097447805,139.096447694,139.029440252,139.097447805,139.003437365,139.099448027,139.007437809,139.063444029,139.166455469,139.100448138,139.060443696,139.059443585,139.100448138,139.129451359,139.063444029,139.131451582,139.126451026,138.990435921,138.970433699,139.058443473,139.031440475,139.061443807,139.023439586,139.095447583,139.063444029,139.201459356,139.128451248,139.026439919,139.166455469,138.919428035,139.165455358,100.559,100.549,100.548,100.525,100.576,100.498,100.547,100.553,100.507,100.542,100.547,100.507,100.538,100.547,100.533,100.536,100.602,100.558,100.53,100.555,100.55,100.553,100.578,100.542,100.561,100.578,100.597,100.547,100.539,100.5,100.617,100.557
FLQS31CRGRWY,-26.329997599,-26.2929793252,-26.3309980929,-26.1859264794,-26.3640143911,-26.1489082056,-26.2529595698,-26.2539600637,-26.18092401,-26.2909783375,-26.2919788313,-26.1839254916,-26.2589625331,-26.2919788313,-26.259963027,-26.2519590759,-26.4290464937,-26.3239946357,-26.2199432715,-26.2169417899,-26.2549605576,-26.2939798191,-26.3610129095,-26.2229447532,-26.3249951296,-26.4030336527,-26.4690662492,-26.2919788313,-26.2519590759,-26.1879274672,-26.4360499509,-26.3279966112,138.990116597,139.021120861,138.988116322,138.913106005,138.989116459,138.918106693,138.994117147,138.918106693,138.955111782,139.090130353,139.018120449,138.950111095,138.953111507,139.018120449,139.053125263,138.91910683,139.028121824,138.988116322,138.848097064,138.875100778,138.921107105,138.951111232,138.95611192,138.91910683,138.989116459,138.917106555,139.093130765,139.025121411,138.917106555,139.061126364,138.816092662,139.055125538,100.731,100.714,100.732,100.68,100.745,100.665,100.701,100.707,100.675,100.708,100.714,100.676,100.706,100.714,100.699,100.706,100.768,100.729,100.698,100.695,100.707,100.72,100.746,100.694,100.729,100.766,100.779,100.713,100.706,100.669,100.787,100.726
FLQS319LGRWY,-26.1236057055,-26.0535450795,-26.0885753925,-25.9874879179,-26.1586360185,-25.9104212293,-26.05854941,-26.0535450795,-25.9514567388,-26.0895762586,-26.0515433474,-25.9784801231,-26.0205164987,-26.0515433474,-26.0485407491,-26.0195156326,-26.2327001089,-26.0885753925,-25.9944939805,-26.0205164987,-26.0525442134,-26.0905771247,-26.1566342864,-26.0275225613,-26.1236057055,-26.1596368846,-26.2036749924,-26.0915779908,-26.0515433474,-25.9584628014,-26.1956680637,-26.093579723,138.992593547,139.031598203,138.994593785,139.023597248,138.995593905,138.969590801,139.025597487,139.021597009,139.042599517,139.018596651,139.054600949,138.95458901,139.034598561,139.054600949,138.982592353,139.010595696,138.989593188,139.075603457,138.889581249,138.972591159,139.00359486,138.931586263,139.042599517,138.956589248,138.993593666,139.012595935,139.176615516,139.113607994,138.966590442,139.099606322,138.914584234,139.105607039,100.707,100.677,100.693,100.651,100.721,100.624,100.679,100.677,100.635,100.692,100.674,100.652,100.663,100.674,100.678,100.664,100.751,100.687,100.664,100.668,100.678,100.699,100.717,100.672,100.707,100.72,100.725,100.686,100.681,100.634,100.742,100.687
FLQS319HGRWY,-25.8192706088,-25.7512777964,-25.7852742026,-25.7252805446,-25.853267015,-25.6442891063,-25.7822745197,-25.7822745197,-25.6462888949,-25.793273357,-25.7482781135,-25.6412894234,-25.7172813902,-25.7482781135,-25.7182812845,-25.7872739912,-25.853267015,-25.7822745197,-25.7552773736,-25.7472782192,-25.7502779021,-25.8262698689,-25.853267015,-25.7202810731,-25.8192706088,-25.8162709259,-25.9322586647,-25.8282696575,-25.7462783249,-25.6502884721,-25.9242595103,-25.8262698689,139.073004342,139.071004414,139.074004306,138.952008688,139.076004234,138.976007826,139.072004378,138.981007646,139.042005455,139.188000211,139.083003983,139.036005671,139.032005815,139.083003983,139.108003085,139.011006569,139.108003085,139.072004378,138.905010376,138.976007826,139.001006928,138.978007754,139.038005599,139.001006928,139.073004342,139.016006389,139.179000534,139.07500427,138.974007898,139.144001792,138.907010305,139.150001576,100.427,100.4,100.414,100.398,100.441,100.364,100.413,100.419,100.36,100.408,100.398,100.359,100.389,100.398,100.384,100.419,100.438,100.412,100.414,100.405,100.405,100.437,100.443,100.393,100.427,100.43,100.464,100.431,100.405,100.355,100.481,100.424
FLQS317CGRWY,-25.9042928946,-25.868316098,-25.868316098,-25.7124166461,-25.9752471323,-25.727406978,-25.8733128753,-25.868316098,-25.1447827445,-25.8703148089,-25.8693154534,-25.0478452648,-25.8353373678,-25.8693154534,-25.8693154534,-25.8333386569,-26.0152213507,-25.9032935391,-25.8073554149,-25.8343380123,-25.868316098,-25.8693154534,-25.9372716248,-25.8363367232,-25.9022941836,-25.9392703357,-26.0182194171,-25.8733128753,-25.8633193207,-25.7723779738,-26.0102245734,-25.9062916055,138.969243893,138.966244471,139.019234269,138.853266223,138.972243316,138.865263913,138.961245433,138.876261796,138.886259871,139.035231189,138.986240621,138.888259486,138.80227604,138.986240621,139.004237156,138.943248898,139.006236771,138.965244663,138.823271998,138.873262373,138.944248706,138.914254481,138.934250631,138.825271613,138.965244663,138.944248706,139.072224066,138.961245433,138.823271998,139.096219447,138.801276233,139.000237926,100.562,100.548,100.544,100.494,100.59,100.499,100.55,100.555,100.265,100.544,100.547,100.226,100.547,100.547,100.546,100.536,100.604,100.562,100.534,100.542,100.55,100.552,100.578,100.546,100.562,100.578,100.6,100.55,100.557,100.5,100.617,100.561
FLQS3160GRWY,-26.2037932817,-26.1677523037,-26.1697545802,-26.132712464,-26.276876376,-26.0255906682,-26.1717568568,-26.2017910051,-26.0265918065,-26.1727579951,-26.1677523037,-26.02458953,-26.1347147405,-26.1677523037,-26.1337136022,-26.132712464,-26.3119162157,-26.2037932817,-26.1056817305,-26.1627466123,-26.2027921434,-26.1697545802,-26.240835398,-26.1397204319,-26.2037932817,-26.2418365362,-26.3149196305,-26.1717568568,-26.1347147405,-26.0726441673,-26.3119162157,-26.2077978348,139.00453866,139.002538768,139.003538714,138.90654392,139.003538714,138.903544081,138.999538929,138.90654392,138.967540646,139.069535171,139.007538499,138.932542525,138.933542471,139.007538499,139.035536996,138.969540539,139.038536835,139.001538821,138.858546497,138.86854596,138.900544242,138.938542203,138.941542042,138.924542954,139.00453866,138.97454027,139.075534849,139.002538768,138.933542471,139.039536782,138.829548053,139.035536996,100.52,100.506,100.507,100.499,100.55,100.457,100.508,100.527,100.453,100.503,100.506,100.454,100.498,100.506,100.49,100.495,100.561,100.521,100.492,100.514,100.528,100.512,100.54,100.501,100.52,100.538,100.559,100.508,100.498,100.465,100.576,100.52
FLQS3126GRWV,-25.9919843416,-25.9570475371,-25.9570475371,-25.8841793449,-26.096794755,-25.8093147638,-25.9241071214,-25.923108927,-25.8452497627,-25.9560493427,-25.9570475371,-25.8522371236,-25.9919843416,-25.9570475371,-25.9919843416,-25.9211125382,-26.0997893383,-25.9909861472,-25.8871739281,-25.9221107326,-25.9570475371,-25.9570475371,-26.0269211461,-25.9280998991,-25.9919843416,-26.0309139237,-26.096794755,-25.9570475371,-25.9221107326,-25.8542335125,-26.0997893383,-25.9919843416,138.868733797,138.951736029,138.868733797,138.881734146,138.868733797,138.881734146,138.949735975,138.886734281,138.915735061,139.022737938,138.958736217,138.833732856,138.833732856,138.958736217,138.97373662,138.917735114,139.01873783,138.977736728,138.798731915,138.833732856,138.798731915,138.868733797,138.833732856,138.884734227,138.868733797,138.924735303,138.97373662,138.983736889,138.868733797,139.016737776,138.82273256,138.983736889,100.816,100.796,100.802,100.771,100.857,100.742,100.782,100.787,100.753,100.789,100.795,100.762,100.818,100.795,100.808,100.783,100.847,100.807,100.779,100.79,100.807,100.802,100.832,100.789,100.816,100.827,100.85,100.793,100.788,100.75,100.862,100.807
