,Distance_X_LOGO_Front_Camera_RU1,Distance_X_LOGO_Front_Camera_RU2,Distance_X_LOGO_Front_Camera_RU3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Front_Camera_RU1,Distance_Y_LOGO_Front_Camera_RU2,Distance_Y_LOGO_Front_Camera_RU3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Front_Camera_RU1,Angle_Front_Camera_RU2,Angle_Front_Camera_RU3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS3115GRWV,-25.7095203604,-25.6675048018,-25.6655040609,-25.604481464,-25.742532585,-25.5194499764,-25.6665044314,-25.6745073949,-25.5594647941,-25.6655040609,-25.7045185082,-25.5694684985,-25.6354929477,-25.7045185082,-25.6354929477,-25.6675048018,-25.8135588864,-25.7035181377,-25.6374936886,-25.6264896137,-25.6745073949,-25.7075196195,-25.7355299919,-25.6054818344,-25.7025177673,-25.7385311032,-25.810557775,-25.70851999,-25.6284903546,-25.6064822049,-25.8075566637,-25.7065192491,138.966426625,139.152445936,139.212452165,139.036433892,139.217452685,139.048435138,139.143445002,139.036433892,139.121442717,139.220452996,139.086439084,139.071437526,139.074437838,139.086439084,139.191449985,139.044434723,139.193450193,139.023432543,138.933423198,139.055435865,139.036433892,139.011431297,139.121442717,139.069437319,139.154446144,139.137444379,139.254456526,139.143445002,139.005430674,139.178448635,138.948424756,139.184449258,100.452,100.422,100.417,100.405,100.447,100.371,100.422,100.433,100.381,100.416,100.442,100.389,100.415,100.442,100.406,100.43,100.477,100.446,100.426,100.413,100.433,100.448,100.451,100.403,100.436,100.452,100.471,100.439,100.417,100.396,100.493,100.435
FLQS310RGRWV,-26.1832787306,-26.1492041889,-26.1492041889,-26.0850638751,-26.2183554648,-26.0098994449,-26.1512085737,-26.1461976117,-26.044976179,-26.1502063813,-26.1502063813,-26.0429717942,-26.1141274548,-26.1502063813,-26.117134032,-26.1131252624,-26.2905133178,-26.1812743458,-26.0850638751,-26.1151296472,-26.1482019965,-26.1872875003,-26.2173532724,-26.122144994,-26.1822765382,-26.2183554648,-26.2905133178,-26.1471998041,-26.1141274548,-26.0469805638,-26.288508933,-26.1862853079,139.030599123,139.026598013,138.995589404,138.932571908,139.030599123,138.926570242,139.024597457,138.93157163,138.958579128,139.101618841,139.039601623,138.955578295,138.954578018,139.039601623,139.066609121,138.998590237,139.069609954,139.026598013,138.887559411,138.896561911,138.922569131,138.897562188,138.99258857,138.956578573,138.99258857,139.002591348,139.100618563,139.02759829,138.963580517,139.060607455,138.829543304,139.060607455,100.572,100.559,100.561,100.541,100.586,100.511,100.56,100.565,100.523,100.554,100.559,100.522,100.551,100.559,100.544,100.547,100.612,100.572,100.544,100.555,100.567,100.584,100.589,100.554,100.575,100.589,100.61,100.558,100.55,100.516,100.629,100.571
FLQS3106GRWV,-25.9793172318,-25.944308719,-25.944308719,-25.841283667,-26.0143257446,-25.7962727219,-25.9453089622,-25.9403077461,-25.8372826941,-25.9453089622,-25.9433084757,-25.8372826941,-25.9103004494,-25.9433084757,-25.9123009358,-25.9072997197,-26.0813420405,-25.9773167453,-25.8442843966,-25.8722912069,-25.9403077461,-25.9433084757,-26.0143257446,-25.913301179,-25.9793172318,-26.0143257446,-26.083342527,-25.9413079893,-25.9062994765,-25.8402834238,-26.0803417973,-25.980317475,139.093633507,139.08863147,139.091632692,139.021604179,139.093633507,139.023604994,139.0926331,139.022604587,139.054617621,139.160660798,139.094633914,139.055618029,139.051616399,139.094633914,139.122645319,139.053617214,139.125646541,139.089631878,138.952576074,138.98759033,139.021604179,139.023604994,139.057618843,139.023604994,139.089631878,139.058619251,139.195675054,139.123645727,139.021604179,139.159660391,138.922563854,139.124646134,100.371,100.357,100.357,100.321,100.385,100.303,100.357,100.36,100.317,100.352,100.356,100.317,100.346,100.356,100.342,100.345,100.409,100.37,100.328,100.336,100.36,100.362,100.387,100.35,100.371,100.387,100.404,100.353,100.347,100.31,100.424,100.369
FLQS30ZQGRWV,-26.166601201,-26.134607802,-26.1326082146,-26.0276298742,-26.2035935686,-25.9826391568,-26.1316084209,-26.1656014073,-25.9896377129,-26.1356075958,-26.1306086272,-26.0596232731,-26.0646222417,-26.1306086272,-26.1006148156,-26.095615847,-26.2705797478,-26.1686007885,-26.1406065643,-26.1256096586,-26.0976154345,-26.1316084209,-26.2045933623,-26.1016146093,-26.1686007885,-26.2045933623,-26.2745789226,-26.1356075958,-26.1306086272,-26.031629049,-26.2705797478,-26.3105714965,139.00627692,139.001277306,139.041274221,138.910284325,139.008276766,138.907284557,138.997277615,138.906284634,138.967279929,139.070271984,139.018275995,138.934282474,138.961280391,139.018275995,139.037274529,138.976279234,139.040274298,139.004277075,138.797293042,138.911284248,138.904284788,138.945281626,138.97127962,138.925283168,139.004277075,138.980278926,139.104269361,139.038274452,138.935282397,139.037274529,138.802292656,139.003277152,100.595,100.583,100.579,100.547,100.61,100.529,100.582,100.602,100.527,100.578,100.58,100.558,100.558,100.58,100.566,100.569,100.634,100.596,100.6,100.586,100.575,100.586,100.613,100.575,100.596,100.612,100.631,100.58,100.586,100.539,100.652,100.653
FLQS30YUGRWV,-25.9633247631,-25.9273326305,-25.9253330676,-25.8583477097,-25.9993168957,-25.785363663,-25.9963175513,-25.8923402794,-25.8163568883,-25.926332849,-25.926332849,-25.7863634445,-25.8913404979,-25.926332849,-25.8913404979,-25.8583477097,-26.0703013794,-25.9633247631,-25.8273544844,-25.8913404979,-25.8943398423,-25.9273326305,-26.0013164586,-25.8643463985,-25.965324326,-25.9963175513,-26.0673020351,-25.9273326305,-25.8953396238,-25.8913404979,-26.0703013794,-25.9623249816,139.062858314,139.062858314,139.062858314,138.993876242,139.063858054,138.989877281,138.991876762,138.995875722,139.025867928,139.132840126,139.103847661,139.055860133,139.023868447,139.103847661,139.09584974,139.025867928,139.0998487,139.059859093,138.917895989,138.886904044,138.990877022,139.032866109,139.028867148,138.989877281,139.060858834,138.956885856,139.168830772,139.093850259,138.991876762,139.131840386,138.889903264,139.09784922,100.469,100.455,100.454,100.433,100.483,100.404,100.488,100.446,100.413,100.449,100.451,100.399,100.444,100.451,100.438,100.43,100.509,100.469,100.426,100.454,100.447,100.457,100.487,100.435,100.47,100.49,100.503,100.452,100.447,100.436,100.525,100.466
FLQS30X6GRWY,-25.8266491391,-25.7916794025,-25.7876828612,-25.7816880492,-25.859620605,-25.6488030504,-25.7876828612,-25.7816880492,-25.6857710576,-25.7906802672,-25.7886819966,-25.6767788396,-25.7467183127,-25.7886819966,-25.756709666,-25.7517139894,-25.932557484,-25.8865972589,-25.7587079367,-25.7497157187,-25.7816880492,-25.8516275223,-25.9215669954,-25.7617053427,-25.8246508684,-25.8586214696,-25.9315583487,-25.8516275223,-25.7497157187,-25.7467183127,-25.9215669954,-25.8276482744,139.156114393,139.154114133,139.156114393,139.030097989,139.158114654,139.088105541,139.153114003,139.030097989,139.120109707,139.226123507,139.168115956,139.065102546,139.065102546,139.168115956,139.19211908,139.129110878,139.194119341,139.100107103,139.014095906,139.060101895,139.030097989,139.100107103,139.065102546,139.081104629,139.154114133,139.129110878,139.226123507,139.135111659,139.090105801,139.170116216,138.92508432,139.18911869,100.623,100.609,100.608,100.614,100.636,100.557,100.608,100.614,100.569,100.604,100.607,100.57,100.598,100.607,100.592,100.595,100.662,100.651,100.606,100.599,100.614,100.637,100.668,100.603,100.622,100.638,100.659,100.635,100.597,100.59,100.678,100.621
FLQS30X6GRWV,-26.1943017242,-26.1522900133,-26.1572914075,-26.0902727258,-26.2293114832,-26.0162520924,-26.1572914075,-26.1562911286,-26.0492612938,-26.1522900133,-26.1572914075,-26.048261015,-26.1212813696,-26.1572914075,-26.1582916863,-26.0912730047,-26.2943296072,-26.1913008877,-26.0602643609,-26.1202810907,-26.154290571,-26.1933014453,-26.2283112044,-26.0922732835,-26.1933014453,-26.2293114832,-26.295329886,-26.154290571,-26.1202810907,-26.083270774,-26.2983307225,-26.1913008877,139.076337328,138.996304332,139.074336503,139.005308044,139.108350526,139.004307632,139.105349289,139.006308457,139.04032248,139.148367024,139.050326604,139.03632083,139.039322067,139.050326604,139.143364961,139.071335265,139.147366611,139.076337328,138.966291959,138.968292784,139.006308457,138.973294846,139.04432413,139.007308869,139.075336915,139.010310106,139.213393832,139.113352588,138.972294434,139.148367024,138.907267625,139.112352176,100.814,100.803,100.799,100.778,100.826,100.748,100.797,100.804,100.759,100.792,100.801,100.759,100.788,100.801,100.795,100.773,100.849,100.813,100.769,100.793,100.803,100.821,100.83,100.779,100.814,100.833,100.844,100.795,100.792,100.765,100.868,100.81
FLQS30WFGRWV,-25.7290151869,-25.6609913521,-25.6950032695,-25.6219776821,-25.7660281559,-25.5509527957,-25.6649927541,-25.6890011664,-25.5239433318,-25.69600362,-25.65698995,-25.5539538472,-25.6289801357,-25.65698995,-25.6219776821,-25.6259790841,-25.8070425269,-25.69600362,-25.5999699708,-25.6239783831,-25.6639924036,-25.6629920531,-25.7290151869,-25.6379832903,-25.698004321,-25.7290151869,-25.809043228,-25.6659931046,-25.6579903005,-25.5649577029,-25.8050418259,-25.7000050221,138.989952792,139.022952305,138.987952821,138.96495316,138.991952762,138.960953219,139.018952364,138.965953145,138.987952821,139.087951348,139.042952011,138.948953395,139.024952276,139.042952011,138.981952909,139.001952615,139.106951068,138.991952762,138.924953749,138.962953189,138.994952718,139.014952423,139.033952143,138.944953454,138.990952777,139.004952571,139.168950155,139.058951775,138.954953307,139.091951289,138.898954132,139.099951171,100.347,100.317,100.334,100.306,100.362,100.278,100.319,100.333,100.266,100.327,100.315,100.28,100.305,100.315,100.305,100.305,100.37,100.334,100.3,100.307,100.321,100.319,100.344,100.314,100.335,100.346,100.366,100.317,100.321,100.274,100.384,100.327
FLQS30VBGRWV,-26.0908624881,-26.0888605805,-26.0548281503,-25.9877642438,-26.1579263946,-25.9116917529,-26.091863442,-26.0528262427,-25.9537318137,-26.0588319656,-26.0578310118,-25.9467251369,-26.0528262427,-26.0578310118,-26.0588319656,-26.0498233812,-26.2019683631,-26.0898615343,-26.0247995355,-26.0177928587,-26.0528262427,-26.056830058,-26.1599283023,-26.0288033508,-26.1248949183,-26.1288987336,-26.2400046086,-26.0938653496,-26.0197947663,-25.992769013,-26.2289941164,-26.1298996874,139.064836034,138.986834443,139.02983532,138.969834097,139.02783528,138.964833995,139.052835789,139.007834872,139.0288353,139.131837401,139.087836503,138.988834484,138.986834443,139.087836503,139.101836789,139.040835545,139.102836809,139.061835973,138.917833036,138.965834015,138.957833852,139.011834953,139.0288353,138.981834341,139.063836014,139.045835647,139.123837237,139.057835891,139.005834831,139.089836544,138.852831711,139.093836626,100.697,100.702,100.686,100.663,100.727,100.634,100.699,100.686,100.646,100.68,100.683,100.646,100.688,100.683,100.682,100.683,100.739,100.697,100.682,100.676,100.69,100.688,100.728,100.679,100.711,100.714,100.752,100.699,100.674,100.657,100.768,100.711
FLQS30UFGRWV,-25.8169959362,-25.7830419728,-25.7830419728,-25.712138108,-25.8878998009,-25.6761868526,-25.7800460348,-25.7820433268,-25.6791827906,-25.7840406187,-25.767063637,-25.711139462,-25.7490880094,-25.767063637,-25.7500866553,-25.7470907174,-25.9258483482,-25.8509498996,-25.7510853013,-25.8020162464,-25.7830419728,-25.8209905201,-25.8489526076,-25.7550798852,-25.9418266839,-25.8898970929,-25.9258483482,-25.8209905201,-25.7820433268,-25.7141354,-25.9238510563,-25.8189932281,139.088802299,139.119815188,139.087801883,139.020774028,139.088802299,139.016772365,139.088802299,139.025776107,139.089802715,139.188843874,139.019773612,139.053787748,139.051786916,139.019773612,139.155830155,139.027776938,139.155830155,139.089802715,138.917731206,138.984759061,139.015771949,138.993762803,139.058789827,139.014771534,139.089802715,139.030778186,139.192845537,139.121816019,138.985759477,139.15683057,138.911728711,139.154829739,100.376,100.36,100.363,100.339,100.405,100.326,100.362,100.367,100.321,100.356,100.362,100.337,100.352,100.362,100.345,100.353,100.415,100.39,100.363,100.378,100.368,100.385,100.391,100.357,100.426,100.41,100.412,100.375,100.37,100.33,100.432,100.372
FLQS30TYGRWV,-26.0348791927,-25.9968706096,-25.9958703837,-25.9278550245,-26.0678866464,-25.8598396653,-25.9998712872,-25.9978708355,-25.8948475708,-25.9958703837,-25.9978708355,-25.8958477966,-25.9668638335,-25.9978708355,-25.9638631558,-25.96286293,-26.140903135,-26.0328787409,-25.931855928,-25.9648633817,-25.9978708355,-26.0008715131,-26.0668864205,-25.9698645111,-26.0308782892,-26.0688868723,-26.1419033609,-25.9978708355,-25.9648633817,-25.8998487001,-26.1419033609,-26.0338789668,139.034939596,139.034939596,139.069943106,138.967932878,139.069943106,138.965932678,139.034939596,138.971933279,138.999936087,139.105946715,139.041940298,138.964932577,138.963932477,139.041940298,139.068943005,139.003936488,139.070943206,139.032939396,138.891925258,138.929929068,138.934929569,138.969933079,138.997935886,138.961932276,139.032939396,139.004936588,139.137949924,139.069943106,138.967932878,139.105946715,138.86292235,139.066942805,100.611,100.596,100.593,100.574,100.622,100.547,100.597,100.601,100.558,100.59,100.596,100.561,100.589,100.596,100.58,100.585,100.651,100.61,100.581,100.591,100.604,100.602,100.627,100.591,100.61,100.627,100.646,100.594,100.588,100.552,100.667,100.608
FLQS30T7GRWV,-26.0338183294,-26.031820722,-26.031820722,-25.9589080522,-26.1047333918,-25.8580288789,-25.9978613964,-26.0288243109,-25.8889917935,-26.0298231146,-26.0308219183,-25.8889917935,-25.9968625927,-26.0308219183,-25.9639020707,-25.9599068559,-26.1756484542,-26.0338183294,-25.9379331746,-25.9948649853,-25.9968625927,-26.031820722,-26.1027357844,-25.9688960892,-26.0687764587,-26.1017369807,-26.1746496505,-26.0338183294,-25.9948649853,-25.8979810268,-26.1736508468,-26.0717728698,139.039904267,139.073906689,139.037904125,138.975899708,139.039904267,138.971899423,139.002901631,138.973899566,139.040904339,139.073906689,139.012902344,139.035903982,138.999901418,139.012902344,139.067906262,139.008902059,139.115909681,139.038904196,138.935896859,138.943897428,138.968899209,138.941897286,139.006901916,138.965898996,139.036904054,138.977899851,139.141911534,139.070906476,138.935896859,139.102908755,138.876892655,139.10690904,100.507,100.504,100.507,100.482,100.535,100.442,100.496,100.51,100.449,100.503,100.508,100.45,100.495,100.508,100.477,100.48,100.558,100.507,100.477,100.499,100.498,100.514,100.537,100.487,100.521,100.539,100.556,100.505,100.499,100.448,100.575,100.517
FLQS30S7GRWV,-26.196322019,-26.1603064531,-26.1613068855,-26.0912766185,-26.2293362877,-26.0242476487,-26.1593060207,-26.1593060207,-26.0582623498,-26.1583055883,-26.1603064531,-26.0572619174,-26.1282926168,-26.1603064531,-26.126291752,-26.1242908872,-26.3013674195,-26.1953215866,-26.0962787804,-26.1252913196,-26.1613068855,-26.1633077503,-26.2293362877,-26.1302934816,-26.1933207218,-26.2283358553,-26.3023678519,-26.1593060207,-26.1242908872,-26.056261485,-26.3023678519,-26.1973224514,138.907975148,138.903976675,138.90697553,138.834003385,138.907975148,138.834003385,138.908974767,138.837002241,138.869989648,138.978948056,138.90697553,138.86899003,138.867990412,138.90697553,138.939962938,138.869989648,138.941962175,138.90697553,138.79301903,138.797017504,138.836002622,138.838001859,138.871988885,138.832004149,138.905975912,138.871988885,139.010935846,138.936964083,138.835003004,138.975949201,138.727044215,138.938963319,100.653,100.639,100.639,100.617,100.666,100.59,100.638,100.643,100.6,100.632,100.638,100.6,100.629,100.638,100.622,100.627,100.692,100.652,100.622,100.633,100.644,100.645,100.668,100.632,100.652,100.668,100.687,100.636,100.629,100.592,100.709,100.651
FLQS30RRGRWV,-25.9614361173,-25.9284596973,-25.9284596973,-25.85751043,-26.0323853846,-25.7815647354,4.40485028503,-25.9264611264,-25.8215361536,-25.9284596973,-25.9624354027,-25.81354187,-25.9294589827,-25.9624354027,-25.9284596973,-25.9244625554,-26.0763539446,-25.9664325446,-25.8635061427,-25.8914861354,-25.8974818482,-25.9884168246,-25.9964111082,-25.8994804191,-26.0104011046,-26.0733560882,-26.0783525155,-25.9694304009,-25.8934847063,-25.8655047136,-26.0703582319,-25.9364539809,138.940611388,138.969615899,139.015623056,138.919608121,138.938611077,138.907606254,149.339228831,138.918607965,138.937610921,139.034626011,138.989619011,138.872600809,138.894604232,138.989619011,139.0056215,138.948612633,139.0056215,139.012622589,138.878601743,138.91760781,138.943611855,138.907606254,138.907606254,138.896604543,138.920608277,138.947612477,139.036626323,139.0056215,138.90860641,139.036626323,138.859598787,139.0056215,100.513,100.498,100.494,100.473,100.541,100.444,88.229,100.5,100.457,100.493,100.51,100.459,100.504,100.51,100.495,100.498,100.554,100.509,100.478,100.487,100.487,100.526,100.529,100.491,100.534,100.557,100.552,100.511,100.488,100.467,100.562,100.498
FLQS30R2GRWV,-25.6355173976,-25.6014968047,-25.5994955933,-25.5284525904,-25.7455840219,-25.4534071647,-25.6755416246,-25.5954931706,-25.4584101931,-25.6014968047,-25.597494382,-25.4574095874,-25.566475606,-25.597494382,-25.640520426,-25.563473789,-25.7445834162,-25.640520426,-25.5364574358,-25.5704780287,-25.5984949876,-25.6054992274,-25.6705385963,-25.5704780287,-25.634516792,-25.6725398076,-25.7455840219,-25.643522243,-25.563473789,-25.4994350258,-25.7405809935,-25.6385192147,139.149135481,139.192135523,139.149135481,139.093135427,139.151135483,139.083135417,138.941135279,139.091135425,139.161135493,139.26013559,139.123135456,139.108135442,139.108135442,139.123135456,139.116135449,139.167135499,139.233135563,139.151135483,138.966135303,139.046135381,139.078135412,139.011135347,139.159135491,139.111135444,139.194135525,139.176135508,139.252135582,139.183135515,139.038135373,139.215135546,138.979135316,139.226135556,100.54,100.524,100.526,100.502,100.584,100.473,100.572,100.529,100.469,100.519,100.527,100.473,100.516,100.527,100.545,100.511,100.578,100.542,100.514,100.522,100.531,100.539,100.554,100.517,100.537,100.553,100.577,100.541,100.52,100.482,100.595,100.536
FLQS30QXGRWV,-26.2604940843,-26.1785206359,-26.1425322927,-26.0755539874,-26.2964824275,-26.0005782724,-26.1685238739,-26.1395332642,-26.0275695298,-26.2195073601,-26.1785206359,-26.1615261405,-26.108543302,-26.1785206359,-26.1425322927,-26.1375339118,-26.2894846941,-26.2115099505,-26.108543302,-26.1025452448,-26.1405329403,-26.1765212835,-26.2454989413,-26.1155410354,-26.2145089791,-26.2894846941,-26.2894846941,-26.1835190169,-26.1795203121,-26.0795526922,-26.3174756277,-26.2175080077,138.889424923,139.054468207,139.126487094,138.837411282,138.889424923,138.941438564,138.949440662,138.953441712,138.910430432,139.121485783,138.919432793,138.963444335,138.865418627,138.919432793,139.098479749,139.037463747,139.166497587,139.116484471,138.824407871,138.970446171,138.889424923,139.005455353,139.083475814,138.973446958,139.061470043,139.040464534,139.157495226,139.038464009,138.884423611,139.072472929,138.844413118,139.219511491,100.56,100.514,100.495,100.49,100.574,100.452,100.518,100.507,100.465,100.526,100.525,100.515,100.501,100.525,100.497,100.499,100.55,100.523,100.504,100.491,100.512,100.517,100.539,100.496,100.528,100.56,100.551,100.518,100.528,100.474,100.586,100.518
FLQS30QPGRWV,-25.8709923368,-25.8910031597,-25.8359733968,-25.7669360579,-25.942030758,-25.6898943899,-25.8399755614,-25.8349728556,-25.7319171179,-25.8419766436,-25.8910031597,-25.7269144122,-25.8359733968,-25.8910031597,-25.8419766436,-25.8559842196,-25.9800513214,-25.9050107357,-25.8049566214,-25.8009544568,-25.8359733968,-25.8910031597,-25.9400296757,-25.8059571625,-25.9050107357,-25.9440318402,-25.9820524037,-25.8719928779,-25.8009544568,-25.7699376813,-26.0310789197,-25.9120145237,139.073838016,139.011810882,139.072837578,139.008809569,139.073838016,139.003807381,139.061832764,139.011810882,139.037822261,139.180884844,139.011810882,139.034820948,139.030819197,139.011810882,139.145869526,138.976795565,139.150871714,139.071837141,138.976795565,138.97879644,139.004807819,138.941780247,139.040823574,138.975795127,139.070836703,139.08884458,139.17388178,139.072837578,138.972793814,139.104851583,138.90676493,139.142868213,100.525,100.537,100.511,100.488,100.553,100.458,100.513,100.515,100.472,100.505,100.537,100.47,100.514,100.537,100.508,100.526,100.562,100.538,100.505,100.504,100.516,100.542,100.554,100.506,100.538,100.552,100.561,100.525,100.504,100.482,100.601,100.536
FLQS30QMGRWV,-26.052744033,-26.0177269039,-26.0157259251,-25.950694114,-26.0867606727,-25.8806598558,-26.0157259251,-26.0157259251,-25.8806598558,-26.0167264145,-26.0187273933,-25.9096740485,-25.9827097749,-26.0187273933,-25.9867117325,-25.9486931352,-26.1577954202,-26.0507430542,-25.955696561,-25.9837102643,-26.0187273933,-26.0177269039,-26.0877611621,-25.9877122219,-26.0507430542,-26.0877611621,-26.1557944414,-26.0207283721,-25.9827097749,-25.9156769849,-26.1607968885,-26.0557455012,139.113364675,139.1123645,139.08335942,139.009346457,139.1123645,139.011346807,139.1123645,139.013347158,139.076358194,139.184377112,139.107363624,139.042352238,139.046352938,139.107363624,139.144370105,139.070357143,139.150371156,139.110364149,138.973340151,138.968339275,139.039351712,139.038351537,139.049353464,139.042352238,139.108363799,139.072357493,139.193378689,139.148370806,139.038351537,139.183376937,138.939334195,139.145370281,100.469,100.455,100.456,100.436,100.483,100.408,100.454,100.462,100.403,100.449,100.456,100.417,100.446,100.456,100.44,100.431,100.508,100.468,100.441,100.452,100.461,100.461,100.488,100.448,100.468,100.486,100.504,100.453,100.447,100.409,100.525,100.468
FLQS30Q9GRWY,-25.9938234001,-25.9608287016,-25.9578291836,-25.8908399472,-26.0828091022,-25.8098529599,-25.9578291836,-25.9558295049,-25.8458471764,-25.9618285409,-25.9598288622,-25.8378484616,-25.9778259705,-25.9598288622,-25.9608287016,-25.9778259705,-26.0988065318,-25.9938234001,-25.8928396259,-25.924834485,-25.9578291836,-25.9598288622,-26.0298176167,-25.924834485,-26.047814725,-26.0318172954,-26.1008062105,-25.9938234001,-25.9238346457,-25.9078372161,-26.1527978566,-25.9968229182,139.071152233,139.070152361,139.046155441,138.969165321,139.012159804,138.970165193,139.045155569,138.997161728,139.035156852,139.142143122,139.072152105,138.977164295,138.977164295,139.072152105,139.107147613,138.907173277,139.109147357,139.068152618,138.930170326,138.96216622,138.975164551,139.002161087,139.013159675,138.9981616,139.012159804,139.035156852,139.176138759,139.079151206,138.997161728,139.082150821,138.83718226,139.107147613,100.452,100.439,100.44,100.419,100.492,100.386,100.44,100.443,100.396,100.434,100.439,100.397,100.453,100.439,100.436,100.458,100.491,100.453,100.422,100.433,100.445,100.444,100.471,100.43,100.478,100.47,100.487,100.451,100.43,100.417,100.533,100.451
FLQS30Q9GRWV,-26.0675904891,-26.0265423188,-26.0265423188,-25.9684741755,-26.1086386594,-25.88537666,-26.0605822649,-26.0295458435,-25.8873790098,-26.0255411439,-26.0315481933,-25.8883801846,-25.9644694759,-26.0315481933,-25.9945047225,-25.9604647764,-26.1667068028,-26.0615834398,-25.9324318796,-26.0035152965,-25.9945047225,-26.0295458435,-26.0996280855,-25.9624671262,-26.0625846147,-26.1026316101,-26.1637032781,-26.0265423188,-25.9965070723,-25.8923848842,-26.173715027,-26.0655881394,139.102514389,139.110517353,139.132525503,138.93345178,139.003477713,138.989472526,139.10351476,138.993474008,139.102514389,139.182544027,139.102514389,139.096512167,139.094511426,139.102514389,139.171539952,139.062499571,139.144529949,139.132525503,138.996475119,138.898438813,139.06049883,139.031488086,139.068501793,139.033488827,139.134526244,139.064500311,139.214555882,139.174541063,139.028486974,139.2105544,138.956460301,139.173540693,100.577,100.56,100.558,100.55,100.6,100.513,100.574,100.57,100.505,100.554,100.562,100.506,100.536,100.562,100.543,100.537,100.613,100.572,100.531,100.566,100.551,100.567,100.592,100.54,100.572,100.594,100.607,100.555,100.554,100.499,100.63,100.571
FLQS30Q3GRWV,-26.3192321851,-26.2842145797,-26.2852150827,-26.217180878,-26.3552502934,-26.1501471764,-26.3162306761,-26.2842145797,-26.1811627697,-26.2842145797,-26.2842145797,-26.1791617637,-26.2511979804,-26.2842145797,-26.2511979804,-26.2501974774,-26.4312885222,-26.3192321851,-26.2221833931,-26.2501974774,-26.2852150827,-26.2872160888,-26.3542497904,-26.2551999924,-26.3192321851,-26.3532492874,-26.4312885222,-26.2872160888,-26.2501974774,-26.1861652847,-26.4272865102,-26.3232341971,138.92858343,138.966579487,138.92858343,138.867589759,138.930583223,138.862590278,138.888587581,138.866589863,138.892587165,138.963579799,138.905585817,138.891587269,138.889587477,138.905585817,139.009575026,138.898586543,139.011574818,138.927583534,138.831593495,138.832593391,138.897586647,138.832593391,138.893587062,138.857590797,138.927583534,138.903586024,139.031572743,138.964579695,138.82759391,138.997576271,138.762600654,139.001575856,100.681,100.664,100.667,100.645,100.695,100.619,100.683,100.671,100.629,100.664,100.669,100.628,100.656,100.669,100.648,100.656,100.719,100.681,100.65,100.661,100.67,100.676,100.698,100.661,100.681,100.696,100.718,100.665,100.661,100.623,100.736,100.677
FLQS30Q2GRWV,-25.9311493495,-25.9321499727,-25.8971281619,-25.8220814244,-26.0011929712,-25.7490359333,-25.8951269156,-25.8941262924,-25.78906086,-25.8971281619,-25.8961275387,-25.7850583673,-25.8981287851,-25.8961275387,-25.8981287851,-25.8941262924,-26.036214782,-25.9651705372,-25.8591044816,-25.8571032352,-25.8941262924,-25.9321499727,-26.0011929712,-25.8671094669,-25.9651705372,-25.9661711604,-26.036214782,-25.92814748,-25.8571032352,-25.8260839171,-26.0372154051,-25.9651705372,139.059848187,139.056847672,139.086852818,138.958830863,139.088853161,138.958830863,139.054847329,138.966832235,139.019841326,139.121858821,139.06884973,139.049846471,138.988836008,139.06884973,139.089853332,139.025842355,139.12785985,139.085852646,138.909822458,138.968832578,138.959831034,138.994837038,139.051846815,138.978834293,139.085852646,139.031843384,139.158865168,139.057847844,138.98983618,139.09485419,138.911822801,139.122858993,100.455,100.456,100.44,100.42,100.482,100.391,100.442,100.448,100.402,100.437,100.441,100.398,100.448,100.441,100.44,100.443,100.492,100.467,100.438,100.433,100.448,100.461,100.484,100.436,100.467,100.472,100.49,100.455,100.431,100.411,100.509,100.465
