,Distance_X_LOGO_Battery_Rigth1,Distance_X_LOGO_Battery_Rigth2,Distance_X_LOGO_3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Battery_Rigth1,Distance_Y_LOGO_Battery_Rigth2,Distance_Y_LOGO_3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Battery_Rigth1,Angle_Battery_Rigth2,Angle_3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-43.4043595045,-43.8315205054,-43.2362961598,-43.4113621438,-43.2292935205,-43.1962810778,-43.0172135856,-43.337334242,-43.2623059632,-43.4883911768,-43.4853900456,-43.3413357502,-43.2893161436,-43.3293312256,-43.4393727013,-43.5664205868,-43.2032837171,-43.4743858981,-43.1872776843,-43.4403730783,-43.6564545214,-43.2302938975,-43.551414931,-43.5544160622,-43.6054352918,-43.4163640291,-43.2262923893,-43.3783497011,-43.3063225534,-43.5144009801,-43.5083987178,-43.2833138813,-125.642719337,-125.893808706,-125.438646703,-125.508671626,-125.713744617,-125.835788055,-125.776767048,-125.828785563,-125.671729662,-125.944826864,-125.509671982,-125.508671626,-125.47465952,-125.46965774,-125.580697262,-125.42164065,-125.42164065,-125.78877132,-125.582697974,-126.023854993,-125.893808706,-125.77876776,-125.543684088,-126.203919082,-126.02185428,-125.676731443,-126.007849296,-125.59370189,-126.068871015,-126.008849652,-125.579696906,-125.689736071,250.837,250.698,250.877,250.815,250.918,250.948,251.013,250.89,250.899,250.845,250.785,250.844,250.86,250.843,250.814,250.739,250.888,250.829,250.917,250.876,250.77,250.927,250.763,250.854,250.808,250.836,250.96,250.841,250.936,250.844,250.785,250.893
FLQS30KBGRWV,-43.1022661522,-43.116283475,-43.0151585038,-43.1353069844,-42.9270496181,-42.8890025993,-42.825924647,-42.977111485,-42.8880013619,-43.2194109207,-43.1453193577,-43.057210472,-42.8509555805,-43.0131560292,-43.1683478165,-43.2784839237,-43.0121547918,-43.1683478165,-43.1062711016,-43.0692253201,-43.3776064201,-43.1072723389,-43.1142810003,-43.1843676139,-43.3195346545,-43.0011411811,-43.1292995603,-43.0692253201,-43.1643428672,-43.288496297,-43.2894975344,-43.0882488295,-125.557523726,-125.801507255,-125.235545462,-125.702513938,-125.571522781,-125.690514748,-125.709513465,-125.352537564,-125.329539117,-125.493528046,-125.430532299,-125.366536619,-125.207547353,-125.324539455,-125.425532637,-125.525525886,-125.333538847,-125.518526359,-125.491528181,-125.513526696,-125.604520553,-125.587521701,-125.363536822,-125.668516233,-125.732511913,-125.471529531,-125.621519406,-125.449531016,-125.713513195,-125.531525481,-125.498527709,-125.496527844,250.879,250.907,250.87,250.886,250.953,250.985,251.013,250.902,250.935,250.822,250.844,250.871,250.933,250.883,250.834,250.803,250.884,250.847,250.868,250.886,250.773,250.882,250.847,250.861,250.815,250.908,250.877,250.878,250.876,250.799,250.795,250.877
FLQS30CWGRWV,-43.4056872844,-43.7687766837,-43.2976606862,-43.5167146214,-43.3646771869,-43.2636523127,-42.9685796604,-43.3836818662,-43.1506244832,-43.5537237337,-43.55472398,-43.3036621639,-43.1736301476,-43.2776557606,-43.5007106809,-43.5607254576,-43.2156404913,-43.3466727539,-43.3806811274,-43.4526988595,-43.6867564888,-43.5237163453,-43.4566998446,-43.4907082181,-43.4787052627,-43.4316936876,-43.0546008404,-43.5057119123,-43.3096636416,-43.5747289055,-43.5717281667,-43.5247165916,-125.671603036,-125.742619765,-125.410541541,-125.430546253,-125.627592669,-125.696608927,-125.574580182,-125.427545546,-125.318519864,-125.719614346,-125.426545311,-125.420543897,-125.380534473,-125.382534944,-125.49056039,-125.442549081,-125.451551201,-125.694608455,-125.557576176,-125.738618822,-125.666601858,-125.847644504,-125.530569815,-125.904657934,-125.621591256,-125.532570286,-125.603587014,-125.510565102,-125.641595968,-125.654599031,-125.560576883,-125.788630603,250.881,250.743,250.888,250.802,250.891,250.942,251.045,250.855,250.935,250.827,250.785,250.887,250.934,250.892,250.816,250.785,250.927,250.908,250.875,250.871,250.765,250.858,250.84,250.879,250.844,250.851,251.014,250.817,250.916,250.81,250.797,250.849
FLQS30C7GRWV,-42.8174391413,-43.195690374,-42.8264451231,-43.096624575,-42.8144371474,-42.7754112266,-42.5472596894,-42.7393872997,-42.7864185376,-43.1416544836,-43.0025620991,-42.7684065741,-42.6933567264,-42.7263786594,-43.0906205872,-43.2787455389,-42.7283799887,-42.9995601052,-42.8254444584,-42.8264451231,-43.1436558129,-43.1416544836,-43.107631886,-43.0806139408,-43.0716079591,-42.7073660313,-42.8604677207,-42.9595335197,-42.9455242148,-42.9775454832,-42.917505605,-42.8524624036,-124.917137564,-125.284155597,-124.842133879,-125.316157169,-125.239153386,-125.063144738,-125.439163213,-124.77113039,-124.684126115,-125.215152206,-125.236153238,-124.732128474,-124.808132208,-124.747129211,-124.972140266,-125.006141937,-124.874135451,-125.240153435,-125.038143509,-125.402161395,-125.277155253,-125.250153926,-125.221152501,-125.339158299,-125.297156235,-124.94513894,-125.09514631,-125.106146851,-125.125147784,-125.013142281,-125.034143313,-125.150149013,251.003,250.9,250.989,250.945,251.05,251.041,251.187,251.015,250.983,250.913,250.972,250.997,251.039,251.017,250.899,250.827,251.034,250.974,251.017,251.068,250.92,250.918,250.927,250.955,250.953,251.052,251.011,250.972,250.98,250.951,250.979,251.022
FLQS29JFGRX5,-42.7301197637,-43.1071649399,-42.7971277924,-43.1281674563,-42.799128032,-42.7771253958,-42.6421092186,-42.5791016693,-42.8951395358,-43.2021763238,-43.1371685348,-42.8321319865,-42.687114611,-42.7731249164,-43.0841621838,-43.2861863896,-42.8911390565,-43.0441573905,-42.9971517585,-43.0131536758,-43.2551826748,-43.0931632622,-43.0691603863,-43.1621715306,-43.236180398,-42.9371445687,-42.740120962,-43.059159188,-42.923142891,-43.1381686546,-42.8911390565,-42.7911270734,-125.03368885,-125.139697064,-124.84567428,-125.035689005,-125.238704736,-125.229704039,-125.056690632,-125.015687455,-124.807671336,-125.278707836,-125.307710084,-124.98568513,-124.808671413,-124.807671336,-124.918679938,-124.931680945,-124.934681178,-125.072691872,-125.096693732,-125.287708534,-125.272707371,-125.535727753,-125.018687687,-125.457721708,-125.406717756,-125.06969164,-125.140697142,-125.176699932,-125.127696134,-125.022687997,-124.919680015,-125.139697064,251.048,250.908,250.994,250.885,251.049,251.056,251.087,251.107,250.948,250.889,250.92,250.999,251.034,250.998,250.887,250.805,250.968,250.925,250.947,250.967,250.867,250.97,250.907,250.931,250.893,250.968,251.059,250.933,250.982,250.879,250.966,251.038
FLQS22XEGRX2,-43.109190166,-43.5572856925,-43.0601797178,-43.1151914454,-42.9421545568,-43.0291731077,-42.9401541303,-43.0801839824,-42.9761618065,-43.2562215106,-43.1862065846,-43.1852063714,-43.1231931512,-43.0941869676,-43.2042104227,-43.2202138344,-43.1001882469,-43.2372174593,-43.1972089301,-43.2682240694,-43.3852490172,-43.1121908057,-43.2162129815,-43.1291944306,-43.7453257796,-43.013169696,-42.9981664976,-43.0851850485,-43.0711820633,-43.2762257752,-43.0301733209,-42.9191496525,-125.935917187,-126.163898934,-125.859923271,-125.869922471,-126.007911423,-126.075905979,-126.079905659,-125.729933679,-125.764930877,-126.039908861,-125.931917507,-125.799928075,-125.88692111,-125.766930716,-125.984913264,-125.764930877,-126.005911583,-126.017910622,-125.993912544,-126.123902136,-126.106903497,-126.201895892,-126.093904538,-126.22589397,-126.044908461,-125.909919268,-126.04890814,-125.941916707,-126.082905419,-126.031909501,-125.984913264,-125.984913264,250.967,250.817,250.976,250.955,251.045,251.019,251.056,250.95,250.997,250.922,250.935,250.917,250.954,250.949,250.935,250.898,250.98,250.926,250.939,250.928,250.879,251.003,250.946,250.999,250.724,251.003,251.028,250.978,251.003,250.912,251.006,251.051
FLQS22TQGRX2,-43.0368650225,-43.2188982892,-43.1138790969,-43.1418842149,-42.8628332181,-42.7698162191,-42.8508310247,-42.969852776,-42.8318275518,-43.298912912,-43.1788909779,-42.9298454646,-42.8668339492,-42.9028405294,-43.24790359,-43.1248811075,-42.9678524104,-43.1658886017,-42.941847658,-43.0778725167,-43.4219353944,-43.1068778174,-43.0788726995,-43.3309187611,-43.3919299109,-42.9338461957,-42.9198436368,-43.1258812903,-43.0638699577,-43.2038955475,-43.2008949991,-43.1578871394,-126.128162192,-126.309146641,-125.936178689,-126.007172588,-126.195156435,-126.132161848,-126.20615549,-125.79919046,-125.646203605,-126.048169066,-126.066167519,-125.751194584,-125.982174736,-125.83118771,-125.997173448,-125.835187366,-125.959176712,-126.084165973,-126.001173104,-126.079166402,-126.120162879,-126.150160302,-126.170158583,-126.477132206,-126.332144664,-126.099164684,-126.241152483,-126.024171128,-126.090165457,-126.046169237,-126.009172416,-126.009172416,251.097,251.048,251.039,251.037,251.177,251.206,251.184,251.078,251.113,250.979,251.031,251.088,251.146,251.11,250.993,251.02,251.101,251.038,251.118,251.073,250.939,251.072,251.086,251.026,250.981,251.135,251.16,251.046,251.081,251.018,251.014,251.031
FLQS21YXGRX2,-42.8519822381,-43.2329642989,-42.8599818614,-43.113969902,-42.923978848,-42.7659862874,-42.7069890654,-42.840982756,-42.8919803547,-43.2189649581,-43.148968254,-42.9739764938,-42.8629817202,-42.8979800722,-43.018974375,-43.2629628864,-42.8369829444,-42.9779763055,-42.8779810139,-42.8909804018,-43.1909662764,-42.4340019195,-42.9739764938,-43.1189696665,-43.113969902,-42.9919756463,-42.8469824735,-42.9489776709,-42.935978283,-43.1259693369,-43.1309691015,-42.8489823794,-125.575843276,-125.818825558,-125.442852974,-125.664836787,-125.651837735,-125.595841818,-125.653837589,-125.567843859,-125.344860119,-125.769829131,-125.944816371,-125.454852099,-125.341860338,-125.3478599,-125.452852244,-125.293863838,-125.403855817,-125.599841526,-125.511847943,-125.589842255,-125.819825486,-125.573843422,-125.489849547,-126.129802883,-125.839824027,-125.487849692,-125.633839047,-125.475850567,-125.602841308,-125.507848234,-125.520847286,-125.567843859,251.055,250.934,251.034,250.961,251.036,251.093,251.125,251.059,251.007,250.933,250.986,250.989,251.018,251.005,250.97,250.848,251.038,251.007,251.036,251.041,250.951,251.226,250.994,251.024,250.985,250.986,251.065,251.002,251.025,250.934,250.934,251.055
FLQS2AVTGRX5,-43.186609341,-43.3445896215,-43.2026073441,-43.3045946138,-43.1976079681,-43.1016199496,-42.8546507769,-43.1276167046,-43.0536259403,-43.3275917432,-43.2995952378,-43.2006075937,-43.2216049727,-43.2376029758,-43.1046195751,-43.3435897463,-43.326591868,-43.3305913688,-43.2106063456,-43.1646120867,-43.4175805106,-43.1366155813,-43.3075942394,-43.305594489,-43.3675867509,-43.1436147077,-43.1876092162,-43.2216049727,-43.1566130852,-43.3045946138,-43.3545883734,-43.3105938649,-125.496225524,-125.464224191,-125.030206119,-125.284216696,-125.309217737,-125.421222401,-125.242214947,-125.090208618,-124.990204454,-125.33521882,-125.099208993,-125.036206369,-125.215213823,-125.336218861,-125.158211449,-125.004205037,-125.425222567,-125.24421503,-125.169211907,-125.360219861,-125.229214406,-125.309217737,-125.389221068,-125.401221568,-125.617230562,-125.139210658,-125.286216779,-125.600229855,-125.309217737,-125.264215863,-125.159211491,-125.229214406,250.811,250.742,250.739,250.733,250.78,250.835,250.911,250.778,250.794,250.731,250.709,250.741,250.757,250.768,250.797,250.678,250.744,250.717,250.755,250.801,250.679,250.805,250.747,250.749,250.754,250.779,250.781,250.812,250.797,250.73,250.695,250.723
FLQS3087GRWV,-43.4509725605,-43.7398003612,-43.458017141,-43.2396351453,-43.1581192851,-43.1228963826,-43.3805267554,-43.1410110182,-43.1259154885,-43.3442974842,-43.472106302,-43.5345011579,-43.1440301241,-43.192335819,-43.4902209376,-43.7750232637,-43.370463069,-43.4590235096,-43.0474187343,-43.2819026283,-43.8595582298,-43.4016604969,-43.4338642935,-43.5355075265,-43.8806919713,-43.2808962597,-43.0333295733,-43.5345011579,-43.3453038529,-43.5516094248,-43.4932400435,-43.3231637427,-125.862410634,-125.859410576,-125.526404198,-125.345400732,-125.664406841,-125.716407837,-125.750408489,-125.334400521,-125.231398548,-125.639406363,-125.410401977,-125.794409331,-125.364401095,-125.30039987,-125.592405462,-125.579405213,-125.56040485,-125.67840711,-125.355400923,-125.754408565,-125.71340778,-125.684407225,-125.645406478,-126.031413871,-125.859410576,-125.513403949,-125.628406152,-125.498403662,-125.681407167,-125.58340529,-125.404401862,-125.637406324,251.038,250.921,250.988,251.052,251.129,251.151,251.052,251.091,251.082,251.051,250.967,250.995,251.093,251.065,250.985,250.868,251.029,251.009,251.131,251.092,250.852,251.034,251.015,251.028,250.865,251.058,251.175,250.954,251.056,250.959,250.957,251.059
