,Distance_X_LOGO_Battery_Rigth1,Distance_X_LOGO_Battery_Rigth2,Distance_X_LOGO_3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Battery_Rigth1,Distance_Y_LOGO_Battery_Rigth2,Distance_Y_LOGO_3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Battery_Rigth1,Angle_Battery_Rigth2,Angle_3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS2044GRWY,-43.448241282,-43.8351721863,-43.5392250347,-43.5562219995,-43.2752721698,-43.2902694916,-43.0013210903,-43.0593107348,-43.3162648495,-43.5992143222,-43.5942152149,-43.3822530658,-43.151294309,-43.2532760977,-43.5572218209,-43.5372253918,-43.4352436031,-43.4462416391,-43.2972682418,-43.4872343189,-43.6712014672,-43.328262707,-43.3822530658,-43.4622387824,-43.5852168218,-43.2902694916,-43.3912514589,-43.4252453885,-43.3512586006,-43.5572218209,-43.5472236064,-43.4402427103,-125.86477191,-125.987782438,-125.738761126,-125.748761982,-125.879773194,-125.891774221,-125.826768658,-125.59274863,-125.565746319,-125.738761126,-125.858771397,-125.746761811,-125.512741782,-125.577747346,-125.731760527,-125.577747346,-125.702758045,-126.004783893,-125.747761896,-126.049787744,-125.970780983,-125.882773451,-125.781764806,-126.216802038,-125.817767887,-125.7197595,-126.104792452,-125.760763009,-125.894774478,-125.835769428,-125.811767374,-125.925777131,250.767,250.627,250.712,250.707,250.839,250.835,250.944,250.887,250.778,250.688,250.706,250.777,250.838,250.806,250.704,250.69,250.749,250.787,250.812,250.777,250.691,250.818,250.782,250.811,250.705,250.811,250.824,250.761,250.81,250.719,250.719,250.779
FLQS312SGRWV,-43.292007247,-43.4930537203,-43.3810278247,-43.4730490961,-42.9359249361,-43.196985282,-42.8429034336,-43.2700021604,-43.1489741839,-43.5350634311,-43.3600229693,-43.2429959177,-42.9889371903,-43.15397534,-43.3890296744,-43.6620927948,-43.1569760336,-43.4130352235,-43.3070107152,-43.4390412349,-43.6230837776,-43.4380410037,-43.4860521018,-43.5220604254,-43.5940770725,-43.3670245878,-43.1669783457,-43.3800275935,-43.4090342986,-43.3410185763,-43.3390181139,-43.3480201948,-125.051971089,-125.206968574,-125.159969337,-124.986972144,-125.114970067,-125.18196898,-125.365965995,-124.901973523,-124.869974042,-125.34896627,-125.04697117,-124.975972322,-124.808975032,-124.877973912,-124.98597216,-124.943972841,-124.942972857,-125.183968947,-125.05497104,-125.419965119,-125.278967406,-125.391965573,-125.272967503,-125.291967195,-125.238968055,-125.140969645,-125.209968526,-125.117970018,-125.260967698,-125.090970456,-125.053971057,-125.166969223,250.838,250.777,250.816,250.754,250.992,250.895,251.066,250.825,250.87,250.781,250.809,250.847,250.928,250.869,250.789,250.671,250.878,250.807,250.832,250.83,250.734,250.826,250.79,250.778,250.741,250.819,250.911,250.811,250.82,250.823,250.819,250.831
FLQS31J6GRWY,-43.1497585538,-43.2648459261,-43.1277418391,-43.252836809,-42.9295914067,-43.0076506679,-42.8265131514,-43.0046483886,-43.015656746,-43.2848611213,-43.2578406078,-42.9886362325,-42.9766271154,-43.1977950222,-43.1307441183,-43.302874797,-43.1367486769,-43.2588413676,-43.177779827,-43.2468322504,-43.3629203826,-43.1887881844,-43.1837843856,-43.33189683,-43.3268930312,-43.1157327219,-43.0907137279,-43.2388261724,-43.3549143045,-43.256839848,-43.2588413676,-43.2098041393,-125.564544224,-125.732552981,-125.065518216,-125.42553698,-125.447538126,-125.517541775,-125.4585387,-125.41653651,-125.330532028,-125.59554584,-125.243527494,-125.241527389,-125.151522698,-125.396535468,-125.26052838,-125.214525982,-125.39253526,-125.453538439,-125.626547456,-125.566544329,-125.492540472,-125.460538804,-125.353533227,-125.648548603,-125.549543443,-125.351533123,-125.490540367,-125.393535312,-125.584545267,-125.362533696,-125.379534582,-125.54854339,250.807,250.783,250.745,250.745,250.88,250.858,250.924,250.845,250.829,250.756,250.718,250.827,250.819,250.764,250.772,250.695,250.788,250.746,250.804,250.767,250.71,250.776,250.763,250.744,250.732,250.791,250.82,250.746,250.726,250.734,250.736,250.78
FLQS31FWGRWY,-43.1219690599,-43.2679486435,-43.1609636062,-43.2889457069,-43.0069851412,-42.9779891965,-42.9859880778,-43.0409803867,-43.0429801071,-43.3089429101,-43.2979444483,-43.0839743737,-43.011984442,-42.9849882177,-43.2769473849,-43.4419243116,-43.1649630468,-43.12296892,-43.1489652842,-43.2729479443,-43.3439380158,-43.0659768908,-43.1609636062,-43.2949448678,-43.43192571,-43.2009580126,-42.9469935315,-43.1489652842,-43.1489652842,-43.2869459866,-43.2269543768,-43.2269543768,-125.310635995,-125.344638881,-125.112619188,-125.073615878,-125.331637778,-125.330637693,-125.470649577,-125.236629714,-125.148622244,-125.422645502,-125.126620377,-125.112619188,-125.145621989,-125.022611549,-125.074615963,-125.149622329,-125.151622499,-125.340638542,-125.409644399,-125.387642531,-125.426645842,-125.330637693,-125.294634637,-125.882684549,-125.486650935,-125.228629035,-125.361640324,-125.409644399,-125.689668167,-125.129620631,-125.148622244,-125.318636674,250.947,250.893,250.903,250.845,250.997,251.009,251.025,250.97,250.957,250.887,250.849,250.935,250.969,250.963,250.851,250.794,250.907,250.951,250.95,250.896,250.873,250.973,250.929,250.957,250.846,250.903,251.026,250.95,250.99,250.854,250.882,250.906
FLQS31CRGRWY,-42.7409203746,-42.7829202964,-42.6409205609,-42.8129202405,-42.5309207658,-42.5459207379,-42.3029211906,-42.604920628,-42.3199211589,-42.8429201846,-42.765920328,-42.6499205441,-42.5269207733,-42.5639207043,-42.7929202777,-42.9539199778,-42.5039208161,-42.8089202479,-42.5459207379,-42.6739204994,-42.8629201473,-42.7769203075,-42.7749203113,-42.7769203075,-42.9179200449,-42.6949204603,-42.3389211235,-42.7379203802,-42.5389207509,-42.8539201641,-42.750920356,-42.7409203746,-125.092963052,-125.435930051,-124.898981718,-125.074964784,-125.277945253,-125.186954008,-125.217951025,-124.889982584,-124.898981718,-125.248948043,-125.076964592,-125.013970653,-125.032968825,-124.971974694,-125.136958819,-125.090963245,-125.031968921,-125.290944002,-125.142958242,-125.27994506,-125.210951699,-125.285944483,-125.178954778,-125.383935054,-125.523921584,-125.072964977,-125.203952372,-125.488924951,-125.282944772,-125.244948428,-125.203952372,-125.322940923,250.954,250.984,250.967,250.921,251.066,251.047,251.151,250.981,251.1,250.934,250.941,250.98,251.033,251.009,250.938,250.866,251.042,250.953,251.041,251.007,250.92,250.966,250.952,250.98,250.941,250.97,251.134,251.01,251.063,250.929,250.965,250.986
FLQS319LGRWY,-43.0462989855,-43.2393765775,-43.1803528577,-43.2183681348,-42.9342539581,-42.9622652149,-42.8392157651,-42.9092439073,-43.1163271277,-43.1303327561,-43.2994006993,-42.9432575763,-42.8732294342,-43.095318685,-43.0863150668,-43.3954392943,-42.9742700393,-43.1793524556,-43.1963592901,-43.0112849144,-43.2693886384,-43.0813130566,-43.1543424049,-43.190356878,-43.4564638182,-42.8932374748,-42.9952784819,-43.1373355703,-43.0813130566,-43.0993202932,-43.2133661247,-43.1613452191,-125.730092884,-125.978118712,-125.597079032,-125.556074762,-125.867107152,-125.812101424,-125.7580958,-125.783098403,-125.643083823,-125.776097674,-125.605079866,-125.590078303,-125.551074242,-125.505069451,-125.660085594,-125.699089655,-125.564075596,-125.870107464,-125.733093196,-126.028123919,-125.785098612,-125.888109339,-125.710090801,-126.216143499,-126.114132876,-125.638083302,-125.842104548,-125.689088614,-126.1681385,-125.701089864,-125.789099028,-125.853105694,250.911,250.868,250.838,250.817,250.976,250.957,251.0,250.975,250.871,250.884,250.791,250.934,250.957,250.86,250.885,250.765,250.918,250.877,250.85,250.967,250.828,250.919,250.865,250.92,250.798,250.961,250.948,250.869,250.958,250.886,250.852,250.882
FLQS319HGRWY,-43.2598054916,-43.6094424179,-43.2127197164,-43.4261084422,-43.2097142414,-43.2327562164,-43.115542691,-43.1936850413,-42.9392214903,-43.4341230422,-43.3409533169,-43.2788401666,-43.0133565406,-43.2437762915,-43.4872197674,-43.6715555681,-43.2588036666,-43.2688219166,-43.1676375912,-43.3599879919,-43.5994241679,-43.3960536921,-43.4932307175,-43.4701887424,-43.7496979184,-43.1576193412,-43.0183656656,-43.3519733919,-43.2718273916,-43.2467817665,-43.3008803167,-43.1896777413,-125.302537342,-125.574525485,-125.049548371,-125.457530585,-125.317536688,-125.324536383,-125.33653586,-125.036548938,-124.879555782,-125.224540742,-125.05554811,-125.052548241,-125.084546846,-125.013549941,-125.115545494,-125.28653804,-125.504528536,-125.214541178,-125.129544884,-125.319536601,-125.550526531,-125.462530367,-125.628523131,-125.615523697,-125.714519381,-125.15554375,-125.354535075,-125.200541789,-125.33653586,-125.162543445,-125.185542443,-125.239540089,250.988,250.883,250.971,250.941,251.01,251.001,251.051,250.977,251.059,250.905,250.919,250.944,251.057,250.953,250.868,250.817,251.016,250.971,251.001,250.949,250.884,250.954,250.938,250.946,250.846,251.008,251.093,250.935,250.987,250.973,250.954,251.007
FLQS317CGRWY,-43.2359616136,-43.3741148669,-43.2689982611,-43.3711115353,-43.3370737772,-43.1498661079,-42.9736706545,-43.1568738816,-43.1628805448,-43.4772292516,-43.4011448512,-43.1748938712,-43.1809005344,-43.3020349086,-43.2760060348,-43.5463058782,-43.2870182507,-43.4161615092,-43.2579860453,-43.3390759983,-43.5162725623,-43.3681082037,-43.3741148669,-43.4051492933,-43.5122681201,-43.2549827137,-42.991690644,-43.4071515144,-43.3791204195,-43.4071515144,-43.5182747833,-43.2950271349,-125.40953146,-125.380537117,-124.98161495,-125.167578667,-125.792456748,-125.495514684,-125.434526583,-125.148582373,-125.184575351,-125.661482302,-125.61649108,-125.290554673,-125.130585885,-125.197572815,-125.165579057,-125.124587055,-125.303552137,-125.374538287,-125.245563452,-125.54950415,-125.40153302,-125.564501224,-125.324548041,-125.843446799,-125.468519951,-125.325547846,-125.339545115,-125.862443093,-125.83544836,-125.337545505,-125.299552918,-125.461521316,250.92,250.859,250.846,250.83,250.932,250.967,251.03,250.915,250.918,250.857,250.882,250.928,250.903,250.863,250.869,250.753,250.884,250.841,250.888,250.897,250.804,250.888,250.852,250.912,250.815,250.9,251.01,250.914,250.922,250.84,250.789,250.903
FLQS3160GRWY,-42.8289702715,-43.1279630828,-42.8439699108,-42.8709692617,-42.7259727478,-42.6819738057,-42.5119778928,-42.6359749116,-42.6349749357,-43.0379652466,-42.9649670017,-42.7849713293,-42.5339773639,-42.7599719304,-42.9919663526,-43.1689620971,-42.6999733729,-42.8979686125,-42.7369724833,-42.9439675066,-43.1539624577,-42.8999685645,-42.933967747,-42.9679669296,-43.1439626982,-42.791971161,-42.5919759695,-42.980966617,-42.8509697425,-42.9369676749,-42.9369676749,-42.7749715697,-126.196270219,-126.187270343,-126.062272056,-125.879274565,-126.208270055,-126.270269205,-126.213269986,-125.744276415,-125.710276881,-126.244269562,-125.934273811,-125.813275469,-125.711276867,-125.969273331,-125.882274523,-125.913274099,-125.903274236,-126.087271714,-125.888274441,-126.305268725,-126.060272084,-126.090271672,-125.982273153,-126.488266217,-126.263269301,-125.982273153,-126.176270494,-126.025272563,-126.152270823,-126.04227233,-125.890274414,-125.997272947,251.179,251.056,251.155,251.118,251.223,251.249,251.311,251.195,251.191,251.101,251.087,251.144,251.232,251.176,251.069,251.001,251.191,251.136,251.174,251.147,251.028,251.136,251.107,251.163,251.06,251.165,251.273,251.094,251.164,251.114,251.093,251.173
FLQS3126GRWV,-43.1615198301,-43.2025098772,-43.1315271127,-43.242500167,-42.78761062,-43.0145555149,-42.9015829461,-43.0625438627,-43.0315513881,-43.1875135185,-43.2255042938,-43.0585448337,-42.7586176599,-43.0905370656,-43.3164822032,-43.4124588988,-42.9735654678,-43.2804909424,-43.2375013808,-43.1465234714,-43.3314785619,-43.2305030801,-43.1475232286,-43.3014858445,-43.3774673952,-43.2075086634,-42.9975596417,-43.1965113337,-43.189513033,-43.3244802612,-43.2125074496,-43.1615198301,-125.661771412,-125.759779033,-125.263740461,-125.213736573,-125.685773278,-125.543762235,-125.551762858,-125.315744505,-125.359747927,-125.703774678,-125.462755936,-125.391750415,-125.227737661,-125.492758269,-125.340746449,-125.424752981,-125.298743183,-125.430753448,-125.467756325,-125.594766201,-125.641769856,-125.882788598,-125.442754381,-125.945793497,-125.64477009,-125.790781444,-125.930792331,-125.363748238,-125.60876729,-125.502759047,-125.528761069,-125.515760058,250.948,250.945,250.904,250.852,251.104,250.992,251.039,250.94,250.958,250.943,250.894,250.952,251.052,250.953,250.839,250.812,250.974,250.867,250.89,250.945,250.876,250.95,250.923,250.931,250.857,250.947,251.052,250.892,250.929,250.859,250.908,250.927
FLQS3115GRWV,-43.2998577025,-43.340864197,-43.2288464559,-43.1728375854,-43.0778225372,-42.9297990937,-42.7407691557,-43.1108277645,-43.0618200028,-43.4388797204,-43.268852792,-43.2118437631,-43.0768223788,-43.1178288733,-43.2958570689,-43.5048901749,-43.1238298237,-43.3178605537,-43.1558348926,-43.2358475648,-43.5779017383,-43.3288622962,-43.3618675234,-43.365868157,-43.43287877,-43.0948252301,-43.0658206364,-43.2208451887,-43.0428169932,-43.2928565937,-43.2928565937,-43.2428486736,-125.258670689,-125.166630517,-125.056582485,-124.891510437,-125.090597331,-125.143620474,-125.025568949,-124.866499521,-124.955538383,-125.128613924,-124.837486858,-124.827482492,-125.119609994,-124.787465025,-124.95353751,-125.094599078,-124.912519607,-125.217652786,-125.017565456,-125.205647546,-125.18663925,-125.276678549,-125.374721341,-125.623830067,-125.322698635,-124.987552356,-125.303690338,-125.029570695,-125.092598205,-124.999557596,-125.013563709,-125.124612177,250.675,250.645,250.676,250.675,250.742,250.81,250.871,250.697,250.73,250.6,250.628,250.65,250.747,250.683,250.634,250.568,250.698,250.662,250.7,250.694,250.551,250.666,250.666,250.7,250.63,250.721,250.777,250.675,250.757,250.641,250.643,250.68
FLQS310RGRWV,-42.9135602584,-43.0246393618,-42.7994790171,-42.8945467182,-42.6793935,-42.7064127414,-42.402196098,-42.7124170172,-42.7714590631,-42.9916158446,-42.9245680975,-42.8695289021,-42.4952623738,-42.8345039596,-42.9545894768,-43.0676700054,-42.7804654769,-42.8565196378,-42.7614519367,-42.8875417297,-43.1877555225,-42.9575916147,-42.9225666722,-42.9936172698,-43.155732718,-42.8655260516,-42.7274277069,-42.9405794998,-42.8144897068,-43.0166336606,-42.8385068102,-42.6723885115,-125.327328154,-125.429354471,-125.199295128,-125.148281969,-125.346333056,-125.46536376,-125.468364534,-125.317325574,-124.97623759,-125.575392142,-125.206296934,-125.19829487,-125.153283259,-125.100269584,-125.202295902,-125.11227268,-125.288318091,-125.34933383,-125.271313705,-125.701424652,-125.574391884,-125.631406591,-125.456361438,-125.565389562,-125.719429296,-125.368338732,-125.385343119,-125.285317317,-125.358336152,-125.315325058,-125.271313705,-125.211298224,250.958,250.927,250.987,250.941,251.057,251.062,251.187,251.039,250.967,250.961,250.937,250.958,251.105,250.958,250.924,250.865,251.007,250.984,251.012,251.021,250.88,250.983,250.973,250.959,250.914,250.984,251.042,250.941,251.003,250.914,250.981,251.041
FLQS3106GRWV,-43.2881077419,-43.7767570505,-43.5610289163,-43.4496529959,-43.1697081148,-43.1496403814,-43.144623448,-43.3392804621,-43.3372736888,-43.559022143,-43.482764756,-43.2459655017,-43.1737216615,-43.3372736888,-43.3302499821,-43.6874556368,-43.220880835,-43.4837681427,-43.3162025687,-43.3904531823,-43.6884590235,-43.3593481955,-43.4506563825,-43.4305886491,-43.6081880898,-43.1998097149,-43.3101822487,-43.5610289163,-43.2399451817,-43.5188866761,-43.6613675834,-43.4115243024,-125.304059159,-125.693273668,-125.384103274,-125.454141874,-125.610227898,-125.429128088,-125.45114022,-125.368094451,-125.289050887,-125.363091694,-125.517176615,-125.055922402,-124.961870567,-125.023904757,-125.125961003,-125.49316338,-125.082937291,-125.331074048,-125.24902883,-125.377099414,-125.492162829,-125.45814408,-125.562201429,-125.551195364,-125.700277528,-125.155977546,-125.365092796,-125.59021687,-125.260034896,-125.28404813,-125.119957694,-125.425125883,250.95,250.807,250.85,250.906,251.042,251.024,251.03,250.939,250.928,250.849,250.901,250.933,250.949,250.891,250.908,250.815,250.947,250.875,250.932,250.919,250.814,250.943,250.921,250.927,250.876,250.965,250.95,250.88,250.964,250.854,250.772,250.917
FLQS30ZQGRWV,-42.9243781406,-43.0994204619,-42.9223776569,-43.0634117558,-42.9923945854,-42.5922978511,-42.7153275969,-42.7853445254,-42.7913459764,-43.171437874,-43.0994204619,-42.8233537152,-42.812351055,-42.7253300153,-42.7653396887,-43.1914427107,-42.7893454928,-43.1464318281,-42.8963713692,-42.9623873304,-43.3104714892,-43.0244023242,-43.0143999058,-43.1024211874,-43.2274514168,-42.7623389632,-42.6753179235,-42.8323558917,-43.0604110303,-43.086417318,-43.0844168343,-43.1254267496,-125.500607498,-125.733582637,-125.303628518,-125.434614541,-125.639592667,-125.626594054,-125.582598749,-125.353623183,-125.332625424,-125.815573887,-125.427615288,-125.306628198,-125.27063204,-125.263632787,-125.438614114,-125.462611553,-125.391619129,-125.901564711,-125.504607072,-125.630593627,-125.74058189,-125.979556388,-125.873567699,-125.726583384,-125.94356023,-125.469610806,-125.548602377,-125.393618915,-125.65559096,-125.54360291,-125.45261262,-126.04354956,251.001,250.962,250.974,250.935,250.992,251.154,251.098,251.037,251.032,250.944,250.919,251.015,251.015,251.049,251.057,250.886,251.041,250.966,251.013,251.003,250.877,251.027,251.016,250.96,250.939,251.063,251.109,251.023,250.967,250.941,250.929,250.994
FLQS30YUGRWV,-43.1796174746,-43.5086374193,-43.2696229306,-43.3466275985,-42.8485974088,-43.0406090482,-42.6845874668,-42.9866057746,-43.1746171715,-43.3916303265,-43.3556281441,-43.0816115337,-43.1316145648,-43.112613413,-43.3386271135,-43.6796477856,-43.1806175352,-43.3066251736,-43.2066191114,-43.2306205663,-43.3996308115,-43.2526219,-43.46163457,-43.2856239006,-43.6116436633,-43.2716230518,-43.1186137767,-43.1666166865,-43.0266081995,-43.2966245674,-43.2856239006,-43.1826176565,-125.09401505,-125.124000911,-124.84113429,-125.181973576,-124.861124864,-125.10201128,-125.104010337,-124.832138531,-124.866122507,-125.082020706,-124.915099413,-124.779163511,-124.739182363,-124.736183777,-124.961077733,-125.07102589,-125.229950953,-125.051035316,-124.914099885,-125.146990071,-125.151987715,-125.252940113,-125.009055111,-125.334901466,-125.356891098,-125.072025419,-125.080021648,-124.976070664,-125.101011751,-124.946084803,-124.915099413,-125.077023062,250.862,250.732,250.789,250.806,250.965,250.92,251.066,250.904,250.832,250.774,250.765,250.857,250.832,250.839,250.778,250.654,250.881,250.804,250.825,250.849,250.78,250.854,250.735,250.853,250.723,250.821,250.885,250.851,250.925,250.793,250.793,250.858
FLQS30X6GRWY,-43.3898254274,-43.4898642197,-43.380821936,-43.5178750816,-43.0987125415,-43.2407676267,-43.223761032,-43.1377276705,-43.1397284464,-43.4098331858,-43.4618533579,-43.2817835316,-43.1557346531,-43.2537726697,-43.4938657714,-43.5468863314,-43.249771118,-43.2747808161,-43.2297633595,-43.3668165051,-43.5508878831,-43.4878634439,-43.3127955572,-43.2937881866,-43.6269173653,-43.3448079708,-43.0887086622,-43.1227218516,-43.2357656871,-43.4328421081,-43.2537726697,-43.3768203843,-125.59207604,-125.695087585,-125.514067297,-125.390053398,-125.347048578,-125.42005676,-125.481063598,-125.127023918,-125.156027169,-125.507066512,-125.456060796,-125.524068418,-125.162027841,-125.105021452,-125.275040507,-125.292042413,-125.619079066,-125.35304925,-125.336047345,-125.413055976,-125.442059226,-125.417056424,-125.314044879,-125.901110676,-125.575074134,-125.254038153,-125.564072901,-125.285041628,-125.476063037,-125.426057433,-125.320045551,-125.452060347,250.87,250.844,250.863,250.789,250.955,250.907,250.922,250.908,250.911,250.85,250.822,250.905,250.905,250.857,250.783,250.764,250.931,250.884,250.9,250.855,250.784,250.805,250.862,250.953,250.771,250.841,250.989,250.936,250.917,250.829,250.887,250.856
FLQS30X6GRWV,-42.827070334,-43.0892482963,-42.7420125982,-42.7009847491,-42.6149263341,-42.5228638435,-42.3467442964,-42.6609575793,-42.5869073152,-42.9991871642,-42.9361443717,-42.7420125982,-42.4338033907,-42.6519514661,-42.9511545604,-42.9401470887,-42.6469480699,-42.8530879944,-42.6319378812,-42.7029861076,-43.0021892019,-42.6709643718,-42.9651640699,-42.7570227869,-43.0522231642,-42.8040547114,-42.6139256548,-42.8210662586,-42.6239324473,-42.8340750887,-42.9501538812,-42.7219990133,-125.691167496,-125.572088703,-125.405978792,-125.359948334,-125.552075461,-125.725190008,-125.801240329,-125.335932443,-125.365952307,-125.710180076,-125.356946348,-125.406979454,-125.297907283,-125.309915228,-125.601107905,-125.37695959,-125.374958266,-125.743201926,-125.483029775,-125.721187359,-125.656144321,-125.619119823,-125.527058908,-125.971352889,-125.73119398,-125.578092676,-125.644136376,-125.555077447,-125.626124458,-125.466018519,-125.537065529,-125.645137038,251.12,250.997,251.116,251.126,251.188,251.249,251.332,251.139,251.173,251.053,251.029,251.116,251.227,251.139,251.057,251.03,251.15,251.117,251.171,251.175,251.044,251.174,251.041,251.188,251.034,251.114,251.201,251.104,251.194,251.086,251.049,251.157
FLQS30WFGRWV,-43.4789095918,-43.5918729832,-43.4789095918,-43.4729115356,-43.3359559194,-43.2399870205,-43.1270236291,-43.3389549475,-43.2469847527,-43.5788771948,-43.4479196348,-43.4439209307,-43.1470171497,-43.3629471722,-43.583875575,-43.649854193,-43.4299254663,-43.3809413408,-43.3449530037,-43.4769102397,-43.5948720113,-43.3389549475,-43.4149303258,-43.5748784907,-43.7938075414,-43.4649141273,-43.1380200654,-43.5378904776,-43.5228953371,-43.6668486855,-43.5478872379,-43.4929050562,-125.940574125,-125.95557324,-125.870578252,-125.802582261,-125.993571,-126.053567462,-126.122563394,-125.800582379,-125.681589395,-125.967572533,-125.792582851,-125.800582379,-125.689588924,-125.752585209,-125.870578252,-125.811581731,-125.873578075,-125.943573948,-125.925575009,-126.000570587,-126.035568524,-126.010569998,-125.893576896,-126.322551602,-126.115563807,-125.896576719,-125.918575422,-125.936574361,-126.180559974,-125.962572828,-125.867578429,-126.08956534,250.776,250.732,250.766,250.759,250.841,250.889,250.944,250.813,250.834,250.739,250.767,250.77,250.876,250.796,250.723,250.688,250.786,250.816,250.828,250.785,250.742,250.842,250.795,250.79,250.673,250.775,250.911,250.751,250.791,250.702,250.737,250.791
FLQS30VBGRWV,-42.7620938191,-43.0669875381,-42.8890495644,-42.7520973038,-42.7171095,-42.624141907,-42.6181439977,-42.6921182115,-42.6921182115,-43.0789833565,-42.8930481706,-42.8430655937,-42.7081126361,-42.7510976522,-42.9210384136,-43.1499586157,-42.7530969553,-42.9450300505,-42.8500631544,-42.8060784868,-43.105973948,-42.8880499129,-42.9820171574,-42.9630237782,-43.131964888,-42.7830865014,-42.6461342408,-42.797081623,-42.8500631544,-43.0419962496,-42.8750544429,-42.879053049,-125.855767403,-126.106784889,-125.661753887,-125.606750056,-125.808764128,-125.98477639,-125.821765034,-125.528744622,-125.501742741,-125.842766497,-125.995777156,-125.602749777,-125.62275117,-125.567747339,-125.735759043,-125.632751867,-125.688755768,-126.005777853,-125.80276371,-125.865768099,-125.908771095,-126.076782799,-125.966775136,-126.220792831,-125.921772001,-125.710757301,-125.848766915,-125.74475967,-126.196791159,-125.903770747,-125.733758903,-126.167789139,251.062,250.973,250.984,251.032,251.074,251.137,251.116,251.046,251.042,250.931,251.028,250.994,251.052,251.027,250.981,250.873,251.043,251.009,251.019,251.046,250.93,251.042,250.988,251.031,250.921,251.034,251.109,251.033,251.074,250.955,251.0,251.058
FLQS30UFGRWV,-43.1208982102,-43.1668746448,-43.0579304846,-43.1488838661,-42.7750754631,-42.6251523068,-42.6631328397,-42.7041118358,-42.8220513854,-43.0999089684,-43.035941755,-42.9110057914,-42.734096467,-42.8820206479,-43.1718720834,-43.2358392967,-42.939990935,-43.1368900136,-42.9719745417,-43.0479356075,-43.2928100961,-42.9679765908,-43.1478843784,-43.1928613253,-43.3018054855,-42.806059582,-42.7660800737,-43.035941755,-43.0239479025,-43.1059058946,-42.9999601975,-43.0579304846,-124.995006916,-125.027019723,-124.918976498,-124.864954886,-124.888964491,-124.943986504,-124.896967693,-124.605851226,-124.748908459,-124.988004114,-124.749908859,-124.794926869,-124.75291006,-124.705891249,-124.866955686,-124.767916063,-124.777920065,-125.082041736,-124.876959688,-125.01501492,-125.049028528,-124.963994509,-124.907972096,-125.169076556,-125.112053743,-124.893966492,-124.929980901,-124.892966092,-125.080040935,-124.915975297,-124.765915263,-124.996007316,250.753,250.739,250.768,250.723,250.88,250.95,250.927,250.87,250.841,250.761,250.754,250.811,250.878,250.81,250.714,250.674,250.797,250.759,250.798,250.786,250.69,250.812,250.73,250.748,250.696,250.868,250.89,250.774,250.805,250.748,250.77,250.779
