SN	Distance_X_LOGO_MainBoard_RU1	Distance_X_LOGO_MainBoard_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RU1	Distance_Y_LOGO_MainBoard_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RU1	Angle_MainBoard_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30JCGRWV____	-65.537	-65.435	-65.546	-65.290	-65.169	-65.326	-65.264	-65.326	-65.325	-65.306	-65.486	-65.312	-65.290	-65.404	-65.712	-65.268	-65.586	-65.382	-65.296	-65.419	-65.276	-65.261	-65.299	-65.129	-65.559	-65.297	-65.357	-65.572	-65.500	-65.303	-65.580	-65.282	131.585	131.364	131.552	131.412	131.411	131.266	131.369	131.268	131.308	131.173	131.385	131.382	131.412	131.305	131.434	131.295	131.348	131.383	131.266	131.341	131.172	131.441	131.341	131.235	131.406	131.308	131.064	131.466	131.294	131.394	131.348	131.476	116.549	116.552	116.557	116.492	116.450	116.530	116.491	116.530	116.523	116.539	116.566	116.505	116.492	116.551	116.636	116.505	116.607	116.529	116.520	116.550	116.529	116.477	116.508	116.467	116.588	116.513	116.576	116.582	116.586	116.500	116.605	116.478	2016_7_19_17_03_56
FLQS30J0GRWV____	-65.391	-65.245	-65.356	-65.103	-64.978	-65.144	-65.074	-65.178	-65.177	-65.144	-65.295	-65.117	-65.103	-65.216	-65.480	-65.073	-65.400	-65.186	-65.112	-65.216	-65.082	-65.068	-65.108	-64.940	-65.411	-65.108	-65.212	-65.345	-65.308	-65.199	-65.391	-65.098	131.638	131.423	131.563	131.470	131.425	131.284	131.428	131.287	131.328	131.193	131.443	131.401	131.470	131.322	131.492	131.356	131.404	131.405	131.327	131.403	131.225	131.502	131.357	131.253	131.422	131.321	131.088	131.530	131.356	131.455	131.406	131.492	116.538	116.524	116.539	116.466	116.430	116.513	116.463	116.524	116.517	116.529	116.538	116.483	116.466	116.531	116.594	116.476	116.582	116.507	116.494	116.518	116.501	116.448	116.488	116.447	116.582	116.494	116.571	116.540	116.558	116.502	116.578	116.461	2016_7_19_17_03_57
FLQS30HZGRWY____	-65.940	-65.796	-65.908	-65.655	-65.529	-65.694	-65.623	-65.730	-65.731	-65.666	-65.846	-65.669	-65.655	-65.767	-66.029	-65.623	-65.942	-65.772	-65.657	-65.737	-65.637	-65.616	-65.660	-65.489	-65.929	-65.657	-65.767	-65.894	-65.821	-65.713	-65.945	-65.677	131.309	131.084	131.273	131.133	131.129	130.988	131.093	130.950	130.984	130.883	131.109	131.063	131.133	130.986	131.164	131.065	131.075	131.066	130.987	131.063	130.883	131.125	131.064	130.917	131.131	130.987	130.778	131.198	131.058	131.124	131.075	131.165	116.675	116.665	116.670	116.607	116.563	116.646	116.602	116.665	116.659	116.654	116.678	116.624	116.607	116.671	116.732	116.607	116.717	116.659	116.633	116.647	116.644	116.594	116.620	116.587	116.703	116.633	116.708	116.679	116.678	116.629	116.718	116.609	2016_7_19_17_03_57
FLQS30H6GRWV____	-65.847	-65.708	-65.814	-65.566	-65.444	-65.604	-65.533	-65.641	-65.641	-65.581	-65.762	-65.585	-65.566	-65.673	-65.913	-65.532	-65.854	-65.689	-65.568	-65.652	-65.551	-65.531	-65.568	-65.400	-65.877	-65.567	-65.677	-65.849	-65.775	-65.596	-65.857	-65.562	131.337	131.155	131.302	131.166	131.155	131.017	131.166	131.019	131.059	130.924	131.139	131.134	131.166	131.059	131.230	131.096	131.105	131.133	131.022	131.133	130.921	131.196	131.095	130.984	131.159	131.060	130.816	131.266	131.087	131.192	131.099	131.230	116.451	116.434	116.445	116.382	116.342	116.422	116.371	116.434	116.427	116.430	116.455	116.395	116.382	116.438	116.492	116.383	116.493	116.431	116.408	116.418	116.420	116.365	116.396	116.356	116.492	116.401	116.482	116.464	116.469	116.388	116.496	116.370	2016_7_19_17_03_57
FLQS30GQGRWV____	-66.015	-65.873	-65.981	-65.733	-65.605	-65.770	-65.697	-65.806	-65.808	-65.740	-65.922	-65.745	-65.733	-65.841	-66.109	-65.696	-66.020	-65.813	-65.735	-65.811	-65.708	-65.697	-65.734	-65.565	-66.039	-65.733	-65.838	-66.006	-65.933	-65.793	-66.021	-65.758	131.376	131.162	131.341	131.208	131.202	131.061	131.206	131.060	131.096	130.960	131.178	131.170	131.208	131.058	131.227	131.136	131.141	131.176	131.063	131.171	130.959	131.238	131.094	130.991	131.198	131.060	130.855	131.266	131.089	131.194	131.184	131.229	116.622	116.610	116.616	116.553	116.509	116.591	116.540	116.604	116.598	116.599	116.624	116.563	116.553	116.617	116.680	116.552	116.665	116.586	116.579	116.586	116.587	116.535	116.573	116.532	116.661	116.579	116.651	116.638	116.643	116.576	116.657	116.558	2016_7_19_17_03_57
FLQS30GCGRWY____	-66.078	-65.932	-66.039	-65.789	-65.662	-65.826	-65.725	-65.830	-65.828	-65.795	-65.984	-65.797	-65.789	-65.900	-66.139	-65.725	-66.084	-65.870	-65.794	-65.870	-65.765	-65.757	-65.763	-65.619	-66.067	-65.793	-65.895	-66.037	-65.998	-65.817	-66.081	-65.787	131.329	131.153	131.292	131.159	131.155	131.052	131.156	131.014	131.062	130.925	131.170	131.165	131.159	131.046	131.218	131.085	131.132	131.167	131.015	131.165	130.957	131.230	131.085	130.984	131.191	131.051	130.817	131.256	131.080	131.184	131.131	131.220	116.702	116.682	116.695	116.631	116.588	116.663	116.609	116.671	116.662	116.674	116.697	116.633	116.631	116.690	116.743	116.622	116.738	116.658	116.658	116.658	116.658	116.607	116.635	116.602	116.722	116.651	116.728	116.700	116.718	116.636	116.738	116.620	2016_7_19_17_03_57
FLQS30G5GRWY____	-65.927	-65.750	-65.893	-65.608	-65.516	-65.645	-65.576	-65.683	-65.682	-65.653	-65.833	-65.654	-65.608	-65.786	-65.986	-65.576	-65.930	-65.723	-65.613	-65.722	-65.621	-65.574	-65.614	-65.475	-65.949	-65.613	-65.717	-65.883	-65.847	-65.670	-65.932	-65.637	131.530	131.351	131.493	131.352	131.345	131.214	131.352	131.215	131.257	131.116	131.326	131.325	131.352	131.245	131.418	131.281	131.289	131.330	131.211	131.328	131.118	131.380	131.280	131.178	131.350	131.246	131.014	131.455	131.281	131.380	131.330	131.418	116.797	116.767	116.792	116.717	116.686	116.754	116.706	116.767	116.759	116.774	116.800	116.738	116.717	116.798	116.837	116.718	116.840	116.761	116.743	116.761	116.763	116.700	116.731	116.701	116.836	116.737	116.814	116.795	116.813	116.734	116.834	116.716	2016_7_19_17_03_57
FLQS30E9GRWY____	-65.734	-65.585	-65.695	-65.444	-65.313	-65.479	-65.384	-65.518	-65.517	-65.456	-65.593	-65.418	-65.444	-65.555	-65.789	-65.415	-65.741	-65.528	-65.446	-65.531	-65.462	-65.412	-65.455	-65.271	-65.761	-65.453	-65.553	-65.684	-65.614	-65.467	-65.737	-65.479	131.568	131.353	131.496	131.355	131.353	131.215	131.356	131.215	131.247	131.112	131.370	131.326	131.355	131.250	131.421	131.330	131.331	131.325	131.213	131.323	131.149	131.429	131.287	131.183	131.357	131.254	131.003	131.456	131.282	131.384	131.298	131.424	116.576	116.561	116.575	116.512	116.467	116.549	116.491	116.562	116.556	116.559	116.562	116.508	116.512	116.569	116.621	116.506	116.620	116.547	116.538	116.548	116.554	116.488	116.528	116.481	116.622	116.533	116.611	116.578	116.584	116.515	116.624	116.512	2016_7_19_17_03_57
FLQS30DZGRWV	-65.775	-65.604	-65.711	-65.460	-65.364	-65.501	-65.431	-65.534	-65.534	-65.506	-65.647	-65.473	-65.460	-65.571	-65.834	-65.460	-65.783	-65.580	-65.462	-65.578	-65.473	-65.422	-65.497	-65.326	-65.799	-65.467	-65.572	-65.733	-65.660	-65.515	-65.747	-65.485	131.540	131.360	131.506	131.370	131.360	131.220	131.325	131.221	131.257	131.126	131.386	131.333	131.370	131.260	131.434	131.302	131.353	131.338	131.221	131.330	131.157	131.399	131.299	131.186	131.365	131.262	131.020	131.471	131.296	131.400	131.350	131.430	116.620	116.592	116.604	116.540	116.508	116.581	116.538	116.592	116.585	116.598	116.603	116.551	116.540	116.598	116.659	116.552	116.656	116.587	116.567	116.588	116.581	116.522	116.565	116.525	116.659	116.561	116.640	116.618	116.623	116.554	116.643	116.538	2016_7_19_17_03_58
FLQS30D5GRWQ____	-66.061	-65.918	-66.024	-65.777	-65.648	-65.780	-65.744	-65.848	-65.848	-65.782	-65.966	-65.784	-65.777	-65.885	-66.122	-65.743	-66.062	-65.853	-65.778	-65.856	-65.750	-65.740	-65.779	-65.605	-66.082	-65.779	-65.882	-66.020	-65.944	-65.802	-66.067	-65.766	131.319	131.139	131.286	131.108	131.147	131.002	131.104	131.003	131.038	130.903	131.126	131.114	131.108	131.041	131.216	131.075	131.086	131.115	131.002	131.117	130.903	131.139	131.075	130.972	131.106	131.041	130.797	131.253	131.076	131.181	131.091	131.178	116.560	116.542	116.553	116.498	116.447	116.518	116.487	116.542	116.535	116.536	116.561	116.500	116.498	116.548	116.600	116.492	116.602	116.524	116.517	116.524	116.525	116.480	116.505	116.462	116.605	116.511	116.590	116.558	116.562	116.494	116.602	116.482	2016_7_19_17_03_58
