,Distance_X_LOGO_Earphone_LD1,Distance_X_LOGO_Earphone_LD2,Distance_X_LOGO_Earphone_LD3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Earphone_LD1,Distance_Y_LOGO_Earphone_LD2,Distance_Y_LOGO_Earphone_LD3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Earphone_LD1,Angle_Earphone_LD2,Angle_Earphone_LD3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-29.3582881943,-29.2502760967,-29.335285618,-29.4442978276,-29.3712896505,-29.3722897625,-29.4092939071,-29.3712896505,-29.338285954,-29.3732898745,-29.4442978276,-29.5103052206,-29.33628573,-29.269278225,-29.1642664634,-29.269278225,-29.3042821455,-29.337285842,-29.3032820335,-29.2322740805,-29.2902805773,-29.269278225,-29.267278001,-29.337285842,-29.3042821455,-29.2322740805,-29.269278225,-29.269278225,-29.3042821455,-29.2322740805,-29.4102940191,-29.3022819215,139.035500935,138.985487805,139.199544001,139.123524044,139.094516428,139.024498046,139.048504349,139.128525357,139.130525882,139.161534022,139.195542951,139.299570261,139.09151564,139.013495158,138.941476251,139.057506712,139.013495158,139.127525094,139.119522993,139.117522468,138.786435548,139.013495158,139.162534285,139.161534022,139.013495158,139.156532709,139.120523256,139.089515115,139.013495158,139.058506975,139.126524831,139.161534022,102.03,101.991,102.007,102.057,102.03,102.037,102.049,102.027,102.014,102.025,102.05,102.068,102.017,101.996,101.961,101.993,102.01,102.014,102.001,101.973,102.024,101.996,101.984,102.011,102.01,101.97,101.988,101.99,102.01,101.978,102.043,101.997
FLQS30KBGRWV,-29.6689682388,-29.5978868572,-29.6469430219,-29.7530645213,-29.6819831397,-29.6839854321,-29.7160221112,-29.6809819934,-29.6479441682,-29.6829842859,-29.7871034928,-29.8211424643,-29.6439395833,-29.5778639327,-29.4737447258,-29.5738593479,-29.6129040505,-29.6829842859,-29.6159074891,-29.5388192302,-29.5988880034,-29.5738593479,-29.5738593479,-29.6469430219,-29.6129040505,-29.5408215226,-29.5798662252,-29.5838708101,-29.6129040505,-29.542823815,-29.7140198187,-29.6088994656,138.873322228,138.741335227,139.142295736,139.043305486,138.976312084,138.96731297,139.077302138,139.011308637,139.011308637,139.109298986,139.108299085,139.182291797,138.900319569,139.029306865,138.820327447,138.900319569,139.036306175,139.035306274,139.038305978,138.900319569,138.700339265,139.040305781,138.970312675,139.104299479,139.036306175,139.030306766,138.961313561,139.130296918,139.036306175,138.96731297,138.970312675,138.900319569,102.061,102.044,102.03,102.08,102.057,102.059,102.063,102.054,102.041,102.047,102.088,102.095,102.049,102.012,101.988,102.021,102.025,102.053,102.026,102.008,102.048,102.01,102.015,102.033,102.025,101.997,102.019,102.006,102.025,102.003,102.071,102.035
FLQS30CWGRWV,-29.4993509385,-29.3873154246,-29.4773439625,-29.5833775739,-29.5113547435,-29.5133553777,-29.5463658416,-29.5113547435,-29.4773439625,-29.5123550606,-29.6163880378,-29.6503988188,-29.4763436454,-29.4063214492,-29.301288155,-29.4073217663,-29.4413325473,-29.5103544264,-29.4403322302,-29.3713103511,-29.4283284252,-29.4063214492,-29.4063214492,-29.4753433283,-29.4413325473,-29.3713103511,-29.4083220834,-29.4073217663,-29.4413325473,-29.3713103511,-29.5453655245,-29.4413325473,138.819256826,138.76024694,139.094302905,138.984284474,138.954279447,138.881267215,139.022290841,139.024291176,139.027291679,139.021290673,138.984284474,139.196319997,138.918273415,139.049295365,138.704237557,138.953279279,138.983284306,138.986284809,138.949278609,138.87926688,138.644227503,139.091302403,139.022290841,139.058296873,138.983284306,139.013289333,138.982284139,138.986284809,138.983284306,138.881267215,139.054296203,138.982284139,101.853,101.814,101.821,101.873,101.847,101.854,101.855,101.841,101.827,101.842,101.886,101.881,101.836,101.797,101.785,101.806,101.817,101.843,101.819,101.798,101.84,101.794,101.8,101.824,101.817,101.787,101.804,101.803,101.817,101.797,101.852,101.817
FLQS30C7GRWV,-29.5819004493,-29.5007580878,-29.5528494804,-29.6590357807,-29.6229725089,-29.6229725089,-29.6219707513,-29.6219707513,-29.5879109946,-29.6229725089,-29.6930955374,-29.7271552941,-29.5899145097,-29.524800269,-29.4196157262,-29.4837282094,-29.5177879661,-29.6209689938,-29.5538512379,-29.4897387547,-29.4997563302,-29.5187897237,-29.5187897237,-29.5879109946,-29.5177879661,-29.4476649376,-29.524800269,-29.4827264519,-29.5177879661,-29.4476649376,-29.6239742664,-29.5528494804,138.825147524,138.775144229,139.139168215,139.063163207,138.967156881,138.925154113,139.132167754,139.029160967,139.031161099,139.136168018,139.098165514,139.205172565,139.069163603,138.930154443,138.755142911,138.966156815,139.06016301,139.031161099,138.923153982,138.86014983,138.726141,139.168170126,139.099165579,139.063163207,139.06016301,139.022160505,138.86014983,139.026160769,139.06016301,138.931154509,139.031161099,139.026160769,101.929,101.901,101.891,101.939,101.933,101.937,101.919,101.927,101.914,101.919,101.949,101.954,101.911,101.897,101.87,101.878,101.884,101.927,101.909,101.889,101.905,101.875,101.881,101.911,101.884,101.859,101.903,101.873,101.884,101.867,101.928,101.9
FLQS29JFGRX5,-29.5815510131,-29.5575529998,-29.5655523376,-29.7045408311,-29.599549523,-29.6005494403,-29.6355465429,-29.6365464602,-29.567552172,-29.6365464602,-29.740537851,-29.7755349536,-29.6025492747,-29.494558215,-29.3925666587,-29.4975579667,-29.5305552349,-29.6365464602,-29.5315551521,-29.4965580495,-29.5555531654,-29.5315551521,-29.4955581322,-29.6005494403,-29.5305552349,-29.4605610296,-29.4985578839,-29.4965580495,-29.5305552349,-29.4595611124,-29.6705436456,-29.5315551521,138.952134033,138.776119929,139.189153025,139.118147335,139.083144531,139.051141966,139.15114998,139.158150541,139.22215567,139.156150381,139.084144611,139.193153346,138.948133713,139.07914421,138.843125298,139.046141566,139.055142287,139.012138841,139.043141325,138.979136197,138.78012025,139.121147576,139.054142207,139.14914982,139.055142287,139.07914421,139.043141325,139.050141886,139.055142287,138.982136437,139.084144611,139.083144531,101.894,101.899,101.868,101.929,101.89,101.893,101.898,101.898,101.866,101.899,101.945,101.95,101.903,101.849,101.828,101.853,101.865,101.911,101.867,101.858,101.898,101.86,101.851,101.885,101.865,101.836,101.853,101.852,101.865,101.843,101.918,101.863
FLQS22XEGRX2,-29.480854516,-29.4138593916,-29.4598560442,-29.5688481122,-29.4978532789,-29.4988532061,-29.5318508047,-29.4968533517,-29.4638557531,-29.4988532061,-29.6008457836,-29.6358432366,-29.4618558986,-29.3898611381,-29.2868686334,-29.3918609925,-29.4278583728,-29.4968533517,-29.4258585183,-29.3578634667,-29.4128594644,-29.3928609198,-29.3928609198,-29.4618558986,-29.4278583728,-29.354863685,-29.3918609925,-29.3928609198,-29.4278583728,-29.3578634667,-29.5338506592,-29.4278583728,138.956048384,138.816062439,139.11903202,139.078036136,139.04203975,139.010042963,139.116032321,139.082035734,139.085035433,139.152028707,139.141029811,139.215022382,139.008043163,139.072036738,138.860058021,138.973046677,139.081035835,139.073036638,138.975046476,138.96604738,138.776066454,139.151028807,139.082035734,139.145029409,139.081035835,139.070036939,138.973046677,139.007043264,139.081035835,138.976046376,139.107033224,139.152028707,101.828,101.813,101.806,101.852,101.827,101.83,101.834,101.824,101.81,101.818,101.859,101.867,101.816,101.782,101.759,101.791,101.796,101.824,101.804,101.778,101.816,101.776,101.782,101.804,101.796,101.768,101.791,101.789,101.796,101.777,101.836,101.79
FLQS22TQGRX2,-29.6807549725,-29.6047274236,-29.6577466354,-29.7997981084,-29.6927593224,-29.6937596849,-29.7277720094,-29.6927593224,-29.6587469978,-29.7297727344,-29.7987977459,-29.833810433,-29.6587469978,-29.5867208988,-29.4836835627,-29.5907223488,-29.6587469978,-29.6917589599,-29.6577466354,-29.5887216238,-29.6047274236,-29.6257350358,-29.6227339483,-29.6927593224,-29.6587469978,-29.5527085743,-29.6227339483,-29.5897219863,-29.6587469978,-29.6277357608,-29.7627846964,-29.6227339483,138.936968895,138.839980086,139.133946167,139.091951012,139.060954589,139.03095805,139.128946744,139.060954589,139.064954127,139.095950551,139.124947205,139.200938437,139.026958511,139.028958281,138.84097997,139.026958511,139.093950782,139.057954935,139.023958858,139.020959204,138.806983893,139.165942475,139.029958165,139.096950435,139.093950782,139.086951589,138.993962319,139.153943859,139.093950782,138.919970856,139.059954704,139.063954243,101.914,101.892,101.889,101.948,101.909,101.911,101.916,101.908,101.895,101.92,101.945,101.952,101.898,101.869,101.844,101.871,101.892,101.908,101.898,101.871,101.895,101.873,101.883,101.905,101.892,101.851,101.886,101.86,101.892,101.895,101.936,101.88
FLQS21YXGRX2,-29.3500612432,-29.27507897,-29.3270666794,-29.4330416255,-29.3610586432,-29.3630581705,-29.3970501343,-29.398049898,-29.3640579341,-29.3630581705,-29.4670335893,-29.5010255531,-29.3260669157,-29.3010728247,-29.1531078057,-29.2940744792,-29.2920749519,-29.3620584069,-29.328066443,-29.2580829881,-29.2730794427,-29.2570832244,-29.2950742428,-29.3270666794,-29.2920749519,-29.2200919697,-29.2960740065,-29.2940744792,-29.2920749519,-29.222091497,-29.398049898,-29.2930747156,138.895256674,138.842262681,139.207221314,139.100233441,139.100233441,138.931252594,139.107232648,139.038240468,139.106232761,139.139229021,139.108232534,139.243217234,138.912254748,138.958249534,138.848262001,139.028241601,139.126230494,139.067237181,139.024242054,139.020242508,138.798267668,139.132229814,139.027241714,139.133229701,139.126230494,139.051238994,138.991245794,139.060237974,139.126230494,139.027241714,139.070236841,139.096233894,102.067,102.042,102.032,102.083,102.055,102.069,102.068,102.075,102.055,102.052,102.096,102.098,102.057,102.043,101.994,102.034,102.025,102.058,102.048,102.021,102.045,102.011,102.035,102.038,102.025,102.003,102.038,102.032,102.025,102.006,102.072,102.028
FLQS2AVTGRX5,-29.5039493734,-29.4309519728,-29.479950228,-29.5859464535,-29.5159489461,-29.5159489461,-29.5499477354,-29.5149489817,-29.4819501568,-29.5149489817,-29.6199452428,-29.6539440321,-29.4819501568,-29.4089527562,-29.3069563882,-29.4129526137,-29.4459514387,-29.5139490173,-29.4459514387,-29.3759539313,-29.4279520796,-29.410952685,-29.410952685,-29.479950228,-29.4459514387,-29.3759539313,-29.4119526494,-29.4119526494,-29.4459514387,-29.3769538956,-29.5519476642,-29.4459514387,138.921033078,138.793025676,139.163047072,139.123044759,139.128045048,138.990037068,139.158046783,139.159046841,139.097043256,139.161046957,139.096043198,139.264052913,139.091042909,139.087042677,138.904032095,139.023038976,139.123044759,139.090042851,139.04904048,139.016038572,138.785025213,139.193048807,139.123044759,139.160046899,139.123044759,139.045040249,138.984036721,139.020038803,139.123044759,139.019038745,139.123044759,139.091042909,101.905,101.887,101.875,101.921,101.892,101.904,101.903,101.889,101.882,101.889,101.936,101.935,101.882,101.854,101.828,101.86,101.865,101.895,101.871,101.847,101.886,101.845,101.851,101.875,101.865,101.844,101.863,101.86,101.865,101.847,101.907,101.868
FLQS3087GRWV,-29.4589760736,-29.425802683,-29.4378657341,-29.5424121771,-29.4710391247,-29.4720443789,-29.5062230238,-29.5062230238,-29.4378657341,-29.4720443789,-29.6137852295,-29.6489691286,-29.4378657341,-29.3654874274,-29.2589304759,-29.4036870893,-29.402681835,-29.4710391247,-29.480086413,-29.3313087826,-29.4318342086,-29.4046923436,-29.3664926817,-29.4368604799,-29.402681835,-29.3272877656,-29.4036870893,-29.367497936,-29.402681835,-29.3313087826,-29.507228278,-29.402681835,138.906249684,138.767244431,139.173259776,139.072255958,139.073255996,138.966251952,139.106257243,139.034254522,139.106257243,139.138258453,139.070255883,139.176259889,139.036254598,139.065255694,138.855247757,138.960251725,139.068255807,139.034254522,138.922250289,138.961251763,138.647239896,139.10325713,139.145258717,139.136258377,139.068255807,139.060255505,138.961251763,139.170259662,139.068255807,138.96725199,139.066255732,139.099256979,101.796,101.795,101.766,101.815,101.787,101.796,101.798,101.804,101.771,101.782,101.843,101.848,101.777,101.746,101.722,101.77,101.761,101.79,101.803,101.741,101.807,101.758,101.74,101.768,101.761,101.732,101.77,101.738,101.761,101.741,101.802,101.758
