,Distance_X_LOGO_MainBoard_RU1,Distance_X_LOGO_MainBoard_RU2,Distance_X_LOGO_3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_MainBoard_RU1,Distance_Y_LOGO_MainBoard_RU2,Distance_Y_LOGO_3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_MainBoard_RU1,Angle_MainBoard_RU2,Angle_3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS3115GRWV,-65.4772724415,-65.3402237305,-65.4442607082,-65.1961725307,-65.072128442,-65.2361867529,-65.1661618641,-65.2721995529,-65.2721995529,-65.2391878196,-65.3932425749,-65.2121782196,-65.1961725307,-65.3072119973,-65.5783083524,-65.1621604419,-65.4932781303,-65.2802023973,-65.2011743085,-65.2792020417,-65.1741647085,-65.1611600863,-65.1981732418,-65.0331145754,-65.4762720859,-65.1961725307,-65.3052112861,-65.4442607082,-65.404246486,-65.2241824863,-65.4892767081,-65.1901703974,131.652511919,131.470350707,131.62148446,131.531404739,131.480359565,131.337232898,131.530403854,131.334230241,131.3722639,131.238145206,131.502379052,131.447330334,131.531404739,131.376267443,131.548419798,131.414301103,131.464345392,131.451333877,131.302201896,131.446329448,131.23714432,131.518393224,131.414301103,131.300200124,131.478357793,131.377268329,131.130049542,131.585452571,131.405293131,131.511387024,131.461342735,131.547418912,116.429,116.413,116.423,116.352,116.318,116.4,116.342,116.413,116.406,116.418,116.426,116.372,116.352,116.418,116.483,116.36,116.467,116.395,116.394,116.396,116.396,116.342,116.373,116.335,116.459,116.379,116.46,116.429,116.447,116.365,116.467,116.347
FLQS310RGRWV,-66.0666932716,-65.9233946149,-66.0316201738,-65.7831022237,-65.6588432487,-65.8261920296,-65.7510353914,-65.8201794985,-65.8542505078,-65.7891147548,-65.9704927748,-65.7921210203,-65.7831022237,-65.8893236056,-66.1248144051,-65.7490312144,-66.0686974486,-65.8602630389,-65.7861084892,-65.8592609503,-65.758050011,-65.7480291259,-65.7851064007,-65.6207638853,-66.055670298,-65.7841043122,-65.8552525963,-66.0205972002,-65.9504510046,-65.8061502594,-66.0686974486,-65.7730813386,131.344391814,131.127341591,131.271374919,131.170351543,131.124340897,131.024317752,131.172352006,130.98830942,131.026318215,130.889286507,131.145345757,131.137343906,131.170351543,131.027318447,131.196357561,131.100335342,131.07132863,131.1403446,131.026318215,131.135343443,130.923294377,131.162349692,131.061326316,130.955301783,131.166350617,131.026318215,130.816269612,131.231365661,131.098334879,131.160349229,131.106336731,131.197357792,116.587,116.575,116.587,116.518,116.483,116.559,116.507,116.563,116.568,116.57,116.588,116.527,116.518,116.581,116.633,116.519,116.635,116.551,116.545,116.551,116.553,116.507,116.538,116.499,116.614,116.544,116.606,116.591,116.589,116.528,116.629,116.51
FLQS3106GRWV,-65.8225456619,-65.6844815918,-65.7905308051,-65.5434161289,-65.413355773,-65.5854356285,-65.5083998792,-65.6154495568,-65.6154495568,-65.5504193788,-65.7265010914,-65.5534207716,-65.5434161289,-65.6484648779,-65.9085855897,-65.5073994149,-65.8235461262,-65.623453271,-65.5484184502,-65.6204518781,-65.5524203074,-65.5013966293,-65.5464175217,-65.3783395233,-65.8405540189,-65.5464175217,-65.6494653421,-65.7775247695,-65.7024899488,-65.5604240216,-65.8575619116,-65.5594235573,131.520025376,131.335888134,131.527030597,131.344894847,131.33688888,131.19578371,131.344894847,131.197785202,131.231810562,131.134738211,131.364909764,131.312870978,131.344894847,131.2348128,131.409943329,131.272841143,131.284850094,131.312870978,131.196784456,131.309868741,131.096709868,131.373916477,131.271840397,131.163759842,131.342893355,131.2348128,130.998636771,131.446970927,131.269838905,131.375917969,131.325880675,131.405940345,116.383,116.367,116.37,116.316,116.272,116.356,116.304,116.367,116.361,116.355,116.376,116.325,116.316,116.372,116.432,116.316,116.424,116.349,116.343,116.349,116.362,116.296,116.329,116.29,116.42,116.336,116.414,116.38,116.384,116.316,116.429,116.311
FLQS30ZQGRWV,-65.9344720532,-65.7834984494,-65.9004779967,-65.6445227478,-65.551539005,-65.6845157555,-65.6185272928,-65.7195096371,-65.7225091127,-65.6535211745,-65.8404884853,-65.6595201257,-65.6445227478,-65.7595026448,-66.0284556212,-65.6185272928,-66.011458593,-65.7285080639,-65.650521699,-65.7285080639,-65.6585203005,-65.6105286913,-65.6545209997,-65.514545473,-65.9584678578,-65.6535211745,-65.7565031692,-65.8884800944,-65.8534862128,-65.6695183776,-65.9734652357,-65.6765171539,131.367739771,131.148771875,131.331745049,131.200764252,131.196764838,131.055785508,131.199764399,131.052785948,131.08278155,130.951800753,131.174768063,131.166769236,131.200764252,131.089780524,131.260755457,131.12977466,131.13277422,131.169768796,131.054785654,131.161769969,130.95380046,131.229760001,131.128774807,130.979796649,131.193765278,131.094779791,130.838817318,131.296750179,131.124775393,131.224760734,131.13277422,131.265754724,116.586,116.572,116.58,116.514,116.482,116.554,116.505,116.566,116.562,116.561,116.587,116.525,116.514,116.574,116.638,116.517,116.654,116.549,116.542,116.55,116.562,116.497,116.53,116.507,116.625,116.536,116.617,116.583,116.6,116.519,116.641,116.514
FLQS30YUGRWV,-65.8508978525,-65.706926498,-65.8179044171,-65.5589559392,-65.4409794127,-65.6029471864,-65.5309615092,-65.6389400251,-65.637940224,-65.609945794,-65.7569165516,-65.5819513639,-65.5589559392,-65.6739330626,-65.9428795512,-65.5299617081,-65.8558968578,-65.651937439,-65.5669543478,-65.6829312723,-65.5489579285,-65.5289619071,-65.5659545468,-65.3979879665,-65.871893675,-65.5639549446,-65.6759326647,-65.843899245,-65.7709137667,-65.6259426111,-65.8548970568,-65.5949487779,131.35854724,131.137714435,131.323573719,131.185678121,131.137714435,130.99782035,131.144709139,131.002816567,131.042786306,130.902892221,131.158698548,131.152703087,131.185678121,131.036790845,131.206662234,131.074762097,131.122725783,131.117729566,130.998819593,131.114731835,130.939864229,131.1736872,131.071764366,130.966843803,131.137714435,131.035791602,130.799970144,131.242634999,131.070765123,131.168690982,131.122725783,131.20566299,116.506,116.495,116.501,116.435,116.402,116.483,116.432,116.495,116.487,116.502,116.508,116.448,116.435,116.501,116.565,116.444,116.549,116.479,116.47,116.49,116.474,116.426,116.457,116.416,116.552,116.463,116.543,116.524,116.529,116.461,116.549,116.444
FLQS30X6GRWY,-65.681945587,-65.5390566542,-65.6449743246,-65.3991653913,-65.2682671382,-65.4351374303,-65.3661910222,-65.4691110227,-65.4711094694,-65.4071591778,-65.5900170428,-65.4081584011,-65.3991653913,-65.5040838385,-65.7448966553,-65.3661910222,-65.6869417035,-65.4781040325,-65.4011638379,-65.4771048092,-65.3731855854,-65.3601956824,-65.4041615078,-65.2292974293,-65.7039284997,-65.4021630612,-65.5060822851,-65.6739518005,-65.5660356835,-65.4231467507,-65.6909385967,-65.3901723816,131.487526646,131.309511041,131.450523402,131.315511567,131.347514372,131.168498679,131.313511391,131.171498942,131.198501309,131.065489649,131.330512882,131.284508849,131.315511567,131.247505605,131.419520684,131.242505167,131.290509375,131.282508673,131.170498854,131.281508586,131.06949,131.345514197,131.241505079,131.140496224,131.311511216,131.205501923,130.963480706,131.414520246,131.238504816,131.344514109,131.293509638,131.377517002,116.662,116.643,116.655,116.593,116.542,116.631,116.582,116.643,116.638,116.639,116.657,116.602,116.593,116.642,116.696,116.594,116.698,116.626,116.619,116.626,116.627,116.574,116.608,116.564,116.7,116.613,116.692,116.672,116.665,116.596,116.699,116.579
FLQS30X6GRWV,-65.9552398755,-65.8081947513,-65.9212294386,-65.6751539247,-65.544113712,-65.7071637477,-65.6411434878,-65.7411741846,-65.7411741846,-65.6741536178,-65.8622113276,-65.6781548456,-65.6751539247,-65.7791858493,-66.0192595214,-65.6391428739,-65.9652429452,-65.7481763333,-65.6771545387,-65.7471760264,-65.6431441018,-65.6401431809,-65.6751539247,-65.5011005124,-65.9762463218,-65.6741536178,-65.7731840075,-65.9152275968,-65.8762156251,-65.697160678,-65.9582407964,-65.7021622128,131.511264117,131.336089271,131.475228149,131.340093268,131.33809127,131.20195539,131.33809127,131.20095439,131.238992357,131.140894443,131.356109254,131.31506829,131.340093268,131.232986362,131.404157211,131.269022331,131.274027326,131.320073286,131.196950394,131.317070288,131.108862472,131.371124241,131.268021331,131.16792142,131.336089271,131.232986362,130.998752569,131.48523814,131.265018334,131.370123241,131.319072286,131.405158211,116.797,116.776,116.791,116.729,116.683,116.764,116.717,116.776,116.769,116.763,116.791,116.734,116.729,116.784,116.838,116.729,116.842,116.758,116.755,116.758,116.758,116.711,116.741,116.698,116.835,116.747,116.823,116.787,116.812,116.731,116.831,116.727
FLQS30WFGRWV,-65.6488955696,-65.5138546441,-65.6158855656,-65.3718115965,-65.2517752183,-65.4108234194,-65.3338000767,-65.440832514,-65.4428331203,-65.3788137186,-65.5498655576,-65.3798140217,-65.3718115965,-65.4758431243,-65.7379225502,-65.3297988641,-65.6478952665,-65.4478346361,-65.3728118997,-65.4468343329,-65.3458037146,-65.3378012893,-65.3678103839,-65.2137636985,-65.6358916287,-65.3678103839,-65.4728422149,-65.6298898097,-65.5618691954,-65.3918176595,-65.6518964791,-65.3568070492,131.454403632,131.274424985,131.419407784,131.279424392,131.273425104,131.136441357,131.279424392,131.139441001,131.174436849,131.032453694,131.254427358,131.247428189,131.279424392,131.17543673,131.347416325,131.207432934,131.223431036,131.252427595,131.135441475,131.249427951,131.034453457,131.313420359,131.206433052,131.10244539,131.27742463,131.172437086,130.935465201,131.344416681,131.208432815,131.311420596,131.262426409,131.349416088,116.391,116.376,116.386,116.325,116.284,116.364,116.312,116.374,116.368,116.37,116.392,116.334,116.325,116.379,116.441,116.323,116.432,116.357,116.35,116.357,116.359,116.307,116.336,116.301,116.418,116.342,116.421,116.404,116.404,116.327,116.426,116.307
FLQS30VBGRWV,-66.126969102,-65.9468138963,-66.0919389231,-65.8357181862,-65.7146138535,-65.8397216352,-65.7726638642,-65.8807569876,-65.8847604366,-65.8557354313,-65.9908518355,-65.858738018,-65.8357181862,-65.9518182076,-66.2210501539,-65.8076940431,-66.1339751378,-65.9308001003,-65.8447259465,-65.9308001003,-65.8247087014,-65.7986862828,-65.8447259465,-65.6715767766,-66.1509897961,-65.8437250842,-65.9578233811,-66.0829311628,-66.0489018462,-65.8607397425,-66.1319734133,-65.8307138749,131.414889757,131.229864569,131.376884583,131.241866203,131.235865386,131.09184578,131.240866067,131.094846189,131.13085109,130.992832302,131.254867973,131.207861574,131.241866203,131.134851635,131.302874508,131.1698564,131.179857762,131.213862391,131.096846461,131.209861846,130.994832574,131.270870151,131.166855992,131.062841832,131.237865658,131.133851499,130.888818142,131.341879818,131.167856128,131.266869607,131.217862935,131.305874917,116.775,116.745,116.77,116.705,116.663,116.732,116.683,116.746,116.741,116.755,116.756,116.718,116.705,116.764,116.828,116.707,116.819,116.742,116.733,116.743,116.744,116.686,116.721,116.679,116.815,116.726,116.809,116.773,116.792,116.709,116.812,116.691
FLQS30UFGRWV,-65.8346316785,-65.6518686689,-65.7657210355,-65.5420111221,-65.3832170317,-65.5470046469,-65.477095299,-65.5869528457,-65.5869528457,-65.5180422028,-65.6988078025,-65.5210383177,-65.5420111221,-65.6239049297,-65.886564337,-65.477095299,-65.8076666443,-65.6259023396,-65.511051268,-65.5949424855,-65.4890797586,-65.5020629232,-65.5140473829,-65.339274013,-65.8206498089,-65.5140473829,-65.6219075197,-65.748743051,-65.6718427683,-65.5679774513,-65.8376277934,-65.5400137121,131.351801255,131.213748913,131.355802772,131.221751948,131.214749293,131.072695434,131.215749672,131.076696951,131.115711743,130.980660539,131.23275612,131.188739431,131.221751948,131.108709088,131.284775843,131.146723501,131.194741707,131.19074019,131.07869771,131.192740948,131.014673435,131.252763706,131.144722743,131.045685193,131.213748913,131.110709847,130.873619956,131.322790256,131.143722363,131.24676143,131.201744362,131.280774326,116.502,116.462,116.477,116.422,116.368,116.45,116.401,116.463,116.456,116.456,116.475,116.42,116.422,116.471,116.532,116.413,116.52,116.457,116.437,116.446,116.44,116.403,116.426,116.382,116.521,116.432,116.511,116.477,116.481,116.427,116.529,116.411
FLQS30TYGRWV,-65.9345186026,-65.790491257,-65.8975115763,-65.6504646709,-65.5234405536,-65.689472077,-65.6164582143,-65.7244787235,-65.7274792932,-65.6574660002,-65.8375001823,-65.6604665699,-65.6504646709,-65.7584851801,-66.0175343643,-65.6164582143,-65.9325182228,-65.7304798629,-65.6554656204,-65.7284794831,-65.6314610628,-65.6114572648,-65.6524650507,-65.4844331475,-65.950521641,-65.6524650507,-65.7614857498,-65.8855092975,-65.8144958146,-65.6714686588,-65.9325182228,-65.6724688487,131.340498742,131.15049802,131.299498586,131.160498058,131.158498051,131.0134975,131.159498054,131.019497523,131.057497667,130.951497265,131.17949813,131.132497952,131.160498058,131.051497644,131.231498328,131.088497785,131.14249799,131.137497971,131.015497508,131.132497952,130.923497158,131.190498172,131.085497773,130.988497405,131.161498062,131.05049764,130.817496756,131.266498461,131.0924978,131.19249818,131.144497997,131.234498339,116.66,116.642,116.654,116.592,116.548,116.631,116.58,116.642,116.637,116.631,116.654,116.6,116.592,116.649,116.707,116.592,116.693,116.624,116.619,116.624,116.626,116.573,116.606,116.564,116.696,116.612,116.691,116.655,116.661,116.593,116.693,116.586
FLQS30T7GRWV,-65.9881762925,-65.8453382559,-65.9532159339,-65.7005024846,-65.575644061,-65.7444526497,-65.6405704413,-65.7744186713,-65.7734198039,-65.7094922911,-65.8932838906,-65.7134877606,-65.7005024846,-65.8063824278,-66.0481083358,-65.6365749717,-65.9921717621,-65.7824096104,-65.7064956889,-65.7814107431,-65.6775285346,-65.665542126,-65.7034990867,-65.5376871002,-66.010151375,-65.7025002194,-65.8083801625,-65.9472227296,-65.8703099406,-65.7574379257,-66.0241355185,-65.696507015,131.414850685,131.201803913,131.345835534,131.245813575,131.237811818,131.096780856,131.204804572,131.06377361,131.100781735,130.998759337,131.221808305,131.173797765,131.245813575,131.096780856,131.268818625,131.175798204,131.180799302,131.214806768,131.060772951,131.207805231,130.996758898,131.236811599,131.174797984,131.029766144,131.239812257,131.095780637,130.888735182,131.307827189,131.170797106,131.230810281,131.147792055,131.314828726,116.583,116.57,116.583,116.512,116.47,116.553,116.498,116.57,116.563,116.559,116.584,116.529,116.512,116.575,116.629,116.502,116.625,116.546,116.547,116.547,116.548,116.502,116.525,116.493,116.621,116.539,116.612,116.587,116.584,116.534,116.642,116.499
FLQS30S7GRWV,-66.0301187774,-65.84303911,-65.9931030144,-65.705980744,-65.6129411233,-65.774009714,-65.6759679631,-65.7790118441,-65.7790118441,-65.7550016194,-65.9360787307,-65.7550016194,-65.705980744,-65.8160276072,-66.0861426351,-65.670965833,-66.0351209076,-65.8570450744,-65.7079815961,-65.8260318675,-65.7219875605,-65.705980744,-65.7149845783,-65.5709232301,-66.0591311323,-65.7489990632,-65.8880582813,-65.9850996061,-65.9871004582,-65.7239884125,-66.0321196295,-65.7359935249,131.242650179,131.104622151,131.247651195,131.108622964,131.104622151,130.969594733,131.105622354,130.96559392,131.001601232,130.869574423,131.119625198,131.116624589,131.108622964,131.000601029,131.170635556,130.996600216,131.040609153,131.082617683,130.963593514,131.079617074,130.835567517,131.099621136,131.033607731,130.93958864,131.147630885,131.003601638,130.722544567,131.207643071,130.995600013,131.134628244,131.086618496,131.174636368,116.684,116.643,116.67,116.594,116.562,116.642,116.584,116.645,116.638,116.653,116.672,116.61,116.594,116.651,116.716,116.602,116.721,116.652,116.62,116.641,116.648,116.596,116.611,116.577,116.711,116.628,116.726,116.674,116.712,116.596,116.712,116.593
FLQS30RRGRWV,-65.9443631308,-65.7654869223,-65.8734122325,-65.6165899666,-65.5316487503,-65.6575616121,-65.5896086391,-65.6995325661,-65.701531183,-65.7135228841,-65.804459951,-65.6745498554,-65.6165899666,-65.7325097442,-66.0353001977,-65.624584434,-65.9483603646,-65.7445014453,-65.659560229,-65.7474993706,-65.6445706026,-65.6115934245,-65.6255837425,-65.4886784879,-65.9273748876,-65.624584434,-65.7365069779,-65.8943977095,-65.8654177651,-65.6785470891,-65.9453624393,-65.645569911,131.38523672,131.201176149,131.345223553,131.206177795,131.201176149,131.060129733,131.206177795,131.06413105,131.100142901,130.959096484,131.223183391,131.176167919,131.206177795,131.099142571,131.273199851,131.133153764,131.147158373,131.215180758,131.065131379,131.174167261,130.963097801,131.237188,131.132153435,131.031120186,131.24919195,131.096141584,130.856062578,131.312212689,131.137155081,131.239188658,131.15015936,131.277201167,116.596,116.566,116.579,116.513,116.484,116.553,116.504,116.567,116.562,116.59,116.576,116.539,116.513,116.572,116.647,116.529,116.64,116.556,116.553,116.564,116.565,116.506,116.529,116.499,116.614,116.535,116.616,116.592,116.612,116.529,116.638,116.511
FLQS30R2GRWV,-65.5115444586,-65.368458088,-65.4795251309,-65.2233705094,-65.1383191702,-65.264395273,-65.1953535976,-65.3054200366,-65.3044194326,-65.2744013129,-65.4154864755,-65.2774031248,-65.2233705094,-65.3774635239,-65.6056012337,-65.1933523897,-65.5565716382,-65.3484460082,-65.2293741333,-65.3454441962,-65.2453837972,-65.1893499737,-65.2283735293,-65.0982950106,-65.5325571424,-65.2313753413,-65.3734611079,-65.5075420426,-65.469519091,-65.2854079568,-65.5505680142,-65.2904109767,131.6496712,131.424678598,131.613672383,131.476676888,131.468677151,131.32668182,131.432678335,131.327681787,131.361680669,131.227685075,131.450677743,131.440678072,131.476676888,131.369680406,131.498676165,131.405679223,131.414678927,131.442678006,131.328681754,131.407679157,131.226685108,131.506675902,131.403679288,131.292682938,131.469677118,131.325681853,131.119688626,131.532675047,131.359680735,131.462677348,131.41367896,131.498676165,116.55,116.538,116.544,116.479,116.45,116.519,116.477,116.533,116.527,116.54,116.55,116.504,116.479,116.551,116.609,116.481,116.606,116.528,116.507,116.533,116.53,116.462,116.493,116.467,116.588,116.508,116.594,116.569,116.585,116.503,116.604,116.498
FLQS30QXGRWV,-65.9691748473,-65.7942221202,-65.933184572,-65.6502610191,-65.5592856011,-65.7252407593,-65.6522604789,-65.727240219,-65.727240219,-65.6992477827,-65.880198889,-65.7002475126,-65.6502610191,-65.7942221202,-66.0281589095,-65.6542599386,-65.9731737667,-65.7692288735,-65.6582588581,-65.7722280631,-65.6642572373,-65.6462620997,-65.6902502139,-65.5192964063,-65.9571780888,-65.6882507542,-65.8322118553,-65.9291856525,-65.8562053721,-65.7102448113,-65.9751732265,-65.6802529152,131.437997307,131.21781304,131.402967992,131.262850731,131.21380969,131.07769578,131.266854082,131.079697455,131.112725095,130.977612022,131.239831467,131.227821416,131.262850731,131.115727607,131.290874183,131.15175776,131.200798801,131.228822254,131.078696617,131.226820578,131.01564385,131.255844868,131.15175776,131.046669815,131.258847381,131.115727607,130.868520726,131.326904336,131.188788751,131.253843193,131.241833142,131.331908524,116.524,116.502,116.518,116.444,116.421,116.502,116.444,116.503,116.497,116.511,116.528,116.467,116.444,116.52,116.571,116.464,116.567,116.491,116.479,116.493,116.492,116.444,116.477,116.436,116.552,116.483,116.576,116.53,116.529,116.466,116.561,116.442
FLQS30QPGRWV,-65.8409781527,-65.7009058664,-65.8079611138,-65.5568315148,-65.4277649082,-65.5978526844,-65.5268160249,-65.6358723049,-65.6358723049,-65.5698382271,-65.7449285849,-65.5748408088,-65.5568315148,-65.6678888275,-65.9730463083,-65.5258155086,-65.844980218,-65.6458774682,-65.5598330638,-65.6458774682,-65.5418237699,-65.5188118943,-65.5618340965,-65.3917463203,-65.8669915772,-65.5608335801,-65.6698898602,-65.8409781527,-65.723917742,-65.5768418414,-65.847981767,-65.5408232535,131.40252101,131.211524613,131.366521689,131.225524349,131.219524462,131.077527141,131.22652433,131.07652716,131.108526556,130.974529084,131.205524726,131.187525066,131.225524349,131.118526368,131.287523179,131.154525689,131.167525443,131.187525066,131.080527085,131.185525104,130.976529047,131.256523764,131.15552567,131.038527877,131.221524425,131.117526387,130.869531065,131.325522463,131.150525764,131.255523783,131.204524745,131.293523066,116.589,116.574,116.584,116.521,116.477,116.561,116.51,116.574,116.569,116.57,116.59,116.534,116.521,116.579,116.655,116.522,116.632,116.559,116.547,116.559,116.559,116.502,116.535,116.496,116.63,116.541,116.623,116.603,116.592,116.523,116.626,116.504
FLQS30QMGRWV,-65.8319004458,-65.6878306333,-65.7948825079,-65.5497637296,-65.4207011893,-65.584780698,-65.5167477309,-65.6207981511,-65.6217986359,-65.5567671233,-65.7428572978,-65.5597685777,-65.5497637296,-65.6568156042,-65.9279469875,-65.5167477309,-65.8449067484,-65.6308029992,-65.5497637296,-65.6728233612,-65.5647710018,-65.5187487006,-65.5537656689,-65.3806817969,-65.8559120813,-65.5507642145,-65.6558151194,-65.8339014155,-65.7618665092,-65.6127942726,-65.8379033547,-65.5777773043,131.43038857,131.253330119,131.399378333,131.263333421,131.261332761,131.116284877,131.220319221,131.116284877,131.154297425,131.020253174,131.239325495,131.229322193,131.263333421,131.156298086,131.282339696,131.194310635,131.195310965,131.232323184,131.117285207,131.226321202,131.010249872,131.294343658,131.192309974,131.0872753,131.21531757,131.157298416,130.914218169,131.360365454,131.139292472,131.250329128,131.199312286,131.284340356,116.467,116.448,116.46,116.398,116.353,116.436,116.394,116.448,116.442,116.443,116.47,116.407,116.398,116.454,116.526,116.398,116.513,116.432,116.423,116.447,116.447,116.381,116.412,116.369,116.513,116.417,116.496,116.48,116.493,116.422,116.509,116.404
FLQS30Q9GRWY,-65.8717691624,-65.7317760287,-65.836770879,-65.5907829441,-65.4637891728,-65.6277811294,-65.5567846116,-65.65977956,-65.6617794619,-65.592782846,-65.7767738217,-65.5977826008,-65.5907829441,-65.6967777453,-65.9317662197,-65.5547847097,-65.8727691134,-65.6667792167,-65.5937827969,-65.6647793148,-65.5637842683,-65.5547847097,-65.591782895,-65.4257910365,-65.8917681815,-65.5907829441,-65.6957777944,-65.8287712714,-65.7897731841,-65.6107819632,-65.8777688682,-65.6077821103,131.350495101,131.166563023,131.312509129,131.175559701,131.168562285,131.032612488,131.175559701,131.030613227,131.067599568,130.933649033,131.152568191,131.143571514,131.175559701,131.070598461,131.242534968,131.103586279,131.114582219,131.146570406,131.033612119,131.144571144,130.932649403,131.20954715,131.103586279,130.962638328,131.173560439,131.030613227,130.826688532,131.278521679,131.106585172,131.1625645,131.154567453,131.19755158,116.491,116.474,116.486,116.423,116.381,116.461,116.412,116.473,116.467,116.467,116.493,116.432,116.423,116.479,116.531,116.424,116.533,116.455,116.45,116.455,116.457,116.405,116.436,116.403,116.529,116.449,116.521,116.489,116.505,116.433,116.527,116.426
FLQS30Q9GRWV,-65.9900697684,-65.8439079257,-65.9229954981,-65.7007494085,-65.5796152786,-65.7127627106,-65.6386806808,-65.742795966,-65.7417948575,-65.6747205872,-65.8579234448,-65.7107604936,-65.7007494085,-65.7808380894,-66.0451307365,-65.6366784637,-65.9570331875,-65.7848425235,-65.6727183702,-65.7848425235,-65.6476906574,-65.6667117191,-65.6737194787,-65.5405720466,-65.9760542492,-65.6737194787,-65.7778347639,-65.9410154513,-65.9029733279,-65.7287804468,-65.9920719854,-65.6937416489,131.316847596,131.093839364,131.277846157,131.140841099,131.095839438,130.95583427,131.098839549,130.960834454,131.002836005,130.905832424,131.116840213,131.0758387,131.140841099,130.991835599,131.164841985,131.027836928,131.080838884,131.111840029,130.996835783,131.111840029,130.899832202,131.131840767,131.025836854,130.92983331,131.141841136,130.989835525,130.795828363,131.203843425,131.028836964,131.13084073,131.081838921,131.167842096,116.627,116.615,116.611,116.557,116.523,116.594,116.543,116.603,116.596,116.589,116.616,116.572,116.557,116.611,116.673,116.555,116.657,116.592,116.573,116.592,116.581,116.547,116.568,116.538,116.653,116.574,116.645,116.63,116.647,116.569,116.669,116.55
FLQS30Q3GRWV,-66.2426666821,-66.1026335637,-66.2426666821,-66.0006094345,-65.8745796279,-66.0026099076,-65.9315931119,-66.0316167679,-66.0306165313,-66.0046103808,-66.1886539079,-66.0126122733,-66.0006094345,-66.1036338002,-66.3396896285,-65.9305928753,-66.2786751983,-66.1176371121,-66.0006094345,-66.0736267034,-66.0156129829,-65.9686018646,-65.999609198,-65.8355704021,-66.2966794564,-65.9986089614,-66.065624811,-66.2366652628,-66.1986562735,-66.0516214991,-66.2806756714,-65.9896068324,131.341861368,131.165911121,131.310870132,131.131920732,131.170909707,131.028949848,131.132920449,131.029949566,131.066939106,130.931977268,131.147916209,131.141917905,131.131920732,131.068938541,131.23689105,131.103928647,131.111926385,131.147916209,130.988961156,131.14391734,130.89398801,131.206899531,131.10292893,131.001957481,131.126922145,131.069938258,130.826007233,131.271881156,131.097930343,131.160912534,131.110926668,131.240889919,116.712,116.694,116.718,116.665,116.614,116.683,116.64,116.694,116.687,116.701,116.727,116.667,116.665,116.712,116.764,116.645,116.765,116.703,116.69,116.688,116.712,116.641,116.67,116.63,116.769,116.675,116.741,116.722,116.74,116.677,116.766,116.642
FLQS30Q2GRWV,-65.8965715725,-65.7544884062,-65.8635522451,-65.6094034829,-65.4843302732,-65.64942691,-65.5803864983,-65.6924520942,-65.6924520942,-65.6274140251,-65.8055182758,-65.6294151965,-65.6094034829,-65.7234702502,-65.9956295546,-65.5813870839,-65.9035756722,-65.7354772783,-65.6144064113,-65.7344766926,-65.5943946977,-65.5713812272,-65.6164075827,-65.441305089,-65.9235873858,-65.615406997,-65.7264720072,-65.8975721581,-65.8605504881,-65.6324169535,-65.9015745009,-65.5973964548,131.406493591,131.227416603,131.409494881,131.231418324,131.222414453,131.088356819,131.231418324,131.089357249,131.124372303,130.986312949,131.244423915,131.201405421,131.231418324,131.166390367,131.29544585,131.159387356,131.209408861,131.204406711,131.086355959,131.19840413,131.023328863,131.263432087,131.158386926,131.056343056,131.229417463,131.123371873,130.913281552,131.334462624,131.156386066,131.301448431,131.205407141,131.29544585,116.526,116.508,116.514,116.457,116.415,116.496,116.447,116.511,116.504,116.506,116.523,116.469,116.457,116.508,116.58,116.459,116.563,116.505,116.484,116.506,116.488,116.438,116.472,116.429,116.567,116.478,116.553,116.539,116.557,116.452,116.563,116.441
