SN	Distance_X_LOGO_Earphone_LD1	Distance_X_LOGO_Earphone_LD2	Distance_X_LOGO_Earphone_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Earphone_LD1	Distance_Y_LOGO_Earphone_LD2	Distance_Y_LOGO_Earphone_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Earphone_LD1	Angle_Earphone_LD2	Angle_Earphone_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS2SV5HFM2____	0.150	0.155	0.157	0.154	0.155	0.156	0.154	0.153	0.156	0.155	0.155	0.153	0.154	0.154	0.154	0.154	0.154	0.156	0.154	0.157	0.154	0.155	0.154	0.156	0.154	0.153	0.156	0.154	0.154	0.155	0.153	0.157	-0.029	-0.023	0.015	-0.023	0.059	-0.055	0.085	0.049	0.015	0.014	0.045	0.085	0.092	0.084	0.048	0.014	-0.065	0.126	-0.066	0.087	0.051	0.017	0.016	0.017	-0.065	0.054	-0.024	0.015	-0.065	0.014	0.044	0.018	-0.128	-0.131	-0.135	-0.130	-0.137	-0.128	-0.139	-0.136	-0.134	-0.134	-0.136	-0.139	-0.140	-0.139	-0.136	-0.133	-0.126	-0.143	-0.127	-0.140	-0.136	-0.134	-0.133	-0.134	-0.126	-0.136	-0.130	-0.133	-0.126	-0.133	-0.136	-0.135	0.155	0.020	-0.134	2016_7_15_8_59_03
F2LS3GSUHFM5____	-0.211	-0.206	-0.289	-0.252	-0.215	-0.216	-0.217	-0.215	-0.214	-0.250	-0.176	-0.251	-0.329	-0.214	-0.210	-0.250	-0.214	-0.252	-0.249	-0.251	-0.203	-0.249	-0.251	-0.216	-0.214	-0.215	-0.249	-0.214	-0.214	-0.249	-0.214	-0.189	-0.067	-0.026	-0.138	-0.141	0.012	-0.066	-0.021	-0.070	-0.070	-0.072	-0.001	-0.066	-0.142	-0.066	-0.026	-0.103	-0.175	0.003	-0.033	-0.072	0.022	-0.067	-0.103	-0.098	-0.175	-0.071	-0.034	-0.039	-0.175	-0.103	-0.067	-0.206	-0.025	-0.030	0.011	-0.002	-0.030	-0.024	-0.026	-0.024	-0.023	-0.010	-0.044	-0.010	0.028	-0.024	-0.029	-0.006	-0.015	-0.015	-0.013	-0.009	-0.035	-0.009	-0.006	-0.020	-0.015	-0.024	-0.013	-0.026	-0.015	-0.007	-0.023	-0.022	-0.230	-0.077	-0.017	2016_7_15_8_59_10
F2LS3GZKHFM5____	-0.482	-0.483	-0.485	-0.484	-0.486	-0.486	-0.488	-0.485	-0.493	-0.486	-0.483	-0.484	-0.494	-0.486	-0.488	-0.426	-0.485	-0.485	-0.542	-0.482	-0.475	-0.495	-0.488	-0.487	-0.485	-0.495	-0.482	-0.473	-0.485	-0.485	-0.495	-0.493	-0.117	-0.117	-0.111	-0.143	-0.110	-0.108	-0.072	-0.111	0.007	-0.115	-0.151	-0.114	-0.025	-0.110	-0.115	-0.024	-0.110	-0.147	-0.096	-0.122	-0.021	0.008	-0.045	-0.080	-0.110	0.037	-0.177	-0.096	-0.110	-0.108	0.042	-0.096	-0.021	-0.021	-0.021	-0.018	-0.021	-0.021	-0.023	-0.021	-0.028	-0.020	-0.019	-0.021	-0.025	-0.021	-0.019	-0.052	-0.021	-0.018	0.015	-0.021	-0.032	-0.026	-0.025	-0.022	-0.021	-0.029	-0.016	-0.015	-0.021	-0.021	-0.029	-0.019	-0.486	-0.087	-0.022	2016_7_15_8_59_14
F2LS3HTSHFM5____	0.020	0.018	0.018	0.023	0.020	0.020	0.020	0.019	0.019	0.018	-0.018	0.021	0.019	0.027	0.020	0.058	0.020	0.018	0.025	0.022	0.019	0.017	0.021	0.020	0.020	0.020	0.022	0.020	0.020	0.019	0.071	0.019	-0.006	-0.041	-0.012	-0.012	-0.005	-0.115	0.018	0.060	-0.040	-0.014	-0.084	-0.045	-0.044	-0.014	-0.047	-0.011	-0.012	0.057	-0.113	-0.009	-0.046	0.064	-0.009	-0.044	-0.012	-0.042	-0.077	-0.040	-0.012	0.025	0.095	0.022	-0.123	-0.120	-0.122	-0.124	-0.123	-0.114	-0.126	-0.128	-0.121	-0.122	-0.102	-0.121	-0.120	-0.107	-0.120	-0.139	-0.124	-0.128	-0.116	-0.124	-0.120	-0.128	-0.123	-0.121	-0.124	-0.121	-0.118	-0.121	-0.124	-0.126	-0.152	-0.126	0.022	-0.018	-0.123	2016_7_15_8_59_19
F2LS3J5VHFM5____	0.018	0.015	0.016	0.019	0.016	0.016	0.016	0.051	0.015	0.051	-0.021	0.017	0.017	0.059	0.052	0.053	0.015	0.051	0.051	0.017	0.016	0.049	0.016	0.016	0.015	0.017	0.053	0.017	0.015	0.017	0.018	0.050	-0.064	-0.064	-0.059	-0.031	-0.027	-0.136	-0.063	-0.026	-0.064	-0.038	-0.136	-0.030	-0.095	-0.066	-0.064	-0.057	-0.066	-0.030	-0.061	-0.061	-0.024	-0.025	-0.027	-0.096	-0.066	-0.059	-0.126	-0.091	-0.066	-0.060	-0.135	-0.032	-0.137	-0.137	-0.137	-0.140	-0.139	-0.130	-0.137	-0.153	-0.137	-0.153	-0.116	-0.140	-0.135	-0.138	-0.151	-0.152	-0.137	-0.153	-0.151	-0.138	-0.140	-0.153	-0.139	-0.134	-0.137	-0.138	-0.146	-0.135	-0.137	-0.137	-0.131	-0.153	0.026	-0.064	-0.140	2016_7_15_8_59_23
F2LS3JECHFM5____	-0.130	-0.131	-0.130	-0.131	-0.131	-0.131	-0.131	-0.163	-0.130	-0.130	-0.130	-0.131	-0.132	-0.178	-0.130	-0.131	-0.131	-0.128	-0.077	-0.129	-0.131	-0.128	-0.179	-0.130	-0.131	-0.180	-0.148	-0.130	-0.131	-0.131	-0.129	-0.164	0.010	0.076	-0.000	0.008	0.105	0.068	0.005	0.006	0.007	0.036	0.037	0.006	0.070	-0.088	0.038	0.070	0.071	0.042	0.033	0.010	-0.002	-0.026	0.033	0.008	0.071	-0.018	0.038	0.068	0.071	0.033	0.006	0.040	0.255	0.250	0.256	0.256	0.248	0.251	0.256	0.269	0.255	0.253	0.253	0.256	0.251	0.282	0.253	0.250	0.250	0.251	0.220	0.255	0.257	0.257	0.285	0.255	0.250	0.278	0.248	0.251	0.250	0.253	0.255	0.266	-0.136	0.029	0.255	2016_7_15_8_59_29
F2LS3JHAHFM5____	0.149	0.194	0.155	0.156	0.152	0.152	0.153	0.152	0.192	0.154	0.151	0.152	0.150	0.148	0.154	0.118	0.156	0.118	0.153	0.150	0.153	0.151	0.153	0.118	0.156	0.153	0.152	0.151	0.156	0.150	0.151	0.190	-0.018	-0.008	0.094	-0.017	0.025	0.022	0.027	-0.007	0.031	-0.007	0.067	0.058	-0.052	-0.007	0.060	0.055	0.000	0.027	0.089	-0.009	0.021	-0.016	0.091	-0.078	0.000	0.063	0.054	-0.014	0.000	-0.015	-0.019	0.025	-0.272	-0.290	-0.283	-0.274	-0.276	-0.276	-0.277	-0.273	-0.293	-0.274	-0.279	-0.278	-0.269	-0.272	-0.280	-0.265	-0.275	-0.263	-0.282	-0.272	-0.276	-0.272	-0.282	-0.254	-0.275	-0.279	-0.278	-0.273	-0.275	-0.272	-0.272	-0.291	0.153	0.017	-0.276	2016_7_15_8_59_40
F2LS3JJ8HFM5____	-0.495	-0.495	-0.496	-0.495	-0.496	-0.496	-0.493	-0.494	-0.495	-0.494	-0.495	-0.496	-0.496	-0.496	-0.501	-0.533	-0.496	-0.496	-0.495	-0.495	-0.492	-0.494	-0.497	-0.495	-0.496	-0.495	-0.496	-0.496	-0.496	-0.496	-0.529	-0.496	-0.129	-0.202	-0.123	-0.124	-0.126	-0.156	-0.126	-0.066	-0.063	-0.120	-0.090	-0.081	-0.123	-0.151	-0.110	-0.098	0.004	-0.026	-0.156	-0.026	-0.120	-0.199	-0.083	-0.097	0.004	-0.064	-0.122	-0.068	0.004	-0.153	-0.088	-0.066	-0.046	-0.039	-0.046	-0.046	-0.046	-0.043	-0.047	-0.051	-0.051	-0.047	-0.049	-0.049	-0.046	-0.044	-0.045	-0.033	-0.056	-0.054	-0.043	-0.054	-0.047	-0.040	-0.049	-0.049	-0.056	-0.052	-0.046	-0.050	-0.056	-0.044	-0.035	-0.050	-0.498	-0.098	-0.047	2016_7_15_8_59_44
F2LS3JTDHFM5____	0.016	0.020	0.018	0.021	0.019	0.001	-0.014	0.021	0.020	0.020	0.020	0.021	0.020	-0.019	0.022	0.019	0.020	0.021	0.018	0.021	0.021	0.021	0.017	0.017	0.020	0.019	0.018	0.018	0.020	0.018	0.020	0.018	-0.031	-0.031	0.052	0.017	-0.017	0.020	0.058	0.049	0.054	-0.019	0.020	0.018	0.054	0.015	0.105	0.054	-0.016	0.048	0.056	0.094	0.016	-0.098	0.056	0.095	-0.016	-0.018	0.053	0.100	-0.016	0.022	0.018	0.018	-0.161	-0.163	-0.169	-0.167	-0.164	-0.143	-0.156	-0.170	-0.170	-0.164	-0.168	-0.168	-0.170	-0.151	-0.175	-0.170	-0.164	-0.170	-0.170	-0.174	-0.167	-0.157	-0.169	-0.172	-0.164	-0.163	-0.169	-0.173	-0.164	-0.166	-0.167	-0.166	0.017	0.026	-0.166	2016_7_15_8_59_48
F2LS3KP7HFM5____	-0.005	-0.003	-0.049	0.001	-0.047	-0.004	-0.001	0.009	0.023	0.043	-0.002	-0.004	-0.074	-0.048	0.003	0.040	0.000	-0.013	-0.045	0.041	0.035	0.044	-0.116	0.001	0.000	0.021	0.040	0.041	0.000	0.001	-0.013	0.003	0.009	0.047	-0.025	0.061	-0.053	0.049	0.093	0.090	0.013	0.061	0.089	0.049	0.119	-0.042	0.105	0.121	0.090	0.024	0.023	0.046	0.063	0.117	-0.015	0.062	0.090	-0.037	0.116	0.190	0.090	0.087	-0.047	0.099	0.290	0.285	0.310	0.283	0.311	0.286	0.281	0.278	0.278	0.252	0.281	0.286	0.308	0.311	0.278	0.262	0.281	0.291	0.305	0.268	0.270	0.261	0.336	0.283	0.281	0.283	0.262	0.256	0.281	0.281	0.298	0.279	-0.002	0.056	0.284	2016_7_15_8_59_52
