SN	Distance_X_LOGO_MainBoard_RD1	Distance_X_LOGO_MainBoard_RD2	Distance_X_LOGO_MainBoard_RD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RD1	Distance_Y_LOGO_MainBoard_RD2	Distance_Y_LOGO_MainBoard_RD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RD1	Angle_MainBoard_RD2	Angle_MainBoard_RD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS2SV5HFM2____	-0.059	-0.059	-0.058	-0.017	-0.060	-0.019	-0.062	-0.019	-0.019	-0.019	-0.060	-0.059	-0.018	-0.060	-0.059	-0.060	-0.059	-0.028	-0.059	-0.105	-0.060	-0.028	-0.059	-0.020	-0.058	-0.058	-0.105	-0.058	-0.060	-0.105	-0.058	-0.028	0.079	0.118	0.120	0.049	0.117	0.119	0.087	0.084	0.119	0.084	0.117	0.122	0.120	0.118	0.085	0.118	0.122	0.089	0.085	0.074	0.118	0.120	0.085	0.084	0.120	0.120	0.074	0.120	0.117	0.074	0.082	0.089	-0.122	-0.132	-0.133	-0.096	-0.133	-0.116	-0.125	-0.107	-0.116	-0.107	-0.133	-0.134	-0.116	-0.133	-0.123	-0.133	-0.134	-0.112	-0.123	-0.139	-0.133	-0.121	-0.123	-0.107	-0.133	-0.133	-0.139	-0.133	-0.133	-0.139	-0.122	-0.112	-0.052	0.101	-0.125	2016_7_15_10_11_20
F2LS3GSUHFM5____	0.209	0.209	0.207	0.208	0.207	0.246	0.252	0.206	0.246	0.206	0.207	0.247	0.208	0.208	0.167	0.208	0.247	0.250	0.167	0.207	0.208	0.249	0.167	0.206	0.207	0.207	0.207	0.207	0.207	0.207	0.206	0.250	-0.121	-0.118	-0.085	-0.081	-0.082	-0.090	-0.122	-0.084	-0.090	-0.084	-0.082	-0.086	-0.083	-0.084	-0.121	-0.084	-0.086	-0.082	-0.121	-0.083	-0.084	-0.087	-0.121	-0.118	-0.085	-0.085	-0.083	-0.085	-0.082	-0.083	-0.085	-0.082	0.729	0.728	0.718	0.717	0.718	0.735	0.747	0.718	0.735	0.718	0.718	0.735	0.718	0.718	0.712	0.718	0.735	0.736	0.712	0.717	0.718	0.736	0.712	0.727	0.718	0.718	0.717	0.718	0.718	0.717	0.717	0.736	0.214	-0.092	0.723	2016_7_15_10_11_25
F2LS3GZKHFM5____	0.193	0.192	0.189	0.191	0.150	0.146	0.197	0.191	0.146	0.191	0.150	0.194	0.187	0.149	0.230	0.149	0.194	0.190	0.230	0.152	0.149	0.189	0.230	0.201	0.189	0.189	0.152	0.189	0.150	0.152	0.145	0.190	-0.400	-0.363	-0.362	-0.361	-0.367	-0.414	-0.365	-0.367	-0.414	-0.367	-0.367	-0.364	-0.366	-0.407	-0.358	-0.407	-0.364	-0.363	-0.358	-0.367	-0.407	-0.364	-0.358	-0.363	-0.362	-0.362	-0.367	-0.362	-0.367	-0.367	-0.412	-0.363	-0.456	-0.466	-0.467	-0.467	-0.482	-0.471	-0.463	-0.465	-0.471	-0.465	-0.482	-0.466	-0.467	-0.472	-0.452	-0.472	-0.466	-0.467	-0.452	-0.481	-0.472	-0.468	-0.452	-0.463	-0.467	-0.467	-0.481	-0.467	-0.482	-0.481	-0.472	-0.467	0.179	-0.374	-0.468	2016_7_15_10_59_52
F2LS3HTSHFM5____	0.064	0.063	0.068	0.063	0.023	0.022	0.064	0.065	0.022	0.065	0.023	0.065	0.064	0.065	0.065	0.065	0.065	0.021	0.065	0.064	0.065	0.072	0.065	0.110	0.068	0.068	0.064	0.068	0.023	0.064	0.065	0.021	0.029	0.064	0.067	0.068	0.027	0.027	0.068	0.067	0.027	0.067	0.027	0.108	0.064	0.108	0.110	0.108	0.108	0.063	0.110	0.103	0.108	0.108	0.110	0.110	0.067	0.067	0.103	0.067	0.027	0.103	0.102	0.063	-0.674	-0.684	-0.683	-0.685	-0.691	-0.691	-0.685	-0.684	-0.691	-0.684	-0.691	-0.696	-0.684	-0.696	-0.696	-0.696	-0.696	-0.702	-0.696	-0.695	-0.696	-0.693	-0.696	-0.678	-0.683	-0.683	-0.695	-0.683	-0.691	-0.695	-0.694	-0.702	0.057	0.077	-0.690	2016_7_15_10_11_34
F2LS3J5VHFM5____	0.055	0.056	0.057	0.054	0.013	0.056	0.051	0.057	0.056	0.057	0.013	0.059	0.055	0.057	0.057	0.057	0.059	0.012	0.057	0.052	0.057	0.012	0.057	0.053	0.057	0.057	0.052	0.057	0.013	0.052	0.052	0.012	0.054	0.088	0.129	0.127	0.045	0.089	0.089	0.087	0.089	0.087	0.045	0.091	0.086	0.085	0.088	0.085	0.091	0.044	0.088	0.125	0.085	0.085	0.088	0.084	0.129	0.129	0.125	0.129	0.045	0.125	0.124	0.044	-0.110	-0.120	-0.131	-0.132	-0.125	-0.120	-0.122	-0.119	-0.120	-0.119	-0.125	-0.120	-0.120	-0.119	-0.119	-0.119	-0.120	-0.126	-0.119	-0.132	-0.119	-0.137	-0.119	-0.120	-0.131	-0.131	-0.132	-0.131	-0.125	-0.132	-0.132	-0.126	0.048	0.091	-0.124	2016_7_15_10_11_43
F2LS3JECHFM5____	0.077	0.078	0.078	0.077	0.077	0.076	0.077	0.076	0.076	0.076	0.077	0.076	0.076	0.075	0.077	0.075	0.076	0.039	0.077	0.114	0.075	0.083	0.077	0.117	0.078	0.078	0.114	0.078	0.077	0.114	0.077	0.039	0.026	-0.005	-0.006	0.033	-0.005	-0.002	0.001	0.031	-0.002	0.031	-0.005	-0.003	0.029	0.028	0.031	0.028	-0.003	0.030	0.031	0.038	0.028	0.034	0.031	0.036	-0.006	-0.006	0.038	-0.006	-0.005	0.038	-0.002	0.030	-0.556	-0.547	-0.547	-0.558	-0.546	-0.548	-0.548	-0.557	-0.548	-0.557	-0.546	-0.548	-0.557	-0.557	-0.557	-0.557	-0.548	-0.572	-0.557	-0.544	-0.557	-0.555	-0.557	-0.542	-0.547	-0.547	-0.544	-0.547	-0.546	-0.544	-0.549	-0.572	0.079	0.016	-0.552	2016_7_15_10_11_51
F2LS3KP7HFM5____	-0.304	-0.349	-0.298	-0.300	-0.303	-0.350	-0.302	-0.252	-0.350	-0.252	-0.303	-0.247	-0.299	-0.299	-0.252	-0.299	-0.247	-0.203	-0.252	-0.301	-0.299	-0.297	-0.252	-0.299	-0.298	-0.298	-0.301	-0.298	-0.303	-0.301	-0.302	-0.203	0.034	-0.002	0.008	0.008	0.010	0.006	0.042	0.040	0.006	0.040	0.010	0.001	0.041	0.002	0.004	0.002	0.001	0.002	0.004	0.006	0.002	0.011	0.004	0.008	0.008	0.008	0.006	0.008	0.010	0.006	0.007	0.002	-0.072	-0.081	-0.063	-0.063	-0.065	-0.083	-0.074	-0.052	-0.083	-0.052	-0.065	-0.039	-0.072	-0.061	-0.042	-0.061	-0.039	-0.021	-0.042	-0.063	-0.061	-0.063	-0.042	-0.063	-0.063	-0.063	-0.063	-0.063	-0.065	-0.063	-0.063	-0.021	-0.288	0.011	-0.059	2016_7_15_10_11_54
F2LS3JTDHFM5____	0.280	0.276	0.277	0.277	0.235	0.318	0.235	0.276	0.318	0.276	0.235	0.277	0.281	0.278	0.279	0.278	0.277	0.311	0.279	0.230	0.278	0.236	0.279	0.275	0.277	0.277	0.230	0.277	0.235	0.230	0.230	0.311	0.036	-0.044	-0.049	-0.012	-0.015	0.031	-0.057	-0.011	0.031	-0.011	-0.015	-0.012	-0.049	-0.011	-0.013	-0.011	-0.012	-0.008	-0.013	-0.059	-0.011	-0.016	-0.013	-0.011	-0.049	-0.049	-0.059	-0.049	-0.015	-0.059	-0.060	-0.008	-0.574	-0.553	-0.551	-0.562	-0.578	-0.557	-0.566	-0.562	-0.557	-0.562	-0.578	-0.562	-0.549	-0.562	-0.561	-0.562	-0.562	-0.548	-0.561	-0.568	-0.562	-0.578	-0.561	-0.562	-0.551	-0.551	-0.568	-0.551	-0.578	-0.568	-0.568	-0.548	0.270	-0.022	-0.562	2016_7_15_10_12_01
F2LS3JJ8HFM5____	-0.078	-0.078	-0.079	-0.078	-0.078	-0.078	-0.079	-0.078	-0.078	-0.078	-0.078	-0.079	-0.079	-0.081	-0.080	-0.081	-0.079	-0.075	-0.080	-0.079	-0.081	-0.078	-0.080	-0.078	-0.079	-0.079	-0.079	-0.079	-0.078	-0.079	-0.077	-0.075	-0.232	-0.232	-0.234	-0.194	-0.200	-0.231	-0.201	-0.200	-0.231	-0.200	-0.200	-0.236	-0.201	-0.235	-0.202	-0.235	-0.236	-0.170	-0.202	-0.197	-0.235	-0.233	-0.202	-0.200	-0.234	-0.234	-0.197	-0.234	-0.200	-0.197	-0.197	-0.170	0.480	0.480	0.480	0.469	0.470	0.479	0.470	0.471	0.479	0.471	0.470	0.480	0.471	0.479	0.470	0.479	0.480	0.462	0.470	0.469	0.479	0.480	0.470	0.470	0.480	0.480	0.469	0.480	0.470	0.469	0.470	0.462	-0.079	-0.213	0.474	2016_7_15_10_12_05
F2LS3JHAHFM5____	-0.228	-0.181	-0.185	-0.180	-0.182	-0.183	-0.134	-0.182	-0.183	-0.182	-0.182	-0.178	-0.141	-0.180	-0.144	-0.180	-0.178	-0.178	-0.144	-0.225	-0.180	-0.177	-0.144	-0.182	-0.185	-0.185	-0.225	-0.185	-0.182	-0.225	-0.182	-0.178	0.023	0.065	0.023	0.028	0.027	0.064	0.111	0.067	0.064	0.067	0.027	0.068	0.071	0.025	0.067	0.025	0.068	0.026	0.067	0.067	0.025	0.028	0.067	0.070	0.023	0.023	0.067	0.023	0.027	0.067	0.027	0.026	-0.199	-0.191	-0.181	-0.180	-0.180	-0.192	-0.185	-0.192	-0.192	-0.192	-0.180	-0.191	-0.176	-0.180	-0.176	-0.180	-0.191	-0.179	-0.176	-0.210	-0.180	-0.179	-0.176	-0.193	-0.181	-0.181	-0.210	-0.181	-0.180	-0.210	-0.181	-0.179	-0.180	0.048	-0.186	2016_7_15_10_12_09
