SN	Distance_X_LOGO_Button_RU1	Distance_X_LOGO_Button_RU2	Distance_X_LOGO_Button_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_RU1	Distance_Y_LOGO_Button_RU2	Distance_Y_LOGO_Button_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_RU1	Angle_Button_RU2	Angle_Button_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30QXGRWV	0.0038718611	0.0018174987	-0.0321658158	-0.0321658158	0.0058126546	0.0088562521	-0.0321442861	-0.0321442861	-0.000165277500003	0.0038713229	-0.0341695835	-0.0321658158	-0.035166354	-0.0351647393	0.000853560899998	-0.0321658158	-0.0301615099	0.00285409909999	-0.0321658158	-0.0261453626	-0.0301647393	0.00587078460001	0.0028535609	-0.0341647393	0.00285409909999	0.0088562521	-0.000166892300001	0.0058567903	-0.037184116	0.0058126546	0.0068169605	-0.000166892300001	0.057855867	0.058856303	0.060841024	0.060841024	0.060824872	0.059839278	0.062826181	0.062826181	0.059826181	0.059811339	0.059809156	0.060841024	0.060841024	0.059825308	0.057856303	0.060841024	0.061841024	0.058841461	0.060841024	0.020825308	0.061825308	0.060810466	0.059841461	0.060840587	0.058809592	0.059839278	0.058856303	0.061857176	0.057824435	0.060824872	0.060825745	0.058856303	-0.013	-0.014	-0.027	-0.027	-0.012	-0.011	-0.027	-0.027	-0.014	-0.013	-0.028	-0.027	-0.028	-0.028	-0.014	-0.027	-0.026	-0.013	-0.027	-0.021	-0.026	-0.012	-0.014	-0.028	-0.014	-0.011	-0.015	-0.013	-0.029	-0.012	-0.012	-0.015
FLQS30QPGRWV	-0.0746936189	-0.0657075924	-0.1117028871	-0.1117028871	-0.0747087331	-0.0716916227	-0.0826933337	-0.0826933337	-0.1157033148	-0.0806882006	-0.0737038852	-0.1117028871	-0.0767038852	-0.0716973262	-0.0736926208	-0.1117028871	-0.0456978965	-0.0806936189	-0.1117028871	-0.1076980391	-0.0797031722	-0.0386882006	-0.0446939041	-0.0786984669	-0.0846986094	-0.0716916227	-0.0777044555	-0.0406933337	-0.0757081628	-0.0747087331	-0.0777033148	-0.0777044555	0.04469037	0.086702343	0.045679594	0.045679594	0.047669117	0.046679893	0.08368109	0.08368109	0.08668139	0.087671212	0.087670614	0.045679594	0.085691567	0.045669416	0.045689771	0.045679594	0.081691268	0.084691567	0.045679594	0.006669716	0.044669416	0.082670314	0.084691866	0.084691268	0.084670913	0.046679893	0.084702044	0.082701744	0.08568109	0.047669117	0.08668139	0.084702044	0.014	0.014	0.0	0.0	0.015	0.015	0.00700000000001	0.00700000000001	-0.006	0.00699999999998	0.00999999999999	0.0	0.00900000000001	0.015	0.015	0.0	0.021	0.00799999999998	0.0	0.005	0.013	0.025	0.022	0.00900000000001	0.006	0.015	0.00900000000001	0.024	0.01	0.015	0.00900000000001	0.00900000000001
FLQS30QMGRWV	0.0754357077	0.1154074425	0.1664261474	0.1664261474	0.1254086895	0.0804219907	0.1124361233	0.1124361233	0.1134199124	0.1174523343	0.1864311354	0.1664261474	0.1524178341	0.0734041172	0.0754224064	0.1664261474	0.1584240691	0.0774207437	0.1664261474	0.0794232377	0.1244261474	0.077435292	0.0284012075	0.0754057798	0.0724037015	0.0804219907	0.1634232377	0.1134373703	0.1163879062	0.1254086895	0.0763895689	0.1634232377	0.020940247	0.066950243	0.018931805	0.018931805	0.021924697	0.023932694	0.067935138	0.067935138	0.066934693	0.068927585	0.074928251	0.018931805	0.064942246	0.067935582	0.021940025	0.018931805	0.066942468	0.074944467	0.018931805	0.024925585	0.021924475	0.076928918	0.065942468	0.021932694	0.070928251	0.023932694	0.01893958	0.067950243	0.068934693	0.021924697	0.068934915	0.01893958	0.198	0.209	0.234	0.234	0.217	0.2	0.208	0.208	0.209	0.21	0.235	0.234	0.224	0.193	0.199	0.234	0.225	0.194	0.234	0.199	0.217	0.194	0.176	0.199	0.193	0.2	0.233	0.209	0.209	0.217	0.194	0.233
FLQS30Q9GRWY	0.0444817421	0.0493136693	0.0463724132	0.0463724132	0.0583120375	0.0454327888	0.0534327888	0.0534327888	0.0163724132	0.0484817421	0.0153658861	0.0463724132	0.0153724132	0.0553756767	0.0464327888	0.0463724132	0.017380572	0.0534327888	0.0463724132	0.0364197346	0.0153707814	0.0524833739	0.0504278935	0.0543773085	0.0553740449	0.0454327888	0.0453675178	0.0494229982	0.0603201964	0.0583120375	0.0583185646	0.0453675178	-0.035060871	-0.075060871	-0.032053625	-0.032053625	-0.072046983	-0.031054229	-0.070047386	-0.070047386	-0.072046983	-0.075039938	-0.072039536	-0.032053625	-0.072053625	-0.073047386	-0.03406067	-0.032053625	-0.07105443	-0.074053827	-0.032053625	0.00894436200002	-0.070047184	-0.073039938	-0.075053827	-0.073053827	-0.073040341	-0.031054229	-0.03406067	-0.073061073	-0.074046782	-0.072046983	-0.071047386	-0.03406067	-0.05	-0.045	-0.05	-0.05	-0.041	-0.05	-0.043	-0.043	-0.058	-0.044	-0.057	-0.05	-0.058	-0.042	-0.049	-0.05	-0.056	-0.043	-0.05	-0.058	-0.058	-0.043	-0.044	-0.043	-0.042	-0.05	-0.05	-0.045	-0.04	-0.041	-0.042	-0.05
FLQS30Q9GRWV	-0.1260270023	-0.1220375838	-0.1630344525	-0.1630344525	-0.1210383396	-0.1650305655	-0.1250261385	-0.1250261385	-0.1240344525	-0.1280220355	-0.1630349924	-0.1630344525	-0.1260345605	-0.1600382316	-0.1290304575	-0.1630344525	-0.1220290538	-0.1630303495	-0.1630344525	-0.1650304575	-0.1230300256	-0.1190216037	-0.1220303495	-0.1600341286	-0.0850299176	-0.1650305655	-0.1300347764	-0.1220299176	-0.1220377997	-0.1210383396	-0.1210379077	-0.1300347764	0.034540072	-0.00947205200001	0.035530373	0.035530373	0.034520674	0.031529834	0.034521482	0.034521482	0.034521482	0.03651313	-0.011501149	0.035530373	0.033530642	0.034521751	0.033539803	0.035530373	0.035530373	0.034530912	0.035530373	-0.012490911	0.033520404	-0.01050061	0.035530642	0.034530642	0.035512591	0.031529834	0.032539533	-0.00947178200002	0.034520943	0.034520674	0.033521213	0.032539533	-0.112	-0.107	-0.127	-0.127	-0.111	-0.127	-0.112	-0.112	-0.112	-0.114	-0.122	-0.127	-0.113	-0.126	-0.114	-0.127	-0.111	-0.127	-0.127	-0.123	-0.112	-0.106	-0.112	-0.126	-0.097	-0.127	-0.114	-0.108	-0.112	-0.111	-0.111	-0.114
FLQS30Q3GRWV	-0.1334261176	-0.1220688172	-0.0833471354	-0.0833471354	-0.0861703658	-0.0904486839	-0.1713057638	-0.1713057638	-0.0873320912	-0.134584082	-0.0803283301	-0.0833471354	-0.1311703658	-0.16618541	-0.093456206	-0.0833471354	-0.0893508965	-0.1334486839	-0.0833471354	-0.1323283301	-0.0514674892	-0.1734261176	-0.132452445	-0.167189171	-0.131320808	-0.0904486839	-0.0943057638	-0.1293245691	-0.123053773	-0.0861703658	-0.0891966932	-0.0943057638	-0.026010033	0.019982701	-0.027004347	-0.027004347	0.017994074	0.016988861	0.015993916	0.015993916	0.020993442	0.018998812	-0.029992658	-0.027004347	0.018988071	0.0179936	0.018982701	-0.027004347	0.018988229	0.018988071	-0.027004347	0.02300055	0.018994074	-0.028993448	0.018988071	-0.029004031	0.017999286	0.016988861	0.017982543	-0.029009875	0.019994074	0.017994074	0.0189936	0.017982543	-0.447	-0.447	-0.427	-0.427	-0.433	-0.435	-0.465	-0.465	-0.434	-0.452	-0.427	-0.427	-0.451	-0.464	-0.436	-0.427	-0.434	-0.451	-0.427	-0.452	-0.42	-0.462	-0.451	-0.459	-0.45	-0.435	-0.437	-0.445	-0.448	-0.433	-0.435	-0.437
FLQS30Q2GRWV	-0.1192681912	-0.1662702242	-0.1242687438	-0.1242687438	-0.1202695531	-0.0792679938	-0.1162679741	-0.1162679741	-0.1182687241	-0.1242674214	-0.1182688228	-0.1242687438	-0.1282689017	-0.1212687833	-0.1212688228	-0.1242687438	-0.1642685859	-0.1182680333	-0.1242687438	-0.1652687438	-0.1242686846	-0.1652681912	-0.1662689412	-0.1232687636	-0.1212695136	-0.0792679938	-0.168269711	-0.1172687438	-0.1642703031	-0.1202695531	-0.1712703031	-0.168269711	0.08681235	0.04481235	0.085803356	0.085803356	0.043793862	0.083802856	0.043795111	0.043795111	0.043795361	0.038785868	0.041785618	0.085803356	0.084803606	0.044795111	0.08481235	0.085803356	0.045803606	0.042803606	0.085803356	0.082794362	0.084794112	0.084785618	0.044803856	0.085802856	0.083786367	0.083802856	0.08581235	0.0868126	0.041794112	0.043793862	0.042795111	0.08581235	0.087	0.074	0.085	0.085	0.091	0.103	0.093	0.093	0.092	0.09	0.092	0.085	0.084	0.091	0.087	0.085	0.074	0.092	0.085	0.07	0.085	0.069	0.074	0.086	0.086	0.103	0.069	0.088	0.074	0.091	0.072	0.069
FLQS30PHGRWY	-0.0169948335	-0.0139830646	-0.0519877074	-0.0519877074	-0.0089830646	-0.0159912705	-0.0169910545	-0.0169910545	-0.0529872755	-0.0559950495	-0.0519869516	-0.0519877074	-0.0499871676	-0.0149869516	-0.0479913784	-0.0519877074	-0.0119878154	-0.0149910545	-0.0519877074	-0.0139910545	-0.0089873835	-0.0189946176	-0.0549909466	-0.0139870596	-0.0529870596	-0.0159912705	0.0300126165	-0.0159912705	-0.0109829567	-0.0089830646	-0.0099832806	0.0300126165	0.024964523	0.0259639	0.026956418	0.026956418	0.026949975	0.025957041	0.025949559	0.025949559	0.026949144	0.025943117	0.025941662	0.026956418	0.02595621	0.025949559	-0.0170361	0.026956418	0.025957457	0.025956626	0.026956418	0.025949975	0.024949767	0.025942701	0.026957041	0.025956834	0.023942701	0.025957041	0.0259639	0.025964523	0.026949144	0.026949975	0.025949144	0.0259639	-0.00200000000001	-0.000999999999976	-0.016	-0.016	0.00100000000003	-0.00100000000003	-0.00200000000001	-0.00200000000001	-0.016	-0.017	-0.016	-0.016	-0.016	-0.001	-0.00900000000001	-0.016	-0.000999999999976	-0.000999999999976	-0.016	-0.000999999999976	0.0	-0.00200000000001	-0.016	-0.001	-0.016	-0.00100000000003	0.015	-0.00199999999995	0.0	0.00100000000003	0.0	0.015
FLQS30NWGRWV	0.0833833482	0.0823611981	0.079368781	0.079368781	0.0783596017	0.0723751666	0.1273841464	0.1273841464	0.0773679828	0.0833829491	0.0673671846	0.079368781	0.0853685815	0.080366586	0.0823771621	0.079368781	0.0723679828	0.16038255	0.079368781	0.0753757653	0.1223781599	0.0773815522	0.078374568	0.1223673842	0.0403671846	0.0723751666	0.0823681824	0.0753743684	0.0813600008	0.0783596017	0.0763609986	0.0823681824	-0.004616849	-0.004616881	-0.004618013	-0.004618013	-0.005619145	-0.06361795	-0.006619145	-0.006619145	-0.00561908200001	-0.00362015200002	-0.067620278	-0.004618013	-0.00461795000001	-0.00461902000001	-0.064616881	-0.004618013	0.036383276	0.034383339	-0.004618013	-0.06261902	-0.067619177	-0.004620246	0.037383339	-0.00461798200001	-0.00162012000001	-0.06361795	-0.00561691199999	0.036384377	-0.00461911400001	-0.005619145	-0.00561908200001	-0.00561691199999	0.086	0.087	0.085	0.085	0.085	0.088	0.103	0.103	0.084	0.086	0.087	0.085	0.087	0.086	0.092	0.085	0.078	0.112	0.085	0.09	0.108	0.085	0.081	0.102	0.07	0.088	0.086	0.08	0.086	0.085	0.084	0.086
FLQS30MRGRWY	-0.1492181387	-0.1342571851	-0.096246029	-0.096246029	-0.0962631616	-0.1432320839	-0.1332296933	-0.1332296933	-0.1342627632	-0.1392173418	-0.1382655522	-0.096246029	-0.1382639585	-0.1792631616	-0.1462308886	-0.096246029	-0.1502456306	-0.1822484196	-0.096246029	-0.1902492165	-0.1902643569	-0.1412181387	-0.1792476227	-0.1452472243	-0.1332448337	-0.1432320839	-0.1842631616	-0.179246029	-0.18329663	-0.0962631616	-0.1832779036	-0.1842631616	0.039481561	-0.055513949	0.036485153	0.036485153	0.035488206	0.039484794	-0.054507753	-0.054507753	-0.054507753	-0.00550919	-0.00850856100001	0.036485153	-0.053510986	-0.053508022	0.03848183	0.036485153	0.080481022	-0.052511075	0.036485153	0.040487757	0.038488026	-0.00750891999999	-0.049511255	0.037484973	-0.053504879	0.039484794	0.03948174	-0.051514308	-0.054507663	0.035488206	-0.052507843	0.03948174	-0.104	-0.089	-0.083	-0.083	-0.083	-0.102	-0.089	-0.089	-0.089	-0.096	-0.095	-0.083	-0.09	-0.106	-0.103	-0.083	-0.109	-0.107	-0.083	-0.12	-0.12	-0.096	-0.107	-0.103	-0.089	-0.102	-0.117	-0.107	-0.108	-0.083	-0.108	-0.117
FLQS30MKGRWV	-0.1258238243	-0.1258428485	-0.1248368409	-0.1248368409	-0.1688436829	-0.1208304995	-0.1178301657	-0.1178301657	-0.039829832	-0.0738159811	-0.0248303326	-0.1248368409	-0.1168294982	-0.1208363402	-0.1238294982	-0.1248368409	-0.0718193186	-0.0768223224	-0.1248368409	-0.1218303326	-0.1228289976	-0.1198239912	-0.0788228231	-0.1348370078	-0.1698373415	-0.1208304995	-0.080836674	-0.1248294982	-0.0438358396	-0.1688436829	-0.0768350052	-0.080836674	0.020519836	-0.028480283	0.022518449	0.022518449	-0.026483056	0.02051841	0.020518885	0.020518885	0.020518925	0.019517617	0.013517419	0.022518449	0.019520193	0.019518925	0.023519876	0.022518449	0.019520153	0.018520272	0.022518449	-0.028482977	-0.028483136	0.019517538	0.019520193	0.03851841	-0.026484285	0.02051841	0.022519876	-0.027480203	0.019518806	-0.026483056	0.019518846	0.022519876	-0.231	-0.226	-0.23	-0.23	-0.242	-0.23	-0.228	-0.228	-0.197	-0.211	-0.192	-0.23	-0.228	-0.229	-0.23	-0.23	-0.211	-0.212	-0.23	-0.225	-0.225	-0.229	-0.213	-0.237	-0.244	-0.23	-0.214	-0.226	-0.199	-0.242	-0.212	-0.214
FLQS30MJGRWV	-0.2450757531	-0.2470700214	-0.2080740673	-0.2080740673	-0.2460695719	-0.2460740111	-0.2040764836	-0.2040764836	-0.2080740673	-0.1980786751	-0.2480714262	-0.2080740673	-0.2050740673	-0.2080741797	-0.2880717072	-0.2080740673	-0.2490721006	-0.2070761464	-0.2080740673	-0.2970715386	-0.2490717634	-0.1990783941	-0.2460738987	-0.2080742359	-0.2070742921	-0.2460740111	-0.2450718196	-0.2420742921	-0.2480697967	-0.2460695719	-0.2100696281	-0.2450718196	0.037424557	0.037425018	0.036419176	0.036419176	0.037413949	0.037419176	0.037414257	0.037414257	0.035414103	0.036409183	0.036408415	0.036419176	0.036419638	0.03641441	0.037424711	0.036419176	0.03741933	0.036419638	0.036419176	0.037407646	0.037413795	0.037408722	0.036419484	0.03641933	0.03740903	0.037419176	0.035424711	0.037425018	0.035413949	0.037413949	0.036413949	0.035424711	-0.185	-0.185	-0.17	-0.17	-0.185	-0.185	-0.169	-0.169	-0.17	-0.166	-0.185	-0.17	-0.17	-0.17	-0.201	-0.17	-0.186	-0.17	-0.17	-0.205	-0.187	-0.167	-0.185	-0.171	-0.17	-0.185	-0.185	-0.184	-0.186	-0.185	-0.171	-0.185
FLQS30MEGRWV	0.3735154814	0.3340234426	0.3397336901	0.3397336901	0.3868732006	0.3356120656	0.3366227972	0.3366227972	0.3797551532	0.3364832867	0.3387730392	0.3397336901	0.3737587304	0.2958982409	0.3766156428	0.3397336901	0.3337229585	0.3336299515	0.3397336901	0.2877837708	0.3357444217	0.2956514147	0.3356263743	0.3357587304	0.3407444217	0.3356120656	0.3767551532	0.3766227972	0.3360198654	0.3868732006	0.291030597	0.3767551532	0.00546918100002	0.00446934299998	-0.04054421	-0.04054421	0.006457888	-0.039544048	-0.03454179	-0.03454179	-0.034541628	-0.034546791	-0.033547598	-0.04054421	0.00446385699999	-0.033541306	0.00646950399999	-0.04054421	0.00646353400001	-0.033535981	-0.04054421	-0.040549373	0.00745772599998	-0.035547275	-0.034536304	0.00946401900001	-0.035547275	-0.039544048	0.00646950399999	0.007469665	-0.034541628	0.006457888	0.00645821000001	0.00646950399999	0.277	0.262	0.269	0.269	0.282	0.267	0.267	0.267	0.283	0.267	0.268	0.269	0.277	0.252	0.278	0.269	0.261	0.266	0.269	0.249	0.263	0.251	0.267	0.262	0.269	0.267	0.278	0.278	0.267	0.282	0.245	0.278
FLQS30LFGRWY	0.2032534432	0.1663794157	0.2082855538	0.2082855538	0.1694337568	0.1692904939	0.1702892589	0.1702892589	0.1703324848	0.208244798	0.1693398949	0.2082855538	0.2093349548	0.1643386599	0.1732818487	0.2082855538	0.2163201345	0.1702880239	0.2082855538	0.206292964	0.2482867888	0.2052534432	0.2092904939	0.1693349548	0.1693324848	0.1692904939	0.2143300147	0.2142880239	0.1614362269	0.1694337568	0.2063806507	0.2143300147	0.019286638	-0.022724748	0.020277529	0.020277529	-0.0207417	0.019277783	-0.021741447	-0.021741447	-0.019741447	-0.019749544	-0.020750809	0.020277529	-0.022733097	-0.021741194	-0.021724242	0.020277529	-0.020732338	-0.021733097	0.020277529	0.022269686	0.021268927	0.023261083	-0.022732844	-0.021732844	-0.020749797	0.019277783	-0.021724242	-0.021723736	-0.021742206	-0.0207417	-0.022741953	-0.021724242	0.706	0.696	0.707	0.707	0.697	0.693	0.697	0.697	0.697	0.711	0.697	0.707	0.713	0.695	0.698	0.707	0.715	0.697	0.707	0.706	0.722	0.706	0.712	0.696	0.697	0.693	0.714	0.714	0.694	0.697	0.711	0.714
FLQS30KNGRWV	-0.0590773857	-0.0521135708	-0.014086432	-0.014086432	-0.0541142667	-0.0530867799	-0.0170739064	-0.0170739064	-0.0521006973	-0.0180645121	-0.050102089	-0.014086432	-0.0511006973	-0.0501003493	-0.0540871278	-0.014086432	-0.0930993055	-0.0500749502	-0.014086432	-0.021075646	-0.0561010452	-0.0890763419	-0.0510881716	-0.0120871278	-0.0481000014	-0.0530867799	-0.0521006973	-0.0920885196	-0.0511135708	-0.0541142667	-0.0521132229	-0.0521006973	0.024872412	-0.01712774	0.02487787	0.02487787	0.024883026	0.023878022	0.023883026	0.023883026	0.026882874	-0.02011197	-0.018111364	0.02487787	0.025877416	0.024882723	0.023872563	0.02487787	-0.015122584	-0.018122281	0.02487787	0.066876506	0.024883178	-0.020111819	-0.018122281	0.026877719	-0.01811197	0.023878022	0.025872108	-0.016127892	0.026883178	0.024883026	0.025882874	0.025872108	0.058	0.065	0.075	0.075	0.06	0.061	0.074	0.074	0.06	0.078	0.066	0.075	0.061	0.061	0.06	0.075	0.049	0.066	0.075	0.068	0.059	0.051	0.065	0.075	0.067	0.061	0.06	0.049	0.061	0.06	0.061	0.06
FLQS30K5GRWY	0.0158288717	0.0608424356	0.0978349973	0.0978349973	0.0558531554	0.0618358724	0.0258356536	0.0258356536	0.0608354349	0.0268273403	0.0618360912	0.0978349973	0.0958354349	0.0238435294	0.0178354349	0.0978349973	0.0588349973	0.0258356536	0.0978349973	0.0628349973	0.0948354349	0.0268282154	0.0608277778	0.0208435294	0.0258428731	0.0618358724	0.0968354349	0.0248356536	0.059843967	0.0558531554	0.0198518428	0.0968354349	0.019749239	-0.018250511	0.018739763	0.018739763	0.017731035	0.017739763	-0.021268467	-0.021268467	-0.021268217	-0.021276946	-0.022277694	0.018739763	0.018740511	-0.021268217	0.02074899	0.018739763	0.021750736	-0.020259489	0.018739763	0.018731783	0.017731783	-0.021277444	-0.020259239	0.018739763	-0.019276696	0.017739763	0.017748741	-0.019250761	-0.022268965	0.017731035	-0.023268716	0.017748741	0.059	0.081	0.091	0.091	0.074	0.077	0.068	0.068	0.081	0.068	0.081	0.091	0.09	0.067	0.06	0.091	0.076	0.067	0.091	0.078	0.09	0.068	0.081	0.062	0.067	0.077	0.091	0.066	0.08	0.074	0.066	0.091
FLQS30K3GRWY	0.0434921765	-0.0425399794	-0.0395267694	-0.0395267694	-0.0055344173	-0.0075288552	-0.0445283337	-0.0445283337	-0.0445347649	0.0444932194	-0.0535358078	-0.0395267694	-0.0435349387	-0.0915425866	-0.0535278123	-0.0395267694	-0.0505278123	-0.0395276385	-0.0395267694	-0.0435278123	-0.0385267694	-0.0475231193	-0.0025210335	-0.0105269432	-0.0045272908	-0.0075288552	-0.0545354602	-0.0475283337	-0.0445413699	-0.0055344173	-0.0035332006	-0.0545354602	-0.052393125	-0.051393125	-0.049392775	-0.049392775	-0.050392426	-0.00839275499999	-0.051392456	-0.051392456	-0.052392426	-0.055392056	-0.00639205600001	-0.049392775	-0.051392775	-0.052392426	-0.00639312499999	-0.049392775	-0.007393205	-0.093392356	-0.049392775	-0.048392436	-0.046392456	-0.051392096	-0.052392785	-0.007392775	-0.051392096	-0.00839275499999	-0.006393135	-0.051393145	-0.052392406	-0.050392426	-0.050392436	-0.006393135	0.556	0.523	0.523	0.523	0.537	0.531	0.521	0.521	0.521	0.556	0.514	0.523	0.521	0.504	0.513	0.523	0.515	0.528	0.523	0.522	0.524	0.52	0.538	0.53	0.537	0.531	0.513	0.52	0.522	0.537	0.538	0.513
FLQS30K1GRWY	0.15149351	0.1564717056	0.1554792008	0.1554792008	0.1994701157	0.1634871504	0.1514869233	0.1514869233	0.1564792008	0.1534937371	0.1564780652	0.1554792008	0.195479428	0.1534792008	0.1644898759	0.1554792008	0.1994803365	0.1574873775	0.1554792008	0.1594869233	0.1284789737	0.1524937371	0.1584873775	0.153479428	0.1584796551	0.1634871504	0.1914787466	0.1534862419	0.1584712513	0.1994701157	0.1564707971	0.1914787466	-0.024387575	-0.021387494	-0.023384551	-0.023384551	-0.024381609	-0.062384551	-0.023381854	-0.023381854	-0.024381772	-0.022378912	-0.024378585	-0.023384551	-0.026384551	-0.024381772	-0.066384061	-0.023384551	-0.022384878	-0.024384715	-0.023384551	-0.060381854	-0.059381854	-0.023378667	-0.023384715	-0.02338447	-0.024378912	-0.062384551	-0.02638733	-0.020387657	-0.023381609	-0.024381609	-0.025381609	-0.02638733	0.086	0.088	0.088	0.088	0.105	0.095	0.086	0.086	0.088	0.086	0.088	0.088	0.103	0.087	0.096	0.088	0.104	0.088	0.088	0.093	0.082	0.086	0.089	0.087	0.09	0.095	0.103	0.087	0.089	0.105	0.088	0.103
FLQS30JCGRWV	0.0039294301	0.0068859818	0.00792016539999	0.00792016539999	-0.0721172129	0.0439310275	0.00593198590001	0.00593198590001	-0.0330926135	-0.0330702504	0.0059179291	0.00792016539999	-0.0350935719	0.002907706	-0.001081432	0.00792016539999	-0.0310897382	-0.0370820709	0.00792016539999	0.0039188875	0.00592016539999	0.0049425285	-0.0760942109	0.0029080254	0.000907386499996	0.0439310275	0.000906108599999	0.0429316664	0.0048974828	-0.0721172129	0.0078978023	0.000906108599999	-0.055848739	-0.057849133	-0.055835349	-0.055835349	-0.054820383	-0.012834167	-0.054821958	-0.054821958	-0.055822352	-0.056808568	-0.056806993	-0.055835349	-0.055835349	-0.055822352	-0.056849133	-0.055835349	-0.056834561	-0.054836136	-0.055835349	-0.014821171	-0.058819202	-0.057807387	-0.055835743	-0.056835349	-0.05680778	-0.012834167	-0.057848739	-0.054849527	-0.056821565	-0.054820383	-0.056821958	-0.057848739	0.029	0.03	0.031	0.031	0.0	0.04	0.03	0.03	0.015	0.016	0.03	0.031	0.014	0.029	0.028	0.031	0.015	0.013	0.031	0.025	0.03	0.03	-0.00100000000003	0.03	0.029	0.04	0.029	0.044	0.029	0.0	0.03	0.029
FLQS30J0GRWV	-0.072761351	-0.1607810315	-0.0207704144	-0.0207704144	-0.0197742124	-0.2057721407	-0.0797645447	-0.0797645447	-0.0297712775	-0.1187645447	-0.0217710186	-0.0207704144	-0.0267707596	-0.1217753345	-0.1147711912	-0.0207704144	-0.1177704144	-0.0557660985	-0.0207704144	-0.1067711912	-0.0547663574	-0.1167645447	-0.1147755071	-0.1197749892	-0.1207749892	-0.2057721407	-0.0237707596	-0.1197678248	-0.1227821536	-0.0197742124	-0.068777924	-0.0237707596	0.00478897799999	0.044788991	0.003788015	0.003788015	0.00178753999998	-0.070212037	0.045788066	0.045788066	0.045788117	0.047787655	0.00178709000002	0.003788015	0.00178802799999	0.04678813	-0.036211536	0.003788015	0.04678849	0.071788888	0.003788015	-0.033212435	-0.033212486	0.004787077	0.045788554	0.00278798899998	0.045787655	-0.070212037	0.00278846399999	0.045788991	0.00378753999999	0.00178753999998	0.044788092	0.00278846399999	-0.027	-0.065	-0.00799999999998	-0.00799999999998	-0.00699999999998	-0.069	-0.034	-0.034	-0.015	-0.049	-0.00700000000001	-0.00799999999998	-0.00900000000001	-0.05	-0.038	-0.00799999999998	-0.048	-0.027	-0.00799999999998	-0.036	-0.016	-0.044	-0.047	-0.045	-0.05	-0.069	-0.00799999999998	-0.05	-0.046	-0.00699999999998	-0.029	-0.00799999999998
FLQS30HZGRWY	0.1033322366	0.0693203874	0.0943281305	0.0943281305	0.0753195662	0.0633329405	0.0593324713	0.0593324713	0.0653244936	0.0263321193	0.063323555	0.0943281305	0.0673247282	0.0303240243	0.0973327059	0.0943281305	0.0683247282	-0.0046753891	0.0943281305	0.0623283651	0.0623237897	0.02633165	0.0663284824	0.0583280131	0.0693243762	0.0633329405	0.0623244936	0.0633285997	0.0713198008	0.0753195662	0.1023241416	0.0623244936	-0.018293505	-0.018293262	-0.017290426	-0.017290426	-0.01628751	-0.065290183	-0.019287591	-0.019287591	-0.064283783	-0.015284917	-0.018284431	-0.017290426	-0.063286781	-0.061283864	-0.022293181	-0.017290426	-0.018290669	-0.064286862	-0.017290426	-0.01728751	-0.017287672	-0.015284917	-0.019290588	-0.019290183	-0.06328111	-0.065290183	-0.020293343	-0.0192931	-0.063283621	-0.01628751	-0.018287672	-0.020293343	0.024	0.011	0.021	0.021	0.014	0.014	0.00800000000001	0.00800000000001	0.014	-0.005	0.01	0.021	0.015	0.000999999999976	0.023	0.021	0.011	-0.012	0.021	0.00799999999998	0.00800000000001	-0.006	0.00999999999999	0.00699999999995	0.016	0.014	0.00999999999999	0.00900000000001	0.016	0.014	0.024	0.00999999999999
