SN	Distance_X_LOGO_Battery_Left1	Distance_X_LOGO_Battery_Left2	Distance_X_LOGO_Battery_Left3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Left1	Distance_Y_LOGO_Battery_Left2	Distance_Y_LOGO_Battery_Left3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Left1	Angle_Battery_Left2	Angle_Battery_Left3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	0.11746336665	-0.04456492311	-0.25258032532	-0.07454291996	-0.01855376437	0.04946415248	-0.19657639618	-0.19757341004	-0.25359148406	-0.12456303713	-0.07957325287	-0.13059148406	-0.05755690768	-0.18755140689	-0.2676098724	-0.06959116973	-0.19958818358	-0.19853191839	0.04447201075	-0.2965826828	-0.24155502169	-0.19354417728	-0.3676057861	-0.35064334862	-0.19860452878	0.04944340665	-0.1925499924	-0.02054920657	-0.0125336472	-0.19253223272	-0.3675903839	-0.24755659335	0.11701122	0.570033552	-0.087048755	0.180985188	-0.188008176	0.044025768	-0.256034846	-0.281038547	-0.00899707399999	0.290013645	-0.064006007	-0.258038547	0.576000246	0.113981998	-0.521020426	0.125962729	-0.406055518	-0.252938758	0.240010965	0.432018366	0.095015559	0.168014538	-0.347012898	-0.083993756	-0.205025786	0.403983785	-0.013991842	0.183023726	0.588989527	0.237975363	0.17498991	-0.078985334	-0.099	-0.038	0.088	-0.009	-0.022	-0.063	0.067	0.069	0.085	0.011	0.004	0.035	-0.031	0.049	0.112	-0.009	0.074	0.069	-0.068	0.09	0.076	0.05	0.153	0.135	0.066	-0.077	0.057	-0.034	-0.054	0.046	0.134	0.085
FLQS30KBGRWV	-0.05430408495	0.39859368409	0.00550074684	0.07071914937	0.16569010648	0.19276213284	0.13874935397	0.11762388869	0.13062969727	0.08063434413	0.17362505041	-0.06923205858	0.13167848932	-0.11221230942	-0.01272578769	0.24656696463	0.20533229809	0.36298866737	0.12783299749	0.00441129475	-0.05824135231	0.06284577636	-0.01062355672	0.17231254892	0.0584751891	0.13862388869	-0.24055036864	0.00253327488	0.00380163117	-0.04606593326	0.19363782928	0.20868081275	0.133845797	-0.098087314	0.205867282	0.336866136	-0.629046636	0.093846514	0.350888051	-0.505098343	0.088872725	0.419867855	-0.297116676	-0.753090322	0.345865993	-0.365102783	-0.173118681	-0.029100491	0.144848089	0.049870576	0.019854821	0.065857399	0.193841071	-0.044140739	-0.381090035	-0.101149762	-0.364122405	0.427877881	-0.472070985	0.20586098	-0.176119111	0.208903233	0.085887621	0.212849378	-0.018	-0.228	-0.049	-0.086	-0.096	-0.136	-0.12	-0.078	-0.106	-0.094	-0.113	0.024	-0.116	0.029	-0.027	-0.157	-0.144	-0.217	-0.102	-0.044	-0.019	-0.068	-0.021	-0.119	-0.054	-0.122	0.094	-0.049	-0.034	-0.025	-0.136	-0.148
FLQS30CWGRWV	0.13880896326	-0.13221391352	-0.06016754992	-0.0322123884	0.19583245008	0.1118635625	0.04677876591	-0.29529260963	-0.07825112641	0.06679157691	-0.19226332736	0.19183122999	0.03279798241	-0.18018341115	-0.03428406897	-0.00630237039	0.09378364629	-0.00116419466	0.30687942373	-0.01422641949	-0.00316114442	-0.26717670063	0.10478303624	0.04367261766	-0.03227278309	-0.02225295655	0.14583794051	0.14580621805	-0.00716571977	-0.06112545665	-0.02217334537	-0.0112007975	0.597849949	0.174858398	0.301866779	-0.436207605	0.927870172	0.254862485	-0.017195485	-0.43717443	-0.096193476	0.395833881	0.100853204	0.735854382	-0.41920241	-0.029153514	-0.567188351	0.12882183	-0.39015012	0.180849326	0.815855005	-0.149141879	0.110814835	-0.753185234	0.112877375	-0.018127334	-0.950205042	-0.160195485	0.934865186	0.793851542	0.174832219	0.172852373	-0.419189667	0.047819891	0.058	0.205	0.166	0.18	0.019	0.084	0.126	0.307	0.19	0.102	0.237	0.027	0.148	0.236	0.185	0.147	0.117	0.142	-0.031	0.16	0.145	0.306	0.092	0.128	0.199	0.165	0.043	0.048	0.145	0.171	0.175	0.151
FLQS30C7GRWV	0.13765675572	0.41653106803	-0.17742337019	-0.05350978047	0.13175887696	0.00355620556	0.03257348762	0.25338966938	0.01537552951	-0.31783656847	0.00737395841	-0.05381457312	-0.11365589241	-0.18951606486	0.40039124047	-0.17722148702	-0.22252313747	-0.18141394361	0.02255934776	0.0351775714	-0.06136366853	-0.05744850772	-0.11294183191	-0.11721834482	-0.24110365481	0.01528283484	-0.38480671764	0.26852792583	-0.17549564061	-0.04922069879	-0.17250506718	-0.17456162664	0.310370136	0.141346437	0.049362206	-0.136665818	0.454367703	-0.19864293	0.758394556	0.536369866	0.383369776	-0.279662934	0.121346077	0.120351844	-0.070666088	-0.331674468	0.073354187	0.305321387	0.20936473	-0.204653563	0.508374732	1.024351844	-0.00964338	-0.073662033	0.177382391	-0.068611662	-0.40265104	0.059349411	-0.156645633	0.203361576	0.101347519	0.264327604	-0.016640136	-0.018643921	-0.064	-0.191	0.098	0.045	-0.066	0.02	-0.03	-0.127	-0.00699999999999	0.178	0.006	0.036	0.072	0.119	-0.182	0.088	0.114	0.11	-0.016	-0.04	0.045	0.045	0.062	0.073	0.145	0.005	0.206	-0.122	0.095	0.029	0.098	0.099
FLQS29JFGRX5	0.39755517084	-0.01444376659	0.17754589753	0.04655459126	-0.07943309263	-0.12844193125	0.180553094	-0.06843917824	-0.24543309263	-0.07443599054	-0.04743975782	0.18955391508	-0.52742150099	0.04654874714	0.39256265711	0.05257555281	0.44956468564	0.15954609072	0.23754966481	0.07056328499	0.04555618511	-0.17344772707	-0.01742893895	0.06757627728	0.04657043316	0.17655488105	0.11254184045	-0.00143811567	0.29754251663	-0.04246038128	0.17855130696	0.0555533355	0.246086252	-0.228936414	0.108069462	-0.211936498	-0.293939184	-0.02889402	0.052072232	-0.030907872	-0.215913916	0.098088434	0.097090533	0.366113367	-0.113937757	-0.206937925	0.371108246	-0.173925417	0.123080459	-0.204929698	-0.009923822	0.232112108	-0.216932385	0.156078193	-0.284913077	0.286119075	-0.277943802	0.173105224	0.172121678	0.025087343	0.555104049	0.215084237	0.043098928	-0.027926173	0.052	0.268	0.163	0.238	0.301	0.315	0.163	0.287	0.379	0.284	0.272	0.147	0.51	0.238	0.049	0.233	0.032	0.184	0.139	0.209	0.238	0.33	0.271	0.21	0.24	0.16	0.192	0.252	0.088	0.265	0.165	0.227
FLQS22XEGRX2	-0.1512184922	0.04678003671	-0.17821634587	-0.01622054207	0.18677938558	-0.07822046972	-0.09221972212	-0.08121702112	-0.00821721405	0.06677924088	-0.14621557415	-0.07721738286	0.05478027788	0.51477306715	-0.10521622528	-0.0752178893	0.30878305123	0.29977629871	0.08678148368	-0.27320954511	0.05177699808	-0.19822331543	0.03978006083	0.04478739214	-0.02221718993	0.13478232775	0.06477745629	-0.0132148989	0.04977600932	-0.12322512414	-0.00622218197	-0.00721649056	-0.520730532	-0.180738059	0.630237674	-0.254684592	0.427255712	0.136169802	-0.533688874	-0.115694065	0.082306194	0.549213925	-0.330666813	-0.12570263	0.147325011	0.953190047	-1.054703798	-0.186766479	-0.037694584	-0.504685241	-0.036730272	0.062256101	-0.049727028	-0.395743509	0.135149946	-0.169803075	-0.508744158	0.552213536	0.224257918	-0.11568005	-0.114715867	0.146307103	0.093264537	0.28727427	0.09	-0.018	0.06	0.014	-0.109	0.029	0.062	0.041	-0.001	-0.056	0.08	0.04	-0.034	-0.289	0.087	0.041	-0.151	-0.129	-0.043	0.127	-0.026	0.108	-0.028	-0.018	0.027	-0.088	-0.042	0.008	-0.023	0.051	-0.00299999999999	-0.00999999999999
FLQS22TQGRX2	-0.06290124438	-0.05590290378	-0.29699450242	0.12812530595	-0.15991485142	-0.16589527055	0.00207585596	0.01608913112	0.00706258079	-0.04893609169	0.03406822274	0.00408514858	0.13411833649	0.12512995226	-0.11796828397	-0.36703532356	0.12903802174	0.01913061602	-0.17690157626	0.02206490395	-0.10089825747	0.07014422306	0.00703636234	0.06695405631	-0.10101839772	-0.00293941048	-0.04486573331	0.13109311367	0.12614787373	-0.21084880747	0.00912663347	0.21609775998	-0.346376226	-0.277395493	-0.014360434	0.083646356	0.060607034	-0.177479665	-0.269368804	0.070517966	-0.411373858	0.210596769	0.80552065	-0.209376068	0.557550656	-0.11543371	-0.322472085	-0.27045045	0.393510701	0.604529652	-0.290374805	0.80152065	0.337553972	-0.128392492	-0.057511882	0.140515597	-0.201401178	-0.732359013	-0.067445238	0.081618878	0.080640987	-0.023415865	0.071524283	0.483553814	0.305	0.3	0.406	0.197	0.336	0.349	0.271	0.252	0.274	0.278	0.215	0.268	0.176	0.206	0.331	0.45	0.185	0.229	0.358	0.221	0.297	0.232	0.261	0.223	0.318	0.291	0.285	0.195	0.198	0.364	0.254	0.138
FLQS21YXGRX2	0.06312699214	-0.19381870594	-0.00481156095	0.04613883241	0.22911556016	0.05612719629	0.07414107798	-0.25880992781	-0.06182483022	-0.01284912318	0.19316496266	0.23411311045	-0.08184177405	-0.12683993676	-0.25578910527	0.07418415206	-0.19477991886	-0.00286484216	0.06112658386	-0.18279727097	-0.19483054621	0.12611351873	-0.000808090529999	-0.00475827975	0.00319170533	-0.05982442193	-0.07386300487	-0.13980421182	0.05712250101	-0.30087362029	0.00113617856	-0.02384156991	0.221170974	0.08317458	0.107264564	-0.374713111	0.046207036	0.099162387	0.282181792	0.020172004	0.151162559	-0.088801207	0.3112273	0.354149851	-0.42672496	0.027201713	-0.10082834	0.564158438	-0.442724273	-0.100783519	0.152172004	0.622184712	0.165208753	0.103198622	-0.025852553	-0.278831431	0.094177327	0.151156205	-0.252730627	-0.231775963	0.162223522	-0.38371105	-0.095809965	-0.425744709	-0.259	-0.129	-0.222	-0.228	-0.333	-0.251	-0.267	-0.095	-0.195	-0.21	-0.325	-0.347	-0.164	-0.16	-0.092	-0.277	-0.11	-0.214	-0.255	-0.154	-0.132	-0.285	-0.219	-0.207	-0.225	-0.197	-0.174	-0.144	-0.254	-0.06	-0.217	-0.193
FLQS2AVTGRX5	0.07152222508	0.19752583266	0.23951917643	0.01252435914	-0.24345912732	-0.05946812085	0.00452938942	0.15153121861	0.04853248888	0.16053111699	-0.16846237922	0.02353746835	0.02053269213	0.06252756023	0.02153919592	0.01453690943	-0.07345414785	0.18751841426	-0.06047416734	0.21254117755	0.01152598509	0.24351053857	0.02754138079	0.00254844351	0.18453553754	0.06553167591	0.13152059913	0.12252964347	-0.00547833384	-0.06247833384	0.18252207265	0.09052598509	0.184445984	0.063435102	0.054424138	0.049423569	-0.083582928	0.055434777	-0.01057838	0.733441842	-0.543622804	0.848432665	-0.072585608	0.599414717	0.462409032	0.065422107	0.372446634	0.063421945	-0.617640508	0.380451344	-0.178578786	0.418419996	0.130419265	0.576438675	0.501446796	-0.186566523	0.574437863	0.063423407	0.066439406	-0.111586582	-0.433598115	-0.325613139	0.245438025	0.70343835	-0.114	-0.169	-0.189	-0.08	0.049	-0.044	-0.073	-0.172	-0.074	-0.181	0.013	-0.105	-0.099	-0.105	-0.095	-0.081	-0.014	-0.177	-0.035	-0.189	-0.082	-0.211	-0.103	-0.065	-0.181	-0.105	-0.137	-0.126	-0.052	-0.029	-0.169	-0.141
FLQS3087GRWV	-0.34141076458	-0.01875753713	-0.32557951501	-0.03224584229	-0.38359584569	-0.02601176912	-0.15951963582	-0.02668838625	0.03897572833	-0.20628556265	-0.35408032272	-0.32860128926	-0.08539826203	-0.41936883151	-0.26119463753	-0.40663012249	-0.08271560406	-0.1465887867	-0.15037648778	-0.21571560406	-0.20610430967	-0.25465793758	-0.09242165171	-0.03577165511	-0.08834705726	-0.14495350536	-0.08152729209	-0.20407870729	-0.36851802039	-0.13591761313	-0.15798616674	-0.35354141007	0.027383621	-0.142624598	0.045390482	-0.268633271	-0.034614437	0.050395983	-0.295644856	-0.523624404	-0.00763320600001	0.165390029	-0.674646604	-0.144616702	-0.132620715	-0.084627317	0.429400708	-0.361628546	-0.017616185	0.04136181	-0.150628223	-0.023638125	-0.15762997	-0.079609454	-0.075590296	0.04238964	-0.015626864	-0.204609648	0.239398895	-0.14661023	-0.220623369	-0.020621621	-0.21764408	-0.417635213	0.303	0.153	0.295	0.165	0.326	0.15	0.227	0.171	0.121	0.233	0.335	0.303	0.186	0.344	0.249	0.349	0.18	0.208	0.218	0.244	0.246	0.267	0.187	0.155	0.182	0.217	0.17	0.244	0.326	0.207	0.224	0.326
