SN	Distance_X_LOGO_MainBoard_LU1	Distance_X_LOGO_MainBoard_LU2	Distance_X_LOGO_MainBoard_LU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LU1	Distance_Y_LOGO_MainBoard_LU2	Distance_Y_LOGO_MainBoard_LU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LU1	Angle_MainBoard_LU2	Angle_MainBoard_LU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30KVGRWV	-0.2080547325	-0.2110624904	-0.2400626197	-0.2400922289	-0.2430630076	-0.2430628783	-0.2410538274	-0.2130668865	-0.2400534395	-0.2390580942	-0.2380626197	-0.2380624904	-0.2410759374	-0.2460543446	-0.2440405097	-0.241044518	-0.2390628783	-0.2380580942	-0.2410489141	-0.2390490434	-0.2120914531	-0.2370580942	-0.2390487848	-0.2390582235	-0.2390692139	-0.2380624904	-0.2420643005	-0.2100952027	-0.2120599044	-0.2440583528	-0.2420490434	-0.2430447766	-0.087339594	-0.086388836	-0.087351164	-0.060338249	-0.086350895	-0.085332329	-0.086398522	-0.087407671	-0.086341747	-0.085351164	-0.087370538	-0.08640794	-0.087379149	-0.087360851	-0.084397984	-0.085350895	-0.08637	-0.085379418	-0.086407671	-0.085388836	-0.087395563	-0.085388836	-0.085379418	-0.085360851	-0.060366233	-0.085389105	-0.086413322	-0.05838749	-0.05941386	-0.085388566	-0.085360582	-0.085397984	0.056	0.056	0.068	0.066	0.069	0.069	0.069	0.057	0.068	0.068	0.068	0.067	0.069	0.071	0.069	0.069	0.067	0.068	0.068	0.068	0.057	0.067	0.068	0.067	0.066	0.067	0.069	0.053	0.054	0.07	0.069	0.068
FLQS30KBGRWV	0.0214942972	0.0214263204	0.0524574284	0.0251958903	-0.0095736796	0.0224631892	0.0555438397	0.0263894516	-0.0104930291	0.0234631892	0.0224240161	0.0224274725	-0.0106969597	0.0235438397	0.0186602069	0.0226233381	0.0534608849	0.053500058	0.0225830128	0.0525807085	0.0522028032	0.0234666456	0.0545864693	0.0204643413	0.0233975166	0.0234286247	0.0254528198	0.0241313699	0.0184447548	0.0565023623	0.0195795564	0.0546221859	0.011635889	0.0146566	0.01464321	0.01163849	-0.01635679	0.014633192	0.015660261	0.015663633	-0.021359969	0.013643403	0.014649953	0.013663536	0.012653421	0.014646389	-0.020339835	0.014643307	0.014649953	0.013653614	0.01566344	0.0156566	0.011655637	0.014656793	0.013653421	0.013646678	0.011648797	0.014656793	-0.015334441	0.013655541	-0.018331069	0.014656889	-0.018353322	0.013659876	-0.039	-0.04	-0.053	-0.042	-0.023	-0.04	-0.054	-0.042	-0.023	-0.04	-0.04	-0.04	-0.026	-0.041	-0.035	-0.04	-0.053	-0.053	-0.04	-0.053	-0.052	-0.041	-0.053	-0.039	-0.04	-0.04	-0.038	-0.04	-0.036	-0.054	-0.035	-0.053
FLQS30CWGRWV	0.0395731466	0.0425553358	0.0395547109	0.0084822178	0.009554086	0.0425547109	0.0115765838	0.0425447119	0.0105768963	0.0425653349	0.039554086	0.0405543984	0.0415219015	0.0425756464	0.0136093932	0.0425984567	0.0435543984	0.0415650224	0.0105881452	0.0425878327	0.009475031	0.0395653349	0.0415881452	0.0405650224	0.01053815	0.0405547109	0.0405612728	0.0104656569	0.0105515862	0.0415653349	0.0095872078	0.0135990817	0.019391057	0.018359358	-0.00962100200002	-0.00761221600001	-0.00962134700004	0.017395364	-0.009651496	0.015347298	0.017389507	0.016383132	0.018371073	0.018347126	0.018365904	0.018377275	0.018353328	0.017383477	-0.009633407	-0.010639609	0.01734747	0.018359358	0.019355567	0.018359358	0.019365387	0.018377275	-0.00663030600001	0.018359185	0.019344025	0.018355567	0.020339028	0.01535953	-0.00962737700002	0.0173535	0.13	0.13	0.134	0.146	0.145	0.129	0.145	0.129	0.143	0.129	0.131	0.131	0.129	0.13	0.141	0.13	0.132	0.133	0.143	0.13	0.143	0.13	0.13	0.13	0.146	0.131	0.13	0.142	0.142	0.13	0.146	0.142
FLQS30C7GRWV	-0.0941976569	-0.0912937683	-0.0892954544	-0.0896849584	-0.0923005129	-0.0933005129	-0.0921807952	-0.1253578425	-0.0921774229	-0.0952431833	-0.0922988268	-0.0932954544	-0.0934741879	-0.0931858537	-0.0910071203	-0.1260627637	-0.1232954544	-0.0952414972	-0.0941217795	-0.0921234657	-0.0966832722	-0.0942381248	-0.0921200933	-0.0952414972	-0.1243898796	-0.0912920821	-0.0932583588	-0.0907304848	-0.0932651035	-0.0922414972	-0.0951251518	-0.0890610776	-0.01649126	-0.016505437	-0.016494173	-0.015493008	-0.017494303	-0.015489642	-0.051507768	-0.049510098	-0.016491843	-0.050496439	-0.016500906	-0.052510098	-0.051503172	-0.017496374	-0.051507832	-0.052496504	-0.017498705	-0.016501035	-0.049509969	-0.016505373	-0.018504531	-0.051505437	-0.052503236	-0.017498705	-0.0185	-0.050505502	-0.052511716	-0.018504596	-0.017511587	-0.052505631	-0.050498705	-0.017505437	0.069	0.068	0.067	0.067	0.068	0.069	0.072	0.085	0.068	0.073	0.068	0.072	0.072	0.069	0.071	0.085	0.081	0.069	0.072	0.069	0.07	0.072	0.072	0.07	0.082	0.071	0.072	0.068	0.069	0.072	0.073	0.068
FLQS29JFGRX5	0.0578668637	0.0568708996	0.0548711779	0.0558869732	0.0588711083	0.0568710387	0.0588660983	0.0588731958	0.0568660288	0.0578686033	0.0548711779	0.0568709691	0.0578783449	0.0588663071	0.0598589313	0.0598610884	0.0538713171	0.0578686033	0.0598635238	0.0578636629	0.0558865557	0.0588686033	0.0588634542	0.0578686729	0.0558725696	0.0558708996	0.0578693687	0.0568886432	0.0568717346	0.0598686033	0.0588635933	0.0598612275	0.030506149	0.03148928	0.030500553	0.029504311	0.029500473	-0.000494090000018	0.029486401	0.029483683	-0.000496888999976	0.029500313	0.029494716	0.030483603	0.029492078	0.028497515	0.028486401	0.029500473	0.028494716	0.028491918	0.029483683	0.02948928	0.029489759	0.02948912	0.029491998	0.029497515	0.030495916	0.0294892	0.000482003999991	0.030489759	0.028481844	0.02948928	0.028497595	0.029486561	0.223	0.225	0.225	0.226	0.224	0.228	0.224	0.223	0.227	0.224	0.226	0.225	0.224	0.224	0.223	0.223	0.226	0.224	0.223	0.224	0.226	0.223	0.225	0.224	0.225	0.225	0.227	0.225	0.225	0.223	0.223	0.224
FLQS22XEGRX2	0.0333366975	0.0033399464	0.0043398923	0.0013524549	0.0093398381	0.0073398381	0.003336156	0.004341625	0.0043359394	0.0343380512	0.0333399464	0.0363398923	0.0353456862	0.0023363184	0.0033305786	0.0083321489	0.0073400006	0.0353380512	0.0363342607	0.0013342066	0.0333517509	0.033337997	0.000334260700001	0.035337997	0.033340867	0.0333399464	0.0293387551	0.0313537545	0.0323389176	0.0053380512	0.00333420659999	0.0033324197	0.012997295	-0.014981423	0.01200462	0.012999671	0.040001947	0.01399779	0.012019467	0.038022734	-0.015998844	0.014004719	0.014011648	0.014025406	0.014014815	0.042005313	0.014021942	-0.013995479	0.014011549	0.012015112	0.039022734	0.013018478	0.013017884	0.040016003	0.03901244	0.013008282	0.012010064	0.014018478	0.042024812	0.013017983	0.014027584	0.013015607	0.013007985	0.041019071	-0.018	-0.00300000000001	-0.005	-0.00399999999999	-0.01	-0.00800000000001	-0.005	-0.009	-0.00299999999999	-0.019	-0.018	-0.019	-0.018	-0.00800000000002	-0.00600000000001	-0.005	-0.00700000000001	-0.018	-0.022	-0.005	-0.018	-0.021	-0.00700000000001	-0.018	-0.018	-0.019	-0.019	-0.017	-0.017	-0.00599999999999	-0.00500000000001	-0.00800000000001
FLQS22TQGRX2	0.0248265347	0.0228037346	0.0228030331	0.025725162	0.0228033839	0.0238040854	0.0248282886	0.02479251	0.0248293409	0.0248160116	0.0248037346	0.0238044362	0.0237669037	0.0228282886	0.0228651195	0.0238542456	0.0218030331	0.0248163624	0.0218412671	0.0228405656	0.0547276174	0.0258163624	0.0238416179	0.0248160116	0.0217861961	0.0238040854	0.02380163	0.056716042	0.0538118024	0.0218163624	0.0228412671	0.0218531933	0.054874412	0.053898665	0.023882799	0.053877132	0.026882685	0.024874866	0.026902631	0.025906598	0.023878832	0.053882799	0.053890732	0.053906598	0.053894471	0.023886652	0.054902518	0.053882799	0.052890732	0.052894811	0.026906484	0.054898438	0.055897531	0.024898665	0.024894698	0.053886765	0.054889032	0.053898665	0.026908864	0.055897531	0.024912604	0.024898551	0.053886652	0.026902404	0.25	0.25	0.254	0.25	0.253	0.253	0.253	0.252	0.252	0.249	0.25	0.251	0.25	0.253	0.251	0.25	0.252	0.249	0.254	0.25	0.237	0.251	0.253	0.25	0.251	0.25	0.253	0.237	0.241	0.253	0.251	0.254
FLQS21YXGRX2	0.0111640228	0.0441711917	0.0431718638	0.04322227	0.0411718638	0.0411716398	0.0451552858	0.0431783606	0.0411550617	0.0411637988	0.0431716398	0.0421711917	0.0391953867	0.0421557338	0.0141391558	0.0411391558	0.0461707437	0.0441635748	0.0411474448	0.0441472208	0.0102285428	0.0441633508	0.0121541656	0.0431633508	0.0421832892	0.0421711917	0.014172984	0.0432352636	0.0121727599	0.0441633508	0.0421472208	0.0431398279	-0.030488896	0.004530778	0.005515304	-0.028486575	-0.026484475	-0.027492212	0.00553486800001	0.00353895700002	-0.026488454	-0.027484365	0.00452326199999	0.00553873600001	0.00552701999999	0.00551917199999	0.00553486800001	-0.027484475	0.00452326199999	0.00652713100001	0.005538626	-0.025469222	-0.027466569	0.00553088900003	0.00552713100001	0.00451939299998	-0.026474969	0.00353111000001	-0.026458943	-0.028466569	-0.027455295	0.00453110999999	0.00451939299998	0.00453464700001	-0.223	-0.24	-0.24	-0.236	-0.236	-0.236	-0.241	-0.239	-0.236	-0.235	-0.239	-0.24	-0.238	-0.239	-0.227	-0.236	-0.241	-0.24	-0.239	-0.237	-0.223	-0.24	-0.227	-0.24	-0.236	-0.239	-0.224	-0.237	-0.224	-0.24	-0.239	-0.24
FLQS2AVTGRX5	0.0467276601	0.0437302701	0.0477301872	0.0147399228	0.0457303944	0.0437304358	0.0117274944	0.0477314715	0.0457273287	0.0487288615	0.0447303944	0.0437304358	0.0437347029	0.0437275358	0.0417232273	0.0447245116	0.0447305601	0.0447289858	0.012726003	0.0467259201	0.0467394257	0.012728903	0.0447258787	0.0457289444	0.0177323001	0.044730353	0.0117307672	0.0137419942	0.0117308915	0.0447288615	0.0167259616	0.013724553	-0.00344060200001	-0.000451091999992	-0.000443097000016	-0.029441849	-0.00144309700002	-0.000439241000038	-0.00245307700001	-0.00245494800001	-0.000441112000004	-0.00144320999999	-0.00144723600002	0.000544937999962	-0.00144899399999	-0.000445137999975	0.000547036	-0.00144309700002	-0.000447122999987	-0.00144910799997	-0.001455005	-0.000451035999987	-0.00145228299996	-0.003451149	-0.000449051000004	-0.000445194999998	-0.000447689999987	-0.002451149	-0.00045625300001	-0.002452226	-0.002457897	-0.000450978999993	-0.000445081999999	-0.00245302000002	-0.091	-0.09	-0.091	-0.075	-0.091	-0.09	-0.076	-0.092	-0.09	-0.091	-0.091	-0.089	-0.091	-0.09	-0.089	-0.09	-0.09	-0.09	-0.077	-0.091	-0.092	-0.077	-0.09	-0.09	-0.079	-0.09	-0.076	-0.077	-0.076	-0.09	-0.078	-0.077
FLQS3087GRWV	-0.0117168704	-0.0150471256	0.0191233287	0.0138609017	0.0171020219	-0.0130631057	-0.0155091293	0.017942221	0.015485544	0.019293783	0.0170966952	0.0181020219	0.0175427188	-0.0157008903	0.018028867	0.0228690662	-0.0150790858	0.0172831296	0.016661325	0.0196879585	-0.0142189988	0.0193044364	0.0176826318	0.017293783	0.0218463405	-0.0120524523	-0.0099192849	-0.0144001065	0.0150487549	-0.0158873247	0.017661325	0.0178530861	-0.030798063	-0.029805984	-0.028800764	-0.027799012	-0.0288008	-0.058798318	-0.085807188	-0.055808429	-0.058799523	-0.027800837	-0.056803465	-0.057808502	-0.057804597	-0.027802078	-0.056807115	-0.057800727	-0.028803392	-0.028804633	-0.056808393	-0.028805874	-0.029805728	-0.027805947	-0.057804633	-0.029801129	-0.028802771	-0.08680602	-0.058809269	-0.05880686	-0.060810546	-0.056805801	-0.058802041	-0.058807152	0.19	0.191	0.178	0.179	0.178	0.194	0.197	0.18	0.181	0.178	0.181	0.181	0.181	0.191	0.181	0.179	0.191	0.178	0.181	0.177	0.19	0.177	0.18	0.178	0.176	0.195	0.192	0.193	0.182	0.194	0.181	0.181
