SN	Distance_X_LOGO_Nfc_Up1	Distance_X_LOGO_Nfc_Up2	Distance_X_LOGO_Nfc_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Nfc_Up1	Distance_Y_LOGO_Nfc_Up2	Distance_Y_LOGO_Nfc_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Nfc_Up1	Angle_Nfc_Up2	Angle_Nfc_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32
FLQS30DZGRWV	0.0434736793	0.046459126	0.046449094	0.0444640713	0.0464690166	0.0464741032	0.0454592673	0.0454640713	0.0464541807	0.043468734	0.0444736793	0.0454588434	0.0454441487	0.0434736793	0.0824636474	0.0444738206	0.0434588434	0.04346393	0.0454589847	0.0464540394	0.0474589847	0.0454640713	0.04346393	0.0454492353	0.0434589847	0.0464493766	0.0454440074	0.0504447139	0.0454389208	0.0464342581	0.0464489527	0.0434438661	0.014811329	0.011811013	0.016811434	0.012803429	0.018803535	0.013807327	0.014807748	0.013801217	0.011810803	0.014807537	0.01481154	0.014818808	0.017803745	0.014807537	0.055808169	0.016811329	0.013807537	0.014811224	0.013804799	0.013804377	0.015797426	0.015807432	0.013799953	0.010792054	0.00877867700001	0.020788367	0.010782047	0.050792159	0.00678520700001	0.00878899899999	0.013791422	0.013773515	-0.152	-0.153	-0.153	-0.152	-0.154	-0.153	-0.153	-0.153	-0.153	-0.152	-0.152	-0.153	-0.154	-0.153	-0.171	-0.152	-0.152	-0.152	-0.153	-0.153	-0.153	-0.153	-0.152	-0.152	-0.151	-0.154	-0.152	-0.16	-0.151	-0.153	-0.153	-0.152
FLQS30D5GRWQ	0.0810167241	0.0790105374	0.0780059569	0.0790125005	0.0800147015	0.0790168431	0.0790105969	0.0780122626	0.0800084553	0.0810146421	0.0800166646	0.0790104184	0.0770038748	0.0800166646	0.0770120841	0.0770166052	0.0800105374	0.080012441	0.0780100615	0.0800084553	0.0790104184	0.0800127979	0.0780125005	0.0790061353	0.0790105969	0.0770058379	0.0800042912	0.0790040533	0.0800023281	0.0800001866	0.0790061948	0.0430043507	0.00998964899998	0.010989649	0.008989649	0.00898964400002	0.00798964400002	0.011989647	0.010989647	0.010989643	0.00698964899999	0.00998964700003	0.008989649	0.00698965399999	0.00498964400001	0.00898964700002	0.012989647	0.00998964899998	0.010989647	0.00998964899998	0.00998964499999	0.010989645	0.01198964	0.012989647	0.00698964200001	0.019989636	0.011989626	0.008989633	0.016989629	0.018989633	0.017989632	0.009989633	0.012989636	-0.032010376	-0.216	-0.215	-0.214	-0.215	-0.216	-0.216	-0.216	-0.215	-0.215	-0.216	-0.216	-0.215	-0.214	-0.216	-0.215	-0.214	-0.216	-0.215	-0.215	-0.216	-0.215	-0.215	-0.215	-0.217	-0.215	-0.215	-0.217	-0.217	-0.217	-0.216	-0.215	-0.198
FLQS30CMGRWQ	-0.0356570443	-0.0345789408	-0.0345207461	-0.0336049753	-0.0346325413	-0.0346593415	-0.0355789408	-0.0336034439	-0.0365506092	-0.0336317756	-0.0356570443	-0.0315781751	-0.0334939459	-0.0346578101	-0.035600381	-0.0356578101	-0.0335781751	-0.0356026782	-0.0345743465	-0.0365506092	-0.0325781751	-0.0356065068	-0.0336057411	-0.0325245747	-0.0335804723	-0.0335199804	-0.0315008373	-0.0324970087	-0.0334740371	-0.0334449397	-0.0305245747	-0.0305031345	-0.037833986	-0.034834511	-0.0368353	-0.037853182	-0.03885397	-0.0388424	-0.039843452	-0.03986107	-0.035834511	-0.036843978	-0.03783346	-0.040817156	-0.035854759	-0.035843189	-0.067850815	-0.039834511	-0.037844241	-0.069843978	-0.039852656	-0.033851604	-0.038869485	-0.038843189	-0.037862385	-0.033887629	-0.04191971	-0.033896833	-0.039909455	-0.034897885	-0.03990104	-0.042893677	-0.078897096	-0.042928125	-0.21	-0.211	-0.211	-0.211	-0.21	-0.21	-0.21	-0.212	-0.21	-0.211	-0.21	-0.211	-0.211	-0.211	-0.206	-0.21	-0.212	-0.205	-0.211	-0.21	-0.211	-0.21	-0.212	-0.212	-0.211	-0.212	-0.212	-0.212	-0.211	-0.21	-0.206	-0.211
FLQS30BWGRWY	-0.0431046438	-0.0441382246	-0.0441633287	-0.0421264876	-0.0431147506	-0.0421036657	-0.0431378986	-0.0741382246	-0.0431496356	-0.0411261616	-0.0411043177	-0.0421385506	-0.0751851726	-0.0421043177	-0.0411388767	-0.0411039917	-0.0431385506	-0.0751375725	-0.0441405068	-0.0461499616	-0.0441388767	-0.0461264876	-0.0421264876	-0.0441623506	-0.0421486575	-0.0431646328	-0.0421731095	-0.0431740876	-0.0731939753	-0.0752057123	-0.0421616986	-0.0411724575	0.105445683	0.073442535	0.104444896	0.1044992	0.105499987	0.107473229	0.103466932	0.10452045	0.106440961	0.10847559	0.104444896	0.105389017	0.06852832	0.105474803	0.109468506	0.106444109	0.104471654	0.099449618	0.105494478	0.102492904	0.104549569	0.07047008	0.104525959	0.113596004	0.10669989	0.106629058	0.108665261	0.106631419	0.102641651	0.097622762	0.111593642	0.107727436	-0.04	-0.035	-0.039	-0.04	-0.04	-0.041	-0.04	-0.03	-0.04	-0.042	-0.041	-0.04	-0.023	-0.041	-0.041	-0.041	-0.04	-0.028	-0.04	-0.039	-0.04	-0.034	-0.041	-0.041	-0.041	-0.041	-0.041	-0.041	-0.03	-0.029	-0.041	-0.041
FLQS30BJGRWV	0.0376029667	0.0375738913	0.0385558923	0.03658386	0.0395935518	0.0366032436	0.0375741682	0.0365849676	0.0395644764	0.0375935518	0.0716029667	0.0355738913	0.0345456467	0.0376032436	0.0355844138	0.0706032436	0.0355738913	0.03858386	0.0345749989	0.0365653072	0.0345744451	0.03658386	0.07158386	0.0725558923	0.0245752759	0.0705550616	0.0375462005	0.0355464774	0.0385365087	0.03752654	0.0345553385	0.035544816	0.036519618	0.036520505	0.041520682	0.036532203	0.072532203	0.035525467	0.036525822	0.041540179	0.041519087	0.033525999	0.077519618	0.035507743	0.00753858399997	0.036525999	0.037528303	0.076519796	0.037525822	0.036519796	0.043531317	0.038533798	0.038545851	0.036525645	0.077538229	0.086564816	-0.090416928	0.081563575	0.043577223	0.040570665	0.072571551	0.040564461	0.041561271	0.00659069299999	-0.177	-0.178	-0.178	-0.177	-0.184	-0.177	-0.177	-0.178	-0.179	-0.177	-0.195	-0.177	-0.172	-0.177	-0.176	-0.194	-0.177	-0.178	-0.177	-0.177	-0.176	-0.177	-0.194	-0.196	-0.154	-0.194	-0.178	-0.177	-0.183	-0.178	-0.177	-0.172
FLQS30AEGRWV	0.0930525451	0.0930246788	0.0950064585	0.0920340569	0.0940439708	0.0930533489	0.0940249467	0.0930345927	0.0940153007	0.092042899	0.1250522771	0.0930246788	0.0909970804	0.092052813	0.0910340569	0.125053081	0.0940246788	0.090033521	0.0940252147	0.0930158366	0.0940252147	0.0950345927	0.0940343248	0.0930064585	0.0900257506	0.0940064585	0.0909970804	0.1260064585	0.0929877023	0.0939783242	0.0930067264	0.0929976163	-0.080171278	-0.086171949	-0.078172619	-0.076186024	-0.076186917	-0.078178428	-0.080178428	-0.077194513	-0.082171278	-0.076179098	-0.073170832	-0.079155416	-0.076187587	-0.081179545	-0.078178874	-0.074171278	-0.078178874	-0.076170832	-0.080187141	-0.075186917	-0.078201662	-0.080178204	-0.076194066	-0.072217078	-0.073240759	-0.077226014	-0.07423361	-0.040218195	-0.073226238	-0.071217971	-0.073217525	-0.080251036	-0.063	-0.063	-0.064	-0.064	-0.064	-0.063	-0.064	-0.064	-0.063	-0.063	-0.075	-0.063	-0.064	-0.063	-0.062	-0.075	-0.064	-0.063	-0.064	-0.064	-0.064	-0.064	-0.064	-0.064	-0.063	-0.064	-0.063	-0.08	-0.064	-0.065	-0.064	-0.063
FLQS309TGRWY	-0.1236033041	-0.1225124553	-0.1234521893	-0.1215430381	-0.1215745203	-0.121606902	-0.1235133548	-0.1255448371	-0.1234800736	-0.1235727213	-0.1226051031	-0.1225115558	-0.1244198076	-0.1226051031	-0.1235448371	-0.1216060025	-0.1215115558	-0.1235421386	-0.1235142543	-0.1224827721	-0.1235124553	-0.1225457366	-0.1235421386	-0.1254512898	-0.1245142543	-0.1234503904	-0.1244189081	-0.1254198076	-0.1223892249	-0.1193568431	-0.1244503904	-0.1254153101	-0.016943205	-0.012943343	-0.00994375799999	-0.012948176	-0.013948314	-0.016945484	-0.018945553	-0.012950731	-0.014943136	-0.015945691	-0.015942998	-0.011938373	-0.00594831400002	-0.015945622	-0.00894589800001	-0.013943136	-0.013945622	-0.015943274	-0.010948107	0.020051686	-0.00895287100002	-0.014945553	-0.016950592	-0.006958532	-0.010965367	-0.012960327	-0.00396274299999	-0.006960948	-0.00296053400001	0.019041468	-0.00795839399998	0.023032148	0.073	0.073	0.073	0.074	0.073	0.073	0.074	0.074	0.074	0.074	0.074	0.073	0.072	0.074	0.073	0.073	0.073	0.074	0.074	0.068	0.073	0.074	0.074	0.073	0.074	0.074	0.073	0.073	0.072	0.067	0.073	0.069
FLQS309QGRWV	0.0539658395	0.0538747969	0.0558161445	0.0549054362	0.0569387018	0.0569684657	0.0548756723	0.0539054362	0.0548424067	0.0539352002	0.0539649641	0.0548774231	0.0547837543	0.0539658395	0.0539045608	0.0549658395	0.0568765477	0.0569045608	0.0568765477	0.0588459084	0.0568756723	0.0569071871	0.0559054362	0.0528143936	0.0558782985	0.0518126428	0.0547846297	0.0537837543	0.053753115	0.0537207248	0.055815269	0.0577855051	-0.026227257	-0.019227805	-0.017227147	-0.023220134	-0.024219805	0.012772195	-0.024224188	-0.023215641	-0.024227476	-0.024223641	-0.024227476	-0.023235475	-0.026219257	-0.025223421	-0.024223421	-0.021227366	-0.023223969	0.011772524	0.013780414	0.015780304	-0.025211806	-0.017224408	-0.023216299	-0.025202711	-0.017192082	-0.02820041	-0.016195698	-0.022198766	-0.016199423	-0.01920293	-0.025203149	0.011807809	-0.12	-0.122	-0.122	-0.121	-0.121	-0.128	-0.121	-0.12	-0.121	-0.121	-0.121	-0.121	-0.121	-0.121	-0.121	-0.121	-0.122	-0.127	-0.128	-0.128	-0.122	-0.122	-0.121	-0.12	-0.122	-0.119	-0.122	-0.12	-0.122	-0.122	-0.121	-0.127
FLQS309NGRWM	-0.0490734352	-0.0510242889	-0.0499913702	-0.0510414438	-0.051058135	-0.0490738989	-0.0500256799	-0.0510400528	-0.0500075977	-0.0500572077	-0.0500725079	-0.0490266072	-0.0509742154	-0.0490729716	-0.0500395892	-0.0500729716	-0.0510252162	-0.0500405165	-0.0510233616	-0.051008525	-0.0500242889	-0.0490423711	-0.0500419074	-0.0479922975	-0.0490261435	-0.0499895156	-0.0479765336	-0.0489751427	-0.049960306	-0.0519426876	-0.0479922975	-0.0519760699	0.070249466	0.046264883	0.075247182	0.041302571	0.038304855	0.071266025	0.073265454	0.079303713	0.075246611	0.069267739	0.071249466	0.074208353	0.073287724	0.073270023	0.078263741	0.069249466	0.04028544	0.070249466	0.041304855	0.079283156	0.083324269	0.071264883	0.070306568	0.082367667	0.078435047	0.077387081	0.075416774	0.08039222	0.072397931	0.072379658	0.08136367	0.079448751	0.005	0.008	0.00399999999999	0.009	0.00999999999999	0.00399999999999	0.004	0.004	0.00400000000002	0.005	0.005	0.004	0.005	0.004	0.00299999999999	0.005	0.01	0.00500000000001	0.01	0.003	0.003	0.004	0.00500000000001	0.00200000000001	0.003	0.00300000000001	0.00299999999999	0.00299999999999	0.00500000000001	0.004	0.002	0.00399999999999
FLQS308YGRWQ	-0.0090994847	-0.0110751104	-0.010057427	-0.0110832351	-0.0110918378	-0.0101004405	-0.0110753493	-0.0280827572	-0.0120667466	-0.011091121	-0.0100994847	-0.0090751104	-0.0100490633	-0.0110994847	-0.0310820403	-0.0100999626	-0.0110748714	-0.0130825182	-0.0110739155	-0.0130667466	-0.0120746324	-0.011083952	-0.0100834741	-0.011057666	-0.0140760662	-0.0130559932	-0.0110502581	-0.0110493022	-0.0110421333	-0.0080340085	-0.0100581439	-0.00805121399999	-0.023188435	-0.026189162	-0.021189344	-0.024201534	-0.024201898	-0.024194802	-0.026194802	-0.065206264	-0.023188798	-0.023195166	-0.024188435	-0.024176609	-0.022202444	-0.024195348	-0.065193529	-0.026188616	-0.023195166	-0.02318898	-0.02220117	-0.02120026	-0.025212996	-0.025194802	-0.022207538	-0.015223185	-0.057245927	-0.01923119	-0.018239013	-0.016230462	-0.019233009	-0.020227733	-0.018222639	0.014752618	-0.121	-0.12	-0.121	-0.12	-0.12	-0.12	-0.12	-0.108	-0.12	-0.12	-0.12	-0.121	-0.12	-0.12	-0.107	-0.12	-0.12	-0.12	-0.12	-0.119	-0.12	-0.12	-0.12	-0.122	-0.114	-0.12	-0.12	-0.121	-0.12	-0.121	-0.121	-0.127
FLQS3084GRWM	0.038781366	0.0367184187	0.036673024	0.0367396029	0.0357619976	0.0357825765	0.0377202345	0.0357371818	0.0356978398	0.0377601818	0.036781366	0.0377178134	0.0386518398	0.037781366	0.0357359713	0.036781366	0.0377184187	0.0367389976	0.0377147871	0.0366978398	0.0347172081	0.0357408134	0.0367402081	0.0336748398	0.037721445	0.0356693924	0.0346554714	0.0366536556	0.0356354977	0.0356137083	0.034675445	0.0346566819	0.041797228	0.039797325	0.044797248	0.042798608	0.040798647	0.037797889	0.04279783	0.041799132	0.037797286	0.043797908	0.006797189	0.041795965	0.044798705	0.042797947	0.03979785	0.040797228	0.042797966	0.011797248	0.040798627	0.040798511	0.042799851	0.039797889	0.042799268	0.04680092	0.046803543	0.044801755	0.04780263	0.002801678	0.047801989	0.047801581	0.051800803	0.038804204	0.251	0.252	0.251	0.251	0.252	0.253	0.251	0.252	0.253	0.251	0.257	0.252	0.251	0.251	0.252	0.252	0.251	0.256	0.252	0.252	0.252	0.252	0.252	0.252	0.251	0.252	0.251	0.258	0.251	0.251	0.251	0.253
FLQS307KGRWV	0.1363590643	0.0803319012	0.0763127576	0.1333406969	0.13335001	0.1333588056	0.1343321599	0.1313401795	0.0803228468	0.1343497513	0.1353588056	0.1323311251	0.077303962	0.1333588056	0.0773401795	0.1343588056	0.1333316425	0.1333406969	0.0763308664	0.0803228468	0.0773311251	0.1333412143	0.1333409556	0.0793135337	0.0773311251	0.131313275	0.080304738	0.1323044793	0.0812959424	0.081286888	0.132313275	0.077303962	0.065938749	0.000938734000016	0.072938763	0.060937661	0.059937647	0.056938219	0.062938276	0.047937174	-0.00206130799998	0.065938205	0.066938792	0.059939679	0.066937675	0.066938262	0.066938176	0.060938734	0.061938162	0.062938677	0.077937833	0.080937876	0.082936903	0.055938205	0.062937203	0.03593623	-0.00306583099999	0.063935457	0.016934956	0.065935643	0.010935371	0.00993585800001	0.065936101	0.066933668	-0.028	0.0	-0.00999999999999	-0.026	-0.026	-0.026	-0.027	-0.023	0.0	-0.027	-0.028	-0.026	-0.00899999999999	-0.028	-0.00900000000001	-0.026	-0.026	-0.027	-0.01	-0.012	-0.011	-0.026	-0.027	-0.00500000000001	0.00200000000001	-0.026	-0.00199999999998	-0.027	-0.001	-0.001	-0.027	-0.008
FLQS3072GRWV	0.1827004703	0.1867550559	0.1867917961	0.1857361609	0.1867172659	0.1836999454	0.186754531	0.1867366857	0.1877723763	0.1867183156	0.1837004703	0.1847550559	0.1848106911	0.1837004703	0.1867372106	0.1837004703	0.1867550559	0.1857372106	0.1857555807	0.1887713265	0.185754531	0.186735636	0.1867361609	0.1887902215	0.1847529564	0.1847933707	0.1878080668	0.1868091165	0.1888259121	0.1868448071	0.1887902215	0.1868085917	0.059439132	0.095438314	0.098438968	0.089427016	0.09142718	0.091434057	0.091433074	0.093421122	0.093438641	0.09143291	0.090439132	0.094450102	0.09742718	0.089433074	0.095432419	0.091439296	0.092432583	0.09043815	0.096427344	0.09542718	0.092415555	0.094434057	0.088421122	0.10140262	0.09038461	0.095399509	0.089390177	0.060396562	0.092395907	0.065401638	0.101403766	0.091381008	-0.095	-0.102	-0.102	-0.1	-0.101	-0.1	-0.101	-0.101	-0.101	-0.1	-0.099	-0.101	-0.102	-0.1	-0.101	-0.1	-0.101	-0.101	-0.101	-0.102	-0.101	-0.101	-0.1	-0.102	-0.1	-0.101	-0.101	-0.096	-0.101	-0.097	-0.102	-0.101
FLQS305NGRWM	-0.0161991534	-0.0301472663	-0.0411146133	-0.0331633692	-0.0311803667	-0.0201991534	-0.1061481609	-0.0331620273	-0.0391311634	-0.0301790248	-0.0171991534	-0.0201521866	-0.0410989577	-0.0171991534	-0.0421611327	-0.0181991534	-0.0221521866	-0.0311624746	-0.0271521866	-0.031132058	-0.0311472663	-0.0661642638	-0.0321638165	-0.0321159552	-0.0311499501	-0.0161208755	-0.0271052199	-0.0271052199	-0.0250895643	-0.0310698831	-0.0321164025	-0.0291029834	-0.00623262299999	0.019766319	-0.048236857	-0.046243951	-0.014240775	-0.00923632799999	-0.015237069	-0.014244056	-0.019233787	-0.016237281	-0.00523262299998	-0.00422521200002	-0.020241304	-0.005236328	-0.014236963	-0.00423262299998	-0.005236328	-0.018233999	-0.00824003299996	-0.014244268	-0.013247973	-0.019236857	-0.01524448	-0.007256125	-0.013269147	-0.00325856000001	-0.00826226500001	-0.00825856	0.01974144	-0.01325856	-0.008254749	-0.016271793	-0.099	-0.098	-0.084	-0.087	-0.092	-0.096	-0.068	-0.092	-0.089	-0.092	-0.099	-0.097	-0.088	-0.098	-0.089	-0.099	-0.097	-0.092	-0.095	-0.093	-0.093	-0.08	-0.092	-0.093	-0.092	-0.099	-0.095	-0.095	-0.099	-0.093	-0.093	-0.093
FLQS305DGRWM	-0.00463791109999	-0.0025990195	0.0564066998	-0.00361236470002	-0.00162609109999	-0.00363943619999	0.0373800095	-0.0206112208	-0.001586437	-0.0036249472	-0.00463791109999	-0.0015986383	-0.0225570777	-0.0056379111	-0.0236100769	-0.0036386737	-0.00359863829999	-0.0196116021	-0.00359711310001	0.0373933547	-0.0175990195	-0.0136138898	-0.003612746	0.0524066998	-0.00460054470001	-0.0235700415	0.0484200449	0.0374200449	0.0474333901	-0.00153381899999	0.0524066998	0.0464200449	-0.00363333600001	-0.00263335900001	0.015367277	-0.00363418700002	-0.003634164	0.000366289999988	0.00136688000001	-0.041634402	-0.000633359000005	-0.00563375600001	-0.00263329100002	-0.000632542000005	0.015365847	-0.00163370999999	-0.044633642	-0.000633302000011	-0.00263374400001	-0.054633359	0.00136599499999	0.001366483	-0.040634788	-0.052633733	-0.004634538	0.032364895	-0.00263690899999	-0.036635933	0.043364101	0.00136449799999	0.050364498	-0.00163576299997	0.029364895	0.051363307	-0.04	-0.04	-0.063	-0.041	-0.041	-0.04	-0.055	-0.029	-0.042	-0.04	-0.041	-0.041	-0.037	-0.04	-0.027	-0.041	-0.041	-0.027	-0.041	-0.055	-0.03	-0.029	-0.04	-0.064	-0.04	-0.029	-0.064	-0.054	-0.065	-0.041	-0.064	-0.066
FLQS3057GRWM	0.00165582310001	0.00266574049999	0.00267282429999	0.0006625292	0.000659034500003	0.00265563420001	0.0026655516	0.000662906999992	0.000669046300004	0.0026592234	0.00265582310001	0.0016657405	0.000676413400001	0.0016557287	0.0006630014	0.00165582310001	0.00266574049999	0.00266252920001	0.00366630720001	0.000669046300004	0.0026658349	0.00166224579999	0.0026624347	0.0016726354	0.00266564600001	0.000673202099989	0.0016755634	-0.000324058800004	0.000678963599995	0.0016823639	0.001672541	0.000675752299983	-0.114334766	-0.114333178	-0.110327621	-0.114388751	-0.11539272	-0.153360965	-0.117360171	-0.11541098	-0.148333178	-0.113362552	-0.114332384	-0.146277606	-0.111387163	-0.114361758	-0.14835382	-0.15133556	-0.113360965	-0.114333972	-0.1103824	-0.1513824	-0.118440354	-0.117359377	-0.146416537	-0.153504659	-0.144596751	-0.113517361	-0.112564995	-0.154534033	-0.144537209	-0.146518155	-0.11549672	-0.11261501	-0.149	-0.149	-0.15	-0.149	-0.148	-0.143	-0.149	-0.148	-0.144	-0.149	-0.149	-0.144	-0.149	-0.149	-0.144	-0.143	-0.149	-0.149	-0.15	-0.144	-0.148	-0.149	-0.145	-0.143	-0.144	-0.148	-0.149	-0.143	-0.144	-0.145	-0.149	-0.149
FLQS3052GRWY	0.0254772526	0.0145926468	0.0166671936	0.0105569052	0.0105211637	0.0114844009	0.0185844773	0.0185487357	0.0196202189	0.00852320600001	0.0184772526	0.00959366800001	0.008701914	0.00948644330001	0.0185487357	0.0104854221	0.0105926468	0.0225487357	0.0135977528	0.0186202189	0.0155926468	0.0145538417	0.0185487357	0.0216559605	0.0165885621	0.0166692359	0.0206917021	0.0236917021	0.0207274437	0.0157693124	0.01366413	0.0186917021	0.132332143	0.085338955	0.093338363	0.041349619	0.041349619	0.043344139	0.092337326	0.089347693	0.095332143	0.045343843	0.019332143	0.04432844	0.039349915	0.045343843	0.089337326	0.044338807	0.045343843	0.096332143	0.046348286	0.08934251	0.049357765	0.082344287	0.089347693	0.060363244	0.044384275	0.084372723	0.076373612	0.067368428	0.081368428	0.045369909	0.044366355	0.019394346	-0.018	-0.008	-0.01	0.0	0.0	0.0	-0.01	-0.009	-0.011	0.001	0.000999999999991	0.001	0.001	0.0	-0.00999999999999	0.0	0.0	-0.012	-0.002	-0.00999999999999	-0.00299999999999	-0.00700000000001	-0.009	-0.00600000000001	-0.002	-0.008	-0.00800000000001	-0.00800000000001	-0.009	-0.00200000000001	-0.000999999999976	0.001
FLQS304WGRWM	2.7346661503	2.7323518197	2.7279384722	2.7335102265	2.7336686333	2.7357948621	2.7334483536	2.7343815146	2.7312255908	2.7335720994	2.7356661503	2.7313196417	2.7297800654	2.7346661503	2.7343171587	2.7357305062	2.7303196417	2.7334458706	2.7311265739	2.7302577688	2.7323196417	2.7346067604	2.7345424045	2.7310350061	2.7334161756	2.7328419383	2.7320053111	2.7309087772	2.7258790823	2.7277206755	2.731099362	2.7330696671	0.026229411	0.025230197	0.024230197	0.0272121	0.026210789	0.027222067	0.028223116	0.026205281	0.025230984	0.026220755	0.025230197	0.021247246	0.027211313	0.024219444	0.025223378	0.030230984	0.024220231	0.024229411	0.019211838	0.02621446	0.025196101	0.024222591	0.02620292	0.031179839	-0.00585189700001	0.026168561	0.024156759	0.03216961	-0.00383327500001	0.028174331	0.029179839	0.019135252	-0.19	-0.191	-0.19	-0.191	-0.19	-0.191	-0.192	-0.191	-0.191	-0.191	-0.19	-0.189	-0.191	-0.19	-0.191	-0.191	-0.19	-0.19	-0.189	-0.19	-0.191	-0.191	-0.191	-0.192	-0.186	-0.191	-0.191	-0.192	-0.186	-0.191	-0.192	-0.19
FLQS3047GRWM	0.1310445278	0.1319601238	0.1308978451	0.1890363332	0.1320199441	0.1300461667	0.1329609432	0.1309863464	0.1319314428	0.1300166663	0.1310445278	0.1329593043	0.1298691641	0.1310453473	0.1309847075	0.1310453473	0.1319593043	0.1299871658	0.130955207	0.1329314428	0.1299576654	0.1319904437	0.1319896242	0.1289011229	0.1850076523	0.1298970256	0.1278749003	0.128870803	0.1308478583	0.1328191773	0.1309019424	0.1278757198	0.026720721	0.02872113	0.028720925	0.100720414	0.029727876	0.024723685	0.026724401	0.030730738	0.031720619	0.027724196	0.024720721	0.028713873	0.033727876	0.024724707	0.031723992	0.024720619	0.028724605	0.02672113	0.033727467	0.032726956	0.031734417	0.027723685	0.028731249	0.029741266	0.112745456	0.025744945	0.029749545	0.027745456	0.031746172	0.034743208	0.030740755	0.0307567	-0.116	-0.116	-0.117	-0.146	-0.117	-0.116	-0.117	-0.117	-0.117	-0.116	-0.116	-0.117	-0.117	-0.116	-0.117	-0.116	-0.117	-0.116	-0.117	-0.118	-0.117	-0.117	-0.117	-0.116	-0.147	-0.116	-0.116	-0.116	-0.116	-0.118	-0.117	-0.116
FLQS303BGRWM	-0.0150197009	-0.0140165302	-0.0180144165	-0.0150175871	-0.0140186742	-0.0150197311	-0.0150165604	-0.0180174965	-0.0160154431	-0.0140186742	-0.0150197009	-0.0150165906	-0.0160133294	-0.0150197009	-0.0160175267	-0.0150196707	-0.0480165302	-0.0140175871	-0.0160165	-0.0160155639	-0.0170164698	-0.0150176475	-0.0160175267	-0.0160144466	-0.0500165604	-0.0150143259	-0.0150134502	-0.0160133898	-0.0490123329	-0.0180112156	-0.0140144466	-0.0150133898	0.062136178	0.066134453	0.061136178	0.067163775	0.065165931	0.066148683	0.064147389	0.064181886	0.064133591	0.063149976	0.063135747	0.0661047	0.0651655	0.06515127	0.06615127	0.065135747	0.060149545	0.067135747	0.064165069	0.063166793	0.067195684	0.068146958	0.067178867	0.064236217	0.060281063	0.063240529	0.065265971	0.064252172	0.055250447	0.068236217	0.066231474	0.062288393	0.078	0.077	0.08	0.078	0.078	0.077	0.078	0.079	0.079	0.079	0.078	0.078	0.079	0.078	0.078	0.078	0.089	0.077	0.078	0.079	0.078	0.078	0.078	0.078	0.09	0.078	0.079	0.079	0.091	0.079	0.078	0.079
