SN	Distance_X_LOGO_Nfc_Up1	Distance_X_LOGO_Nfc_Up2	Distance_X_LOGO_Nfc_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Nfc_Up1	Distance_Y_LOGO_Nfc_Up2	Distance_Y_LOGO_Nfc_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Nfc_Up1	Angle_Nfc_Up2	Angle_Nfc_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS202VGRWV____	0.072	0.073	0.075	0.073	0.072	0.072	0.071	0.076	0.072	0.073	0.071	0.071	0.073	0.071	0.076	0.073	0.073	0.073	0.075	0.072	0.072	0.072	0.073	0.074	0.073	0.072	0.071	0.039	0.071	0.070	0.072	0.069	0.070	0.071	0.068	0.071	0.070	0.073	0.067	0.067	0.070	0.073	0.070	0.072	0.068	0.071	0.067	0.071	0.070	0.071	0.070	0.067	0.068	0.072	0.070	0.070	0.072	0.031	0.069	0.023	0.065	0.065	0.071	0.079	-0.262	-0.263	-0.263	-0.263	-0.263	-0.263	-0.262	-0.263	-0.262	-0.263	-0.262	-0.262	-0.262	-0.263	-0.263	-0.263	-0.263	-0.263	-0.264	-0.262	-0.262	-0.263	-0.262	-0.263	-0.263	-0.256	-0.262	-0.245	-0.262	-0.261	-0.263	-0.263	0.071	0.067	-0.262	2016_7_13_9_46_42
FLNS2009GRWF____	0.171	0.169	0.170	0.169	0.185	0.184	0.171	0.171	0.169	0.187	0.171	0.187	0.169	0.185	0.191	0.169	0.169	0.173	0.170	0.170	0.171	0.169	0.170	0.169	0.171	0.190	0.168	0.168	0.169	0.169	0.184	0.172	0.026	-0.008	-0.012	-0.010	0.034	-0.006	0.020	-0.010	-0.007	0.036	0.025	0.040	-0.016	0.000	0.033	-0.008	-0.011	0.023	-0.012	0.030	-0.010	-0.006	-0.009	-0.010	-0.004	-0.014	-0.002	-0.008	-0.005	-0.005	0.024	0.029	0.259	0.265	0.265	0.266	0.254	0.260	0.261	0.265	0.265	0.253	0.259	0.252	0.266	0.259	0.252	0.265	0.266	0.259	0.265	0.259	0.265	0.265	0.265	0.265	0.264	0.259	0.264	0.265	0.265	0.265	0.256	0.259	0.174	0.005	0.262	2016_7_13_9_46_46
FLQS2C39GRX5____	0.124	0.124	0.132	0.126	0.127	0.122	0.124	0.129	0.122	0.123	0.123	0.129	0.131	0.087	0.129	0.121	0.126	0.124	0.134	0.127	0.128	0.123	0.126	0.126	0.125	0.130	0.124	0.125	0.123	0.121	0.128	0.124	0.076	0.085	0.069	0.088	0.088	0.075	0.086	0.069	0.089	0.080	0.074	0.081	0.080	0.075	0.080	0.073	0.079	0.085	0.080	0.076	0.071	0.079	0.082	0.047	0.079	0.043	0.055	-0.001	0.054	0.075	0.043	0.072	-0.221	-0.222	-0.222	-0.222	-0.223	-0.219	-0.222	-0.221	-0.222	-0.221	-0.219	-0.223	-0.223	-0.208	-0.222	-0.219	-0.222	-0.222	-0.224	-0.221	-0.220	-0.220	-0.222	-0.217	-0.221	-0.217	-0.218	-0.209	-0.217	-0.219	-0.217	-0.220	0.125	0.071	-0.220	2016_7_13_9_46_49
FLQS2C44GRX5____	0.512	0.514	0.514	0.513	0.514	0.516	0.513	0.515	0.515	0.513	0.513	0.513	0.514	0.514	0.546	0.515	0.515	0.514	0.514	0.515	0.517	0.515	0.515	0.515	0.515	0.516	0.514	0.517	0.518	0.515	0.515	0.513	0.062	0.091	0.095	0.092	0.094	0.096	0.093	0.092	0.091	0.095	0.098	0.094	0.092	0.097	0.140	0.097	0.096	0.095	0.093	0.092	0.130	0.094	0.092	0.121	0.109	0.132	0.080	0.121	0.112	0.079	0.123	0.088	-0.369	-0.374	-0.374	-0.373	-0.374	-0.375	-0.374	-0.373	-0.374	-0.374	-0.375	-0.374	-0.374	-0.375	-0.391	-0.374	-0.375	-0.374	-0.373	-0.374	-0.380	-0.375	-0.374	-0.378	-0.376	-0.380	-0.372	-0.379	-0.378	-0.372	-0.379	-0.372	0.516	0.099	-0.375	2016_7_13_9_46_51
FLQS2CBBGRX5____	0.120	0.117	0.130	0.084	0.117	0.117	0.119	0.070	0.116	0.118	0.119	0.118	0.129	0.119	0.127	0.117	0.084	0.119	0.128	0.069	0.122	0.088	0.119	0.126	0.071	0.131	0.125	0.128	0.120	0.121	0.124	0.084	-0.039	-0.044	-0.055	-0.086	-0.045	-0.047	-0.043	-0.080	-0.047	-0.043	-0.041	-0.046	-0.058	-0.040	-0.060	-0.044	-0.081	-0.043	-0.053	-0.079	-0.060	-0.053	-0.046	-0.032	-0.131	-0.061	-0.025	-0.068	-0.059	-0.050	-0.080	-0.085	-0.236	-0.236	-0.238	-0.218	-0.236	-0.235	-0.236	-0.214	-0.235	-0.236	-0.236	-0.235	-0.237	-0.237	-0.236	-0.235	-0.219	-0.236	-0.238	-0.214	-0.234	-0.225	-0.235	-0.240	-0.207	-0.238	-0.241	-0.235	-0.234	-0.236	-0.232	-0.218	0.112	-0.057	-0.232	2016_7_13_9_46_54
FLQS23VUGRX2____	-0.354	-0.353	-0.355	-0.354	-0.356	-0.353	-0.355	-0.334	-0.355	-0.355	-0.354	-0.335	-0.332	-0.353	-0.332	-0.354	-0.353	-0.357	-0.354	-0.356	-0.353	-0.353	-0.353	-0.355	-0.352	-0.354	-0.355	-0.356	-0.356	-0.354	-0.355	-0.354	-0.148	-0.148	-0.144	-0.152	-0.152	-0.146	-0.149	-0.150	-0.143	-0.150	-0.151	-0.140	-0.135	-0.148	-0.148	-0.149	-0.149	-0.181	-0.143	-0.147	-0.147	-0.149	-0.152	-0.123	-0.129	-0.145	-0.136	-0.125	-0.179	-0.135	-0.136	-0.137	-0.039	-0.039	-0.040	-0.039	-0.038	-0.040	-0.039	-0.045	-0.039	-0.038	-0.039	-0.046	-0.049	-0.039	-0.046	-0.038	-0.039	-0.033	-0.040	-0.039	-0.039	-0.039	-0.039	-0.043	-0.043	-0.039	-0.041	-0.042	-0.034	-0.041	-0.040	-0.041	-0.352	-0.146	-0.040	2016_7_13_9_46_56
FLQS30BLGRWY____	0.221	0.257	0.216	0.258	0.216	0.256	0.224	0.255	0.261	0.257	0.258	0.258	0.249	0.258	0.252	0.258	0.256	0.260	0.249	0.257	0.257	0.220	0.259	0.215	0.251	0.249	0.249	0.250	0.248	0.252	0.250	0.255	-0.131	-0.121	-0.122	-0.096	-0.140	-0.136	-0.091	-0.070	-0.091	-0.125	-0.088	-0.084	-0.125	-0.087	-0.109	-0.129	-0.087	-0.091	-0.077	-0.038	-0.071	-0.131	-0.091	-0.095	-0.103	-0.057	-0.092	-0.035	-0.094	-0.104	-0.088	-0.074	0.255	0.242	0.254	0.238	0.257	0.244	0.248	0.234	0.236	0.242	0.236	0.235	0.245	0.235	0.241	0.242	0.237	0.236	0.238	0.228	0.234	0.254	0.237	0.251	0.240	0.234	0.239	0.230	0.240	0.241	0.239	0.234	0.248	-0.096	0.241	2016_7_13_9_46_59
FLQS30DEGRWY____	0.129	0.128	0.126	0.128	0.128	0.129	0.134	0.128	0.127	0.129	0.092	0.130	0.128	0.092	0.139	0.129	0.130	0.088	0.127	0.126	0.126	0.094	0.128	0.127	0.127	0.126	0.126	0.126	0.127	0.127	0.126	0.129	-0.004	-0.002	-0.005	-0.003	-0.000	-0.005	0.016	0.000	0.001	-0.002	-0.008	0.023	-0.004	-0.040	0.026	-0.003	-0.003	-0.051	-0.006	-0.004	0.031	-0.005	-0.003	0.009	0.000	-0.005	0.007	0.009	0.003	-0.026	0.011	0.003	0.020	0.019	0.021	0.020	0.020	0.020	0.016	0.020	0.020	0.020	0.032	0.015	0.020	0.037	0.012	0.019	0.020	0.040	0.021	0.021	0.016	0.032	0.020	0.019	0.020	0.021	0.019	0.019	0.019	0.023	0.019	0.019	0.124	-0.001	0.021	2016_7_13_9_47_01
FLQS30LQGRWY____	0.131	0.131	0.130	0.128	0.130	0.131	0.130	0.129	0.130	0.130	0.131	0.129	0.130	0.131	0.130	0.131	0.128	0.130	0.127	0.129	0.129	0.130	0.130	0.131	0.131	0.131	0.130	0.132	0.132	0.130	0.132	0.132	-0.001	-0.003	-0.004	-0.002	-0.001	-0.002	-0.001	-0.001	0.001	-0.005	-0.001	-0.008	0.027	-0.001	-0.002	-0.002	-0.003	-0.004	-0.003	-0.003	-0.001	-0.001	0.001	-0.003	-0.005	-0.004	-0.004	-0.004	-0.007	-0.005	-0.002	0.001	-0.000	0.000	0.001	0.000	0.000	0.000	-0.000	0.000	-0.000	0.000	0.000	0.001	-0.004	-0.000	0.001	0.000	0.001	0.001	0.001	0.001	0.000	0.000	0.000	0.000	0.001	0.000	0.001	0.000	0.001	0.001	-0.000	-0.001	0.130	-0.002	0.000	2016_7_13_9_47_06
FLQS30SPGRWY____	0.052	0.052	0.049	0.049	0.049	0.050	0.051	0.015	0.052	0.017	0.052	0.053	0.051	0.053	0.073	0.017	0.052	0.051	0.051	0.051	0.051	0.050	0.050	0.051	0.051	0.048	0.049	0.049	0.049	0.052	0.049	0.051	0.061	0.057	0.021	0.028	0.029	0.053	0.060	0.018	0.058	0.020	0.061	0.058	0.021	0.066	0.058	0.018	0.059	0.058	0.059	0.020	0.055	0.053	0.057	0.087	0.083	0.054	0.024	0.035	0.073	0.043	0.065	0.054	0.016	0.018	0.024	0.022	0.022	0.018	0.017	0.034	0.017	0.034	0.016	0.016	0.023	0.015	0.010	0.034	0.017	0.017	0.017	0.022	0.018	0.018	0.018	0.013	0.014	0.019	0.023	0.022	0.016	0.019	0.017	0.018	0.048	0.049	0.019	2016_7_13_9_47_09
