SN	Distance_X_LOGO_MainBoard_Corner1	Distance_X_LOGO_MainBoard_Corner2	Distance_X_LOGO_MainBoard_Corner3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Corner1	Distance_Y_LOGO_MainBoard_Corner2	Distance_Y_LOGO_MainBoard_Corner3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Corner1	Angle_MainBoard_Corner2	Angle_MainBoard_Corner3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS202VGRWV____	0.107	0.073	0.035	0.077	0.037	0.079	0.105	0.072	0.071	0.076	0.041	0.072	0.080	0.079	0.038	0.079	0.077	0.077	0.101	0.043	0.075	0.040	0.037	0.076	0.076	0.040	0.037	0.082	0.080	0.072	0.073	0.074	0.003	0.006	0.007	0.006	-0.028	0.008	-0.038	0.008	0.006	0.006	0.008	0.008	0.009	0.006	0.006	0.007	0.007	0.007	0.033	0.008	0.006	-0.029	0.008	0.009	0.005	0.005	0.008	0.010	0.007	0.007	0.007	-0.027	-0.269	-0.258	-0.243	-0.259	-0.238	-0.260	-0.263	-0.257	-0.256	-0.259	-0.246	-0.258	-0.260	-0.260	-0.243	-0.259	-0.259	-0.259	-0.271	-0.246	-0.258	-0.239	-0.243	-0.258	-0.258	-0.244	-0.244	-0.260	-0.259	-0.257	-0.258	-0.252	0.068	0.003	-0.255	2016_7_13_10_10_29
FLNS2009GRWF____	0.140	0.139	0.138	0.141	0.136	0.139	0.137	0.171	0.135	0.170	0.139	0.138	0.139	0.140	0.141	0.136	0.174	0.173	0.140	0.140	0.173	0.138	0.137	0.171	0.171	0.177	0.103	0.174	0.140	0.170	0.173	0.132	-0.013	-0.015	-0.011	-0.013	-0.016	-0.012	-0.017	-0.015	-0.014	-0.013	-0.011	-0.011	-0.016	-0.013	-0.014	-0.020	-0.013	-0.015	-0.013	-0.011	-0.015	-0.012	-0.014	-0.013	-0.016	-0.014	-0.015	-0.013	-0.011	-0.015	-0.015	-0.021	0.268	0.268	0.268	0.267	0.269	0.268	0.269	0.255	0.270	0.256	0.268	0.268	0.269	0.267	0.267	0.270	0.254	0.255	0.267	0.267	0.256	0.268	0.269	0.256	0.256	0.253	0.281	0.254	0.267	0.256	0.255	0.271	0.149	-0.014	0.264	2016_7_13_10_10_34
FLQS2C39GRX5____	0.277	0.262	0.271	0.270	0.262	0.259	0.254	0.275	0.259	0.265	0.261	0.260	0.256	0.273	0.262	0.318	0.275	0.263	0.266	0.277	0.260	0.261	0.260	0.261	0.278	0.263	0.288	0.270	0.279	0.273	0.257	0.276	-0.159	-0.131	-0.120	-0.073	-0.128	-0.132	-0.141	-0.165	-0.133	-0.118	-0.128	-0.131	-0.140	-0.116	-0.133	-0.180	-0.157	-0.132	-0.127	-0.119	-0.135	-0.132	-0.133	-0.132	-0.172	-0.129	-0.134	-0.174	-0.127	-0.117	-0.131	-0.123	-0.251	-0.249	-0.254	-0.261	-0.249	-0.247	-0.244	-0.249	-0.248	-0.252	-0.248	-0.249	-0.245	-0.256	-0.249	-0.263	-0.250	-0.249	-0.251	-0.256	-0.247	-0.248	-0.248	-0.248	-0.249	-0.250	-0.259	-0.246	-0.256	-0.255	-0.246	-0.255	0.269	-0.134	-0.251	2016_7_13_10_10_37
FLQS2C44GRX5____	0.509	0.441	0.441	0.443	0.477	0.442	0.446	0.513	0.444	0.515	0.447	0.440	0.447	0.443	0.511	0.443	0.441	0.476	0.476	0.480	0.441	0.437	0.439	0.441	0.444	0.440	0.439	0.409	0.440	0.438	0.446	0.435	-0.030	-0.047	-0.038	-0.033	-0.046	-0.011	-0.035	-0.029	-0.029	-0.100	-0.028	-0.047	-0.046	-0.045	-0.030	-0.046	-0.043	-0.042	0.007	-0.047	-0.027	-0.047	-0.048	-0.044	-0.040	-0.009	-0.044	-0.027	-0.046	-0.013	-0.031	-0.013	-0.382	-0.354	-0.355	-0.357	-0.367	-0.360	-0.358	-0.384	-0.358	-0.374	-0.358	-0.354	-0.357	-0.355	-0.383	-0.354	-0.354	-0.368	-0.375	-0.368	-0.357	-0.352	-0.353	-0.354	-0.356	-0.359	-0.354	-0.345	-0.354	-0.358	-0.358	-0.356	0.454	-0.036	-0.360	2016_7_13_10_10_39
FLQS2CBBGRX5____	0.038	0.073	0.039	0.035	0.037	0.036	0.075	0.036	0.071	0.035	0.075	0.037	0.012	0.037	0.076	0.072	0.037	0.035	0.074	0.073	0.038	0.072	0.038	0.073	0.014	0.037	0.072	0.036	0.071	0.042	0.036	0.033	-0.133	-0.134	-0.133	-0.134	-0.135	-0.133	-0.138	-0.131	-0.131	-0.127	-0.132	-0.133	-0.137	-0.166	-0.134	-0.130	-0.169	-0.133	-0.135	-0.134	-0.132	-0.131	-0.132	-0.165	-0.138	-0.133	-0.133	-0.134	-0.135	-0.133	-0.166	-0.135	-0.198	-0.212	-0.199	-0.197	-0.198	-0.197	-0.212	-0.198	-0.212	-0.199	-0.213	-0.198	-0.188	-0.193	-0.213	-0.212	-0.193	-0.197	-0.212	-0.212	-0.199	-0.211	-0.199	-0.207	-0.188	-0.198	-0.212	-0.198	-0.211	-0.200	-0.192	-0.197	0.049	-0.137	-0.202	2016_7_13_10_10_43
FLQS23VUGRX2____	-0.376	-0.341	-0.347	-0.310	-0.384	-0.340	-0.300	-0.338	-0.338	-0.343	-0.343	-0.376	-0.299	-0.307	-0.342	-0.300	-0.341	-0.374	-0.347	-0.378	-0.298	-0.374	-0.342	-0.299	-0.298	-0.303	-0.337	-0.340	-0.342	-0.377	-0.334	-0.335	-0.216	-0.249	-0.215	-0.215	-0.219	-0.214	-0.256	-0.213	-0.246	-0.214	-0.214	-0.247	-0.253	-0.214	-0.250	-0.259	-0.214	-0.212	-0.216	-0.252	-0.249	-0.215	-0.213	-0.214	-0.253	-0.247	-0.247	-0.212	-0.219	-0.243	-0.247	-0.247	-0.001	-0.010	-0.012	-0.027	0.002	-0.015	-0.025	-0.016	-0.011	-0.014	-0.014	0.003	-0.025	-0.027	-0.009	-0.024	-0.015	-0.002	-0.012	0.005	-0.026	-0.002	-0.015	-0.031	-0.026	-0.025	-0.011	-0.015	-0.014	0.003	-0.012	-0.012	-0.338	-0.231	-0.014	2016_7_13_10_10_46
FLQS30BLGRWY____	0.141	0.120	0.183	0.143	0.143	0.085	0.145	0.137	0.123	0.138	0.106	0.149	0.143	0.145	0.079	0.179	0.123	0.104	0.079	0.146	0.138	0.139	0.143	0.185	0.138	0.147	0.147	0.149	0.149	0.174	0.141	0.135	-0.027	-0.043	-0.057	-0.021	-0.058	-0.072	-0.058	0.015	-0.072	-0.026	-0.059	-0.035	-0.062	-0.056	-0.047	-0.066	-0.002	-0.056	-0.048	-0.057	-0.057	-0.059	-0.020	-0.018	-0.062	-0.060	-0.058	-0.044	-0.056	-0.060	-0.061	0.012	0.257	0.267	0.245	0.255	0.261	0.285	0.260	0.253	0.271	0.258	0.275	0.255	0.261	0.260	0.283	0.248	0.261	0.275	0.284	0.259	0.262	0.263	0.255	0.239	0.263	0.260	0.259	0.256	0.259	0.249	0.262	0.254	0.137	-0.045	0.261	2016_7_13_10_10_49
FLQS30DEGRWY____	0.083	0.083	0.084	0.083	0.084	0.087	0.100	0.080	0.080	0.059	0.086	0.085	0.086	0.088	0.084	0.081	0.085	0.117	0.084	0.088	0.081	0.082	0.081	0.082	0.081	0.125	0.120	0.060	0.085	0.083	0.082	0.084	-0.083	-0.082	-0.082	-0.080	-0.083	-0.081	-0.129	-0.080	-0.081	-0.097	-0.079	-0.116	-0.080	-0.080	-0.082	-0.089	-0.080	-0.083	-0.081	-0.080	-0.082	-0.082	-0.084	-0.081	-0.082	-0.081	-0.083	-0.101	-0.083	-0.079	-0.080	-0.115	0.042	0.042	0.041	0.042	0.042	0.040	0.042	0.043	0.043	0.054	0.040	0.046	0.041	0.039	0.042	0.044	0.041	0.029	0.041	0.040	0.043	0.042	0.043	0.043	0.043	0.026	0.028	0.053	0.041	0.042	0.043	0.046	0.086	-0.086	0.041	2016_7_13_10_10_51
FLQS30LQGRWY____	0.120	0.085	0.087	0.081	0.119	0.078	0.084	0.090	0.091	0.059	0.083	0.086	0.115	0.085	0.118	0.118	0.083	0.061	0.100	0.120	0.065	0.120	0.083	0.086	0.082	0.093	0.123	0.085	0.081	0.086	0.057	0.081	-0.038	-0.002	-0.037	-0.003	-0.003	-0.005	-0.002	-0.037	0.004	-0.009	-0.003	-0.003	-0.005	-0.002	-0.002	-0.001	-0.003	-0.010	-0.009	-0.001	-0.003	-0.003	0.035	-0.003	-0.002	-0.011	-0.007	0.013	0.035	-0.001	-0.009	-0.003	0.003	0.010	0.014	0.012	-0.003	0.013	0.010	0.013	0.007	0.021	0.011	0.010	-0.001	0.011	-0.003	-0.003	0.011	0.021	0.005	-0.004	0.018	-0.003	0.005	0.010	0.012	0.009	-0.003	0.008	0.006	0.010	0.022	0.011	0.091	-0.004	0.008	2016_7_13_10_10_57
FLQS30SPGRWY____	0.080	0.080	0.014	0.054	0.017	0.082	0.059	0.056	0.015	0.090	0.054	0.080	0.058	0.018	0.081	0.025	0.051	0.054	0.013	0.016	0.052	0.020	0.017	0.054	0.055	0.084	0.021	0.085	0.087	0.054	0.052	0.056	-0.128	-0.129	-0.141	-0.137	-0.144	-0.093	-0.149	-0.141	-0.127	-0.140	-0.137	-0.199	-0.152	-0.137	-0.128	-0.200	-0.139	-0.143	-0.128	-0.139	-0.148	-0.144	-0.148	-0.147	-0.147	-0.197	-0.184	-0.125	-0.202	-0.186	-0.143	-0.183	0.031	0.031	0.058	0.042	0.057	0.025	0.042	0.043	0.055	0.029	0.042	0.042	0.042	0.057	0.030	0.063	0.043	0.043	0.057	0.057	0.044	0.057	0.058	0.043	0.043	0.039	0.062	0.029	0.039	0.050	0.044	0.048	0.051	-0.149	0.045	2016_7_13_10_11_01
