SN	Distance_X_LOGO_MainBoard_RD1	Distance_X_LOGO_MainBoard_RD2	Distance_X_LOGO_MainBoard_RD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RD1	Distance_Y_LOGO_MainBoard_RD2	Distance_Y_LOGO_MainBoard_RD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RD1	Angle_MainBoard_RD2	Angle_MainBoard_RD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS202VGRWV____	-0.143	-0.142	-0.143	-0.143	-0.144	-0.144	-0.140	-0.142	-0.144	-0.142	-0.144	-0.141	-0.143	-0.097	-0.140	-0.097	-0.141	-0.142	-0.140	-0.146	-0.097	-0.142	-0.140	-0.143	-0.143	-0.143	-0.146	-0.143	-0.144	-0.146	-0.144	-0.142	0.035	0.075	0.070	0.074	0.071	0.037	0.075	0.071	0.037	0.071	0.071	0.035	0.074	0.073	0.072	0.073	0.035	0.073	0.072	0.070	0.073	0.070	0.072	0.071	0.070	0.070	0.070	0.070	0.071	0.070	0.073	0.073	-0.193	-0.203	-0.202	-0.204	-0.203	-0.194	-0.203	-0.202	-0.194	-0.202	-0.203	-0.192	-0.204	-0.184	-0.202	-0.184	-0.192	-0.203	-0.202	-0.204	-0.184	-0.203	-0.202	-0.203	-0.202	-0.202	-0.204	-0.202	-0.203	-0.204	-0.204	-0.203	-0.138	0.066	-0.199	2016_7_13_9_16_30
FLNS2009GRWF____	0.095	0.139	0.096	0.098	0.099	0.098	0.095	0.097	0.098	0.097	0.099	0.099	0.138	0.138	0.098	0.138	0.099	0.096	0.098	0.098	0.138	0.135	0.098	0.096	0.096	0.096	0.098	0.096	0.099	0.098	0.142	0.096	0.038	0.041	0.042	0.044	0.004	0.041	0.002	0.042	0.041	0.042	0.004	0.041	0.042	0.043	0.044	0.043	0.041	0.044	0.044	0.043	0.043	0.042	0.044	0.041	0.042	0.042	0.043	0.042	0.004	0.043	0.047	0.044	-0.478	-0.460	-0.478	-0.478	-0.467	-0.477	-0.467	-0.478	-0.477	-0.478	-0.467	-0.476	-0.461	-0.461	-0.478	-0.461	-0.476	-0.479	-0.478	-0.478	-0.461	-0.461	-0.478	-0.478	-0.478	-0.478	-0.478	-0.478	-0.467	-0.478	-0.460	-0.479	0.106	0.038	-0.473	2016_7_13_9_16_36
FLQS2C39GRX5____	-0.363	-0.357	-0.358	-0.318	-0.322	-0.324	-0.321	-0.359	-0.324	-0.359	-0.322	-0.358	-0.356	-0.358	-0.357	-0.358	-0.358	-0.356	-0.357	-0.358	-0.358	-0.359	-0.357	-0.317	-0.358	-0.358	-0.358	-0.358	-0.322	-0.358	-0.358	-0.356	0.072	0.064	0.062	0.116	0.070	0.068	0.068	0.062	0.068	0.062	0.070	0.061	0.065	0.067	0.067	0.067	0.061	0.068	0.067	0.112	0.067	0.067	0.067	0.116	0.062	0.062	0.112	0.062	0.070	0.112	0.110	0.068	-0.162	-0.157	-0.158	-0.156	-0.145	-0.145	-0.143	-0.158	-0.145	-0.158	-0.145	-0.156	-0.157	-0.158	-0.158	-0.158	-0.156	-0.158	-0.158	-0.171	-0.158	-0.159	-0.158	-0.155	-0.158	-0.158	-0.171	-0.158	-0.145	-0.171	-0.170	-0.158	-0.349	0.075	-0.157	2016_7_13_9_16_39
FLQS2C44GRX5____	-0.137	-0.040	-0.098	-0.092	-0.097	-0.132	-0.099	-0.094	-0.132	-0.094	-0.097	-0.138	-0.093	-0.094	-0.094	-0.094	-0.138	-0.098	-0.094	-0.081	-0.094	-0.132	-0.094	-0.092	-0.098	-0.098	-0.081	-0.098	-0.097	-0.081	-0.133	-0.098	-0.012	0.035	-0.012	-0.008	-0.008	-0.044	-0.011	-0.005	-0.044	-0.005	-0.008	-0.010	-0.006	-0.040	-0.044	-0.040	-0.010	-0.005	-0.044	0.000	-0.040	-0.044	-0.044	-0.007	-0.012	-0.012	0.000	-0.012	-0.008	0.000	-0.010	-0.005	-0.179	-0.152	-0.163	-0.162	-0.163	-0.168	-0.164	-0.164	-0.168	-0.164	-0.163	-0.180	-0.163	-0.153	-0.152	-0.153	-0.180	-0.165	-0.152	-0.159	-0.153	-0.169	-0.152	-0.162	-0.163	-0.163	-0.159	-0.163	-0.163	-0.159	-0.178	-0.165	-0.101	-0.016	-0.163	2016_7_13_9_16_41
FLQS2CBBGRX5____	-0.124	-0.127	-0.125	-0.124	-0.127	-0.128	-0.127	-0.126	-0.128	-0.126	-0.127	-0.126	-0.126	-0.123	-0.126	-0.123	-0.126	-0.126	-0.126	-0.126	-0.123	-0.123	-0.126	-0.085	-0.125	-0.125	-0.126	-0.125	-0.127	-0.126	-0.127	-0.126	-0.134	-0.053	-0.013	-0.053	-0.051	-0.053	-0.051	-0.052	-0.053	-0.052	-0.051	-0.053	-0.087	-0.096	-0.051	-0.096	-0.053	-0.052	-0.051	-0.051	-0.096	-0.052	-0.051	-0.009	-0.013	-0.013	-0.051	-0.013	-0.051	-0.051	-0.050	-0.052	-0.033	-0.056	-0.067	-0.056	-0.058	-0.057	-0.057	-0.057	-0.057	-0.057	-0.058	-0.056	-0.046	-0.043	-0.057	-0.043	-0.056	-0.057	-0.057	-0.057	-0.043	-0.056	-0.057	-0.052	-0.067	-0.067	-0.057	-0.067	-0.058	-0.057	-0.058	-0.057	-0.124	-0.053	-0.056	2016_7_13_9_16_44
FLQS23VUGRX2____	-0.072	-0.072	-0.113	-0.071	-0.075	-0.111	-0.113	-0.070	-0.111	-0.070	-0.075	-0.074	-0.112	-0.037	-0.034	-0.037	-0.074	-0.108	-0.034	-0.112	-0.037	-0.071	-0.034	-0.072	-0.113	-0.113	-0.112	-0.113	-0.075	-0.112	-0.073	-0.108	-0.141	-0.143	-0.142	-0.143	-0.138	-0.137	-0.141	-0.139	-0.137	-0.139	-0.138	-0.142	-0.142	-0.145	-0.140	-0.145	-0.142	-0.105	-0.140	-0.138	-0.145	-0.137	-0.140	-0.142	-0.142	-0.142	-0.138	-0.142	-0.138	-0.138	-0.138	-0.105	0.001	0.001	-0.016	0.001	-0.002	-0.017	-0.017	0.000	-0.017	0.000	-0.002	-0.000	-0.015	0.017	0.016	0.017	-0.000	-0.024	0.016	-0.017	0.017	-0.001	0.016	0.001	-0.016	-0.016	-0.017	-0.016	-0.002	-0.017	-0.001	-0.024	-0.082	-0.138	-0.004	2016_7_13_9_16_46
FLQS30BLGRWY____	0.221	0.261	0.271	0.223	0.260	0.221	0.223	0.259	0.221	0.259	0.260	0.266	0.225	0.266	0.221	0.266	0.266	0.224	0.221	0.262	0.266	0.266	0.221	0.225	0.271	0.271	0.262	0.271	0.260	0.262	0.264	0.224	-0.059	-0.024	-0.024	-0.022	-0.021	-0.024	-0.026	0.012	-0.024	0.012	-0.021	-0.030	-0.023	-0.019	-0.060	-0.019	-0.030	-0.056	-0.060	-0.017	-0.019	-0.024	-0.060	-0.020	-0.024	-0.024	-0.017	-0.024	-0.021	-0.017	-0.018	-0.056	-0.468	-0.462	-0.458	-0.477	-0.463	-0.478	-0.476	-0.472	-0.478	-0.472	-0.463	-0.458	-0.477	-0.460	-0.468	-0.460	-0.458	-0.467	-0.468	-0.463	-0.460	-0.460	-0.468	-0.478	-0.458	-0.458	-0.463	-0.458	-0.463	-0.463	-0.462	-0.467	0.249	-0.027	-0.466	2016_7_13_9_16_49
FLQS30DEGRWY____	-0.011	-0.050	-0.017	-0.050	0.034	-0.008	-0.058	-0.050	-0.008	-0.050	0.034	-0.017	-0.052	-0.014	-0.048	-0.014	-0.017	-0.045	-0.048	0.035	-0.014	-0.051	-0.048	-0.047	-0.017	-0.017	0.035	-0.017	0.034	0.035	-0.003	-0.045	-0.054	-0.058	-0.057	-0.057	-0.009	-0.053	-0.098	-0.057	-0.053	-0.057	-0.009	-0.056	-0.101	-0.053	-0.054	-0.053	-0.056	-0.051	-0.054	-0.006	-0.053	-0.054	-0.054	-0.056	-0.057	-0.057	-0.006	-0.057	-0.009	-0.006	-0.009	-0.051	-0.038	-0.053	-0.039	-0.053	-0.032	-0.036	-0.045	-0.053	-0.036	-0.053	-0.032	-0.040	-0.041	-0.039	-0.054	-0.039	-0.040	-0.052	-0.054	-0.032	-0.039	-0.055	-0.054	-0.052	-0.039	-0.039	-0.032	-0.039	-0.032	-0.032	-0.046	-0.052	-0.019	-0.047	-0.043	2016_7_13_9_16_51
FLQS30LQGRWY____	0.118	0.079	0.078	0.119	0.118	0.119	0.076	0.080	0.119	0.080	0.118	0.076	0.080	0.077	0.077	0.077	0.076	0.118	0.077	0.118	0.077	0.074	0.077	0.120	0.078	0.078	0.118	0.078	0.118	0.118	0.119	0.118	0.008	-0.028	0.002	0.003	0.034	0.036	0.001	0.002	0.036	0.002	0.034	-0.001	0.002	-0.001	-0.000	-0.001	-0.001	0.033	-0.000	0.035	-0.001	-0.002	-0.000	0.035	0.002	0.002	0.035	0.002	0.034	0.035	0.009	0.033	0.044	0.037	0.029	0.045	0.035	0.036	0.028	0.029	0.036	0.029	0.035	0.029	0.029	0.029	0.029	0.029	0.029	0.036	0.029	0.035	0.029	0.028	0.029	0.037	0.029	0.029	0.035	0.029	0.035	0.035	0.043	0.036	0.095	0.012	0.033	2016_7_13_9_16_55
FLQS30SPGRWY____	-0.089	-0.089	-0.091	-0.047	-0.087	-0.088	-0.090	-0.089	-0.088	-0.089	-0.087	-0.090	-0.089	-0.092	-0.089	-0.092	-0.090	-0.090	-0.089	-0.089	-0.092	-0.092	-0.089	-0.089	-0.091	-0.091	-0.089	-0.091	-0.087	-0.089	-0.091	-0.090	-0.181	-0.210	-0.247	-0.207	-0.243	-0.241	-0.244	-0.242	-0.241	-0.242	-0.243	-0.213	-0.244	-0.213	-0.244	-0.213	-0.213	-0.211	-0.244	-0.243	-0.213	-0.243	-0.244	-0.209	-0.247	-0.247	-0.243	-0.247	-0.243	-0.243	-0.210	-0.211	0.522	0.530	0.540	0.546	0.540	0.539	0.539	0.539	0.539	0.539	0.540	0.530	0.540	0.529	0.540	0.529	0.530	0.530	0.540	0.539	0.529	0.538	0.540	0.530	0.540	0.540	0.539	0.540	0.540	0.539	0.529	0.530	-0.088	-0.231	0.536	2016_7_13_9_17_00
