SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS30W7GRWY____	-0.145	-0.140	-0.273	-0.140	-0.145	-0.140	-0.207	-0.199	-0.150	-0.145	-0.209	-0.150	-0.140	-0.150	-0.017	-0.140	-0.075	-0.140	-0.140	-0.140	-0.280	-0.150	-0.140	-0.240	-0.150	-0.199	-0.206	-0.140	-0.140	-0.150	-0.072	-0.072	0.194	0.123	0.195	0.070	0.155	0.262	0.152	0.211	0.132	0.154	0.150	0.149	0.199	0.154	0.150	0.143	0.149	0.145	0.070	0.155	0.070	0.151	0.203	0.151	0.153	0.254	0.205	0.153	0.137	0.141	0.113	0.124	-0.683	-0.740	-0.808	-0.740	-0.762	-0.750	-0.776	-0.762	-0.750	-0.834	-0.777	-0.750	-0.740	-0.762	-0.693	-0.675	-0.719	-0.637	-0.740	-0.750	-0.800	-0.762	-0.672	-0.789	-0.750	-0.780	-0.779	-0.831	-0.627	-0.682	-0.715	-0.715	-0.154	0.155	-0.742	2016_7_13_9_41_38
FLQS300JGRWM____	-1.135	-1.023	-1.023	-1.023	-1.023	-1.171	-1.135	-1.135	-1.023	-1.022	-1.023	-1.023	-1.023	-0.919	-1.023	-1.023	-1.135	-1.022	-1.022	-1.023	-1.135	-0.964	-0.964	-1.023	-1.023	-1.023	-1.022	-1.023	-1.023	-1.135	-0.919	-1.023	0.704	0.637	0.703	0.833	0.780	0.776	0.760	0.707	0.701	0.827	0.802	0.777	0.833	0.777	0.732	0.637	0.782	0.787	0.833	0.829	0.732	0.784	0.777	0.707	0.725	0.667	0.725	0.830	0.650	0.700	0.687	0.699	0.059	0.059	0.059	0.038	-0.008	0.038	0.059	0.028	0.180	0.176	0.059	0.021	0.180	0.147	0.059	0.006	0.038	0.127	0.021	0.059	0.059	0.059	0.127	0.001	0.012	0.111	0.106	-0.068	0.028	0.038	0.106	0.147	-1.038	0.747	0.066	2016_7_13_9_41_42
FLQS303AGRWY____	-1.049	-1.089	-1.075	-1.171	-1.171	-1.075	-1.089	-1.148	-1.089	-1.148	-1.089	-1.089	-1.089	-1.089	-1.225	-1.049	-1.187	-1.035	-1.035	-1.039	-1.049	-1.089	-1.089	-1.226	-1.075	-1.089	-1.089	-1.089	-1.075	-1.089	-1.089	-0.963	0.617	0.611	0.623	0.619	0.563	0.622	0.621	0.620	0.680	0.565	0.622	0.674	0.623	0.566	0.622	0.568	0.668	0.563	0.510	0.566	0.565	0.618	0.616	0.623	0.616	0.563	0.619	0.566	0.619	0.510	0.615	0.570	-0.497	-0.513	-0.508	-0.549	-0.544	-0.508	-0.513	-0.540	-0.513	-0.540	-0.513	-0.417	-0.513	-0.513	-0.572	-0.497	-0.560	-0.482	-0.482	-0.488	-0.497	-0.513	-0.435	-0.572	-0.497	-0.614	-0.637	-0.582	-0.508	-0.513	-0.513	-0.456	-1.095	0.601	-0.519	2016_7_13_9_41_46
FLQS303SGRWY____	-0.244	-0.214	-0.066	-0.214	-0.244	-0.214	-0.086	-0.244	-0.214	-0.214	-0.244	-0.214	-0.085	-0.214	-0.214	-0.214	-0.214	-0.214	-0.214	-0.214	-0.214	-0.086	-0.214	-0.214	-0.075	-0.214	-0.214	-0.244	-0.214	-0.071	-0.244	-0.214	-0.739	-0.813	-0.736	-0.876	-0.907	-0.813	-0.942	-0.810	-0.731	-0.876	-0.762	-0.873	-0.873	-0.721	-0.813	-0.739	-0.876	-0.943	-0.907	-0.873	-0.907	-0.907	-0.873	-0.813	-0.805	-0.945	-0.943	-0.873	-0.813	-0.734	-0.813	-0.813	-0.251	-0.128	-0.174	-0.098	-0.128	-0.017	-0.165	-0.098	-0.137	-0.063	-0.143	-0.165	-0.143	-0.137	-0.046	-0.064	-0.137	-0.128	-0.098	-0.098	-0.073	-0.128	-0.073	-0.137	-0.171	-0.128	-0.098	-0.176	-0.241	-0.176	-0.128	-0.143	-0.194	-0.839	-0.128	2016_7_13_9_41_51
FLQS304WGRWQ____	0.052	-0.029	-0.021	0.011	-0.170	-0.029	0.062	-0.045	-0.029	-0.029	-0.029	-0.067	-0.045	-0.045	-0.045	-0.021	-0.117	0.008	-0.061	-0.045	-0.073	-0.045	-0.045	-0.045	-0.045	-0.045	-0.014	-0.059	0.011	-0.000	-0.045	-0.045	-0.211	-0.215	-0.277	-0.131	-0.153	-0.157	-0.272	-0.094	-0.274	-0.342	-0.268	-0.209	-0.150	-0.158	-0.207	-0.210	-0.209	-0.208	-0.208	-0.208	-0.207	-0.207	-0.211	-0.142	-0.153	-0.152	-0.210	-0.212	-0.267	-0.212	-0.330	-0.271	0.713	0.671	0.681	0.701	0.613	0.781	0.723	0.567	0.681	0.681	0.683	0.662	0.605	0.683	0.666	0.681	0.640	0.694	0.665	0.554	0.647	0.671	0.779	0.671	0.681	0.741	0.685	0.666	0.701	0.691	0.671	0.610	-0.036	-0.210	0.674	2016_7_13_9_41_55
FLQS314MGRWY____	-0.052	-0.047	-0.054	0.062	-0.050	-0.089	0.024	0.024	0.024	-0.106	-0.109	-0.043	0.077	-0.108	0.024	0.148	0.024	-0.026	0.062	0.001	0.062	-0.068	0.077	0.024	0.024	0.141	0.024	0.024	0.024	0.142	0.120	0.062	-0.188	-0.138	-0.140	-0.136	-0.136	-0.138	-0.145	-0.142	-0.141	-0.137	-0.139	-0.136	-0.149	-0.139	-0.135	-0.139	-0.137	-0.135	-0.142	-0.140	-0.140	-0.191	-0.187	-0.140	-0.141	-0.139	-0.189	-0.138	-0.142	-0.088	-0.137	-0.138	-0.008	-0.010	-0.013	0.037	-0.010	-0.027	0.022	0.092	0.099	-0.035	-0.036	-0.007	0.047	-0.035	0.022	0.074	0.131	-0.001	0.149	0.011	0.154	-0.014	0.047	0.022	0.125	0.071	-0.066	0.022	0.094	0.068	0.062	0.037	0.014	-0.144	0.035	2016_7_13_9_42_01
FLQS2137GRWV____	-0.766	-0.871	-0.836	-0.857	-0.786	-0.986	-1.042	-0.871	-0.986	-0.871	-0.871	-0.871	-0.986	-0.855	-1.037	-0.871	-0.986	-0.871	-0.842	-0.986	-0.986	-0.871	-0.986	-0.822	-0.782	-0.986	-0.986	-0.986	-1.036	-0.782	-0.836	-0.766	-0.887	-0.974	-0.888	-0.954	-0.988	-1.087	-1.032	-0.909	-0.888	-1.088	-0.901	-1.021	-1.087	-0.956	-1.039	-0.888	-0.974	-1.036	-0.956	-1.091	-0.909	-1.090	-0.979	-0.954	-0.957	-1.036	-1.035	-1.021	-0.979	-0.886	-0.957	-0.974	-0.389	-0.434	-0.408	-0.454	-0.389	-0.547	-0.495	-0.434	-0.578	-0.514	-0.519	-0.524	-0.471	-0.422	-0.494	-0.371	-0.477	-0.369	-0.432	-0.454	-0.471	-0.495	-0.477	-0.408	-0.390	-0.527	-0.471	-0.477	-0.509	-0.395	-0.425	-0.394	-0.902	-0.982	-0.457	2016_7_13_9_42_06
FLQS2168GRWV____	-0.758	-0.758	-0.815	-0.701	-0.758	-0.758	-0.836	-0.636	-0.828	-0.701	-0.758	-0.701	-0.758	-0.758	-0.758	-0.758	-0.628	-0.836	-0.772	-0.844	-0.774	-0.701	-0.701	-0.834	-0.846	-0.901	-0.837	-0.900	-0.642	-0.636	-0.758	-0.758	0.498	0.497	0.501	0.553	0.500	0.499	0.618	0.497	0.501	0.499	0.556	0.501	0.617	0.439	0.441	0.562	0.501	0.501	0.498	0.558	0.502	0.499	0.497	0.500	0.499	0.444	0.617	0.616	0.502	0.506	0.502	0.506	-0.476	-0.257	-0.388	-0.339	-0.282	-0.364	-0.407	-0.312	-0.394	-0.339	-0.289	-0.256	-0.467	-0.451	-0.281	-0.265	-0.309	-0.397	-0.370	-0.405	-0.371	-0.339	-0.339	-0.396	-0.401	-0.420	-0.407	-0.433	-0.314	-0.297	-0.364	-0.486	-0.763	0.516	-0.363	2016_7_13_9_42_11
FLQS2238GRWM____	-1.046	-1.140	-1.128	-1.140	-1.262	-1.140	-1.192	-1.202	-1.139	-1.140	-1.140	-1.140	-1.192	-1.064	-1.140	-1.004	-1.140	-1.046	-1.128	-1.192	-1.083	-1.139	-1.140	-1.192	-1.140	-1.128	-1.128	-1.128	-1.140	-1.004	-1.140	-1.083	-0.146	-0.148	-0.086	-0.088	-0.093	-0.142	-0.094	-0.150	-0.093	-0.145	-0.093	-0.095	-0.146	-0.097	-0.144	-0.089	-0.144	-0.210	-0.146	-0.145	-0.085	-0.092	-0.094	-0.146	-0.040	-0.147	-0.098	-0.149	-0.096	-0.094	-0.042	-0.089	-0.943	-0.992	-0.987	-1.077	-1.044	-1.010	-1.010	-1.014	-0.992	-1.115	-1.124	-0.992	-1.010	-0.960	-1.120	-0.934	-0.988	-0.943	-0.879	-1.010	-0.960	-1.058	-1.073	-1.010	-1.010	-0.876	-0.987	-1.101	-0.992	-0.934	-0.897	-0.967	-1.130	-0.115	-1.000	2016_7_13_9_42_15
FLQS3137GRWY____	0.871	0.960	0.871	0.960	0.960	0.944	1.065	1.068	0.960	0.871	0.994	0.871	1.009	0.944	0.871	1.068	0.994	0.871	0.871	0.871	0.871	0.871	0.871	0.871	0.944	0.871	0.944	0.871	1.068	0.960	0.871	0.994	0.138	0.030	0.145	0.183	0.132	0.150	0.134	0.084	0.207	0.075	0.133	0.081	0.255	0.132	0.143	0.198	0.135	0.131	0.030	0.135	0.140	0.198	0.142	0.192	0.070	0.192	0.030	0.147	0.134	0.078	0.030	0.153	0.363	0.537	0.363	0.481	0.401	0.415	0.447	0.452	0.511	0.401	0.537	0.363	0.413	0.395	0.363	0.443	0.401	0.363	0.537	0.363	0.363	0.395	0.395	0.363	0.484	0.363	0.488	0.363	0.449	0.535	0.537	0.415	0.935	0.130	0.428	2016_7_13_9_42_23
