SN	Distance_X_LOGO_Battery_Rigth1	Distance_X_LOGO_Battery_Rigth2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Rigth1	Distance_Y_LOGO_Battery_Rigth2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Rigth1	Angle_Battery_Rigth2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS30W7GRWY____	-0.209	-0.145	-0.177	-0.134	-0.017	-0.139	-0.177	-0.129	-0.145	-0.099	-0.145	-0.194	-0.145	-0.077	-0.133	-0.121	-0.010	-0.194	-0.077	-0.177	-0.137	-0.215	-0.224	-0.210	-0.261	-0.145	-0.193	-0.250	-0.018	-0.128	-0.202	-0.077	0.215	0.277	0.267	0.211	0.216	0.214	0.204	0.204	0.224	0.204	0.211	0.154	0.211	0.092	0.203	0.201	0.214	0.211	0.100	0.151	0.216	0.211	0.265	0.197	0.338	0.092	0.261	0.203	0.216	0.265	0.099	0.268	-0.790	-0.840	-0.784	-0.730	-0.737	-0.761	-0.835	-0.720	-0.689	-0.743	-0.704	-0.775	-0.763	-0.718	-0.714	-0.752	-0.708	-0.750	-0.720	-0.850	-0.792	-0.817	-0.802	-0.787	-0.827	-0.813	-0.789	-0.804	-0.711	-0.763	-0.771	-0.743	-0.147	0.207	-0.766	2016_7_13_9_35_50
FLQS300JGRWM____	-1.153	-1.265	-1.158	-1.077	-1.120	-1.158	-1.132	-1.153	-1.186	-1.047	-1.139	-1.190	-1.250	-1.014	-1.047	-1.100	-1.178	-1.133	-1.153	-1.153	-1.158	-1.018	-1.055	-1.078	-1.245	-1.158	-1.139	-1.184	-1.153	-1.153	-1.158	-1.181	0.945	1.045	1.121	1.049	1.124	1.049	0.946	1.091	0.941	1.137	1.054	1.005	0.997	1.061	1.045	0.989	1.054	0.995	1.054	1.063	1.054	1.118	1.067	1.045	1.054	1.097	0.920	1.051	1.099	1.114	0.998	1.162	0.002	0.001	-0.105	0.017	-0.009	-0.077	0.011	0.063	-0.012	0.020	-0.033	-0.023	-0.046	0.042	0.031	0.016	-0.024	0.004	0.076	-0.078	-0.037	0.034	0.024	0.020	-0.119	-0.122	-0.052	-0.025	-0.079	0.054	-0.071	-0.039	-1.140	1.048	-0.017	2016_7_13_9_35_57
FLQS303AGRWY____	-0.779	-0.680	-0.692	-0.755	-0.716	-0.768	-0.714	-0.667	-0.799	-0.747	-0.676	-0.843	-0.840	-0.799	-0.768	-0.715	-0.840	-0.889	-0.799	-0.785	-0.785	-0.633	-0.799	-0.843	-0.677	-0.776	-0.840	-0.840	-0.843	-0.768	-0.776	-0.785	0.660	0.656	0.660	0.648	0.774	0.767	0.699	0.660	0.660	0.711	0.652	0.522	0.571	0.574	0.594	0.704	0.629	0.705	0.624	0.652	0.566	0.650	0.649	0.660	0.660	0.630	0.660	0.582	0.633	0.660	0.660	0.637	-0.428	-0.365	-0.372	-0.395	-0.395	-0.415	-0.384	-0.383	-0.508	-0.400	-0.383	-0.546	-0.523	-0.497	-0.466	-0.386	-0.530	-0.457	-0.529	-0.497	-0.481	-0.345	-0.413	-0.428	-0.401	-0.401	-0.569	-0.420	-0.428	-0.364	-0.457	-0.405	-0.770	0.649	-0.437	2016_7_13_9_36_03
FLQS303SGRWY____	0.132	0.086	0.078	0.036	0.131	0.056	0.086	0.207	0.109	0.078	0.010	0.182	0.134	0.120	0.061	0.161	0.086	0.137	0.005	0.130	0.013	0.143	0.041	-0.021	0.078	0.132	0.189	0.009	0.086	0.086	0.130	0.061	-1.301	-1.172	-1.253	-1.301	-1.256	-1.253	-1.301	-1.248	-1.230	-1.312	-1.315	-1.301	-1.245	-1.305	-1.256	-1.191	-1.212	-1.232	-1.256	-1.194	-1.368	-1.256	-1.125	-1.256	-1.348	-1.183	-1.215	-1.252	-1.301	-1.301	-1.372	-1.202	-0.029	0.123	0.004	0.013	0.003	-0.006	0.129	0.056	0.013	-0.067	-0.015	0.079	0.026	0.028	-0.072	0.030	0.001	0.024	-0.025	0.016	-0.006	0.054	-0.030	-0.012	0.132	0.016	0.043	-0.025	-0.038	0.013	0.042	-0.011	0.093	-1.260	0.016	2016_7_13_9_36_12
FLQS304WGRWQ____	0.007	0.137	-0.011	0.002	-0.058	0.002	0.070	0.008	0.007	0.002	0.134	-0.046	-0.053	0.008	0.025	0.002	0.002	0.008	0.007	-0.053	-0.011	0.002	0.093	0.074	0.030	0.060	-0.048	0.053	0.002	0.064	0.008	0.008	-0.217	-0.217	-0.148	-0.282	-0.217	-0.217	-0.217	-0.217	-0.217	-0.217	-0.275	-0.272	-0.276	-0.347	-0.217	-0.295	-0.147	-0.266	-0.217	-0.274	-0.217	-0.365	-0.217	-0.142	-0.287	-0.217	-0.152	-0.217	-0.355	-0.217	-0.130	-0.274	0.775	0.739	0.691	0.649	0.707	0.754	0.715	0.695	0.764	0.588	0.767	0.693	0.691	0.726	0.688	0.649	0.695	0.816	0.708	0.691	0.664	0.578	0.704	0.724	0.726	0.711	0.675	0.771	0.602	0.693	0.825	0.660	0.017	-0.236	0.704	2016_7_13_9_36_21
FLQS314MGRWY____	0.168	0.122	0.176	0.081	0.194	0.015	0.154	0.128	0.067	0.069	0.039	0.065	0.012	0.068	0.126	0.120	0.079	0.118	-0.026	0.130	0.167	0.166	0.169	0.079	0.118	-0.008	0.081	0.072	0.140	0.019	0.180	0.118	-0.212	-0.139	-0.212	-0.267	-0.212	-0.212	-0.132	-0.212	-0.279	-0.212	-0.212	-0.142	-0.212	-0.077	-0.145	-0.260	-0.152	-0.212	-0.138	-0.314	-0.273	-0.152	-0.212	-0.137	-0.139	-0.294	-0.212	-0.273	-0.212	-0.146	-0.151	-0.070	0.052	0.068	0.137	0.070	0.080	0.036	0.081	0.126	0.066	0.022	0.105	0.046	0.064	0.039	0.071	0.085	0.007	0.024	0.009	0.096	0.106	0.088	0.124	0.051	0.067	0.037	0.031	0.066	0.048	0.028	0.094	0.151	0.100	-0.194	0.068	2016_7_13_9_36_25
FLQS2137GRWV____	-0.918	-1.051	-0.954	-1.136	-1.115	-1.063	-1.119	-1.063	-1.171	-1.016	-1.051	-1.054	-1.108	-1.063	-1.063	-0.972	-1.187	-1.108	-1.063	-0.927	-1.182	-1.051	-1.132	-0.938	-0.954	-1.178	-0.983	-1.051	-0.989	-0.981	-1.108	-1.063	-1.029	-1.102	-0.973	-0.973	-0.912	-0.895	-1.030	-1.097	-1.106	-0.973	-0.967	-1.011	-0.973	-1.019	-0.972	-0.961	-1.091	-0.918	-0.967	-0.963	-1.035	-0.948	-1.020	-1.103	-0.897	-1.011	-0.973	-0.916	-0.973	-0.897	-1.086	-1.043	-0.362	-0.344	-0.421	-0.478	-0.460	-0.329	-0.447	-0.510	-0.456	-0.430	-0.425	-0.421	-0.550	-0.424	-0.554	-0.392	-0.464	-0.564	-0.523	-0.375	-0.469	-0.365	-0.450	-0.360	-0.393	-0.439	-0.415	-0.504	-0.399	-0.405	-0.432	-0.511	-1.057	-0.995	-0.440	2016_7_13_9_36_30
FLQS2168GRWV____	-0.637	-0.502	-0.640	-0.556	-0.566	-0.631	-0.640	-0.696	-0.754	-0.495	-0.560	-0.753	-0.704	-0.640	-0.566	-0.640	-0.640	-0.640	-0.640	-0.621	-0.688	-0.694	-0.630	-0.735	-0.607	-0.621	-0.640	-0.633	-0.628	-0.682	-0.579	-0.633	0.620	0.504	0.497	0.500	0.624	0.620	0.563	0.563	0.621	0.563	0.700	0.608	0.698	0.608	0.563	0.703	0.609	0.556	0.681	0.608	0.618	0.487	0.630	0.502	0.563	0.682	0.622	0.563	0.674	0.563	0.673	0.563	-0.344	-0.272	-0.392	-0.296	-0.316	-0.341	-0.468	-0.361	-0.392	-0.252	-0.324	-0.358	-0.382	-0.416	-0.307	-0.243	-0.418	-0.400	-0.354	-0.335	-0.365	-0.348	-0.343	-0.366	-0.361	-0.346	-0.239	-0.335	-0.348	-0.290	-0.328	-0.334	-0.634	0.598	-0.343	2016_7_13_9_36_36
FLQS2238GRWM____	-1.429	-1.379	-1.360	-1.290	-1.360	-1.260	-1.360	-1.339	-1.360	-1.339	-1.320	-1.328	-1.281	-1.476	-1.490	-1.466	-1.330	-1.360	-1.330	-1.339	-1.330	-1.360	-1.363	-1.369	-1.339	-1.339	-1.339	-1.387	-1.449	-1.273	-1.339	-1.385	0.003	0.152	0.022	0.121	0.027	0.152	0.061	0.126	0.121	0.121	0.060	0.121	0.121	0.121	0.121	0.121	0.126	0.067	0.067	0.121	0.194	0.121	0.203	0.126	0.079	0.121	0.152	0.121	0.072	0.189	0.121	0.189	-1.092	-1.092	-1.068	-1.006	-1.161	-1.093	-1.010	-1.053	-1.168	-1.135	-1.055	-1.025	-1.070	-1.174	-1.134	-1.101	-1.069	-1.136	-1.061	-1.113	-1.001	-0.964	-1.093	-1.129	-1.008	-1.141	-1.087	-1.117	-1.110	-1.055	-1.018	-1.099	-1.358	0.114	-1.082	2016_7_13_9_36_40
FLQS3137GRWY____	-0.712	-0.704	-0.632	-0.705	-0.699	-0.650	-0.675	-0.660	-0.603	-0.689	-0.781	-0.585	-0.673	-0.581	-0.703	-0.702	-0.639	-0.614	-0.608	-0.821	-0.711	-0.745	-0.638	-0.820	-0.689	-0.627	-0.699	-0.689	-0.635	-0.815	-0.638	-0.689	0.215	0.340	0.336	0.340	0.336	0.275	0.340	0.305	0.346	0.347	0.346	0.340	0.336	0.337	0.277	0.336	0.336	0.346	0.281	0.282	0.305	0.360	0.347	0.229	0.346	0.336	0.340	0.285	0.337	0.285	0.385	0.269	-0.320	-0.335	-0.324	-0.335	-0.332	-0.303	-0.342	-0.238	-0.295	-0.394	-0.368	-0.286	-0.283	-0.284	-0.326	-0.291	-0.327	-0.273	-0.288	-0.375	-0.332	-0.354	-0.334	-0.366	-0.350	-0.323	-0.406	-0.250	-0.326	-0.295	-0.314	-0.386	-0.682	0.319	-0.324	2016_7_13_9_36_45
