SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS11MXGRWQ____	0.225	0.131	0.14	0.14	0.21	0.145	0.14	0.14	0.14	0.14	0.184	0.14	0.21	0.196	0.196	0.12	0.186	0.14	0.14	0.14	0.14	-0.143	0.14	0.21	0.153	0.21	0.14	0.155	0.21	0.14	0.14	0.14	-0.016	0.056	0.07	0.07	0	0.055	0.07	0.07	0.07	0	0.049	0.07	0	0.023	0.023	0.056	0.046	0	0.07	0.07	0.07	-0.124	0.07	0	0.021	0	0.07	0.026	0	0.07	0.07	0	0.1	0.057	0.061	0.061	0.093	0.063	0.06	0.06	0.06	0.065	0.079	0.06	0.093	-0.378	0.086	0.053	0.08	0.065	0.06	0.854	0.06	-0.042	0.06	0.094	0.068	0.093	0.06	0.069	0.093	0.061	0.06	0.065	2016_7_11_11_00_29
FLQS11WBGRWQ____	-0.134	-0.14	-0.12	-0.12	-0.152	-0.152	-0.14	-0.14	-0.14	-0.14	-0.14	-0.14	-0.14	-0.141	-0.141	-0.125	-0.153	-0.141	-0.14	-0.14	-0.14	-0.14	-0.14	-0.14	-0.154	-0.21	-0.14	-0.152	-0.14	-0.158	-0.164	-0.011	-0.011	0	-0.007	-0.007	-0.845	-0.049	-0.07	0	-0.07	-0.07	0	-0.07	-0.07	-0.044	-0.044	-0.04	-0.023	-0.058	-0.07	-0.07	0	-0.07	-0.07	-0.07	-0.026	0	-0.07	-0.048	0	-0.022	-0.104	-0.062	-0.062	-0.064	-0.056	-0.056	-0.552	-0.066	-0.06	-0.065	-0.429	-0.061	-0.065	-0.06	-0.06	-0.45	-0.063	-0.056	-0.068	-0.061	-0.06	-0.06	-0.064	-0.593	-0.06	-0.06	-0.069	-0.092	-0.06	-0.067	-0.064	-0.071	-0.068	-0.644	2016_7_11_11_00_33
FLQS11X1GRWQ____	-0.19	-0.197	-0.21	-0.14	-0.21	-0.212	-0.21	-0.195	-0.21	-0.189	-0.198	-0.21	-0.14	-0.21	-0.21	-0.194	-0.184	-0.267	-0.21	-0.21	-0.161	-0.21	-0.21	-0.193	-0.21	-0.14	-0.21	-0.146	-0.203	-0.14	-0.14	-0.122	-0.122	-0.131	-0.14	-0.14	-0.14	-0.075	-0.14	-0.127	-0.14	-0.115	-0.132	-0.14	-0.14	-0.14	-0.14	-0.131	-0.142	-0.041	-0.14	-0.14	-0.13	-0.14	-0.14	-0.125	-0.14	-0.14	-0.14	-0.133	-0.094	-0.14	-0.14	0.918	-0.072	-0.074	-0.08	-0.051	-0.079	-0.084	-0.079	-0.074	-0.079	-0.073	-0.075	-0.079	-0.051	-0.079	-0.079	-0.074	-0.069	-0.109	-0.079	-0.079	-0.06	-0.654	-0.079	-0.074	-0.079	-0.051	-0.079	-0.054	-0.08	-0.052	-0.052	0.446	2016_7_11_11_00_36
FLQS13MEGRWQ____	-0.042	-0.097	-0.14	-0.136	-0.14	-0.132	-0.14	-0.099	-0.14	-0.045	-0.097	-0.14	-0.14	-0.14	-0.134	-0.096	-0.132	-0.141	-0.14	-0.14	-0.128	-0.14	-0.14	-0.129	-0.093	-0.14	-0.14	-0.108	-0.24	-0.14	-0.14	-0.14	0.17	0.147	0.14	0.149	0.14	0.151	0.14	0.153	0.14	0.153	0.146	0.14	0.14	0.14	0.151	0.148	0.153	0.188	0.14	0.14	0.156	0.14	0.14	0.152	0.178	0.14	0.14	0.295	0.225	0.14	0.14	0.14	-0.028	-0.049	-0.066	-0.064	-0.066	-0.063	-0.065	-0.05	-0.065	-0.028	-0.049	-0.066	-0.066	-0.066	-0.064	-0.049	-0.063	-0.07	-0.066	-0.065	-0.062	-0.066	-0.066	-0.062	-0.05	-0.066	-0.066	-0.063	-0.111	-0.066	-0.066	-0.066	2016_7_11_11_00_38
FLQS138GGRWQ____	0.14	0.07	0.292	0.224	0.139	0.143	0.14	0.072	0.278	0.07	0.07	0.14	0.14	0.14	0.21	0.21	0.164	0.114	0.14	0.14	0.21	0.274	0.14	0.14	0.181	0.765	0.14	0.14	0.186	0.146	0.148	0.14	0.28	0.28	0.212	0.278	0.217	0.313	0.35	0.274	0.217	0.28	0.28	0.28	0.35	0.28	0.21	0.21	0.298	0.287	0.28	0.28	0.28	0.216	0.28	0.28	0.318	0.221	0.21	0.35	0.28	0.278	0.278	0.28	0.046	0.018	0.112	0.081	0.05	0.045	0.04	0.019	0.106	0.017	0.017	0.045	0.04	0.046	0.079	0.079	0.054	0.034	0.392	0.046	0.073	0.106	0.545	0.045	0.06	0.305	0.05	0.041	0.064	0.049	0.05	0.045	2016_7_11_11_00_43
