SN	Distance_X_LOGO_Nfc_Up1	Distance_X_LOGO_Nfc_Up2	Distance_X_LOGO_Nfc_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Nfc_Up1	Distance_Y_LOGO_Nfc_Up2	Distance_Y_LOGO_Nfc_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Nfc_Up1	Angle_Nfc_Up2	Angle_Nfc_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS11MXGRWQ____	-0.213	-0.213	-0.212	-0.213	-0.212	-0.211	-0.212	-0.213	-0.213	-0.212	-0.213	-0.212	-0.212	-0.212	-0.214	-0.213	-0.213	-0.212	-0.213	-0.213	-0.213	-0.212	-0.213	-0.211	-0.207	-0.213	-0.209	-0.210	-0.208	-0.209	-0.211	-0.209	-0.057	-0.060	-0.061	-0.057	-0.058	-0.052	-0.057	-0.059	-0.058	-0.058	-0.056	-0.059	-0.062	-0.059	-0.060	-0.056	-0.060	-0.060	-0.059	-0.056	-0.057	-0.053	-0.057	-0.057	-0.064	-0.056	-0.060	-0.060	-0.059	-0.066	-0.054	-0.060	0.024	0.023	0.024	0.023	0.024	0.021	0.023	0.024	0.023	0.023	0.023	0.023	0.024	0.023	0.025	0.023	0.024	0.024	0.024	0.023	0.023	0.023	0.023	0.023	0.022	0.023	0.023	0.023	0.021	0.023	0.023	0.023	2016_7_11_11_36_54
FLQS11WBGRWQ____	0.219	0.254	0.261	0.217	0.252	0.218	0.251	0.225	0.252	0.252	0.220	0.253	0.265	0.219	0.224	0.219	0.251	0.217	0.265	0.256	0.224	0.252	0.253	0.261	0.260	0.275	0.217	0.293	0.257	0.257	0.259	0.254	0.125	0.167	0.123	0.125	0.125	0.125	0.130	0.109	0.131	0.128	0.125	0.127	0.123	0.125	0.109	0.124	0.129	0.123	0.118	0.108	0.102	0.129	0.130	0.112	0.125	0.134	0.088	0.115	0.119	0.128	0.113	0.122	0.114	0.097	0.101	0.116	0.104	0.115	0.103	0.115	0.103	0.103	0.115	0.103	0.101	0.115	0.115	0.114	0.104	0.115	0.101	0.105	0.117	0.103	0.103	0.103	0.101	0.095	0.121	0.092	0.103	0.102	0.104	0.104	2016_7_11_11_36_57
FLQS11X1GRWQ____	0.232	0.232	0.217	0.229	0.266	0.230	0.232	0.216	0.232	0.231	0.266	0.232	0.234	0.267	0.214	0.265	0.230	0.231	0.215	0.234	0.233	0.232	0.230	0.233	0.231	0.215	0.233	0.235	0.234	0.232	0.233	0.230	0.086	0.085	0.076	0.085	0.122	0.086	0.088	0.090	0.088	0.083	0.127	0.081	0.112	0.126	0.088	0.124	0.084	0.083	0.085	0.079	0.083	0.084	0.085	0.072	0.075	0.093	0.077	0.074	0.073	0.117	0.075	0.084	-0.084	-0.084	-0.078	-0.083	-0.101	-0.083	-0.084	-0.080	-0.084	-0.084	-0.101	-0.083	-0.088	-0.101	-0.079	-0.100	-0.084	-0.083	-0.079	-0.084	-0.084	-0.084	-0.083	-0.082	-0.082	-0.079	-0.082	-0.083	-0.083	-0.088	-0.083	-0.083	2016_7_11_11_37_00
FLQS13MEGRWQ____	-0.009	-0.009	-0.005	0.028	-0.008	-0.009	-0.044	-0.007	0.028	-0.009	-0.008	-0.009	-0.007	-0.008	-0.006	-0.009	-0.009	-0.008	-0.008	-0.008	-0.008	-0.009	-0.008	-0.042	-0.006	-0.006	-0.005	-0.005	-0.005	-0.006	-0.006	-0.008	-0.030	-0.061	-0.027	-0.027	-0.061	-0.028	-0.088	-0.037	-0.023	-0.059	-0.029	-0.058	-0.053	-0.025	-0.033	-0.030	-0.060	-0.026	-0.063	-0.062	-0.034	-0.060	-0.031	-0.077	-0.030	-0.030	-0.035	-0.035	-0.032	-0.035	-0.033	-0.073	0.056	0.061	0.054	0.044	0.061	0.056	0.077	0.057	0.043	0.061	0.056	0.061	0.059	0.056	0.057	0.056	0.060	0.056	0.061	0.060	0.057	0.060	0.056	0.074	0.056	0.055	0.056	0.055	0.055	0.056	0.056	0.062	2016_7_11_11_37_02
FLQS138GGRWQ____	-0.086	-0.078	-0.087	-0.078	-0.079	-0.135	-0.088	-0.075	-0.087	-0.085	-0.086	-0.076	-0.074	-0.077	-0.073	-0.087	-0.077	-0.076	-0.072	-0.135	-0.086	-0.087	-0.135	-0.088	-0.086	-0.090	-0.082	-0.085	-0.139	-0.080	-0.087	-0.083	0.002	0.009	0.000	0.010	0.009	0.014	0.001	-0.005	0.005	0.003	0.002	0.009	-0.061	0.007	0.000	0.003	0.008	0.008	-0.006	-0.056	-0.001	0.001	-0.056	-0.034	-0.002	-0.034	0.004	0.008	0.011	0.010	-0.036	-0.001	-0.163	-0.168	-0.163	-0.167	-0.167	-0.150	-0.163	-0.166	-0.164	-0.164	-0.164	-0.168	-0.158	-0.168	-0.168	-0.163	-0.167	-0.168	-0.167	-0.139	-0.163	-0.163	-0.139	-0.157	-0.164	-0.157	-0.165	-0.165	-0.148	-0.168	-0.157	-0.164	2016_7_11_11_37_06
