SN	Distance_X_LOGO_Front_Camera_LD1	Distance_X_LOGO_Front_Camera_LD2	Distance_X_LOGO_Front_Camera_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_LD1	Distance_Y_LOGO_Front_Camera_LD2	Distance_Y_LOGO_Front_Camera_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_LD1	Angle_Front_Camera_LD2	Angle_Front_Camera_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-22.649	-22.547	-22.577	-22.551	-22.551	-22.408	-22.441	-22.401	-22.371	-22.371	-22.370	-22.370	-22.441	-22.407	-22.434	-22.407	-22.371	-22.405	-22.441	-22.335	-22.371	-22.406	-22.435	-22.470	-22.438	-22.370	-22.372	-22.509	-22.407	-22.476	-22.469	-22.441	138.999	139.004	138.998	139.000	139.000	139.050	139.114	138.938	139.012	139.086	139.082	139.082	139.037	139.044	139.073	139.044	139.012	139.043	139.073	139.083	139.086	139.036	138.936	138.967	138.909	139.082	138.970	139.032	138.936	139.013	138.935	139.037	99.286	99.245	99.258	99.247	99.247	99.186	99.195	99.191	99.174	99.169	99.169	99.169	99.200	99.186	99.195	99.186	99.174	99.185	99.198	99.155	99.169	99.186	99.204	99.216	99.208	99.169	99.177	99.228	99.193	99.216	99.218	99.200	2016_7_15_8_54_42
F2LS3GSUHFM5____	-22.979	-22.867	-22.907	-22.797	-22.797	-22.726	-22.801	-22.650	-22.687	-22.689	-22.687	-22.687	-22.762	-22.720	-22.718	-22.720	-22.687	-22.719	-22.721	-22.651	-22.689	-22.728	-22.721	-22.802	-22.721	-22.687	-22.737	-22.838	-22.727	-22.795	-22.755	-22.762	138.964	138.962	138.962	138.996	138.996	139.000	139.033	138.922	138.963	138.998	139.000	139.000	138.996	138.995	138.992	138.995	138.963	138.962	139.034	138.999	138.998	138.995	138.896	138.922	138.890	139.000	138.923	139.023	138.895	138.927	138.896	138.996	99.413	99.369	99.385	99.338	99.338	99.310	99.338	99.284	99.297	99.295	99.294	99.294	99.324	99.308	99.307	99.308	99.297	99.309	99.306	99.280	99.295	99.311	99.315	99.346	99.315	99.294	99.319	99.353	99.317	99.342	99.328	99.324	2016_7_15_8_54_45
F2LS3GZKHFM5____	-22.902	-22.776	-22.769	-22.663	-22.663	-22.555	-22.590	-22.515	-22.515	-22.555	-22.553	-22.553	-22.625	-22.588	-22.583	-22.588	-22.515	-22.583	-22.717	-22.518	-22.555	-22.595	-22.587	-22.622	-22.584	-22.553	-22.519	-22.700	-22.556	-22.659	-22.618	-22.625	138.943	138.986	138.991	139.028	139.028	139.060	139.102	138.988	139.020	139.022	139.017	139.017	139.058	139.023	139.054	139.023	139.020	139.025	139.090	139.015	139.022	139.026	138.915	138.955	138.950	139.017	138.987	139.026	138.960	138.982	138.952	139.058	99.451	99.397	99.394	99.349	99.349	99.304	99.315	99.292	99.290	99.306	99.306	99.306	99.332	99.319	99.315	99.319	99.290	99.317	99.367	99.292	99.306	99.322	99.326	99.337	99.322	99.306	99.294	99.364	99.310	99.350	99.336	99.332	2016_7_15_8_54_48
F2LS3HTSHFM5____	-22.905	-22.797	-22.835	-22.729	-22.729	-22.659	-22.693	-22.621	-22.620	-22.588	-22.620	-22.620	-22.694	-22.657	-22.655	-22.657	-22.620	-22.655	-22.693	-22.584	-22.588	-22.657	-22.688	-22.690	-22.656	-22.620	-22.621	-22.732	-22.657	-22.728	-22.691	-22.694	138.942	139.039	138.984	139.076	139.076	139.090	139.117	138.953	138.993	139.029	139.077	139.077	139.016	139.026	139.072	139.026	138.993	139.037	139.053	139.078	139.029	139.073	139.012	139.013	138.918	139.077	139.009	139.014	138.972	138.961	138.841	139.016	99.464	99.414	99.433	99.384	99.384	99.355	99.367	99.349	99.346	99.331	99.340	99.340	99.374	99.359	99.355	99.359	99.346	99.357	99.371	99.326	99.331	99.356	99.372	99.373	99.365	99.340	99.345	99.390	99.362	99.391	99.385	99.374	2016_7_15_8_54_52
F2LS3J5VHFM5____	-22.939	-22.865	-22.870	-22.793	-22.793	-22.723	-22.763	-22.686	-22.685	-22.687	-22.688	-22.688	-22.762	-22.724	-22.721	-22.724	-22.685	-22.717	-22.762	-22.649	-22.687	-22.725	-22.687	-22.754	-22.715	-22.688	-22.689	-22.800	-22.690	-22.759	-22.721	-22.762	138.987	139.032	138.997	139.064	139.064	139.054	139.059	138.986	139.019	139.059	139.016	139.016	139.033	139.023	139.016	139.023	139.019	139.023	139.065	139.056	139.059	139.064	138.958	138.993	138.954	139.016	138.990	139.027	138.960	138.983	138.955	139.033	99.435	99.402	99.406	99.371	99.371	99.344	99.360	99.333	99.331	99.329	99.332	99.332	99.361	99.346	99.346	99.346	99.331	99.343	99.359	99.314	99.329	99.344	99.335	99.360	99.347	99.332	99.334	99.377	99.336	99.363	99.349	99.361	2016_7_15_8_54_56
F2LS3JECHFM5____	-22.750	-22.681	-22.680	-22.612	-22.612	-22.541	-22.578	-22.506	-22.505	-22.506	-22.503	-22.503	-22.576	-22.540	-22.539	-22.540	-22.505	-22.540	-22.607	-22.470	-22.506	-22.540	-22.540	-22.574	-22.540	-22.503	-22.507	-22.612	-22.540	-22.611	-22.574	-22.576	138.869	138.876	138.870	138.908	138.908	138.918	138.944	138.846	138.883	138.915	138.948	138.948	138.906	138.954	138.907	138.954	138.883	138.870	138.936	138.911	138.915	138.904	138.848	138.836	138.814	138.948	138.840	138.903	138.842	138.848	138.845	138.906	99.351	99.323	99.323	99.293	99.293	99.264	99.277	99.254	99.252	99.250	99.247	99.247	99.278	99.261	99.264	99.261	99.252	99.266	99.289	99.236	99.250	99.264	99.268	99.282	99.270	99.247	99.255	99.293	99.268	99.297	99.282	99.278	2016_7_15_8_54_59
F2LS3JHAHFM5____	-22.858	-22.829	-23.031	-22.757	-22.757	-22.686	-22.721	-22.650	-22.649	-22.650	-22.684	-22.684	-22.720	-22.686	-22.686	-22.686	-22.649	-22.719	-22.722	-22.649	-22.650	-22.685	-22.685	-22.721	-22.716	-22.684	-22.651	-22.762	-22.686	-22.756	-22.718	-22.720	138.913	138.912	138.892	138.945	138.945	138.974	138.980	138.906	138.942	138.974	138.936	138.936	138.976	138.944	138.943	138.944	138.942	138.900	138.979	138.935	138.974	138.974	138.867	138.875	138.837	138.936	138.903	138.946	138.868	138.876	138.866	138.976	99.198	99.187	99.269	99.156	99.156	99.125	99.139	99.115	99.112	99.110	99.126	99.126	99.139	99.127	99.127	99.127	99.112	99.143	99.139	99.113	99.110	99.125	99.131	99.146	99.146	99.126	99.115	99.158	99.132	99.159	99.145	99.139	2016_7_15_8_55_03
F2LS3JJ8HFM5____	-22.958	-22.885	-22.886	-22.814	-22.814	-22.743	-22.777	-22.703	-22.703	-22.703	-22.702	-22.702	-22.779	-22.738	-22.737	-22.738	-22.703	-22.736	-22.778	-22.667	-22.703	-22.744	-22.739	-22.810	-22.734	-22.702	-22.707	-22.818	-22.742	-22.811	-22.772	-22.779	138.967	138.966	138.966	138.998	138.998	139.002	139.036	138.926	138.958	138.996	138.998	138.998	139.000	138.998	138.997	138.998	138.958	138.964	139.035	138.996	138.996	139.000	138.893	138.931	138.896	138.998	138.928	139.000	138.895	138.927	138.894	139.000	99.241	99.212	99.212	99.181	99.181	99.152	99.164	99.141	99.139	99.137	99.136	99.136	99.167	99.151	99.150	99.151	99.139	99.152	99.164	99.122	99.137	99.153	99.158	99.184	99.156	99.136	99.143	99.183	99.159	99.185	99.171	99.167	2016_7_15_8_55_06
F2LS3JTDHFM5____	-23.221	-23.110	-23.167	-23.037	-23.037	-23.027	-23.001	-22.969	-22.971	-22.970	-22.968	-22.968	-22.992	-23.004	-23.003	-23.004	-22.971	-23.004	-23.062	-22.934	-22.970	-22.957	-23.004	-23.039	-23.008	-22.968	-22.929	-23.083	-22.965	-23.097	-23.009	-22.992	138.951	138.955	138.878	138.955	138.955	138.913	139.026	138.910	138.874	138.950	138.946	138.946	138.913	138.988	138.985	138.988	138.874	138.913	138.948	138.943	138.950	138.913	138.843	138.916	138.846	138.946	138.915	138.985	138.883	138.843	138.882	138.913	99.513	99.467	99.495	99.438	99.438	99.437	99.419	99.414	99.417	99.412	99.411	99.411	99.423	99.423	99.423	99.423	99.417	99.428	99.449	99.398	99.412	99.409	99.432	99.442	99.434	99.411	99.398	99.455	99.414	99.470	99.432	99.423	2016_7_15_8_55_10
F2LS3KP7HFM5____	-22.796	-22.767	-22.729	-22.659	-22.659	-22.588	-22.625	-22.550	-22.550	-22.551	-22.516	-22.516	-22.623	-22.584	-22.584	-22.584	-22.550	-22.624	-22.622	-22.514	-22.551	-22.588	-22.585	-22.660	-22.584	-22.516	-22.553	-22.659	-22.588	-22.660	-22.620	-22.623	138.877	138.845	138.842	138.908	138.908	138.921	138.911	138.888	138.929	138.963	138.961	138.961	138.909	138.915	138.954	138.915	138.929	138.921	138.944	138.954	138.963	138.909	138.810	138.810	138.858	138.961	138.887	138.952	138.851	138.854	138.853	138.909	99.252	99.242	99.227	99.195	99.195	99.165	99.181	99.152	99.149	99.147	99.134	99.134	99.180	99.164	99.161	99.164	99.149	99.180	99.177	99.133	99.147	99.166	99.171	99.201	99.168	99.134	99.153	99.192	99.170	99.198	99.182	99.180	2016_7_15_8_55_13
