SN	Distance_X_LOGO_Battery_Up1	Distance_X_LOGO_Battery_Up2	Distance_X_LOGO_Battery_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Up1	Distance_Y_LOGO_Battery_Up2	Distance_Y_LOGO_Battery_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Up1	Angle_Battery_Up2	Angle_Battery_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS31Y0GRX5____	-0.087	-0.002	-0.054	-0.067	0.047	-0.060	0.023	0.095	0.004	0.052	0.024	-0.002	-0.017	0.047	-0.002	0.083	-0.130	-0.081	-0.017	0.011	0.093	0.079	-0.017	0.024	0.118	0.014	-0.102	0.014	0.004	0.014	-0.002	-0.017	-0.326	-0.343	-0.328	-0.329	-0.411	-0.332	-0.340	-0.332	-0.273	-0.329	-0.251	-0.393	-0.276	-0.319	-0.255	-0.392	-0.394	-0.273	-0.301	-0.384	-0.308	-0.242	-0.329	-0.324	-0.328	-0.329	-0.274	-0.329	-0.275	-0.253	-0.206	-0.387	-0.083	-0.228	-0.097	-0.092	-0.142	-0.094	-0.129	-0.163	-0.249	-0.144	-0.132	-0.114	-0.030	-0.142	-0.054	-0.152	-0.058	-0.091	-0.116	-0.121	-0.164	-0.163	-0.030	-0.132	-0.173	-0.127	-0.081	-0.127	-0.127	-0.266	-0.062	-0.212	0.003	-0.318	-0.128	2016_7_16_9_15_54
FLNS32DNGRX5____	-0.422	-0.422	-0.422	-0.558	-0.444	-0.337	-0.444	-0.508	-0.397	-0.444	-0.363	-0.422	-0.422	-0.422	-0.397	-0.444	-0.444	-0.372	-0.482	-0.444	-0.444	-0.422	-0.372	-0.523	-0.444	-0.444	-0.390	-0.444	-0.369	-0.397	-0.300	-0.422	-0.728	-0.839	-0.737	-0.797	-0.709	-0.732	-0.840	-0.791	-0.795	-0.797	-0.707	-0.718	-0.752	-0.774	-0.794	-0.781	-0.769	-0.789	-0.752	-0.773	-0.769	-0.752	-0.800	-0.672	-0.850	-0.842	-0.794	-0.842	-0.679	-0.779	-0.738	-0.687	0.528	0.532	0.289	0.458	0.393	0.357	0.261	0.435	0.389	0.334	0.365	0.292	0.462	0.393	0.389	0.408	0.408	0.377	0.393	0.408	0.408	0.270	0.377	0.432	0.484	0.477	0.386	0.477	0.366	0.282	0.341	0.390	-0.424	-0.768	0.392	2016_7_16_9_15_57
FLNS32G4GRX5____	-0.126	-0.090	-0.126	-0.090	-0.090	-0.028	-0.126	-0.128	-0.142	-0.028	0.017	-0.159	-0.090	0.006	-0.126	-0.090	-0.090	-0.061	-0.126	-0.219	-0.090	-0.090	-0.061	-0.061	-0.126	-0.131	-0.188	-0.131	-0.134	-0.028	-0.090	-0.209	-0.305	-0.338	-0.305	-0.317	-0.287	-0.337	-0.344	-0.366	-0.244	-0.375	-0.276	-0.339	-0.337	-0.415	-0.358	-0.401	-0.293	-0.357	-0.286	-0.222	-0.345	-0.348	-0.405	-0.363	-0.243	-0.339	-0.367	-0.339	-0.249	-0.285	-0.302	-0.267	0.362	0.119	0.336	0.180	0.180	0.219	0.148	0.265	0.261	0.219	0.194	0.276	0.143	0.210	0.264	0.144	0.332	0.236	0.371	0.293	0.246	0.246	0.236	0.236	0.329	0.264	0.291	0.264	0.257	0.210	0.322	0.292	-0.101	-0.324	0.248	2016_7_16_9_16_00
FLQS30BYGRX8____	-0.254	-0.348	-0.234	-0.254	-0.372	-0.195	-0.234	-0.254	-0.234	-0.234	-0.234	-0.126	-0.132	-0.234	-0.234	-0.368	-0.391	-0.351	-0.254	-0.234	-0.254	-0.254	-0.254	-0.161	-0.234	-0.384	-0.254	-0.384	-0.254	-0.351	-0.254	-0.195	0.214	0.150	0.266	0.156	0.218	0.081	0.151	0.267	0.153	0.080	0.068	0.031	0.271	0.089	0.018	0.098	0.076	0.214	0.073	0.022	0.156	0.112	0.030	0.148	0.154	0.148	0.142	0.150	0.136	0.156	0.259	0.205	0.079	0.045	-0.005	0.099	0.050	-0.016	-0.005	0.072	-0.005	-0.005	-0.005	-0.042	-0.062	-0.005	-0.016	0.059	0.071	0.041	-0.060	-0.005	-0.005	-0.056	0.015	-0.037	-0.005	0.049	-0.107	0.049	-0.005	0.028	-0.005	-0.016	-0.263	0.140	0.006	2016_7_16_9_16_03
FLQS30DLGRXL____	0.128	0.007	0.067	-0.060	-0.036	0.064	0.064	0.140	0.067	0.064	0.064	0.064	0.064	0.064	0.064	0.071	0.073	0.204	-0.000	0.161	-0.062	0.174	0.064	0.131	0.064	0.067	-0.048	0.067	0.064	-0.008	0.168	0.115	-0.622	-0.627	-0.683	-0.626	-0.516	-0.680	-0.683	-0.568	-0.619	-0.622	-0.522	-0.514	-0.522	-0.520	-0.671	-0.572	-0.523	-0.622	-0.572	-0.522	-0.451	-0.525	-0.611	-0.564	-0.625	-0.673	-0.620	-0.673	-0.625	-0.521	-0.563	-0.522	-0.119	-0.065	-0.161	-0.036	-0.056	0.021	-0.158	-0.129	-0.091	-0.018	-0.095	0.031	-0.007	0.055	-0.018	-0.098	-0.103	-0.152	-0.095	-0.142	-0.050	-0.147	-0.092	-0.125	-0.088	-0.088	-0.041	-0.088	-0.210	-0.068	-0.142	-0.122	0.067	-0.587	-0.084	2016_7_16_9_16_06
FLQS30GVGRX8____	-0.249	-0.312	-0.267	-0.257	-0.249	-0.267	-0.267	-0.309	-0.267	-0.375	-0.345	-0.257	-0.409	-0.267	-0.318	-0.185	-0.257	-0.249	-0.257	-0.257	-0.310	-0.394	-0.362	-0.317	-0.257	-0.249	-0.304	-0.312	-0.267	-0.249	-0.249	-0.225	0.419	0.406	0.431	0.428	0.385	0.404	0.401	0.429	0.425	0.483	0.317	0.368	0.378	0.379	0.480	0.400	0.319	0.404	0.323	0.386	0.321	0.317	0.409	0.488	0.426	0.345	0.485	0.356	0.427	0.319	0.424	0.367	0.034	0.067	0.051	0.042	0.042	-0.017	-0.016	0.065	-0.016	0.089	0.090	-0.025	0.112	0.051	0.064	0.013	0.051	-0.034	0.042	0.163	0.074	0.111	0.090	0.063	-0.034	-0.037	0.058	0.072	-0.016	0.147	-0.037	0.034	-0.285	0.395	0.044	2016_7_16_9_16_08
FLQS30KBGRX8____	0.105	0.115	-0.008	0.101	0.101	0.063	0.063	0.115	0.101	0.114	0.105	0.101	0.115	0.115	0.063	0.115	0.115	0.101	0.101	0.175	0.063	0.007	0.175	0.177	0.114	0.115	0.182	0.115	0.101	0.101	0.053	0.105	-0.423	-0.427	-0.428	-0.426	-0.402	-0.457	-0.422	-0.436	-0.481	-0.425	-0.455	-0.402	-0.395	-0.461	-0.409	-0.416	-0.407	-0.490	-0.429	-0.530	-0.392	-0.394	-0.406	-0.427	-0.487	-0.461	-0.426	-0.461	-0.420	-0.447	-0.429	-0.408	-0.137	-0.140	-0.088	-0.040	-0.229	-0.225	-0.029	-0.158	-0.054	-0.140	-0.202	-0.252	-0.140	-0.137	-0.120	-0.140	-0.140	-0.130	-0.264	-0.158	-0.040	-0.096	-0.158	-0.168	-0.262	-0.287	-0.171	-0.287	-0.048	-0.042	-0.113	-0.138	0.103	-0.434	-0.148	2016_7_16_9_16_14
FLQS30LUGRXL	0.024	0.066	0.024	0.024	0.024	0.144	0.013	0.024	0.069	0.072	0.013	-0.036	0.024	0.066	0.024	-0.060	0.075	0.024	0.024	0.177	0.024	0.066	0.075	0.066	0.013	0.013	0.024	0.013	0.024	0.154	0.072	0.167	-0.721	-0.856	-0.785	-0.672	-0.721	-0.800	-0.853	-0.736	-0.848	-0.796	-0.736	-0.783	-0.730	-0.724	-0.724	-0.787	-0.725	-0.798	-0.736	-0.718	-0.650	-0.633	-0.760	-0.658	-0.787	-0.732	-0.793	-0.732	-0.790	-0.732	-0.842	-0.706	0.270	0.124	0.251	0.187	0.227	0.086	0.137	0.132	0.123	0.109	0.262	0.163	0.132	0.056	0.036	0.174	0.109	0.191	0.000	0.064	0.132	0.121	0.109	0.124	0.137	0.137	0.209	0.137	0.217	0.076	0.121	0.067	0.048	-0.752	0.138	2016_7_16_9_16_17
FLQS31B0GRX2____	-0.242	-0.242	-0.242	-0.348	-0.242	-0.348	-0.242	-0.345	-0.294	-0.242	-0.242	-0.242	-0.383	-0.219	-0.242	-0.229	-0.167	-0.170	-0.128	-0.204	-0.288	-0.229	-0.173	-0.110	-0.242	-0.242	-0.289	-0.242	-0.242	-0.242	-0.242	-0.242	-0.004	-0.016	-0.048	-0.054	-0.036	-0.113	-0.057	-0.054	0.066	-0.036	-0.128	0.002	-0.109	-0.130	-0.046	0.003	-0.058	-0.179	-0.002	-0.008	-0.002	-0.054	-0.115	-0.055	0.059	-0.132	0.015	-0.132	0.013	-0.067	0.062	-0.122	0.031	-0.093	0.009	-0.043	-0.083	-0.038	-0.154	-0.045	-0.077	-0.032	-0.093	-0.227	-0.023	-0.093	-0.009	-0.095	-0.122	-0.110	-0.144	-0.110	-0.074	-0.095	-0.115	-0.148	-0.083	-0.191	-0.075	-0.191	-0.182	-0.093	-0.031	-0.083	-0.243	-0.048	-0.091	2016_7_16_9_16_19
FLQS31B2GRWM____	-0.393	-0.504	-0.504	-0.483	-0.504	-0.545	-0.545	-0.483	-0.379	-0.483	-0.634	-0.559	-0.504	-0.436	-0.438	-0.424	-0.504	-0.504	-0.562	-0.504	-0.432	-0.483	-0.545	-0.452	-0.483	-0.483	-0.504	-0.504	-0.383	-0.633	-0.545	-0.483	-0.445	-0.605	-0.554	-0.621	-0.509	-0.554	-0.482	-0.608	-0.550	-0.552	-0.558	-0.552	-0.543	-0.548	-0.614	-0.492	-0.551	-0.543	-0.551	-0.548	-0.468	-0.659	-0.598	-0.500	-0.558	-0.502	-0.548	-0.506	-0.553	-0.568	-0.552	-0.554	0.137	0.191	0.197	0.173	0.294	0.229	0.311	0.191	0.141	0.116	0.269	0.219	0.296	0.166	0.173	0.155	0.287	0.291	0.196	0.275	0.156	0.191	0.317	0.168	0.191	0.111	0.197	0.085	0.143	0.253	0.095	0.265	-0.494	-0.548	0.203	2016_7_16_9_16_22
