SN	Distance_X_LOGO_Camera_RU1	Distance_X_LOGO_Camera_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_RU1	Distance_Y_LOGO_Camera_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_RU1	Angle_Camera_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS31K2GRWM____	-62.567	-62.702	-62.767	-62.599	-62.599	-62.636	-62.527	-62.561	-62.424	-62.426	-62.393	-62.460	-62.243	-62.282	-62.387	-62.311	-62.306	-62.347	-62.277	-62.350	-62.316	-62.354	-62.390	-62.275	-62.283	-62.423	-62.316	-62.279	-62.426	-62.284	-62.355	-62.316	143.206	143.422	143.491	143.523	143.452	143.487	143.556	143.592	143.557	143.454	143.520	143.347	143.333	143.303	143.454	143.235	143.301	143.446	143.439	143.524	143.558	143.487	143.381	143.487	143.488	143.487	143.593	143.559	143.278	143.520	143.380	143.524	113.696	113.710	113.722	113.660	113.671	113.678	113.631	113.638	113.597	113.612	113.592	113.639	113.569	113.586	113.600	113.606	113.594	113.587	113.565	113.577	113.560	113.583	113.611	113.557	113.559	113.607	113.555	113.548	113.638	113.555	113.600	113.565	2016_7_16_9_39_36
FLQS31QAGRX2____	-62.643	-62.791	-62.894	-62.684	-62.687	-62.722	-62.615	-62.648	-62.511	-62.510	-62.472	-62.544	-62.349	-62.403	-62.477	-62.400	-62.394	-62.432	-62.321	-62.439	-62.405	-62.437	-62.466	-62.367	-62.372	-62.507	-62.404	-62.369	-62.509	-62.367	-62.436	-62.403	143.141	143.351	143.426	143.458	143.386	143.419	143.492	143.530	143.494	143.386	143.463	143.282	143.279	143.283	143.386	143.214	143.280	143.422	143.437	143.456	143.494	143.422	143.283	143.461	143.420	143.423	143.529	143.493	143.214	143.457	143.317	143.456	113.552	113.571	113.594	113.519	113.531	113.538	113.491	113.497	113.456	113.471	113.447	113.498	113.433	113.451	113.460	113.460	113.448	113.440	113.401	113.437	113.420	113.442	113.472	113.412	113.420	113.465	113.415	113.408	113.496	113.413	113.457	113.425	2016_7_16_9_39_41
FLQS32CMGRWM____	-62.701	-62.853	-62.922	-62.749	-62.750	-62.785	-62.678	-62.712	-62.575	-62.574	-62.536	-62.608	-62.414	-62.459	-62.538	-62.456	-62.448	-62.492	-62.447	-62.503	-62.469	-62.497	-62.532	-62.430	-62.436	-62.573	-62.470	-62.426	-62.564	-62.425	-62.495	-62.460	143.163	143.411	143.479	143.515	143.444	143.478	143.549	143.585	143.548	143.443	143.515	143.340	143.333	143.301	143.444	143.231	143.298	143.441	143.438	143.515	143.549	143.445	143.339	143.515	143.479	143.480	143.584	143.514	143.235	143.480	143.340	143.480	113.679	113.694	113.707	113.643	113.654	113.661	113.615	113.621	113.580	113.595	113.572	113.622	113.558	113.578	113.583	113.587	113.574	113.568	113.553	113.561	113.544	113.569	113.596	113.536	113.544	113.590	113.540	113.535	113.623	113.540	113.584	113.552	2016_7_16_9_39_43
FLQS300WGRX8____	-63.008	-63.146	-63.216	-63.042	-63.044	-63.079	-62.971	-63.006	-62.860	-62.860	-62.827	-62.905	-62.712	-62.766	-62.832	-62.760	-62.746	-62.793	-62.710	-62.797	-62.759	-62.797	-62.835	-62.719	-62.728	-62.868	-62.760	-62.727	-62.869	-62.728	-62.799	-62.760	143.065	143.283	143.347	143.382	143.311	143.347	143.415	143.451	143.414	143.310	143.376	143.205	143.194	143.203	143.313	143.130	143.158	143.340	143.294	143.382	143.414	143.347	143.238	143.380	143.346	143.346	143.449	143.415	143.136	143.379	143.240	143.383	113.934	113.948	113.962	113.898	113.910	113.916	113.870	113.876	113.833	113.848	113.828	113.879	113.816	113.832	113.838	113.841	113.832	113.821	113.800	113.816	113.799	113.822	113.850	113.791	113.798	113.845	113.794	113.788	113.877	113.794	113.838	113.804	2016_7_16_9_39_46
FLQS302CGRX8____	-62.515	-62.654	-62.721	-62.550	-62.550	-62.587	-62.476	-62.509	-62.376	-62.377	-62.339	-62.409	-62.232	-62.271	-62.340	-62.270	-62.267	-62.302	-62.231	-62.299	-62.266	-62.302	-62.338	-62.235	-62.232	-62.370	-62.267	-62.228	-62.376	-62.232	-62.302	-62.265	143.214	143.429	143.498	143.531	143.462	143.496	143.567	143.603	143.568	143.463	143.534	143.356	143.386	143.353	143.461	143.283	143.352	143.492	143.488	143.532	143.569	143.497	143.391	143.533	143.497	143.497	143.604	143.568	143.287	143.531	143.390	143.533	113.613	113.628	113.640	113.578	113.588	113.595	113.548	113.554	113.514	113.530	113.507	113.556	113.492	113.510	113.517	113.520	113.509	113.500	113.477	113.493	113.477	113.499	113.527	113.472	113.476	113.523	113.472	113.464	113.555	113.471	113.515	113.482	2016_7_16_9_39_49
FLQS304AGRX8____	-62.790	-62.940	-63.009	-62.834	-62.827	-62.872	-62.754	-62.787	-62.657	-62.658	-62.625	-62.727	-62.512	-62.547	-62.615	-62.547	-62.547	-62.581	-62.545	-62.577	-62.545	-62.579	-62.616	-62.516	-62.509	-62.649	-62.546	-62.507	-62.651	-62.508	-62.580	-62.543	143.085	143.336	143.404	143.439	143.332	143.403	143.439	143.475	143.440	143.334	143.408	143.267	143.257	143.224	143.335	143.154	143.222	143.364	143.362	143.405	143.441	143.368	143.261	143.406	143.370	143.368	143.476	143.439	143.158	143.402	143.261	143.405	113.769	113.782	113.795	113.731	113.744	113.749	113.705	113.710	113.672	113.688	113.666	113.721	113.650	113.667	113.673	113.677	113.667	113.658	113.646	113.650	113.634	113.656	113.684	113.630	113.632	113.680	113.629	113.622	113.711	113.627	113.672	113.639	2016_7_16_9_39_52
FLQS304UGRX2____	-63.185	-63.319	-63.387	-63.215	-63.217	-63.253	-63.144	-63.179	-63.038	-63.039	-63.006	-63.076	-62.864	-62.939	-63.004	-62.938	-62.898	-62.971	-62.889	-62.969	-62.937	-62.970	-63.008	-62.898	-62.899	-63.039	-62.936	-62.899	-63.042	-62.900	-62.972	-62.933	143.018	143.237	143.304	143.337	143.267	143.302	143.372	143.407	143.370	143.266	143.334	143.160	143.183	143.158	143.269	143.086	143.148	143.295	143.251	143.337	143.370	143.303	143.195	143.335	143.304	143.303	143.405	143.372	143.092	143.335	143.196	143.340	113.768	113.781	113.793	113.731	113.742	113.749	113.702	113.708	113.667	113.682	113.661	113.710	113.636	113.665	113.670	113.675	113.653	113.655	113.634	113.648	113.633	113.654	113.683	113.625	113.630	113.677	113.627	113.620	113.709	113.626	113.670	113.636	2016_7_16_9_39_55
FLQS3023GRX8____	-62.901	-63.042	-63.120	-62.936	-62.936	-63.008	-62.864	-62.904	-62.769	-62.768	-62.736	-62.794	-62.620	-62.657	-62.725	-62.656	-62.654	-62.688	-62.622	-62.688	-62.658	-62.690	-62.726	-62.627	-62.620	-62.758	-62.657	-62.618	-62.759	-62.620	-62.691	-62.655	143.153	143.367	143.472	143.471	143.401	143.436	143.506	143.577	143.507	143.402	143.473	143.296	143.325	143.292	143.401	143.222	143.290	143.431	143.427	143.472	143.507	143.434	143.329	143.472	143.436	143.436	143.542	143.506	143.227	143.470	143.328	143.471	113.783	113.799	113.809	113.748	113.758	113.777	113.719	113.722	113.687	113.702	113.681	113.726	113.663	113.681	113.688	113.691	113.680	113.671	113.649	113.665	113.649	113.671	113.698	113.644	113.647	113.694	113.644	113.636	113.725	113.642	113.687	113.654	2016_7_16_9_39_58
FLQS3075GRX8____	-63.128	-63.271	-63.343	-63.165	-63.166	-63.202	-63.094	-63.128	-62.985	-62.985	-62.950	-63.026	-62.838	-62.885	-62.957	-62.881	-62.872	-62.916	-62.806	-62.920	-62.885	-62.921	-62.958	-62.843	-62.852	-62.988	-62.885	-62.850	-62.991	-62.851	-62.921	-62.884	143.017	143.231	143.299	143.335	143.265	143.300	143.371	143.406	143.369	143.264	143.335	143.160	143.189	143.156	143.264	143.086	143.154	143.295	143.296	143.335	143.370	143.300	143.194	143.334	143.299	143.301	143.405	143.370	143.090	143.335	143.194	143.335	113.740	113.757	113.771	113.706	113.716	113.723	113.677	113.683	113.641	113.656	113.634	113.685	113.618	113.639	113.647	113.647	113.634	113.628	113.591	113.624	113.607	113.629	113.657	113.598	113.606	113.652	113.602	113.595	113.684	113.601	113.645	113.612	2016_7_16_9_40_01
FLQS3089GRXL____	-62.704	-62.846	-62.879	-62.743	-62.744	-62.781	-62.663	-62.695	-62.572	-62.558	-62.502	-62.602	-62.390	-62.425	-62.532	-62.458	-62.424	-62.459	-62.423	-62.486	-62.455	-62.495	-62.526	-62.391	-62.424	-62.564	-62.454	-62.384	-62.557	-62.426	-62.456	-62.461	143.235	143.492	143.557	143.593	143.521	143.555	143.591	143.626	143.626	143.484	143.555	143.415	143.404	143.372	143.523	143.304	143.369	143.512	143.509	143.557	143.592	143.557	143.412	143.554	143.557	143.557	143.627	143.589	143.310	143.589	143.413	143.594	113.718	113.728	113.730	113.679	113.690	113.697	113.652	113.658	113.617	113.633	113.604	113.658	113.588	113.605	113.618	113.626	113.605	113.595	113.584	113.598	113.582	113.601	113.633	113.567	113.577	113.624	113.577	113.559	113.658	113.573	113.609	113.584	2016_7_16_9_40_04
