SN	Distance_X_LOGO_Front_Camera_RU1	Distance_X_LOGO_Front_Camera_RU2	Distance_X_LOGO_Front_Camera_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_RU1	Distance_Y_LOGO_Front_Camera_RU2	Distance_Y_LOGO_Front_Camera_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_RU1	Angle_Front_Camera_RU2	Angle_Front_Camera_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLNS31Y0GRX5____	-25.835	-25.800	-25.799	-25.694	-25.872	-25.652	-25.802	-25.767	-25.656	-25.800	-25.800	-25.691	-25.766	-25.800	-25.764	-25.761	-25.944	-25.834	-25.737	-25.795	-25.799	-25.802	-25.872	-25.772	-25.836	-25.874	-25.947	-25.803	-25.799	-25.698	-25.945	-25.840	139.126	139.098	139.124	139.035	139.128	139.059	139.122	139.063	139.092	139.166	139.105	139.091	139.087	139.105	139.130	139.064	139.163	139.125	138.983	138.998	139.054	139.065	139.093	139.020	139.126	139.097	139.200	139.163	139.026	139.200	138.953	139.162	100.643	100.631	100.629	100.593	100.657	100.575	100.630	100.620	100.574	100.626	100.630	100.588	100.618	100.630	100.614	100.618	100.683	100.643	100.614	100.636	100.634	100.634	100.660	100.625	100.643	100.660	100.682	100.628	100.636	100.583	100.700	100.642	2016_7_16_9_50_36
FLNS32DNGRX5____	-25.781	-25.747	-25.748	-25.663	-25.821	-25.609	-25.860	-25.748	-25.640	-25.751	-25.749	-25.638	-25.747	-25.749	-25.750	-25.713	-25.897	-25.785	-25.691	-25.717	-25.748	-25.751	-25.821	-25.722	-25.819	-25.821	-25.900	-25.784	-25.714	-25.687	-25.894	-25.823	139.136	139.093	139.139	138.958	139.139	138.984	139.078	138.993	139.054	139.157	139.110	139.052	139.011	139.110	139.176	139.066	139.181	139.134	138.939	139.000	138.982	139.035	139.100	139.006	139.140	139.073	139.192	139.082	139.025	139.119	138.882	139.170	100.401	100.391	100.388	100.368	100.417	100.344	100.437	100.399	100.351	100.388	100.390	100.351	100.397	100.390	100.386	100.379	100.444	100.403	100.380	100.386	100.399	100.397	100.420	100.387	100.416	100.422	100.444	100.407	100.383	100.365	100.465	100.416	2016_7_16_9_50_39
FLNS32G4GRX5____	-25.787	-25.751	-25.750	-25.729	-25.823	-25.603	-25.751	-25.750	-25.642	-25.751	-25.751	-25.642	-25.719	-25.751	-25.752	-25.716	-25.891	-25.786	-25.686	-25.759	-25.752	-25.754	-25.858	-25.719	-25.822	-25.825	-25.892	-25.749	-25.748	-25.646	-25.893	-25.788	139.070	139.070	139.068	138.900	139.097	139.019	139.070	139.022	139.056	139.164	139.072	139.030	139.055	139.072	139.125	139.054	139.106	139.067	138.949	138.940	139.021	139.025	139.032	138.996	139.065	139.060	139.178	139.101	138.993	139.163	138.914	139.129	100.259	100.244	100.244	100.248	100.271	100.189	100.244	100.247	100.202	100.238	100.244	100.204	100.233	100.244	100.241	100.232	100.298	100.259	100.227	100.257	100.248	100.249	100.290	100.237	100.273	100.274	100.293	100.242	100.249	100.196	100.313	100.255	2016_7_16_9_50_42
FLQS30BYGRX8____	-26.200	-26.164	-26.164	-26.128	-26.271	-26.060	-26.161	-26.196	-26.061	-26.160	-26.163	-26.060	-26.129	-26.163	-26.129	-26.125	-26.302	-26.196	-26.094	-26.158	-26.163	-26.164	-26.233	-26.130	-26.200	-26.269	-26.301	-26.163	-26.160	-26.057	-26.304	-26.233	139.028	139.029	139.027	138.918	139.030	138.921	139.033	138.923	138.995	139.104	139.024	138.988	138.989	139.024	139.064	138.985	139.069	139.025	138.891	138.873	138.956	138.956	138.990	138.962	139.026	138.988	139.137	139.067	138.955	139.102	138.854	139.066	100.726	100.711	100.711	100.705	100.754	100.678	100.710	100.732	100.673	100.704	100.712	100.673	100.701	100.712	100.695	100.699	100.763	100.725	100.694	100.721	100.717	100.717	100.742	100.703	100.726	100.756	100.758	100.708	100.715	100.664	100.780	100.736	2016_7_16_9_50_44
FLQS30DLGRXL____	-25.855	-25.857	-25.816	-25.785	-25.925	-25.673	-25.818	-25.815	-25.708	-25.818	-25.818	-25.710	-25.785	-25.818	-25.820	-25.757	-25.959	-25.854	-25.752	-25.827	-25.819	-25.855	-25.926	-25.787	-25.889	-25.932	-25.959	-25.819	-25.827	-25.715	-26.072	-25.891	139.105	139.128	139.104	139.029	139.104	139.028	139.100	139.031	139.064	139.199	139.079	139.062	139.065	139.079	139.162	138.985	139.167	139.100	138.984	138.985	139.055	139.063	139.069	139.053	139.101	138.985	139.210	139.134	138.950	139.168	138.915	139.165	100.534	100.533	100.519	100.512	100.562	100.467	100.520	100.524	100.478	100.513	100.521	100.480	100.509	100.521	100.516	100.504	100.571	100.534	100.502	100.532	100.524	100.537	100.565	100.511	100.548	100.574	100.568	100.517	100.535	100.474	100.635	100.544	2016_7_16_9_50_47
FLQS30GVGRX8____	-25.966	-25.927	-25.930	-25.855	-25.999	-25.784	-25.925	-25.925	-25.823	-25.929	-25.931	-25.824	-25.895	-25.931	-25.892	-25.890	-26.066	-25.963	-25.857	-25.887	-25.928	-25.931	-25.998	-25.894	-25.962	-25.998	-26.064	-25.924	-25.890	-25.821	-26.069	-25.963	139.109	139.111	139.109	139.036	139.110	139.042	139.114	139.039	139.075	139.185	139.109	139.072	139.072	139.109	139.144	139.073	139.147	139.109	138.966	138.999	139.039	139.037	139.075	139.037	139.108	139.072	139.217	139.145	139.039	139.183	138.929	139.146	100.496	100.481	100.482	100.457	100.509	100.429	100.480	100.485	100.442	100.476	100.483	100.442	100.471	100.483	100.464	100.469	100.533	100.495	100.463	100.473	100.486	100.488	100.512	100.473	100.495	100.512	100.527	100.477	100.471	100.433	100.551	100.493	2016_7_16_9_50_50
FLQS30KBGRX8____	-25.842	-25.806	-25.804	-25.732	-25.875	-25.663	-25.802	-25.804	-25.728	-25.801	-25.807	-25.729	-25.771	-25.807	-25.770	-25.803	-25.945	-25.873	-25.770	-25.802	-25.802	-25.806	-25.908	-25.771	-25.838	-25.908	-25.944	-25.839	-25.801	-25.731	-25.945	-25.843	139.095	139.098	139.094	139.016	139.095	139.019	139.097	139.024	139.058	139.167	139.092	139.057	139.057	139.092	139.127	139.052	139.129	139.095	138.952	138.981	139.020	139.022	139.060	139.024	139.095	139.030	139.198	139.129	138.990	139.165	138.916	139.130	100.663	100.649	100.648	100.626	100.677	100.598	100.647	100.653	100.621	100.642	100.650	100.621	100.638	100.650	100.633	100.651	100.702	100.676	100.645	100.656	100.653	100.655	100.693	100.641	100.662	100.695	100.697	100.660	100.655	100.614	100.718	100.661	2016_7_16_9_50_53
FLQS30LUGRXL	-25.916	-25.880	-25.878	-25.809	-25.952	-25.735	-25.879	-25.876	-25.771	-25.879	-25.878	-25.771	-25.846	-25.878	-25.846	-25.842	-26.017	-25.913	-25.814	-25.842	-25.877	-25.880	-25.951	-25.848	-25.913	-25.951	-26.017	-25.879	-25.876	-25.775	-26.021	-25.916	139.051	139.076	139.052	138.978	139.051	138.979	139.049	138.978	139.012	139.150	139.025	139.012	139.012	139.025	139.110	139.011	139.087	139.049	138.905	138.940	138.980	138.981	139.015	138.977	139.047	139.016	139.158	139.085	138.944	139.121	138.875	139.112	100.348	100.332	100.333	100.311	100.362	100.281	100.333	100.338	100.293	100.326	100.335	100.293	100.323	100.335	100.316	100.321	100.386	100.347	100.318	100.327	100.338	100.339	100.365	100.327	100.347	100.365	100.380	100.331	100.340	100.287	100.403	100.344	2016_7_16_9_50_57
FLQS31B0GRX2____	-25.467	-25.384	-25.432	-25.315	-25.502	-25.277	-25.383	-25.384	-25.310	-25.415	-25.384	-25.327	-25.352	-25.384	-25.349	-25.348	-25.563	-25.454	-25.318	-25.397	-25.432	-25.385	-25.502	-25.354	-25.467	-25.456	-25.564	-25.422	-25.381	-25.285	-25.527	-25.457	139.083	139.152	139.083	139.088	139.083	139.082	139.149	139.085	139.118	139.221	139.156	139.048	139.111	139.156	139.181	139.118	139.189	139.151	139.003	139.048	139.013	139.085	139.048	139.075	139.083	139.122	139.288	139.185	139.047	139.220	138.976	139.219	100.463	100.425	100.449	100.402	100.477	100.387	100.425	100.430	100.398	100.432	100.424	100.410	100.415	100.424	100.409	100.413	100.493	100.453	100.409	100.438	100.454	100.430	100.479	100.418	100.463	100.456	100.487	100.437	100.431	100.380	100.495	100.449	2016_7_16_9_51_01
FLQS31B2GRWM____	-25.087	-25.054	-25.051	-24.975	-25.119	-24.913	-25.047	-25.048	-24.946	-25.050	-25.052	-24.946	-25.019	-25.052	-25.052	-25.017	-25.193	-25.084	-24.985	-25.012	-25.052	-25.054	-25.118	-25.020	-25.082	-25.120	-25.194	-25.055	-25.014	-24.948	-25.195	-25.089	139.214	139.211	139.212	139.088	139.214	139.118	139.189	139.141	139.179	139.258	139.213	139.176	139.174	139.213	139.222	139.151	139.247	139.210	139.072	139.104	139.141	139.144	139.179	139.142	139.212	139.178	139.318	139.246	139.114	139.284	139.037	139.247	100.234	100.221	100.220	100.198	100.247	100.172	100.220	100.224	100.181	100.216	100.220	100.181	100.210	100.220	100.220	100.211	100.274	100.233	100.204	100.212	100.226	100.226	100.249	100.213	100.232	100.250	100.270	100.219	100.212	100.174	100.290	100.233	2016_7_16_9_51_04
