SN	Distance_X_LOGO_Front_Camera_RU1	Distance_X_LOGO_Front_Camera_RU2	Distance_X_LOGO_Front_Camera_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	XXXXXXXXXXXX	Distance_Y_LOGO_Front_Camera_RU1	Distance_Y_LOGO_Front_Camera_RU2	Distance_Y_LOGO_Front_Camera_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	YYYYYYYYYYYY	Angle_Front_Camera_RU1	Angle_Front_Camera_RU2	Angle_Front_Camera_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	ZZZZZZZZZZZZZZ	Date_time
FLQS2AVTGRX5____	0.048	0.022	0.013	0.016	0.01	0.014	0.011	-0.021	0.014	0.014	0.015	0.016	0.018	0.015	0.009	0.049	0.049	-0.019	-0.012	0.019	0.019	0.016	0.049	-0.018	0.053	0.016	0.012	0.017	0.045	0.017	0.051	0.089	0.0208125	0.039	-0.03	0.004	0.008	-0.031	-0.028	0.04	-0.033	0.005	0.005	0.046	-0.025	-0.028	0.046	-0.035	0.009	0.007	-0.027	-0.029	0.035	-0.026	0.005	0.009	-0.024	0.008	0.007	0.005	-0.034	0.049	-0.03	-0.025	0.079	3.125E-05	-0.093	-0.077	-0.076	-0.078	-0.073	-0.074	-0.078	-0.06	-0.076	-0.077	-0.08	-0.075	-0.076	-0.08	-0.072	-0.091	-0.091	-0.061	-0.063	-0.081	-0.076	-0.077	-0.09	-0.062	-0.093	-0.077	-0.076	-0.075	-0.092	-0.075	-0.089	-0.112	-0.0789375	2016_7_11_10_49_16
FLQS2B6JGRX5____	-0.036	0	0.005	-0.039	0.045	0.001	0.002	0.001	-0.004	0.002	0.002	-0.001	0.012	0.002	-0.041	0	0.005	0.004	-0.031	-0.001	-0.033	0.002	0	0.001	0.003	0	-0.032	-0.002	-0.032	0	0.005	0.003	-0.00490625	0	-0.003	0.029	-0.005	0.009	-0.001	-0.001	0.033	0.001	0.001	0.001	0.001	0.151	0.001	-0.004	0.003	0.043	0.032	0.006	0.055	0.007	0.042	0	0.001	0.034	-0.032	0.008	-0.005	-0.002	-0.023	0.005	0.037	0.01325	0.041	0.027	0.023	0.043	0.008	0.027	0.027	0.024	0.028	0.026	0.026	0.027	0.011	0.026	0.044	0.027	0.022	0.023	0.039	0.023	0.039	0.023	0.027	0.026	0.024	0.03	0.039	0.027	0.04	0.028	0.025	0.023	0.02790625	2016_7_11_10_49_19
FLQS2BC6GRX5____	0.006	0.002	-0.096	0.009	0.005	0.005	-0.032	0.003	0.004	-0.033	-0.031	0.002	-0.033	-0.031	-0.033	-0.029	0.008	-0.03	-0.028	0.038	-0.081	-0.03	-0.032	-0.031	-0.032	-0.035	-0.027	-0.032	0.001	0.002	-0.031	-0.031	-0.02040625	-0.031	0.081	-0.018	0.004	0.004	-0.071	0	-0.001	-0.002	0.004	-0.002	-0.038	-0.034	-0.002	0.002	0.037	0.003	0.034	0	0.115	-0.003	0	0.001	0.035	-0.001	-0.001	0.004	0.003	-0.002	-0.027	0	-0.069	0.00078125	-0.112	-0.119	-0.073	-0.115	-0.114	-0.108	-0.099	-0.113	-0.114	-0.099	-0.1	-0.111	-0.096	-0.1	-0.099	-0.103	-0.115	-0.102	-0.101	-0.135	-0.08	-0.1	-0.099	-0.102	-0.099	-0.098	-0.102	-0.099	-0.112	-0.111	-0.1	-0.095	-0.10390625	2016_7_11_10_49_22
FLQS20V3GRWM____	0.214	0.243	0.243	0.245	0.213	0.214	0.249	0.243	0.338	0.328	0.248	0.366	0.215	0.248	0.245	0.201	0.229	0.254	0.244	0.21	0.211	0.25	0.21	0.159	0.244	0.207	0.208	0.214	0.241	0.211	0.21	0.243	0.2374375	0.006	0.053	0.125	0.049	0.015	0.046	0.01	0.052	0.029	0.089	0.093	-0.081	0.084	0.093	0.055	0.003	0.001	0.093	-0.026	0.048	0.046	0.051	0.049	-0.042	0.051	0.05	0.012	0.01	0.016	0.049	0.014	0.056	0.03746875	0.03	0.015	0.01	0.014	0.029	0.026	0.016	0.015	-0.022	-0.022	0.01	-0.024	0.024	0.01	0.014	0.035	0.024	0.008	0.02	0.029	0.028	0.012	0.028	0.055	0.014	0.03	0.032	0.029	0.018	0.028	0.031	0.014	0.018125	2016_7_11_10_49_25
FLQS22RXGRX2____	-0.075	-0.071	-0.112	-0.075	-0.107	-0.074	-0.107	-0.073	-0.073	-0.07	-0.074	-0.076	-0.076	-0.074	-0.157	-0.036	-0.073	-0.11	-0.079	-0.076	-0.078	-0.109	-0.073	-0.04	-0.073	-0.075	-0.113	-0.04	-0.073	-0.07	-0.074	-0.075	-0.08003125	-0.005	0.029	-0.006	-0.038	-0.035	0.028	-0.032	-0.002	-0.005	-0.061	-0.037	0.023	-0.036	-0.037	-0.031	0.036	-0.001	-0.007	0.028	-0.026	0.022	-0.038	-0.005	-0.006	-0.005	0.031	0.005	-0.006	-0.067	-0.007	-0.005	-0.003	-0.00934375	0.025	0.021	0.04	0.028	0.04	0.022	0.04	0.024	0.025	0.027	0.027	0.024	0.028	0.027	0.059	0.006	0.024	0.039	0.024	0.027	0.024	0.041	0.025	0.011	0.025	0.022	0.039	0.012	0.029	0.024	0.024	0.025	0.0274375	2016_7_11_10_49_28
