SN	Distance_X_LOGO_Camera_LD1	Distance_X_LOGO_Camera_LD2	Distance_X_LOGO_Camera_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	XXXXXXXXXXXXXX	Distance_Y_LOGO_Camera_LD1	Distance_Y_LOGO_Camera_LD2	Distance_Y_LOGO_Camera_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	YYYYYYYYYYYY	Angle_Camera_LD1	Angle_Camera_LD2	Angle_Camera_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	ZZZZZZZZZZZZ	Date_time
FLQS2AVTGRX5____	0.018	0.017	0.015	0.014	0.014	0.016	0.015	0.015	0.015	0.016	0.049	-0.033	0.049	-0.016	0.049	-0.026	0.015	0.05	0.019	0.051	0.051	0.013	0.05	0.053	0.013	0.051	0.049	0.012	0.049	0.012	0.012	0.049	0.02425	0.044	0.049	0.011	0.048	0.047	0.044	-0.025	0.047	0.011	0.011	-0.022	0.008	-0.022	0.052	0.047	-0.026	0.011	0.012	0.044	0.043	0.011	0.009	-0.029	0.048	-0.024	0.045	0.01	-0.062	0.01	-0.023	-0.026	0.01	0.01290625	-0.083	-0.083	-0.077	-0.082	-0.082	-0.083	-0.072	-0.082	-0.077	-0.077	-0.085	-0.06	-0.085	-0.072	-0.095	-0.058	-0.077	-0.09	-0.083	-0.094	-0.09	-0.076	-0.084	-0.096	-0.072	-0.095	-0.089	-0.066	-0.089	-0.071	-0.071	-0.089	-0.08078125	2016_7_11_11_21_43
FLQS2B6JGRX5____	-0.003	0.005	-0.029	0.004	0.003	0	0	0.005	-0.029	0.002	0.004	0.004	0.004	0.001	0.004	0.008	-0.029	0.003	0.005	-0.03	0.004	0.003	-0.029	-0.033	-0.033	-0.032	0.002	0.004	0.002	-0.031	0.004	0.002	-0.00640625	-0.032	0.041	0.042	0.002	0.005	0.006	0.006	0.042	0.042	0.005	0.005	0.043	0.005	0.004	0.003	0.079	0.042	0.005	0.006	0.045	0.005	0.004	0.005	0.045	0.005	-0.033	0.004	0.004	0.004	-0.033	0.042	0.004	0.014125	0.033	0.02	0.031	0.025	0.025	0.026	0.026	0.019	0.031	0.025	0.025	0.019	0.025	0.026	0.025	0.013	0.031	0.025	0.025	0.031	0.025	0.026	0.036	0.032	0.038	0.042	0.025	0.025	0.025	0.043	0.02	0.025	0.027125	2016_7_11_11_21_46
FLQS2BC6GRX5____	-0.037	-0.008	-0.035	-0.006	-0.035	-0.037	-0.001	-0.039	-0.035	-0.036	-0.038	-0.035	-0.038	-0.036	-0.005	-0.037	-0.035	-0.035	-0.04	-0.036	-0.006	-0.034	-0.035	-0.036	-0.036	-0.038	-0.036	-0.037	-0.036	-0.037	-0.005	-0.036	-0.0305	0.005	-0.029	0.003	0.038	0.004	0.005	0.073	0.07	0.003	0.004	0.004	0.036	0.004	0.005	-0.03	0.004	0.003	0.036	-0.026	0.033	0.004	-0.031	0.004	0.006	0.004	0.073	0.005	-0.026	0.005	0.067	0.005	0.005	0.0114375	-0.1	-0.105	-0.1	-0.115	-0.101	-0.1	-0.121	-0.108	-0.1	-0.1	-0.099	-0.105	-0.099	-0.1	-0.106	-0.099	-0.1	-0.105	-0.094	-0.104	-0.111	-0.096	-0.1	-0.101	-0.1	-0.109	-0.1	-0.095	-0.1	-0.108	-0.111	-0.1	-0.102875	2016_7_11_11_21_49
FLQS20V3GRWM____	0.126	0.128	0.093	0.127	0.128	0.129	0.123	0.127	0.093	0.096	0.129	0.093	0.129	0.127	0.131	0.131	0.093	0.131	0.129	0.129	0.13	0.131	0.131	0.131	0.164	0.13	0.132	0.129	0.132	0.131	0.132	0.132	0.12490625	0.019	0.095	0.013	0.013	0.094	0.052	0.015	0.016	0.013	0.051	0.057	0.053	0.057	0.058	0.014	0.089	0.013	0.093	0.054	0.053	0.055	0.016	0.052	0.016	0.051	0.016	0.019	0.052	0.019	0.017	0.017	0.019	0.03971875	0.069	0.057	0.081	0.07	0.058	0.063	0.071	0.069	0.081	0.075	0.062	0.075	0.062	0.063	0.067	0.057	0.081	0.057	0.063	0.063	0.062	0.068	0.062	0.068	0.051	0.067	0.067	0.063	0.067	0.068	0.068	0.067	0.0663125	2016_7_11_11_21_52
FLQS22RXGRX2____	-0.063	-0.06	-0.063	-0.061	-0.059	-0.029	-0.058	-0.06	-0.063	-0.064	-0.026	-0.029	-0.026	0.004	-0.062	-0.028	-0.063	-0.063	-0.058	-0.059	-0.062	-0.03	-0.032	-0.031	-0.057	-0.062	-0.063	-0.061	-0.063	-0.032	-0.059	-0.063	-0.05015625	-0.041	0.001	-0.075	0.001	-0.036	0	0.035	0.001	-0.075	-0.069	-0.075	0.004	-0.075	0	0	-0.034	-0.075	-0.001	0	0	0	0	0.034	0.041	-0.078	0	0	-0.04	0	0.04	-0.036	0	-0.01728125	0.022	0.016	0.028	0.016	0.021	0.005	0.01	0.016	0.028	0.027	0.014	0.005	0.014	-0.006	0.017	0.009	0.028	0.017	0.015	0.015	0.017	0.006	0.001	0	0.026	0.017	0.017	0.021	0.017	0.001	0.021	0.017	0.0149375	2016_7_11_11_21_54
