SN	Distance_X_LOGO_MainBoard_Corner1	Distance_X_LOGO_MainBoard_Corner2	Distance_X_LOGO_MainBoard_Corner3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	XXXXXXXXXXXX	Distance_Y_LOGO_MainBoard_Corner1	Distance_Y_LOGO_MainBoard_Corner2	Distance_Y_LOGO_MainBoard_Corner3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	YYYYYYYYYY	Angle_MainBoard_Corner1	Angle_MainBoard_Corner2	Angle_MainBoard_Corner3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	ZZZZZZZZZZZZZ	Date_time
FLQS2AVTGRX5____	0	0.01	0.043	0.048	-0.004	0.003	0.012	0.071	0.001	0.048	0.048	0.01	0.013	-0.024	0.045	0.045	-0.003	0.001	-0.001	-0.006	0.067	0.067	0.051	0.001	0.049	0.046	0.003	-0.001	0.066	0.001	0.068	0.141	0.02871875	0.033	0.012	0.038	0.012	0.03	0.034	0.039	0.005	0.005	0.009	0.013	0.011	0.012	-0.027	0.039	0.039	0.035	0.075	0.034	0.034	0.032	-0.03	-0.014	0.005	0.009	0.011	0.029	0.034	0.058	0.075	0.032	0.005	0.02275	-0.076	-0.076	-0.092	-0.09	-0.073	-0.078	-0.081	-0.099	-0.072	-0.09	-0.092	-0.076	-0.077	-0.057	-0.094	-0.962	-0.075	-0.083	-0.075	-0.074	-0.102	0.583	-0.088	-0.072	-0.091	-0.09	-0.076	-0.076	-0.105	-0.082	-0.101	-0.125	-0.09115625	2016_7_11_10_50_55
FLQS2B6JGRX5____	-0.032	-0.031	0.037	-0.034	0.036	-0.037	0.004	0.003	0.034	0.036	-0.032	-0.031	-0.032	-0.031	0.039	-0.033	-0.031	-0.029	0.038	0.037	-0.03	0.002	0	-0.031	0.004	0.001	0.037	-0.032	0.038	0.002	-0.001	0.002	-0.00303125	0.005	0.007	0.006	0.042	0.009	0.038	0.078	0.006	0.038	0.038	0.005	0.006	0.046	0.007	0.041	0.042	0.006	0.008	0.038	0.007	0.039	0.003	0.039	0.041	0.045	0.04	0.006	0.007	0.046	0.006	0.04	0.008	0.02478125	0.039	0.038	0.012	0.034	0.012	0.035	0.014	0.024	0.008	0.008	0.038	0.038	0.032	0.037	0.006	0.033	0.038	0.037	0.006	0.012	0.033	0.026	0.021	0.033	0.018	0.02	0.011	0.038	0.005	0.025	0.022	0.025	0.0243125	2016_7_11_10_50_58
FLQS2BC6GRX5____	-0.039	0.003	-0.002	0	-0.036	0.001	-0.037	-0.036	-0.001	-0.037	-0.035	-0.001	-0.001	-0.035	-0.002	-0.038	-0.038	-0.039	-0.036	-0.034	-0.001	-0.036	-0.001	0.041	-0.003	-0.038	-0.041	0	-0.033	-0.04	0	-0.036	-0.01971875	0.001	-0.033	0.002	0.001	0.003	0.002	0.003	-0.033	0.003	-0.033	0.003	0.002	0.003	0.003	0.003	0.002	-0.256	0.006	-0.03	-0.031	0.002	0.002	0.002	0.001	0.001	0.003	0.005	0.003	-0.033	0.002	0.003	0.004	-0.012	-0.098	-0.108	-0.112	-0.112	-0.099	-0.113	-0.099	-0.094	-0.112	-0.092	-0.099	-0.112	-0.112	-0.099	-0.111	-0.098	0.548	-0.098	-0.094	-0.094	-0.112	-0.098	-0.112	-0.128	-0.111	-0.098	-0.097	-0.113	-0.094	-0.097	-0.112	-0.099	-0.08371875	2016_7_11_10_51_00
FLQS20V3GRWM____	0.136	0.138	0.171	0.135	0.213	0.136	0.133	0.133	0.171	0.101	0.135	0.137	0.13	0.136	0.134	0.096	0.136	0.132	0.137	0.137	0.133	0.168	0.168	0.133	0.132	0.1	0.133	0.137	0.137	0.141	0.133	0.13	0.1381875	0.054	0.022	0.088	0.053	0.022	0.053	0.087	0.053	0.054	0.014	0.053	0.019	0.053	0.053	0.054	0.018	0.053	0.053	0.055	-0.42	0.051	0.053	0.089	0.054	0.053	0.018	0.057	0.053	0.053	0.022	0.053	0.052	0.03434375	0.055	0.06	0.037	0.056	0.031	0.056	0.051	0.057	0.042	0.074	0.056	0.06	0.058	0.055	0.057	0.076	0.055	0.058	0.055	0.708	0.057	0.043	0.037	0.056	0.057	0.074	0.056	0.055	0.056	0.058	0.057	0.058	0.07565625	2016_7_11_10_51_03
FLQS22RXGRX2____	-0.066	-0.068	-0.068	-0.03	-0.068	-0.061	-0.064	-0.03	-0.064	-0.063	-0.067	-0.067	-0.06	-0.067	-0.063	-0.022	-0.062	-0.028	-0.066	-0.031	-0.03	-0.062	-0.064	-0.063	-0.03	-0.031	-0.033	-0.032	-0.032	-0.065	-0.031	-0.065	-0.05165625	-0.002	-0.003	-0.06	-0.005	-0.002	-0.035	-0.001	-0.004	-0.004	-0.002	-0.003	-0.003	0.003	-0.003	-0.003	0.001	-0.002	-0.004	-0.004	-0.003	-0.004	-0.004	-0.003	-0.003	-0.002	-0.006	0.028	-0.003	-0.004	-0.003	-0.005	-0.003	-0.00471875	0.02	0.022	-0.569	0.007	0.021	0.023	0.02	0.007	0.02	0.02	0.021	0.021	0.017	0.021	0.019	0.003	0.019	0.006	0.021	0.007	0.007	0.02	0.02	0.02	0.006	0.008	0.004	0.007	0.007	0.02	0.008	0.02	-0.00334375	2016_7_11_10_51_06
