SN;Distance_X_LOGO_Voice1;Distance_X_LOGO_voice2;Distance_X_LOGO_3;Distance_X_LOGO_4;Distance_X_LOGO_5;Distance_X_LOGO_6;Distance_X_LOGO_7;Distance_X_LOGO_8;Distance_X_LOGO_9;Distance_X_LOGO_10;Distance_X_LOGO_11;Distance_X_LOGO_12;Distance_X_LOGO_13;Distance_X_LOGO_14;Distance_X_LOGO_15;Distance_X_LOGO_16;Distance_X_LOGO_17;Distance_X_LOGO_18;Distance_X_LOGO_19;Distance_X_LOGO_20;Distance_X_LOGO_21;Distance_X_LOGO_22;Distance_X_LOGO_23;Distance_X_LOGO_24;Distance_X_LOGO_25;Distance_X_LOGO_26;Distance_X_LOGO_27;Distance_X_LOGO_28;Distance_X_LOGO_29;Distance_X_LOGO_30;Distance_X_LOGO_31;Distance_X_LOGO_32;Distance_Y_LOGO_Voice1;Distance_Y_LOGO_voice2;Distance_Y_LOGO_3;Distance_Y_LOGO_4;Distance_Y_LOGO_5;Distance_Y_LOGO_6;Distance_Y_LOGO_7;Distance_Y_LOGO_8;Distance_Y_LOGO_9;Distance_Y_LOGO_10;Distance_Y_LOGO_11;Distance_Y_LOGO_12;Distance_Y_LOGO_13;Distance_Y_LOGO_14;Distance_Y_LOGO_15;Distance_Y_LOGO_16;Distance_Y_LOGO_17;Distance_Y_LOGO_18;Distance_Y_LOGO_19;Distance_Y_LOGO_20;Distance_Y_LOGO_21;Distance_Y_LOGO_22;Distance_Y_LOGO_23;Distance_Y_LOGO_24;Distance_Y_LOGO_25;Distance_Y_LOGO_26;Distance_Y_LOGO_27;Distance_Y_LOGO_28;Distance_Y_LOGO_29;Distance_Y_LOGO_30;Distance_Y_LOGO_31;Distance_Y_LOGO_32;Angle_Voice1;Angle_voice2;Angle_3;Angle_4;Angle_5;Angle_6;Angle_7;Angle_8;Angle_9;Angle_10;Angle_11;Angle_12;Angle_13;Angle_14;Angle_15;Angle_16;Angle_17;Angle_18;Angle_19;Angle_20;Angle_21;Angle_22;Angle_23;Angle_24;Angle_25;Angle_26;Angle_27;Angle_28;Angle_29;Angle_30;Angle_31;Angle_32;Date_time
FLQS2AVTGRX5____;0.001;0;0;0;0.008;0.008;0;0.003;-0.003;-0.001;-0.003;-0.003;0.001;0.001;0.001;-0.005;-0.001;-0.005;0.001;0.001;0.004;0.001;0;0;0.001;0.001;0.001;-0.005;-0.005;0;0.035;0.035;0;0;0;0.001;-0.034;-0.034;0.002;0.001;0.032;0.028;0.032;0.002;0.003;0.004;0.002;0.03;0.003;0.037;0.001;0.001;-0.026;0.001;0;0;0.003;0.002;0.002;0.037;0.037;0;0.002;0.002;-0.674;-0.674;-0.674;-0.675;-0.665;-0.665;-0.674;-0.673;-0.681;-0.68;-0.681;-0.676;-0.674;-0.674;-0.674;-0.682;-0.675;-0.683;-0.674;-0.674;-0.668;-0.674;-0.674;-0.674;-0.674;-0.674;-0.674;-0.683;-0.683;-0.674;-0.661;-0.661;2016_7_9_14_07_05
FLQS2B6JGRX5____;-0.011;-0.065;-0.065;-0.01;-0.007;-0.05;-0.047;-0.045;-0.014;-0.008;-0.044;-0.011;-0.046;-0.011;-0.009;-0.009;-0.015;-0.049;-0.008;-0.008;-0.016;-0.015;-0.008;-0.008;-0.012;-0.017;-0.045;-0.013;0.01;-0.065;-0.008;-0.008;-0.001;0.067;0.067;0;-0.001;0.036;0.001;0.002;0.03;0.001;0.002;0.032;0.001;0;0;-0.943;0.031;0.036;0;0;0.026;0.033;-0.003;-0.003;0.001;0.032;-0.001;0.033;-0.009;-0.003;0.027;0.027;0.03;-0.004;-0.004;0.03;0.031;0.008;0.016;0.016;0.022;0.03;0.016;0.022;0.016;0.03;0.03;-0.773;0.022;0.008;0.03;0.03;0.023;0.021;0.036;0.036;0.029;0.021;0.017;0.022;0.04;0.01;0.022;0.022;2016_7_9_14_07_26
FLQS2BC6GRX5____;0.009;0.009;0;0.006;0.006;0.042;0.01;0.008;0.007;0.006;0.042;0.006;0.04;0.009;0.04;0.008;0.008;0.038;-0.029;0.082;0.006;0.006;0.07;0;0.003;0.038;0.04;0.007;0.037;0;0.009;-0.07;-0.006;-0.006;0;-0.008;-0.006;-0.007;-0.039;-0.041;-0.004;-0.007;-0.007;-0.007;-0.009;-0.006;-0.006;-0.006;-0.043;0.027;-0.006;0.063;-0.007;-0.007;0;0;-0.005;-0.009;-0.007;-0.042;-0.01;0;-0.007;-0.07;0.004;0.004;0;0.004;0.003;0.017;0.011;0.011;0.003;0.004;0.017;0.004;0.016;0.005;0.016;0.004;0.011;0.008;-0.009;0.019;0.003;0.004;0.026;0;0.003;0.016;0.016;0.011;0.015;0;0.005;-0.012;2016_7_9_14_07_54
FLQS20V3GRWM____;0.024;0.07;0;0.023;0.025;0.026;0.056;0.021;0.024;0.057;0.024;0.023;0.022;0.026;0.061;0.061;0.055;0.024;0.056;0.067;0.023;0.022;0.07;0.07;0.021;0.022;0.024;0.023;0.052;0.07;0.056;0.07;-0.063;-0.07;-0.07;-0.064;-0.063;-0.065;-0.068;-0.066;-0.063;-0.069;-0.096;-0.068;-0.067;-0.066;-0.064;-0.064;-0.031;-0.065;-0.066;-0.072;-0.066;-0.065;-0.07;-0.07;-0.066;-0.065;-0.065;-0.064;-0.069;-0.07;-0.068;-0.07;0.022;0.04;0.013;0.021;0.022;0.022;0.035;0.021;0.021;0.035;0.027;0.022;0.021;0.023;0.035;-0.723;0.027;0.022;0.034;0.039;0.021;0.021;0.04;0.04;0.021;0.022;0.022;0.021;0.033;0.04;0.034;0.04;2016_7_9_14_08_13
FLQS22RXGRX2____;0.031;0;-0.07;-0.002;0;0.033;0.001;-0.002;0.001;0;-0.031;0.034;0;0.001;0;-0.027;-0.033;-0.032;-0.031;0;0;-0.002;0;0;0.002;-0.001;-0.001;0.029;-0.001;0;0.001;-0.07;-0.01;-0.07;0;-0.009;-0.007;-0.007;-0.011;-0.009;-0.01;-0.01;-0.036;-0.007;-0.008;-0.009;-0.007;-0.067;-0.042;-0.042;-0.007;0;-0.009;-0.008;0;0;-0.008;-0.009;-0.008;0.023;-0.006;0;-0.007;0;0.013;0.014;-0.026;0.001;0.001;0.013;0.003;0.001;0.002;0.002;-0.004;0.014;0.002;0.002;0.002;0.003;-0.004;-0.004;-0.01;0;0.002;0.001;0;0;0.003;0.001;0.001;0.007;0.001;0;0.002;-0.026;2016_7_9_14_08_42
