SN;UP;DOWN;LEFT;RIGHT
FLQS312SGRWV____;1111.341187;1107.741089;2252.759521;2250.953613
FLQS2044GRWY____;1110.529541;1109.331299;2252.188232;2251.342285
FLQS3087GRWV____;1119.598267;1115.266357;2252.901611;2250.515869
FLQS2AVTGRX5____;1111.039307;1110.85376;2251.941895;2250.106445
FLQS21YXGRX2____;1109.066406;1106.899658;2251.498291;2250.20874
FLQS22TQGRX2____;1111.682861;1110.190918;2251.06543;2250.463623
FLQS22XEGRX2____;1110.73291;1107.81189;2252.767822;2251.795166
FLQS29JFGRX5____;1111.11377;1108.796753;2252.335938;2251.336914
FLQS30C7GRWV____;1109.782227;1109.873779;2252.873535;2250.749756
FLQS30CWGRWV____;1110.993896;1110.306885;2252.020264;2250.760986
FLQS30KBGRWV____;1112.721802;1108.861328;2252.173828;2250.832031
FLQS30KVGRWV____;1112.103271;1111.621704;2252.316162;2251.308838
FLNS2037GRWV____;1108.544556;1108.395874;2250.038086;2251.128662
FLQS200ZGRX8____;1109.486694;1108.86438;2253.056152;2251.335938
FLQS224LGRWM____;1109.957642;1107.235352;2252.92749;2250.982666
FLQS224TGRWM____;1113.974976;1114.148193;2253.083252;2251.76123
FLQS2BJ4GRX5____;1112.234863;1108.473022;2252.783936;2251.093994
FLQS2C6NGRX5____;1115.604248;1112.503662;2252.836182;2251.488037
FLQS2C9EGRX5____;1114.341309;1108.962524;2252.039551;2249.860352
FLQS2CKUGRX5;1111.78125;1111.121216;2251.506592;2250.741943
FLQS2DERGRX5____;1112.407104;1113.572144;2252.651855;2251.949951
FLQS2EQUGRX5____;1109.20166;1108.665771;2251.535156;2250.616699
FLQS2F0LGRX5____;1111.723267;1110.473389;2253.40625;2251.002441
FLQS3009GRWQ____;1112.237061;1110.535889;2252.504883;2250.84375
FLQS300LGRWM____;1108.932861;1109.825928;2252.845459;2251.766357
FLQS300LGRWQ____;1108.769043;1111.171021;2252.167725;2251.95752
FLQS300RGRWY____;1111.822144;1114.587158;2252.960449;2251.410889
FLQS300VGRWQ____;1111.631226;1107.796021;2252.159424;2251.342773
FLQS301EGRWQ____;1110.321899;1108.116333;2252.38623;2251.457764
FLQS301GGRWM____;1113.226685;1112.097656;2251.69458;2251.197754
FLQS3024GRWM____;1112.865723;1110.483032;2252.473633;2252.404785
FLQS303BGRWM____;1111.262573;1110.730835;2251.528564;2251.312256
FLQS3047GRWM____;1110.964355;1107.756226;2253.027832;2251.870117
FLQS304WGRWM____;1111.701904;1111.206665;2253.103516;2252.016846
FLQS3052GRWY____;1109.744751;1109.905396;2251.931152;2250.718262
FLQS3057GRWM____;1108.349609;1109.129517;2253.416016;2253.091064
FLQS305DGRWM____;1109.188232;1107.619507;2252.640381;2251.536865
FLQS305NGRWM____;1111.932617;1112.828247;2253.867432;2251.271729
FLQS3072GRWV____;1108.036865;1108.293579;2252.677246;2251.470459
FLQS307KGRWV____;1108.742798;1107.377197;2252.941406;2251.444824
