SN	Distance_X_LOGO_Button_RU1	Distance_X_LOGO_Button_RU2	Distance_X_LOGO_Button_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_RU1	Distance_Y_LOGO_Button_RU2	Distance_Y_LOGO_Button_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_RU1	Angle_Button_RU2	Angle_Button_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS11MXGRWQ____	0	0	0	0.07	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0.07	0.07	0	0	0	0.07	0	0.07	0	0	0.07	0	0.07	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0.027	0.027	0	0	0	0.027	0	0.026	0	0	0.027	0	0.027	0.027	0	2016_7_11_10_51_12
FLQS11WBGRWQ____	-0.08	-0.07	-0.082	-0.035	-0.08	-0.081	-0.073	-0.14	-0.03	-0.069	-0.075	-0.078	-0.115	-0.031	-0.071	-0.114	-0.086	-0.107	-0.078	-0.116	-0.072	-0.078	-0.074	-0.077	-0.076	-0.122	-0.07	-0.07	-0.07	-0.081	-0.083	-0.076	-0.006	0	0.017	-0.002	0.01	-0.005	0.016	0	0.063	0.015	0.011	0.019	0.019	0.011	0.011	0.022	-0.007	0.012	0.017	-0.004	0.015	0.02	0.012	0.01	0.018	0.011	0	0	0	0.016	0.019	0.017	-0.029	-0.026	-0.033	-0.013	-0.032	-0.03	-0.029	-0.054	-0.018	-0.028	-0.03	-0.032	-0.046	-0.014	-0.029	-0.046	-0.032	-0.042	-0.032	-0.044	-0.029	-0.032	-0.029	-0.031	-0.03	-0.048	-0.027	-0.027	-0.026	-0.032	-0.034	-0.03	2016_7_11_10_51_15
FLQS11X1GRWQ____	-0.14	-0.14	-0.138	-0.137	-0.21	-0.138	-0.181	-0.21	-0.07	-0.14	-0.144	-0.143	-0.144	-0.139	-0.14	-0.141	-0.21	-0.14	-0.153	-0.144	-0.127	-0.143	-0.14	-0.28	-0.21	-0.21	-0.144	-0.14	-0.175	-0.146	-0.179	-0.193	0.07	0.07	0.066	0.068	0.07	0.069	0.064	0.07	0.07	0.07	0.063	0.062	0.062	0.067	0.07	0.062	0.07	0.07	0.062	0.061	0.059	0.062	0.07	0.07	0.07	0.07	0.065	0.07	0.067	0.022	0.065	0.025	-0.061	-0.061	-0.06	-0.059	-0.088	-0.06	-0.076	-0.087	-0.034	-0.061	-0.062	-0.061	-0.061	-0.06	-0.061	-0.06	-0.088	-0.061	-0.065	-0.061	-0.055	-0.062	-0.061	-0.114	-0.088	-0.088	-0.061	-0.061	-0.074	-0.058	-0.075	-0.076	2016_7_11_10_51_19
FLQS13MEGRWQ____	-0.07	0	0	-0.07	-0.058	-0.07	-0.084	-0.07	-0.015	0	-0.019	0	0	0	0	0	0	0	-0.047	0	-0.07	-0.012	0	-0.088	0	-0.088	0	-0.07	0	0	-0.07	-0.009	0	0	0	0	-0.015	0	-0.005	0	-0.064	0	-0.017	0	0	0	0	0	0	0	-0.008	0	0	-0.004	0	-0.016	0	-0.017	0	0	0	0	0	-0.008	0.647	0.674	0.674	0.647	0.653	0.647	0.643	0.648	0.675	0.674	0.668	0.674	0.674	0.674	0.674	0.674	0.674	0.674	0.657	0.674	0.647	0.67	0.674	0.642	0.674	0.642	0.674	0.648	0.674	0.674	0.647	0.671	2016_7_11_10_51_21
FLQS138GGRWQ____	0.067	0.067	0.079	0.013	0.012	0.056	0.045	0.067	0.067	0.022	0.067	0	0.047	0.013	0.067	0.071	0.08	0.067	0.068	-0.066	0.008	0.07	0.008	0.067	0.067	0.067	0.12	-0.003	0.067	0.068	0.004	0.068	0.057	0.057	0.052	0.057	0.11	0.048	0.004	0.057	-0.013	0.012	0.057	0.003	0.043	0.059	-0.013	0.044	0.006	0.057	0.046	0.059	0.042	0.041	0.043	0.057	0.057	0.057	0.051	0.057	0.057	0.042	0.046	0.048	-0.525	-0.526	-0.52	-0.547	-0.552	-0.529	-0.529	-0.526	-0.519	-0.538	-0.525	-0.546	-0.532	-0.547	-0.518	-0.523	-0.515	-0.526	-0.524	-0.577	-0.547	-0.524	-0.547	-0.525	-0.526	-0.526	-0.505	-0.553	-0.526	-0.523	-0.549	-0.525	2016_7_11_10_51_25
