SN;Distance_X_LOGO_MainBoard_LU1;Distance_X_LOGO_MainBoard_LU2;Distance_X_LOGO_MainBoard_LU3;Distance_X_LOGO_4;Distance_X_LOGO_5;Distance_X_LOGO_6;Distance_X_LOGO_7;Distance_X_LOGO_8;Distance_X_LOGO_9;Distance_X_LOGO_10;Distance_X_LOGO_11;Distance_X_LOGO_12;Distance_X_LOGO_13;Distance_X_LOGO_14;Distance_X_LOGO_15;Distance_X_LOGO_16;Distance_X_LOGO_17;Distance_X_LOGO_18;Distance_X_LOGO_19;Distance_X_LOGO_20;Distance_X_LOGO_21;Distance_X_LOGO_22;Distance_X_LOGO_23;Distance_X_LOGO_24;Distance_X_LOGO_25;Distance_X_LOGO_26;Distance_X_LOGO_27;Distance_X_LOGO_28;Distance_X_LOGO_29;Distance_X_LOGO_30;Distance_X_LOGO_31;Distance_X_LOGO_32;Distance_Y_LOGO_MainBoard_LU1;Distance_Y_LOGO_MainBoard_LU2;Distance_Y_LOGO_MainBoard_LU3;Distance_Y_LOGO_4;Distance_Y_LOGO_5;Distance_Y_LOGO_6;Distance_Y_LOGO_7;Distance_Y_LOGO_8;Distance_Y_LOGO_9;Distance_Y_LOGO_10;Distance_Y_LOGO_11;Distance_Y_LOGO_12;Distance_Y_LOGO_13;Distance_Y_LOGO_14;Distance_Y_LOGO_15;Distance_Y_LOGO_16;Distance_Y_LOGO_17;Distance_Y_LOGO_18;Distance_Y_LOGO_19;Distance_Y_LOGO_20;Distance_Y_LOGO_21;Distance_Y_LOGO_22;Distance_Y_LOGO_23;Distance_Y_LOGO_24;Distance_Y_LOGO_25;Distance_Y_LOGO_26;Distance_Y_LOGO_27;Distance_Y_LOGO_28;Distance_Y_LOGO_29;Distance_Y_LOGO_30;Distance_Y_LOGO_31;Distance_Y_LOGO_32;Angle_MainBoard_LU1;Angle_MainBoard_LU2;Angle_MainBoard_LU3;Angle_4;Angle_5;Angle_6;Angle_7;Angle_8;Angle_9;Angle_10;Angle_11;Angle_12;Angle_13;Angle_14;Angle_15;Angle_16;Angle_17;Angle_18;Angle_19;Angle_20;Angle_21;Angle_22;Angle_23;Angle_24;Angle_25;Angle_26;Angle_27;Angle_28;Angle_29;Angle_30;Angle_31;Angle_32;Date_time
FLQS11MXGRWQ____;-0.24;-0.209;-0.211;-0.197;-0.21;-0.205;-0.209;-0.209;-0.205;-0.208;-0.208;-0.208;-0.209;-0.206;-0.207;-0.208;-0.209;-0.21;-0.209;-0.207;-0.25;-0.207;-0.206;-0.208;-0.206;-0.208;-0.203;-0.217;-0.241;-0.209;-0.21;-0.207;-0.018;-0.048;-0.047;0;-0.048;-0.021;-0.049;-0.05;-0.021;-0.048;-0.047;-0.049;-0.046;-0.047;-0.05;-0.049;-0.047;-0.049;-0.049;-0.021;-0.007;-0.047;-0.049;-0.021;-0.017;-0.047;-0.02;-0.008;-0.053;-0.049;-0.048;-0.048;0.045;0.036;0.037;0.026;0.037;0.032;0.036;0.036;0.032;0.036;0.036;0.035;0.036;0.035;0.035;0.036;0.036;0.037;0.036;0.033;0.049;0.036;0.035;0.034;0.032;0.035;0.031;0.036;0.049;0.036;0.037;0.036;2016_7_9_13_17_54
FLQS11WBGRWQ____;0.298;0.327;0.328;0.326;0.332;0.329;0.33;0.328;0.332;0.3;0.297;0.296;0.298;0.3;0.328;0.33;0.297;0.299;0.296;0.33;0.301;0.301;0.331;0.302;0.328;0.297;0.329;0.326;0.329;0.297;0.331;0.296;0.114;0.116;0.116;0.114;0.114;0.115;0.116;0.115;0.115;0.114;0.083;0.081;0.116;0.114;0.083;0.114;0.114;0.113;0.114;0.116;0.116;0.114;0.115;0.114;0.114;0.114;0.114;0.117;0.114;0.114;0.114;0.116;0.071;0.059;0.058;0.06;0.057;0.058;0.058;0.058;0.056;0.07;0.075;0.076;0.071;0.07;0.062;0.058;0.072;0.071;0.072;0.058;0.07;0.07;0.057;0.07;0.058;0.071;0.059;0.059;0.058;0.071;0.057;0.071;2016_7_9_13_19_03
FLQS11X1GRWQ____;0.217;0.211;0.211;0.211;0.211;0.211;0.211;0.2;0.166;0.211;0.211;0.211;0.21;0.207;0.211;0.211;0.211;0.211;0.141;0.211;0.211;0.211;0.166;0.211;0.141;0.211;0.209;0.211;0.219;0.205;0.169;0.171;-0.003;0.069;0.069;-0.001;0.069;0.069;-0.001;0.011;0.011;0.069;-0.001;-0.001;0.009;0.013;-0.001;0.069;-0.001;-0.001;-0.001;-0.001;-0.001;-0.001;0.012;-0.001;-0.001;0.069;0.007;-0.001;-0.008;0.007;0.011;0.009;-0.085;-0.09;-0.089;-0.083;-0.089;-0.089;-0.082;-0.078;-0.065;-0.09;-0.083;-0.083;-0.083;-0.082;-0.082;-0.089;-0.083;-0.083;-0.053;-0.082;-0.082;-0.082;-0.065;-0.082;-0.053;-0.09;-0.082;-0.083;-0.085;-0.081;-0.066;-0.067;2016_7_9_13_19_27
FLQS13MEGRWQ____;0.065;0.065;0.065;0.065;0.065;0.065;0.065;0.065;0.065;0.065;0.065;0.065;0.065;0.065;0.065;0.065;0.065;0.121;0.065;0.065;0.065;0.065;0.065;0.065;0.065;0.065;0.071;0.065;0.065;0.065;0.065;0.065;-0.073;-0.003;-0.003;-0.073;-0.003;-0.003;-0.003;-0.003;-0.003;-0.003;-0.003;-0.003;-0.003;-0.003;-0.003;-0.003;-0.003;-0.064;-0.003;-0.003;-0.003;-0.003;-0.003;-0.003;-0.073;-0.003;-0.026;-0.073;-0.073;-0.003;-0.003;-0.003;0.03;0.023;0.022;0.029;0.022;0.022;0.022;0.023;0.023;0.023;0.023;0.022;0.023;0.022;0.023;0.022;0.023;0.005;0.022;0.022;0.023;0.022;0.023;0.022;0.029;0.023;0.022;0.029;0.029;0.022;0.022;0.022;2016_7_9_13_19_45
FLQS138GGRWQ____;-0.162;-0.19;-0.19;-0.191;-0.206;-0.194;-0.203;-0.19;-0.195;-0.193;-0.191;-0.192;-0.194;-0.195;-0.192;-0.203;-0.193;-0.192;-0.193;-0.195;-0.165;-0.192;-0.202;-0.205;-0.183;-0.189;-0.227;-0.192;-0.158;-0.135;-0.17;-0.205;0.016;0.014;0.015;0.01;0.03;0.014;0.03;0.014;0.042;0.015;0.014;0.013;0.015;0.013;0.039;0.03;0.014;0.014;0.012;0.014;0.014;0.014;0.029;0.029;0.01;0.013;0.012;0.015;0.014;0.03;0.057;0.031;-0.126;-0.114;-0.114;-0.113;-0.109;-0.113;-0.111;-0.115;-0.115;-0.113;-0.114;-0.113;-0.113;-0.112;-0.116;-0.11;-0.113;-0.114;-0.113;-0.113;-0.124;-0.113;-0.111;-0.11;-0.116;-0.115;-0.099;-0.114;-0.127;-0.139;-0.127;-0.11;2016_7_9_13_20_05
