SN;Distance_X_LOGO_Camera_RU1;Distance_X_LOGO_Camera_RU2;Distance_X_LOGO_3;Distance_X_LOGO_4;Distance_X_LOGO_5;Distance_X_LOGO_6;Distance_X_LOGO_7;Distance_X_LOGO_8;Distance_X_LOGO_9;Distance_X_LOGO_10;Distance_X_LOGO_11;Distance_X_LOGO_12;Distance_X_LOGO_13;Distance_X_LOGO_14;Distance_X_LOGO_15;Distance_X_LOGO_16;Distance_X_LOGO_17;Distance_X_LOGO_18;Distance_X_LOGO_19;Distance_X_LOGO_20;Distance_X_LOGO_21;Distance_X_LOGO_22;Distance_X_LOGO_23;Distance_X_LOGO_24;Distance_X_LOGO_25;Distance_X_LOGO_26;Distance_X_LOGO_27;Distance_X_LOGO_28;Distance_X_LOGO_29;Distance_X_LOGO_30;Distance_X_LOGO_31;Distance_X_LOGO_32;Distance_Y_LOGO_Camera_RU1;Distance_Y_LOGO_Camera_RU2;Distance_Y_LOGO_3;Distance_Y_LOGO_4;Distance_Y_LOGO_5;Distance_Y_LOGO_6;Distance_Y_LOGO_7;Distance_Y_LOGO_8;Distance_Y_LOGO_9;Distance_Y_LOGO_10;Distance_Y_LOGO_11;Distance_Y_LOGO_12;Distance_Y_LOGO_13;Distance_Y_LOGO_14;Distance_Y_LOGO_15;Distance_Y_LOGO_16;Distance_Y_LOGO_17;Distance_Y_LOGO_18;Distance_Y_LOGO_19;Distance_Y_LOGO_20;Distance_Y_LOGO_21;Distance_Y_LOGO_22;Distance_Y_LOGO_23;Distance_Y_LOGO_24;Distance_Y_LOGO_25;Distance_Y_LOGO_26;Distance_Y_LOGO_27;Distance_Y_LOGO_28;Distance_Y_LOGO_29;Distance_Y_LOGO_30;Distance_Y_LOGO_31;Distance_Y_LOGO_32;Angle_Camera_RU1;Angle_Camera_RU2;Angle_3;Angle_4;Angle_5;Angle_6;Angle_7;Angle_8;Angle_9;Angle_10;Angle_11;Angle_12;Angle_13;Angle_14;Angle_15;Angle_16;Angle_17;Angle_18;Angle_19;Angle_20;Angle_21;Angle_22;Angle_23;Angle_24;Angle_25;Angle_26;Angle_27;Angle_28;Angle_29;Angle_30;Angle_31;Angle_32;Date_time
FLQS20U5GRX2____;-0.036;-0.031;-0.027;-0.031;-0.029;-0.001;-0.03;-0.029;-0.076;0.028;-0.038;-0.028;-0.029;-0.028;-0.027;-0.027;-0.03;0.004;-0.028;-0.029;0.072;-0.029;0.072;-0.037;-0.028;-0.03;-0.034;-0.029;-0.028;-0.029;-0.029;-0.028;-0.024;-0.06;-0.057;-0.059;-0.058;-0.064;-0.058;-0.057;-0.017;-0.063;-0.055;-0.056;-0.059;-0.057;-0.058;-0.057;-0.058;-0.06;-0.057;-0.057;-0.06;-0.059;-0.176;-0.055;-0.057;-0.058;-0.055;-0.056;-0.057;-0.058;-0.059;-0.057;-0.098;-0.094;-0.095;-0.094;-0.096;-0.104;-0.095;-0.095;-0.085;-0.113;-0.093;-0.096;-0.095;-0.095;-0.096;-0.097;-0.095;-0.106;-0.096;-0.095;-0.105;-0.095;0.358;-0.093;-0.096;-0.095;-0.094;-0.095;-0.096;-0.095;-0.095;-0.095;2016_7_9_13_33_41
FLQS21TBGRWM____;-0.132;-0.077;-0.081;-0.046;-0.033;-0.062;-0.083;-0.085;-0.049;-0.08;-0.074;-0.079;-0.031;-0.077;-0.082;-0.059;-0.041;-0.068;-0.066;-0.072;-0.071;-0.08;-0.078;-0.08;-0.082;-0.082;-0.08;-0.082;-0.07;-0.081;-0.079;-0.072;-0.008;-0.011;0.033;0.032;0.047;0.007;0.032;0.034;0.032;0.033;0.036;0.035;0.046;0.037;0.029;0.046;0.036;-0.022;0.049;0.047;0;0.032;0.036;0.035;0.032;0.031;0.035;0.033;0.048;0.034;0.032;0.045;0.157;0.139;0.133;0.121;0.115;0.131;0.135;0.134;0.122;0.134;0.131;0.133;0.115;0.132;0.134;0.125;0.12;0.138;0.127;0.129;0.135;0.134;0.132;0.133;0.134;0.134;0.133;0.133;0.128;0.134;0.133;0.129;2016_7_9_13_34_02
FLQS22W2GRWQ____;0.072;0.072;0.08;0.068;0.072;0.068;0.066;0.057;0.072;0.065;0.067;0.068;0.061;0.066;0.059;0.063;0.065;0.131;0.068;0.066;0.063;0.06;0.062;0.063;0.068;0.065;0.064;0.065;0.06;0.069;0.067;0.067;0.04;0.072;0.021;0.023;0.072;0.024;0.025;0.058;0.069;0.057;0.056;0.024;0.057;0.025;0.055;0.025;0.023;0.058;0.026;0.022;0.057;0.057;0.062;0.057;0.022;0.024;0.058;0.022;0.06;0.024;0.025;0.022;-0.195;0.072;-0.195;-0.191;0.072;-0.192;-0.191;-0.192;-0.804;-0.195;-0.196;-0.192;-0.194;-0.192;-0.193;-0.19;-0.19;-0.217;-0.192;-0.19;-0.194;-0.193;-0.195;-0.195;-0.192;-0.191;-0.194;-0.19;-0.194;-0.192;-0.191;-0.191;2016_7_9_13_34_30
FLQS23HTGRWQ____;-0.278;-0.208;-0.278;-0.278;-0.278;-0.278;-0.278;-0.278;-0.208;0.072;-0.208;-0.278;-0.278;-0.278;-0.348;-0.278;-0.278;-0.208;-0.208;-0.278;0.072;-0.278;-0.278;-0.278;-0.278;-0.278;-0.208;-0.278;-0.278;-0.278;0.072;-0.278;-0.128;-0.198;-0.128;-0.128;-0.198;-0.128;-0.198;-0.128;-0.198;0.072;-0.198;-0.128;-0.128;-0.198;-0.128;-0.128;-0.128;-0.198;-0.198;-0.128;0.072;-0.128;-0.198;-0.198;-0.128;-0.128;-0.198;-0.128;-0.198;-0.198;-0.063;-0.128;-0.05;-0.063;-0.05;-0.05;-0.039;-0.05;-0.04;-0.05;-0.063;0.072;-0.063;-0.05;-0.05;-0.04;-0.027;-0.05;-0.05;-0.063;-0.063;-0.05;0.072;-0.05;-0.039;-0.04;-0.05;-0.05;-0.064;-0.05;-0.039;-0.04;-0.54;-0.05;2016_7_9_13_34_58
FLQS235WGRX5____;0.217;0.223;0.228;0.184;0.218;0.22;0.216;0.184;0.233;0.201;0.197;0.187;0.218;0.215;0.219;0.225;0.228;0.191;0.186;0.221;0.154;0.216;0.212;0.152;0.222;0.22;0.154;0.187;0.219;0.219;0.217;0.219;0.057;0.016;0.02;0.059;0.055;0.015;0.054;0.059;0.055;0.058;0.055;0.058;0.054;0.056;0.055;0.021;0.02;0.056;0.055;0.057;0.074;0.054;0.056;0.073;0.056;0.054;0.073;0.063;0.057;0.055;0.051;0.057;-0.119;-0.114;-0.116;-0.107;-0.118;-0.113;-0.117;-0.107;-0.123;-0.113;-0.111;-0.108;-0.118;-0.117;-0.119;-0.115;-0.116;-0.109;-0.108;-0.119;-0.099;-0.117;-0.116;-0.099;-0.12;-0.118;-0.099;-0.109;-0.119;-0.118;-0.117;-0.118;2016_7_9_13_35_20
