SN	Distance_X_LOGO_Button_RU1	Distance_X_LOGO_Button_RU2	Distance_X_LOGO_Button_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_RU1	Distance_Y_LOGO_Button_RU2	Distance_Y_LOGO_Button_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_RU1	Angle_Button_RU2	Angle_Button_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS339XHFM1____	-37.062	-36.957	-36.996	-36.996	-36.958	-37.031	-37.031	-37.031	-36.998	-37.061	-36.994	-36.996	-36.996	-36.991	-37.032	-36.996	-37.002	-37.031	-36.996	-37.029	-36.998	-37.061	-37.027	-36.991	-36.991	-37.031	-36.993	-37.029	-36.959	-36.958	-36.963	-36.993	-139.313	-139.313	-139.276	-139.276	-139.241	-139.278	-139.202	-139.202	-139.243	-139.208	-139.207	-139.276	-139.275	-139.244	-139.311	-139.276	-139.278	-139.278	-139.276	-139.243	-139.243	-139.209	-139.277	-139.277	-139.206	-139.278	-139.310	-139.313	-139.243	-139.241	-139.243	-139.310	255.295	255.335	255.317	255.317	255.328	255.303	255.296	255.296	255.312	255.285	255.310	255.317	255.316	255.315	255.306	255.317	255.314	255.303	255.317	255.301	255.312	255.285	255.305	255.318	255.311	255.303	255.321	255.308	255.327	255.328	255.326	255.321	2016_7_15_15_47_55
F2LS3HFRHFM5____	-37.109	-36.958	-37.039	-37.039	-36.960	-37.025	-37.025	-37.025	-36.990	-37.116	-36.995	-37.039	-37.097	-36.987	-37.036	-37.039	-37.000	-37.033	-37.039	-37.077	-36.995	-37.105	-37.030	-37.039	-37.037	-37.025	-36.992	-37.032	-36.950	-36.960	-36.952	-36.992	-139.270	-139.271	-139.235	-139.235	-139.206	-139.230	-139.199	-139.199	-139.200	-139.168	-139.171	-139.235	-139.187	-139.201	-139.269	-139.235	-139.235	-139.236	-139.235	-139.200	-139.206	-139.163	-139.311	-139.236	-139.166	-139.230	-139.269	-139.273	-139.199	-139.206	-139.199	-139.269	254.846	254.904	254.869	254.869	254.896	254.874	254.871	254.871	254.884	254.833	254.879	254.869	254.842	254.886	254.874	254.869	254.884	254.871	254.869	254.851	254.883	254.836	254.880	254.869	254.863	254.874	254.890	254.876	254.900	254.896	254.899	254.890	2016_7_15_15_48_00
F2LS3JESHFM5____	-37.150	-37.106	-37.141	-37.141	-37.073	-37.106	-37.106	-37.106	-37.001	-37.211	-37.141	-37.141	-37.141	-37.071	-37.115	-37.141	-37.125	-37.106	-37.141	-37.109	-37.116	-37.281	-37.176	-37.071	-37.211	-37.106	-37.113	-37.176	-37.071	-37.073	-37.036	-37.113	-139.139	-139.195	-139.090	-139.090	-139.065	-139.104	-139.125	-139.125	-139.125	-139.090	-139.090	-139.090	-139.160	-139.125	-139.137	-139.090	-139.100	-139.160	-139.090	-139.070	-139.064	-139.090	-139.160	-139.090	-139.090	-139.104	-139.136	-139.195	-139.061	-139.065	-139.125	-139.136	255.385	255.408	255.383	255.383	255.407	255.398	255.400	255.400	255.441	255.357	255.383	255.383	255.391	255.414	255.398	255.383	255.391	255.404	255.383	255.394	255.390	255.330	255.377	255.410	255.357	255.398	255.399	255.381	255.407	255.407	255.427	255.399	2016_7_15_15_48_04
F2LS3HFBHFM5____	-37.316	-37.244	-37.287	-37.287	-37.243	-37.319	-37.326	-37.326	-37.275	-37.349	-37.291	-37.287	-37.277	-37.277	-37.326	-37.287	-37.324	-37.326	-37.287	-37.280	-37.286	-37.347	-37.316	-37.283	-37.291	-37.319	-37.281	-37.358	-37.242	-37.243	-37.256	-37.281	-139.212	-139.253	-139.173	-139.173	-139.140	-139.174	-139.193	-139.193	-139.184	-139.154	-139.158	-139.173	-139.217	-139.186	-139.209	-139.173	-139.216	-139.228	-139.173	-139.141	-139.138	-139.151	-139.220	-139.176	-139.158	-139.174	-139.208	-139.254	-139.183	-139.140	-139.193	-139.208	255.311	255.343	255.318	255.318	255.332	255.306	255.305	255.305	255.324	255.292	255.315	255.318	255.327	255.323	255.307	255.318	255.308	255.309	255.318	255.317	255.315	255.293	255.312	255.320	255.315	255.306	255.324	255.299	255.336	255.332	255.332	255.324	2016_7_15_15_48_07
F2LS3A7AHFM2____	-37.254	-37.128	-37.203	-37.203	-37.119	-37.197	-37.229	-37.229	-37.194	-37.257	-37.188	-37.203	-37.162	-37.162	-37.238	-37.203	-37.205	-37.228	-37.203	-37.196	-37.160	-37.256	-37.227	-37.161	-37.162	-37.197	-37.200	-37.225	-37.156	-37.119	-37.124	-37.200	-139.240	-139.240	-139.161	-139.161	-139.130	-139.163	-139.169	-139.169	-139.170	-139.137	-139.133	-139.161	-139.165	-139.132	-139.199	-139.161	-139.164	-139.204	-139.161	-139.129	-139.129	-139.133	-139.206	-139.164	-139.098	-139.163	-139.198	-139.239	-139.170	-139.130	-139.171	-139.198	255.340	255.388	255.351	255.351	255.380	255.354	255.342	255.342	255.356	255.328	255.354	255.351	255.367	255.364	255.342	255.351	255.351	255.346	255.351	255.351	255.365	255.328	255.347	255.368	255.361	255.354	255.356	255.351	255.370	255.380	255.383	255.356	2016_7_15_15_48_10
F2LS3A8AGRXL____	-37.409	-37.300	-37.374	-37.374	-37.387	-37.368	-37.387	-37.387	-37.352	-37.422	-37.324	-37.374	-37.352	-37.352	-37.374	-37.374	-37.337	-37.368	-37.374	-37.325	-37.329	-37.399	-37.387	-37.333	-37.352	-37.368	-37.332	-37.370	-37.387	-37.387	-37.247	-37.332	-139.061	-139.059	-139.022	-139.022	-138.992	-139.026	-139.062	-139.062	-139.062	-139.027	-138.951	-139.022	-139.097	-139.062	-139.058	-139.022	-139.026	-139.023	-139.022	-138.993	-138.989	-138.957	-139.097	-139.024	-139.027	-139.026	-139.056	-139.062	-139.062	-138.992	-139.062	-139.056	254.669	254.710	254.678	254.678	254.670	254.681	254.677	254.677	254.691	254.660	254.690	254.678	254.694	254.691	254.682	254.678	254.693	254.680	254.678	254.694	254.692	254.661	254.681	254.694	254.687	254.681	254.697	254.684	254.677	254.670	254.731	254.697	2016_7_15_15_48_14
F2LS39Q6GRXL____	-37.205	-37.035	-37.135	-37.135	-37.100	-37.170	-37.142	-37.142	-37.066	-37.179	-37.135	-37.135	-37.098	-37.107	-37.170	-37.135	-37.112	-37.145	-37.135	-37.105	-37.135	-37.205	-37.097	-37.027	-37.103	-37.170	-37.065	-37.145	-37.026	-37.100	-37.028	-37.065	-139.259	-139.195	-139.224	-139.224	-139.189	-139.224	-139.122	-139.122	-139.124	-139.087	-139.154	-139.224	-139.157	-139.125	-139.259	-139.224	-139.157	-139.157	-139.224	-139.125	-139.189	-139.154	-139.161	-139.158	-139.087	-139.224	-139.196	-139.193	-139.122	-139.189	-139.124	-139.196	255.322	255.381	255.346	255.346	255.355	255.332	255.332	255.332	255.362	255.314	255.338	255.346	255.353	255.346	255.336	255.346	255.347	255.335	255.346	255.347	255.342	255.312	255.353	255.380	255.344	255.332	255.369	255.339	255.377	255.355	255.376	255.369	2016_7_15_15_48_17
F2LS38VQGRXL____	-37.333	-37.235	-37.272	-37.272	-37.225	-37.270	-37.271	-37.271	-37.273	-37.335	-37.269	-37.272	-37.269	-37.236	-37.304	-37.272	-37.271	-37.304	-37.272	-37.302	-37.267	-37.299	-37.300	-37.269	-37.269	-37.270	-37.268	-37.304	-37.229	-37.225	-37.197	-37.268	-139.191	-139.191	-139.155	-139.155	-139.120	-139.155	-139.123	-139.123	-139.122	-139.086	-139.085	-139.155	-139.155	-139.123	-139.191	-139.155	-139.157	-139.157	-139.155	-139.122	-139.122	-139.087	-139.157	-139.155	-139.088	-139.155	-139.190	-139.190	-139.119	-139.120	-139.122	-139.190	254.698	254.735	254.717	254.717	254.732	254.718	254.715	254.715	254.714	254.686	254.711	254.717	254.719	254.728	254.709	254.717	254.718	254.705	254.717	254.703	254.716	254.700	254.707	254.719	254.712	254.718	254.723	254.709	254.730	254.732	254.743	254.723	2016_7_15_15_48_20
F2LS30UNGRX8____	-37.110	-37.003	-37.049	-37.049	-36.958	-37.089	-37.079	-37.079	-37.041	-37.112	-37.037	-37.049	-37.044	-37.039	-37.091	-37.049	-37.041	-37.081	-37.049	-37.077	-37.035	-37.112	-37.075	-37.046	-37.035	-37.089	-37.049	-37.079	-36.961	-36.958	-37.005	-37.049	-139.149	-139.147	-139.068	-139.068	-139.036	-139.070	-139.078	-139.078	-139.078	-139.045	-139.041	-139.068	-139.111	-139.080	-139.104	-139.068	-139.115	-139.112	-139.068	-139.079	-139.079	-139.043	-139.113	-139.070	-139.045	-139.070	-139.105	-139.148	-139.079	-139.036	-139.079	-139.105	255.041	255.082	255.056	255.056	255.088	255.041	255.045	255.045	255.060	255.030	255.058	255.056	255.062	255.061	255.044	255.056	255.064	255.048	255.056	255.047	255.062	255.029	255.051	255.057	255.059	255.041	255.060	255.053	255.091	255.088	255.074	255.060	2016_7_15_15_48_23
F2LS3957GRXL____	-37.210	-37.139	-37.137	-37.137	-37.099	-37.173	-37.176	-37.176	-37.139	-37.208	-37.164	-37.137	-37.138	-37.137	-37.215	-37.137	-37.180	-37.178	-37.137	-37.179	-37.143	-37.207	-37.211	-37.138	-37.137	-37.173	-37.135	-37.212	-37.103	-37.099	-37.100	-37.135	-139.250	-139.286	-139.214	-139.214	-139.175	-139.210	-139.179	-139.179	-139.179	-139.145	-139.182	-139.214	-139.214	-139.177	-139.248	-139.214	-139.251	-139.215	-139.214	-139.176	-139.177	-139.143	-139.215	-139.212	-139.142	-139.210	-139.249	-139.249	-139.175	-139.175	-139.179	-139.249	255.275	255.306	255.300	255.300	255.310	255.285	255.281	255.281	255.295	255.265	255.286	255.300	255.299	255.296	255.273	255.300	255.287	255.284	255.300	255.280	255.294	255.265	255.271	255.299	255.292	255.285	255.304	255.274	255.309	255.310	255.310	255.304	2016_7_15_15_48_26
