SN	Distance_X_LOGO_MainBoard_Sim1	Distance_X_LOGO_MainBoard_Sim2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_Sim1	Distance_Y_LOGO_MainBoard_Sim2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_Sim1	Angle_MainBoard_Sim2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3HQHHFM5____	0.223	0.190	0.195	0.193	0.163	0.193	0.192	0.192	0.195	0.196	0.163	0.166	0.196	0.195	0.195	0.197	0.191	0.166	0.193	0.197	0.196	0.223	0.196	0.161	0.162	0.224	0.196	0.163	0.195	0.195	0.193	0.223	-0.057	-0.057	-0.055	-0.059	-0.057	-0.060	-0.057	-0.057	-0.058	-0.056	-0.057	-0.059	-0.056	-0.055	-0.055	-0.055	-0.054	-0.058	-0.058	-0.022	-0.057	-0.057	-0.054	-0.055	-0.058	-0.055	-0.056	-0.059	-0.056	-0.056	-0.060	-0.057	-0.535	-0.552	-0.551	-0.550	-0.565	-0.550	-0.551	-0.551	-0.549	-0.549	-0.565	-0.563	-0.549	-0.550	-0.550	-0.549	-0.552	-0.563	-0.550	-0.565	-0.549	-0.535	-0.550	-0.566	-0.565	-0.536	-0.549	-0.564	-0.549	-0.550	-0.549	-0.535	0.191	-0.056	-0.552	2016_7_15_16_02_29
F2LS3EKPHFM2____	0.045	0.013	0.075	-0.020	-0.021	-0.023	0.012	-0.022	0.011	0.045	-0.021	0.012	0.044	0.045	-0.021	0.045	0.043	0.012	-0.021	0.044	-0.023	-0.021	0.013	-0.022	0.013	-0.023	0.075	0.012	0.013	-0.021	0.013	0.045	-0.193	-0.190	-0.192	-0.193	-0.191	-0.193	-0.190	-0.192	-0.192	-0.192	-0.191	-0.192	-0.159	-0.159	-0.191	-0.157	-0.193	-0.159	-0.193	-0.158	-0.191	-0.192	-0.192	-0.192	-0.159	-0.190	-0.192	-0.191	-0.194	-0.190	-0.194	-0.193	0.792	0.775	0.807	0.760	0.759	0.758	0.774	0.758	0.774	0.791	0.759	0.774	0.775	0.774	0.758	0.775	0.791	0.758	0.758	0.774	0.757	0.759	0.775	0.758	0.760	0.757	0.807	0.775	0.777	0.757	0.777	0.792	0.012	-0.186	0.772	2016_7_15_16_03_13
F2LS3KLTHFM5____	-0.126	-0.206	-0.127	-0.163	-0.133	-0.094	-0.131	-0.163	-0.125	-0.127	-0.133	-0.127	-0.165	-0.126	-0.133	-0.125	-0.060	-0.164	-0.133	-0.124	-0.125	-0.133	-0.134	-0.132	-0.161	-0.162	-0.127	-0.164	-0.125	-0.133	-0.161	-0.126	-0.073	-0.035	-0.038	-0.070	-0.159	-0.072	-0.072	-0.070	-0.076	-0.075	-0.159	-0.074	-0.037	-0.077	-0.037	-0.037	-0.036	-0.076	-0.074	-0.036	-0.039	-0.038	-0.073	-0.034	-0.074	-0.071	-0.077	-0.073	-0.038	-0.074	-0.072	-0.073	0.648	0.590	0.631	0.628	0.687	0.663	0.645	0.628	0.650	0.650	0.687	0.648	0.611	0.650	0.627	0.631	0.663	0.630	0.645	0.631	0.631	0.628	0.644	0.626	0.631	0.628	0.649	0.629	0.630	0.645	0.630	0.648	-0.137	-0.066	0.639	2016_7_15_16_03_16
F2LS3SMLHFM5____	-0.064	-0.027	-0.037	-0.096	-0.068	-0.097	-0.033	-0.066	-0.064	-0.064	-0.068	-0.063	-0.037	-0.068	-0.108	-0.066	-0.035	-0.065	-0.067	-0.073	-0.065	-0.065	-0.063	-0.066	-0.028	-0.036	-0.066	-0.036	-0.066	-0.033	-0.068	-0.064	-0.089	-0.074	-0.090	-0.131	-0.090	-0.127	-0.090	-0.129	-0.168	-0.090	-0.090	-0.090	-0.090	-0.163	-0.177	-0.093	-0.093	-0.090	-0.128	-0.146	-0.129	-0.128	-0.126	-0.089	-0.087	-0.091	-0.092	-0.129	-0.092	0.016	-0.129	-0.089	0.686	0.697	0.700	0.691	0.685	0.690	0.702	0.705	0.726	0.687	0.685	0.687	0.700	0.721	0.707	0.687	0.702	0.686	0.705	0.711	0.706	0.705	0.705	0.685	0.704	0.701	0.687	0.720	0.687	0.650	0.704	0.686	-0.060	-0.106	0.697	2016_7_15_16_03_20
F2LS38TUGRXL____	0.186	0.220	0.186	0.190	0.190	0.156	0.154	0.157	0.191	0.187	0.190	0.155	0.187	0.187	0.186	0.187	0.192	0.191	0.189	0.187	0.192	0.187	0.219	0.156	0.220	0.156	0.186	0.188	0.189	0.154	0.155	0.186	-0.120	-0.086	-0.121	-0.086	-0.085	-0.089	-0.121	-0.086	-0.087	-0.088	-0.085	-0.122	-0.087	-0.085	-0.089	-0.084	-0.079	-0.084	-0.084	-0.086	-0.121	-0.085	-0.089	-0.085	-0.085	-0.117	-0.087	-0.086	-0.119	-0.117	-0.089	-0.120	0.825	0.825	0.826	0.811	0.811	0.795	0.810	0.794	0.811	0.810	0.811	0.811	0.810	0.808	0.810	0.808	0.809	0.809	0.810	0.809	0.829	0.809	0.827	0.793	0.826	0.809	0.809	0.810	0.826	0.808	0.795	0.825	0.183	-0.095	0.812	2016_7_15_16_03_22
F2LS3TKDHFM5____	0.082	0.085	0.084	0.118	0.086	0.118	0.086	0.117	0.083	0.082	0.086	0.085	0.083	0.084	0.085	0.084	0.117	0.087	0.118	0.083	0.083	0.082	0.084	0.115	0.115	0.081	0.083	0.084	0.084	0.084	0.085	0.082	-0.388	-0.356	-0.357	-0.357	-0.357	-0.358	-0.357	-0.357	-0.356	-0.357	-0.357	-0.387	-0.358	-0.356	-0.358	-0.358	-0.356	-0.357	-0.357	-0.357	-0.358	-0.357	-0.359	-0.357	-0.357	-0.385	-0.357	-0.356	-0.356	-0.356	-0.358	-0.388	0.233	0.219	0.218	0.235	0.219	0.235	0.219	0.235	0.217	0.217	0.219	0.233	0.218	0.219	0.218	0.218	0.234	0.219	0.235	0.219	0.218	0.217	0.219	0.234	0.234	0.231	0.218	0.218	0.217	0.218	0.219	0.233	0.091	-0.361	0.224	2016_7_15_16_03_26
F2LS3MG9HFM5____	0.166	0.202	0.198	0.170	0.202	0.170	0.232	0.201	0.168	0.166	0.202	0.168	0.167	0.167	0.168	0.167	0.231	0.202	0.200	0.167	0.169	0.198	0.167	0.231	0.202	0.197	0.168	0.170	0.167	0.167	0.172	0.166	-0.080	-0.081	-0.080	-0.082	-0.082	-0.080	-0.085	-0.084	-0.080	-0.079	-0.082	-0.080	-0.081	-0.079	-0.082	-0.110	-0.083	-0.109	-0.081	-0.081	-0.080	-0.080	-0.081	-0.086	-0.082	-0.080	-0.081	-0.080	-0.080	-0.113	-0.081	-0.080	0.121	0.140	0.138	0.125	0.140	0.124	0.156	0.141	0.122	0.122	0.140	0.123	0.122	0.121	0.124	0.137	0.156	0.153	0.138	0.123	0.123	0.137	0.123	0.157	0.141	0.137	0.123	0.123	0.122	0.139	0.125	0.121	0.184	-0.084	0.132	2016_7_15_16_03_29
F2LS3BDVGRXL____	-0.120	-0.087	-0.087	-0.119	-0.086	-0.120	-0.120	-0.086	-0.120	-0.119	-0.086	-0.090	-0.117	-0.116	-0.119	-0.118	-0.120	-0.087	-0.087	-0.120	-0.089	-0.121	-0.086	-0.119	-0.151	-0.119	-0.118	-0.119	-0.089	-0.119	-0.119	-0.120	-0.094	-0.093	-0.094	-0.095	-0.092	-0.092	-0.092	-0.093	-0.094	-0.095	-0.092	-0.094	-0.096	-0.096	-0.095	-0.097	-0.123	-0.126	-0.091	-0.126	-0.092	-0.092	-0.095	-0.124	-0.094	-0.125	-0.126	-0.095	-0.124	-0.091	-0.093	-0.094	-0.013	0.003	0.003	-0.012	0.003	-0.014	-0.014	0.003	-0.013	-0.012	0.003	0.002	-0.010	-0.010	-0.012	-0.010	0.001	0.019	0.002	0.003	0.001	-0.014	0.004	0.002	-0.028	0.003	0.004	-0.012	0.017	-0.014	-0.013	-0.013	-0.109	-0.101	-0.004	2016_7_15_16_03_31
F2LS35BZHFM1____	0.066	0.066	0.065	0.065	0.066	0.066	0.065	0.065	0.067	0.066	0.066	0.065	0.064	0.065	0.036	0.064	0.064	0.068	0.032	0.063	0.066	0.065	0.066	0.065	0.065	0.036	0.066	0.066	0.065	0.065	0.066	0.066	-0.088	-0.051	-0.051	-0.049	-0.051	-0.051	-0.051	-0.050	-0.049	-0.051	-0.051	-0.019	-0.085	-0.017	-0.048	-0.016	-0.050	-0.053	-0.048	-0.016	-0.019	-0.050	-0.047	-0.020	-0.016	-0.018	-0.050	-0.053	-0.051	-0.051	-0.051	-0.088	0.076	0.058	0.057	0.057	0.058	0.058	0.057	0.057	0.058	0.057	0.058	0.041	0.074	0.040	0.042	0.040	0.057	0.060	0.039	0.039	0.043	0.057	0.055	0.041	0.040	0.027	0.058	0.059	0.058	0.057	0.059	0.076	0.063	-0.046	0.054	2016_7_15_16_03_34
F2LS3HZVHFM5____	0.190	0.195	0.190	0.191	0.158	0.191	0.223	0.190	0.158	0.160	0.158	0.193	0.189	0.191	0.191	0.190	0.157	0.159	0.189	0.191	0.161	0.161	0.160	0.188	0.158	0.159	0.191	0.190	0.190	0.190	0.158	0.190	-0.079	-0.085	-0.081	-0.048	-0.085	-0.047	-0.081	-0.084	-0.084	-0.078	-0.085	-0.080	-0.047	-0.115	-0.087	-0.081	-0.083	-0.081	-0.082	-0.082	-0.082	-0.047	-0.081	-0.083	-0.082	-0.080	-0.082	-0.119	-0.081	-0.082	-0.047	-0.079	0.133	0.139	0.134	0.118	0.120	0.117	0.150	0.135	0.119	0.118	0.120	0.135	0.117	0.151	0.137	0.134	0.119	0.119	0.134	0.135	0.120	0.103	0.119	0.134	0.119	0.118	0.135	0.153	0.134	0.135	0.101	0.133	0.180	-0.079	0.128	2016_7_15_16_03_37
