SN	Distance_X_LOGO_Battery_Up1	Distance_X_LOGO_Battery_Up2	Distance_X_LOGO_Battery_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Up1	Distance_Y_LOGO_Battery_Up2	Distance_Y_LOGO_Battery_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Up1	Angle_Battery_Up2	Angle_Battery_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS3HQHHFM5____	0.146	0.213	0.146	0.031	0.103	0.103	0.208	-0.039	-0.030	0.081	0.103	-0.023	0.135	0.103	0.103	0.090	0.103	0.135	0.234	0.014	0.103	0.095	0.103	0.210	0.201	0.103	0.151	0.103	0.090	0.011	0.095	-0.032	-0.084	-0.200	-0.217	-0.320	-0.217	-0.290	-0.140	-0.144	-0.201	-0.204	-0.210	-0.201	-0.196	-0.284	-0.268	-0.199	-0.241	-0.144	-0.206	-0.185	-0.203	-0.296	-0.210	-0.144	-0.286	-0.203	-0.143	-0.203	-0.087	-0.298	-0.088	-0.217	-0.042	-0.076	-0.030	0.014	-0.101	-0.019	-0.079	0.030	0.032	-0.017	0.075	0.028	-0.042	0.053	0.060	0.088	-0.150	-0.033	-0.084	0.010	-0.030	0.072	-0.103	-0.080	-0.063	-0.107	-0.053	-0.107	-0.031	0.022	-0.033	0.034	0.100	-0.204	-0.024	2016_7_15_11_23_44
F2LS3EKPHFM2____	-0.116	-0.114	-0.103	-0.158	-0.168	-0.103	-0.103	-0.178	-0.114	-0.003	-0.032	-0.122	-0.032	-0.021	-0.118	-0.239	0.036	-0.219	0.012	-0.147	-0.103	0.021	-0.103	-0.103	-0.114	-0.103	-0.118	-0.103	-0.160	-0.103	-0.114	-0.021	-0.221	-0.240	-0.250	-0.380	-0.154	-0.272	-0.250	-0.203	-0.213	-0.275	-0.190	-0.243	-0.217	-0.368	-0.240	-0.270	-0.285	-0.273	-0.250	-0.235	-0.308	-0.214	-0.207	-0.386	-0.250	-0.308	-0.274	-0.308	-0.212	-0.341	-0.219	-0.182	0.032	-0.053	0.014	0.065	0.049	0.102	-0.115	0.058	0.030	-0.013	0.014	0.036	-0.005	0.003	0.083	0.091	-0.028	0.082	-0.038	0.046	0.014	-0.029	0.014	0.014	0.130	-0.060	0.038	-0.060	0.050	-0.074	0.102	-0.013	-0.099	-0.257	0.018	2016_7_15_11_23_48
F2LS3KLTHFM5____	0.023	0.195	0.090	0.062	0.139	0.062	0.139	0.129	0.144	0.202	0.090	0.090	0.090	0.090	0.140	0.018	0.129	0.090	0.129	0.199	0.036	0.090	0.090	0.090	0.028	0.090	0.015	0.090	0.090	0.129	0.030	0.090	0.262	0.141	0.206	0.271	0.131	0.204	0.138	0.148	0.152	0.203	0.149	0.307	0.199	0.263	0.268	0.199	0.141	0.196	0.133	0.140	0.198	0.204	0.145	0.150	0.152	0.169	0.203	0.169	0.280	0.210	0.153	0.156	-0.058	-0.123	-0.083	0.027	-0.102	-0.070	-0.099	-0.094	-0.102	-0.131	-0.083	-0.214	-0.021	-0.158	-0.110	-0.050	-0.094	-0.162	-0.083	-0.124	-0.058	-0.006	0.037	-0.171	-0.051	-0.094	-0.049	-0.094	0.015	-0.094	-0.052	0.027	0.098	0.189	-0.079	2016_7_15_11_23_53
F2LS3SMLHFM5____	-0.325	-0.415	-0.264	-0.215	-0.343	-0.343	-0.325	-0.285	-0.458	-0.289	-0.351	-0.343	-0.343	-0.418	-0.202	-0.325	-0.229	-0.325	-0.325	-0.453	-0.264	-0.445	-0.325	-0.285	-0.325	-0.227	-0.220	-0.227	-0.325	-0.289	-0.325	-0.370	0.487	0.460	0.542	0.486	0.459	0.463	0.394	0.536	0.536	0.544	0.395	0.519	0.529	0.479	0.541	0.458	0.578	0.462	0.397	0.539	0.462	0.479	0.387	0.491	0.483	0.488	0.481	0.488	0.485	0.459	0.539	0.481	0.132	0.264	0.191	0.176	0.233	0.346	0.293	0.206	0.277	0.202	0.242	0.218	0.352	0.265	0.164	0.325	0.173	0.289	0.143	0.275	0.202	0.292	0.342	0.206	0.233	0.180	0.178	0.180	0.218	0.206	0.218	0.244	-0.319	0.485	0.233	2016_7_15_11_23_58
F2LS38TUGRXL____	0.329	0.409	0.329	0.329	0.177	0.421	0.307	0.298	0.176	0.384	0.166	0.149	0.163	0.307	0.292	0.292	0.298	0.292	0.329	0.329	0.329	0.307	0.307	0.165	0.329	0.153	0.292	0.153	0.329	0.292	0.307	0.272	0.080	0.218	0.032	0.138	0.153	0.266	0.120	0.157	0.100	0.121	0.084	0.067	0.147	0.138	0.121	0.121	0.138	0.121	0.142	0.084	0.266	0.120	0.245	0.160	0.142	0.090	0.138	0.090	0.146	0.147	0.219	0.218	-0.282	-0.316	-0.282	-0.282	-0.208	-0.326	-0.268	-0.354	-0.203	-0.282	-0.197	-0.188	-0.201	-0.287	-0.242	-0.368	-0.246	-0.320	-0.412	-0.268	-0.268	-0.268	-0.368	-0.204	-0.282	-0.191	-0.160	-0.191	-0.268	-0.326	-0.400	-0.255	0.282	0.142	-0.272	2016_7_15_11_24_01
F2LS3TKDHFM5____	0.163	0.380	0.271	0.322	0.186	0.201	0.271	0.271	0.145	0.271	0.332	0.157	0.271	0.180	0.271	0.336	0.394	0.271	0.245	0.271	0.317	0.317	0.345	0.271	0.390	0.388	0.167	0.388	0.271	0.203	0.394	0.353	-0.258	-0.149	-0.255	-0.200	-0.264	-0.267	-0.263	-0.202	-0.198	-0.197	-0.214	-0.203	-0.209	-0.252	-0.196	-0.268	-0.212	-0.267	-0.240	-0.182	-0.235	-0.333	-0.208	-0.153	-0.260	-0.143	-0.268	-0.143	-0.204	-0.214	-0.267	-0.206	-0.181	-0.287	-0.229	-0.257	-0.191	-0.197	-0.251	-0.251	-0.179	-0.386	-0.278	-0.184	-0.229	-0.189	-0.157	-0.257	-0.286	-0.150	-0.219	-0.251	-0.251	-0.389	-0.265	-0.342	-0.281	-0.291	-0.182	-0.291	-0.367	-0.202	-0.282	-0.270	0.282	-0.223	-0.251	2016_7_15_11_24_06
F2LS3MG9HFM5____	0.018	-0.103	-0.112	-0.129	-0.114	-0.155	-0.173	-0.148	-0.114	-0.148	-0.168	-0.112	-0.129	-0.029	-0.085	-0.129	-0.096	-0.114	-0.148	-0.129	-0.103	-0.041	-0.148	0.008	-0.155	-0.051	0.024	-0.168	-0.054	-0.102	-0.173	-0.011	0.085	0.069	0.072	0.015	0.188	0.129	0.078	0.075	0.020	0.127	0.078	0.192	0.073	0.107	0.061	0.132	0.126	0.065	0.126	0.127	0.127	0.066	0.131	0.128	0.137	0.125	0.129	0.066	0.070	0.129	0.187	0.049	0.121	0.176	0.179	0.192	0.170	0.192	0.204	0.321	0.252	0.190	0.196	0.235	0.286	0.140	0.168	0.273	0.167	0.095	0.190	0.248	0.238	0.148	0.315	0.122	0.325	0.147	0.114	0.204	0.154	0.170	0.196	0.137	-0.103	0.103	0.196	2016_7_15_11_24_12
F2LS3BDVGRXL____	-0.027	-0.062	-0.137	-0.172	-0.209	-0.172	-0.199	-0.172	-0.172	-0.172	-0.137	-0.137	-0.018	-0.172	-0.255	-0.172	-0.037	-0.137	-0.172	-0.172	-0.079	-0.263	-0.172	-0.172	-0.172	-0.172	-0.200	-0.172	-0.028	-0.137	-0.208	-0.172	0.011	0.115	0.126	0.071	0.068	0.076	0.132	0.070	0.066	0.072	0.068	0.122	0.006	0.076	0.080	0.065	0.065	0.066	-0.047	0.037	0.073	0.124	0.069	0.010	0.129	0.057	-0.047	0.057	0.068	0.004	0.067	0.015	-0.022	-0.016	-0.090	0.104	0.054	0.043	0.043	0.040	0.134	0.040	0.022	0.022	-0.025	0.040	0.073	-0.079	-0.022	0.022	0.040	0.040	-0.004	0.072	0.117	0.106	0.099	-0.079	0.060	-0.079	-0.027	0.022	0.053	0.105	-0.151	0.062	0.028	2016_7_15_11_24_16
F2LS35BZHFM1____	0.433	0.541	0.412	0.418	0.515	0.433	0.462	0.418	0.433	0.433	0.349	0.359	0.523	0.418	0.499	0.418	0.412	0.412	0.418	0.418	0.359	0.418	0.343	0.367	0.412	0.348	0.433	0.433	0.418	0.412	0.418	0.383	0.684	0.676	0.752	0.744	0.721	0.677	0.752	0.808	0.806	0.865	0.683	0.743	0.721	0.736	0.747	0.848	0.736	0.845	0.646	0.721	0.688	0.716	0.740	0.803	0.747	0.860	0.800	0.787	0.807	0.744	0.688	0.716	0.150	-0.015	0.159	0.026	0.015	0.026	-0.007	0.026	0.026	-0.082	0.068	0.060	0.018	0.128	0.010	0.143	-0.100	0.159	-0.027	-0.065	0.101	-0.032	0.068	0.050	0.110	0.054	0.020	-0.075	0.026	0.058	0.102	0.051	0.421	0.750	0.039	2016_7_15_11_24_19
F2LS3HZVHFM5____	0.992	0.992	0.992	0.992	1.152	1.017	1.032	1.017	1.154	1.017	1.017	0.992	1.041	1.017	0.992	1.032	1.017	0.992	0.992	0.992	0.992	1.088	0.992	0.992	1.151	0.992	0.992	0.992	1.155	0.992	1.017	0.992	0.743	0.702	0.623	0.566	0.540	0.703	0.767	0.627	0.620	0.620	0.533	0.547	0.546	0.759	0.757	0.760	0.653	0.763	0.600	0.555	0.527	0.533	0.607	0.623	0.618	0.625	0.620	0.625	0.621	0.608	0.688	0.550	-0.316	-0.444	-0.205	-0.191	-0.380	-0.407	-0.348	-0.265	-0.390	-0.233	-0.320	-0.214	-0.333	-0.262	-0.242	-0.414	-0.316	-0.316	-0.229	-0.316	-0.316	-0.352	-0.316	-0.316	-0.389	-0.316	-0.231	-0.316	-0.390	-0.316	-0.260	-0.316	1.025	0.632	-0.312	2016_7_15_11_24_23
