SN	Distance_X_LOGO_Nfc_Up1	Distance_X_LOGO_Nfc_Up2	Distance_X_LOGO_Nfc_Up3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Nfc_Up1	Distance_Y_LOGO_Nfc_Up2	Distance_Y_LOGO_Nfc_Up3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Nfc_Up1	Angle_Nfc_Up2	Angle_Nfc_Up3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS339XHFM1____	-67.931	-67.828	-67.755	-67.900	-67.937	-67.934	-67.865	-67.860	-67.793	-67.897	-67.931	-67.828	-67.717	-67.930	-67.858	-67.932	-67.830	-67.861	-67.824	-67.831	-67.827	-67.901	-67.865	-67.754	-67.832	-67.746	-67.722	-67.718	-67.689	-67.654	-67.758	-67.723	143.817	143.817	143.811	143.877	143.878	143.848	143.842	143.914	143.814	143.848	143.816	143.751	143.885	143.854	143.845	143.816	143.851	143.818	143.881	143.877	143.955	143.840	143.917	144.038	144.170	144.056	144.131	144.079	144.093	144.068	144.015	144.190	115.194	115.160	115.137	115.174	115.186	115.190	115.168	115.155	115.149	115.178	115.193	115.170	115.113	115.187	115.165	115.194	115.155	115.170	115.149	115.152	115.138	115.180	115.157	115.102	115.107	115.096	115.077	115.084	115.072	115.065	115.107	115.068	2016_7_15_15_16_23
F2LS3HFRHFM5____	-68.140	-68.039	-68.005	-68.076	-68.112	-68.145	-68.109	-68.073	-68.003	-68.108	-68.144	-68.038	-67.931	-68.144	-68.074	-68.144	-68.039	-68.071	-68.035	-68.074	-68.039	-68.079	-68.077	-67.967	-68.044	-67.959	-67.975	-67.930	-67.903	-67.866	-67.970	-67.939	143.856	143.860	143.865	143.927	143.924	143.889	143.916	143.953	143.858	143.892	143.881	143.797	143.943	143.916	143.916	143.881	143.916	143.861	143.923	143.951	143.995	143.891	143.959	144.042	144.179	144.106	144.137	144.087	144.109	144.088	144.047	144.221	115.411	115.377	115.365	115.379	115.391	115.407	115.391	115.374	115.366	115.394	115.408	115.386	115.329	115.403	115.380	115.408	115.369	115.387	115.366	115.375	115.356	115.385	115.374	115.326	115.330	115.313	115.314	115.307	115.294	115.286	115.326	115.289	2016_7_15_15_16_27
F2LS3JESHFM5____	-67.431	-67.327	-67.256	-67.362	-67.399	-67.395	-67.329	-67.325	-67.291	-67.395	-67.394	-67.328	-67.217	-67.393	-67.324	-67.393	-67.327	-67.322	-67.291	-67.294	-67.326	-67.364	-67.325	-67.254	-67.328	-67.250	-67.221	-67.218	-67.186	-67.114	-67.255	-67.220	144.013	144.010	144.017	144.080	144.081	144.048	144.035	144.129	144.007	144.048	144.015	143.946	144.094	144.054	144.056	144.020	144.048	144.015	144.120	144.078	144.152	144.045	144.120	144.236	144.348	144.270	144.317	144.283	144.286	144.261	144.226	144.371	115.072	115.038	115.014	115.039	115.051	115.055	115.035	115.019	115.027	115.055	115.059	115.049	114.990	115.053	115.030	115.058	115.033	115.036	115.010	115.017	115.016	115.045	115.021	114.980	114.987	114.974	114.957	114.961	114.950	114.931	114.982	114.948	2016_7_15_15_16_33
F2LS3HFBHFM5____	-67.555	-67.449	-67.376	-67.453	-67.526	-67.523	-67.451	-67.450	-67.381	-67.487	-67.519	-67.418	-67.342	-67.553	-67.447	-67.520	-67.453	-67.450	-67.447	-67.415	-67.450	-67.489	-67.454	-67.381	-67.457	-67.374	-67.350	-67.345	-67.316	-67.280	-67.382	-67.353	143.959	143.996	143.991	144.064	144.031	144.025	144.025	144.098	144.000	144.031	143.995	143.930	144.068	143.999	144.029	143.995	143.995	143.998	144.061	144.061	144.130	143.992	144.097	144.202	144.284	144.231	144.291	144.241	144.216	144.229	144.194	144.322	115.296	115.256	115.233	115.247	115.276	115.276	115.252	115.241	115.233	115.263	115.279	115.256	115.210	115.290	115.250	115.280	115.257	115.256	115.245	115.235	115.236	115.270	115.242	115.202	115.215	115.196	115.179	115.185	115.179	115.165	115.204	115.175	2016_7_15_15_16_36
F2LS3A7AHFM2____	-67.651	-67.522	-67.415	-67.581	-67.616	-67.629	-67.546	-67.522	-67.487	-67.616	-67.625	-67.520	-67.381	-67.651	-67.520	-67.626	-67.546	-67.522	-67.484	-67.456	-67.523	-67.558	-67.558	-67.453	-67.546	-67.416	-67.386	-67.441	-67.406	-67.371	-67.453	-67.441	143.955	144.003	144.002	144.025	144.025	144.034	143.990	144.106	144.003	143.990	143.998	143.935	144.077	143.990	144.039	143.999	143.990	144.011	144.069	144.068	144.134	144.037	144.104	144.201	144.270	144.243	144.286	144.200	144.200	144.165	144.196	144.305	115.167	115.118	115.083	115.134	115.145	115.148	115.128	115.102	115.106	115.150	115.152	115.128	115.061	115.162	115.112	115.153	115.128	115.117	115.095	115.087	115.098	115.125	115.114	115.065	115.085	115.047	115.030	115.061	115.050	115.044	115.066	115.045	2016_7_15_15_16_39
F2LS3A8AGRXL____	-67.160	-67.053	-66.983	-67.088	-67.126	-67.161	-67.054	-67.123	-67.016	-67.122	-67.159	-67.057	-66.948	-67.158	-67.091	-67.157	-67.053	-67.087	-67.059	-67.023	-67.054	-67.090	-67.086	-66.986	-67.056	-66.983	-66.949	-66.949	-66.915	-66.878	-66.985	-66.948	144.001	143.999	144.018	144.067	144.071	144.033	144.029	144.113	144.000	144.038	144.001	143.935	144.088	144.043	144.047	144.005	144.040	144.004	144.080	144.083	144.153	144.033	144.106	144.220	144.326	144.256	144.299	144.261	144.261	144.227	144.225	144.358	115.090	115.055	115.029	115.056	115.068	115.085	115.051	115.061	115.043	115.072	115.090	115.066	115.007	115.083	115.060	115.088	115.049	115.065	115.045	115.032	115.032	115.062	115.050	115.000	115.007	114.993	114.976	114.981	114.970	114.963	114.999	114.966	2016_7_15_15_16_43
F2LS39Q6GRXL____	-67.392	-67.289	-67.217	-67.324	-67.431	-67.391	-67.326	-67.320	-67.252	-67.357	-67.392	-67.289	-67.181	-67.391	-67.319	-67.389	-67.289	-67.319	-67.285	-67.256	-67.288	-67.360	-67.324	-67.216	-67.290	-67.210	-67.182	-67.179	-67.147	-67.110	-67.217	-67.183	143.948	143.950	143.955	144.015	144.040	143.981	143.971	144.055	143.946	143.985	143.946	143.884	144.029	143.985	143.983	143.949	143.988	143.951	144.020	144.017	144.090	143.976	144.053	144.160	144.264	144.205	144.235	144.200	144.202	144.170	144.162	144.313	114.885	114.851	114.827	114.853	114.884	114.880	114.860	114.846	114.840	114.868	114.886	114.862	114.804	114.880	114.856	114.884	114.846	114.861	114.839	114.831	114.830	114.871	114.847	114.796	114.804	114.787	114.773	114.777	114.767	114.759	114.796	114.761	2016_7_15_15_16_46
F2LS38VQGRXL____	-67.435	-67.332	-67.255	-67.368	-67.403	-67.439	-67.333	-67.364	-67.298	-67.401	-67.436	-67.330	-67.221	-67.436	-67.363	-67.437	-67.331	-67.366	-67.325	-67.299	-67.330	-67.369	-67.368	-67.260	-67.335	-67.251	-67.229	-67.225	-67.195	-67.159	-67.260	-67.228	143.996	144.000	144.000	144.071	144.072	144.033	144.032	144.095	143.997	144.032	143.995	143.932	144.073	144.032	144.026	143.998	144.034	144.002	144.065	144.062	144.129	144.036	144.104	144.184	144.327	144.229	144.278	144.223	144.248	144.225	144.185	144.358	115.283	115.249	115.224	115.249	115.261	115.278	115.244	115.244	115.238	115.266	115.283	115.258	115.201	115.278	115.255	115.283	115.243	115.259	115.236	115.228	115.228	115.255	115.244	115.197	115.200	115.187	115.173	115.180	115.166	115.158	115.197	115.160	2016_7_15_15_16_50
F2LS30UNGRX8____	-67.774	-67.671	-67.605	-67.707	-67.739	-67.777	-67.672	-67.707	-67.635	-67.741	-67.773	-67.672	-67.567	-67.774	-67.707	-67.774	-67.672	-67.704	-67.672	-67.636	-67.670	-67.708	-67.703	-67.604	-67.674	-67.600	-67.564	-67.568	-67.532	-67.496	-67.601	-67.566	143.941	143.904	143.951	143.973	144.013	143.930	143.931	144.054	143.901	143.937	143.938	143.831	144.018	143.976	143.985	143.936	143.936	143.937	144.016	144.018	144.087	143.931	144.043	144.150	144.245	144.196	144.246	144.219	144.211	144.172	144.142	144.257	115.107	115.079	115.050	115.080	115.084	115.109	115.075	115.068	115.067	115.096	115.107	115.090	115.027	115.101	115.078	115.107	115.074	115.084	115.062	115.050	115.050	115.087	115.068	115.019	115.027	115.011	114.992	114.997	114.987	114.981	115.020	114.991	2016_7_15_15_16_54
F2LS3957GRXL____	-67.917	-67.812	-67.735	-67.846	-67.880	-67.918	-67.812	-67.806	-67.775	-67.882	-67.880	-67.776	-67.665	-67.916	-67.841	-67.881	-67.811	-67.844	-67.805	-67.775	-67.776	-67.848	-67.846	-67.740	-67.814	-67.695	-67.705	-67.702	-67.674	-67.638	-67.740	-67.709	143.895	143.900	143.894	143.970	143.999	143.926	143.934	144.026	143.928	143.934	143.932	143.866	144.000	143.931	143.920	143.932	143.935	143.931	143.960	143.958	144.062	143.931	144.003	144.062	144.196	144.159	144.198	144.149	144.122	144.099	144.071	144.241	115.387	115.352	115.328	115.352	115.359	115.382	115.347	115.331	115.336	115.370	115.369	115.346	115.289	115.381	115.358	115.370	115.346	115.358	115.341	115.331	115.315	115.359	115.347	115.303	115.307	115.274	115.271	115.278	115.273	115.265	115.302	115.266	2016_7_15_15_16_57
