SN	Distance_X_LOGO_Camera_LD1	Distance_X_LOGO_Camera_LD2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_LD1	Distance_Y_LOGO_Camera_LD2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_LD1	Angle_Camera_LD2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3MG9HFM5____	-55.917	-56.023	-55.884	-55.985	-56.024	-56.021	-55.906	-55.959	-55.916	-55.918	-55.877	-55.986	-55.916	-55.983	-55.916	-55.844	-55.916	-55.916	-55.881	-55.845	-55.872	-55.880	-55.877	-55.880	-55.950	-55.809	-55.766	-55.877	-55.799	-55.914	-55.877	-55.914	141.299	141.337	141.197	141.267	141.232	141.266	141.297	141.277	141.334	141.297	141.335	141.370	141.337	141.300	141.334	141.336	141.334	141.334	141.335	141.268	141.360	141.368	141.335	141.440	141.332	141.374	141.201	141.335	141.317	141.368	141.341	141.368	111.762	111.794	111.765	111.791	111.809	111.803	111.759	111.780	111.757	111.763	111.743	111.777	111.757	111.785	111.757	111.731	111.757	111.757	111.745	111.741	111.738	111.739	111.743	111.730	111.769	111.714	111.723	111.743	111.718	111.752	111.742	111.752	2016_7_15_11_26_48
F2LS3SMLHFM5____	-56.074	-56.319	-56.041	-56.142	-56.220	-56.186	-56.074	-56.112	-56.077	-56.116	-56.040	-56.143	-56.115	-56.142	-56.077	-56.003	-56.077	-56.077	-56.039	-56.005	-56.077	-56.041	-56.040	-56.038	-56.111	-55.970	-55.935	-56.040	-55.969	-56.078	-56.035	-56.078	141.276	141.257	141.126	141.255	141.169	141.242	141.241	141.168	141.317	141.239	141.273	141.308	141.279	141.242	141.317	141.272	141.317	141.317	141.314	141.198	141.303	141.305	141.273	141.348	141.315	141.314	141.218	141.273	141.287	141.264	141.280	141.264	111.838	111.927	111.848	111.865	111.904	111.883	111.843	111.867	111.834	111.858	111.827	111.858	111.852	111.867	111.834	111.814	111.834	111.834	111.821	111.825	111.836	111.823	111.827	111.816	111.846	111.797	111.798	111.827	111.800	111.841	111.824	111.841	2016_7_15_11_26_51
F2LS3TKDHFM5____	-56.061	-56.165	-56.027	-56.134	-56.179	-56.180	-56.073	-56.109	-56.071	-56.166	-56.032	-56.129	-56.067	-56.142	-56.071	-56.041	-56.071	-56.071	-56.029	-55.995	-56.074	-56.036	-56.032	-56.034	-56.096	-55.966	-55.925	-56.032	-55.968	-56.074	-56.031	-56.074	141.247	141.321	141.141	141.260	141.257	141.342	141.321	141.258	141.361	141.289	141.354	141.357	141.323	141.332	141.361	141.333	141.361	141.361	141.327	141.254	141.347	141.345	141.354	141.419	141.321	141.404	141.219	141.354	141.376	141.346	141.409	141.346	111.515	111.541	111.518	111.539	111.555	111.543	111.508	111.530	111.502	111.546	111.490	111.523	111.506	111.531	111.502	111.496	111.502	111.502	111.492	111.491	111.505	111.492	111.490	111.481	111.517	111.460	111.471	111.490	111.464	111.506	111.482	111.506	2016_7_15_11_26_55
F2LS30UNGRX8____	-55.992	-56.100	-55.964	-56.067	-56.098	-56.096	-55.998	-56.038	-56.035	-56.038	-55.997	-56.107	-55.993	-56.061	-56.035	-55.925	-56.035	-56.035	-55.959	-55.922	-56.000	-55.994	-55.997	-55.960	-56.068	-55.889	-55.853	-55.997	-55.885	-56.001	-55.998	-56.001	141.215	141.249	141.144	141.216	141.142	141.180	141.241	141.174	141.253	141.244	141.253	141.323	141.251	141.216	141.253	141.283	141.253	141.253	141.249	141.181	141.307	141.284	141.253	141.387	141.252	141.287	141.147	141.253	141.300	141.272	141.254	141.272	111.479	111.512	111.479	111.505	111.526	111.520	111.477	111.501	111.489	111.491	111.475	111.504	111.474	111.503	111.489	111.446	111.489	111.489	111.462	111.459	111.469	111.470	111.475	111.444	111.501	111.433	111.440	111.475	111.430	111.474	111.475	111.474	2016_7_15_11_26_59
F2LS35BZHFM1____	-55.834	-55.984	-55.807	-55.911	-55.947	-55.949	-55.844	-55.883	-55.840	-55.838	-55.800	-55.908	-55.886	-55.913	-55.840	-55.770	-55.840	-55.840	-55.850	-55.770	-55.846	-55.804	-55.800	-55.764	-55.870	-55.738	-55.694	-55.800	-55.737	-55.846	-55.803	-55.846	141.356	141.431	141.285	141.346	141.315	141.351	141.375	141.311	141.386	141.348	141.387	141.420	141.394	141.353	141.386	141.420	141.386	141.386	141.395	141.354	141.446	141.451	141.387	141.517	141.386	141.457	141.286	141.387	141.393	141.412	141.419	141.412	111.658	111.700	111.658	111.686	111.703	111.699	111.659	111.681	111.656	111.660	111.641	111.675	111.671	111.686	111.656	111.627	111.656	111.656	111.658	111.636	111.649	111.634	111.641	111.611	111.666	111.610	111.618	111.641	111.619	111.654	111.638	111.654	2016_7_15_11_27_03
F2LS3957GRXL____	-55.904	-56.008	-55.867	-55.973	-56.005	-55.983	-55.898	-55.942	-55.909	-55.912	-55.868	-55.975	-55.906	-55.935	-55.909	-55.833	-55.909	-55.909	-55.865	-55.830	-55.912	-55.870	-55.868	-55.868	-55.939	-55.794	-55.767	-55.868	-55.797	-55.899	-55.868	-55.899	141.305	141.309	141.170	141.240	141.199	141.265	141.278	141.200	141.339	141.300	141.335	141.377	141.342	141.273	141.339	141.314	141.339	141.339	141.278	141.242	141.342	141.342	141.335	141.377	141.275	141.315	141.246	141.335	141.280	141.303	141.308	141.303	111.541	111.577	111.547	111.574	111.591	111.574	111.543	111.569	111.538	111.545	111.524	111.556	111.537	111.556	111.538	111.515	111.538	111.538	111.531	111.524	111.539	111.524	111.524	111.518	111.558	111.501	111.501	111.524	111.507	111.540	111.528	111.540	2016_7_15_11_27_07
F2LS339XHFM1____	-55.550	-55.652	-55.521	-55.616	-55.685	-55.694	-55.550	-55.589	-55.588	-55.593	-55.549	-55.654	-55.637	-55.625	-55.588	-55.488	-55.588	-55.588	-55.600	-55.489	-55.591	-55.517	-55.549	-55.520	-55.622	-55.459	-55.427	-55.549	-55.466	-55.592	-55.549	-55.592	141.441	141.444	141.331	141.414	141.345	141.456	141.411	141.378	141.482	141.442	141.476	141.486	141.456	141.449	141.482	141.474	141.482	141.482	141.488	141.403	141.509	141.510	141.476	141.551	141.481	141.516	141.371	141.476	141.442	141.474	141.495	141.474	111.558	111.593	111.562	111.584	111.618	111.606	111.562	111.580	111.565	111.572	111.552	111.588	111.586	111.583	111.565	111.531	111.565	111.565	111.569	111.541	111.562	111.536	111.552	111.532	111.577	111.515	111.524	111.552	111.528	111.568	111.550	111.568	2016_7_15_11_27_11
F2LS39Q6GRXL____	-55.770	-55.874	-55.735	-55.834	-55.855	-55.876	-55.760	-55.798	-55.766	-55.768	-55.731	-55.835	-55.767	-55.835	-55.766	-55.697	-55.766	-55.766	-55.734	-55.702	-55.744	-55.728	-55.731	-55.734	-55.805	-55.666	-55.633	-55.731	-55.656	-55.762	-55.731	-55.762	141.326	141.363	141.218	141.301	141.223	141.329	141.294	141.265	141.371	141.334	141.373	141.400	141.365	141.368	141.371	141.364	141.371	141.371	141.364	141.324	141.362	141.363	141.373	141.439	141.403	141.400	141.255	141.373	141.372	141.368	141.369	141.368	111.526	111.558	111.529	111.552	111.570	111.563	111.527	111.545	111.519	111.524	111.506	111.539	111.520	111.543	111.519	111.496	111.519	111.519	111.508	111.503	111.512	111.506	111.506	111.498	111.528	111.479	111.488	111.506	111.480	111.518	111.507	111.518	2016_7_15_11_27_14
F2LS38VQGRXL____	-55.649	-55.796	-55.661	-55.765	-55.804	-55.766	-55.696	-55.735	-55.690	-55.697	-55.655	-55.762	-55.738	-55.768	-55.690	-55.668	-55.690	-55.690	-55.703	-55.624	-55.656	-55.661	-55.655	-55.618	-55.723	-55.631	-55.551	-55.655	-55.595	-55.693	-55.656	-55.693	141.304	141.349	141.202	141.240	141.237	141.265	141.301	141.236	141.308	141.267	141.302	141.376	141.314	141.276	141.308	141.320	141.308	141.308	141.319	141.272	141.362	141.332	141.302	141.442	141.305	141.352	141.205	141.302	141.310	141.300	141.309	141.300	111.618	111.663	111.636	111.667	111.682	111.664	111.635	111.657	111.631	111.640	111.620	111.648	111.648	111.663	111.631	111.622	111.631	111.631	111.635	111.614	111.612	111.618	111.620	111.588	111.644	111.605	111.597	111.620	111.598	111.634	111.619	111.634	2016_7_15_11_27_18
F2LS38TUGRXL____	-55.579	-55.684	-55.541	-55.652	-55.691	-55.693	-55.619	-55.624	-55.584	-55.675	-55.543	-55.636	-55.578	-55.689	-55.584	-55.506	-55.584	-55.584	-55.542	-55.504	-55.617	-55.544	-55.543	-55.545	-55.618	-55.472	-55.436	-55.543	-55.512	-55.616	-55.543	-55.616	141.386	141.424	141.251	141.350	141.314	141.349	141.355	141.312	141.419	141.361	141.416	141.402	141.388	141.361	141.419	141.390	141.419	141.419	141.388	141.323	141.420	141.452	141.416	141.522	141.419	141.427	141.290	141.416	141.365	141.383	141.419	141.383	111.433	111.465	111.438	111.463	111.482	111.478	111.451	111.459	111.430	111.470	111.416	111.451	111.432	111.475	111.430	111.407	111.430	111.430	111.420	111.415	111.442	111.412	111.416	111.402	111.442	111.390	111.396	111.416	111.412	111.447	111.416	111.447	2016_7_15_11_27_22
