SN	Distance_X_LOGO_Battery_Down1	Distance_X_LOGO_Battery_Down2	Distance_X_LOGO_Battery_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Battery_Down1	Distance_Y_LOGO_Battery_Down2	Distance_Y_LOGO_Battery_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Battery_Down1	Angle_Battery_Down2	Angle_Battery_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
F2LS339XHFM1____	-0.141	-0.200	-0.141	-0.197	-0.263	-0.191	-0.197	-0.191	-0.078	-0.191	-0.061	-0.273	-0.210	-0.191	-0.141	-0.197	-0.209	-0.273	-0.123	-0.191	-0.275	-0.067	-0.265	-0.067	-0.191	-0.074	-0.200	-0.072	-0.199	-0.191	-0.259	-0.191	0.063	0.063	0.063	0.061	0.063	0.063	0.063	0.061	0.063	0.063	-0.062	-0.074	0.063	0.063	0.063	0.061	-0.001	0.063	0.061	0.027	0.063	-0.074	0.063	-0.058	0.027	0.061	0.063	0.061	0.063	0.063	0.063	0.063	0.605	0.486	0.593	0.567	0.556	0.525	0.645	0.723	0.625	0.654	0.647	0.546	0.554	0.605	0.585	0.501	0.573	0.531	0.639	0.677	0.522	0.645	0.532	0.644	0.705	0.630	0.587	0.637	0.593	0.521	0.546	0.486	-0.179	0.042	0.590	2016_7_15_15_19_11
F2LS3HFRHFM5____	-0.197	-0.134	-0.010	-0.154	-0.264	-0.154	-0.154	0.007	-0.154	-0.068	-0.015	-0.141	-0.263	-0.077	-0.154	-0.068	-0.146	-0.069	-0.134	-0.146	-0.141	-0.256	-0.141	-0.146	-0.076	-0.146	0.007	-0.142	-0.146	-0.000	-0.134	-0.154	-0.140	-0.081	-0.140	-0.198	-0.003	-0.196	-0.191	-0.191	-0.140	-0.146	-0.146	-0.146	-0.146	-0.140	-0.140	-0.004	-0.203	-0.271	-0.146	-0.140	-0.213	-0.140	-0.140	-0.146	-0.016	-0.140	-0.146	-0.071	-0.140	-0.146	-0.146	-0.140	0.598	0.536	0.662	0.709	0.547	0.487	0.515	0.731	0.570	0.661	0.687	0.536	0.568	0.609	0.513	0.641	0.521	0.654	0.635	0.720	0.719	0.598	0.597	0.598	0.639	0.484	0.684	0.609	0.731	0.703	0.509	0.609	-0.124	-0.140	0.612	2016_7_15_15_19_14
F2LS3JESHFM5____	-0.220	-0.223	-0.271	-0.223	-0.369	-0.148	-0.223	-0.223	-0.223	-0.360	-0.301	-0.349	-0.219	-0.271	-0.299	-0.223	-0.186	-0.116	-0.219	-0.223	-0.286	-0.285	-0.151	-0.220	-0.361	-0.271	-0.220	-0.285	-0.165	-0.211	-0.223	-0.271	-0.391	-0.477	-0.406	-0.477	-0.351	-0.391	-0.406	-0.350	-0.351	-0.399	-0.391	-0.391	-0.406	-0.406	-0.351	-0.406	-0.391	-0.350	-0.391	-0.406	-0.399	-0.406	-0.391	-0.284	-0.399	-0.284	-0.351	-0.391	-0.391	-0.406	-0.391	-0.284	-0.096	0.031	-0.110	-0.086	-0.168	-0.046	-0.007	-0.198	-0.029	-0.185	-0.127	-0.134	-0.068	-0.110	-0.174	-0.193	-0.168	-0.093	0.015	0.006	-0.119	-0.118	-0.042	-0.192	-0.175	-0.023	-0.010	-0.118	-0.110	-0.042	-0.202	-0.127	-0.245	-0.383	-0.101	2016_7_15_15_19_17
F2LS3HFBHFM5____	0.009	-0.003	-0.053	-0.127	-0.003	-0.067	0.005	-0.124	0.121	0.011	0.011	0.006	-0.071	-0.051	-0.003	-0.066	0.045	-0.004	0.011	-0.003	0.128	-0.073	0.011	0.006	0.048	0.045	0.113	-0.053	-0.004	-0.070	-0.137	-0.004	-0.066	-0.066	-0.066	-0.128	0.057	-0.066	0.066	-0.128	-0.198	-0.066	-0.066	-0.066	-0.066	-0.066	-0.186	-0.066	-0.007	-0.066	-0.066	-0.066	-0.066	-0.007	-0.066	-0.066	-0.066	-0.007	-0.066	-0.066	-0.007	0.066	-0.066	-0.066	0.700	0.765	0.678	0.619	0.666	0.635	0.674	0.661	0.742	0.661	0.688	0.678	0.633	0.666	0.557	0.626	0.639	0.661	0.702	0.688	0.714	0.614	0.673	0.668	0.641	0.666	0.679	0.688	0.673	0.637	0.601	0.784	-0.011	-0.059	0.668	2016_7_15_15_19_21
F2LS3A7AHFM2____	-0.118	-0.073	-0.198	-0.009	-0.013	-0.087	-0.118	-0.190	-0.195	-0.087	-0.214	-0.152	-0.212	-0.156	-0.087	-0.087	-0.011	-0.132	-0.087	-0.081	-0.002	-0.118	-0.165	-0.087	-0.087	-0.087	-0.087	-0.078	-0.020	-0.087	-0.073	-0.193	0.062	-0.022	-0.022	-0.153	-0.202	-0.003	-0.003	-0.202	-0.202	-0.022	-0.022	-0.022	-0.013	-0.022	-0.153	-0.208	-0.022	-0.153	-0.153	-0.022	-0.153	-0.153	-0.153	-0.022	-0.153	-0.022	0.049	-0.013	0.056	-0.022	-0.013	-0.153	-0.044	-0.007	-0.064	0.003	0.003	0.059	-0.167	-0.022	-0.044	0.064	-0.109	-0.092	-0.124	-0.094	-0.081	-0.154	0.008	-0.023	0.079	-0.044	0.039	0.060	-0.172	0.027	-0.037	0.018	0.051	-0.037	-0.012	-0.149	-0.008	-0.056	-0.106	-0.072	-0.035	2016_7_15_15_19_27
F2LS3A8AGRXL____	-0.280	-0.278	-0.199	-0.097	-0.274	-0.138	-0.145	-0.213	-0.199	-0.348	-0.082	-0.203	-0.213	-0.203	-0.199	-0.199	-0.277	-0.215	-0.208	-0.203	-0.148	-0.274	-0.345	-0.215	-0.328	-0.208	-0.211	-0.344	-0.151	-0.158	-0.343	-0.199	-0.272	-0.222	-0.222	-0.272	-0.216	-0.284	-0.215	-0.222	-0.272	-0.352	-0.222	-0.272	-0.272	-0.284	-0.284	-0.272	-0.215	-0.284	-0.272	-0.222	-0.221	-0.272	-0.222	-0.222	-0.272	-0.272	-0.222	-0.222	-0.222	-0.222	-0.161	-0.222	-0.121	-0.131	0.027	-0.058	-0.122	-0.012	-0.070	-0.079	-0.007	-0.151	-0.016	-0.156	0.014	-0.028	-0.191	-0.048	-0.123	-0.023	-0.035	-0.006	-0.061	-0.097	-0.172	-0.093	-0.123	-0.074	-0.097	-0.184	-0.072	-0.091	-0.158	0.021	-0.222	-0.247	-0.079	2016_7_15_15_19_31
F2LS39Q6GRXL____	-0.114	-0.078	-0.114	-0.130	-0.078	-0.187	0.011	-0.202	-0.194	-0.064	-0.114	-0.216	-0.219	-0.194	-0.212	-0.130	-0.078	-0.114	-0.006	-0.114	-0.221	-0.138	-0.004	0.002	-0.114	-0.114	0.001	-0.114	-0.078	0.004	-0.064	-0.114	-0.561	-0.626	-0.552	-0.626	-0.626	-0.609	-0.609	-0.563	-0.677	-0.609	-0.626	-0.626	-0.552	-0.626	-0.561	-0.609	-0.625	-0.677	-0.677	-0.563	-0.552	-0.609	-0.609	-0.609	-0.609	-0.677	-0.609	-0.609	-0.609	-0.625	-0.677	-0.609	-0.688	-0.576	-0.579	-0.684	-0.688	-0.713	-0.620	-0.756	-0.734	-0.688	-0.804	-0.783	-0.799	-0.716	-0.789	-0.804	-0.711	-0.661	-0.669	-0.616	-0.798	-0.730	-0.688	-0.653	-0.688	-0.775	-0.630	-0.827	-0.688	-0.643	-0.651	-0.622	-0.109	-0.612	-0.702	2016_7_15_15_19_34
F2LS38VQGRXL____	-0.136	-0.073	-0.085	-0.085	-0.136	-0.076	-0.143	-0.083	-0.085	-0.007	0.004	-0.085	-0.076	-0.209	-0.063	-0.123	-0.073	-0.076	-0.182	-0.085	-0.085	-0.083	-0.073	-0.129	-0.073	-0.206	-0.085	-0.073	-0.073	-0.063	-0.083	0.004	-0.082	-0.129	-0.082	-0.129	-0.007	-0.129	-0.082	-0.003	-0.129	-0.082	-0.129	-0.129	-0.129	-0.129	-0.129	-0.129	-0.082	-0.129	-0.129	-0.078	-0.082	-0.129	-0.129	-0.129	-0.129	-0.082	-0.129	-0.129	0.040	-0.082	-0.082	-0.082	-0.054	-0.031	0.054	-0.130	-0.065	0.041	-0.072	0.093	-0.156	-0.006	0.020	-0.164	-0.108	-0.110	-0.038	-0.040	-0.031	-0.048	-0.098	0.033	-0.116	0.055	0.053	-0.038	-0.031	-0.106	-0.062	-0.047	-0.115	-0.015	-0.046	0.016	-0.091	-0.100	-0.042	2016_7_15_15_19_38
F2LS30UNGRX8____	-0.234	-0.275	-0.375	-0.218	-0.223	-0.223	-0.151	-0.161	-0.371	-0.351	-0.352	-0.374	-0.205	-0.223	-0.275	-0.275	-0.166	-0.234	-0.173	-0.133	-0.285	-0.234	-0.234	-0.234	-0.234	-0.223	-0.234	-0.223	-0.275	-0.234	-0.234	-0.275	-0.162	-0.091	-0.146	-0.162	-0.146	-0.217	-0.162	-0.162	-0.011	-0.091	-0.214	-0.083	-0.162	-0.146	-0.162	-0.091	-0.162	-0.011	-0.162	-0.083	-0.280	-0.146	-0.162	-0.282	-0.162	-0.083	-0.162	-0.162	-0.146	-0.162	-0.287	-0.083	-0.018	-0.231	-0.175	-0.107	-0.092	0.005	-0.084	-0.096	-0.237	-0.165	-0.160	-0.214	-0.071	-0.074	-0.191	-0.045	-0.085	-0.013	-0.076	-0.100	-0.125	-0.131	0.003	-0.107	-0.227	-0.103	-0.181	-0.107	-0.225	-0.222	0.004	-0.063	-0.247	-0.148	-0.116	2016_7_15_15_19_41
F2LS3957GRXL____	-0.201	-0.280	-0.145	-0.133	-0.201	-0.201	-0.161	-0.070	-0.240	-0.154	-0.271	-0.238	-0.076	-0.104	-0.161	-0.161	-0.151	-0.098	-0.161	-0.285	-0.235	-0.235	-0.265	-0.201	-0.161	-0.032	-0.161	-0.161	-0.201	-0.111	-0.084	-0.161	-0.591	-0.420	-0.420	-0.472	-0.420	-0.420	-0.420	-0.560	-0.472	-0.420	-0.472	-0.560	-0.472	-0.420	-0.591	-0.473	-0.473	-0.420	-0.420	-0.472	-0.420	-0.472	-0.560	-0.420	-0.560	-0.420	-0.420	-0.473	-0.473	-0.591	-0.420	-0.420	-0.886	-0.806	-0.706	-0.694	-0.720	-0.763	-0.763	-0.681	-0.872	-0.740	-0.783	-0.844	-0.653	-0.680	-0.754	-0.890	-0.724	-0.782	-0.754	-0.800	-0.883	-0.882	-0.730	-0.848	-0.694	-0.746	-0.660	-0.763	-0.763	-0.700	-0.711	-0.859	-0.172	-0.470	-0.767	2016_7_15_15_19_44
