SN	Distance_X_LOGO_MainBoard_Corner1	Distance_X_LOGO_MainBoard_Corner2	Distance_X_LOGO_MainBoard_Corner3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32		Distance_Y_LOGO_MainBoard_Corner1	Distance_Y_LOGO_MainBoard_Corner2	Distance_Y_LOGO_MainBoard_Corner3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32		Angle_MainBoard_Corner1	Angle_MainBoard_Corner2	Angle_MainBoard_Corner3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32		Date_time
FLQS235WGRX5____	0.159	0.154	0.117	0.152	0.115	0.162	0.16	0.158	0.265	0.119	0.159	0.154	0.155	0.156	0.156	0.116	0.153	0.152	0.114	0.114	0.155	0.198	0.198	0.153	0.152	0.157	0.127	0.163	0.155	0.155	0.203	0.189	0.15609375	-0.123	-0.126	-0.127	-0.085	-0.131	-0.119	-0.085	-0.052	-0.122	-0.082	-0.122	-0.085	-0.181	-0.123	-0.218	-0.185	-0.17	-0.122	-0.082	-0.027	-0.122	-0.079	-0.122	-0.121	-0.174	-0.123	-0.122	-0.118	-0.127	-0.405	-0.122	-0.081	-0.12759375	-0.08	-0.077	-0.063	-0.082	-0.061	-0.081	-0.085	-0.09	-0.121	-0.07	-0.079	-0.083	-0.069	-0.079	0.583	-0.054	-0.07	-0.077	-0.068	-0.686	-0.078	-0.101	-0.095	-0.077	-0.07	-0.078	-0.068	-0.081	-0.077	0.557	-0.096	-0.098	-0.0579375	2016_7_11_8_56_55
FLQS20U5GRX2____	0.123	0.086	0.087	0.086	0.086	0.047	0.046	0.043	0.003	0.011	0.084	0.081	0.12	0.082	0.086	0.087	0.119	0.043	0.085	0.086	0.085	0.043	0.084	0.044	0.085	0.085	0.083	0.082	0.083	0.085	0.082	0.084	0.0755	0.02	-0.018	0.051	-0.017	0.05	0.012	0.015	0.015	0.015	0.009	-0.017	0.015	0.021	0.016	0.051	-0.014	0.017	0.012	0.044	0.053	0.019	0.047	0.019	0.016	0.063	0.016	0.017	0.016	0.013	0.043	0.014	0.047	0.02125	-0.164	-0.143	-0.155	-0.144	-0.154	-0.133	-0.133	-0.132	-0.117	-0.119	-0.144	-0.147	-0.163	-0.147	-0.154	-0.145	-0.161	-0.132	-0.152	-0.154	-0.149	-0.136	-0.148	-0.132	-0.155	-0.149	-0.148	-0.147	-0.147	-0.153	-0.146	-0.153	-0.1455	2016_7_11_8_56_32
FLQS21TBGRWM____	-0.014	-0.046	-0.051	-0.052	-0.05	-0.011	-0.014	-0.013	0.024	-0.052	-0.052	-0.052	-0.016	-0.051	-0.051	-0.051	-0.014	-0.013	-0.052	-0.012	-0.013	-0.013	0.024	-0.051	-0.015	-0.01	-0.05	-0.012	-0.016	-0.022	0.025	-0.02	-0.0255	-0.022	-0.096	-0.021	-0.019	-0.023	-0.018	-0.061	-0.057	-0.02	-0.02	-0.196	-0.022	-0.022	-0.162	-0.021	-0.021	-0.022	-0.056	-0.02	-0.02	-0.055	-0.055	-0.019	-0.054	-0.022	-0.021	-0.022	-0.022	0.015	-0.023	-0.02	-0.026	-0.03884375	0.119	0.143	0.133	0.134	0.133	0.118	0.125	0.124	0.104	0.134	0.789	0.134	0.121	0.791	0.133	-0.848	0.12	0.125	0.135	0.119	0.124	0.124	0.105	0.138	0.121	0.118	0.134	0.119	0.116	0.123	0.104	0.123	0.13546875	2016_7_11_8_56_36
FLQS22W2GRWQ____	0.035	0.13	0.023	0.022	0.021	0.025	0.025	0.026	0.064	0.029	0.064	0.062	0.064	0.024	0.024	0.031	0.025	0.057	0.068	0.021	0.084	0.016	0.065	0.06	0.066	0.022	0.029	0.025	0.094	0.019	0.027	0.003	0.0421875	-0.032	0.013	-0.054	0.012	0.011	0.017	-0.261	0.016	0.015	-0.003	0.014	-0.056	-0.031	0.012	-0.143	-0.032	0.015	0.013	-0.003	0.013	-0.047	-0.06	-0.049	0.015	-0.03	0.014	0.017	0.019	0.019	-0.054	0.016	-0.057	-0.02065625	-0.174	-0.217	-0.166	-0.175	-0.175	-0.177	0.4	-0.178	-0.192	-0.176	-0.192	-0.18	-0.185	-0.176	0.453	-0.173	-0.177	-0.189	-0.191	-0.175	-0.19	-0.163	-0.183	-0.19	-0.185	-0.176	-0.179	-0.178	-0.204	-0.165	-0.178	-0.158	-0.142625	2016_7_11_8_56_40
FLQS23HTGRWQ____	-0.279	-0.281	-0.281	-0.28	-0.279	-0.279	-0.241	-0.357	-0.282	-0.284	-0.244	-0.283	-0.28	-0.283	-0.279	-0.279	-0.281	-0.282	-0.279	-0.28	-0.28	-0.242	-0.28	-0.317	-0.279	-0.277	-0.316	-0.277	-0.316	-0.286	-0.277	-0.322	-0.2838125	-0.203	-0.202	-0.204	-0.199	-0.239	-0.237	-0.204	-0.203	-0.202	-0.204	-0.239	-0.203	-0.205	-0.239	-0.204	-0.204	-0.239	-0.24	-0.201	-0.206	-0.238	-0.232	-0.201	-0.201	-0.206	-0.201	-0.204	-0.198	-0.207	-0.201	-0.202	-0.238	-0.2126875	-0.025	-0.024	-0.024	-0.025	-0.019	-0.02	-0.039	0.005	-0.024	-0.023	-0.033	-0.024	-0.024	-0.017	-0.025	-0.976	-0.019	-0.019	-0.026	-0.024	-0.019	-0.035	-0.024	-0.011	-0.024	-0.026	-0.011	-0.027	-0.01	-0.022	-0.026	-0.003	-0.05134375	2016_7_11_8_56_43
