SN;Distance_X_LOGO_Voice1;Distance_X_LOGO_voice2;Distance_X_LOGO_3;Distance_X_LOGO_4;Distance_X_LOGO_5;Distance_X_LOGO_6;Distance_X_LOGO_7;Distance_X_LOGO_8;Distance_X_LOGO_9;Distance_X_LOGO_10;Distance_X_LOGO_11;Distance_X_LOGO_12;Distance_X_LOGO_13;Distance_X_LOGO_14;Distance_X_LOGO_15;Distance_X_LOGO_16;Distance_X_LOGO_17;Distance_X_LOGO_18;Distance_X_LOGO_19;Distance_X_LOGO_20;Distance_X_LOGO_21;Distance_X_LOGO_22;Distance_X_LOGO_23;Distance_X_LOGO_24;Distance_X_LOGO_25;Distance_X_LOGO_26;Distance_X_LOGO_27;Distance_X_LOGO_28;Distance_X_LOGO_29;Distance_X_LOGO_30;Distance_X_LOGO_31;Distance_X_LOGO_32;AVE;Distance_Y_LOGO_Voice1;Distance_Y_LOGO_voice2;Distance_Y_LOGO_3;Distance_Y_LOGO_4;Distance_Y_LOGO_5;Distance_Y_LOGO_6;Distance_Y_LOGO_7;Distance_Y_LOGO_8;Distance_Y_LOGO_9;Distance_Y_LOGO_10;Distance_Y_LOGO_11;Distance_Y_LOGO_12;Distance_Y_LOGO_13;Distance_Y_LOGO_14;Distance_Y_LOGO_15;Distance_Y_LOGO_16;Distance_Y_LOGO_17;Distance_Y_LOGO_18;Distance_Y_LOGO_19;Distance_Y_LOGO_20;Distance_Y_LOGO_21;Distance_Y_LOGO_22;Distance_Y_LOGO_23;Distance_Y_LOGO_24;Distance_Y_LOGO_25;Distance_Y_LOGO_26;Distance_Y_LOGO_27;Distance_Y_LOGO_28;Distance_Y_LOGO_29;Distance_Y_LOGO_30;Distance_Y_LOGO_31;Distance_Y_LOGO_32;AVE;Angle_Voice1;Angle_voice2;Angle_3;Angle_4;Angle_5;Angle_6;Angle_7;Angle_8;Angle_9;Angle_10;Angle_11;Angle_12;Angle_13;Angle_14;Angle_15;Angle_16;Angle_17;Angle_18;Angle_19;Angle_20;Angle_21;Angle_22;Angle_23;Angle_24;Angle_25;Angle_26;Angle_27;Angle_28;Angle_29;Angle_30;Angle_31;Angle_32;AVE;Date_time
FLQS11MXGRWQ____;-0.059;-0.07;-0.07;-0.021;-0.02;-0.021;-0.023;-0.02;0;-0.024;-0.062;-0.055;-0.021;-0.021;-0.022;-0.09;-0.021;-0.091;-0.021;0;-0.096;-0.023;0;0;-0.021;-0.06;-0.021;-0.025;-0.02;0;-0.023;-0.07;-0.03409375;-0.007;-0.07;0;-0.01;-0.008;-0.006;-0.01;-0.008;0;-0.009;-0.008;-0.01;-0.009;-0.008;-0.008;-0.062;-0.009;-0.004;-0.008;0;-0.006;-0.009;0;0;-0.01;-0.007;-0.008;-0.009;-0.008;0;-0.041;0;-0.011;-0.02;-0.013;-0.026;-0.005;-0.005;-0.007;-0.006;-0.006;0;-0.007;-0.021;-0.019;-0.006;-0.006;-0.007;-0.021;-0.006;-0.033;-0.007;0;-0.035;-0.007;0;0;-0.006;-0.02;-0.006;-0.008;-0.006;0;-0.001;-0.026;-0.0105;2016_7_9_13_11_05
FLQS11WBGRWQ____;0.008;0.006;0.041;0.077;0.005;0.005;0.006;0.004;0.011;0.005;0.005;0.009;0.004;0.008;0.005;0.034;0.014;-0.027;0.002;0.007;0.007;0.005;0.042;0.007;0.007;0.004;0.006;-0.026;0.008;-0.019;0.008;0.009;0.00896875;0.075;0.041;0.074;0.07;0.075;0.075;0.074;0.073;0.074;0.079;0.076;0.07;0.072;0.075;0.076;0.108;0.042;0.076;0.109;0.078;0.076;0.075;0.077;0.108;0.073;0.075;0.076;0.044;0.074;0.078;0.077;0.08;0.07515625;-0.011;-0.006;0.001;0.015;-0.013;-0.014;-0.012;-0.013;-0.011;-0.014;-0.013;-0.011;-0.013;-0.012;-0.013;-0.009;-0.003;-0.025;-0.021;-0.012;-0.013;-0.013;0.001;-0.019;-0.012;-0.013;-0.013;-0.018;-0.011;-0.022;-0.012;-0.013;-0.0115;2016_7_9_13_11_31
FLQS11X1GRWQ____;-0.07;-0.07;-0.14;-0.14;-0.14;-0.128;-0.076;-0.129;-0.128;-0.124;-0.124;-0.132;-0.14;-0.14;-0.14;-0.127;-0.14;-0.14;-0.14;-0.14;-0.125;-0.14;-0.14;-0.14;-0.14;-0.14;-0.14;-0.14;-0.14;-0.14;-0.124;-0.14;-0.12990625;0.07;0.14;0.07;0.07;0.07;0.079;0.072;0.076;0.079;0.081;0.081;0.077;0.07;0.07;0.07;0.11;0.07;0.07;0.07;0.07;0.082;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.07;0.081;0.07;0.075875;-0.039;-0.054;-0.066;-0.066;-0.066;-0.063;-0.042;-0.063;-0.064;-0.063;-0.062;-0.065;-0.066;-0.066;-0.066;-0.069;-0.066;-0.066;-0.066;-0.066;-0.062;-0.066;-0.065;-0.066;-0.066;-0.066;-0.066;-0.066;-0.066;-0.066;-0.063;-0.066;-0.063375;2016_7_9_13_11_52
FLQS13MEGRWQ____;-0.053;0;0;-0.052;-0.057;-0.025;-0.052;-0.057;-0.052;-0.017;-0.084;-0.054;-0.058;-0.019;-0.025;-0.05;-0.018;-0.054;-0.02;-0.008;-0.018;-0.056;0;0;-0.017;-0.057;-0.021;-0.056;-0.054;0;-0.021;-0.14;-0.03734375;-0.007;0;0;-0.039;-0.006;-0.008;-0.038;-0.004;-0.006;-0.034;-0.035;-0.005;-0.005;-0.005;0.027;-0.034;-0.041;-0.005;-0.003;-0.011;-0.006;-0.006;0;0;-0.039;-0.005;-0.007;-0.005;-0.007;-0.07;-0.007;-0.07;-0.01503125;0.655;0.674;0.674;0.662;0.653;0.666;0.662;0.654;0.655;0.674;0.649;0.655;0.654;0.668;0.659;0.662;0.676;0.655;0.667;0.673;0.669;0.654;0.674;0.674;0.675;0.654;0.667;0.654;0.655;0.688;0.667;0.636;0.6629375;2016_7_9_13_12_17
FLQS138GGRWQ____;-0.076;-0.073;-0.073;-0.082;-0.118;-0.036;-0.075;-0.048;-0.078;-0.08;-0.041;-0.041;-0.118;-0.077;-0.077;-0.08;-0.079;-0.044;-0.115;-0.076;-0.075;-0.077;-0.076;-0.073;-0.046;-0.049;-0.078;-0.078;-0.08;-0.143;-0.077;-0.003;-0.0731875;-0.133;-0.083;-0.153;-0.104;-0.135;-0.136;-0.101;-0.1;-0.135;-0.104;-0.074;-0.135;-0.132;-0.132;-0.135;-0.1;-0.136;-0.101;-0.132;-0.131;-0.131;-0.133;-0.13;-0.083;-0.1;-0.103;-0.133;-0.135;-0.137;-0.153;-0.132;-0.153;-0.12234375;-0.547;-0.557;-0.543;-0.555;-0.563;-0.532;-0.554;-0.544;-0.548;-0.555;-0.546;-0.534;-0.564;-0.548;-0.547;-0.555;-0.549;-0.542;-0.562;-0.548;-0.548;-0.548;-0.548;-0.557;-0.543;-0.544;-0.548;-0.549;-0.548;-0.569;-0.549;-0.517;-0.54878125;2016_7_9_13_12_40
