SN;Distance_X_LOGO_MainBoard_Sim1;Distance_X_LOGO_MainBoard_Sim2;Distance_X_LOGO_3;Distance_X_LOGO_4;Distance_X_LOGO_5;Distance_X_LOGO_6;Distance_X_LOGO_7;Distance_X_LOGO_8;Distance_X_LOGO_9;Distance_X_LOGO_10;Distance_X_LOGO_11;Distance_X_LOGO_12;Distance_X_LOGO_13;Distance_X_LOGO_14;Distance_X_LOGO_15;Distance_X_LOGO_16;Distance_X_LOGO_17;Distance_X_LOGO_18;Distance_X_LOGO_19;Distance_X_LOGO_20;Distance_X_LOGO_21;Distance_X_LOGO_22;Distance_X_LOGO_23;Distance_X_LOGO_24;Distance_X_LOGO_25;Distance_X_LOGO_26;Distance_X_LOGO_27;Distance_X_LOGO_28;Distance_X_LOGO_29;Distance_X_LOGO_30;Distance_X_LOGO_31;Distance_X_LOGO_32;Distance_Y_LOGO_MainBoard_Sim1;Distance_Y_LOGO_MainBoard_Sim2;Distance_Y_LOGO_3;Distance_Y_LOGO_4;Distance_Y_LOGO_5;Distance_Y_LOGO_6;Distance_Y_LOGO_7;Distance_Y_LOGO_8;Distance_Y_LOGO_9;Distance_Y_LOGO_10;Distance_Y_LOGO_11;Distance_Y_LOGO_12;Distance_Y_LOGO_13;Distance_Y_LOGO_14;Distance_Y_LOGO_15;Distance_Y_LOGO_16;Distance_Y_LOGO_17;Distance_Y_LOGO_18;Distance_Y_LOGO_19;Distance_Y_LOGO_20;Distance_Y_LOGO_21;Distance_Y_LOGO_22;Distance_Y_LOGO_23;Distance_Y_LOGO_24;Distance_Y_LOGO_25;Distance_Y_LOGO_26;Distance_Y_LOGO_27;Distance_Y_LOGO_28;Distance_Y_LOGO_29;Distance_Y_LOGO_30;Distance_Y_LOGO_31;Distance_Y_LOGO_32;Angle_MainBoard_Sim1;Angle_MainBoard_Sim2;Angle_3;Angle_4;Angle_5;Angle_6;Angle_7;Angle_8;Angle_9;Angle_10;Angle_11;Angle_12;Angle_13;Angle_14;Angle_15;Angle_16;Angle_17;Angle_18;Angle_19;Angle_20;Angle_21;Angle_22;Angle_23;Angle_24;Angle_25;Angle_26;Angle_27;Angle_28;Angle_29;Angle_30;Angle_31;Angle_32;Date_time
FLQS2AVTGRX5____;0.006;0.07;0;0.041;0;0.044;0;0;0;0;0;0;0;0.07;0;0.006;0.008;0.032;-0.011;-0.07;0.009;0;-0.011;0;0;0.038;0;-0.07;0.009;0.006;0.07;0.07;0.046;0;0;-0.004;0;0.049;0;0;0;0;0;0;0;0;0;0.005;0.004;0.061;-0.003;0;-0.041;0;-0.002;0;0;0.002;0;0;0.049;0.004;0;0;-0.693;-0.639;-0.674;-0.652;-0.674;-0.676;-0.674;-0.674;-0.674;-0.674;-0.674;-0.674;-0.674;-0.639;-0.674;-0.674;-0.672;-0.689;-0.678;-0.708;-0.649;-0.675;-0.678;-0.674;-0.674;-0.656;-0.674;-0.709;-0.694;-0.673;-0.639;-0.64;2016_7_9_14_13_01
FLQS2B6JGRX5____;0.014;-0.065;0.005;-0.065;0.005;0.017;0.005;-0.065;0.005;0.005;-0.065;0.005;0.005;0.005;-0.065;0.005;0.005;0.005;0.005;-0.065;0.005;-0.065;0.005;0.005;0.005;0.005;0.005;0.005;0.005;-0.065;-0.065;-0.065;0.046;-0.003;0.067;-0.003;-0.003;0.002;-0.003;0.067;-0.003;-0.003;0.067;-0.003;-0.003;-0.003;-0.003;0.067;0.067;-0.003;-0.003;-0.003;-0.003;-0.003;-0.003;-0.003;-0.003;-0.073;-0.003;-0.003;-0.003;0.067;0.067;-0.003;0.018;0.003;0.003;0.003;0.038;0.041;0.038;-0.031;0.037;0.038;-0.032;0.038;0.038;0.038;0.326;0.003;0.003;0.038;0.038;0.003;0.038;0.003;0.038;0.038;0.038;0.073;0.038;0.038;0.038;-0.032;-0.032;0.003;2016_7_9_14_13_22
FLQS2BC6GRX5____;0.004;0.07;0.056;0.006;0.014;-0.029;0;0.05;0.014;0.015;0.05;0.006;0.011;0.043;0.043;0.043;0.044;0.01;0.01;0.01;-0.027;0.045;0.01;0.011;0.021;0.01;0.011;0.011;0.01;0.008;0.01;0.05;-0.004;-0.07;0.031;-0.002;-0.006;-0.005;0;0;-0.002;-0.006;0;-0.007;-0.005;-0.006;-0.006;-0.049;-0.007;-0.006;-0.006;-0.006;-0.051;-0.006;-0.007;-0.003;-0.002;-0.003;-0.006;-0.005;-0.001;0.036;0;-0.001;0.004;0.069;0.013;0.004;0.01;-0.011;0;0.025;0.008;0.01;0.024;0.006;0.009;0.025;0.025;0.046;0.026;0.009;0.009;0.008;0.012;0.025;0.008;0.007;0.012;0.007;0.008;0.009;0.006;-0.014;0.006;0.025;2016_7_9_14_13_50
FLQS20V3GRWM____;0.008;0;0;0.009;0;0.012;0;0;0;0.005;0;0;0;0;0.07;0.012;-0.032;-0.065;0;-0.07;0.011;0;0;0;0;0;0;0;0.009;0.14;-0.07;0;-0.069;0;0;-0.071;-0.07;-0.068;-0.07;-0.07;-0.07;-0.083;-0.07;-0.07;0;-0.07;0;-0.031;-0.078;-0.111;-0.07;-0.07;-0.027;-0.07;-0.07;-0.07;-0.07;0;-0.07;-0.07;-0.111;-0.07;0;0;0.039;0;0;0.04;0.035;0.039;0.035;0.035;0.035;0.043;0.034;0.034;0;0.035;0.034;0.021;0.022;0.023;0.035;0.001;0.019;0.035;0.034;0.035;0.035;0;0.034;0.035;0.06;0.105;-0.034;0;2016_7_9_14_14_11
FLQS22RXGRX2____;-0.033;0.07;0;0.012;0;0.006;0.07;0.07;0;0;0.07;0.07;0.07;0.07;0;0.042;0.07;0.07;0;0.07;0.035;0.07;0;0;0;0.07;0.07;0.07;0.008;0;0.07;0;-0.008;0;0;-0.139;-0.07;-0.046;-0.07;0;0;0;0;0;0;0;0;-0.004;0;0;0;-0.07;0.037;-0.07;0;0;0;0;0;0;-0.007;-0.07;0;0;-0.012;0.034;0;0.075;0.035;0.026;0.069;0.035;0;0;0.035;0.035;0.035;0.035;0;0.023;0.034;0.035;0;0.07;-0.001;0.07;0;0;0;0.035;0.035;0.035;0.008;0.035;0.035;0;2016_7_9_14_14_32
