SN;Distance_X_LOGO_Motor1;Distance_X_LOGO_motor2;Distance_X_LOGO_3;Distance_X_LOGO_4;Distance_X_LOGO_5;Distance_X_LOGO_6;Distance_X_LOGO_7;Distance_X_LOGO_8;Distance_X_LOGO_9;Distance_X_LOGO_10;Distance_X_LOGO_11;Distance_X_LOGO_12;Distance_X_LOGO_13;Distance_X_LOGO_14;Distance_X_LOGO_15;Distance_X_LOGO_16;Distance_X_LOGO_17;Distance_X_LOGO_18;Distance_X_LOGO_19;Distance_X_LOGO_20;Distance_X_LOGO_21;Distance_X_LOGO_22;Distance_X_LOGO_23;Distance_X_LOGO_24;Distance_X_LOGO_25;Distance_X_LOGO_26;Distance_X_LOGO_27;Distance_X_LOGO_28;Distance_X_LOGO_29;Distance_X_LOGO_30;Distance_X_LOGO_31;Distance_X_LOGO_32;Distance_Y_LOGO_Motor1;Distance_Y_LOGO_motor2;Distance_Y_LOGO_3;Distance_Y_LOGO_4;Distance_Y_LOGO_5;Distance_Y_LOGO_6;Distance_Y_LOGO_7;Distance_Y_LOGO_8;Distance_Y_LOGO_9;Distance_Y_LOGO_10;Distance_Y_LOGO_11;Distance_Y_LOGO_12;Distance_Y_LOGO_13;Distance_Y_LOGO_14;Distance_Y_LOGO_15;Distance_Y_LOGO_16;Distance_Y_LOGO_17;Distance_Y_LOGO_18;Distance_Y_LOGO_19;Distance_Y_LOGO_20;Distance_Y_LOGO_21;Distance_Y_LOGO_22;Distance_Y_LOGO_23;Distance_Y_LOGO_24;Distance_Y_LOGO_25;Distance_Y_LOGO_26;Distance_Y_LOGO_27;Distance_Y_LOGO_28;Distance_Y_LOGO_29;Distance_Y_LOGO_30;Distance_Y_LOGO_31;Distance_Y_LOGO_32;Angle_Motor1;Angle_motor2;Angle_3;Angle_4;Angle_5;Angle_6;Angle_7;Angle_8;Angle_9;Angle_10;Angle_11;Angle_12;Angle_13;Angle_14;Angle_15;Angle_16;Angle_17;Angle_18;Angle_19;Angle_20;Angle_21;Angle_22;Angle_23;Angle_24;Angle_25;Angle_26;Angle_27;Angle_28;Angle_29;Angle_30;Angle_31;Angle_32;Date_time
FLQS2AVTGRX5____;0.07;0.07;0;-0.015;-0.015;-0.003;0.938;0;0;-0.056;-0.001;-0.07;0;0;0;0;-0.003;-0.005;-0.07;-0.07;0;0;0;0;-0.001;-0.001;-0.001;0;0.005;-0.07;0.032;0;-0.07;0.69;0;0.046;-0.784;0.045;0.045;0;0;0.031;-0.055;0.07;0;-0.07;-0.07;-0.07;-0.002;-0.003;0;0;0;0;0;0;-0.037;-0.037;-0.031;-0.031;-0.044;0;0.044;0;-0.642;-0.218;-0.674;-0.683;-0.683;-0.679;-0.381;-0.674;-0.674;-0.699;-0.671;-0.707;-0.674;-0.669;-0.67;-0.67;-0.675;-0.676;-0.702;-0.703;-0.674;-0.201;-0.201;-0.674;-0.672;-0.672;-0.336;-0.673;-0.669;-0.703;-0.664;-0.674;2016_7_9_13_57_23
FLQS2B6JGRX5____;-0.056;0.005;-0.065;-0.094;-0.065;-0.047;0.005;-0.065;0.005;-0.003;-0.065;-0.065;-0.931;0.005;-0.046;-0.01;-0.006;-0.078;0.005;-0.065;-0.065;0.005;-0.065;-0.01;-0.01;-0.01;0.005;-0.058;-0.054;-0.01;0.005;0.005;0;-0.003;-0.003;-0.015;-0.003;0.001;-0.003;-0.003;-0.003;0.001;-0.003;-0.003;-0.003;-0.003;0;-0.001;0;0.021;-0.003;-0.003;-0.003;-0.003;-0.003;0.001;0.001;0.001;-0.073;0.019;-0.01;0.001;-0.003;-0.003;0.011;0.036;0.008;-0.003;0.008;0.015;0.036;0.008;0.035;0.033;0.008;0.008;-0.271;0.036;0.015;0.029;0.031;0.001;0.036;0.008;0.008;0.036;0.008;0.029;0.029;-0.426;0.04;0.009;0.013;0.029;0.036;0.036;2016_7_9_13_57_51
FLQS2BC6GRX5____;-0.012;-0.055;0.008;-0.027;-0.053;-0.056;-0.062;-0.055;-0.062;-0.058;-0.025;-0.062;-0.053;-0.062;-0.105;-0.023;-0.061;-0.057;-0.062;-0.062;-0.055;-0.062;-0.052;-0.024;-0.051;-0.061;-0.062;-0.055;-0.048;-0.051;-0.062;-0.062;-0.035;-0.031;-0.067;-0.037;0.022;-0.007;0.003;-0.008;-0.067;-0.006;-0.006;0.003;0.021;0.003;-0.04;-0.031;-0.007;-0.006;0.003;0.003;-0.005;0.003;0.025;-0.006;-0.035;-0.052;0.003;-0.006;-0.035;-0.035;-0.067;-0.067;0.687;0.669;0.697;0.682;0.667;0.668;0.665;0.669;0.669;0.667;0.681;0.665;0.667;0.665;0.65;0.682;0.666;0.667;0.664;0.664;0.668;0.664;0.668;0.68;0.671;0.669;0.665;0.668;0.673;0.672;0.67;0.67;2016_7_9_14_02_39
FLQS20V3GRWM____;-0.174;-0.167;-0.189;-0.251;-0.138;-0.152;-0.21;-0.169;-0.209;-0.161;-0.166;-0.21;-0.208;-0.21;-0.355;-0.197;-0.082;-0.264;-0.21;-0.21;-0.167;-0.208;-0.208;-0.195;-0.195;-0.209;-0.208;-0.341;-0.288;-0.168;-0.199;-0.208;0.047;0.05;0.019;0.056;0.052;0.012;0;0.043;0.049;0.023;0.05;0;0.051;0;0.05;0.051;-0.015;0.056;0.052;0;0.052;0.05;0.053;0.049;0.049;0.056;0.049;0.149;0.131;0.049;0.045;0.048;-0.082;-0.079;-0.085;-0.113;-0.067;-0.071;-0.092;-0.079;-0.095;-0.074;-0.078;-0.093;-0.095;-0.093;-0.155;-0.092;-0.04;-0.118;-0.096;-0.092;-0.079;-0.095;-0.095;-0.09;-0.09;-0.096;-0.095;-0.154;-0.133;-0.079;-0.091;-0.095;2016_7_9_14_03_00
FLQS22RXGRX2____;0.077;0.121;0.14;0.12;0.087;0.088;0.09;0.122;0.09;-0.014;0.117;0.092;0.088;0.07;0.081;0.119;0.087;0.137;0.09;0.07;0.12;0.087;0.087;0.087;0.085;0.088;0.09;0.155;0.1;0.066;0.14;0.07;0.021;-0.035;0;-0.004;-0.019;-0.006;-0.017;-0.031;-0.019;0.121;-0.007;-0.016;-0.017;0;-0.007;-0.036;-0.034;-0.039;-0.019;0;-0.013;-0.016;-0.021;0.46;0;-0.017;-0.016;-0.12;-0.064;-0.027;0;0;0.034;0.055;0.06;0.052;0.04;0.039;0.041;0.055;0.041;-0.01;0.052;0.042;0.04;0.032;0.038;0.054;0.041;0.062;0.041;0.032;0.053;0.04;0.04;0.66;0.038;0.04;0.042;0.074;0.048;0.032;0.06;0.033;2016_7_9_14_03_24
