metric;MainBoard_Sim;MainBoard_LD;MainBoard_RD;Battery_Left;Battery_Up;Battery_Down;Battery_Right;MainBoard_Corner;MainBoard_RU;MainBoard_LU;Motor_LD;Motor_RU;Button_LD;Button_RU;Front_Camera_LD;Front_Camera_RU;Earphone_LD;Earphone_RU;Voice_LD;Voice_RU;Camera_LD;Camera_RU;NFC_Down;NFC_Up
X;0.809;0.747;0.885;0.182;0.392;0.223;0.605;0.695;0.895;0.444;0.243;0.372;0.436;0.543;0.345;0.39;0.432;0.515;0.754;0.881;0.759;0.849;0.906;0.908
Y;0.4028;0.637;0.629;0.191;0.149;0.777;0.814;0.116;0.113;0.112;0.921;0.909;0.935;0.911;0.076;0.06;0.063;0.057;0.869;0.794;0.048;0.035;0.068;0.032
