,Distance_X_LOGO_MainBoard_RD1,Distance_X_LOGO_MainBoard_RD2,Distance_X_LOGO_MainBoard_RD3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_MainBoard_RD1,Distance_Y_LOGO_MainBoard_RD2,Distance_Y_LOGO_MainBoard_RD3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_MainBoard_RD1,Angle_MainBoard_RD2,Angle_MainBoard_RD3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS309NGRWM,-64.2998013065,-64.3098014311,-64.1998000603,-64.233800484,-64.2368005214,-64.2368005214,-64.2038001101,-64.2328004715,-64.2368005214,-64.2328004715,-64.2368005214,-64.233800484,-64.233800484,-64.1988000478,-64.1968000229,-64.1988000478,-64.233800484,-64.1988000478,-64.1968000229,-64.2378005338,-64.1988000478,-64.1988000478,-64.1968000229,-64.2348004964,-64.1998000603,-64.1998000603,-64.2378005338,-64.1998000603,-64.2368005214,-64.2378005338,-64.2398005588,-64.1988000478,-94.0837989633,-94.0867972997,-94.0488183718,-94.1257756731,-94.0528161537,-94.0857978542,-94.0608117174,-94.0867972997,-94.0857978542,-94.0867972997,-94.0528161537,-94.0847984088,-94.0518167082,-94.0877967452,-94.1267751186,-94.0877967452,-94.0847984088,-94.0927939725,-94.1267751186,-94.0897956361,-94.0877967452,-94.1257756731,-94.1267751186,-94.0917945271,-94.0488183718,-94.0488183718,-94.0897956361,-94.0488183718,-94.0528161537,-94.0897956361,-94.1247762277,-94.0927939725,235.349,235.346,235.381,235.389,235.367,235.376,235.383,235.378,235.376,235.378,235.367,235.377,235.368,235.392,235.404,235.392,235.377,235.394,235.404,235.377,235.392,235.403,235.404,235.378,235.381,235.381,235.377,235.381,235.367,235.377,235.386,235.394
FLQS308YGRWQ,-64.2925439044,-64.2615446065,-64.146547211,-64.2245454445,-64.1875462824,-64.1885462598,-64.1535470524,-64.2245454445,-64.1885462598,-64.2245454445,-64.1875462824,-64.146547211,-64.2235454671,-64.1455472336,-64.1445472563,-64.1455472336,-64.146547211,-64.1115480036,-64.1445472563,-64.1895462371,-64.1455472336,-64.1525470751,-64.1445472563,-64.2235454671,-64.146547211,-64.146547211,-64.1895462371,-64.146547211,-64.1875462824,-64.1895462371,-64.1905462145,-64.1115480036,-94.2898173464,-94.2908175247,-94.2618123514,-94.3338251955,-94.2618123514,-94.2948182383,-94.265813065,-94.2898173464,-94.2948182383,-94.2898173464,-94.2618123514,-94.2978187735,-94.2588118163,-94.2948182383,-94.3338251955,-94.2948182383,-94.2978187735,-94.2968185951,-94.3338251955,-94.2988189519,-94.2948182383,-94.3338251955,-94.3338251955,-94.2978187735,-94.2618123514,-94.2618123514,-94.2988189519,-94.2618123514,-94.2618123514,-94.2988189519,-94.3338251955,-94.2968185951,235.427,235.44,235.479,235.467,235.462,235.471,235.478,235.455,235.471,235.455,235.462,235.49,235.446,235.489,235.501,235.489,235.49,235.504,235.501,235.472,235.489,235.497,235.501,235.458,235.479,235.479,235.472,235.479,235.462,235.472,235.482,235.504
FLQS3084GRWM,-64.369914731,-64.3349147773,-64.2139149376,-64.2579148793,-64.258914878,-64.2609148754,-64.1799149827,-64.2999148237,-64.2609148754,-64.2999148237,-64.258914878,-64.212914939,-64.255914882,-64.2149149363,-64.2139149376,-64.2149149363,-64.212914939,-64.2239149244,-64.2139149376,-64.2599148767,-64.2149149363,-64.2239149244,-64.2139149376,-64.2979148264,-64.2139149376,-64.2139149376,-64.2599148767,-64.2139149376,-64.258914878,-64.2599148767,-64.2629148727,-64.2239149244,-94.3120750111,-94.2400764806,-94.2460763581,-94.3110750315,-94.2480763173,-94.2800756642,-94.2120770521,-94.2750757662,-94.2800756642,-94.2750757662,-94.2480763173,-94.2450763786,-94.2410764602,-94.2800756642,-94.3160749294,-94.2800756642,-94.2450763786,-94.2860755417,-94.3160749294,-94.2820756234,-94.2800756642,-94.3200748478,-94.3160749294,-94.2800756642,-94.2460763581,-94.2460763581,-94.2820756234,-94.2460763581,-94.2480763173,-94.2820756234,-94.3140749702,-94.2860755417,235.454,235.448,235.5,235.5,235.482,235.49,235.504,235.472,235.49,235.472,235.482,235.5,235.481,235.509,235.519,235.509,235.5,235.507,235.519,235.491,235.509,235.517,235.519,235.474,235.5,235.5,235.491,235.5,235.482,235.491,235.499,235.507
FLQS307KGRWV,-64.0105922997,-63.9775899321,-63.9015844792,-63.9885907213,-63.9035846227,-63.9045846945,-63.8735824703,-63.9395872056,-63.9045846945,-63.9395872056,-63.9035846227,-63.9045846945,-63.9385871339,-63.9055847662,-63.9045846945,-63.9055847662,-63.9045846945,-63.8725823985,-63.9045846945,-63.9065848379,-63.9055847662,-63.8725823985,-63.9045846945,-63.9405872774,-63.9015844792,-63.9015844792,-63.9065848379,-63.9015844792,-63.9035846227,-63.9065848379,-63.9085849814,-63.8725823985,-94.319406036,-94.2884055739,-94.2564050968,-94.3764068857,-94.2594051415,-94.2924056335,-94.2644052161,-94.2894055888,-94.2924056335,-94.2894055888,-94.2594051415,-94.2944056633,-94.2554050819,-94.2954056782,-94.3344062596,-94.2954056782,-94.2944056633,-94.2994057378,-94.3344062596,-94.297405708,-94.2954056782,-94.3364062894,-94.3344062596,-94.2944056633,-94.2564050968,-94.2564050968,-94.297405708,-94.2564050968,-94.2594051415,-94.297405708,-94.3314062149,-94.2994057378,235.548,235.553,235.576,235.573,235.576,235.585,235.59,235.569,235.585,235.569,235.576,235.585,235.56,235.585,235.596,235.585,235.585,235.6,235.596,235.585,235.585,235.61,235.596,235.57,235.576,235.576,235.585,235.576,235.576,235.585,235.594,235.6
FLQS3072GRWV,-63.8602594295,-63.8232650722,-63.7502762051,-63.7902701049,-63.7532757476,-63.7542755951,-63.7172812378,-63.7892702574,-63.7542755951,-63.7892702574,-63.7532757476,-63.7512760526,-63.7882704099,-63.7492763577,-63.7092824579,-63.7492763577,-63.7512760526,-63.6742877956,-63.7092824579,-63.7532757476,-63.7492763577,-63.7152815429,-63.7092824579,-63.7912699524,-63.7502762051,-63.7502762051,-63.7532757476,-63.7502762051,-63.7532757476,-63.7532757476,-63.7552754426,-63.6742877956,-94.3492552796,-94.3522557648,-94.323251075,-94.39026191,-94.3252513985,-94.3542560882,-94.3222509133,-94.3532559265,-94.3542560882,-94.3532559265,-94.3252513985,-94.3562564116,-94.323251075,-94.3552562499,-94.39026191,-94.3552562499,-94.3562564116,-94.3542560882,-94.39026191,-94.3582567351,-94.3552562499,-94.3912620717,-94.39026191,-94.3602570585,-94.323251075,-94.323251075,-94.3582567351,-94.323251075,-94.3252513985,-94.3582567351,-94.3892617483,-94.3542560882,236.212,236.228,236.25,236.252,236.249,236.257,236.264,236.243,236.257,236.243,236.249,236.259,236.234,236.26,236.286,236.26,236.259,236.291,236.286,236.259,236.26,236.284,236.286,236.244,236.25,236.25,236.259,236.25,236.249,236.259,236.267,236.291
FLQS305NGRWM,-64.4088119193,-64.3757904829,-64.2597151309,-64.2987404648,-64.3017424135,-64.3017424135,-64.2657190284,-64.3387664482,-64.3017424135,-64.3387664482,-64.3017424135,-64.2577138318,-64.2987404648,-64.2597151309,-64.2577138318,-64.2597151309,-64.2577138318,-64.2657190284,-64.2577138318,-64.2627170797,-64.2597151309,-64.2657190284,-64.2577138318,-64.2997411144,-64.2597151309,-64.2597151309,-64.2627170797,-64.2597151309,-64.3017424135,-64.2627170797,-64.2647183789,-64.2657190284,-94.3591525479,-94.3581524297,-94.3281488835,-94.3931565669,-94.3261486471,-94.3941566851,-94.335149711,-94.3921564487,-94.3941566851,-94.3921564487,-94.3261486471,-94.3641531389,-94.3221481743,-94.3581524297,-94.3971570398,-94.3581524297,-94.3641531389,-94.3641531389,-94.3971570398,-94.3611527843,-94.3581524297,-94.398157158,-94.3971570398,-94.3581524297,-94.3281488835,-94.3281488835,-94.3611527843,-94.3281488835,-94.3261486471,-94.3611527843,-94.3941566851,-94.3641531389,235.976,235.99,236.03,236.032,236.012,236.031,236.029,236.015,236.031,236.015,236.012,236.041,236.012,236.038,236.05,236.038,236.041,236.037,236.05,236.038,236.038,236.047,236.05,236.021,236.03,236.03,236.038,236.03,236.012,236.038,236.046,236.037
FLQS305DGRWM,-64.2909539045,-64.2599515157,-64.1889460444,-64.2249488185,-64.1889460444,-64.1879459673,-64.1549434243,-64.2259488956,-64.1879459673,-64.2259488956,-64.1889460444,-64.1869458903,-64.2259488956,-64.1879459673,-64.1879459673,-64.1879459673,-64.1869458903,-64.1519431931,-64.1879459673,-64.1889460444,-64.1879459673,-64.1509431161,-64.1879459673,-64.2249488185,-64.1889460444,-64.1889460444,-64.1889460444,-64.1889460444,-64.1889460444,-64.1889460444,-64.1899461214,-64.1519431931,-94.2599454631,-94.2619454832,-94.190944771,-94.3039459045,-94.2319451823,-94.2279451422,-94.1969448312,-94.221945082,-94.2279451422,-94.221945082,-94.2319451823,-94.2269451321,-94.2309451723,-94.2659455233,-94.3009458744,-94.2659455233,-94.2269451321,-94.2689455534,-94.3009458744,-94.2699455635,-94.2659455233,-94.3009458744,-94.3009458744,-94.2679455434,-94.190944771,-94.190944771,-94.2699455635,-94.190944771,-94.2319451823,-94.2699455635,-94.3019458844,-94.2689455534,235.386,235.4,235.409,235.426,235.421,235.42,235.425,235.402,235.42,235.402,235.421,235.42,235.405,235.43,235.441,235.43,235.42,235.447,235.441,235.431,235.43,235.456,235.441,235.416,235.409,235.409,235.431,235.409,235.421,235.431,235.44,235.447
FLQS3057GRWM,-64.1912181195,-64.1582077223,-64.0791828321,-64.1191954347,-64.0851847225,-64.0851847225,-64.048173065,-64.1201957498,-64.0851847225,-64.1201957498,-64.0851847225,-64.0801831471,-64.1191954347,-64.0791828321,-64.078182517,-64.0791828321,-64.0801831471,-64.0441718048,-64.078182517,-64.0831840923,-64.0791828321,-64.0431714897,-64.078182517,-64.1201957498,-64.0791828321,-64.0791828321,-64.0831840923,-64.0791828321,-64.0851847225,-64.0831840923,-64.0861850375,-64.0441718048,-94.3400596576,-94.3400596576,-94.3110371817,-94.3770883336,-94.3090356317,-94.3440627577,-94.3130387318,-94.3410604326,-94.3440627577,-94.3410604326,-94.3090356317,-94.3460643077,-94.3050325315,-94.3420612076,-94.3430619826,-94.3420612076,-94.3460643077,-94.3100364067,-94.3430619826,-94.3430619826,-94.3420612076,-94.3440627577,-94.3430619826,-94.3410604326,-94.3110371817,-94.3110371817,-94.3430619826,-94.3110371817,-94.3090356317,-94.3430619826,-94.3780891087,-94.3100364067,235.456,235.469,235.494,235.496,235.491,235.501,235.508,235.486,235.501,235.486,235.491,235.504,235.476,235.503,235.504,235.503,235.504,235.509,235.504,235.501,235.503,235.518,235.504,235.485,235.494,235.494,235.501,235.494,235.491,235.501,235.51,235.509
FLQS3052GRWY,-64.5790311878,-64.5460316829,-64.466032883,-64.5060322829,-64.5120321929,-64.471032808,-64.4320333931,-64.5070322679,-64.471032808,-64.5070322679,-64.5120321929,-64.467032868,-64.5080322529,-64.466032883,-64.466032883,-64.466032883,-64.467032868,-64.4320333931,-64.466032883,-64.471032808,-64.466032883,-64.4310334081,-64.466032883,-64.5070322679,-64.466032883,-64.466032883,-64.471032808,-64.466032883,-64.5120321929,-64.471032808,-64.473032778,-64.4320333931,-94.1693458571,-94.1693458571,-94.1383503513,-94.204340783,-94.1363506412,-94.1703457121,-94.1423497714,-94.167346147,-94.1703457121,-94.167346147,-94.1363506412,-94.1743451322,-94.1343509312,-94.1703457121,-94.207340348,-94.1703457121,-94.1743451322,-94.1733452772,-94.207340348,-94.1693458571,-94.1703457121,-94.2033409279,-94.207340348,-94.168346002,-94.1383503513,-94.1383503513,-94.1693458571,-94.1383503513,-94.1363506412,-94.1693458571,-94.2023410729,-94.1733452772,235.863,235.876,235.901,235.903,235.881,235.908,235.916,235.892,235.908,235.892,235.881,235.911,235.882,235.91,235.921,235.91,235.911,235.925,235.921,235.908,235.91,235.934,235.921,235.892,235.901,235.901,235.908,235.901,235.881,235.908,235.916,235.925
FLQS304WGRWM,-65.5970879195,-65.6071881701,-65.5314362902,-65.5698172427,-65.5314362902,-65.5324463153,-65.497095438,-65.5698172427,-65.5324463153,-65.5698172427,-65.5314362902,-65.5314362902,-65.5708272678,-65.5314362902,-65.4900252625,-65.5314362902,-65.5314362902,-65.497095438,-65.4900252625,-65.5334563403,-65.5314362902,-65.4950753878,-65.4900252625,-65.5698172427,-65.5314362902,-65.5314362902,-65.5334563403,-65.5314362902,-65.5314362902,-65.5334563403,-65.5354763905,-65.497095438,-94.2094289595,-94.2154305158,-94.1844224752,-94.2554408907,-94.1874232534,-94.221432072,-94.1524141753,-94.2174310345,-94.221432072,-94.2174310345,-94.1874232534,-94.2204318126,-94.1854227346,-94.2224323314,-94.2574414094,-94.2224323314,-94.2204318126,-94.2254331095,-94.2574414094,-94.2234325908,-94.2224323314,-94.2584416688,-94.2574414094,-94.2224323314,-94.1844224752,-94.1844224752,-94.2234325908,-94.1844224752,-94.1874232534,-94.2234325908,-94.2574414094,-94.2254331095,235.779,235.776,235.799,235.803,235.799,235.808,235.804,235.792,235.808,235.792,235.799,235.809,235.783,235.809,235.836,235.809,235.809,235.824,235.836,235.809,235.809,235.834,235.836,235.794,235.799,235.799,235.809,235.799,235.799,235.809,235.817,235.824
FLQS3047GRWM,-64.08304156,-64.0020136902,-63.9319896052,-63.9680019918,-63.9319896052,-63.9309892612,-63.8979779068,-63.9660013037,-63.9309892612,-63.9660013037,-63.9319896052,-63.928988573,-63.9670016477,-63.928988573,-63.9299889171,-63.928988573,-63.928988573,-63.8959772187,-63.9299889171,-63.9329899493,-63.928988573,-63.8959772187,-63.9299889171,-63.9690023359,-63.9319896052,-63.9319896052,-63.9329899493,-63.9319896052,-63.9319896052,-63.9329899493,-63.9339902934,-63.8959772187,-94.2601680921,-94.2131729939,-94.2171725768,-94.2511690307,-94.2211721596,-94.2141728896,-94.1861758099,-94.2101733068,-94.2141728896,-94.2101733068,-94.2211721596,-94.2151727853,-94.2151727853,-94.2151727853,-94.2521689264,-94.2151727853,-94.2151727853,-94.2201722639,-94.2521689264,-94.2201722639,-94.2151727853,-94.2541687178,-94.2521689264,-94.2181724725,-94.2171725768,-94.2171725768,-94.2201722639,-94.2171725768,-94.2211721596,-94.2201722639,-94.2541687178,-94.2201722639,235.634,235.654,235.685,235.679,235.686,235.685,235.69,235.669,235.685,235.669,235.686,235.685,235.67,235.686,235.695,235.686,235.685,235.7,235.695,235.685,235.686,235.71,235.695,235.67,235.685,235.685,235.685,235.685,235.686,235.685,235.694,235.7
FLQS303BGRWM,-64.6823860598,-64.5833502532,-64.5073227653,-64.5483375943,-64.5083231269,-64.5093234886,-64.4743108297,-64.5463368709,-64.5093234886,-64.5463368709,-64.5083231269,-64.5103238503,-64.5463368709,-64.5123245737,-64.549337956,-64.5123245737,-64.5103238503,-64.5153256587,-64.549337956,-64.5103238503,-64.5123245737,-64.4753111914,-64.549337956,-64.5473372326,-64.5073227653,-64.5073227653,-64.5103238503,-64.5073227653,-64.5083231269,-64.5103238503,-64.511324212,-64.5153256587,-94.116483383,-94.0984909375,-94.0814980723,-94.1784573621,-94.0725018495,-94.10648758,-94.0725018495,-94.1004900981,-94.10648758,-94.1004900981,-94.0725018495,-94.10648758,-94.067503948,-94.1414728907,-94.142472471,-94.1414728907,-94.10648758,-94.1474703726,-94.142472471,-94.1074871603,-94.1414728907,-94.1784573621,-94.142472471,-94.10648758,-94.0814980723,-94.0814980723,-94.1074871603,-94.0814980723,-94.0725018495,-94.1074871603,-94.1384741498,-94.1474703726,235.23,235.266,235.292,235.302,235.289,235.298,235.303,235.281,235.298,235.281,235.289,235.298,235.272,235.307,235.292,235.307,235.298,235.307,235.292,235.298,235.307,235.333,235.292,235.283,235.292,235.292,235.298,235.292,235.289,235.298,235.307,235.307
FLQS3024GRWM,-64.5750946847,-64.5440912785,-64.4740835869,-64.5100875426,-64.4720833672,-64.5110876525,-64.4390797412,-64.5090874327,-64.5110876525,-64.5090874327,-64.4720833672,-64.4710832573,-64.5080873228,-64.4750836968,-64.4740835869,-64.4750836968,-64.4710832573,-64.4750836968,-64.4740835869,-64.4730834771,-64.4750836968,-64.4360794115,-64.4740835869,-64.5090874327,-64.4740835869,-64.4740835869,-64.4730834771,-64.4740835869,-64.4720833672,-64.4730834771,-64.5140879821,-64.4750836968,-94.2155557925,-94.2135555897,-94.1815523437,-94.2555598499,-94.184552648,-94.2205562997,-94.1465487935,-94.1725514308,-94.2205562997,-94.1725514308,-94.184552648,-94.2135555897,-94.1815523437,-94.2155557925,-94.2525595456,-94.2155557925,-94.2135555897,-94.223556604,-94.2525595456,-94.223556604,-94.2155557925,-94.2505593428,-94.2525595456,-94.177551938,-94.1815523437,-94.1815523437,-94.223556604,-94.1815523437,-94.184552648,-94.223556604,-94.2575600528,-94.223556604,235.297,235.31,235.33,235.336,235.331,235.325,235.334,235.312,235.325,235.312,235.331,235.34,235.315,235.339,235.35,235.339,235.34,235.341,235.35,235.342,235.339,235.365,235.35,235.314,235.33,235.33,235.342,235.33,235.331,235.342,235.335,235.341
FLQS301GGRWM,-64.5190128499,-64.4860378867,-64.4110947885,-64.4530629235,-64.4130932711,-64.4150917538,-64.3761213427,-64.4490659583,-64.4150917538,-64.4490659583,-64.4130932711,-64.4100955472,-64.4500651996,-64.3751221014,-64.4110947885,-64.3751221014,-64.4100955472,-64.3421471382,-64.4110947885,-64.4170902364,-64.3751221014,-64.3411478969,-64.4110947885,-64.4530629235,-64.4110947885,-64.4110947885,-64.4170902364,-64.4110947885,-64.4130932711,-64.4170902364,-64.419088719,-64.3421471382,-94.2787542989,-94.2777543015,-94.2497543745,-94.3217541868,-94.2497543745,-94.2817542911,-94.2177544579,-94.2787542989,-94.2817542911,-94.2787542989,-94.2497543745,-94.2847542833,-94.2477543797,-94.2847542833,-94.3227541842,-94.2847542833,-94.2847542833,-94.3227541842,-94.3227541842,-94.2877542754,-94.2847542833,-94.357754093,-94.3227541842,-94.2857542807,-94.2497543745,-94.2497543745,-94.2877542754,-94.2497543745,-94.2497543745,-94.2877542754,-94.3207541894,-94.3227541842,235.372,235.385,235.409,235.412,235.408,235.416,235.414,235.401,235.416,235.401,235.408,235.419,235.392,235.433,235.429,235.433,235.419,235.458,235.429,235.417,235.433,235.468,235.429,235.401,235.409,235.409,235.417,235.409,235.408,235.417,235.425,235.458
FLQS301EGRWQ,-64.4219222909,-64.3899178584,-64.3169077466,-64.3549130103,-64.3169077466,-64.3189080237,-64.282903037,-64.3539128717,-64.3189080237,-64.3539128717,-64.3169077466,-64.3179078851,-64.3529127332,-64.3199081622,-64.3199081622,-64.3199081622,-64.3179078851,-64.282903037,-64.3199081622,-64.3159076081,-64.3199081622,-64.28090276,-64.3199081622,-64.3569132873,-64.3169077466,-64.3169077466,-64.3159076081,-64.3169077466,-64.3169077466,-64.3159076081,-64.3179078851,-64.282903037,-94.3313888412,-94.2913869801,-94.2593854912,-94.3283887016,-94.3003873988,-94.3323888877,-94.2623856308,-94.2883868405,-94.3323888877,-94.2883868405,-94.3003873988,-94.2923870266,-94.2573853981,-94.2913869801,-94.3283887016,-94.2913869801,-94.2923870266,-94.2943871196,-94.3283887016,-94.3373891203,-94.2913869801,-94.3283887016,-94.3283887016,-94.2943871196,-94.2593854912,-94.2593854912,-94.3373891203,-94.2593854912,-94.3003873988,-94.3373891203,-94.3693906092,-94.2943871196,236.01,236.012,236.033,236.037,236.045,236.053,236.048,236.026,236.053,236.026,236.045,236.042,236.018,236.041,236.051,236.041,236.042,236.058,236.051,236.056,236.041,236.068,236.051,236.027,236.033,236.033,236.056,236.033,236.045,236.056,236.064,236.058
FLQS300VGRWQ,-64.4730563131,-64.4380421624,-64.315992837,-64.3980259901,-64.3580098179,-64.3590102222,-64.3259968801,-64.4030280117,-64.3590102222,-64.4030280117,-64.3580098179,-64.3169932413,-64.4030280117,-64.315992837,-64.3530077964,-64.315992837,-64.3169932413,-64.2839798992,-64.3530077964,-64.3600106265,-64.315992837,-64.2829794949,-64.3530077964,-64.4030280117,-64.315992837,-64.315992837,-64.3600106265,-64.315992837,-64.3580098179,-64.3600106265,-64.3600106265,-64.2839798992,-94.1367804507,-94.1367804507,-94.0777818418,-94.1617798613,-94.080781771,-94.113780993,-94.0887815824,-94.1367804507,-94.113780993,-94.1367804507,-94.080781771,-94.1127810166,-94.1017812759,-94.113780993,-94.151780097,-94.113780993,-94.1127810166,-94.1197808515,-94.151780097,-94.1197808515,-94.113780993,-94.151780097,-94.151780097,-94.1367804507,-94.0777818418,-94.0777818418,-94.1197808515,-94.0777818418,-94.080781771,-94.1197808515,-94.1867792718,-94.1197808515,235.842,235.856,235.89,235.88,235.874,235.882,235.889,235.871,235.882,235.871,235.874,235.9,235.861,235.9,235.896,235.9,235.9,235.915,235.896,235.884,235.9,235.925,235.896,235.871,235.89,235.89,235.884,235.89,235.874,235.884,235.903,235.915
FLQS300RGRWY,-64.2865606346,-64.2555333362,-64.1824690527,-64.2174998735,-64.1824690527,-64.1814681721,-64.1494399931,-64.2185007541,-64.1814681721,-64.2185007541,-64.1824690527,-64.1834699333,-64.2185007541,-64.1824690527,-64.1814681721,-64.1824690527,-64.1834699333,-64.1504408737,-64.1814681721,-64.1834699333,-64.1824690527,-64.1494399931,-64.1814681721,-64.2174998735,-64.1824690527,-64.1824690527,-64.1834699333,-64.1824690527,-64.1824690527,-64.1834699333,-64.1844708139,-64.1504408737,-94.369853793,-94.3658535449,-94.3328514977,-94.4058560262,-94.3378518079,-94.368853731,-94.340851994,-94.3668536069,-94.368853731,-94.3668536069,-94.3378518079,-94.368853731,-94.3328514977,-94.368853731,-94.4058560262,-94.368853731,-94.368853731,-94.4028558401,-94.4058560262,-94.4038559022,-94.368853731,-94.4378580113,-94.4058560262,-94.368853731,-94.3328514977,-94.3328514977,-94.4038559022,-94.3328514977,-94.3378518079,-94.4038559022,-94.4398581354,-94.4028558401,236.06,236.072,236.093,236.098,236.094,236.103,236.109,236.087,236.103,236.087,236.094,236.103,236.078,236.103,236.114,236.103,236.103,236.126,236.114,236.112,236.103,236.136,236.114,236.088,236.093,236.093,236.112,236.093,236.094,236.112,236.122,236.126
FLQS300LGRWQ,-64.1701579988,-64.1371162098,-64.0239731142,-64.1000693555,-64.0640237675,-64.0660263002,-63.9919325916,-64.0990680892,-64.0660263002,-64.0990680892,-64.0640237675,-64.0600187022,-64.0990680892,-64.0600187022,-64.0229718479,-64.0600187022,-64.0600187022,-63.9889287926,-64.0229718479,-64.0650250339,-64.0600187022,-63.9909313252,-64.0229718479,-64.1000693555,-64.0239731142,-64.0239731142,-64.0650250339,-64.0239731142,-64.0640237675,-64.0650250339,-64.0289794459,-63.9889287926,-94.2989240336,-94.2979239814,-94.2679224148,-94.3339258613,-94.2649222581,-94.2989240336,-94.2669223625,-94.2939237725,-94.2989240336,-94.2939237725,-94.2649222581,-94.300924138,-94.2609220492,-94.2949238247,-94.3339258613,-94.2949238247,-94.300924138,-94.2969239291,-94.3339258613,-94.3019241902,-94.2949238247,-94.3329258091,-94.3339258613,-94.2999240858,-94.2679224148,-94.2679224148,-94.3019241902,-94.2679224148,-94.2649222581,-94.3019241902,-94.3319257568,-94.2969239291,235.603,235.617,235.656,235.642,235.638,235.647,235.668,235.632,235.647,235.632,235.638,235.65,235.623,235.648,235.675,235.648,235.65,235.678,235.675,235.648,235.648,235.688,235.675,235.633,235.656,235.656,235.648,235.656,235.638,235.648,235.671,235.678
FLQS300LGRWM,-64.0933527856,-64.0613391233,-63.9843062484,-64.0243233263,-63.9873075292,-63.9883079562,-64.0013135065,-64.0233228993,-63.9883079562,-64.0233228993,-63.9873075292,-63.9843062484,-64.0223224724,-63.9843062484,-63.9823053945,-63.9843062484,-63.9843062484,-63.9142763621,-63.9823053945,-63.9502917322,-63.9843062484,-63.9142763621,-63.9823053945,-64.0243233263,-63.9843062484,-63.9843062484,-63.9502917322,-63.9843062484,-63.9873075292,-63.9502917322,-63.9522925861,-63.9142763621,-94.3643793206,-94.3643793206,-94.3323771571,-94.4023818897,-94.3323771571,-94.3663794558,-94.3763801319,-94.3623791854,-94.3663794558,-94.3623791854,-94.3323771571,-94.3663794558,-94.3303770219,-94.3653793882,-94.4033819573,-94.3653793882,-94.3663794558,-94.3663794558,-94.4033819573,-94.3673795234,-94.3653793882,-94.4023818897,-94.4033819573,-94.368379591,-94.3323771571,-94.3323771571,-94.3673795234,-94.3323771571,-94.3323771571,-94.3673795234,-94.4003817544,-94.3663794558,235.574,235.587,235.61,235.613,235.609,235.618,235.615,235.602,235.618,235.602,235.609,235.62,235.593,235.619,235.631,235.619,235.62,235.649,235.631,235.634,235.619,235.659,235.631,235.604,235.61,235.61,235.634,235.61,235.609,235.634,235.642,235.649
