SN	Distance_X_LOGO_Motor1	Distance_X_LOGO_motor2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Motor1	Distance_Y_LOGO_motor2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Motor1	Angle_motor2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS2044GRWY____	-23.360	-23.248	-23.320	-23.327	-23.427	-23.421	-23.357	-23.321	-23.388	-23.321	-23.356	-23.358	-23.286	-23.318	-23.287	-23.287	-23.314	-23.351	-23.285	-23.287	-23.358	-23.321	-23.358	-23.324	-23.289	-23.324	-23.357	-23.354	-23.282	-23.252	-23.282	-23.285	-138.374	-138.464	-138.514	-138.336	-138.552	-138.506	-138.474	-138.472	-138.481	-138.445	-138.406	-138.371	-138.449	-138.443	-138.404	-138.404	-138.374	-138.402	-138.414	-138.369	-138.371	-138.333	-138.371	-138.305	-138.340	-138.372	-138.413	-138.304	-138.369	-138.406	-138.335	-138.410	260.073	260.124	260.098	260.083	260.058	260.057	260.081	260.095	260.069	260.093	260.076	260.073	260.108	260.094	260.104	260.104	260.091	260.078	260.106	260.102	260.073	260.086	260.073	260.083	260.099	260.087	260.077	260.071	260.104	260.118	260.101	260.105	2016_7_19_16_58_20
FLQS312SGRWV____	-23.536	-23.401	-23.468	-23.506	-23.608	-23.572	-23.537	-23.501	-23.538	-23.503	-23.508	-23.544	-23.466	-23.468	-23.467	-23.467	-23.469	-23.502	-23.467	-23.468	-23.544	-23.503	-23.544	-23.504	-23.467	-23.509	-23.507	-23.507	-23.404	-23.403	-23.403	-23.468	-138.431	-138.516	-138.571	-138.393	-138.575	-138.537	-138.503	-138.502	-138.508	-138.469	-138.437	-138.403	-138.472	-138.470	-138.435	-138.435	-138.394	-138.435	-138.437	-138.400	-138.403	-138.364	-138.403	-138.324	-138.360	-138.403	-138.439	-138.323	-138.401	-138.436	-138.366	-138.434	260.006	260.066	260.043	260.015	259.987	259.998	260.010	260.025	260.010	260.022	260.017	260.001	260.037	260.036	260.034	260.034	260.030	260.019	260.034	260.031	260.001	260.014	260.001	260.011	260.029	260.015	260.018	260.010	260.057	260.059	260.055	260.033	2016_7_19_16_58_20
FLQS31J6GRWY____	-23.592	-23.454	-23.498	-23.526	-23.636	-23.602	-23.566	-23.529	-23.565	-23.530	-23.562	-23.568	-23.494	-23.494	-23.496	-23.496	-23.519	-23.559	-23.494	-23.525	-23.568	-23.530	-23.568	-23.530	-23.495	-23.563	-23.562	-23.557	-23.462	-23.462	-23.461	-23.495	-138.444	-138.538	-138.587	-138.445	-138.630	-138.583	-138.550	-138.547	-138.559	-138.523	-138.479	-138.446	-138.525	-138.522	-138.478	-138.478	-138.445	-138.477	-138.490	-138.444	-138.446	-138.407	-138.446	-138.376	-138.412	-138.445	-138.492	-138.375	-138.444	-138.480	-138.409	-138.488	259.984	260.046	260.032	260.011	259.979	259.990	260.002	260.017	260.003	260.014	259.999	259.994	260.029	260.029	260.025	260.025	260.013	260.000	260.027	260.011	259.994	260.007	259.994	260.005	260.021	259.996	259.999	259.993	260.036	260.039	260.035	260.026	2016_7_19_16_58_05
FLQS31FWGRWY____	-23.357	-23.249	-23.310	-23.350	-23.425	-23.388	-23.353	-23.347	-23.353	-23.318	-23.352	-23.355	-23.284	-23.283	-23.282	-23.282	-23.287	-23.318	-23.283	-23.284	-23.355	-23.317	-23.355	-23.319	-23.283	-23.321	-23.317	-23.350	-23.250	-23.249	-23.247	-23.283	-138.390	-138.479	-138.563	-138.388	-138.565	-138.526	-138.492	-138.490	-138.496	-138.458	-138.425	-138.391	-138.462	-138.458	-138.423	-138.423	-138.387	-138.422	-138.426	-138.387	-138.391	-138.351	-138.391	-138.319	-138.354	-138.391	-138.426	-138.318	-138.388	-138.423	-138.352	-138.423	260.075	260.124	260.106	260.078	260.059	260.072	260.083	260.086	260.084	260.095	260.079	260.076	260.109	260.109	260.107	260.107	260.103	260.093	260.107	260.104	260.076	260.088	260.076	260.085	260.102	260.090	260.093	260.073	260.118	260.121	260.117	260.107	2016_7_19_16_58_05
FLQS31CRGRWY____	-23.006	-22.891	-22.958	-23.000	-23.072	-23.037	-23.002	-22.965	-23.032	-22.967	-22.999	-23.034	-22.932	-22.962	-22.961	-22.961	-22.937	-22.996	-22.931	-22.961	-23.034	-22.966	-23.034	-22.967	-22.932	-22.999	-22.999	-23.001	-22.897	-22.897	-22.895	-22.963	-138.330	-138.457	-138.506	-138.329	-138.548	-138.501	-138.469	-138.467	-138.479	-138.442	-138.400	-138.365	-138.445	-138.443	-138.402	-138.402	-138.367	-138.396	-138.410	-138.362	-138.365	-138.327	-138.365	-138.299	-138.334	-138.366	-138.412	-138.258	-138.364	-138.399	-138.329	-138.408	260.220	260.275	260.252	260.223	260.208	260.219	260.231	260.246	260.220	260.244	260.228	260.211	260.258	260.246	260.243	260.243	260.251	260.229	260.256	260.241	260.211	260.236	260.211	260.234	260.250	260.226	260.229	260.218	260.266	260.269	260.265	260.243	2016_7_19_16_58_06
FLQS319LGRWY____	-23.475	-23.360	-23.406	-23.434	-23.540	-23.505	-23.471	-23.434	-23.470	-23.434	-23.439	-23.474	-23.398	-23.398	-23.400	-23.400	-23.398	-23.434	-23.400	-23.402	-23.474	-23.437	-23.474	-23.435	-23.398	-23.439	-23.437	-23.435	-23.369	-23.366	-23.367	-23.399	-138.386	-138.480	-138.527	-138.387	-138.566	-138.525	-138.492	-138.490	-138.497	-138.460	-138.425	-138.391	-138.462	-138.459	-138.423	-138.423	-138.387	-138.422	-138.427	-138.388	-138.391	-138.351	-138.391	-138.317	-138.353	-138.391	-138.430	-138.317	-138.388	-138.423	-138.353	-138.425	260.023	260.076	260.060	260.039	260.009	260.020	260.032	260.046	260.033	260.044	260.040	260.024	260.059	260.059	260.056	260.056	260.054	260.042	260.056	260.052	260.024	260.036	260.024	260.034	260.052	260.038	260.041	260.034	260.066	260.069	260.064	260.056	2016_7_19_16_58_06
FLQS319HGRWY____	-23.342	-23.234	-23.289	-23.303	-23.414	-23.377	-23.340	-23.307	-23.342	-23.307	-23.310	-23.375	-23.273	-23.271	-23.273	-23.273	-23.299	-23.337	-23.273	-23.273	-23.375	-23.307	-23.375	-23.305	-23.270	-23.308	-23.307	-23.305	-23.239	-23.238	-23.236	-23.272	-138.306	-138.400	-138.479	-138.307	-138.492	-138.444	-138.411	-138.411	-138.424	-138.386	-138.346	-138.309	-138.393	-138.387	-138.343	-138.343	-138.308	-138.341	-138.358	-138.307	-138.309	-138.270	-138.309	-138.238	-138.274	-138.312	-138.356	-138.238	-138.307	-138.344	-138.273	-138.352	260.079	260.129	260.112	260.095	260.063	260.074	260.087	260.101	260.087	260.099	260.095	260.066	260.113	260.113	260.110	260.110	260.097	260.084	260.111	260.107	260.066	260.091	260.066	260.090	260.106	260.093	260.097	260.090	260.121	260.124	260.120	260.111	2016_7_19_16_58_06
FLQS317CGRWY____	-23.135	-23.010	-23.057	-23.092	-23.190	-23.155	-23.120	-23.082	-23.120	-23.053	-23.093	-23.125	-23.017	-23.050	-23.021	-23.021	-23.048	-23.086	-23.047	-23.050	-23.125	-23.086	-23.125	-23.057	-23.049	-23.091	-23.089	-23.085	-23.017	-22.987	-22.986	-23.049	-138.337	-138.464	-138.516	-138.336	-138.549	-138.507	-138.473	-138.469	-138.477	-138.442	-138.383	-138.368	-138.445	-138.442	-138.403	-138.403	-138.375	-138.381	-138.377	-138.368	-138.368	-138.333	-138.368	-138.305	-138.341	-138.348	-138.380	-138.305	-138.347	-138.405	-138.334	-138.378	260.169	260.228	260.212	260.186	260.161	260.172	260.184	260.199	260.185	260.209	260.189	260.175	260.224	260.210	260.219	260.219	260.207	260.191	260.207	260.205	260.175	260.188	260.175	260.198	260.204	260.187	260.190	260.187	260.217	260.233	260.229	260.206	2016_7_19_16_58_06
FLQS3160GRWY____	-23.266	-23.115	-23.184	-23.190	-23.327	-23.294	-23.258	-23.224	-23.256	-23.221	-23.225	-23.260	-23.186	-23.185	-23.188	-23.188	-23.182	-23.223	-23.187	-23.190	-23.260	-23.225	-23.260	-23.217	-23.182	-23.225	-23.223	-23.225	-23.156	-23.154	-23.155	-23.186	-138.542	-138.670	-138.721	-138.543	-138.731	-138.694	-138.660	-138.655	-138.687	-138.651	-138.589	-138.556	-138.653	-138.651	-138.588	-138.588	-138.582	-138.587	-138.617	-138.555	-138.556	-138.518	-138.556	-138.512	-138.548	-138.555	-138.619	-138.471	-138.554	-138.589	-138.519	-138.616	260.130	260.199	260.175	260.161	260.118	260.129	260.141	260.154	260.144	260.155	260.150	260.133	260.170	260.170	260.164	260.164	260.166	260.150	260.167	260.162	260.133	260.145	260.133	260.148	260.164	260.147	260.153	260.142	260.175	260.178	260.173	260.167	2016_7_19_16_58_06
FLQS3126GRWV____	-23.682	-23.543	-23.614	-23.646	-23.751	-23.717	-23.681	-23.643	-23.681	-23.647	-23.650	-23.684	-23.609	-23.611	-23.611	-23.611	-23.611	-23.646	-23.609	-23.579	-23.684	-23.615	-23.684	-23.647	-23.610	-23.651	-23.648	-23.647	-23.547	-23.547	-23.546	-23.611	-138.457	-138.580	-138.599	-138.458	-138.648	-138.603	-138.569	-138.568	-138.580	-138.541	-138.502	-138.488	-138.544	-138.542	-138.501	-138.501	-138.459	-138.500	-138.509	-138.466	-138.488	-138.429	-138.488	-138.389	-138.425	-138.468	-138.510	-138.387	-138.465	-138.501	-138.430	-138.507	259.940	260.005	259.977	259.955	259.926	259.936	259.948	259.963	259.949	259.960	259.956	259.942	259.976	259.974	259.972	259.972	259.969	259.958	259.973	259.982	259.942	259.965	259.942	259.950	259.967	259.953	259.958	259.949	259.995	259.998	259.993	259.972	2016_7_19_16_58_06
