SN	Distance_X_LOGO_MainBoard_RD1	Distance_X_LOGO_MainBoard_RD2	Distance_X_LOGO_MainBoard_RD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RD1	Distance_Y_LOGO_MainBoard_RD2	Distance_Y_LOGO_MainBoard_RD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RD1	Angle_MainBoard_RD2	Angle_MainBoard_RD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS3126GRWV____	-64.379	-64.349	-64.268	-64.312	-64.273	-64.273	-64.235	-64.313	-64.273	-64.313	-64.273	-64.270	-64.313	-64.271	-64.271	-64.271	-64.270	-64.233	-64.271	-64.315	-64.271	-64.233	-64.271	-64.314	-64.268	-64.268	-64.315	-64.268	-64.273	-64.315	-64.275	-64.233	-94.340	-94.304	-94.314	-94.379	-94.314	-94.344	-94.278	-94.305	-94.344	-94.305	-94.314	-94.308	-94.312	-94.304	-94.340	-94.304	-94.308	-94.347	-94.340	-94.354	-94.304	-94.379	-94.340	-94.308	-94.314	-94.314	-94.354	-94.314	-94.314	-94.354	-94.379	-94.347	235.374	235.376	235.413	235.413	235.410	235.419	235.416	235.391	235.419	235.391	235.410	235.410	235.393	235.409	235.419	235.409	235.410	235.436	235.419	235.404	235.409	235.446	235.419	235.392	235.413	235.413	235.404	235.413	235.410	235.404	235.428	235.436	2016_7_19_17_00_03
FLQS3115GRWV____	-64.510	-64.476	-64.401	-64.441	-64.405	-64.406	-64.367	-64.439	-64.406	-64.439	-64.405	-64.402	-64.441	-64.361	-64.399	-64.361	-64.402	-64.370	-64.399	-64.405	-64.361	-64.367	-64.399	-64.441	-64.401	-64.401	-64.405	-64.401	-64.405	-64.405	-64.406	-64.370	-94.132	-94.100	-94.097	-94.169	-94.067	-94.134	-94.098	-94.132	-94.134	-94.132	-94.067	-94.132	-94.067	-94.094	-94.131	-94.094	-94.132	-94.099	-94.131	-94.102	-94.094	-94.132	-94.131	-94.101	-94.097	-94.097	-94.102	-94.097	-94.067	-94.102	-94.139	-94.099	235.311	235.316	235.346	235.350	235.336	235.355	235.361	235.340	235.355	235.340	235.336	235.355	235.321	235.362	235.356	235.362	235.355	235.360	235.356	235.346	235.362	235.370	235.356	235.331	235.346	235.346	235.346	235.346	235.336	235.346	235.356	235.360	2016_7_19_17_00_03
FLQS310RGRWV____	-64.011	-63.979	-63.901	-63.942	-63.906	-63.906	-63.873	-63.941	-63.906	-63.941	-63.906	-63.899	-63.940	-63.864	-63.902	-63.864	-63.899	-63.828	-63.902	-63.906	-63.864	-63.869	-63.902	-63.942	-63.901	-63.901	-63.906	-63.901	-63.906	-63.906	-63.907	-63.828	-94.339	-94.310	-94.302	-94.381	-94.310	-94.344	-94.315	-94.308	-94.344	-94.308	-94.310	-94.306	-94.273	-94.304	-94.344	-94.304	-94.306	-94.310	-94.344	-94.310	-94.304	-94.375	-94.344	-94.311	-94.302	-94.302	-94.310	-94.302	-94.310	-94.310	-94.345	-94.310	235.589	235.594	235.624	235.629	235.624	235.634	235.639	235.609	235.634	235.609	235.624	235.626	235.600	235.640	235.635	235.640	235.626	235.657	235.635	235.624	235.640	235.658	235.635	235.609	235.624	235.624	235.624	235.624	235.624	235.624	235.633	235.657	2016_7_19_17_00_03
FLQS3106GRWV____	-64.307	-64.274	-64.192	-64.238	-64.199	-64.201	-64.160	-64.236	-64.201	-64.236	-64.199	-64.193	-64.235	-64.194	-64.193	-64.194	-64.193	-64.158	-64.193	-64.201	-64.194	-64.158	-64.193	-64.238	-64.192	-64.192	-64.201	-64.192	-64.199	-64.201	-64.203	-64.158	-94.281	-94.283	-94.253	-94.321	-94.253	-94.288	-94.259	-94.285	-94.288	-94.285	-94.253	-94.290	-94.252	-94.287	-94.325	-94.287	-94.290	-94.293	-94.325	-94.290	-94.287	-94.327	-94.325	-94.287	-94.253	-94.253	-94.290	-94.253	-94.253	-94.290	-94.323	-94.293	235.363	235.377	235.403	235.403	235.400	235.409	235.418	235.394	235.409	235.394	235.400	235.413	235.385	235.412	235.423	235.412	235.413	235.428	235.423	235.410	235.412	235.438	235.423	235.393	235.403	235.403	235.410	235.403	235.400	235.410	235.418	235.428	2016_7_19_17_00_03
FLQS30ZQGRWV____	-64.158	-64.124	-64.052	-64.089	-64.055	-64.054	-64.020	-64.089	-64.054	-64.089	-64.055	-64.050	-64.089	-64.052	-64.052	-64.052	-64.050	-64.018	-64.052	-64.054	-64.052	-64.017	-64.052	-64.092	-64.052	-64.052	-64.054	-64.052	-64.055	-64.054	-64.054	-64.018	-94.316	-94.280	-94.244	-94.362	-94.253	-94.286	-94.254	-94.282	-94.286	-94.282	-94.253	-94.281	-94.248	-94.320	-94.278	-94.320	-94.281	-94.288	-94.278	-94.328	-94.320	-94.359	-94.278	-94.325	-94.244	-94.244	-94.328	-94.244	-94.253	-94.328	-94.324	-94.288	236.081	236.085	236.105	236.123	236.106	236.116	236.121	236.100	236.116	236.100	236.106	236.116	236.091	236.126	236.115	236.126	236.116	236.132	236.115	236.128	236.126	236.152	236.115	236.111	236.105	236.105	236.128	236.105	236.106	236.128	236.127	236.132	2016_7_19_17_00_03
FLQS30YUGRWV____	-64.241	-64.212	-64.135	-64.217	-64.138	-64.138	-64.101	-64.174	-64.138	-64.174	-64.138	-64.136	-64.173	-64.135	-64.135	-64.135	-64.136	-64.100	-64.135	-64.139	-64.135	-64.099	-64.135	-64.217	-64.135	-64.135	-64.139	-64.135	-64.138	-64.139	-64.138	-64.100	-94.201	-94.202	-94.140	-94.249	-94.143	-94.210	-94.145	-94.172	-94.210	-94.172	-94.143	-94.176	-94.173	-94.174	-94.214	-94.174	-94.176	-94.178	-94.214	-94.176	-94.174	-94.215	-94.214	-94.176	-94.140	-94.140	-94.176	-94.140	-94.143	-94.176	-94.213	-94.178	235.512	235.525	235.539	235.536	235.539	235.558	235.555	235.532	235.558	235.532	235.539	235.549	235.533	235.549	235.560	235.549	235.549	235.565	235.560	235.548	235.549	235.575	235.560	235.515	235.539	235.539	235.548	235.539	235.539	235.548	235.559	235.565	2016_7_19_17_00_03
FLQS30X6GRWY____	-64.501	-64.469	-64.398	-64.436	-64.396	-64.397	-64.363	-64.434	-64.397	-64.434	-64.396	-64.398	-64.433	-64.399	-64.398	-64.399	-64.398	-64.365	-64.398	-64.396	-64.399	-64.360	-64.398	-64.434	-64.398	-64.398	-64.396	-64.398	-64.396	-64.396	-64.397	-64.365	-94.196	-94.193	-94.163	-94.234	-94.163	-94.195	-94.162	-94.192	-94.195	-94.192	-94.163	-94.197	-94.160	-94.197	-94.231	-94.197	-94.197	-94.198	-94.231	-94.201	-94.197	-94.232	-94.231	-94.199	-94.163	-94.163	-94.201	-94.163	-94.163	-94.201	-94.233	-94.198	235.276	235.289	235.309	235.314	235.310	235.319	235.324	235.303	235.319	235.303	235.310	235.319	235.294	235.319	235.329	235.319	235.319	235.333	235.329	235.321	235.319	235.345	235.329	235.305	235.309	235.309	235.321	235.309	235.310	235.321	235.329	235.333	2016_7_19_17_00_04
FLQS30X6GRWV____	-63.870	-63.796	-63.764	-63.800	-63.764	-63.725	-63.687	-63.801	-63.725	-63.801	-63.764	-63.723	-63.760	-63.763	-63.723	-63.763	-63.723	-63.686	-63.723	-63.762	-63.763	-63.688	-63.723	-63.800	-63.764	-63.764	-63.762	-63.764	-63.764	-63.762	-63.764	-63.686	-94.375	-94.306	-94.342	-94.343	-94.306	-94.308	-94.276	-94.304	-94.308	-94.304	-94.306	-94.308	-94.305	-94.335	-94.344	-94.335	-94.308	-94.306	-94.344	-94.343	-94.335	-94.376	-94.344	-94.340	-94.342	-94.342	-94.343	-94.342	-94.306	-94.343	-94.377	-94.306	236.190	236.201	236.225	236.210	236.214	236.231	236.238	236.198	236.231	236.198	236.214	236.232	236.216	236.223	236.242	236.223	236.232	236.247	236.242	236.226	236.223	236.266	236.242	236.209	236.225	236.225	236.226	236.225	236.214	236.226	236.234	236.247	2016_7_19_17_00_04
FLQS30WFGRWV____	-64.177	-64.146	-64.066	-64.106	-64.109	-64.109	-64.036	-64.105	-64.109	-64.105	-64.109	-64.068	-64.107	-64.069	-64.069	-64.069	-64.068	-64.072	-64.069	-64.109	-64.069	-64.035	-64.069	-64.108	-64.066	-64.066	-64.109	-64.066	-64.109	-64.109	-64.111	-64.072	-94.152	-94.153	-94.120	-94.186	-94.123	-94.152	-94.123	-94.148	-94.152	-94.148	-94.123	-94.154	-94.117	-94.150	-94.187	-94.150	-94.154	-94.155	-94.187	-94.158	-94.150	-94.188	-94.187	-94.155	-94.120	-94.120	-94.158	-94.120	-94.123	-94.158	-94.191	-94.155	235.513	235.526	235.550	235.552	235.533	235.541	235.563	235.542	235.541	235.542	235.533	235.559	235.532	235.557	235.568	235.557	235.559	235.557	235.568	235.543	235.557	235.582	235.568	235.542	235.550	235.550	235.543	235.550	235.533	235.543	235.551	235.557	2016_7_19_17_00_04
FLQS30VBGRWV____	-64.235	-64.203	-64.124	-64.167	-64.169	-64.129	-64.091	-64.164	-64.129	-64.164	-64.169	-64.126	-64.165	-64.125	-64.123	-64.125	-64.126	-64.091	-64.123	-64.168	-64.125	-64.129	-64.123	-64.207	-64.124	-64.124	-64.168	-64.124	-64.169	-64.168	-64.170	-64.091	-94.324	-94.297	-94.265	-94.333	-94.300	-94.298	-94.270	-94.296	-94.298	-94.296	-94.300	-94.300	-94.262	-94.295	-94.332	-94.295	-94.300	-94.298	-94.332	-94.300	-94.295	-94.338	-94.332	-94.301	-94.265	-94.265	-94.300	-94.265	-94.300	-94.300	-94.335	-94.298	235.541	235.546	235.570	235.572	235.562	235.578	235.585	235.562	235.578	235.562	235.562	235.580	235.553	235.578	235.589	235.578	235.580	235.593	235.589	235.562	235.578	235.589	235.589	235.546	235.570	235.570	235.562	235.570	235.562	235.562	235.571	235.593	2016_7_19_17_00_04
FLQS30UFGRWV____	-64.238	-64.208	-64.133	-64.171	-64.134	-64.171	-64.138	-64.170	-64.171	-64.170	-64.134	-64.134	-64.170	-64.132	-64.133	-64.132	-64.134	-64.098	-64.133	-64.174	-64.132	-64.100	-64.133	-64.173	-64.133	-64.133	-64.174	-64.133	-64.134	-64.174	-64.135	-64.098	-94.252	-94.250	-94.219	-94.289	-94.219	-94.290	-94.225	-94.250	-94.290	-94.250	-94.219	-94.253	-94.216	-94.248	-94.286	-94.248	-94.253	-94.253	-94.286	-94.256	-94.248	-94.291	-94.286	-94.253	-94.219	-94.219	-94.256	-94.219	-94.219	-94.256	-94.291	-94.253	235.519	235.531	235.553	235.557	235.553	235.557	235.553	235.547	235.557	235.547	235.553	235.562	235.537	235.561	235.572	235.561	235.562	235.577	235.572	235.547	235.561	235.587	235.572	235.546	235.553	235.553	235.547	235.553	235.553	235.547	235.573	235.577	2016_7_19_17_00_04
