,Distance_X_LOGO_Battery_Up1,Distance_X_LOGO_Battery_Up2,Distance_X_LOGO_Battery_Up3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Battery_Up1,Distance_Y_LOGO_Battery_Up2,Distance_Y_LOGO_Battery_Up3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Battery_Up1,Angle_Battery_Up2,Angle_Battery_Up3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS2044GRWY,-25.6918191933,-25.9817156006,-25.9817156006,-25.623843484,-25.8217727552,-25.5428724184,-25.558866703,-25.5428724184,-26.012704527,-25.5578670602,-25.9007445351,-26.1276634471,-26.0466923816,-25.7178099057,-25.6828224082,-25.5508695607,-25.5268781339,-25.6298413407,-25.9747181012,-25.4998877787,-26.058688095,-25.8067781134,-25.5168817061,-25.5048859927,-25.7787881155,-25.6858213366,-25.8897484645,-25.6858213366,-25.9027438207,-25.3719335024,-25.822772398,-25.8247716836,125.347749014,125.340748135,125.024708427,125.260738082,125.017707547,125.111719359,125.284741098,125.006706165,124.916694856,125.076714961,125.532772261,125.334747381,125.324746124,124.958700133,124.941697997,125.186728783,125.147723883,125.185728658,125.398755423,125.209731674,125.335747506,125.197730166,125.269739213,125.017707547,125.034709683,125.326746376,125.050711694,125.326746376,125.129721621,125.524771256,124.985703526,125.204731045,101.724,101.852,101.88,101.702,101.811,101.68,101.671,101.689,101.904,101.689,101.799,101.916,101.882,101.77,101.756,101.677,101.669,101.711,101.843,101.652,101.886,101.788,101.654,101.671,101.79,101.723,101.838,101.723,101.836,101.567,101.814,101.795
FLQS312SGRWV,-25.5738722886,-25.5518646535,-25.9660083315,-25.5148518127,-25.8779777913,-25.4848414013,-25.43782509,-25.4738375838,-25.705918099,-25.1987421455,-25.9119895909,-25.7409302456,-25.9650079845,-25.7229239988,-25.499846607,-25.4288219666,-24.7055710507,-25.5728719415,-25.5128511186,-25.4118160668,-26.0910517125,-25.6919132403,-25.4078146786,-25.1147129934,-25.5688705533,-25.4928441777,-25.8259597447,-25.4928441777,-25.5318577126,-25.9540041669,-25.5128511186,-25.3908087788,125.974445498,125.991445963,125.96244517,125.837441751,125.923444103,125.706438168,125.878442872,125.764439754,125.677437375,125.754439481,125.99244599,125.849442079,125.922444076,125.796440629,125.678437402,125.749439344,125.772439973,125.814441122,125.917443939,125.956445006,125.856442271,125.780440192,126.020446756,125.823441368,125.602435323,125.820441286,125.752439426,125.820441286,125.681437484,125.99244599,125.620435816,125.794440575,101.58,101.569,101.752,101.567,101.718,101.565,101.529,101.555,101.664,101.435,101.726,101.664,101.756,101.661,101.574,101.537,101.218,101.594,101.558,101.511,101.816,101.649,101.504,101.393,101.611,101.558,101.71,101.558,101.588,101.744,101.585,101.516
FLQS31J6GRWY,-25.8247036296,-26.4103772727,-25.969870601,-25.6354859911,-25.4612856254,-26.2131504219,-25.7165792647,-25.5343696869,-25.7786506594,-25.8687542968,-26.5425292742,-26.1210444815,-26.4083749696,-26.141067512,-25.6975573857,-25.4722982922,-25.8437255086,-25.745612659,-26.5215050921,-25.7506184166,-26.2171550281,-26.2021377552,-26.026936238,-25.5013316865,-25.8847727212,-25.7366022953,-25.950848722,-25.7366022953,-26.0299396926,-25.6765332037,-25.7085700525,-25.838719751,125.820708317,125.788707882,125.682706443,125.615705533,125.777707733,125.579705044,125.634705791,125.540704515,125.450703293,125.471703578,125.801708059,125.717706918,125.721706972,125.597705289,125.3997026,125.564704841,125.707706782,125.594705248,125.721706972,125.732707122,125.716706905,125.650706008,125.720706959,125.546704596,125.326701609,125.663706185,125.468703537,125.663706185,125.460703429,125.852708751,125.402702641,125.60070533,101.67,101.927,101.745,101.605,101.514,101.861,101.639,101.568,101.682,101.72,101.984,101.808,101.933,101.828,101.652,101.538,101.688,101.655,101.982,101.645,101.85,101.85,101.767,101.552,101.74,101.645,101.756,101.645,101.791,101.602,101.656,101.695
FLQS31FWGRWY,-25.5964603227,-25.7604632721,-25.6774617794,-25.5334591897,-25.4984585602,-25.4814582545,-25.9594668509,-25.3734563122,-25.6084605385,-25.4624579128,-25.5534595494,-25.89046561,-25.9264662574,-25.7534631462,-25.7984639555,-25.4974585422,-25.6724616895,-25.5884601788,-25.9334663833,-25.4614578948,-26.2304717246,-25.7094623549,-25.2434539743,-25.6224607903,-25.4824582725,-25.5094587581,-25.4764581646,-25.5094587581,-25.6144606464,-25.7354628225,-25.4784582005,-25.7804636318,125.983960777,125.969959226,125.840944929,125.779938169,125.872948476,125.687927973,125.737933514,125.644923207,125.557913566,125.632921877,125.873948587,125.740933847,125.807941272,125.675926643,125.565914452,125.689928195,125.799940385,125.690928305,125.806941161,125.80594105,125.743934179,125.667925756,125.893950803,125.654924316,125.483905364,125.726932295,125.627921323,125.726932295,125.559913787,125.943956344,125.560913898,125.556913455,101.465,101.538,101.513,101.456,101.432,101.441,101.645,101.397,101.508,101.437,101.456,101.615,101.625,101.561,101.591,101.448,101.514,101.487,101.628,101.422,101.763,101.543,101.318,101.505,101.46,101.449,101.444,101.449,101.511,101.529,101.451,101.583
FLQS31CRGRWY,-26.1373769426,-26.3624749221,-26.3534710029,-25.8922702538,-25.7832227882,-25.7071896929,-25.8772637219,-25.7402040632,-26.4585167267,-25.6871809836,-26.293444875,-26.4385080174,-26.6536016422,-26.2414222309,-26.1283730234,-25.929286366,-25.9683033491,-25.9432924625,-26.801666091,-26.224414828,-26.3114527134,-25.7081901284,-26.6806133998,-25.6841796772,-25.6981857737,-25.9322876724,-25.7011870801,-25.9322876724,-25.7071896929,-26.1743930548,-25.7071896929,-26.1773943612,126.054063322,126.051062915,125.858036786,125.792027851,125.676012147,125.770024873,125.771025008,125.715017427,125.694014583,125.711016885,125.982053574,125.682012959,125.6210047,125.714017291,125.63400646,125.769024737,125.838034079,125.771025008,125.746021623,125.693014448,125.834033537,125.702015667,125.994055199,125.717017697,125.558996307,125.837033943,125.704015937,125.837033943,125.631006054,125.98505398,125.636006731,125.709016614,101.719,101.817,101.831,101.636,101.598,101.557,101.631,101.577,101.892,101.553,101.793,101.884,101.984,101.796,101.753,101.654,101.665,101.66,102.037,101.79,101.815,101.564,101.961,101.552,101.572,101.649,101.56,101.649,101.569,101.742,101.569,101.768
FLQS319LGRWY,-25.8139264698,-26.0441130742,-25.857962168,-25.687824243,-25.8779783945,-25.8769775832,-25.7018356015,-25.5507130917,-26.0571236214,-25.6367828655,-26.0030798099,-25.9750570929,-26.1061633763,-25.8129256584,-25.7518761677,-25.8499556774,-25.994072508,-25.7408672431,-26.1782217916,-25.8009159226,-26.1101666216,-25.8689710926,-25.4286141102,-25.548711469,-25.8749759605,-25.5697285068,-25.7738940168,-25.5697285068,-26.0791414705,-25.9210132814,-25.8279378283,-25.6347812428,125.507965891,125.556971734,125.469961359,125.404953607,125.489963744,125.278938581,125.34694669,125.331944901,125.137921766,125.210930471,125.560972211,125.422955754,125.420955515,125.33394514,125.14592272,125.282939058,125.421955635,125.278938581,125.49496434,125.432956946,125.422955754,125.351947287,125.484963148,125.334945259,125.060912583,125.397952772,125.205929875,125.397952772,125.138921885,125.557971854,125.190928086,125.287939654,101.685,101.781,101.708,101.639,101.715,101.733,101.65,101.585,101.825,101.634,101.763,101.763,101.821,101.7,101.691,101.721,101.772,101.674,101.846,101.686,101.823,101.723,101.518,101.584,101.752,101.588,101.694,101.588,101.835,101.727,101.72,101.626
FLQS319HGRWY,-25.5391212497,-25.6971405619,-25.863160852,-25.5421216163,-25.3610994928,-25.8491591408,-25.7021411731,-25.5561233276,-25.6081296835,-25.5211190495,-25.9281687969,-25.767149118,-25.9251684302,-25.8621607298,-25.597128339,-25.3110933814,-25.7981529071,-25.5821265055,-25.8641609742,-25.4931156271,-25.9831755195,-25.6511349394,-26.2292055879,-25.3871026708,-25.6651366506,-25.5751256499,-25.5951280945,-25.5751256499,-25.6081296835,-25.8541597519,-25.5961282167,-25.5751256499,125.966466152,125.926467591,125.828471118,125.764473422,125.921467771,125.742474214,125.810471766,125.689476121,125.54448134,125.61947864,125.930467447,125.789472522,125.859470003,125.735474465,125.605479144,125.673476697,125.789472522,125.742474214,125.858470039,125.732474573,125.794472342,125.720475005,125.805471946,125.693475977,125.471483967,125.74647407,125.678476517,125.74647407,125.547481232,125.931467411,125.548481196,125.654477381,101.368,101.441,101.522,101.388,101.295,101.524,101.454,101.4,101.436,101.391,101.541,101.484,101.546,101.53,101.426,101.295,101.497,101.407,101.52,101.369,101.578,101.439,101.684,101.326,101.467,101.404,101.419,101.404,101.436,101.509,101.431,101.412
FLQS317CGRWY,-25.3259083738,-25.7347293283,-25.7727126933,-25.3259083738,-25.6477674138,-25.7567196975,-25.4378593442,-25.4068729149,-25.5897928041,-25.1329928622,-25.7717131311,-25.4078724771,-25.813694745,-25.7257332682,-25.5737998083,-25.2369473348,-25.7077411479,-25.1919670342,-25.8666715435,-25.4278637219,-25.9296439643,-26.4554137005,-25.0470305099,-25.2449438327,-25.6327739802,-25.2399460215,-25.3958777303,-25.2399460215,-25.593791053,-25.7837078779,-25.5827958684,-25.5238216965,125.724790869,125.65280473,125.53382764,125.580818592,125.581818399,125.382856711,125.501833801,125.449843812,125.305871535,125.371858828,125.651804923,125.504833223,125.452843234,125.375858058,125.248882508,125.431847277,125.572820132,125.43084747,125.820772387,125.628809351,125.508832453,125.452843234,125.576819362,125.508832453,125.234885204,125.493835341,125.373858443,125.493835341,125.308870957,125.653804538,125.249882316,125.360860946,101.391,101.576,101.603,101.403,101.544,101.61,101.459,101.45,101.544,101.337,101.592,101.446,101.629,101.597,101.542,101.377,101.571,101.358,101.618,101.444,101.674,101.91,101.282,101.374,101.569,101.373,101.453,101.373,101.545,101.597,101.545,101.51
FLQS3160GRWY,-25.710715041,-26.0420464281,-25.9559603275,-25.5845888936,-25.9960003743,-25.8868912468,-25.6997040281,-25.7187230503,-25.8368411883,-25.7968011416,-26.0220264047,-25.9339383018,-26.0100143907,-25.9129172772,-25.7857901287,-25.7927971369,-25.8378421895,-25.7998041451,-25.9909953685,-25.6406449591,-26.3323367673,-25.7747791158,-25.4774817685,-25.6706749942,-25.8738782316,-25.7417460772,-25.8208251696,-25.7417460772,-25.8498542036,-26.177181586,-25.8318361825,-25.6967010246,125.403315353,125.341318658,125.202326067,125.257323135,125.275322176,125.126330118,125.131329851,125.18932676,124.920341098,125.053334009,125.40731514,125.269322495,125.264322762,125.131329851,124.98633758,125.126330118,125.143329212,125.063333476,125.333319084,125.270322442,125.327319404,125.19532644,125.270322442,125.069333156,124.725351492,125.196326387,124.931340512,125.196326387,124.922340991,125.408315086,124.861344243,125.071333049,101.432,101.582,101.557,101.39,101.568,101.534,101.452,101.455,101.531,101.501,101.568,101.542,101.575,101.545,101.502,101.493,101.511,101.501,101.561,101.413,101.711,101.479,101.342,101.444,101.565,101.464,101.523,101.464,101.536,101.636,101.534,101.456
FLQS3126GRWV,-25.6153921609,-25.7242153961,-25.8789640333,-25.497583521,-25.5824456769,-25.6313662138,-25.7841180944,-25.8130710652,-25.8140694435,-25.6034116212,-26.0556769932,-25.6303678355,-25.6872753988,-25.7741343113,-25.6333629704,-25.842024036,-25.6313662138,-25.6663094544,-25.9658229458,-25.5355218965,-26.0866267207,-25.6872753988,-25.3867635292,-25.589434325,-25.6303678355,-25.7791262029,-25.6782899941,-25.7791262029,-25.6972591819,-25.7262121527,-25.8589964672,-25.6573240497,125.74144034,125.607436673,125.542434895,125.480433199,125.599436454,125.332429149,125.494433582,125.470432925,125.319428793,125.456432542,125.673438479,125.530434567,125.531434594,125.333429176,125.315428684,125.432431885,125.526434457,125.492433527,125.483433281,125.528434512,125.530434567,125.461432679,125.602436537,125.530434567,125.308428492,125.498433691,125.454432487,125.498433691,125.385430599,125.675438534,125.320428821,125.444432214,101.728,101.788,101.861,101.7,101.726,101.772,101.824,101.839,101.853,101.748,101.927,101.754,101.778,101.834,101.774,101.855,101.754,101.773,101.905,101.712,101.954,101.785,101.64,101.736,101.773,101.822,101.781,101.822,101.796,101.783,101.873,101.773
