,Distance_X_LOGO_Battery_Up1,Distance_X_LOGO_Battery_Up2,Distance_X_LOGO_Battery_Up3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_Battery_Up1,Distance_Y_LOGO_Battery_Up2,Distance_Y_LOGO_Battery_Up3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_Battery_Up1,Angle_Battery_Up2,Angle_Battery_Up3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS30KVGRWV,-25.6296478439,-25.9066872747,-25.7286619365,-25.5106309043,-25.6466502638,-25.7126596589,-25.5546371677,-25.3626098366,-25.6056444275,-25.5616381641,-25.7176603706,-25.5856415805,-25.7146599436,-25.6236469898,-25.5246328972,-25.3826126836,-25.7236612247,-25.4546229328,-25.8056728974,-25.4216182352,-25.9856985203,-25.632648271,-25.3356059932,-25.3706109754,-25.6336484133,-25.5506365983,-25.7656672034,-25.5506365983,-25.6056444275,-25.7276617941,-25.6966573813,-25.4536227904,125.63527024,125.626268071,125.49423626,125.428220354,125.611264456,125.410216016,125.415217221,125.409215775,125.21316854,125.286186133,125.627268312,125.486234332,125.542247827,125.405214811,125.268181795,125.345200351,125.488234814,125.402214088,125.558251683,125.547249032,125.493236019,125.418217944,125.55525096,125.359203725,125.141151188,125.475231681,125.28318541,125.475231681,125.21316854,125.686282531,125.216169263,125.395212401,101.636,101.758,101.692,101.603,101.646,101.693,101.623,101.539,101.664,101.638,101.675,101.63,101.682,101.654,101.623,101.554,101.69,101.58,101.72,101.553,101.805,101.657,101.514,101.547,101.682,101.616,101.728,101.616,101.664,101.675,101.703,101.58
FLQS30KBGRWV,-26.1061602735,-25.9239497669,-25.8408537666,-25.6936837421,-25.9359636465,-25.6486316938,-25.5064674524,-25.6576421034,-25.8248352606,-25.5084697656,-26.3394297682,-26.0991521771,-25.9359636465,-25.7887936219,-25.8308422004,-25.5465137175,-25.2471678853,-25.8548699595,-26.0891406108,-25.6376189708,-25.8108190678,-25.7066987783,-25.1090082704,-25.4924512595,-25.7647658628,-25.723718441,-25.6406224407,-25.723718441,-26.1341926591,-25.623602778,-25.7647658628,-25.5845576695,125.735715577,125.603729522,125.533736917,125.524737867,125.533736917,125.324758996,125.388752235,125.393751707,125.249766919,125.324758996,125.610728782,125.473743255,125.460744629,125.324758996,125.252766602,125.383752763,125.452745474,125.425748326,125.530737234,125.526737656,125.457744945,125.391751918,125.526737656,125.395751495,125.176774631,125.489741565,125.264765334,125.489741565,125.252766602,125.604729416,125.249766919,125.311760369,101.731,101.664,101.633,101.57,101.675,101.568,101.5,101.566,101.652,101.507,101.844,101.752,101.682,101.63,101.655,101.518,101.381,101.649,101.742,101.545,101.627,101.588,101.314,101.493,101.633,101.586,101.57,101.586,101.788,101.533,101.626,101.541
FLQS30CWGRWV,-25.8879964704,-25.9440137734,-25.9790245878,-25.3798395072,-25.7319482691,-25.4708676246,-25.9380119195,-25.7399507409,-25.9010004871,-25.5148812198,-26.3161287149,-26.1320718621,-26.1120656825,-25.911003577,-25.7899661901,-25.5188824558,-25.8019698979,-25.6579254044,-25.9510159363,-25.6979377637,-25.9020007961,-25.6639272582,-25.1417659693,-25.3478296197,-25.7849646451,-25.678931893,-25.5668972869,-25.678931893,-25.6439210786,-25.7089411625,-25.793967426,-25.5528929612,125.650074506,125.634072077,125.513053706,125.37303245,125.563061297,125.25301423,125.367031539,125.504052339,125.168001325,125.186004058,125.585064638,125.446043533,125.376032905,125.308022581,125.303021822,125.234011345,125.374032601,125.358030172,125.503052188,125.389034879,125.491050366,125.305022125,125.558060538,125.367031539,125.095990393,125.311023036,125.236011649,125.311023036,125.226010131,125.513053706,125.288019544,125.340027439,101.498,101.524,101.55,101.3,101.438,101.351,101.545,101.446,101.548,101.376,101.691,101.623,101.621,101.539,101.486,101.374,101.485,101.423,101.539,101.438,101.519,101.431,101.18,101.287,101.503,101.437,101.395,101.437,101.429,101.432,101.49,101.379
FLQS30C7GRWV,-25.698879105,-25.8010455963,-25.5937077168,-25.3833649405,-25.7780080542,-25.8310945644,-25.7429509248,-25.3603273983,-26.1456070966,-25.8761680164,-25.9152316749,-25.7068921631,-26.1155581285,-25.8170717126,-25.7619819379,-25.4144155408,-25.7719982605,-25.7479590861,-25.7619819379,-25.7750031574,-26.1225695544,-26.3439302857,-25.534611413,-25.6147419944,-25.8230815062,-25.7429509248,-25.5786832328,-25.3643339274,-25.3262719012,-26.0394340762,-25.3863698373,-25.9262496299,126.133799929,126.183803418,125.991790022,125.987789743,126.04479372,125.844779765,125.970788556,125.854780463,125.772774742,125.847779975,126.111798394,126.04179351,126.008791208,125.904783952,125.770774602,125.842779626,126.034793022,125.906784091,125.817777881,125.894783254,125.970788556,125.818777951,126.050794138,125.860780882,125.698769579,125.974788836,125.844779765,125.903783882,125.769774532,126.181803278,125.774774881,125.844779765,101.418,101.458,101.384,101.293,101.46,101.501,101.451,101.295,101.645,101.52,101.514,101.429,101.61,101.49,101.478,101.32,101.458,101.459,101.474,101.472,101.617,101.727,101.353,101.405,101.511,101.451,101.391,101.292,101.287,101.562,101.313,101.543
FLQS29JFGRX5,-25.7314659197,-26.1424414178,-25.9404534601,-25.6044734908,-25.7964620447,-25.9314539966,-25.7124670524,-25.5124789754,-26.0464471409,-25.711467112,-25.802461687,-25.9624521486,-25.9354537582,-25.9304540563,-25.6974679466,-25.6414712851,-25.8724575139,-25.8454591236,-26.1944383178,-25.8004618062,-26.1234425505,-26.171439689,-25.3124908985,-25.4594821351,-25.8444591832,-25.399485712,-25.7304659793,-25.399485712,-25.6814689005,-25.6864686024,-25.6694696158,-25.8174607928,126.12718333,126.124183088,125.927167181,125.860161771,125.887163951,125.785155715,125.908165647,125.787155877,125.704149175,125.780155311,125.95316928,125.81915846,125.81915846,125.760153697,125.707149417,125.777155069,125.817158299,125.847160721,125.88616387,125.835159752,125.816158218,125.695148448,125.983171703,125.789156038,125.573138597,125.903165243,125.777155069,125.903165243,125.707149417,125.958169684,125.705149256,125.69714861,101.406,101.585,101.515,101.374,101.456,101.524,101.417,101.34,101.582,101.428,101.452,101.534,101.523,101.526,101.429,101.398,101.495,101.481,101.63,101.462,101.605,101.637,101.236,101.317,101.505,101.281,101.437,101.281,101.422,101.401,101.417,101.482
FLQS22XEGRX2,-25.5079774746,-25.6229728648,-25.6749707804,-25.44398004,-25.750967734,-25.2759867743,-25.3339844494,-25.2939860528,-25.6009737467,-25.290986173,-26.2879462084,-25.6989698184,-26.2999457274,-25.6889702192,-25.7089694175,-25.1179931077,-25.8549635651,-25.2729868945,-25.7359683352,-25.632972464,-26.1049535439,-25.4049816033,-25.5689750294,-25.3199850106,-25.5839744281,-25.3249848101,-25.6509717425,-25.3249848101,-25.620972945,-25.8939620018,-25.6899701791,-25.6159731454,125.065854884,124.886873696,124.868875588,124.859876533,125.048856671,124.670896396,124.810881683,124.788883995,124.653898183,124.773885572,125.004861295,124.979863922,124.986863186,124.991862661,124.724890721,124.674895976,125.037857827,124.674895976,125.092852046,125.019859718,125.018859823,125.007860979,124.993862451,124.79588326,124.57790617,124.73888925,124.776885256,124.73888925,124.652898288,125.341825878,124.703892928,124.748888199,101.377,101.443,101.468,101.367,101.485,101.31,101.323,101.307,101.455,101.307,101.725,101.468,101.732,101.463,101.496,101.24,101.532,101.308,101.474,101.436,101.643,101.336,101.41,101.318,101.454,101.325,101.465,101.325,101.464,101.521,101.489,101.453
FLQS22TQGRX2,-25.7337959722,-25.9718773499,-26.126930348,-25.5057180137,-25.9238609376,-25.8358308484,-25.6807778503,-25.6447655411,-25.9338643568,-25.7798117007,-25.9398664084,-25.8658411061,-26.0949194065,-25.7988181972,-25.8208257195,-25.5927477611,-25.9428674341,-25.7898151199,-25.9028537572,-25.593748103,-25.3776742476,-25.7578041784,-25.3966807441,-25.5917474191,-25.7568038364,-25.8328298226,-25.7598048622,-25.8328298226,-25.944868118,-26.074912568,-25.8118226422,-25.7077870822,125.199701284,125.198701406,124.996726086,124.986727308,125.127710081,124.857743069,124.991726697,124.860742703,124.772753455,124.903737449,125.136708981,125.058718511,125.124710447,124.934733662,124.84374478,124.919735494,125.057718633,124.922735128,125.087714968,125.133709348,125.12371057,125.014723887,125.128709959,124.924734883,124.821747468,124.997725964,124.84374478,124.997725964,124.77475321,125.198701406,124.837745513,125.001725476,101.471,101.575,101.661,101.39,101.56,101.547,101.466,101.462,101.597,101.517,101.567,101.541,101.636,101.523,101.541,101.434,101.575,101.52,101.555,101.415,101.321,101.498,101.329,101.433,101.515,101.532,101.514,101.532,101.602,101.62,101.538,101.477
FLQS21YXGRX2,-25.5995022175,-25.5945032911,-25.7424715132,-25.425539578,-25.7284745193,-25.5545118797,-25.5855052235,-25.2795709264,-25.5725080148,-25.4795279833,-25.6944818196,-25.71347774,-25.8904397354,-25.5795065118,-25.4845269098,-25.5155202536,-25.6314953466,-25.5335163887,-25.6664878316,-25.3045655585,-25.9504268525,-25.6065007145,-25.3125638408,-25.3395580435,-25.499523689,-25.4645312041,-25.6224972791,-25.4645312041,-25.4615318482,-25.7004805313,-25.4335378602,-25.5585110208,125.590590873,125.579592223,125.449608171,125.379616758,125.513600319,125.304625959,125.375617249,125.364618598,125.111649636,125.239633933,125.583591732,125.446608539,125.44260903,125.306625714,125.224635773,125.306625714,125.444608784,125.305625836,125.511600565,125.436609766,125.446608539,125.375617249,125.513600319,125.3116251,125.093651844,125.374617372,125.237634179,125.374617372,125.166642889,125.585591487,125.221636141,125.314624732,101.656,101.655,101.732,101.599,101.72,101.662,101.669,101.536,101.687,101.635,101.698,101.719,101.797,101.673,101.638,101.645,101.683,101.653,101.693,101.541,101.823,101.678,101.537,101.567,101.657,101.616,101.698,101.616,101.633,101.701,101.616,101.663
FLQS2AVTGRX5,-25.9668100795,-25.7698191066,-25.6838230473,-25.2978407348,-25.5528290501,-25.6048266673,-25.9538106752,-25.5008314328,-25.6168261174,-25.5838276296,-26.3937905133,-25.9458110418,-25.9498108585,-25.8578150742,-25.6628240096,-25.2478430259,-26.1748005484,-25.4638331283,-26.2407975241,-25.8518153491,-26.070805314,-26.0948042142,-25.5488292333,-25.6938225891,-25.6118263465,-25.4558334948,-25.6038267131,-25.4558334948,-25.6208259341,-26.3597920712,-25.8408158532,-25.6958224974,125.986756567,126.0327594,125.843747763,125.716739943,125.870749425,125.75274216,125.827746778,125.704739205,125.5617304,125.636735018,125.954754597,125.804745362,125.806745485,125.683737912,125.616733786,125.749741975,125.808745608,125.75274216,125.87374961,125.826746716,125.801745177,125.740741421,125.900751272,125.715739882,125.490726029,125.75274216,125.632734772,125.75274216,125.562730462,125.951754413,125.566730708,125.673737296,101.561,101.471,101.45,101.292,101.39,101.424,101.569,101.383,101.446,101.425,101.75,101.568,101.569,101.541,101.461,101.268,101.668,101.362,101.69,101.525,101.623,101.639,101.386,101.466,101.45,101.358,101.434,101.358,101.447,101.735,101.543,101.47
FLQS3087GRWV,-25.9398459823,-25.9287867867,-25.9167222097,-25.5839409601,-25.7287158844,-25.6633660922,-25.5809248159,-25.7236889773,-25.7769741925,-25.5829355787,-26.2354281194,-25.7086082561,-25.8935984371,-25.7065974932,-25.6070647328,-25.6342100311,-25.7910495324,-25.6352154125,-25.943867508,-25.4602790457,-26.0604917526,-25.6060593514,-25.3657731923,-25.7417858429,-25.6050539699,-25.5105481166,-25.6623607108,-25.5105481166,-25.7809957182,-26.018265733,-25.7176566888,-25.5366880335,125.626289102,125.619288808,125.489283334,125.419280387,125.546285734,125.339277019,125.407279882,125.408279924,125.204271335,125.27827445,125.62528906,125.477282829,125.475282745,125.337276934,125.258273608,125.340277061,125.477282829,125.339277019,125.545285692,125.472282618,125.479282913,125.407279882,125.546285734,125.412280092,125.132268303,125.407279882,125.276274366,125.407279882,125.207271461,125.62028885,125.207271461,125.327276513,101.489,101.485,101.491,101.352,101.404,101.394,101.352,101.415,101.456,101.364,101.618,101.402,101.482,101.413,101.377,101.381,101.438,101.382,101.498,101.294,101.555,101.363,101.246,101.422,101.387,101.322,101.399,101.322,101.458,101.524,101.43,101.34
