SN	Distance_X_LOGO_MainBoard_RU1	Distance_X_LOGO_MainBoard_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RU1	Distance_Y_LOGO_MainBoard_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RU1	Angle_MainBoard_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS3047GRWM____	-65.805	-65.667	-65.773	-65.523	-65.440	-65.559	-65.494	-65.597	-65.598	-65.576	-65.762	-65.582	-65.523	-65.635	-65.910	-65.493	-65.848	-65.651	-65.525	-65.651	-65.541	-65.531	-65.531	-65.394	-65.836	-65.529	-65.632	-65.810	-65.738	-65.591	-65.814	-65.563	131.433	131.211	131.358	131.265	131.213	131.116	131.264	131.076	131.117	130.977	131.232	131.188	131.265	131.112	131.281	131.194	131.199	131.226	131.074	131.223	130.937	131.244	131.148	131.038	131.210	131.115	130.907	131.316	131.141	131.243	131.154	131.282	116.685	116.676	116.687	116.616	116.596	116.654	116.606	116.675	116.668	116.685	116.705	116.650	116.616	116.682	116.748	116.618	116.741	116.667	116.650	116.668	116.679	116.622	116.639	116.611	116.735	116.644	116.717	116.707	116.713	116.644	116.737	116.627	2016_7_19_17_04_15
FLQS303BGRWM____	-65.687	-65.515	-65.621	-65.373	-65.284	-65.414	-65.342	-65.412	-65.412	-65.385	-65.565	-65.389	-65.373	-65.480	-65.718	-65.340	-65.662	-65.460	-65.338	-65.494	-65.355	-65.336	-65.377	-65.242	-65.679	-65.376	-65.446	-65.652	-65.574	-65.396	-65.664	-65.438	131.426	131.287	131.437	131.300	131.247	131.148	131.301	131.150	131.189	131.052	131.313	131.260	131.300	131.193	131.364	131.229	131.238	131.264	131.152	131.259	131.050	131.329	131.180	131.076	131.250	131.141	130.950	131.397	131.179	131.327	131.234	131.314	116.480	116.444	116.455	116.392	116.370	116.433	116.381	116.432	116.425	116.440	116.457	116.404	116.392	116.448	116.501	116.393	116.504	116.429	116.405	116.441	116.429	116.374	116.414	116.385	116.508	116.421	116.479	116.473	116.483	116.395	116.505	116.412	2016_7_19_17_04_15
FLQS3024GRWM____	-65.796	-65.652	-65.759	-65.515	-65.380	-65.550	-65.480	-65.579	-65.582	-65.516	-65.699	-65.517	-65.515	-65.619	-65.852	-65.478	-65.799	-65.587	-65.516	-65.589	-65.478	-65.474	-65.517	-65.339	-65.813	-65.516	-65.615	-65.753	-65.677	-65.534	-65.797	-65.533	131.513	131.337	131.482	131.345	131.345	131.200	131.344	131.199	131.233	131.097	131.362	131.312	131.345	131.234	131.411	131.274	131.282	131.317	131.200	131.315	131.134	131.378	131.272	131.169	131.341	131.238	130.992	131.450	131.272	131.375	131.324	131.374	116.710	116.690	116.703	116.641	116.594	116.679	116.629	116.689	116.684	116.685	116.703	116.648	116.641	116.697	116.747	116.641	116.751	116.671	116.667	116.672	116.665	116.621	116.654	116.610	116.746	116.660	116.738	116.706	116.710	116.642	116.743	116.642	2016_7_19_17_04_15
FLQS301GGRWM____	-66.118	-65.945	-66.084	-65.800	-65.703	-65.840	-65.771	-65.879	-65.878	-65.849	-65.991	-65.814	-65.800	-65.915	-66.184	-65.772	-66.124	-65.923	-65.802	-65.924	-65.816	-65.762	-65.810	-65.664	-66.148	-65.838	-65.912	-66.079	-65.999	-65.818	-66.129	-65.832	131.400	131.166	131.317	131.177	131.165	131.030	131.177	131.031	131.063	130.927	131.195	131.175	131.177	131.068	131.241	131.106	131.119	131.143	131.030	131.139	130.897	131.204	131.106	130.994	131.175	131.070	130.822	131.281	131.062	131.205	131.156	131.237	116.529	116.510	116.531	116.457	116.425	116.497	116.447	116.510	116.504	116.518	116.520	116.463	116.457	116.516	116.580	116.460	116.581	116.506	116.484	116.507	116.512	116.439	116.473	116.442	116.579	116.489	116.558	116.536	116.547	116.459	116.576	116.458	2016_7_19_17_04_15
FLQS301EGRWQ____	-65.729	-65.591	-65.695	-65.446	-65.324	-65.483	-65.413	-65.522	-65.523	-65.457	-65.637	-65.457	-65.446	-65.555	-65.824	-65.414	-65.737	-65.527	-65.447	-65.528	-65.424	-65.412	-65.452	-65.284	-65.757	-65.451	-65.557	-65.722	-65.650	-65.469	-65.738	-65.475	131.444	131.260	131.407	131.268	131.260	131.124	131.270	131.122	131.156	131.025	131.244	131.236	131.268	131.166	131.294	131.197	131.206	131.238	131.090	131.237	131.026	131.260	131.159	131.056	131.268	131.123	130.917	131.329	131.157	131.258	131.210	131.293	116.706	116.689	116.700	116.638	116.596	116.676	116.626	116.690	116.684	116.684	116.708	116.647	116.638	116.693	116.765	116.639	116.750	116.671	116.669	116.672	116.672	116.627	116.659	116.618	116.746	116.664	116.738	116.723	116.728	116.647	116.750	116.643	2016_7_19_17_04_15
FLQS300VGRWQ____	-65.591	-65.442	-65.554	-65.305	-65.178	-65.346	-65.240	-65.340	-65.339	-65.311	-65.492	-65.314	-65.305	-65.412	-65.652	-65.239	-65.590	-65.383	-65.308	-65.382	-65.280	-65.235	-65.312	-65.139	-65.581	-65.312	-65.407	-65.547	-65.474	-65.331	-65.596	-65.298	131.527	131.348	131.490	131.354	131.351	131.212	131.355	131.213	131.242	131.115	131.329	131.323	131.354	131.247	131.421	131.284	131.294	131.326	131.211	131.323	131.112	131.390	131.283	131.179	131.353	131.248	131.004	131.456	131.280	131.384	131.291	131.423	116.474	116.454	116.468	116.405	116.361	116.444	116.382	116.441	116.436	116.448	116.474	116.413	116.405	116.461	116.515	116.394	116.515	116.437	116.431	116.437	116.438	116.374	116.420	116.377	116.502	116.426	116.501	116.472	116.477	116.409	116.517	116.390	2016_7_19_17_04_15
FLQS300RGRWY____	-66.229	-66.087	-66.196	-65.951	-65.867	-65.985	-65.915	-66.019	-66.017	-65.993	-66.179	-65.999	-65.951	-66.055	-66.328	-65.916	-66.237	-66.062	-65.950	-66.063	-65.927	-65.919	-65.951	-65.866	-66.256	-65.948	-66.053	-66.228	-66.155	-66.009	-66.236	-65.977	131.314	131.097	131.280	131.104	131.096	130.964	131.103	130.962	131.001	130.899	131.116	131.108	131.104	131.038	131.165	131.034	131.079	131.077	130.962	131.072	130.897	131.133	131.032	130.925	131.094	130.997	130.792	131.199	131.025	131.129	131.077	131.165	116.587	116.575	116.581	116.527	116.499	116.563	116.514	116.575	116.568	116.577	116.604	116.543	116.527	116.575	116.647	116.527	116.630	116.570	116.551	116.571	116.555	116.510	116.539	116.528	116.635	116.544	116.617	116.606	116.612	116.543	116.631	116.525	2016_7_19_17_04_15
FLQS300LGRWQ____	-65.792	-65.623	-65.757	-65.509	-65.383	-65.518	-65.449	-65.553	-65.555	-65.516	-65.704	-65.525	-65.509	-65.618	-65.857	-65.448	-65.801	-65.592	-65.481	-65.592	-65.485	-65.466	-65.484	-65.342	-65.819	-65.511	-65.622	-65.758	-65.713	-65.537	-65.802	-65.536	131.338	131.154	131.301	131.165	131.160	131.016	131.162	131.017	131.058	130.922	131.182	131.132	131.165	131.058	131.229	131.090	131.103	131.172	131.019	131.130	130.922	131.195	131.089	130.987	131.161	131.053	130.814	131.267	131.088	131.196	131.143	131.227	116.581	116.555	116.576	116.513	116.470	116.542	116.492	116.554	116.548	116.558	116.578	116.524	116.513	116.570	116.623	116.505	116.626	116.540	116.529	116.548	116.547	116.492	116.517	116.485	116.622	116.533	116.614	116.582	116.598	116.517	116.619	116.511	2016_7_19_17_04_15
FLQS300LGRWM____	-65.866	-65.720	-65.826	-65.584	-65.492	-65.618	-65.548	-65.648	-65.650	-65.583	-65.768	-65.588	-65.584	-65.685	-65.955	-65.548	-65.869	-65.657	-65.584	-65.657	-65.552	-65.547	-65.585	-65.451	-65.891	-65.583	-65.681	-65.822	-65.747	-65.607	-65.900	-65.605	131.320	131.108	131.247	131.111	131.100	130.967	131.109	130.970	131.003	130.901	131.123	131.113	131.111	131.004	131.174	131.039	131.086	131.119	130.967	131.113	130.901	131.142	131.039	130.934	131.147	131.004	130.759	131.214	131.076	131.139	131.054	131.178	116.442	116.429	116.441	116.380	116.350	116.418	116.368	116.427	116.422	116.417	116.443	116.381	116.380	116.434	116.499	116.380	116.484	116.404	116.406	116.405	116.406	116.362	116.393	116.365	116.481	116.399	116.476	116.446	116.444	116.384	116.501	116.376	2016_7_19_17_04_16
FLQS3009GRWQ____	-66.152	-66.016	-66.117	-65.872	-65.788	-65.911	-65.838	-65.947	-65.945	-65.881	-66.059	-65.923	-65.872	-65.981	-66.245	-65.837	-66.192	-65.957	-65.876	-65.955	-65.888	-65.839	-65.873	-65.745	-66.177	-65.871	-65.979	-66.146	-66.110	-65.931	-66.158	-65.897	131.262	131.080	131.225	131.088	131.078	130.945	131.086	130.945	130.985	130.878	131.102	131.054	131.088	130.981	131.152	131.015	131.069	131.057	130.945	131.053	130.845	131.116	131.013	130.906	131.084	130.979	130.744	131.188	131.011	131.114	131.064	131.153	116.845	116.830	116.839	116.778	116.750	116.817	116.767	116.829	116.822	116.818	116.841	116.802	116.778	116.835	116.897	116.779	116.893	116.813	116.804	116.813	116.826	116.761	116.792	116.765	116.885	116.797	116.876	116.856	116.875	116.794	116.882	116.775	2016_7_19_17_04_16
