,Distance_X_LOGO_MainBoard_LD1,Distance_X_LOGO_MainBoard_LD2,Distance_X_LOGO_MainBoard_LD3,Distance_X_LOGO_4,Distance_X_LOGO_5,Distance_X_LOGO_6,Distance_X_LOGO_7,Distance_X_LOGO_8,Distance_X_LOGO_9,Distance_X_LOGO_10,Distance_X_LOGO_11,Distance_X_LOGO_12,Distance_X_LOGO_13,Distance_X_LOGO_14,Distance_X_LOGO_15,Distance_X_LOGO_16,Distance_X_LOGO_17,Distance_X_LOGO_18,Distance_X_LOGO_19,Distance_X_LOGO_20,Distance_X_LOGO_21,Distance_X_LOGO_22,Distance_X_LOGO_23,Distance_X_LOGO_24,Distance_X_LOGO_25,Distance_X_LOGO_26,Distance_X_LOGO_27,Distance_X_LOGO_28,Distance_X_LOGO_29,Distance_X_LOGO_30,Distance_X_LOGO_31,Distance_X_LOGO_32,Distance_Y_LOGO_MainBoard_LD1,Distance_Y_LOGO_MainBoard_LD2,Distance_Y_LOGO_MainBoard_LD3,Distance_Y_LOGO_4,Distance_Y_LOGO_5,Distance_Y_LOGO_6,Distance_Y_LOGO_7,Distance_Y_LOGO_8,Distance_Y_LOGO_9,Distance_Y_LOGO_10,Distance_Y_LOGO_11,Distance_Y_LOGO_12,Distance_Y_LOGO_13,Distance_Y_LOGO_14,Distance_Y_LOGO_15,Distance_Y_LOGO_16,Distance_Y_LOGO_17,Distance_Y_LOGO_18,Distance_Y_LOGO_19,Distance_Y_LOGO_20,Distance_Y_LOGO_21,Distance_Y_LOGO_22,Distance_Y_LOGO_23,Distance_Y_LOGO_24,Distance_Y_LOGO_25,Distance_Y_LOGO_26,Distance_Y_LOGO_27,Distance_Y_LOGO_28,Distance_Y_LOGO_29,Distance_Y_LOGO_30,Distance_Y_LOGO_31,Distance_Y_LOGO_32,Angle_MainBoard_LD1,Angle_MainBoard_LD2,Angle_MainBoard_LD3,Angle_4,Angle_5,Angle_6,Angle_7,Angle_8,Angle_9,Angle_10,Angle_11,Angle_12,Angle_13,Angle_14,Angle_15,Angle_16,Angle_17,Angle_18,Angle_19,Angle_20,Angle_21,Angle_22,Angle_23,Angle_24,Angle_25,Angle_26,Angle_27,Angle_28,Angle_29,Angle_30,Angle_31,Angle_32
FLQS319HGRWY,-53.3580982289,-53.2339281214,-53.2319253777,-53.303022778,-53.2639692764,-53.3040241498,-53.3140378682,-53.3000186625,-53.3110337527,-53.3010200343,-53.2719802511,-53.2649706483,-53.2389349806,-53.1698403239,-53.2028855945,-53.2719802511,-53.2719802511,-53.1968773635,-53.1978787353,-53.1948746198,-53.20588971,-53.1948746198,-53.2379336087,-53.1958759917,-53.2759857385,-53.1948746198,-53.2028855945,-53.1968773635,-53.2379336087,-53.2719802511,-53.1948746198,-53.2329267496,-93.7484376758,-93.7804361185,-93.7784362159,-93.8904307656,-93.8544325175,-93.817434318,-93.903430133,-93.8874309116,-93.9284289164,-93.8164343667,-93.9604273592,-93.9624272618,-93.8904307656,-93.9574275052,-94.0314239041,-93.9604273592,-93.9604273592,-93.9554276025,-93.9254290624,-93.9574275052,-93.9554276025,-93.9574275052,-93.9294288677,-93.9544276511,-93.9634272132,-93.9574275052,-93.9294288677,-93.924429111,-93.9294288677,-93.9604273592,-93.8844310576,-93.9224292084,240.709,240.775,240.775,240.772,240.78,240.752,240.77,240.772,240.778,240.753,240.804,240.808,240.801,240.851,240.855,240.804,240.804,240.838,240.829,240.839,240.833,240.839,240.812,240.838,240.803,240.839,240.828,240.829,240.812,240.804,240.82,240.812
FLQS317CGRWY,-53.4903027711,-53.455278346,-53.4562790439,-53.527328592,-53.4923041669,-53.5293299877,-53.4933048647,-53.5253271963,-53.4923041669,-53.5283292899,-53.4572797417,-53.4532769503,-53.4222553166,-53.3532071642,-53.3882315893,-53.4572797417,-53.4572797417,-53.4232560145,-53.4232560145,-53.4232560145,-53.3882315893,-53.4232560145,-53.4212546187,-53.4222553166,-53.4202539209,-53.4232560145,-53.390232985,-53.4222553166,-53.4212546187,-53.4572797417,-53.3832281,-53.4592811375,-93.8725248567,-93.860527218,-93.9365122633,-93.9705055731,-93.9315132472,-93.8975199374,-93.9325130504,-93.9645067537,-94.0064984893,-93.9305134439,-94.0374923893,-94.0354927829,-94.0004996699,-94.0704858958,-94.1054790088,-94.0374923893,-94.0374923893,-94.0694860926,-94.0034990796,-94.0374923893,-94.0694860926,-94.0374923893,-94.0064984893,-94.0324933732,-94.0324933732,-94.0374923893,-94.005498686,-94.0044988828,-94.0064984893,-94.0374923893,-94.0014994731,-94.0004996699,240.041,240.054,240.073,240.049,240.055,240.029,240.055,240.049,240.075,240.038,240.099,240.1,240.105,240.156,240.148,240.099,240.099,240.123,240.106,240.114,240.139,240.114,240.108,240.114,240.115,240.114,240.121,240.106,240.108,240.099,240.124,240.088
FLQS3160GRWY,-53.2602565501,-53.2222470895,-53.2202465916,-53.2942650148,-53.2562555542,-53.2542550563,-53.2162455957,-53.2882635211,-53.2582560522,-53.2962655128,-53.2222470895,-53.2582560522,-53.1862381268,-53.1152204504,-53.15423016,-53.2222470895,-53.2222470895,-53.1882386247,-53.1912393716,-53.1892388737,-53.1552304089,-53.1892388737,-53.1882386247,-53.1462281683,-53.2652577949,-53.1892388737,-53.15423016,-53.1842376289,-53.1882386247,-53.2222470895,-53.1862381268,-53.2252478364,-93.7221900187,-93.807191098,-93.8421915424,-93.9181925074,-93.9251925963,-93.8431915551,-93.8781919995,-93.9101924059,-93.9541929646,-93.9241925836,-93.9851933582,-94.0301939296,-93.9511929265,-94.0171937645,-94.0521942089,-93.9851933582,-93.9851933582,-94.0151937391,-93.9481928884,-93.9801932947,-94.0131937137,-93.9801932947,-93.9541929646,-93.9741932185,-93.9851933582,-93.9801932947,-93.9491929011,-93.9541929646,-93.9541929646,-93.9851933582,-93.9481928884,-93.9501929138,240.093,240.133,240.143,240.129,240.149,240.128,240.154,240.13,240.155,240.13,240.18,240.175,240.188,240.238,240.229,240.18,240.18,240.203,240.185,240.194,240.218,240.194,240.187,240.212,240.16,240.194,240.202,240.189,240.187,240.18,240.187,240.169
FLQS3126GRWV,-53.5552774863,-53.5173006903,-53.5143025222,-53.5882573355,-53.5492811501,-53.5862585567,-53.5492811501,-53.5822609993,-53.5512799288,-53.5882573355,-53.5143025222,-53.5512799288,-53.4803232837,-53.413364196,-53.4473434345,-53.5143025222,-53.5143025222,-53.4823220624,-53.481322673,-53.481322673,-53.4483428239,-53.481322673,-53.4783245049,-53.4803232837,-53.5153019116,-53.481322673,-53.4493422132,-53.4793238943,-53.4783245049,-53.5143025222,-53.4763257262,-53.5183000797,-93.8014460991,-93.8404504428,-93.915458796,-93.9484624714,-93.9494625828,-93.8754543409,-93.9124584619,-93.9454621373,-93.9824662582,-93.9104582391,-94.0524740545,-94.0574746114,-93.9814661468,-94.048473609,-94.08547773,-94.0524740545,-94.0524740545,-94.0864778413,-93.9834663696,-94.0524740545,-94.0454732749,-94.0524740545,-94.0234708246,-94.0124695995,-94.0144698222,-94.0524740545,-94.0204704905,-93.9844664809,-94.0234708246,-94.0524740545,-94.0204704905,-93.9834663696,240.019,240.047,240.068,240.043,240.061,240.025,240.051,240.045,240.069,240.033,240.104,240.089,240.101,240.15,240.143,240.104,240.104,240.128,240.101,240.119,240.133,240.119,240.113,240.109,240.094,240.119,240.126,240.102,240.113,240.104,240.113,240.084
FLQS3115GRWV,-53.6791749772,-53.6411670647,-53.6401668565,-53.7121818486,-53.6751741443,-53.7131820568,-53.6761743525,-53.7091812239,-53.6761743525,-53.7121818486,-53.6401668565,-53.6771745608,-53.6091604015,-53.5391458258,-53.5721526972,-53.6401668565,-53.6401668565,-53.6061597769,-53.6061597769,-53.6051595686,-53.5731529055,-53.6051595686,-53.6031591522,-53.6051595686,-53.6401668565,-53.6051595686,-53.5741531137,-53.6071599851,-53.6031591522,-53.6401668565,-53.6061597769,-53.6431674811,-93.711485167,-93.7475088025,-93.7825317815,-93.8565803656,-93.8195560735,-93.7845330946,-93.8195560735,-93.8525777394,-93.8926040011,-93.818555417,-93.9246250105,-93.9246250105,-93.8896020315,-93.9576466764,-93.995671625,-93.9246250105,-93.9246250105,-93.9576466764,-93.890602688,-93.9236243539,-93.9566460198,-93.9236243539,-93.8926040011,-93.9216230408,-93.9226236974,-93.9236243539,-93.8916033446,-93.8916033446,-93.8926040011,-93.9246250105,-93.8876007184,-93.890602688,240.065,240.092,240.101,240.088,240.095,240.068,240.095,240.088,240.114,240.078,240.139,240.122,240.144,240.194,240.189,240.139,240.139,240.163,240.146,240.155,240.178,240.155,240.148,240.155,240.138,240.155,240.161,240.146,240.148,240.139,240.145,240.129
FLQS310RGRWV,-53.237390148,-53.2013519756,-53.2033540963,-53.27242726,-53.2353880273,-53.2744293807,-53.237390148,-53.2714261997,-53.2363890876,-53.27242726,-53.2013519756,-53.2353880273,-53.1713201653,-53.0992438205,-53.1332798722,-53.2013519756,-53.2013519756,-53.1703191049,-53.1683169842,-53.1673159239,-53.1342809325,-53.1673159239,-53.1673159239,-53.1663148636,-53.1993498549,-53.1673159239,-53.1342809325,-53.1663148636,-53.1673159239,-53.2013519756,-53.1633116825,-53.2033540963,-93.8089781998,-93.8479877551,-93.8819960853,-93.9560142158,-93.9190051505,-93.8849968203,-93.9190051505,-93.9530134808,-93.991022791,-93.9180049055,-94.0260313663,-94.0270316113,-93.992023036,-94.0600396965,-94.0950482717,-94.0260313663,-94.0260313663,-94.0580392065,-93.991022791,-94.0240308762,-94.0580392065,-94.0240308762,-93.991022791,-94.0220303862,-94.0230306312,-94.0240308762,-93.992023036,-93.992023036,-93.991022791,-94.0260313663,-93.990022546,-93.990022546,240.302,240.328,240.337,240.324,240.331,240.304,240.33,240.323,240.35,240.314,240.375,240.359,240.38,240.431,240.424,240.375,240.375,240.398,240.381,240.39,240.414,240.39,240.381,240.39,240.375,240.39,240.397,240.382,240.381,240.375,240.383,240.365
FLQS3106GRWV,-53.5815632398,-53.5454678754,-53.5434625773,-53.6186612533,-53.5825658888,-53.6186612533,-53.5835685379,-53.6136480082,-53.5845711869,-53.6196639023,-53.5444652264,-53.5795579418,-53.5103751599,-53.438184431,-53.4742797955,-53.5444652264,-53.5444652264,-53.5103751599,-53.5103751599,-53.5093725109,-53.4732771465,-53.5093725109,-53.5093725109,-53.5103751599,-53.5464705244,-53.5093725109,-53.4772877425,-53.5083698619,-53.5093725109,-53.5444652264,-53.5063645639,-53.5464705244,-93.8236307799,-93.8626559988,-93.8966779845,-93.9657226026,-93.9317006169,-93.8986792778,-93.9367038501,-93.9647219559,-94.0007452349,-93.9337019101,-94.0367685139,-94.0377691606,-94.0037471748,-94.069789853,-94.105813132,-94.0367685139,-94.0367685139,-94.069789853,-94.0037471748,-94.0367685139,-94.0707904996,-94.0367685139,-94.0047478215,-94.033766574,-94.0357678673,-94.0367685139,-94.0057484681,-94.0027465282,-94.0047478215,-94.0367685139,-94.0007452349,-94.0037471748,240.019,240.046,240.056,240.04,240.047,240.022,240.048,240.042,240.065,240.031,240.092,240.076,240.099,240.15,240.143,240.092,240.092,240.117,240.099,240.108,240.134,240.108,240.1,240.107,240.091,240.108,240.115,240.1,240.1,240.092,240.101,240.083
FLQS30ZQGRWV,-53.3802890777,-53.3422838881,-53.3402836149,-53.4162939942,-53.3742882583,-53.414293721,-53.377288668,-53.4102931747,-53.3792889411,-53.4162939942,-53.3422838881,-53.3792889411,-53.3072791082,-53.2392698215,-53.2732744648,-53.3422838881,-53.3422838881,-53.3102795179,-53.3062789716,-53.3082792447,-53.3182806104,-53.3082792447,-53.3062789716,-53.305278835,-53.3402836149,-53.3082792447,-53.2732744648,-53.3092793813,-53.3062789716,-53.3422838881,-53.3082792447,-53.3452842978,-93.7521639559,-93.7441649658,-93.7781606739,-93.9461394668,-93.8581505753,-93.7771608001,-93.8591504491,-93.8941460309,-93.9301414866,-93.8131562557,-93.9641371947,-93.967136816,-93.9301414866,-93.997133029,-94.0351282322,-93.9641371947,-93.9641371947,-93.997133029,-93.9301414866,-93.9611375734,-93.9991327765,-93.9611375734,-93.9321412341,-93.9621374471,-93.9661369422,-93.9611375734,-93.9331411079,-93.9301414866,-93.9321412341,-93.9641371947,-93.9261419915,-93.9291416128,240.04,240.056,240.066,240.074,240.071,240.031,240.07,240.064,240.087,240.04,240.113,240.097,240.121,240.169,240.164,240.113,240.113,240.137,240.121,240.128,240.134,240.128,240.121,240.13,240.115,240.128,240.137,240.12,240.121,240.113,240.119,240.103
FLQS30YUGRWV,-53.4517358921,-53.3707362923,-53.3687363022,-53.4417359415,-53.4467359168,-53.4407359464,-53.4037361293,-53.4407359464,-53.4487359069,-53.4417359415,-53.4117360897,-53.4477359118,-53.3777362577,-53.2647368161,-53.2987366481,-53.4117360897,-53.4117360897,-53.3337364751,-53.3777362577,-53.3747362725,-53.3437364257,-53.3747362725,-53.3757362676,-53.3787362528,-53.4137360798,-53.3747362725,-53.3007366382,-53.3767362627,-53.3757362676,-53.4117360897,-53.3747362725,-53.3727362824,-93.6397538817,-93.6767312758,-93.7107105028,-93.7826665129,-93.7486872859,-93.7087117248,-93.7456891189,-93.7806677349,-93.817645129,-93.7466885079,-93.8896011391,-93.8925993062,-93.8136475728,-93.886602972,-93.922580977,-93.8896011391,-93.8896011391,-93.8846041939,-93.851624356,-93.8896011391,-93.885603583,-93.8896011391,-93.818644518,-93.851624356,-93.853623134,-93.8896011391,-93.819643907,-93.819643907,-93.818644518,-93.8896011391,-93.8546225231,-93.851624356,240.596,240.643,240.653,240.638,240.627,240.619,240.646,240.638,240.644,240.628,240.68,240.664,240.676,240.747,240.74,240.68,240.68,240.715,240.685,240.697,240.71,240.697,240.678,240.685,240.669,240.697,240.713,240.677,240.678,240.68,240.688,240.688
FLQS30X6GRWY,-53.6710277377,-53.6330241776,-53.6340242713,-53.7040308293,-53.667027363,-53.705030923,-53.6650271756,-53.7040308293,-53.6680274566,-53.7010305483,-53.6340242713,-53.6690275503,-53.6410249271,-53.5330148091,-53.5660179007,-53.6340242713,-53.6340242713,-53.6010211797,-53.6010211797,-53.600021086,-53.5640177133,-53.600021086,-53.5980208986,-53.600021086,-53.632024084,-53.600021086,-53.5690181818,-53.597020805,-53.5980208986,-53.6340242713,-53.5960207113,-53.6810286746,-93.7113827429,-93.7483864478,-93.7833899525,-93.854397062,-93.8183934572,-93.779389552,-93.7753891515,-93.8553971622,-93.8904006668,-93.8163932569,-93.9194035707,-93.9254041715,-93.8884004666,-93.9554071755,-93.9914107804,-93.9194035707,-93.9194035707,-93.9544070754,-93.8854001662,-93.9184034706,-93.9524068751,-93.9184034706,-93.891400767,-93.9154031702,-93.9204036709,-93.9184034706,-93.8864002663,-93.891400767,-93.891400767,-93.9194035707,-93.8874003664,-93.8874003664,240.009,240.036,240.045,240.032,240.039,240.012,240.029,240.032,240.058,240.023,240.081,240.067,240.07,240.137,240.131,240.081,240.081,240.105,240.087,240.096,240.122,240.096,240.09,240.096,240.082,240.096,240.103,240.091,240.09,240.081,240.09,240.051
FLQS30X6GRWV,-53.1340771524,-53.0970554991,-53.0990566696,-53.16809705,-53.1260724706,-53.1670964648,-53.1340771524,-53.1640947091,-53.132075982,-53.1670964648,-53.0930531582,-53.1280736411,-53.0620350163,-52.9919940506,-53.0260139482,-53.0930531582,-53.0930531582,-53.0610344311,-53.0580326754,-53.0570320902,-53.0270145334,-53.0570320902,-53.0580326754,-53.0570320902,-53.0930531582,-53.0570320902,-53.0240127778,-53.0590332606,-53.0580326754,-53.0930531582,-53.0590332606,-53.0930531582,-93.8485580138,-93.8845877894,-93.920617565,-93.9936779433,-93.9586489948,-93.9246208734,-93.960650649,-93.9916762891,-94.0277060647,-93.9586489948,-94.0647366674,-94.0647366674,-94.030708546,-94.0947614804,-94.1327929102,-94.0647366674,-94.0647366674,-94.0937606533,-94.0297077189,-94.0597325319,-94.0917589991,-94.0597325319,-94.0287068918,-94.0577308777,-94.0617341861,-94.0597325319,-94.030708546,-94.0267052376,-94.0287068918,-94.0647366674,-94.0237027563,-94.0257044105,240.152,240.179,240.187,240.174,240.185,240.156,240.181,240.176,240.2,240.166,240.228,240.212,240.233,240.282,240.276,240.228,240.228,240.25,240.235,240.243,240.265,240.243,240.234,240.242,240.227,240.243,240.25,240.233,240.234,240.228,240.233,240.217
FLQS30WFGRWV,-53.4111590559,-53.3381711373,-53.3401708063,-53.4481529324,-53.4091593869,-53.4081595524,-53.3741651793,-53.4051600488,-53.3741651793,-53.4101592214,-53.3741651793,-53.4091593869,-53.3431703098,-53.2341883491,-53.2701823912,-53.3741651793,-53.3741651793,-53.3441701443,-53.3391709718,-53.3381711373,-53.2681827222,-53.3381711373,-53.3391709718,-53.3371713028,-53.3731653448,-53.3381711373,-53.3041767642,-53.3031769297,-53.3391709718,-53.3741651793,-53.3021770952,-53.3751650138,-93.6357428051,-93.6737394544,-93.7087363682,-93.7827298432,-93.7477329293,-93.70973628,-93.7457331057,-93.7847296668,-93.817726757,-93.7457331057,-93.8527236708,-93.8537235826,-93.8157269333,-93.8837209373,-93.919717763,-93.8527236708,-93.8527236708,-93.8817211137,-93.8147270215,-93.8487240235,-93.8827210255,-93.8487240235,-93.8197265806,-93.8467241999,-93.851723759,-93.8487240235,-93.8167268452,-93.8167268452,-93.8197265806,-93.8527236708,-93.8137271097,-93.8147270215,240.247,240.291,240.299,240.269,240.278,240.268,240.293,240.289,240.312,240.277,240.321,240.306,240.326,240.394,240.387,240.321,240.321,240.343,240.327,240.337,240.378,240.337,240.329,240.337,240.322,240.337,240.344,240.345,240.329,240.321,240.345,240.311
FLQS30VBGRWV,-53.3727130699,-53.3377145696,-53.3377145696,-53.4067116132,-53.3707131556,-53.4087115275,-53.3717131128,-53.405711656,-53.3717131128,-53.4067116132,-53.3347146981,-53.3697131985,-53.3047159835,-53.2337190256,-53.2697174831,-53.3347146981,-53.3347146981,-53.3047159835,-53.301716112,-53.3007161549,-53.268717526,-53.3007161549,-53.3007161549,-53.3007161549,-53.3347146981,-53.3007161549,-53.2667176117,-53.340714441,-53.3007161549,-53.3347146981,-53.3007161549,-53.3367146124,-93.7365805769,-93.773584359,-93.8085879366,-93.9155988739,-93.8435915142,-93.810588141,-93.8465918209,-93.8795951941,-93.9516025538,-93.8435915142,-93.984605927,-93.9886063358,-93.9155988739,-94.0156090957,-94.021609709,-93.984605927,-93.984605927,-94.0156090957,-93.9506024516,-93.9826057225,-93.9806055181,-93.9826057225,-93.952602656,-93.9826057225,-93.9856060292,-93.9826057225,-93.952602656,-93.9486022471,-93.952602656,-93.984605927,-93.9125985673,-93.9506024516,240.19,240.216,240.226,240.222,240.219,240.193,240.219,240.213,240.247,240.203,240.273,240.258,240.269,240.328,240.312,240.273,240.273,240.295,240.279,240.288,240.302,240.288,240.28,240.288,240.273,240.288,240.296,240.261,240.28,240.273,240.27,240.263
FLQS30UFGRWV,-53.3960418092,-53.3590680931,-53.3590680931,-53.4300176564,-53.3930439403,-53.4280190772,-53.3930439403,-53.4280190772,-53.3940432299,-53.4300176564,-53.3590680931,-53.4360133942,-53.3250922458,-53.2531433928,-53.290117109,-53.3590680931,-53.3590680931,-53.3650638308,-53.3220943769,-53.3650638308,-53.3300886939,-53.3650638308,-53.3220943769,-53.3210950873,-53.3590680931,-53.3650638308,-53.2891178193,-53.3230936666,-53.3220943769,-53.3590680931,-53.3220943769,-53.3590680931,-93.769553783,-93.8055678222,-93.8385806915,-93.9126095499,-93.8785962906,-93.8405814715,-93.8765955107,-93.9136099398,-93.9456224191,-93.8755951207,-93.9826368483,-94.0176504975,-93.9476231991,-94.0136489376,-94.0496629768,-93.9826368483,-93.9826368483,-94.0156497176,-93.9456224191,-93.9806360683,-94.0136489376,-93.9806360683,-93.9836372383,-93.9796356784,-93.9826368483,-93.9806360683,-93.949623979,-93.9456224191,-93.9836372383,-93.9826368483,-93.9416208592,-93.9476231991,240.236,240.263,240.271,240.258,240.266,240.24,240.265,240.259,240.283,240.248,240.309,240.283,240.316,240.366,240.359,240.309,240.309,240.315,240.316,240.306,240.331,240.306,240.326,240.326,240.309,240.306,240.333,240.316,240.326,240.309,240.316,240.3
FLQS30TYGRWV,-53.4841126758,-53.4501183246,-53.4091251363,-53.4841126758,-53.4431194876,-53.5191068609,-53.447118823,-53.4751141711,-53.4491184907,-53.4801133404,-53.4091251363,-53.4421196537,-53.3721312835,-53.3071420826,-53.3401366,-53.4091251363,-53.4091251363,-53.3741309512,-53.4131244718,-53.4131244718,-53.3811297882,-53.4131244718,-53.3741309512,-53.4111248041,-53.4481186569,-53.4131244718,-53.3401366,-53.3751307851,-53.3741309512,-53.4091251363,-53.4101249702,-53.4481186569,-93.8330099139,-93.8290097856,-93.8640109083,-93.9770145332,-93.9420134104,-93.9100123839,-93.9430134425,-93.93701325,-94.0120156559,-93.9000120631,-94.0460167466,-94.0490168428,-93.9710143407,-94.0800178372,-94.0760177089,-94.0460167466,-94.0460167466,-94.039016522,-94.0110156238,-94.0440166824,-94.0780177731,-94.0440166824,-94.0150157521,-94.0440166824,-94.0460167466,-94.0440166824,-94.013015688,-94.013015688,-94.0150157521,-94.0460167466,-94.0100155918,-94.0120156559,240.065,240.08,240.108,240.103,240.113,240.069,240.111,240.097,240.128,240.085,240.155,240.141,240.153,240.212,240.196,240.155,240.155,240.17,240.144,240.153,240.177,240.153,240.163,240.154,240.138,240.153,240.179,240.163,240.163,240.155,240.146,240.129
FLQS30T7GRWV,-53.6310889959,-53.5961065494,-53.5941075525,-53.6670709409,-53.629089999,-53.6700694363,-53.6320884944,-53.6640724455,-53.6320884944,-53.6650719439,-53.5951070509,-53.6310889959,-53.5611241029,-53.4911592099,-53.5271411548,-53.5951070509,-53.5951070509,-53.5621236014,-53.5631230998,-53.5621236014,-53.5291401518,-53.5621236014,-53.5611241029,-53.5611241029,-53.5951070509,-53.5621236014,-53.5271411548,-53.5181456686,-53.5611241029,-53.5951070509,-53.5611241029,-53.6001045433,-93.8395219998,-93.8395219998,-93.9045334462,-93.9815470057,-93.943540314,-93.8765285154,-93.9445404901,-93.9475410184,-94.0175533452,-93.9105345028,-94.0495589803,-94.0505591564,-94.0135526408,-94.0515593325,-94.087565672,-94.0495589803,-94.0495589803,-94.0815646154,-93.9785464774,-94.015552993,-94.0475586281,-94.015552993,-93.9835473579,-94.0455582759,-94.0505591564,-94.015552993,-93.9815470057,-93.9835473579,-93.9835473579,-94.0495589803,-93.9785464774,-93.9775463013,239.969,239.985,240.003,239.99,239.997,239.961,239.996,239.982,240.015,239.972,240.041,240.024,240.047,240.089,240.082,240.041,240.041,240.064,240.037,240.047,240.071,240.047,240.039,240.055,240.041,240.047,240.054,240.059,240.039,240.041,240.038,240.02
FLQS30S7GRWV,-53.4373979897,-53.3593696651,-53.3593696651,-53.4293950846,-53.4333965371,-53.4313958108,-53.3943823748,-53.4303954477,-53.3943823748,-53.4293950846,-53.3593696651,-53.4343969003,-53.3653718439,-53.2593333515,-53.2913449718,-53.3593696651,-53.3593696651,-53.3653718439,-53.3653718439,-53.3643714807,-53.3333602235,-53.3643714807,-53.3653718439,-53.3673725702,-53.3573689388,-53.3643714807,-53.292345335,-53.3613703913,-53.3653718439,-53.3593696651,-53.3233565922,-53.403385643,-93.8939751092,-93.9319763133,-93.9659773907,-94.0399797355,-94.0019785314,-93.9309762816,-93.9689774857,-94.0059786582,-94.0769809079,-94.0029785631,-94.0739808129,-94.1089819219,-94.0719807495,-94.1419829676,-94.1779841083,-94.0739808129,-94.0739808129,-94.1409829359,-94.0709807178,-94.1059818268,-94.1399829042,-94.1059818268,-94.0769809079,-94.1049817952,-94.1099819536,-94.1059818268,-94.0739808129,-94.0749808445,-94.0769809079,-94.0739808129,-94.0719807495,-94.0729807812,240.071,240.117,240.126,240.112,240.101,240.083,240.11,240.103,240.138,240.103,240.154,240.128,240.15,240.218,240.212,240.154,240.154,240.168,240.15,240.159,240.183,240.159,240.152,240.158,240.164,240.159,240.185,240.153,240.152,240.154,240.17,240.133
FLQS30RRGRWV,-53.3752075667,-53.3372252093,-53.3372252093,-53.4491732102,-53.3712094238,-53.4081922456,-53.3732084953,-53.4051936384,-53.3752075667,-53.4081922456,-53.3392242807,-53.4111908527,-53.3412233522,-53.2352725656,-53.2702563159,-53.3392242807,-53.3392242807,-53.3042405305,-53.3032409947,-53.3042405305,-53.2712558516,-53.3042405305,-53.3392242807,-53.302241459,-53.3392242807,-53.3042405305,-53.2692567802,-53.3032409947,-53.3392242807,-53.3392242807,-53.3012419233,-53.3402238165,-93.8621140968,-93.8961235588,-93.9311332992,-94.0021530581,-93.9691438744,-93.8961235588,-93.9681435961,-94.0061541713,-94.0401636333,-93.9671433178,-94.0741730954,-94.0771739302,-94.0381630767,-94.1091828357,-94.144192576,-94.0741730954,-94.0741730954,-94.1081825574,-94.039163355,-94.0721725388,-94.1061820008,-94.0721725388,-94.0421641899,-94.0721725388,-94.0741730954,-94.0721725388,-94.0411639116,-94.039163355,-94.0421641899,-94.0741730954,-94.0351622418,-94.0401636333,240.058,240.085,240.094,240.061,240.088,240.052,240.087,240.082,240.105,240.07,240.13,240.098,240.12,240.187,240.18,240.13,240.13,240.155,240.138,240.146,240.17,240.146,240.122,240.147,240.13,240.146,240.154,240.138,240.122,240.13,240.137,240.121
FLQS30R2GRWV,-53.8546115078,-53.8566126825,-53.8566126825,-53.8916332388,-53.8566126825,-53.9286549697,-53.8936344134,-53.9266537951,-53.8586138571,-53.8916332388,-53.8566126825,-53.932657319,-53.7845703952,-53.7145292825,-53.7505504262,-53.8566126825,-53.8566126825,-53.7855709825,-53.7845703952,-53.7845703952,-53.7495498388,-53.7845703952,-53.7855709825,-53.7835698078,-53.8195909515,-53.7845703952,-53.7515510135,-53.7835698078,-53.7855709825,-53.8566126825,-53.7815686332,-53.8215921261,-93.598851307,-93.6008512611,-93.6348504806,-93.7088487818,-93.7088487818,-93.6378504117,-93.7138486671,-93.7458479325,-93.779847152,-93.6698496771,-93.8168463026,-93.8128463944,-93.7418480243,-93.8108464403,-93.8458456369,-93.8168463026,-93.8168463026,-93.8098464633,-93.7448479554,-93.7768472208,-93.8078465092,-93.7768472208,-93.7448479554,-93.7748472668,-93.7738472897,-93.7768472208,-93.780847129,-93.7438479784,-93.7448479554,-93.8168463026,-93.7408480473,-93.7428480013,240.327,240.326,240.335,240.339,240.355,240.303,240.339,240.332,240.372,240.328,240.383,240.348,240.396,240.447,240.44,240.383,240.383,240.414,240.397,240.406,240.43,240.406,240.397,240.405,240.389,240.406,240.422,240.398,240.397,240.383,240.397,240.38
