SN	Distance_X_LOGO_MainBoard_RD1	Distance_X_LOGO_MainBoard_RD2	Distance_X_LOGO_MainBoard_RD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RD1	Distance_Y_LOGO_MainBoard_RD2	Distance_Y_LOGO_MainBoard_RD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RD1	Angle_MainBoard_RD2	Angle_MainBoard_RD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30PHGRWY____	-64.211	-64.178	-64.066	-64.145	-64.108	-64.107	-64.071	-64.142	-64.107	-64.142	-64.108	-64.104	-64.141	-64.065	-64.104	-64.065	-64.104	-64.070	-64.104	-64.107	-64.065	-64.071	-64.104	-64.146	-64.066	-64.066	-64.107	-64.066	-64.108	-64.107	-64.111	-64.070	-94.222	-94.219	-94.182	-94.260	-94.191	-94.221	-94.187	-94.218	-94.221	-94.218	-94.191	-94.218	-94.182	-94.218	-94.257	-94.218	-94.218	-94.224	-94.257	-94.222	-94.218	-94.258	-94.257	-94.263	-94.182	-94.182	-94.222	-94.182	-94.191	-94.222	-94.260	-94.224	235.495	235.508	235.544	235.533	235.529	235.538	235.544	235.523	235.538	235.523	235.529	235.538	235.513	235.555	235.550	235.555	235.538	235.554	235.550	235.539	235.555	235.564	235.550	235.534	235.544	235.544	235.539	235.544	235.529	235.539	235.548	235.554	2016_7_19_16_59_51
FLQS30NWGRWV____	-64.029	-63.997	-63.923	-63.961	-63.927	-63.929	-63.890	-63.963	-63.929	-63.963	-63.927	-63.923	-63.963	-63.923	-63.921	-63.923	-63.923	-63.888	-63.921	-63.926	-63.923	-63.888	-63.921	-63.962	-63.923	-63.923	-63.926	-63.923	-63.927	-63.926	-63.928	-63.888	-94.383	-94.351	-94.315	-94.390	-94.320	-94.354	-94.321	-94.351	-94.354	-94.351	-94.320	-94.353	-94.317	-94.349	-94.388	-94.349	-94.353	-94.355	-94.388	-94.356	-94.349	-94.388	-94.388	-94.353	-94.315	-94.315	-94.356	-94.315	-94.320	-94.356	-94.391	-94.355	236.130	236.135	236.155	236.161	236.155	236.164	236.171	236.149	236.164	236.149	236.155	236.166	236.139	236.165	236.177	236.165	236.166	236.181	236.177	236.166	236.165	236.190	236.177	236.150	236.155	236.155	236.166	236.155	236.155	236.166	236.175	236.181	2016_7_19_16_59_51
FLQS30MRGRWY____	-64.241	-64.206	-64.078	-64.156	-64.119	-64.121	-64.045	-64.117	-64.121	-64.117	-64.119	-64.118	-64.118	-64.079	-64.079	-64.079	-64.118	-64.084	-64.079	-64.118	-64.079	-64.046	-64.079	-64.156	-64.078	-64.078	-64.118	-64.078	-64.119	-64.118	-64.121	-64.084	-94.302	-94.232	-94.239	-94.309	-94.240	-94.273	-94.207	-94.271	-94.273	-94.271	-94.240	-94.239	-94.237	-94.273	-94.312	-94.273	-94.239	-94.276	-94.312	-94.275	-94.273	-94.313	-94.312	-94.275	-94.239	-94.239	-94.275	-94.239	-94.240	-94.275	-94.309	-94.276	235.508	235.503	235.558	235.545	235.541	235.550	235.562	235.551	235.550	235.551	235.541	235.541	235.540	235.567	235.578	235.567	235.541	235.566	235.578	235.551	235.567	235.592	235.578	235.535	235.558	235.558	235.551	235.558	235.541	235.551	235.560	235.566	2016_7_19_16_59_51
FLQS30MKGRWV____	-64.144	-64.109	-64.036	-64.117	-64.038	-64.037	-64.004	-64.074	-64.037	-64.074	-64.038	-64.037	-64.074	-64.037	-64.035	-64.037	-64.037	-64.002	-64.035	-64.037	-64.037	-64.001	-64.035	-64.118	-64.036	-64.036	-64.037	-64.036	-64.038	-64.037	-64.038	-64.002	-94.234	-94.234	-94.200	-94.272	-94.202	-94.236	-94.204	-94.233	-94.236	-94.233	-94.202	-94.234	-94.202	-94.233	-94.267	-94.233	-94.234	-94.234	-94.267	-94.237	-94.233	-94.270	-94.267	-94.237	-94.200	-94.200	-94.237	-94.200	-94.202	-94.237	-94.273	-94.234	235.588	235.602	235.623	235.609	235.623	235.632	235.637	235.616	235.632	235.616	235.623	235.632	235.608	235.632	235.642	235.632	235.632	235.647	235.642	235.633	235.632	235.657	235.642	235.599	235.623	235.623	235.633	235.623	235.623	235.633	235.643	235.647	2016_7_19_16_59_51
FLQS30MJGRWV____	-64.247	-64.214	-64.139	-64.177	-64.140	-64.141	-64.102	-64.178	-64.141	-64.178	-64.140	-64.139	-64.177	-64.138	-64.138	-64.138	-64.139	-64.103	-64.138	-64.139	-64.138	-64.103	-64.138	-64.178	-64.139	-64.139	-64.139	-64.139	-64.140	-64.139	-64.141	-64.103	-94.291	-94.289	-94.259	-94.329	-94.257	-94.291	-94.225	-94.290	-94.291	-94.290	-94.257	-94.329	-94.257	-94.289	-94.327	-94.289	-94.329	-94.294	-94.327	-94.293	-94.289	-94.329	-94.327	-94.292	-94.259	-94.259	-94.293	-94.259	-94.257	-94.293	-94.329	-94.294	235.422	235.435	235.457	235.461	235.456	235.465	235.463	235.450	235.465	235.450	235.456	235.477	235.441	235.466	235.477	235.466	235.477	235.482	235.477	235.467	235.466	235.492	235.477	235.450	235.457	235.457	235.467	235.457	235.456	235.467	235.476	235.482	2016_7_19_16_59_52
FLQS30MEGRWV____	-64.244	-64.212	-64.140	-64.219	-64.181	-64.180	-64.107	-64.218	-64.180	-64.218	-64.181	-64.141	-64.217	-64.140	-64.176	-64.140	-64.141	-64.145	-64.176	-64.183	-64.140	-64.144	-64.176	-64.179	-64.140	-64.140	-64.183	-64.140	-64.181	-64.183	-64.184	-64.145	-94.263	-94.263	-94.194	-94.307	-94.234	-94.269	-94.202	-94.264	-94.269	-94.264	-94.234	-94.267	-94.231	-94.269	-94.309	-94.269	-94.267	-94.273	-94.309	-94.274	-94.269	-94.307	-94.309	-94.272	-94.194	-94.194	-94.274	-94.194	-94.234	-94.274	-94.306	-94.273	235.398	235.412	235.422	235.421	235.417	235.427	235.438	235.410	235.427	235.410	235.417	235.443	235.401	235.444	235.440	235.444	235.443	235.443	235.440	235.427	235.444	235.453	235.440	235.428	235.422	235.422	235.427	235.422	235.417	235.427	235.436	235.443	2016_7_19_16_59_52
FLQS30LFGRWY____	-64.019	-63.988	-63.909	-63.949	-63.911	-63.911	-63.874	-63.947	-63.911	-63.947	-63.911	-63.908	-63.947	-63.909	-63.907	-63.909	-63.908	-63.876	-63.907	-63.911	-63.909	-63.874	-63.907	-63.948	-63.909	-63.909	-63.911	-63.909	-63.911	-63.911	-63.913	-63.876	-94.339	-94.307	-94.308	-94.383	-94.311	-94.342	-94.314	-94.340	-94.342	-94.340	-94.311	-94.344	-94.309	-94.347	-94.383	-94.347	-94.344	-94.352	-94.383	-94.347	-94.347	-94.383	-94.383	-94.347	-94.308	-94.308	-94.347	-94.308	-94.311	-94.347	-94.380	-94.352	235.598	235.602	235.635	235.640	235.635	235.644	235.652	235.629	235.644	235.629	235.635	235.646	235.620	235.646	235.657	235.646	235.646	235.661	235.657	235.645	235.646	235.671	235.657	235.630	235.635	235.635	235.645	235.635	235.635	235.645	235.654	235.661	2016_7_19_16_59_52
FLQS30KNGRWV____	-64.527	-64.494	-64.417	-64.459	-64.421	-64.424	-64.386	-64.458	-64.424	-64.458	-64.421	-64.419	-64.456	-64.420	-64.420	-64.420	-64.419	-64.387	-64.420	-64.423	-64.420	-64.389	-64.420	-64.459	-64.417	-64.417	-64.423	-64.417	-64.421	-64.423	-64.426	-64.387	-94.226	-94.225	-94.195	-94.264	-94.195	-94.227	-94.200	-94.224	-94.227	-94.224	-94.195	-94.230	-94.192	-94.264	-94.267	-94.264	-94.230	-94.267	-94.267	-94.262	-94.264	-94.301	-94.267	-94.261	-94.195	-94.195	-94.262	-94.195	-94.195	-94.262	-94.296	-94.267	235.341	235.355	235.378	235.380	235.376	235.385	235.393	235.369	235.385	235.369	235.376	235.387	235.361	235.397	235.398	235.397	235.387	235.411	235.398	235.395	235.397	235.420	235.398	235.380	235.378	235.378	235.395	235.378	235.376	235.395	235.403	235.411	2016_7_19_16_59_52
FLQS30K5GRWY____	-64.626	-64.551	-64.472	-64.514	-64.476	-64.479	-64.440	-64.514	-64.479	-64.514	-64.476	-64.473	-64.512	-64.474	-64.473	-64.474	-64.473	-64.439	-64.473	-64.479	-64.474	-64.440	-64.473	-64.514	-64.472	-64.472	-64.479	-64.472	-64.476	-64.479	-64.479	-64.439	-94.261	-94.229	-94.196	-94.268	-94.197	-94.233	-94.201	-94.230	-94.233	-94.230	-94.197	-94.235	-94.196	-94.265	-94.273	-94.265	-94.235	-94.236	-94.273	-94.233	-94.265	-94.271	-94.273	-94.232	-94.196	-94.196	-94.233	-94.196	-94.197	-94.233	-94.297	-94.236	235.291	235.313	235.336	235.339	235.335	235.344	235.351	235.329	235.344	235.329	235.335	235.347	235.319	235.355	235.358	235.355	235.347	235.361	235.358	235.344	235.355	235.371	235.358	235.329	235.336	235.336	235.344	235.336	235.335	235.344	235.362	235.361	2016_7_19_16_59_52
FLQS30K3GRWY____	-64.354	-64.274	-64.198	-64.236	-64.200	-64.199	-64.166	-64.236	-64.199	-64.236	-64.200	-64.197	-64.237	-64.200	-64.198	-64.200	-64.197	-64.203	-64.198	-64.200	-64.200	-64.203	-64.198	-64.239	-64.198	-64.198	-64.200	-64.198	-64.200	-64.200	-64.202	-64.203	-94.288	-94.202	-94.171	-94.281	-94.175	-94.206	-94.178	-94.202	-94.206	-94.202	-94.175	-94.205	-94.168	-94.244	-94.247	-94.244	-94.205	-94.212	-94.247	-94.212	-94.244	-94.285	-94.247	-94.210	-94.171	-94.171	-94.212	-94.171	-94.175	-94.212	-94.242	-94.212	235.924	235.933	235.956	235.971	235.956	235.965	235.971	235.948	235.965	235.948	235.956	235.966	235.939	235.975	235.977	235.975	235.966	235.965	235.977	235.966	235.975	235.986	235.977	235.950	235.956	235.956	235.966	235.956	235.956	235.966	235.974	235.965	2016_7_19_16_59_52
