SN	Distance_X_LOGO_MainBoard_RD1	Distance_X_LOGO_MainBoard_RD2	Distance_X_LOGO_MainBoard_RD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RD1	Distance_Y_LOGO_MainBoard_RD2	Distance_Y_LOGO_MainBoard_RD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RD1	Angle_MainBoard_RD2	Angle_MainBoard_RD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLQS30QXGRWV____	-0.059	-0.057	-0.055	-0.057	-0.055	-0.054	-0.018	-0.054	-0.054	-0.054	-0.055	-0.055	-0.055	-0.055	-0.055	-0.055	-0.055	-0.016	-0.055	-0.055	-0.055	-0.019	-0.055	-0.056	-0.055	-0.055	-0.055	-0.055	-0.055	-0.055	-0.017	-0.016	0.042	-0.022	0.011	0.048	-0.023	0.011	0.009	-0.022	0.011	-0.022	-0.023	-0.023	0.010	-0.025	0.013	-0.025	-0.023	0.011	0.013	-0.025	-0.025	0.010	0.013	-0.025	0.011	0.011	-0.025	0.011	-0.023	-0.025	0.013	0.011	-0.071	-0.053	-0.061	-0.072	-0.051	-0.060	-0.045	-0.051	-0.060	-0.051	-0.051	-0.052	-0.061	-0.051	-0.062	-0.051	-0.052	-0.045	-0.062	-0.051	-0.051	-0.046	-0.062	-0.051	-0.061	-0.061	-0.051	-0.061	-0.051	-0.051	-0.046	-0.045	-0.049	-0.003	-0.055	2016_7_19_17_00_05
FLQS30QPGRWV____	-0.074	-0.074	-0.075	-0.076	-0.075	-0.074	-0.075	-0.075	-0.074	-0.075	-0.075	-0.075	-0.068	-0.073	-0.076	-0.073	-0.075	-0.075	-0.076	-0.074	-0.073	-0.075	-0.076	-0.076	-0.075	-0.075	-0.074	-0.075	-0.075	-0.074	-0.074	-0.075	0.054	0.053	0.050	0.051	0.050	0.049	0.051	0.052	0.049	0.052	0.050	0.055	0.044	0.052	0.053	0.052	0.055	0.053	0.053	0.050	0.052	0.049	0.053	0.051	0.050	0.050	0.050	0.050	0.050	0.050	0.048	0.053	-0.026	-0.025	-0.024	-0.025	-0.025	-0.024	-0.024	-0.025	-0.024	-0.025	-0.025	-0.026	-0.020	-0.025	-0.025	-0.025	-0.026	-0.026	-0.025	-0.024	-0.025	-0.025	-0.025	-0.025	-0.024	-0.024	-0.024	-0.024	-0.025	-0.024	-0.024	-0.026	-0.074	0.051	-0.025	2016_7_19_17_00_05
FLQS30QMGRWV____	0.015	0.053	0.054	0.056	0.056	0.056	0.058	0.056	0.056	0.056	0.056	0.058	0.058	0.056	0.057	0.056	0.058	0.055	0.057	0.055	0.056	0.057	0.057	0.055	0.054	0.054	0.055	0.054	0.056	0.055	0.056	0.055	-0.054	-0.014	-0.049	-0.020	-0.051	-0.051	-0.050	-0.052	-0.051	-0.052	-0.051	-0.084	-0.049	-0.052	-0.017	-0.052	-0.084	-0.051	-0.017	-0.017	-0.052	-0.050	-0.017	-0.016	-0.049	-0.049	-0.017	-0.049	-0.051	-0.017	-0.019	-0.051	-0.062	-0.059	-0.048	-0.056	-0.046	-0.047	-0.046	-0.046	-0.047	-0.046	-0.046	-0.036	-0.047	-0.046	-0.056	-0.046	-0.036	-0.047	-0.056	-0.057	-0.046	-0.047	-0.056	-0.057	-0.048	-0.048	-0.057	-0.048	-0.046	-0.057	-0.055	-0.047	0.054	-0.042	-0.050	2016_7_19_17_00_05
FLQS30Q9GRWY____	-0.061	-0.017	-0.020	-0.059	-0.022	-0.021	-0.023	-0.057	-0.021	-0.057	-0.022	-0.021	-0.018	-0.022	-0.020	-0.022	-0.021	-0.023	-0.020	-0.023	-0.022	-0.021	-0.020	-0.058	-0.020	-0.020	-0.023	-0.020	-0.022	-0.023	-0.023	-0.023	0.015	0.044	0.039	0.009	0.038	0.039	0.042	0.042	0.039	0.042	0.038	0.040	0.077	0.045	0.043	0.045	0.040	0.042	0.043	0.012	0.045	0.043	0.043	0.010	0.039	0.039	0.012	0.039	0.038	0.012	0.012	0.042	-0.541	-0.532	-0.531	-0.539	-0.532	-0.532	-0.534	-0.548	-0.532	-0.548	-0.532	-0.532	-0.541	-0.534	-0.533	-0.534	-0.532	-0.534	-0.533	-0.525	-0.534	-0.533	-0.533	-0.539	-0.531	-0.531	-0.525	-0.531	-0.532	-0.525	-0.525	-0.534	-0.027	0.036	-0.533	2016_7_19_17_00_05
FLQS30Q9GRWV____	-0.071	-0.111	-0.111	-0.074	-0.075	-0.074	-0.074	-0.078	-0.074	-0.078	-0.075	-0.078	-0.080	-0.110	-0.078	-0.110	-0.078	-0.074	-0.078	-0.074	-0.110	-0.077	-0.078	-0.078	-0.111	-0.111	-0.074	-0.111	-0.075	-0.074	-0.075	-0.074	0.009	-0.000	0.000	-0.000	0.003	0.002	-0.002	0.047	0.002	0.047	0.003	0.087	0.084	0.003	0.007	0.003	0.087	-0.001	0.007	0.003	0.003	0.004	0.007	0.046	0.000	0.000	0.003	0.000	0.003	0.003	0.004	-0.001	-0.064	-0.079	-0.079	-0.064	-0.065	-0.064	-0.063	-0.078	-0.064	-0.078	-0.065	-0.090	-0.090	-0.080	-0.067	-0.080	-0.090	-0.063	-0.067	-0.065	-0.080	-0.066	-0.067	-0.079	-0.079	-0.079	-0.065	-0.079	-0.065	-0.065	-0.065	-0.063	-0.084	0.014	-0.072	2016_7_19_17_00_05
FLQS30Q3GRWV____	0.065	0.025	0.025	0.067	0.064	0.028	0.063	0.029	0.028	0.029	0.064	0.025	0.029	0.025	0.063	0.025	0.025	0.025	0.063	0.067	0.025	0.025	0.063	0.066	0.025	0.025	0.067	0.025	0.064	0.067	0.066	0.025	0.045	0.045	0.043	0.047	0.049	0.079	0.049	0.046	0.079	0.046	0.049	0.045	0.046	0.045	0.047	0.045	0.045	0.046	0.047	0.049	0.045	0.045	0.047	0.048	0.043	0.043	0.049	0.043	0.049	0.049	0.017	0.046	-0.450	-0.465	-0.466	-0.449	-0.450	-0.474	-0.450	-0.465	-0.474	-0.465	-0.450	-0.466	-0.464	-0.466	-0.451	-0.466	-0.466	-0.466	-0.451	-0.450	-0.466	-0.466	-0.451	-0.450	-0.466	-0.466	-0.450	-0.466	-0.450	-0.450	-0.441	-0.466	0.043	0.047	-0.459	2016_7_19_17_00_06
FLQS30Q2GRWV____	-0.083	-0.080	-0.078	-0.078	-0.079	-0.080	-0.082	-0.039	-0.080	-0.039	-0.079	-0.080	-0.080	-0.077	-0.042	-0.077	-0.080	-0.080	-0.042	-0.078	-0.077	-0.080	-0.042	-0.123	-0.078	-0.078	-0.078	-0.078	-0.079	-0.078	-0.079	-0.080	0.045	0.013	0.017	0.018	-0.016	0.014	0.015	0.051	0.014	0.051	-0.016	-0.017	0.048	0.018	0.018	0.018	-0.017	0.015	0.018	0.018	0.018	0.017	0.018	0.013	0.017	0.017	0.018	0.017	-0.016	0.018	0.020	0.015	0.559	0.570	0.569	0.570	0.578	0.570	0.568	0.577	0.570	0.577	0.578	0.578	0.560	0.570	0.585	0.570	0.578	0.569	0.585	0.569	0.570	0.569	0.585	0.552	0.569	0.569	0.569	0.569	0.578	0.569	0.569	0.569	-0.074	0.016	0.572	2016_7_19_17_00_06
FLQS30PHGRWY____	-0.009	-0.008	0.030	-0.007	-0.011	-0.009	-0.008	-0.008	-0.009	-0.008	-0.011	-0.043	-0.008	-0.005	-0.045	-0.005	-0.043	-0.005	-0.045	-0.046	-0.005	-0.005	-0.045	-0.048	0.030	0.030	-0.046	0.030	-0.011	-0.046	-0.007	-0.005	-0.006	-0.002	0.002	0.001	-0.004	0.000	0.002	-0.001	0.000	-0.001	-0.004	0.000	0.002	0.002	-0.038	0.002	0.000	0.041	-0.038	0.001	0.002	0.040	-0.038	-0.041	0.002	0.002	0.001	0.002	-0.004	0.001	0.039	0.041	-0.011	-0.012	0.003	-0.013	-0.013	-0.013	-0.013	-0.012	-0.013	-0.012	-0.013	-0.028	-0.013	-0.012	-0.017	-0.012	-0.028	-0.023	-0.017	-0.028	-0.012	-0.022	-0.017	-0.017	0.003	0.003	-0.028	0.003	-0.013	-0.028	-0.023	-0.023	-0.013	0.000	-0.015	2016_7_19_17_00_06
FLQS30NWGRWV____	0.109	0.106	0.066	0.067	0.104	0.065	0.066	0.104	0.065	0.104	0.104	0.068	0.066	0.069	0.108	0.069	0.068	0.107	0.108	0.067	0.069	0.104	0.108	0.104	0.066	0.066	0.067	0.066	0.104	0.067	0.104	0.107	-0.094	-0.064	-0.063	-0.063	-0.062	-0.063	-0.098	-0.061	-0.063	-0.061	-0.062	-0.063	-0.064	-0.060	-0.060	-0.060	-0.063	-0.065	-0.060	-0.064	-0.060	-0.063	-0.060	-0.061	-0.063	-0.063	-0.064	-0.063	-0.062	-0.064	-0.062	-0.065	0.554	0.545	0.528	0.529	0.543	0.528	0.538	0.543	0.528	0.543	0.543	0.529	0.528	0.528	0.545	0.528	0.529	0.545	0.545	0.529	0.528	0.544	0.545	0.544	0.528	0.528	0.529	0.528	0.543	0.529	0.544	0.545	0.085	-0.064	0.537	2016_7_19_17_00_06
FLQS30MRGRWY____	-0.167	-0.172	-0.119	-0.158	-0.158	-0.152	-0.119	-0.113	-0.152	-0.113	-0.158	-0.157	-0.120	-0.118	-0.119	-0.118	-0.157	-0.158	-0.119	-0.158	-0.118	-0.121	-0.119	-0.159	-0.119	-0.119	-0.158	-0.119	-0.158	-0.158	-0.159	-0.158	0.003	0.056	0.019	0.016	0.014	0.032	0.052	0.034	0.032	0.034	0.014	0.055	0.017	0.016	0.014	0.016	0.055	0.016	0.014	0.019	0.016	0.014	0.014	0.018	0.019	0.019	0.019	0.019	0.014	0.019	0.016	0.016	-0.104	-0.121	-0.089	-0.105	-0.104	-0.106	-0.099	-0.090	-0.106	-0.090	-0.104	-0.115	-0.090	-0.088	-0.088	-0.088	-0.115	-0.104	-0.088	-0.106	-0.088	-0.089	-0.088	-0.106	-0.089	-0.089	-0.106	-0.089	-0.104	-0.106	-0.105	-0.104	-0.140	0.023	-0.099	2016_7_19_17_00_06
