SN	Distance_X_LOGO_Camera_RU1	Distance_X_LOGO_Camera_RU2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_RU1	Distance_Y_LOGO_Camera_RU2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_RU1	Angle_Camera_RU2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30HZGRWY____	-62.981	-63.118	-63.156	-63.014	-62.983	-63.050	-62.942	-62.977	-62.840	-62.809	-62.805	-62.874	-62.662	-62.705	-62.805	-62.736	-62.698	-62.734	-62.696	-62.767	-62.731	-62.769	-62.774	-62.667	-62.699	-62.838	-62.731	-62.665	-62.840	-62.699	-62.738	-62.700	143.148	143.362	143.428	143.466	143.392	143.429	143.500	143.535	143.501	143.393	143.465	143.290	143.317	143.283	143.395	143.217	143.281	143.423	143.422	143.465	143.501	143.428	143.322	143.463	143.431	143.429	143.536	143.498	143.221	143.464	143.320	143.463	113.759	113.773	113.776	113.723	113.723	113.741	113.694	113.700	113.660	113.665	113.653	113.702	113.627	113.646	113.663	113.666	113.644	113.636	113.623	113.641	113.623	113.647	113.664	113.607	113.623	113.670	113.618	113.601	113.701	113.618	113.652	113.618	2016_7_19_17_07_39
FLQS30H6GRWV____	-62.772	-62.906	-62.983	-62.807	-62.808	-62.845	-62.735	-62.768	-62.639	-62.638	-62.607	-62.664	-62.493	-62.527	-62.596	-62.528	-62.527	-62.561	-62.525	-62.560	-62.528	-62.560	-62.595	-62.496	-62.489	-62.629	-62.528	-62.491	-62.630	-62.489	-62.559	-62.524	143.095	143.275	143.380	143.412	143.342	143.376	143.448	143.485	143.451	143.345	143.418	143.239	143.268	143.235	143.343	143.165	143.234	143.375	143.374	143.413	143.451	143.376	143.273	143.415	143.380	143.379	143.486	143.449	143.169	143.412	143.271	143.414	113.509	113.528	113.538	113.474	113.485	113.492	113.445	113.450	113.412	113.428	113.406	113.452	113.390	113.406	113.413	113.417	113.406	113.397	113.385	113.391	113.375	113.397	113.423	113.369	113.372	113.419	113.370	113.363	113.451	113.368	113.412	113.379	2016_7_19_17_07_39
FLQS30GQGRWV____	-63.092	-63.235	-63.337	-63.129	-63.131	-63.166	-63.058	-63.122	-62.951	-62.951	-62.916	-62.989	-62.805	-62.850	-62.919	-62.844	-62.840	-62.878	4.332	-62.884	-62.848	-62.883	-62.919	-62.810	-62.815	-62.954	-62.848	-62.814	-62.955	-62.814	-62.883	-62.849	143.147	143.362	143.432	143.464	143.394	143.429	143.499	143.539	143.499	143.393	143.464	143.290	143.318	143.285	143.394	143.215	143.283	143.425	149.314	143.465	143.499	143.430	143.324	143.464	143.428	143.430	143.534	143.499	143.219	143.464	143.324	143.465	113.728	113.744	113.768	113.694	113.705	113.711	113.665	113.680	113.629	113.645	113.622	113.672	113.606	113.627	113.634	113.635	113.624	113.615	88.281	113.611	113.594	113.616	113.644	113.587	113.594	113.640	113.589	113.583	113.672	113.588	113.632	113.600	2016_7_19_17_07_41
FLQS30GCGRWY____	-63.054	-63.189	-63.230	-63.087	-63.087	-63.125	-63.014	-63.046	-62.917	-62.918	-62.886	-62.944	-62.741	-62.775	-62.874	-62.775	-62.775	-62.809	-62.774	-62.837	-62.805	-62.839	-62.877	-62.745	-62.768	-62.908	-62.805	-62.732	-62.911	-62.770	-62.805	-62.803	143.083	143.262	143.407	143.403	143.332	143.365	143.436	143.472	143.438	143.332	143.403	143.226	143.252	143.221	143.334	143.150	143.218	143.359	143.357	143.404	143.439	143.367	143.259	143.403	143.367	143.366	143.474	143.437	143.158	143.400	143.259	143.404	113.775	113.794	113.786	113.739	113.749	113.757	113.709	113.715	113.677	113.693	113.671	113.717	113.645	113.661	113.678	113.672	113.662	113.652	113.640	113.655	113.639	113.661	113.689	113.624	113.637	113.684	113.634	113.615	113.716	113.633	113.666	113.644	2016_7_19_17_07_41
FLQS30G5GRWY____	-62.876	-63.053	-63.090	-62.951	-62.952	-62.988	-62.878	-62.878	-62.748	-62.780	-62.745	-62.809	-62.593	-62.632	-62.739	-62.629	-62.628	-62.664	-62.627	-62.702	-62.669	-62.703	-62.741	-62.597	-62.632	-62.773	-62.662	-62.633	-62.765	-62.634	-62.665	-62.667	143.224	143.482	143.546	143.584	143.513	143.547	143.617	143.651	143.614	143.512	143.581	143.408	143.396	143.364	143.514	143.294	143.360	143.503	143.501	143.584	143.618	143.548	143.441	143.545	143.548	143.548	143.618	143.619	143.301	143.582	143.403	143.585	113.877	113.899	113.902	113.849	113.860	113.867	113.820	113.815	113.777	113.803	113.781	113.828	113.757	113.775	113.789	113.784	113.774	113.765	113.753	113.766	113.750	113.772	113.800	113.737	113.748	113.795	113.748	113.738	113.829	113.744	113.780	113.754	2016_7_19_17_07_41
FLQS30E9GRWY____	-62.728	-62.870	-62.939	-62.762	-62.766	-62.834	-62.692	-62.726	-62.576	-62.577	-62.539	-62.627	-62.390	-62.486	-62.553	-62.438	-62.457	-62.511	-62.430	-62.518	-62.477	-62.519	-62.556	-62.436	-62.451	-62.588	-62.477	-62.448	-62.593	-62.449	-62.519	-62.481	143.284	143.501	143.567	143.602	143.530	143.570	143.634	143.670	143.632	143.528	143.596	143.425	143.408	143.422	143.532	143.346	143.376	143.558	143.551	143.600	143.634	143.567	143.460	143.599	143.565	143.566	143.669	143.634	143.355	143.599	143.461	143.602	113.672	113.687	113.701	113.637	113.648	113.665	113.608	113.614	113.569	113.585	113.563	113.617	113.540	113.570	113.577	113.565	113.567	113.559	113.533	113.555	113.536	113.560	113.588	113.527	113.538	113.583	113.531	113.527	113.616	113.532	113.576	113.542	2016_7_19_17_07_42
FLQS30DZGRWV	-62.662	-62.844	-62.915	-62.701	-62.703	-62.745	-62.630	-62.691	-62.520	-62.521	-62.484	-62.591	-62.374	-62.420	-62.520	-62.416	-62.407	-62.449	-62.442	-62.455	-62.420	-62.456	-62.491	-62.379	-62.387	-62.525	-62.419	-62.385	-62.527	-62.386	-62.455	-62.421	143.297	143.552	143.617	143.615	143.543	143.614	143.650	143.687	143.648	143.543	143.617	143.442	143.466	143.434	143.549	143.364	143.431	143.573	143.574	143.614	143.649	143.581	143.474	143.614	143.579	143.581	143.684	143.648	143.368	143.613	143.475	143.615	113.673	113.696	113.710	113.639	113.650	113.654	113.610	113.625	113.574	113.589	113.566	113.627	113.551	113.571	113.588	113.580	113.567	113.561	113.558	113.557	113.540	113.562	113.589	113.531	113.539	113.585	113.535	113.528	113.617	113.533	113.577	113.545	2016_7_19_17_07_42
FLQS30D5GRWQ____	-62.994	-63.145	-63.216	-63.040	-63.041	-63.078	-62.968	-62.994	-62.860	-62.851	-62.822	-62.902	-62.704	-62.752	-62.830	-62.746	-62.739	-62.781	-62.703	-62.794	-62.748	-62.794	-62.823	-62.708	-62.726	-62.865	-62.748	-62.716	-62.859	-62.726	-62.787	-62.758	143.111	143.362	143.428	143.464	143.393	143.428	143.498	143.500	143.496	143.356	143.459	143.288	143.279	143.248	143.393	143.177	143.244	143.387	143.381	143.464	143.463	143.429	143.288	143.428	143.428	143.428	143.498	143.463	143.183	143.463	143.289	143.464	113.613	113.627	113.641	113.577	113.587	113.595	113.548	113.556	113.512	113.529	113.504	113.556	113.491	113.512	113.517	113.520	113.508	113.501	113.476	113.494	113.479	113.499	113.530	113.471	113.477	113.523	113.474	113.468	113.557	113.472	113.518	113.482	2016_7_19_17_07_42
FLQS30CMGRWQ____	-63.076	-63.247	-63.286	-63.112	-63.111	-63.147	-63.038	-63.073	-62.972	-62.940	-62.907	-62.969	-62.793	-62.831	-62.934	-62.830	-62.827	-62.866	-62.825	-62.864	-62.861	-62.897	-62.901	-62.800	-62.795	-62.933	-62.861	-62.793	-62.967	-62.795	-62.897	-62.831	143.078	143.297	143.363	143.397	143.327	143.362	143.433	143.468	143.436	143.328	143.400	143.223	143.252	143.218	143.330	143.148	143.217	143.357	143.358	143.397	143.437	143.363	143.257	143.398	143.363	143.362	143.472	143.433	143.156	143.396	143.258	143.399	113.767	113.792	113.795	113.732	113.742	113.749	113.702	113.708	113.679	113.685	113.663	113.710	113.646	113.664	113.682	113.674	113.663	113.655	113.642	113.649	113.642	113.665	113.682	113.627	113.631	113.677	113.637	113.620	113.719	113.626	113.680	113.637	2016_7_19_17_07_42
FLQS30BWGRWY____	-62.856	-62.993	-63.030	-62.887	-62.889	-62.926	-62.814	-62.843	-62.713	-62.715	-62.683	-62.747	-62.573	-62.611	-62.676	-62.610	-62.573	-62.607	-62.573	-62.639	-62.608	-62.640	-62.678	-62.573	-62.570	-62.709	-62.607	-62.569	-62.713	-62.570	-62.642	-62.604	143.218	143.435	143.501	143.536	143.466	143.500	143.572	143.573	143.572	143.467	143.535	143.360	143.388	143.357	143.468	143.286	143.349	143.492	143.489	143.537	143.572	143.502	143.394	143.537	143.502	143.502	143.607	143.572	143.292	143.535	143.395	143.538	113.819	113.833	113.836	113.783	113.794	113.801	113.753	113.763	113.719	113.735	113.715	113.762	113.700	113.717	113.723	113.727	113.705	113.696	113.685	113.700	113.684	113.705	113.734	113.678	113.682	113.728	113.679	113.671	113.760	113.677	113.722	113.688	2016_7_19_17_07_42
