SN	Distance_X_LOGO_Camera_LD1	Distance_X_LOGO_Camera_LD2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_LD1	Distance_Y_LOGO_Camera_LD2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_LD1	Angle_Camera_LD2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLQS30YUGRWV____	-55.674	-55.780	-55.645	-55.743	-55.782	-55.781	-55.676	-55.713	-55.677	-55.680	-55.641	-55.741	-55.678	-55.743	-55.677	-55.608	-55.677	-55.677	-55.643	-55.609	-55.679	-55.642	-55.641	-55.642	-55.711	-55.577	-55.544	-55.641	-55.574	-55.680	-55.638	-55.680	141.227	141.297	141.151	141.227	141.189	141.222	141.260	141.192	141.297	141.257	141.293	141.298	141.294	141.261	141.297	141.328	141.297	141.297	141.330	141.222	141.327	141.329	141.293	141.281	141.296	141.332	141.189	141.293	141.264	141.289	141.301	141.289	111.409	111.437	111.410	111.434	111.453	111.448	111.405	111.428	111.401	111.407	111.389	111.423	111.401	111.429	111.401	111.372	111.401	111.401	111.384	111.387	111.397	111.384	111.389	111.391	111.413	111.361	111.369	111.389	111.369	111.403	111.387	111.403	2016_7_19_17_08_15
FLQS30X6GRWY____	-55.637	-55.787	-55.645	-55.756	-55.756	-55.756	-55.641	-55.678	-55.643	-55.644	-55.647	-55.711	-55.682	-55.713	-55.643	-55.612	-55.643	-55.643	-55.647	-55.611	-55.637	-55.608	-55.647	-55.647	-55.678	-55.582	-55.503	-55.647	-55.536	-55.637	-55.605	-55.637	141.262	141.303	141.167	141.261	141.226	141.261	141.260	141.188	141.296	141.259	141.299	141.329	141.301	141.264	141.296	141.302	141.296	141.296	141.300	141.236	141.327	141.328	141.299	141.401	141.298	141.337	141.195	141.299	141.267	141.292	141.296	141.292	111.596	111.643	111.612	111.638	111.643	111.638	111.598	111.621	111.593	111.599	111.594	111.613	111.606	111.622	111.593	111.582	111.593	111.593	111.594	111.590	111.587	111.577	111.594	111.580	111.605	111.566	111.558	111.594	111.560	111.592	111.580	111.592	2016_7_19_17_08_15
FLQS30X6GRWV____	-55.898	-56.001	-55.861	-55.966	-56.010	-56.009	-55.898	-55.941	-55.900	-55.907	-55.863	-55.968	-55.900	-55.971	-55.900	-55.826	-55.900	-55.900	-55.862	-55.828	-55.897	-55.864	-55.863	-55.863	-55.938	-55.794	-55.761	-55.863	-55.791	-55.905	-55.861	-55.905	141.219	141.220	141.082	141.152	141.150	141.183	141.187	141.151	141.219	141.213	141.220	141.254	141.258	141.219	141.219	141.223	141.219	141.219	141.221	141.185	141.254	141.253	141.220	141.323	141.252	141.257	141.159	141.220	141.227	141.245	141.223	141.245	111.741	111.777	111.747	111.774	111.790	111.785	111.745	111.766	111.742	111.745	111.729	111.761	111.736	111.767	111.742	111.715	111.742	111.742	111.728	111.721	111.736	111.724	111.729	111.714	111.751	111.699	111.701	111.729	111.703	111.740	111.728	111.740	2016_7_19_17_08_15
FLQS30WFGRWV____	-55.464	-55.569	-55.428	-55.491	-55.574	-55.571	-55.459	-55.496	-55.461	-55.462	-55.427	-55.531	-55.464	-55.527	-55.461	-55.393	-55.461	-55.461	-55.429	-55.392	-55.458	-55.428	-55.427	-55.429	-55.496	-55.359	-55.325	-55.427	-55.351	-55.468	-55.425	-55.468	141.341	141.377	141.235	141.306	141.305	141.338	141.347	141.275	141.380	141.344	141.379	141.412	141.376	141.344	141.380	141.377	141.380	141.380	141.377	141.306	141.415	141.416	141.379	141.452	141.379	141.444	141.269	141.379	141.348	141.404	141.378	141.404	111.289	111.321	111.291	111.303	111.333	111.327	111.286	111.309	111.283	111.288	111.271	111.303	111.284	111.311	111.283	111.259	111.283	111.283	111.272	111.269	111.277	111.266	111.271	111.262	111.295	111.238	111.250	111.271	111.248	111.282	111.270	111.282	2016_7_19_17_08_15
FLQS30VBGRWV____	-55.907	-56.010	-55.867	-55.972	-56.012	-56.007	-55.899	-56.018	-55.904	-55.908	-55.866	-55.970	-55.904	-55.967	-55.904	-55.831	-55.904	-55.904	-55.869	-55.835	-55.902	-55.866	-55.866	-55.867	-55.939	-55.798	-55.765	-55.866	-55.790	-55.904	-55.865	-55.904	141.223	141.264	141.087	141.197	141.158	141.190	141.221	141.134	141.262	141.223	141.259	141.299	141.265	141.229	141.262	141.230	141.262	141.262	141.260	141.188	141.287	141.294	141.259	141.362	141.260	141.267	141.121	141.259	141.235	141.252	141.266	141.252	111.678	111.709	111.683	111.705	111.724	111.718	111.676	111.730	111.672	111.679	111.659	111.690	111.672	111.699	111.672	111.651	111.672	111.672	111.660	111.658	111.668	111.654	111.659	111.645	111.685	111.634	111.643	111.659	111.636	111.674	111.658	111.674	2016_7_19_17_08_15
FLQS30UFGRWV____	-55.752	-55.861	-55.718	-55.782	-55.863	-55.825	-55.749	-55.755	-55.756	-55.759	-55.715	-55.782	-55.758	-55.785	-55.756	-55.683	-55.756	-55.756	-55.719	-55.687	-55.706	-55.678	-55.715	-55.719	-55.752	-55.610	-55.574	-55.715	-55.636	-55.717	-55.714	-55.717	141.214	141.282	141.112	141.179	141.174	141.207	141.213	141.170	141.279	141.240	141.251	141.280	141.284	141.245	141.279	141.252	141.279	141.279	141.254	141.211	141.278	141.310	141.251	141.352	141.278	141.316	141.141	141.251	141.222	141.268	141.251	141.268	111.387	111.416	111.389	111.403	111.432	111.414	111.386	111.394	111.380	111.386	111.369	111.389	111.379	111.394	111.380	111.358	111.380	111.380	111.370	111.365	111.362	111.348	111.369	111.357	111.378	111.323	111.335	111.369	111.345	111.368	111.369	111.368	2016_7_19_17_08_15
FLQS30TYGRWV____	-55.804	-55.870	-55.770	-55.835	-55.916	-55.869	-55.796	-55.806	-55.804	-55.767	-55.767	-55.874	-55.806	-55.868	-55.804	-55.734	-55.804	-55.804	-55.772	-55.733	-55.799	-55.731	-55.767	-55.770	-55.799	-55.700	-55.669	-55.767	-55.692	-55.770	-55.727	-55.770	141.204	141.231	141.099	141.167	141.162	141.163	141.203	141.160	141.238	141.198	141.236	141.271	141.239	141.204	141.238	141.241	141.238	141.238	141.242	141.171	141.270	141.267	141.236	141.338	141.201	141.281	141.173	141.236	141.209	141.254	141.235	141.254	111.570	111.590	111.573	111.586	111.615	111.599	111.568	111.577	111.566	111.558	111.553	111.586	111.566	111.593	111.566	111.541	111.566	111.566	111.554	111.550	111.559	111.536	111.553	111.540	111.569	111.523	111.527	111.553	111.530	111.552	111.539	111.552	2016_7_19_17_08_15
FLQS30T7GRWV____	-55.912	-56.017	-55.919	-55.982	-56.012	-56.057	-55.955	-55.948	-55.914	-56.004	-55.917	-55.984	-55.955	-56.028	-55.914	-55.842	-55.914	-55.914	-55.920	-55.884	-55.960	-55.880	-55.917	-55.919	-55.949	-55.808	-55.819	-55.917	-55.852	-55.920	-55.874	-55.920	141.169	141.167	141.033	141.105	141.060	141.097	141.137	141.058	141.169	141.143	141.173	141.241	141.178	141.142	141.169	141.204	141.169	141.169	141.181	141.108	141.205	141.199	141.173	141.274	141.171	141.212	141.079	141.173	141.139	141.191	141.209	141.191	111.496	111.533	111.517	111.529	111.546	111.557	111.515	111.524	111.496	111.532	111.497	111.511	111.510	111.540	111.496	111.466	111.496	111.496	111.497	111.494	111.508	111.480	111.497	111.483	111.508	111.453	111.476	111.497	111.479	111.495	111.477	111.495	2016_7_19_17_08_15
FLQS30S7GRWV____	-55.903	-56.005	-55.865	-55.969	-56.011	-56.012	-55.902	-55.944	-55.943	-55.903	-55.902	-55.973	-55.901	-55.974	-55.943	-55.831	-55.943	-55.943	-55.867	-55.835	-55.907	-55.905	-55.902	-55.868	-55.935	-55.798	-55.764	-55.902	-55.796	-55.909	-55.902	-55.909	141.167	141.170	141.032	141.104	141.102	141.133	141.137	141.099	141.177	141.135	141.174	141.238	141.170	141.140	141.177	141.173	141.177	141.177	141.174	141.135	141.226	141.238	141.174	141.305	141.174	141.208	141.064	141.174	141.175	141.192	141.181	141.192	111.585	111.620	111.590	111.617	111.632	111.628	111.589	111.609	111.598	111.590	111.584	111.600	111.584	111.614	111.598	111.559	111.598	111.598	111.571	111.566	111.578	111.576	111.584	111.554	111.595	111.543	111.551	111.584	111.547	111.584	111.583	111.584	2016_7_19_17_08_16
FLQS30RRGRWV____	-55.818	-55.924	-55.785	-55.882	-55.913	-55.923	-55.816	-55.854	-55.822	-55.822	-55.785	-55.888	-55.820	-55.889	-55.822	-55.748	-55.822	-55.822	-55.784	-55.751	-55.819	-55.786	-55.785	-55.782	-55.855	-55.716	-55.681	-55.785	-55.675	-55.819	-55.782	-55.819	141.197	141.234	141.090	141.135	141.089	141.158	141.198	141.125	141.268	141.196	141.229	141.265	141.234	141.231	141.268	141.233	141.268	141.268	141.235	141.196	141.264	141.263	141.229	141.327	141.232	141.274	141.129	141.229	141.198	141.225	141.237	141.225	111.490	111.522	111.493	111.521	111.538	111.532	111.489	111.513	111.481	111.492	111.474	111.505	111.485	111.510	111.481	111.460	111.481	111.481	111.473	111.466	111.481	111.470	111.474	111.459	111.498	111.444	111.451	111.474	111.440	111.486	111.472	111.486	2016_7_19_17_08_16
FLQS30R2GRWV____	-55.285	-55.392	-55.251	-55.357	-55.428	-55.390	-55.285	-55.323	-55.321	-55.321	-55.250	-55.392	-55.287	-55.355	-55.321	-55.215	-55.321	-55.321	-55.330	-55.216	-55.283	-55.253	-55.250	-55.254	-55.322	-55.181	-55.139	-55.250	-55.177	-55.282	-55.290	-55.282	141.391	141.424	141.288	141.356	141.326	141.359	141.391	141.320	141.401	141.361	141.427	141.434	141.427	141.394	141.401	141.428	141.401	141.401	141.405	141.359	141.460	141.459	141.427	141.537	141.427	141.461	141.292	141.427	141.397	141.425	141.427	141.425	111.464	111.497	111.466	111.494	111.523	111.505	111.464	111.487	111.475	111.481	111.447	111.496	111.460	111.488	111.475	111.435	111.475	111.475	111.478	111.444	111.454	111.443	111.447	111.433	111.472	111.418	111.426	111.447	111.425	111.458	111.461	111.458	2016_7_19_17_08_16
FLQS30QXGRWV____	-55.887	-55.986	-55.854	-56.002	-55.990	-56.005	-55.897	-55.926	-55.933	-55.933	-55.896	-55.997	-55.890	-55.968	-55.933	-55.865	-55.933	-55.933	-55.855	-55.862	-55.891	-55.895	-55.896	-55.858	-55.966	-55.789	-55.754	-55.896	-55.793	-55.932	-55.894	-55.932	141.147	141.144	141.041	141.144	141.073	141.140	141.144	141.072	141.186	141.149	141.182	141.185	141.182	141.178	141.186	141.191	141.186	141.186	141.184	141.148	141.213	141.214	141.182	141.315	141.185	141.256	141.076	141.182	141.182	141.184	141.187	141.184	111.448	111.483	111.451	111.488	111.494	111.490	111.452	111.472	111.458	111.464	111.446	111.481	111.444	111.472	111.458	111.434	111.458	111.458	111.431	111.439	111.440	111.441	111.446	111.414	111.470	111.398	111.411	111.446	111.410	111.458	111.445	111.458	2016_7_19_17_08_16
FLQS30QPGRWV____	-55.711	-55.817	-55.678	-55.782	-55.802	-55.817	-55.708	-55.750	-55.712	-55.714	-55.674	-55.782	-55.708	-55.779	-55.712	-55.638	-55.712	-55.712	-55.675	-55.641	-55.708	-55.675	-55.674	-55.675	-55.741	-55.602	-55.566	-55.674	-55.599	-55.710	-55.672	-55.710	141.240	141.278	141.139	141.206	141.140	141.207	141.205	141.170	141.277	141.240	141.277	141.311	141.247	141.213	141.277	141.278	141.277	141.277	141.275	141.249	141.304	141.311	141.277	141.380	141.248	141.283	141.147	141.277	141.250	141.272	141.280	141.272	111.514	111.546	111.516	111.544	111.560	111.556	111.518	111.537	111.509	111.515	111.496	111.529	111.512	111.542	111.509	111.483	111.509	111.509	111.497	111.488	111.504	111.491	111.496	111.482	111.524	111.470	111.476	111.496	111.473	111.509	111.495	111.509	2016_7_19_17_08_16
FLQS30QMGRWV____	-55.687	-55.792	-55.650	-55.756	-55.798	-55.794	-55.679	-55.718	-55.688	-55.685	-55.649	-55.754	-55.686	-55.742	-55.688	-55.616	-55.688	-55.688	-55.651	-55.618	-55.689	-55.651	-55.649	-55.650	-55.720	-55.582	-55.550	-55.649	-55.573	-55.680	-55.647	-55.680	141.203	141.239	141.098	141.206	141.166	141.201	141.209	141.139	141.273	141.209	141.244	141.276	141.241	141.210	141.273	141.270	141.273	141.273	141.240	141.199	141.302	141.278	141.244	141.346	141.243	141.308	141.171	141.244	141.244	141.242	141.244	141.242	111.388	111.420	111.389	111.412	111.432	111.426	111.384	111.408	111.379	111.386	111.369	111.401	111.382	111.406	111.379	111.354	111.379	111.379	111.370	111.364	111.375	111.365	111.369	111.355	111.394	111.337	111.344	111.369	111.342	111.380	111.368	111.380	2016_7_19_17_08_16
